IRI,uniqueVar,variable,dataFile,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0020230,household level data 25m survey_final::ahwker,ahwker,household level data 25m survey_final,Community health worker present,"Whether there was a community health worker (community medicine distributor, village health team, community own resource person) who distributes malaria medicines in the  community.",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,"Is there a community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) who distributes malaria medicines in your village or community?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020229,household level data 25m survey_final::amchwker,amchwker,household level data 25m survey_final,Community health worker has malaria medication,Whether the community health worker had malaria medication available at the time of survey. Only assessed for households that stating having a 'Community health worker present'.,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Does the community health worker currently have malaria medicines available?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020232,household level data 25m survey_final::havenets,havenets,household level data 25m survey_final,Household bednets,Whether the household has any bednets of any type that can be used while sleeping.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Does your household have any mosquito nets that can be used while sleeping?,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044142,household level data 25m survey_final::receivenet,receivenet,household level data 25m survey_final,UCC LLIN received,"For households surveyed 6, 12, or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), whether the household received one or more long-lasting insecticide-treated bednets (LLINs) during the UCC.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,Bednets were distributed in your community on <<Dates >>Did you receive one or more bednets in the recent net campaign (Universal Coverage Campaign) led by the Ministry of Health?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044146,household level data 25m survey_final::manynet,manynet,household level data 25m survey_final,UCC LLIN count,"For households surveyed 6, 12, or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), the number of long-lasting insecticide-treated bednets (LLINs) the household received through the UCC. This question was skipped for households who did not receive a LLIN through the UCC.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,"If yes, How many nets did you receive?",Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044144,household level data 25m survey_final::manynow,manynow,household level data 25m survey_final,Remaining UCC LLIN count,"For households surveyed 12 or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), the number of long-lasting insecticide-treated bednets (LLINs) received through the UCC that the household still had in their possession.  This question was skipped for households who did not receive a LLIN through the UCC. This question was not asked at the 6 month study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,How many nets from the campaign do you still have?,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044148,household level data 25m survey_final::nettype,nettype,household level data 25m survey_final,UCC LLIN type,"For households surveyed 6, 12, or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), the type of long-lasting insecticide-treated bednet (LLIN) the household received. This question was skipped for households who did not receive a LLIN through the UCC. Note that the type of LLIN the household received may differ from the dominant LLIN type recieved by the cluster ('Cluster as-treated').",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,What type of nets did you receive,"1 : PermaNet 2.0, 2 :PermaNet 3.0, 3 :Olyset Net, 4 :Olyset Plus, -7: Don’t Know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044143,household level data 25m survey_final::neteduc,neteduc,household level data 25m survey_final,UCC LLIN instructions received,"For households surveyed 12 or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), whether the household received any education on how to use or hang the long-lasting insecticide-treated bednets (LLINs) prior to or during the UCC. This question was skipped for households who did not receive a bednet through the UCC. This question was not asked at the 6 month study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,Did you receive any education on how to hang(or use) the bednets prior to or during distribution?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044141,household level data 25m survey_final::anynonucc,anynonucc,household level data 25m survey_final,Non-UCC bednets,"For households surveyed 12 or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), whether there were any bednets in the household that were not received through the UCC. This question was skipped for households who did not receive a bednet through the UCC. This question was not asked at the 6 month study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,Are there any other nets in your house that were not from the campaign?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044145,household level data 25m survey_final::whynonet,whynonet,household level data 25m survey_final,Reason UCC LLIN not received,"For households surveyed 6, 12, or 18 months after the 2016-2017 Universal Coverage Campaign (UCC), the reason that the household did not receive a long-lasting insecticide treated bednet (LLIN) through the UCC.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,"If no, why did you not receive nets? | Please specify other reason","1: No nets were delivered to the area (village or parish) , 2: We did not go to collect the nets, 3: We were never told to collect the nets , 4: We were told our household did not need nets, 5: We were away when the nets were distributed, 6: The local leaders refused to accept the nets, 7: Given to a child to take to boarding school, 9: Other, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::whyother,whyother,household level data 25m survey_final,Other reason UCC LLIN not received,,Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000019,household level data 25m survey_final::numpeop,numpeop,household level data 25m survey_final,Persons living in house count,Number of people in this household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020225,household level data 25m survey_final::anynet,anynet,household level data 25m survey_final,Bednet count,Number of bednets of any type in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025013,household level data 25m survey_final::anynet,anynet,household level data 25m survey_final,Bednet last night,Whether the participant slept under any bednet during the prior night.,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,variable,Whether household member slept under any bednet the prior night,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0041014,household level data 25m survey_final::itn,itn,household level data 25m survey_final,ITN bednet count,Number of insecticide-treated bednets (ITNs) in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000216,household level data 25m survey_final::itn,itn,household level data 25m survey_final,ITN last night,Whether the participant slept under any insecticide-treated bednet (ITN) last night).,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,variable,Whether household member slept under any ITN the prior night,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020226,household level data 25m survey_final::anynetcat,anynetcat,household level data 25m survey_final,Bednet count categorization,Categorization of the number of bednets of any type in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Catergories of number of nets per household,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044126,household level data 25m survey_final::itncat,itncat,household level data 25m survey_final,ITN bednet count categorization,Categorization of the number of insecticide-treated bednets (ITNs) in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Catergories of number of nets per household,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044136,household level data 25m survey_final::anyitn,anyitn,household level data 25m survey_final,Household ITNs,Whether the household has any insecticide-treated bednets (ITNs) that can be used while sleeping.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Whether the house has any ITNs,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020227,household level data 25m survey_final::netsperperson,netsperperson,household level data 25m survey_final,Bednets per person count,Number of bednets of any type per person in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044137,household level data 25m survey_final::itnsperperson,itnsperperson,household level data 25m survey_final,ITNs per person count,Number of insecticide-treated bednets (ITNs) per person in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020219,household level data 25m survey_final::adequatenets,adequatenets,household level data 25m survey_final,One bednet per 2 people,Whether there was at least 1 bednet of any type per 2 people.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Whether at least 1 bednet per 2 persons,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044135,household level data 25m survey_final::adequateitns,adequateitns,household level data 25m survey_final,1 ITN per 2 people,Whether there was at least 1 insecticide-treated bednet (ITN) per 2 people.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Whether at least 1 ITN per 2 persons,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044168,household level data 25m survey_final::wave,wave,household level data 25m survey_final,UCC LLIN wave,"Wave of long-lasting insecticide-treated bednet (LLIN) distribution during the 2016-2017 Universal Coverage Campaign (UCC). LLINs were distributed across Uganda in groups of districts at a time, and the LLIN distribution schedule was divided into waves. The LLINEUP study took place in districts that received LLINs during waves 2, 3, and 4.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,Wave of ITN distribution,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044180,household level data 25m survey_final::region,region,household level data 25m survey_final,Region in Uganda,"Because of vectors and suspected differences in insecticide resistance patterns, randomization of intervention assignment was stratified by region. 66 health sub-districts were in Western regions and 38 in Eastern regions, representing approximately half of the country.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,Ordered regions of the country,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044179,household level data 25m survey_final::district,district,household level data 25m survey_final,District in Uganda,"48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044120,household level data 25m survey_final::health_sub_district,health_sub_district,household level data 25m survey_final,Health sub-district,"104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044121,household level data 25m survey_final::llindich,llindich,household level data 25m survey_final,"Cluster study arm, dichotomized",Type of net assigned to the cluster for the intention-to-treat analysis. Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Intervention arm dichotomized,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044154,household level data 25m survey_final::llindichpp,llindichpp,household level data 25m survey_final,"Cluster as-treated, dichotomized","The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Clusters received either conventional LLINs or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Intervention arm dichotomized for per protocol analysis,,,,,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044124,household level data 25m survey_final::llincat,llincat,household level data 25m survey_final,Cluster study arm,"Type of net assigned to the cluster, for the intention-to-treat analysis. Clusters were randomized to receive one of 4 types of long-lasting insecticide-treated bednets (LLINs).",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Type of LLIN cluster assinged to,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044153,household level data 25m survey_final::llincatpp,llincatpp,household level data 25m survey_final,Cluster as-treated,"The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Type of LLIN recieved for per protocol analysis,,,,,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044174,household level data 25m survey_final::logppb,logppb,household level data 25m survey_final,Cluster-level parasite prevalence,"Log10 of the Plasmodium parasite prevalence in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",Community,http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,"variable,derived",Baseline cluster level parasite prevalence log10,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044172,household level data 25m survey_final::loga11pb,loga11pb,household level data 25m survey_final,Cluster-level anemia prevalence (hemoglobin <11 g/dL),"Log10 of the prevalence of anemia (defined as hemoglobin levels less than 11g/dL) in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",Community,http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,"variable,derived",Baseline cluster level Anemia (<11) prevalence log10,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020003,household level data 25m survey_final::entodate,entodate,household level data 25m survey_final,Collection date,"Date that mosquitoes resting indoors on walls were collected, using prokopack aspirators.",Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044128,household level data 25m survey_final::burnyn,burnyn,household level data 25m survey_final,Burn to keep mosquitoes away,Whether the household burned anything last night inside of the dwelling to keep mosquitoes away. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Did you burn anything to keep away mosquitoes in the house last night?,"1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::whatburn,whatburn,household level data 25m survey_final,Material to burn,,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::whatburnother,whatburnother,household level data 25m survey_final,Other material to burn,,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044130,household level data 25m survey_final::spray,spray,household level data 25m survey_final,Insecticide last night,Whether the household sprayed any insecticide inside of the dwelling last night. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Did you spray any insecticide in the house last night?,"1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044129,household level data 25m survey_final::closewindow,closewindow,household level data 25m survey_final,Doors and windows closed,Whether the doors and/or windows were closed last night to keep mosquitoes out of the house. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Did you close the windows / doors to keep out mosquitoes last night,"1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044132,household level data 25m survey_final::closetime,closetime,household level data 25m survey_final,Time doors and windows closed,Time doors and windows closed,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000018,household level data 25m survey_final::airbricks,airbricks,household level data 25m survey_final,Air bricks,Whether air bricks were installed above windows. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Airbricks above windows?,"1 = Yes, 2 = No, 8 = Don’t know",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044115,household level data 25m survey_final::scrairbricks,scrairbricks,household level data 25m survey_final,Screened air bricks,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044114,household level data 25m survey_final::sdoors,sdoors,household level data 25m survey_final,Screened external doors,Whether external doors were screened. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Screened external doors?,"1 = Yes, 2 = No, 8 = Don’t know",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044113,household level data 25m survey_final::ceiling,ceiling,household level data 25m survey_final,Ceiling,Whether the dwelling has a ceiling or screened ceiling. Only assessed for households included in the entomology survey.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,A ceiling (STATA label = 'Screened ceiling'),"1 = Yes, 2 = No, 8 = Don’t know",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044116,household level data 25m survey_final::nonanophfem,nonanophfem,household level data 25m survey_final,Female non-Anopheline count,Number of female non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,variable,Number of Female Non-Anopheline,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044117,household level data 25m survey_final::nonanophmal,nonanophmal,household level data 25m survey_final,Male non-Anopheline count,Number of male non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,variable,Number of Male  Non-Anopheline,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000137,household level data 25m survey_final::gambiaef,gambiaef,household level data 25m survey_final,Female Anopheles gambiae count,Number of female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,Number of female anopheles gambiae,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044104,household level data 25m survey_final::gambiaem,gambiaem,household level data 25m survey_final,Male Anopheles gambiae count,Number of male Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,Number of male anopheles gambiae,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000136,household level data 25m survey_final::funestusf,funestusf,household level data 25m survey_final,Female Anopheles funestus count,Number of female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,Number of female Anopheles funestus,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044102,household level data 25m survey_final::funestusm,funestusm,household level data 25m survey_final,Male Anopheles funestus count,Number of male Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,Number of male Anopheles funestus,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000200,household level data 25m survey_final::othanophfem,othanophfem,household level data 25m survey_final,Other female Anopheles species count,"Number of female Anopheline mosquitoes that were species other than A. funestus or A. gambiae, or were not speciated. Mosquitoes were collected from a subset of enrolled households at each study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0025053,Anopheles results,variable,Number of female Anopheles -Other/Unidentified,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044106,household level data 25m survey_final::othanophmal,othanophmal,household level data 25m survey_final,Other male Anopheles species count,"Number of male Anopheline mosquitoes that were species other than A. funestus or A. gambiae, or were not speciated. Mosquitoes were collected from a subset of enrolled households at each study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0025053,Anopheles results,variable,Number of male  Anopheles -Other/Unidentified,Numeric,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000205,household level data 25m survey_final::unfedgambiae,unfedgambiae,household level data 25m survey_final,Unfed Anopheles gambiae count,Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044105,household level data 25m survey_final::halfgravidgambiae,halfgravidgambiae,household level data 25m survey_final,Semigravid Anopheles gambiae count,Number of semigravid female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000198,household level data 25m survey_final::gravidgambiae,gravidgambiae,household level data 25m survey_final,Gravid Anopheles gambiae count,Number of gravid female Anopheles funestus gambiae. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000193,household level data 25m survey_final::bloodfedgambiae,bloodfedgambiae,household level data 25m survey_final,Bloodfed Anopheles gambiae count,Number of female Anopheles gambiae who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sensu lato results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000204,household level data 25m survey_final::unfedfunestus,unfedfunestus,household level data 25m survey_final,Unfed Anopheles funestus count,Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044103,household level data 25m survey_final::halfgravidfunestus,halfgravidfunestus,household level data 25m survey_final,Semigravid Anopheles funestus count,Number of semigravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000197,household level data 25m survey_final::gravidfunestus,gravidfunestus,household level data 25m survey_final,Gravid Anopheles funestus count,Number of gravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000192,household level data 25m survey_final::bloodfedfunestus,bloodfedfunestus,household level data 25m survey_final,Bloodfed Anopheles funestus count,Number of female Anopheles funestus who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044118,household level data 25m survey_final::entoinclude,entoinclude,household level data 25m survey_final,Arthropods surveyed,Whether the household was one of the 20% of enrolled households that were randomly included in the entomology survey.,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000135,household level data 25m survey_final::anophelesf,anophelesf,household level data 25m survey_final,Female Anopheles count,Number of female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0025053,Anopheles results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025031,household level data 25m survey_final::anophelesm,anophelesm,household level data 25m survey_final,Male Anopheles count,Number of male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Household,http://purl.obolibrary.org/obo/EUPATH_0025053,Anopheles results,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,household member level data 25m survey_final::gender,gender,household member level data 25m survey_final,Sex,Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,Gender of [[participantsname]]?,"1 - Male, 2 - Female",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044139,household member level data 25m survey_final::lessthantwo,lessthantwo,household member level data 25m survey_final,Age <2 years,Whether the participant was less than 2 years old.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,Is [[participantsname]] less than 2 years old?,"1 - Yes, 0 - No, -9: Skipped (fof HoH)",,,,,llineup25_survey,,,,,,,,,
