colOrder,variable_dataFile,variable,uniqueVar,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,type,example,dateTime,values,uniqueValueCount,percentMissing,timeVarying
73,ADMIT_SPEC,admit_spec,hucs_kenya::admit_spec,hucs_kenya,,,NA,NA,chr,LIDHA,,", ASHBURN, LIDHA, NOT ADMITTED, ODEDE, RATUORO HC",5,0.999971754,
73,SEEK_UNLICDOC,seek_unlicdoc,hucs_gambia_mali::seek_unlicdoc,hucs_gambia_mali,,,Sought care from unlicensed practitioner,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
74,RECOMMEND_IV,recommend_iv,hucs_kenya::recommend_iv,hucs_kenya,,,IV fluids advised,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.97337009,
74,SEEK_OTHER,seek_other,hucs_gambia_mali::seek_other,hucs_gambia_mali,,,Sought care from other hospital,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
75,REC_IVFLUID,rec_ivfluid,hucs_kenya::rec_ivfluid,hucs_kenya,,,Received intravenous fluids,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.97337009,
75,SEEK_OTHER_SPEC,seek_other_spec,hucs_gambia_mali::seek_other_spec,hucs_gambia_mali,,,NA,NA,chr,FIRE SERVICE CLINIC,,>10 unique values,63,0.995483592,
76,DAYSEEK,dayseek,hucs_gambia_mali::dayseek,hucs_gambia_mali,,,NA,NA,chr,2,,>10 unique values,12,0.98159804,
76,REC_HOMEMADE,rec_homemade,hucs_kenya::rec_homemade,hucs_kenya,,,Received homemade fluids,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.97337009,
77,HOSP_ADVISE,hosp_advise,hucs_gambia_mali::hosp_advise,hucs_gambia_mali,,,Hospitalization advised,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.981646087,
77,REC_ORS,rec_ors,hucs_kenya::rec_ors,hucs_kenya,,,Received ORALITE or ORS,"1=""At home"", 2=""At the health center"", 3=""Both""",chr,0,,"., 0, 1, 2, 3",5,0.97337009,
78,ADMIT,admit,hucs_gambia_mali::admit,hucs_gambia_mali,,,Admitted to facility for treatment,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.953730841,
78,REC_ZINC,rec_zinc,hucs_kenya::rec_zinc,hucs_kenya,,,Received Zinc for diarrhea,"1=""At home"", 2=""At the health center""",chr,0,,"., 0",2,0.97337009,
79,ADMIT_CTR,admit_ctr,hucs_gambia_mali::admit_ctr,hucs_gambia_mali,,,NA,NA,chr,107,,"., 107, 108, 203",4,0.999759766,
79,NO_TREATMENT,no_treatment,hucs_kenya::no_treatment,hucs_kenya,,,Received no treatment diarrhea,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.97337009,
80,ADMIT_SPEC,admit_spec,hucs_gambia_mali::admit_spec,hucs_gambia_mali,,,NA,NA,int,0,,0 to 0,1,0.999951953,
80,DPT1,dpt1,hucs_kenya::dpt1,hucs_kenya,,,DPT/Pentavalent 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.212666437,
81,DPT1_DATE,dpt1_date,hucs_kenya::dpt1_date,hucs_kenya,,,NA,NA,chr,2/1/16,date,>10 unique values,2187,0.495161536,
81,RECOMMEND_IV,recommend_iv,hucs_gambia_mali::recommend_iv,hucs_gambia_mali,,,IV fluids advised,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.9195695,
82,DPT1_HC,dpt1_hc,hucs_kenya::dpt1_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.247097769,
82,REC_IVFLUID,rec_ivfluid,hucs_gambia_mali::rec_ivfluid,hucs_gambia_mali,,,Received intravenous fluids,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.9195695,
83,DPT2,dpt2,hucs_kenya::dpt2,hucs_kenya,,,DPT/Pentavalent 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.208294025,
83,REC_HOMEMADE,rec_homemade,hucs_gambia_mali::rec_homemade,hucs_gambia_mali,,,Received homemade fluids,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.9195695,
84,DPT2_DATE,dpt2_date,hucs_kenya::dpt2_date,hucs_kenya,,,NA,NA,chr,3/1/16,date,>10 unique values,2139,0.516074546,
84,REC_ORS,rec_ors,hucs_gambia_mali::rec_ors,hucs_gambia_mali,,,Received ORALITE or ORS,"1=""At home"", 2=""At the health center"", 3=""Both""",chr,2,,"., 1, 2, 3",4,0.98097343,
85,DPT2_HC,dpt2_hc,hucs_kenya::dpt2_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.265169276,
85,REC_TRAD,rec_trad,hucs_gambia_mali::rec_trad,hucs_gambia_mali,,,Traditional med to drink,"0=""Not selected"", 1=""Selected""",chr,1,,"., 1",2,0.998702734,
86,DPT3,dpt3,hucs_kenya::dpt3,hucs_kenya,,,DPT/Pentavalent 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.203062948,
86,REC_ZINC,rec_zinc,hucs_gambia_mali::rec_zinc,hucs_gambia_mali,,,Received Zinc for diarrhea,"1=""At home"", 2=""At the health center""",chr,2,,"., 1, 2",3,0.998318359,
87,DPT3_DATE,dpt3_date,hucs_kenya::dpt3_date,hucs_kenya,,,NA,NA,chr,4/5/16,date,>10 unique values,2173,0.541184845,
87,NO_TREATMENT,no_treatment,hucs_gambia_mali::no_treatment,hucs_gambia_mali,,,Received no treatment diarrhea,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.9195695,
88,DPT3_HC,dpt3_hc,hucs_kenya::dpt3_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.285619058,
88,REC_VAX,rec_vax,hucs_gambia_mali::rec_vax,hucs_gambia_mali,,,Child had any vaccination,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.324412627,
89,ROT1,rot1,hucs_kenya::rot1,hucs_kenya,,,Rotavirus vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.186013931,
89,VAX_CARD,vax_card,hucs_gambia_mali::vax_card,hucs_gambia_mali,,,Immunization card,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.143131697,
90,ROT1_DATE,rot1_date,hucs_kenya::rot1_date,hucs_kenya,,,NA,NA,chr,2/1/16,date,>10 unique values,1300,0.696004384,
90,VAX_SOTH,vax_soth,hucs_gambia_mali::vax_soth,hucs_gambia_mali,,,NA,NA,chr,DSS,,", ANTENATAL CARD, BASE DE DONNEES VACCINALES CVD, DSS, ORDINATEUR, lost, waiting for response",6,0.999711719,
91,DPT1,dpt1,hucs_gambia_mali::dpt1,hucs_gambia_mali,,,DPT/Pentavalent 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.215346178,
91,ROT1_HC,rot1_hc,hucs_kenya::rot1_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.552974539,
92,DPT1_DATE,dpt1_date,hucs_gambia_mali::dpt1_date,hucs_gambia_mali,,,NA,NA,chr,6/8/15,date,>10 unique values,1936,0.237303608,
92,ROT2,rot2,hucs_kenya::rot2,hucs_kenya,,,Rotavirus vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.179732119,
93,DPT1_HC,dpt1_hc,hucs_gambia_mali::dpt1_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA,,>10 unique values,560,0.23696728,
93,ROT2_DATE,rot2_date,hucs_kenya::rot2_date,hucs_kenya,,,NA,NA,chr,3/1/16,date,>10 unique values,1222,0.741140781,
94,DPT1_DK,dpt1_dk,hucs_gambia_mali::dpt1_dk,hucs_gambia_mali,,,DPT/Pentavalent 1 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999519531,
94,ROT2_HC,rot2_hc,hucs_kenya::rot2_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.588383168,
95,DPT1_HCID,dpt1_hcid,hucs_gambia_mali::dpt1_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,33,0.237447749,
95,OPV1,opv1,hucs_kenya::opv1,hucs_kenya,,,Oral polio vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.203040352,
96,DPT2,dpt2,hucs_gambia_mali::dpt2,hucs_gambia_mali,,,DPT/Pentavalent 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.234084466,
96,OPV1_DATE,opv1_date,hucs_kenya::opv1_date,hucs_kenya,,,NA,NA,chr,12/23/15,date,>10 unique values,2622,0.550200826,
97,DPT2_DATE,dpt2_date,hucs_gambia_mali::dpt2_date,hucs_gambia_mali,,,NA,NA,chr,2/5/15,date,>10 unique values,1896,0.269398933,
97,OPV1_HC,opv1_hc,hucs_kenya::opv1_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,48,0.305583017,
98,DPT2_HC,dpt2_hc,hucs_gambia_mali::dpt2_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,539,0.269254793,
98,OPV2,opv2,hucs_kenya::opv2,hucs_kenya,,,Oral polio vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.212276648,
99,DPT2_DK,dpt2_dk,hucs_gambia_mali::dpt2_dk,hucs_gambia_mali,,,DPT/Pentavalent 2 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999519531,
99,OPV2_DATE,opv2_date,hucs_kenya::opv2_date,hucs_kenya,,,NA,NA,chr,2/1/16,date,>10 unique values,2185,0.497240409,
100,DPT2_HCID,dpt2_hcid,hucs_gambia_mali::dpt2_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,33,0.269735262,
100,OPV2_HC,opv2_hc,hucs_kenya::opv2_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.248956327,
101,DPT3,dpt3,hucs_gambia_mali::dpt3,hucs_gambia_mali,,,DPT/Pentavalent 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.26666026,
101,OPV3,opv3,hucs_kenya::opv3,hucs_kenya,,,Oral polio vaccine 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.207796903,
102,DPT3_DATE,dpt3_date,hucs_gambia_mali::dpt3_date,hucs_gambia_mali,,,NA,NA,chr,3/5/15,date,>10 unique values,1857,0.321001297,
102,OPV3_DATE,opv3_date,hucs_kenya::opv3_date,hucs_kenya,,,NA,NA,chr,3/1/16,date,>10 unique values,2125,0.518757873,
103,DPT3_HC,dpt3_hc,hucs_gambia_mali::dpt3_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,516,0.32080911,
103,OPV3_HC,opv3_hc,hucs_kenya::opv3_hc,hucs_kenya,,,NA,NA,chr,ABHIDHA,,>10 unique values,47,0.267089973,
104,AGEGROUP,agegroup,hucs_kenya::agegroup,hucs_kenya,,,NA,NA,int,1,,1 to 3,3,0,
104,DPT3_DK,dpt3_dk,hucs_gambia_mali::dpt3_dk,hucs_gambia_mali,,,DPT/Pentavalent 3 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999567578,
105,DPT3_HCID,dpt3_hcid,hucs_gambia_mali::dpt3_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,34,0.321241532,
105,ROUND,round,hucs_kenya::round,hucs_kenya,,,NA,NA,chr,2,,"., 1, 2, 3, 4, 5, 6",7,9.60E-05,
106,DPT_TYPE,dpt_type,hucs_gambia_mali::dpt_type,hucs_gambia_mali,,,Which vaccine was given,"1=""DPT"", 2=""Pentavalent"", 3=""Don’t know""",chr,2,,"., 1, 2, 3",4,0.234084466,
106,RND_START,rnd_start,hucs_kenya::rnd_start,hucs_kenya,,,NA,NA,chr,1/27/16,date,"., 01/26/17, 01/27/16, 01/30/18, 07/01/15, 07/24/16, 07/26/17",7,9.60E-05,
107,RND_STOP,rnd_stop,hucs_kenya::rnd_stop,hucs_kenya,,,NA,NA,chr,7/14/16,date,"., 01/13/17, 01/18/18, 01/20/16, 06/30/17, 07/05/18, 07/14/16",7,9.60E-05,
107,ROT1,rot1,hucs_gambia_mali::rot1,hucs_gambia_mali,,,Rotavirus vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.215346178,
108,ROT1_DATE,rot1_date,hucs_gambia_mali::rot1_date,hucs_gambia_mali,,,NA,NA,chr,6/8/15,date,>10 unique values,1319,0.358622015,
108,VAX_CARD,vax_card,hucs_kenya::vax_card,hucs_kenya,,,Immunization card,"0=""No"", 1= ""Yes""",chr,2,,"., 0, 1, 2",4,0.110807314,
109,ROT1_HC,rot1_hc,hucs_gambia_mali::rot1_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA,,>10 unique values,470,0.358525921,
110,ROT1_DK,rot1_dk,hucs_gambia_mali::rot1_dk,hucs_gambia_mali,,,Rotavirus vaccine don't know,"1=""Yes""",chr,1,,"., 1",2,0.999567578,
111,ROT1_HCID,rot1_hcid,hucs_gambia_mali::rot1_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,31,0.358958343,
112,ROT2,rot2,hucs_gambia_mali::rot2,hucs_gambia_mali,,,Rotavirus vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.356171624,
113,ROT2_DATE,rot2_date,hucs_gambia_mali::rot2_date,hucs_gambia_mali,,,NA,NA,chr,1/8/15,date,>10 unique values,1282,0.395281795,
114,ROT2_HC,rot2_hc,hucs_gambia_mali::rot2_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,446,0.395185701,
115,ROT2_DK,rot2_dk,hucs_gambia_mali::rot2_dk,hucs_gambia_mali,,,Rotavirus vaccine 2 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999567578,
116,ROT2_HCID,rot2_hcid,hucs_gambia_mali::rot2_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,31,0.395618123,
117,ROT3,rot3,hucs_gambia_mali::rot3,hucs_gambia_mali,,,Rotavirus vaccine 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.3921107,
118,ROT3_DATE,rot3_date,hucs_gambia_mali::rot3_date,hucs_gambia_mali,,,NA,NA,chr,3/5/15,date,>10 unique values,1194,0.471964637,
119,ROT3_HC,rot3_hc,hucs_gambia_mali::rot3_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,425,0.471916591,
120,ROT3_DK,rot3_dk,hucs_gambia_mali::rot3_dk,hucs_gambia_mali,,,Rotavirus vaccine 3 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999615625,
121,ROT3_HCID,rot3_hcid,hucs_gambia_mali::rot3_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,30,0.472300966,
122,OPV1,opv1,hucs_gambia_mali::opv1,hucs_gambia_mali,,,Oral polio vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.215346178,
123,OPV1_DATE,opv1_date,hucs_gambia_mali::opv1_date,hucs_gambia_mali,,,NA,NA,chr,6/8/15,date,>10 unique values,1925,0.239513765,
124,OPV1_HC,opv1_hc,hucs_gambia_mali::opv1_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA,,>10 unique values,559,0.239081343,
125,OPV1_DK,opv1_dk,hucs_gambia_mali::opv1_dk,hucs_gambia_mali,,,Oral polio vaccine 1 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999519531,
126,OPV1_HCID,opv1_hcid,hucs_gambia_mali::opv1_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,36,0.239561812,
127,OPV2,opv2,hucs_gambia_mali::opv2,hucs_gambia_mali,,,Oral polio vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.236678999,
128,OPV2_DATE,opv2_date,hucs_gambia_mali::opv2_date,hucs_gambia_mali,,,NA,NA,chr,1/8/15,date,>10 unique values,1899,0.273675107,
129,OPV2_HC,opv2_hc,hucs_gambia_mali::opv2_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,538,0.273290732,
130,OPV2_DK,opv2_dk,hucs_gambia_mali::opv2_dk,hucs_gambia_mali,,,Oral polio vaccine 2 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999519531,
131,OPV2_HCID,opv2_hcid,hucs_gambia_mali::opv2_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,32,0.273771201,
132,OPV3,opv3,hucs_gambia_mali::opv3,hucs_gambia_mali,,,Oral polio vaccine 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.270600106,
133,OPV3_DATE,opv3_date,hucs_gambia_mali::opv3_date,hucs_gambia_mali,,,NA,NA,chr,3/5/15,date,>10 unique values,1865,0.324076298,
134,OPV3_HC,opv3_hc,hucs_gambia_mali::opv3_hc,hucs_gambia_mali,,,NA,NA,chr,GAMBISSARA H/C,,>10 unique values,521,0.324028252,
135,OPV3_DK,opv3_dk,hucs_gambia_mali::opv3_dk,hucs_gambia_mali,,,Oral polio vaccine 3 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999567578,
136,OPV3_HCID,opv3_hcid,hucs_gambia_mali::opv3_hcid,hucs_gambia_mali,,,NA,NA,chr,102,,>10 unique values,32,0.324460674,
137,IPV1,ipv1,hucs_gambia_mali::ipv1,hucs_gambia_mali,,,Inactivated polio vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.215346178,
138,IPV1_DATE,ipv1_date,hucs_gambia_mali::ipv1_date,hucs_gambia_mali,,,NA,NA,chr,4/20/15,date,>10 unique values,758,0.819535867,
139,IPV1_HC,ipv1_hc,hucs_gambia_mali::ipv1_hc,hucs_gambia_mali,,,NA,NA,chr,BANSANG,,>10 unique values,113,0.819391726,
140,IPV1_DK,ipv1_dk,hucs_gambia_mali::ipv1_dk,hucs_gambia_mali,,,Inactivated polio vaccine 1 don't know,"1=""Yes""",chr,1,,"., 1",2,0.999663672,
141,IPV1_HCID,ipv1_hcid,hucs_gambia_mali::ipv1_hcid,hucs_gambia_mali,,,NA,NA,chr,107,,>10 unique values,29,0.819728055,
142,IPV2,ipv2,hucs_gambia_mali::ipv2,hucs_gambia_mali,,,Inactivated polio vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.817806179,
143,IPV2_DATE,ipv2_date,hucs_gambia_mali::ipv2_date,hucs_gambia_mali,,,NA,NA,chr,3/30/15,date,"., 3/30/15, 6/11/15, 7/1/15, 7/14/15, 7/21/14, 9/15/16, 9/16/15",8,0.999663672,
144,IPV2_HC,ipv2_hc,hucs_gambia_mali::ipv2_hc,hucs_gambia_mali,,,NA,NA,chr,BANSANG,,", BANSANG, CM ELRAZI, GAMBISSARA",3,0.999663672,
145,IPV2_DK,ipv2_dk,hucs_gambia_mali::ipv2_dk,hucs_gambia_mali,,,Inactivated polio vaccine 2 don't know,"1=""Yes""",chr,NA,,.,1,1,
146,IPV2_HCID,ipv2_hcid,hucs_gambia_mali::ipv2_hcid,hucs_gambia_mali,,,NA,NA,chr,107,,"., 102, 107, 90",4,0.999663672,
147,IPV3,ipv3,hucs_gambia_mali::ipv3,hucs_gambia_mali,,,Inactivated polio vaccine 3,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.998558593,
148,IPV3_DATE,ipv3_date,hucs_gambia_mali::ipv3_date,hucs_gambia_mali,,,NA,NA,chr,4/7/15,date,"., 10/20/16, 4/7/15, 7/9/15, 8/18/14",5,0.999807812,
149,IPV3_HC,ipv3_hc,hucs_gambia_mali::ipv3_hc,hucs_gambia_mali,,,NA,NA,chr,BANSANG,,", BANSANG, CM ELRAZI, GAMBISSARA",3,0.999807812,
150,IPV3_DK,ipv3_dk,hucs_gambia_mali::ipv3_dk,hucs_gambia_mali,,,Inactivated polio vaccine 3 don't know,"1=""Yes""",chr,NA,,.,1,1,
151,IPV3_HCID,ipv3_hcid,hucs_gambia_mali::ipv3_hcid,hucs_gambia_mali,,,NA,NA,chr,107,,"., 102, 107, 90",4,0.999807812,
152,HUCS_COMMENT,hucs_comment,hucs_gambia_mali::hucs_comment,hucs_gambia_mali,,,NA,NA,chr,DPT 3 NOT AVAILABLE INTO THE DATABASE AT THAT TIME,,>10 unique values,886,0.955316389,
153,HUCS_INTERVIEWER,hucs_interviewer,hucs_gambia_mali::hucs_interviewer,hucs_gambia_mali,,discard,NA,NA,chr,MUHAMMED CEESAY,,>10 unique values,299,0,
154,HUCS_STAFFCODE,hucs_staffcode,hucs_gambia_mali::hucs_staffcode,hucs_gambia_mali,,,NA,NA,int,212,,5 to 321,48,0,
155,QC_REVIEWER,qc_reviewer,hucs_gambia_mali::qc_reviewer,hucs_gambia_mali,,,NA,NA,chr,KEN JOOF,,>10 unique values,109,0,
156,QC_STAFFCODE,qc_staffcode,hucs_gambia_mali::qc_staffcode,hucs_gambia_mali,,,NA,NA,int,202,,2 to 320,25,0,
157,QC_DATE,qc_date,hucs_gambia_mali::qc_date,hucs_gambia_mali,,,NA,NA,chr,7/4/15,date,>10 unique values,819,0,
158,AGEGROUP,agegroup,hucs_gambia_mali::agegroup,hucs_gambia_mali,,,NA,NA,int,1,,1 to 3,3,0,
159,REASON_NOINT,reason_noint,hucs_gambia_mali::reason_noint,hucs_gambia_mali,,,NA,NA,chr,CHILD CANNOT BE SEEN,,>10 unique values,680,0.959400375,
160,ROUND,round,hucs_gambia_mali::round,hucs_gambia_mali,,,NA,NA,int,1,,1 to 7,7,0,
161,RND_START,rnd_start,hucs_gambia_mali::rnd_start,hucs_gambia_mali,,,NA,NA,chr,5/15/15,date,>10 unique values,13,0,
162,RND_STOP,rnd_stop,hucs_gambia_mali::rnd_stop,hucs_gambia_mali,,,NA,NA,chr,6/30/15,date,>10 unique values,13,0,
163,ASWT,aswt,hucs_gambia_mali::aswt,hucs_gambia_mali,,,NA,NA,dbl,38.75,,6.27 to 170.4,76,0,
164,SITE_SPLIT,site_split,hucs_gambia_mali::site_split,hucs_gambia_mali,,,NA,NA,int,1,,1 to 4,3,0,
165,VAX_SOURCE,vax_source,hucs_gambia_mali::vax_source,hucs_gambia_mali,,,NA,NA,chr,1,,"., 0, 1, 2, 3",5,0.918464421,
166,ASWT_SITE_SPLIT,aswt_site_split,hucs_gambia_mali::aswt_site_split,hucs_gambia_mali,,,NA,NA,dbl,36.63,,6.27 to 204.1,117,0,
