codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments
194,,,noseek_work,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Could not take time off from work. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
188,,,noseek_politic,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
193,,,noseek_weather,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
186,,,noseek_nothappy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Not happy with clinical services in the area. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
187,,,noseek_othrchld,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other children at home could not be left alone. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
190,,,noseek_trnsprt,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Unable to find transport. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,
269,,,rank_remdy,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Bought a remedy/drug at the shop/market. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
264,,,rank_friend,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Friend/relative. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
260,,,rank_ctr1,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 1st choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
261,,,rank_ctr2,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
262,,,rank_ctr3,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 3nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
268,,,rank_privdoc,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Licensed practitioner/private doctor (not at hospital). Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
266,,,rank_othr,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Other, specify. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
267,,,rank_pharm,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Pharmacy. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
265,,,rank_healr,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Traditional healer. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
263,,,rank_doc,gems1_huas_data.sas7bdat,,,,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Unlicensed practitioner/village doctor/bush doctor/village health worker. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,
140,,,hospctr1,gems1_huas_data.sas7bdat,1st choice facility code,EUPATH_0010157,,,,,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,,,
141,,,hospctr2,gems1_huas_data.sas7bdat,2nd choice facility code,EUPATH_0010163,,,,,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,,,
142,,,hospctr3,gems1_huas_data.sas7bdat,3rd choice facility code,EUPATH_0010169,,,,,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,,,
252,,,q31_sentinel,gems1_huas_data.sas7bdat,,,,,,,E31.06: Health care utilization. Sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
250,,,q31_nonsentinel,gems1_huas_data.sas7bdat,,,,,,,E31.07: Health care utilization. Non-sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
247,,,q31_healthctr,gems1_huas_data.sas7bdat,,,,,,,E31.08: Health care utilization. Health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
251,,,q31_professional,gems1_huas_data.sas7bdat,,,,,,,E31.09: Health care utilization. Professional care. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
246,,,q31_healer,gems1_huas_data.sas7bdat,,,,,,,E31.10: Health care utilization. Traditional healer or unlicenced practitioner. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
236,,,q31_1_ctr,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
237,,,q31_1_doc,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
238,,,q31_1_healr,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
239,,,q31_1_pharm,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
240,,,q31_1_privdoc,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
241,,,q31_1_remdy,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
242,,,q31_carequality,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3, 4, 5, 6, 7",,
243,,,q31_code1,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,
244,,,q31_code2,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,
245,,,q31_code3,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,hospctr2
248,,,q31_nocare,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,hospctr3
249,,,q31_nonprofessional,gems1_huas_data.sas7bdat,,,,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,
285,,,seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",1st choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010155,,,,,E31.12: Health care utilization.,"0, 1",,
286,,,seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",1st choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010157,,,,,E31.12: Health care utilization.,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",,"what does it different from varible,E31.03, hospctr1?"
287,,,seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,1st choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010159,,,,,E31.12: Health care utilization.,"0, 1",,
288,,,seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",2nd choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010161,,,,,E31.12: Health care utilization.,"0, 1",,
289,,,seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",2nd choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010163,,,,,E31.12: Health care utilization.,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",,"what does it different from varible, E31.04 hospctr2?"
290,,,seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,2nd choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010165,,,,,E31.12: Health care utilization.,1,,
291,,,seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3rd choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010167,,,,,E31.12: Health care utilization.,"0, 1",,
292,,,seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3rd choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010169,,,,,E31.12: Health care utilization.,"303, 402",,"what does it different from varible, E31.05, hospctr3?"
293,,,seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,3rd choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010171,,,,,E31.12: Health care utilization.,1,,
294,,,seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Friend or relative ,http://purl.obolibrary.org/obo/EUPATH_0015094,,,,,E31.12: Health care utilization.,"0, 1",,
295,,,seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Traditional healer ,http://purl.obolibrary.org/obo/EUPATH_0015095,,,,,E31.12: Health care utilization.,"0, 1",,
296,,,seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E31.12: Health care utilization.,"0, 1",,
297,,,seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Other hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010173,,,,,E31.12: Health care utilization.,"0, 1",,
298,,,seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E31.12: Health care utilization.,"0, 1",,
299,,,seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E31.12: Health care utilization.,"0, 1",,
300,,,seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E31.12: Health care utilization.,"0, 1",,
54,,,dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,"Does all E32, E33 variabes associated with 'Previous diarrheal care'?"
253,,,q32_dayseek,gems1_huas_data.sas7bdat,,,,,,,E32.1: Health care utilization. Sought care at sentinel health facility on day 0-7 of diarrhea. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea",,
25,,,carerec1,gems1_huas_data.sas7bdat,,,,,,,E33: Health care utilization. Health center 1 code (mention sentinel health center listed in E31.3). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,
22,,,care1_op,gems1_huas_data.sas7bdat,,,,,,,E33.1: Health care utilization. What is your opinion of the care your child received at sentinel health center 1. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,
26,,,carerec2,gems1_huas_data.sas7bdat,,,,,,,E33.2: Health care utilization. Health center 2 code (mention sentinel health center listed in E31.4). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,
23,,,care2_op,gems1_huas_data.sas7bdat,,,,,,,E33.3: Health care utilization. What is your opinion of the care your child received at sentinel health center 2. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,
27,,,carerec3,gems1_huas_data.sas7bdat,,,,,,,E33.4: Health care utilization. Health center 3 code (mention sentinel health center listed in E31.5). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,
24,,,care3_op,gems1_huas_data.sas7bdat,,,,,,,E33.5: Health care utilization. What is your opinion of the care your child received at sentinel health center 3. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,
1,,,admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Admitted to hospital ,http://purl.obolibrary.org/obo/EUPATH_0010345,,,,,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,
161,,,iv_hosp,gems1_huas_data.sas7bdat,,,,,,,E34.1: Health care utilization. IV & hospital admission. Only complete for children who had diarrhea in the last 2 weeks,"1=IV only, 2=Hospital admission only, 3=IV & hospital admission, 4=Neither, 5=Unknown",,
2,,,admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,
4,,,admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,
6,,,admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,
8,,,advise,gems1_huas_data.sas7bdat,,,,,,,"E36: Health care utilization. If the child did not receive care at a hospital/health center, were you advised to take him/her to a hospital/health center. Skip if E34=yes. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E38, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,
184,,,nohosp,gems1_huas_data.sas7bdat,,,,,,,E37: Health care utilization. What was the single most important reason that the child not taken to the hospital. Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Could not take time off from work, 5=Local situation (weather, natural, or political reasons), 6=Cost for treatment too high, 7=Other children at home could not be left alone, 8=Did not think child was sick enough, 9=Not happy with care provided at the hospital, NA=NA",,
135,,,hometrt_ors,gems1_huas_data.sas7bdat,ORALITE or ORS ,http://purl.obolibrary.org/obo/EUPATH_0015082,,,,,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
131,,,hometrt_herbal,gems1_huas_data.sas7bdat,,,,,,,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
132,,,hometrt_maize,gems1_huas_data.sas7bdat,Homemade fluid ,http://purl.obolibrary.org/obo/EUPATH_0015083,,,Diarrhea treatment before visit,EUPATH_0010378,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
133,,,hometrt_milk,gems1_huas_data.sas7bdat,Special milk or infant formula ,http://purl.obolibrary.org/obo/EUPATH_0015084,,,,,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
139,,,hometrt_zinc,gems1_huas_data.sas7bdat,Zinc ,http://purl.obolibrary.org/obo/EUPATH_0015086,,,,,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
130,,,hometrt_ab,gems1_huas_data.sas7bdat,Antibiotics ,http://purl.obolibrary.org/obo/EUPATH_0015089,,,,,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
138,,,hometrt_othrliq,gems1_huas_data.sas7bdat,Any other liquids ,http://purl.obolibrary.org/obo/EUPATH_0015088,,,,,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
136,,,hometrt_othr1,gems1_huas_data.sas7bdat,Other treatment ,http://purl.obolibrary.org/obo/EUPATH_0015090,,,,,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
137,,,hometrt_othr2,gems1_huas_data.sas7bdat,Other treatment ,http://purl.obolibrary.org/obo/EUPATH_0015090,,,,,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
134,,,hometrt_none,gems1_huas_data.sas7bdat,No special remedies given ,http://purl.obolibrary.org/obo/EUPATH_0015087,,,,,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,
196,,,offr_drink,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Amount offered to drink during diarrheal episode ,http://purl.obolibrary.org/obo/EUPATH_0010241,,,,,E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK",,under 'Diarrheal episode'
108,,,drink_less,gems1_huas_data.sas7bdat,Drank much less than usual,EUPATH_0015062,,,,,"E39.1: Health care utilization. Did you offer much less than usual to drink, or somewhat less, or nothing (if offr_drink=3). Only complete for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Nothing to drink, NA=NA",,"a kind of 'Symptoms since illness began' in GEMS1 project, don't know whether they are same."
197,,,offr_eat,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Amount offered to eat during diarrheal episode ,http://purl.obolibrary.org/obo/EUPATH_0010177,,,,,E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK, 5=NOT IN CODEBOOK",,
117,,,eat_less,gems1_huas_data.sas7bdat,,,,,,,"E40.1: Health care utilization. Did you offer much less than usual to eat, or somewhat less, or nothing (if offr_eat=3). Only complete for children who had diarrhea in the last 2 weeks.","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Stopped food, NA=NA",,
144,,,hosptrt_dk,gems1_huas_data.sas7bdat,,,,,Diarrhea treatment given in health center,EUPATH_0010390,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
145,,,hosptrt_intfld,gems1_huas_data.sas7bdat,Intravenous fluids,EUPATH_0015140,,,Diarrhea treatment given in health center,EUPATH_0010390,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
146,,,hosptrt_medinj,gems1_huas_data.sas7bdat,,,,,Diarrhea treatment given in health center,EUPATH_0010390,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
147,,,hosptrt_ors,gems1_huas_data.sas7bdat,ORS,EUPATH_0015139,,,Diarrhea treatment given in health center,EUPATH_0010390,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
149,,,hosptrt_zinc,gems1_huas_data.sas7bdat,Zinc ,EUPATH_0015155,,,Diarrhea treatment given in health center,EUPATH_0010390,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
143,,,hosptrt_ab,gems1_huas_data.sas7bdat,,,,,Diarrhea treatment given in health center,EUPATH_0010390,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
148,,,hosptrt_othr,gems1_huas_data.sas7bdat,,,,,Diarrhea treatment given in health center,EUPATH_0010390,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",Multifilter,
208,,,pharm_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"The F42 variables associated with 'previously sought care expenses', right?"
209,,,pharm_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
210,,,pharm_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
211,,,pharm_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
213,,,pharm_trnsprt,gems1_huas_data.sas7bdat,"Pharmacy, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010244,,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
212,,,pharm_total,gems1_huas_data.sas7bdat,"Pharmacy, medical expenses ",http://purl.obolibrary.org/obo/EUPATH_0010243,,,,,"F42.1: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,
120,,,healer_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
