variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider
diff_reloc,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Temporary relocation. Select all that apply.,"0=No, 1=Yes",,,,,88,NA,NA,,
diff_spec,gems1_huas_data.sas7bdat,,,chr,"C23.3: Parents perception of illness and use of health care facility. Specify if diff_othr=1 (other, specify). Select all that apply.",,,,,,96,NA,NA,,
diff_trnsprt,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of transport. Select all that apply.,"0=No, 1=Yes",,,,,91,NA,NA,,
doc_consult,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,212,NA,NA,,
doc_diag,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,214,NA,NA,,
doc_drug,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,213,NA,NA,,
doc_othr,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,216,NA,NA,,
doc_total,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,217,NA,NA,,
doc_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,215,NA,NA,,
drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,104,23,22,,response values 0 & 9 not in codebook
drh_coma,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,115,NA,NA,,response value 0 not in codebook
drh_cont,gems1_huas_data.sas7bdat,,,num,D28.1: Diarrhea history. Is the child still having diarrhea. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,117,NA,NA,,response value 0 not in codebook
drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,,,,,,116,18,17,,
drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,NA,19,18,,
drh_daysago,gems1_huas_data.sas7bdat,,,num,"D28.2: Diarrhea history. If no, how many days ago did the child have diarrhea (3 or more abnormally loose or watery stools) for the last time. Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,118,NA,NA,,
drh_decurin,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Decreased urination. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,107,NA,NA,,response value 0 not in codebook
drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,NA,22,21,,
drh_dry,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,109,NA,NA,,response value 0 not in codebook
drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,112,21,20,,response values 0 & 9 not in codebook
drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,NA,25,24,,
drh_lethrgy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,114,26,25,,response values 0 & 9 not in codebook
drh_mucus,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Mucus / pus in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,105,NA,NA,,response value 0 not in codebook
drh_rice,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,106,24,23,,response values 0 & 9 not in codebook
drh_sunkeyes,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Sunken eyes. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,110,28,27,,response values 0 & 9 not in codebook
drh_thirst,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA, 9=NOT IN CODEBOOK",,,,,108,27,26,variables 'drh_thirst' & 'drh_thirsty' should map to the same display label & IRI,response values 0 & 9 not in codebook
drh_vomit,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,113,NA,NA,,response value 0 not in codebook
drh_wrnkskin,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Wrinkled skin. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,111,29,28,,response values 0 & 9 not in codebook
drh2wks,gems1_huas_data.sas7bdat,,,num,"D25: Diarrhea history. Hs the child had an illness with diarrhea (3 or more loose or watery stools during a 24-hr period) in the last 2 weeks. If ""No"" go to part G, if ""Yes"" continue","1=No, 2=Yes",,,,,99,NA,NA,,
drink_less,gems1_huas_data.sas7bdat,,,num,"E39.1: Health care utilization. Did you offer much less than usual to drink, or somewhat less, or nothing (if offr_drink=3). Only complete for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Nothing to drink, NA=NA",,,,,185,NA,NA,,response value 0 not in codebook
drinkoffr,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,425,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
drugstore,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,408,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
duration,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,424,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dwb_ctr1,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,296,NA,NA,,
dwb_ctr2,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,298,NA,NA,,
dwb_ctr3,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,300,NA,NA,,
dwb_ctr4,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,302,NA,NA,,
dwb_spec,gems1_huas_data.sas7bdat,,,chr,"G51.1: Health care attitudes. Specify other facility not coded (090), for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks",,,,,,304,NA,NA,,
dwob_ctr1,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,297,NA,NA,,
dwob_ctr2,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,299,NA,NA,,
dwob_ctr3,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,301,NA,NA,,
dwob_ctr4,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,303,NA,NA,,
dwob_spec,gems1_huas_data.sas7bdat,,,chr,G51.3: Health care attitudes. Specify other facility not coded (090) for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks,,,,,,305,NA,NA,,
eat_less,gems1_huas_data.sas7bdat,,,num,"E40.1: Health care utilization. Did you offer much less than usual to eat, or somewhat less, or nothing (if offr_eat=3). Only complete for children who had diarrhea in the last 2 weeks.","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Stopped food, NA=NA",,,,,187,NA,NA,,response value 0 not in codebook
eatoffr,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,426,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
edu,gems1_huas_data.sas7bdat,,,num,,"0, 1, 2",,,,,423,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
facility_spec1,gems1_huas_data.sas7bdat,,,chr,"C20: Parents perception of illness and use of health care facility. If the facility of 1st choice was not coded, (hlthctr1=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec1",,,,,,81,NA,NA,,
facility_spec2,gems1_huas_data.sas7bdat,,,chr,"C20.2: Parents perception of illness and use of health care facility. If the facility of 2nd choice was not coded, (hlthctr2=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec2",,,,,,82,NA,NA,,
facility_spec3,gems1_huas_data.sas7bdat,,,chr,"C20.4: Parents perception of illness and use of health care facility. If the facility of 3rd choice was not coded, (hlthctr3=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec3",,,,,,83,NA,NA,,
famsize,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,418,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
floor,gems1_huas_data.sas7bdat,,,num,B16: Household information. What is the predominant floor inside the house.,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",,,,,42,NA,NA,,
floor_spec,gems1_huas_data.sas7bdat,,,chr,"B16.1: Household information. If floor=3 (other, specify), specify floor type.",#NAME?,,,,,43,NA,NA,,
friend,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,404,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
gems_shf,gems1_huas_lite_data_kenya.sas7bdat,,,chr,,,,,,,NA,NA,80,,variable not in HUAS codebook (CRF01 HUAS)
gemsshf,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,NA,79,,variable not in HUAS codebook (CRF01 HUAS)
gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",,,,,15,8,9,,response value 0 not in codebook
hchldrn,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,420,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
healer,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,405,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
healer_consult,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,206,NA,NA,,
healer_diag,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,208,NA,NA,,
healer_drug,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,207,NA,NA,,
healer_othr,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,210,NA,NA,,
healer_total,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,211,NA,NA,,
healer_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,209,NA,NA,,
highcost,gems1_huas_data.sas7bdat,,,num,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1","0=NOT IN CODEBOOK, 1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,,,,345,NA,NA,,response value 0 not in codebook
hlth_dec,gems1_huas_data.sas7bdat,,,num,,"0, 2",,,,,422,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
hlthctr1,gems1_huas_data.sas7bdat,,,num,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",,,,,,76,NA,NA,,
hlthctr2,gems1_huas_data.sas7bdat,,,num,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",,,,,,77,NA,NA,,
hlthctr3,gems1_huas_data.sas7bdat,,,num,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",,,,,,78,NA,NA,,
homeab_spec,gems1_huas_data.sas7bdat,,,chr,E38.2: Health care utilization. Specify antibiotics (if hometrt_ab=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,176,NA,NA,,
homeliq_spec,gems1_huas_data.sas7bdat,,,chr,E38.4: Health care utilization. Specify other liquids (if hometrt_othrliq=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,174,NA,NA,,
homeothr_spec1,gems1_huas_data.sas7bdat,,,chr,E38.6: Health care utilization. Specify other home remedy #1 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,178,NA,NA,,
homeothr_spec2,gems1_huas_data.sas7bdat,,,chr,E38.8: Health care utilization. Specify other home remedy #2 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,180,NA,NA,,
hometrt_ab,gems1_huas_data.sas7bdat,,,num,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,175,NA,NA,,
hometrt_herbal,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,170,NA,NA,,
hometrt_maize,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,168,NA,NA,,
hometrt_milk,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,169,NA,NA,,
hometrt_none,gems1_huas_data.sas7bdat,,,num,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,172,NA,NA,,
hometrt_ors,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,167,NA,NA,,
hometrt_othr1,gems1_huas_data.sas7bdat,,,num,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,177,NA,NA,,
hometrt_othr2,gems1_huas_data.sas7bdat,,,num,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,179,NA,NA,,
hometrt_othrliq,gems1_huas_data.sas7bdat,,,num,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,173,NA,NA,,
hometrt_zinc,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,171,NA,NA,,
hospab_spec,gems1_huas_data.sas7bdat,,,chr,E41.2: Health care utilization. Specify antibiotics (if hosptrt_ab=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,,,,,,194,NA,NA,,
hospcare,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,409,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
hospctr1,gems1_huas_data.sas7bdat,,,num,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,142,NA,NA,,
hospctr2,gems1_huas_data.sas7bdat,,,num,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,144,NA,NA,,
hospctr3,gems1_huas_data.sas7bdat,,,num,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,146,NA,NA,,
hospothr_spec,gems1_huas_data.sas7bdat,,,chr,E41.4: Health care utilization. Specify other treatment (if hosptrt_othr=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,,,,,,196,NA,NA,,
hosptrt_ab,gems1_huas_data.sas7bdat,,,num,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,193,NA,NA,,
hosptrt_dk,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,191,NA,NA,,
hosptrt_intfld,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,188,NA,NA,,
hosptrt_medinj,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,189,NA,NA,,
hosptrt_ors,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,190,NA,NA,,
