variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
died_rice,DIED_RICE,NA,NA,gems1_huas_data.sas7bdat,num,318,NA,NA,,,"1=No, 2=Yes, NA=NA",H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Rice watery/cholera-like illness.
diff_chldcare,DIFF_CHLDCARE,NA,NA,gems1_huas_data.sas7bdat,num,93,NA,NA,,,"0=No, 1=Yes, NA=NA",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of childcare for other children. Select all that apply.
diff_cost,DIFF_COST,NA,NA,gems1_huas_data.sas7bdat,num,89,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Costs too much money. Select all that apply.
diff_flood,DIFF_FLOOD,NA,NA,gems1_huas_data.sas7bdat,num,87,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Flood. Select all that apply.
diff_noprob,DIFF_NOPROB,NA,NA,gems1_huas_data.sas7bdat,num,95,NA,NA,,,"0=No, 1=Yes, NA=NA",C23.2: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Never a problem. Select all that apply.
diff_othr,DIFF_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,90,NA,NA,,,"0=No, 1=Yes","C23.1: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Other, specify. Select all that apply."
diff_politic,DIFF_POLITIC,NA,NA,gems1_huas_data.sas7bdat,num,92,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Political unrest. Select all that apply.
diff_rain,DIFF_RAIN,NA,NA,gems1_huas_data.sas7bdat,num,94,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Heavy rain. Select all that apply.
diff_reloc,DIFF_RELOC,NA,NA,gems1_huas_data.sas7bdat,num,88,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Temporary relocation. Select all that apply.
diff_spec,DIFF_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,96,NA,NA,,,,"C23.3: Parents perception of illness and use of health care facility. Specify if diff_othr=1 (other, specify). Select all that apply."
diff_trnsprt,DIFF_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,91,NA,NA,,,"0=No, 1=Yes",C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of transport. Select all that apply.
doc_consult,DOC_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,212,NA,NA,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
doc_diag,DOC_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,214,NA,NA,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
doc_drug,DOC_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,213,NA,NA,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
doc_othr,DOC_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,216,NA,NA,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
doc_total,DOC_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,217,NA,NA,,,,"F42.3: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
doc_trnsprt,DOC_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,215,NA,NA,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
drh_blood,DRH_BLOOD,DRH_BLOOD,drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,104,23,22,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks
drh_coma,DRH_COMA,NA,NA,gems1_huas_data.sas7bdat,num,115,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks
drh_cont,DRH_CONT,NA,NA,gems1_huas_data.sas7bdat,num,117,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",D28.1: Diarrhea history. Is the child still having diarrhea. Only complete for children who had diarrhea in the last 2 weeks
drh_days,DRH_DAYS,DRH_DAYS,drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,116,18,17,,,,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks
drh_days_last,NA,DRH_DAYS_LAST,drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,19,18,,,,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes"""
drh_daysago,DRH_DAYSAGO,NA,NA,gems1_huas_data.sas7bdat,num,118,NA,NA,,,,"D28.2: Diarrhea history. If no, how many days ago did the child have diarrhea (3 or more abnormally loose or watery stools) for the last time. Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes"""
drh_decurin,DRH_DECURIN,NA,NA,gems1_huas_data.sas7bdat,num,107,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Decreased urination. Only complete for children who had diarrhea in the last 2 weeks
drh_drink,NA,DRH_DRINK,drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,22,21,,,"0, 1, 2, 3, 9",NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks
drh_dry,DRH_DRY,NA,NA,gems1_huas_data.sas7bdat,num,109,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks
drh_fever,DRH_FEVER,DRH_FEVER,drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,112,21,20,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks
drh_irritable,NA,DRH_IRRITABLE,drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,25,24,,,"0, 1, 2, 3, 9",NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks
drh_lethrgy,DRH_LETHRGY,DRH_LETHRGY,drh_lethrgy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,114,26,25,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks
drh_mucus,DRH_MUCUS,NA,NA,gems1_huas_data.sas7bdat,num,105,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Mucus / pus in stool. Only complete for children who had diarrhea in the last 2 weeks
drh_rice,DRH_RICE,DRH_RICE,drh_rice,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,106,24,23,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks
drh_sunkeyes,DRH_SUNKEYES,DRH_SUNKEYES,drh_sunkeyes,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,110,28,27,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Sunken eyes. Only complete for children who had diarrhea in the last 2 weeks
drh_thirst,DRH_THIRST,DRH_THIRSTY,drh_thirsty,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,108,27,26,variables 'drh_thirst' & 'drh_thirsty' should map to the same display label & IRI,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA, 9=NOT IN CODEBOOK",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks
drh_vomit,DRH_VOMIT,NA,NA,gems1_huas_data.sas7bdat,num,113,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks
drh_wrnkskin,DRH_WRNKSKIN,DRH_WRNKSKIN,drh_wrnkskin,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,111,29,28,,response values 0 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Wrinkled skin. Only complete for children who had diarrhea in the last 2 weeks
drh2wks,DRH2WKS,NA,NA,gems1_huas_data.sas7bdat,num,99,NA,NA,,,"1=No, 2=Yes","D25: Diarrhea history. Hs the child had an illness with diarrhea (3 or more loose or watery stools during a 24-hr period) in the last 2 weeks. If ""No"" go to part G, if ""Yes"" continue"
drink_less,DRINK_LESS,NA,NA,gems1_huas_data.sas7bdat,num,185,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Nothing to drink, NA=NA","E39.1: Health care utilization. Did you offer much less than usual to drink, or somewhat less, or nothing (if offr_drink=3). Only complete for children who had diarrhea in the last 2 weeks"
drinkoffr,drinkoffr,NA,NA,gems1_huas_data.sas7bdat,num,425,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
drugstore,drugstore,NA,NA,gems1_huas_data.sas7bdat,num,408,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
duration,duration,NA,NA,gems1_huas_data.sas7bdat,num,424,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
dwb_ctr1,DWB_CTR1,NA,NA,gems1_huas_data.sas7bdat,num,296,NA,NA,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwb_ctr2,DWB_CTR2,NA,NA,gems1_huas_data.sas7bdat,num,298,NA,NA,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwb_ctr3,DWB_CTR3,NA,NA,gems1_huas_data.sas7bdat,num,300,NA,NA,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwb_ctr4,DWB_CTR4,NA,NA,gems1_huas_data.sas7bdat,num,302,NA,NA,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwb_spec,DWB_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,304,NA,NA,,,,"G51.1: Health care attitudes. Specify other facility not coded (090), for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks"
dwob_ctr1,DWOB_CTR1,NA,NA,gems1_huas_data.sas7bdat,num,297,NA,NA,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwob_ctr2,DWOB_CTR2,NA,NA,gems1_huas_data.sas7bdat,num,299,NA,NA,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwob_ctr3,DWOB_CTR3,NA,NA,gems1_huas_data.sas7bdat,num,301,NA,NA,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwob_ctr4,DWOB_CTR4,NA,NA,gems1_huas_data.sas7bdat,num,303,NA,NA,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090"
dwob_spec,DWOB_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,305,NA,NA,,,,G51.3: Health care attitudes. Specify other facility not coded (090) for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks
eat_less,EAT_LESS,NA,NA,gems1_huas_data.sas7bdat,num,187,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Stopped food, NA=NA","E40.1: Health care utilization. Did you offer much less than usual to eat, or somewhat less, or nothing (if offr_eat=3). Only complete for children who had diarrhea in the last 2 weeks."
eatoffr,eatoffr,NA,NA,gems1_huas_data.sas7bdat,num,426,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
edu,edu,NA,NA,gems1_huas_data.sas7bdat,num,423,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2",
facility_spec1,FACILITY_SPEC1,NA,NA,gems1_huas_data.sas7bdat,chr,81,NA,NA,,,,"C20: Parents perception of illness and use of health care facility. If the facility of 1st choice was not coded, (hlthctr1=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec1"
facility_spec2,FACILITY_SPEC2,NA,NA,gems1_huas_data.sas7bdat,chr,82,NA,NA,,,,"C20.2: Parents perception of illness and use of health care facility. If the facility of 2nd choice was not coded, (hlthctr2=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec2"
facility_spec3,FACILITY_SPEC3,NA,NA,gems1_huas_data.sas7bdat,chr,83,NA,NA,,,,"C20.4: Parents perception of illness and use of health care facility. If the facility of 3rd choice was not coded, (hlthctr3=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec3"
famsize,famsize,NA,NA,gems1_huas_data.sas7bdat,num,418,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
floor,FLOOR,NA,NA,gems1_huas_data.sas7bdat,num,42,NA,NA,,,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",B16: Household information. What is the predominant floor inside the house.
floor_spec,FLOOR_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,43,NA,NA,,,#NAME?,"B16.1: Household information. If floor=3 (other, specify), specify floor type."
friend,friend,NA,NA,gems1_huas_data.sas7bdat,num,404,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
gems_shf,NA,NA,GEMS_SHF,gems1_huas_lite_data_kenya.sas7bdat,chr,NA,NA,80,,variable not in HUAS codebook (CRF01 HUAS),,
gemsshf,NA,NA,GEMSSHF,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,79,,variable not in HUAS codebook (CRF01 HUAS),"1, 2",
gender,GENDER,GENDER,gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,15,8,9,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",A05: Eligibility information. Is the child a boy or girl.
hchldrn,hchldrn,NA,NA,gems1_huas_data.sas7bdat,num,420,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
healer,healer,NA,NA,gems1_huas_data.sas7bdat,num,405,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
healer_consult,HEALER_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,206,NA,NA,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
healer_diag,HEALER_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,208,NA,NA,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
healer_drug,HEALER_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,207,NA,NA,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
healer_othr,HEALER_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,210,NA,NA,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
healer_total,HEALER_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,211,NA,NA,,,,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
healer_trnsprt,HEALER_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,209,NA,NA,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
highcost,HIGHCOST,NA,NA,gems1_huas_data.sas7bdat,num,345,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA","H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1"
hlth_dec,hlth_dec,NA,NA,gems1_huas_data.sas7bdat,num,422,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 2",
hlthctr1,HLTHCTR1,NA,NA,gems1_huas_data.sas7bdat,num,76,NA,NA,,,,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090"
hlthctr2,HLTHCTR2,NA,NA,gems1_huas_data.sas7bdat,num,77,NA,NA,,,,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090"
hlthctr3,HLTHCTR3,NA,NA,gems1_huas_data.sas7bdat,num,78,NA,NA,,,,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090"
homeab_spec,HOMEAB_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,176,NA,NA,,,,E38.2: Health care utilization. Specify antibiotics (if hometrt_ab=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks
homeliq_spec,HOMELIQ_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,174,NA,NA,,,,E38.4: Health care utilization. Specify other liquids (if hometrt_othrliq=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks
homeothr_spec1,HOMEOTHR_SPEC1,NA,NA,gems1_huas_data.sas7bdat,chr,178,NA,NA,,,,E38.6: Health care utilization. Specify other home remedy #1 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks
homeothr_spec2,HOMEOTHR_SPEC2,NA,NA,gems1_huas_data.sas7bdat,chr,180,NA,NA,,,,E38.8: Health care utilization. Specify other home remedy #2 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks
hometrt_ab,HOMETRT_AB,NA,NA,gems1_huas_data.sas7bdat,num,175,NA,NA,,,"0=No, 1=Yes, NA=NA","E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_herbal,HOMETRT_HERBAL,NA,NA,gems1_huas_data.sas7bdat,num,170,NA,NA,,,"0=No, 1=Yes, NA=NA","E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_maize,HOMETRT_MAIZE,NA,NA,gems1_huas_data.sas7bdat,num,168,NA,NA,,,"0=No, 1=Yes, NA=NA","E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_milk,HOMETRT_MILK,NA,NA,gems1_huas_data.sas7bdat,num,169,NA,NA,,,"0=No, 1=Yes, NA=NA","E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_none,HOMETRT_NONE,NA,NA,gems1_huas_data.sas7bdat,num,172,NA,NA,,,"0=No, 1=Yes, NA=NA","E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_ors,HOMETRT_ORS,NA,NA,gems1_huas_data.sas7bdat,num,167,NA,NA,,,"0=No, 1=Yes, NA=NA","E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_othr1,HOMETRT_OTHR1,NA,NA,gems1_huas_data.sas7bdat,num,177,NA,NA,,,"0=No, 1=Yes, NA=NA","E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
