<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_trnsprt,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0010381,When washes hands,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0010239,Describe stool since the illness began,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
highcost,gems1_huas_data.sas7bdat,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1",http://purl.obolibrary.org/obo/EUPATH_0010013,Previous diarrheal care,
hlth_dec,gems1_huas_data.sas7bdat,,,,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0010068,Health facility code,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0000553,Future use consent,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0015248,Health facility for dysentery,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0015249,Health facility for cough,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0015250,Health facility for fever,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0015251,Health facility for other,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0010157,1st choice facility code,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,
hlthctr1,gems1_huas_data.sas7bdat,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0010068,Health facility code,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0000553,Future use consent,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0015248,Health facility for dysentery,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0015249,Health facility for cough,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0015250,Health facility for fever,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0015251,Health facility for other,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0010157,1st choice facility code,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,
hlthctr2,gems1_huas_data.sas7bdat,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0010068,Health facility code,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0000553,Future use consent,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0015248,Health facility for dysentery,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0015249,Health facility for cough,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0015250,Health facility for fever,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0015251,Health facility for other,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0010157,1st choice facility code,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,
hlthctr3,gems1_huas_data.sas7bdat,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_ab,gems1_huas_data.sas7bdat,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015085,Home remedy or herbal medication,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_herbal,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_maize,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015084,Special milk or infant formula,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
