Isolate source	Isolate source category	Mapped Ontology Term IRI	Mapped Ontology Term Label
patient stool sample #085	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
patient stool sample #100	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
purified cysts from faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
purified cysts from feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
purified cysts from host faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
quail feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
raccoon fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
scat	feces		
sheep fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
sheep feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool from human	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool from patient with non-dysenteric amebic colitis, maintained in axenic culture containing patient's original intestinal flora	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool of amobiasis patients	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool of an amebic liver abscess patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool of infected patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool sample from immunocompetent human	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool sample from the mentally retarded patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool sample from the mentally retarded patient 202	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool sample of HIV+ patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool samples collected from malnourished children	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
stool specimen	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
turkey faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
unknown fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
calf muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
cyst in heart muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
cyst in loin muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
diaphragmatic muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
female muscle tissue	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
heart muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
host muscle tissue	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
muscle abcess	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
muscle cyst	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
muscle of Domestic Chicken (Gallus gallus domesticus)	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
Muscle of Sparrow (Passer domesticus)	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
muscles of infected intermediate host	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
paraffin embedded formalin fixed muscle tissue of host	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
skeletal muscle	muscle	http://purl.obolibrary.org/obo/UBERON_0001134	skeletal muscle tissue
triceps femoris	muscle	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
39 year-old female patient with ALA (amebic liver abscess)	other source		
3-phase biofilm	other source	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
40 year-pld male patient with ALA (amebic liver abscess)	other source		
55 year-old male patient with PLA (pyogenic liver abscess)	other source		
57 year-old female patient with MLA (mixed liver abscess; amebic and pyogenic)	other source		
a rice field of the Istituto Sperimentale della Risicoltura	other source	http://purl.obolibrary.org/obo/ENVO_00000296	rice field
aerosol	other source	http://purl.obolibrary.org/obo/ENVO_00010505	aerosol
AIDS patient	other source		
air conditioner scrape	other source		
Alpinia flowers	other source	http://purl.obolibrary.org/obo/PO_0009046 	flower
amniotic membrane	other source		
amoebic liver abscess	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
aqueous aspirate collected from a patient with clinically diagnosed toxoplasma retinochoroiditis	other source		
aqueous humour	other source	http://purl.obolibrary.org/obo/UBERON_0001796	aqueous humor of eyeball
archaeological material (sediment) from well from the 18th/19th century	other source	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
archaeological material (sediment) from well/cesspit from 18th century	other source	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
axenic culture	other source		
axenic cultures established at the L. V. Prasad Eye Institute	other source		
axenic cultures established at the microbiology lab of LV Prasad Eye Institute, Hyderabad, India	other source		
beach sand	other source	http://purl.obolibrary.org/obo/ENVO_00002138	beach sand
bee hives	other source		
biofilm	other source	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
black stain on cave sediment	other source		
blood, liver, and spleen	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
box contact lens	other source		
brain abscess of immunocompetent human	other source	http://purl.obolibrary.org/obo/UBERON_0000955	brain
bronchi	other source		
bronchoalveolar lavage fluid from patient with disseminated microsporidiosis	other source		
Brugmansia flowers	other source	http://purl.obolibrary.org/obo/PO_0009046 	flower
buffy coat from asymptomatic Burmese woman	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
buffy coat from from Burmese man coinfected with Leishmania sp. 'siamensis' and HIV	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
buffy coat from symptomatic Burmese man	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
buffy coat from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
buffy coat from visceral leishmaniasis in Thai man	other source	http://purl.obolibrary.org/obo/UBERON_0000178	blood
bull semen	other source	http://purl.obolibrary.org/obo/UBERON_0001968	semen
cave sediment	other source	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
cell line of schizont infected bovine cells	other source		
cell line of schizont infected ovine cells	other source		
Citrus fruit	other source		
clam digestive gland	other source	http://purl.obolibrary.org/obo/UBERON_0006925	digestive gland
conjuntival swab	other source		
contact lens	other source		
contact lens case	other source		
contact lens case sample from non-keratitis patient	other source		
contact lens of female patient	other source		
contact lens sample from non-keratitis patient	other source		
contact lens; contact lens case	other source		
contact lenses	other source		
contact lenses and contact lenses case	other source		
contact lenses case	other source		
contact-lens case of keratitis patient	other source		
cornea	other source	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
cornea, AK	other source		
corneal biopsy	other source		
corneal biopsy from keratitis patient	other source		
corneal button	other source		
corneal epithelium of Iranian patient	other source	http://purl.obolibrary.org/obo/UBERON_0001772	corneal epithelium
corneal scrape	other source		
corneal scrape, left contact lens	other source		
corneal scrape, left contact lens, right contact lens	other source		
corneal scrape, needle, right contact lens	other source		
corneal scrape, right contact lens	other source		
corneal scrape, right contact lens, left contact lens	other source		
corneal scraping	other source		
corneal scraping from a keratitis patient wearing contacts	other source		
corneal scraping from keratitis patient	other source		
corneal scraping from patient with keratitis	other source		
corneal scraping of keratitis patient	other source		
corneal scrapings from a patient with keratitis	other source		
corneal surface tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
corneal tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
corneal washing	other source		
CSF from patient with granulomatous amoebic encephalitis	other source		
culture	other source		
cultured parasite	other source		
cutaneous amoebiasis	other source		
cutaneous biopsy	other source		
cutaneous leishmaniasis patient	other source		
cutaneous leishmaniasis patient with recidivan form	other source		
cutaneous lesion	other source		
cutaneous membrane from HIV-infected patient receiving treatment for leishmaniasis	other source		
cynomolgus monkey	other source		
cyst	other source		
dental unit scrape	other source		
diaphragm	other source	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm
dust	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
dust of air conditioner filter	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
dust sample collected from air-handler of centralized air-conditioner	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
dust sample collected from room air-conditioner	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
dust sample collected from vents of centralized air-conditioner	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
dust sample on vents of centralized air-conditioner	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
engorged larva collected from Apodemus flavicollis	other source	http://purl.obolibrary.org/obo/UBERON_0002548	larva
engorged larva collected from Myodes glareolus	other source	http://purl.obolibrary.org/obo/UBERON_0002548	larva
eosophagous	other source		
epitelial cells from conjuntivas	other source		
epithelial cell and peritoneal cavity	other source		
epithelial cells and organs in peritoneal cavity	other source	http://purl.obolibrary.org/obo/UBERON_0001179	peritoneal cavity
epithelial cells of the gut and peritoneal cavity	other source		
esophageal cyst	other source		
extracted DNA from blood-fed Aedes esoensis	other source		
extracted DNA from blood-fed Cx. pipiens	other source		
extracted DNA from unfed Culex nigropunctatus	other source		
extracted DNA from unfed Culex pipiens group	other source		
eye	other source	http://purl.obolibrary.org/obo/UBERON_0000970	eye
farm manure pit	other source	http://purl.obolibrary.org/obo/UBERON_0001988	feces
farmed rainbow trout 2	other source		
field rodent spleen	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
fish muscle	other source	http://purl.obolibrary.org/obo/UBERON_0005090	muscle structure
fly midgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
fly proboscis	other source		
formalin fixed tissues samples from avian necropsy cases	other source		
gall bladder	other source	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
gastric epithelium	other source	http://purl.obolibrary.org/obo/UBERON_0000483	epithelium
gill tissue	other source	http://purl.obolibrary.org/obo/UBERON_0002535	gill
gills and digestive glands	other source		
gills of salmon	other source		
gut content	other source		
gut region of pebrine infected tropical tasar silkworm	other source		
heart	other source	http://purl.obolibrary.org/obo/UBERON_0000948	heart
hemolymph	other source	http://purl.obolibrary.org/obo/UBERON_0001011	hemolymph
Hibiscus flowers	other source	http://purl.obolibrary.org/obo/PO_0009046 	flower
hind gut	other source	http://purl.obolibrary.org/obo/UBERON_0001046	hindgut
Homo sapiens eye	other source	http://purl.obolibrary.org/obo/UBERON_0000970	eye
hospital ward	other source	http://purl.obolibrary.org/obo/ENVO_00002173	hospital
host caecum	other source	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
host crop (oesophagus)	other source	http://purl.obolibrary.org/obo/UBERON_0007356	crop
host spleen	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
household dust	other source	http://purl.obolibrary.org/obo/ENVO_00002008	dust
human keratitis infection	other source		
human liver	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
in vitro culture	other source		
infected big brown bat kidney	other source	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
infected eye	other source		
infected fox liver	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
infected human liver cell line (HepG2)	other source	http://purl.obolibrary.org/obo/BTO_0000224	liver cell line
infected red fox spleen	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
infected spleen	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
intestinal content	other source		
intestinal tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
intestinal veins	other source		
intestinal wall	other source		
intestine	other source	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
Ipomoea flowers	other source	http://purl.obolibrary.org/obo/PO_0009046 	flower
keratitis	other source		
keratitis lesion	other source		
keratitis patient	other source		
keratitis patients having no history of contact-lens wear	other source		
kidney	other source	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
kidneys	other source		
left contact lens	other source		
left contact lens, right contact lens	other source		
left corneal lens	other source		
left corneal scrape	other source		
lens case B	other source		
lens case, AK	other source		
lesion	other source		
lesion from cutaneous leishmaniasis patient	other source		
liver	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
liver abcess pus of an amebic liver abscess patient	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
liver abscess fluid of an amebic liver abscess patient	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
liver of aborted fetus	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
liver tissue from a toucan that died due to amebic infection	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
liver; lung; intestine	other source	http://purl.obolibrary.org/obo/UBERON_0002107	liver
lung	other source	http://purl.obolibrary.org/obo/UBERON_0002048	lung
lymph node	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
lymph node aspirate	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
lymph node aspirate spotted on filter paper	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
lymph node of infected cattle	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
lymph node tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
Macaca mulatta	other source		
male heart tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000948	heart
Malpighian tubes	other source		
marsh sediment	other source	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
midgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
midgut or hindgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
midgut or hingut of heteropteran bug	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
midgut/hindgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
Morinda fruit	other source	http://purl.obolibrary.org/obo/PO_0009001	fruit
multigravid	other source		
murine fibroblast cell line L929	other source	http://purl.obolibrary.org/obo/BTO_0000453	fibroblast cell line
murine tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
myocardium of Japanese Sika deer	other source	http://purl.obolibrary.org/obo/UBERON_0002349	myocardium
nematode from compost pile	other source	http://purl.obolibrary.org/obo/ENVO_00002170	compost
nematode from soil	other source	http://purl.obolibrary.org/obo/ENVO_00001998	soil
non-contact lens related keratitis patient	other source		
non-contact lens related keratitis patient's environment	other source		
non-embryogenic callus	other source		
Norwegian tap inner surfaces	other source		
oesophagus	other source		
oocysts	other source		
oral cavity	other source	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity
oral cavity of Canis familiaris	other source	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity
Pandanus fruit	other source	http://purl.obolibrary.org/obo/PO_0009001	fruit
paraffin-embedded intestine	other source	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
patient presenting annular stromal infiltrate	other source		
patient presenting pseudodendritiform epitheliopathy and radial keratoneuritis	other source		
patient presenting redness, photophobia and elevated epithelia lines	other source		
patient with keratitis coinfection	other source		
patient with ocular infections admitted to Kanazawa university hospital	other source		
patients with ocular infections admitted to the hospital	other source		
PCR-derived sequence from cultured trypanosomes	other source		
pleural fluid	other source	http://purl.obolibrary.org/obo/UBERON_0001087	pleural fluid
polyclonal cell line of schizont infected bovine cells	other source		
Post kala azar dermal leishmaniasis	other source		
pre-scapular lymph node	other source	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
primigravid	other source		
pseudobranch	other source		
pulmonary secretion	other source		
rainbow trout 1	other source		
rhesus monkey	other source		
right contact lens	other source		
right contact lens, left contact lens	other source		
Russula mushroom	other source	http://purl.obolibrary.org/obo/ENVO_02000072	mushroom
salt cave scrape	other source	http://purl.obolibrary.org/obo/ENVO_00000067	cave
sand fly midgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
sandfly midgut	other source	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
secundigravid	other source		
sewage sludge	other source	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
sludge	other source	http://purl.obolibrary.org/obo/ENVO_00002044	sludge
smear from cutaneous leishmaniasis and bone marrow from visceral leishmaniasis	other source	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
spleen	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
spleen and liver	other source	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
Stenocereus gummosus (agria cactus)	other source		
stomach contents	other source		
stomach of amphibian pet animal import from Malaysia	other source	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
stomach scraping	other source	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
stromatolitic stalagmite in Karst cave	other source	http://purl.obolibrary.org/obo/ENVO_00000330	stalagmite
swabs from contact lens case of the patient infected with Acanthamoeba isolate AC11-1	other source		
swabs from contact lens case of the patient infected with Acanthamoeba isolate AC15	other source		
swabs from contact lens case of the patient infected with Acanthamoeba isolate AC29	other source		
swabs from contact lens case of the patient infected with Acanthamoeba isolate AC6	other source		
Terminalia fruit	other source	http://purl.obolibrary.org/obo/PO_0009001	fruit
thymus	other source	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
tissue	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue biopsy	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue biopsy from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue cysts	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue from Burmese man coinfected with Leishmania sp. 'siamensis' and HIV	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue from symptomatic Burmese man	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tissue sample	other source	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
tongue	other source	http://purl.obolibrary.org/obo/UBERON_0001723	tongue
tracheal biopsy from a patient with hoarseness	other source		
transudate from the thoracal body cavity	other source		
ulcers of animal infected by disseminated Leishmaniasis	other source		
vaccine cell culture	other source	http://purl.obolibrary.org/obo/OBI_0001876	cell culture
vaginal specimen	other source		
vaginal swab	other source		
vitreous aspirate	other source		
yeast culture	other source		
placenta/DBL-gamma	placenta	http://purl.obolibrary.org/obo/UBERON_0001987	placenta
saliva from amoebic liver abscess patient	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
saliva from asymptomatic Burmese woman	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
saliva from Burmese man coinfected with Leishmania sp. 'siamensis' and HIV	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
saliva from symptomatic Burmese man	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
saliva from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
saliva from visceral leishmaniasis in Thai man	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
salivary glands	saliva	http://purl.obolibrary.org/obo/UBERON_0001044	saliva-secreting gland
scraped saliva of HIV infected patient	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
scraped saliva of human immunocompetent	saliva	http://purl.obolibrary.org/obo/UBERON_0001836	saliva
biopsy skin of human patient (Cutaneous Leishmaniasis ulcer)	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
cutaneous isolate, culture	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
cutaneous isolate, cultured parasite	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
host skin	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
human skin leishmaniasis lesions	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
mucocutaneous isolate, cultured parasite	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
patient with cutaneous leishmaniasis	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
PostKala-azar Dermal Leishmaniasis skin isolate, cultured parasite	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin biopsy	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin biopsy of sodium stibogluconate-treated PKDL patient	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin from Thai man coinfected with Leishmania sp. 'siamensis' and HIV	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin lesion	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
Skin lesion of human cutaneous leishmaniasis	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin lesions	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin nodule	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin nodules	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
skin sample	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
smear from cutaneous leishmaniasis	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
smear from cutaneous leishmaniasis patient	skin	http://purl.obolibrary.org/obo/UBERON_0019204	skin epithelium
6 feet deep loam soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
agriculture waste compost	soil	http://purl.obolibrary.org/obo/ENVO_00002170	compost
apple orchard soil	soil	http://purl.obolibrary.org/obo/ENVO_00005772	orchard soil
asparagus straw compost	soil	http://purl.obolibrary.org/obo/ENVO_00002170	compost
compost	soil	http://purl.obolibrary.org/obo/ENVO_00002170	compost
decomposed soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
farm soil	soil	http://purl.obolibrary.org/obo/ENVO_00005749	farm soil
fertile soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
flowerpot soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
forest soil	soil	http://purl.obolibrary.org/obo/ENVO_00002261	forest soil
forest soil from the long-term soil productivity (LTSP) site Skulow Lake	soil	http://purl.obolibrary.org/obo/ENVO_00002261	forest soil
high altitude soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
intensively managed grassland soil	soil	http://purl.obolibrary.org/obo/ENVO_00005750	grassland soil
pasture soil	soil	http://purl.obolibrary.org/obo/ENVO_00005773	pasture soil
rhizosphere of sunflower plants collected from nitrogen fertilized soil	soil	http://purl.obolibrary.org/obo/ENVO_00005801	rhizosphere
soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
soil sample	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
soil samples from parks and agricultural area	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
surface fertile soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
surface sand soil	soil	http://purl.obolibrary.org/obo/ENVO_00001998	soil
trembling aspen rhizosphere under ambient CO2 conditions	soil	http://purl.obolibrary.org/obo/ENVO_00005801	rhizosphere
trembling aspen rhizosphere under elevated CO2 conditions	soil	http://purl.obolibrary.org/obo/ENVO_00005801	rhizosphere
blood from sheep experimentally infected with Haemaphysalis qinghaiensis	tick	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from sheep experimentally infected with the tick species Haemaphysalis qinghaiensis	tick	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from sheep experimentally infected with the tick species Rhipicephalus evertsi	tick	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Dermacentor reticulatus removed from a dog	tick		
female tick	tick		
Hyalomma dromedarii	tick		
Hyalomma impeltatum	tick		
Hyalomma marginatum	tick		
Ixodes persulcatus	tick		
Ixodes ricinus	tick		
Ixodes ricinus eggs and larva	tick	http://purl.obolibrary.org/obo/UBERON_0002548	larva
midgut of Haemaphysalis hystricis	tick	http://purl.obolibrary.org/obo/UBERON_0001045	midgut
Rhipicephalus annulatus	tick		
Rhipicephalus bursa	tick		
tick feeding on roe deer	tick		
unfed adult tick collected in 2003	tick		
2a. Seccion de Izapa	Unknown		
aborted fetus	Unknown		
Acrelandia	Unknown		
Acrocephalus agricola	Unknown		
acute lymphoid leukaemia child	Unknown		
Adamaoua plateau	Unknown	http://purl.obolibrary.org/obo/ENVO_00000182	plateau
Addo Elephant Game Park	Unknown		
adult Bos taurus	Unknown		
adult female	Unknown		
adult male	Unknown		
Africa	Unknown		
Anas platyrhynchos	Unknown		
Anas platyrhynchos exp.infection	Unknown		
anglerfish	Unknown		
Anisus vortex	Unknown		
Asia	Unknown		
asymptomatic patient	Unknown		
asymtomatic child with microsporidiosis	Unknown		
Atbara	Unknown		
Babesia gibsoni-infected dog	Unknown		
banded mongoose	Unknown		
beak	Unknown	http://purl.obolibrary.org/obo/UBERON_0005094	beak
Bearded vulture 9361	Unknown		
bighorn sheep	Unknown		
biopsy	Unknown		
body	Unknown		
Bos taurus	Unknown		
Bovine	Unknown		
bovine calf	Unknown		
Bradypus sp.	Unknown		
Brazilian Amazon	Unknown		
Budgerigar 367	Unknown		
buffy coat	Unknown	http://purl.obolibrary.org/obo/UBERON_0000178	blood
calf	Unknown		
California sea otter	Unknown		
Camden Diary Farm	Unknown	http://purl.obolibrary.org/obo/ENVO_00000078	farm
Campo Grande_MS	Unknown		
Canary bird 18087	Unknown		
canine	Unknown		
Canton San Cristobal	Unknown		
Canton Sn Nicolas Lagartero	Unknown		
Caribbean island	Unknown	http://purl.obolibrary.org/obo/ENVO_00000098	island
Caribbean Islands	Unknown	http://purl.obolibrary.org/obo/ENVO_00000098	island
Carrillo puerto Norte	Unknown		
cat	Unknown		
cat with a fatal infection	Unknown		
cat with fatal infection	Unknown		
cattle	Unknown		
Cattle. AC40	Unknown		
Cattle. AC5	Unknown		
Cattle. AC56	Unknown		
Cattle. AC57	Unknown		
Cattle. AC72	Unknown		
Cattle. AC73	Unknown		
Cattle. AC74	Unknown		
Cattle. BH110	Unknown		
Cattle. BH133	Unknown		
Cattle. BH135	Unknown		
Cattle. BH136	Unknown		
Cattle. BH14	Unknown		
Cattle. BH16	Unknown		
Cattle. BH18	Unknown		
Cattle. BH20	Unknown		
Cattle. BH52	Unknown		
Cattle. BH66	Unknown		
Cattle. BH72	Unknown		
Cattle. BH8	Unknown		
Cattle. BH89	Unknown		
Cattle. CR192	Unknown		
Cattle. CR198	Unknown		
Cattle. CR307	Unknown		
Cattle. CR352	Unknown		
Cattle. CR386	Unknown		
Cd. Tapachula	Unknown		
Center Laboratory of Union Hospital of Beijing in China	Unknown		
Central America	Unknown		
Central East Africa	Unknown		
cercariae from the infected snails were used to infect rabbits	Unknown		
cercariae from the infected snails were used to infect rabbits, which were perfused to provide the worms for the study	Unknown		
cerebral malaria patient	Unknown		
Chabahar District	Unknown		
Chalcophaps indica	Unknown		
Changjiang fishpond	Unknown		
Chasiempis sandwichensis	Unknown		
Chennai	Unknown		
chicken	Unknown		
Chicken	Unknown		
chicken in low performance farm	Unknown		
child	Unknown		
child with acute lymphoid leukaemia	Unknown		
child/DBL-gamma	Unknown		
children	Unknown		
chimpanzee	Unknown		
chimpanzee 2	Unknown		
Chinese-malaria-patient-SHZ from West Africa	Unknown		
Choloepus didactylus	Unknown		
Choloepus hoffmanni	Unknown		
Clethrionomys rufocanus	Unknown		
clinical case	Unknown		
clinical isolate	Unknown		
clinical isolate from patient	Unknown		
clinical sample	Unknown		
clinically infected host	Unknown		
Coccivac B vaccine	Unknown		
collected on Oryx gazella gazella	Unknown		
Colonia 21 de marzo	Unknown		
crane No.1	Unknown		
Crane No.1	Unknown		
crane No.7	Unknown		
Crane No.7	Unknown		
Culex bitaeniorhynchus	Unknown		
Culex inatomii	Unknown		
Culex tritaeniorhynchus	Unknown		
cultured Babesia gibsoni at Hokkaido University	Unknown		
dairy cattle farm	Unknown		
dead-end pipeline	Unknown		
deforest	Unknown		
Dendroica caerulescens	Unknown		
diarrehic child	Unknown		
Dicerorhinus sumatrensis (Sumatran rhinoceros)	Unknown		
DNA sample provided by Dr. David Sibley at Washington University School of Medicine in St. Louis, MO	Unknown		
DNA sample provided by Drs. Marie-laure Darde and Daniel Ajzenberg at the University of Limoges in France.	Unknown		
