variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,notesForOnt,JZ_notes,SSS_answer
X64F._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62G._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63G._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64G._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62H._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63H._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64H._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62I._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63I._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64I._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62J._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63J._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64J._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62K._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63K._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64K._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62L._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63L._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64L._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62M._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63M._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64M._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62N._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63N._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64N._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62O._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63O._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64O._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X65._Additional_Antimalarial,inpatient_treatment_drug_4,,,,Observation,,,,,
X66._Generic_antimalarial_name,inpatient_treatment_drug_4,,,,Observation,,,,,
X67A._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68A._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69A._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67B._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68B._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69B._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67C._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68C._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69C._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67D._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68D._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69D._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67E._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68E._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69E._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67F._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68F._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69F._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67G._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68G._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69G._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67H._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68H._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69H._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67I._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68I._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69I._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67J._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68J._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69J._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67K._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68K._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69K._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67L._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68L._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69L._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67M._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68M._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69M._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67N._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68N._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69N._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67O._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68O._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69O._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X67P._Timepoint,inpatient_treatment_drug_4,,,,Observation,,,,,
X68P._Dose,inpatient_treatment_drug_4,,,,Observation,,,,,
X69P._Method,inpatient_treatment_drug_4,,,,Observation,,,,,
X70._Additional_antimalarial,inpatient_treatment_drug_5,,,,Observation,,,,,
X71._Generic_antimalarial_name,inpatient_treatment_drug_5,,,,Observation,,,,,
X72A._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73A._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74A._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72B._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73B._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74B._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72C._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73C._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74C._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72D._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73D._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74D._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72E._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73E._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74E._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72F._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73F._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74F._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72G._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73G._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74G._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72H._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73H._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74H._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72I._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73I._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74I._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72J._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73J._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74J._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72K._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73K._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74K._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72L._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73L._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74L._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72M._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73M._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74M._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X72N._Timepoint,inpatient_treatment_drug_5,,,,Observation,,,,,
X73N._Dose,inpatient_treatment_drug_5,,,,Observation,,,,,
X74N._Method,inpatient_treatment_drug_5,,,,Observation,,,,,
X68._Date_of_observation_collection,inpatient_care_chart_review,EUPATH_0000091,Date of observation,,Observation,EUPATH_0000310,Observation details,,"In some project, we name the term as data of visit. We may need to update Ontology term (clinical visit date) or add a new term too. In different project, different ontology terms may be used.",I think we will use Observation in all studies going forward
X69._Time_of_observation,inpatient_care_chart_review,EUPATH_0023053,Time of observation,,Observation,EUPATH_0000310,Observation details,,shall combine time with date?,"No, keep it separate"
X71._Temperature,inpatient_care_chart_review,EUPATH_0000110,Temperature (C),,Observation,OGMS_0000083,Physical examination,In F,"Is it different from X10? If so, what difference is? need convert value from in unit F to unit C","The difference is that this variable was measured repeatedly over the course of hospitalization, whereas X10 was only measured once. However, we will map both variables to the same ontology term. "
X72._Temperature_method,inpatient_care_chart_review,EUPATH_0000544,Temperature measurement method,,Observation,OGMS_0000083,Physical examination,"01, 01 - Axillary | 02, 02 - Oral | 03, 03 - Rectal | 04, 04 - Tympanic | 05, 05 - Other | -88, -88 - Missing | -99, -99 - Uncertain",,"This variable will only apply to X71, not X10"
X73._Blood_pressure_._systolic,inpatient_care_chart_review,EUPATH_0021086,Blood pressure - systolic (mmHg),,Observation,OGMS_0000083,Physical examination,(XXX mmHg),,
X74._Blood_pressure_._diastolic,inpatient_care_chart_review,EUPATH_0021087,Blood pressure - diastolic (mmHg),,Observation,OGMS_0000083,Physical examination,(XXX mmHg),,
X75._Heart_rate,inpatient_care_chart_review,EFO_0004326,Heart rate (beats/min),,Observation,OGMS_0000083,Physical examination,(XXX beats/min),,
X76._Respiration_rate,inpatient_care_chart_review,CMO_0000289,Respiration rate (breaths/min),,Observation,OGMS_0000083,Physical examination,(XX breaths/min),,
X77._Glascow_coma_score_._eye,inpatient_care_chart_review,EUPATH_0023020,Glascow coma score - eye,,Observation,OGMS_0000014,Clinical finding,(1-4),,
X78._Glascow_coma_score_._verbal,inpatient_care_chart_review,EUPATH_0023023,Glascow coma score - verbal,,Observation,OGMS_0000014,Clinical finding,(1-5),,
X79._Glascow_coma_score_._motor,inpatient_care_chart_review,EUPATH_0023021,Glascow coma score - motor,,Observation,OGMS_0000014,Clinical finding,(1-6),,
X80._Glascow_coma_score_._total,inpatient_care_chart_review,EUPATH_0023022,Glascow coma score - total,,Observation,OGMS_0000014,Clinical finding,(3-15),,
X81._Blantyre_coma_score_._eye,inpatient_care_chart_review,EUPATH_0023006,Blantyre coma score - eye,,Observation,OGMS_0000014,Clinical finding,(0-1),,
X82._Blantyre_coma_score_._verbal,inpatient_care_chart_review,EUPATH_0023009,Blantyre coma score - verbal,,Observation,OGMS_0000014,Clinical finding,(0-2),,
X83._Blantyre_coma_score_._motor,inpatient_care_chart_review,EUPATH_0023007,Blantyre coma score - motor,,Observation,OGMS_0000014,Clinical finding,(0-2),,
X84._Blantyre_coma_score_._total,inpatient_care_chart_review,EUPATH_0023008,Blantyre coma score - total,,Observation,OGMS_0000014,Clinical finding,(0-5),,
X86._Hemoglobin,inpatient_care_chart_review,EUPATH_0000047,Hemoglobin (g/dL),,Observation,OGMS_0000056,Laboratory test,(XX.X g/dl),,
X87._Total_WBC_count,inpatient_care_chart_review,CMO_0000027,White blood cell count (per mm3),,Observation,OGMS_0000056,Laboratory test,(XXXX units/mm^3),,
X88._Hematocrit.PCV,inpatient_care_chart_review,EFO_0004348,Hematocrit (%),,Observation,OGMS_0000056,Laboratory test,(XX %),,
X89._Fasting_blood_sugar_level,inpatient_care_chart_review,EUPATH_0023017,Fasting blood sugar (mg/dL),,Observation,OGMS_0000056,Laboratory test,(XXX mg %),,
X90._Blood_urea,inpatient_care_chart_review,EUPATH_0023010,BUN (mg/dL),,Observation,OGMS_0000056,Laboratory test,(XX mg %),,
X91._Serum_creatinine,inpatient_care_chart_review,EUPATH_0023011,Creatinine (mg/dL),,Observation,OGMS_0000056,Laboratory test,(X.X mg %),,
X92._Serum_bilirubin_._total,inpatient_care_chart_review,EUPATH_0023054,Total bilirubin (mg/dL),,Observation,OGMS_0000056,Laboratory test,(X.X mg %),,
X93._PO2,inpatient_care_chart_review,EUPATH_0023035,Partial pressure of oxygen (mmHg),,Observation,OGMS_0000056,Laboratory test,(XXX mmHg),,
X94._Bicarbonates,inpatient_care_chart_review,EUPATH_0023005,Bicarbonate (mmol/L),,Observation,OGMS_0000056,Laboratory test,(XX mmol/l),,
X95._Platelet_count,inpatient_care_chart_review,EFO_0004309,Platelet count (per uL blood),,Observation,OGMS_0000056,Laboratory test,platelets per uL blood,,
X96._Pulmonary_oedema,inpatient_care_chart_review,EUPATH_0023037,Pulmonary edema,,Observation,EUPATH_0000309,Signs and symptoms,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
X97._Enlarged_spleen,inpatient_care_chart_review,EUPATH_0023039,Splenomegaly,,Observation,EUPATH_0000309,Signs and symptoms,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
X98._Altered_levels_of_consciousness,inpatient_care_chart_review,EUPATH_0023003,Altered consciousness,,Observation,EUPATH_0000309,Signs and symptoms,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
X99._Abnormal_bleeding,inpatient_care_chart_review,HP_0001892,Abnormal bleeding,,Observation,EUPATH_0000309,Signs and symptoms,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
X100._Discharge,inpatient_care_chart_review,EUPATH_0023013,Discharged,,Observation,EUPATH_0000308,Hospitalization,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
X101._Death,inpatient_care_chart_review,EUPATH_0000667,Deceased,,Observation,EUPATH_0000308,Hospitalization,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain",,
Initial_Pv_Parasitemia,Diagnostics Assay,EUPATH_0023030,"P. vivax parasitemia (%), microscopy",Percent parasitemia per 100 red blood cells in a thin blood smear,Observation,OGMS_0000056,Laboratory test,,,
Initial_Pf_Parasitemia,Diagnostics Assay,EUPATH_0023028,"P. falciparum parasitemia (%), microscopy",Percent parasitemia per 100 red blood cells in a thin blood smear,Observation,OGMS_0000056,Laboratory test,,,
Initial_Pm_Parasitemia,Diagnostics Assay,EUPATH_0023029,"P. malariae parasitemia (%), microscopy",Percent parasitemia per 100 red blood cells in a thin blood smear,Observation,OGMS_0000056,Laboratory test,,,
Parasite_Density,Diagnostics Assay,EUPATH_0000537,"Parasite density, microscopy (per uL blood)",,Observation,OGMS_0000056,Laboratory test,,,
Initial_Gametocytemia,Diagnostics Assay,EUPATH_0023019,"Gametocytemia (%), microscopy",Percent gametocytemia per 100 red blood cells in a thin blood smear,Observation,OGMS_0000056,Laboratory test,,,
Gametocyte_Density,Diagnostics Assay,EUPATH_0023018,"Gametocyte density, microscopy (per uL blood)",,Observation,OGMS_0000056,Laboratory test,,,
Patient_Hemoglobin,Diagnostics Assay,EUPATH_0023024,Hemoglobin (g/dL),,Observation,OGMS_0000056,Laboratory test,,,
Hematocrit,Diagnostics Assay,EFO_0004348,Hematocrit (%),,Observation,OGMS_0000056,Laboratory test,,"Is it same as X88._Hematocrit.PCV? If not, what's difference?",
Thick_blood,Diagnostics Assay,EUPATH_0023032,"Parasite species, microscopy - thick smear",Parasite species identified in a thick blood smear,Observation,OGMS_0000056,Laboratory test,possible values: mixed_Pf/Pv    negative          Pf          Pv ,,
Thin_blood,Diagnostics Assay,EUPATH_0023033,"Parasite species, microscopy - thin smear",Parasite species identified in a thin blood smear,Observation,OGMS_0000056,Laboratory test,possible values: mixed_Pf/Pv    negative          Pf          Pv ,,
RDT,Diagnostics Assay,EUPATH_0000437,"Parasite species, FalciVax RDT",,Observation,OGMS_0000056,Laboratory test,possible values: mixed_Pf/Pv    negative          Pf          Pv ,,
Bacteria_seen_in_slide,Diagnostics Assay,EUPATH_0023004,"Bacteria, microscopy",Bacteria seen in blood smear,Observation,OGMS_0000056,Laboratory test,Possible values: Missing      No     Yes,,
