variable,dataFile,dataSet,keepDiscard,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,Notes
X52D._Timepoint,inpatient_treatment_drug_1,South Asia,keep,13,dbl,4,NA,NA,-2,4,-2 to 4,7,0,once,NA,
X52E._Timepoint,inpatient_treatment_drug_1,South Asia,keep,16,dbl,NA,NA,NA,-1.5,5,-1.5 to 5,9,0,once,NA,
X52F._Timepoint,inpatient_treatment_drug_1,South Asia,keep,19,dbl,NA,NA,NA,-1,6,-1 to 6,9,0,once,NA,
X52G._Timepoint,inpatient_treatment_drug_1,South Asia,keep,22,dbl,NA,NA,NA,0,7,0 to 7,9,0,once,NA,
X52H._Timepoint,inpatient_treatment_drug_1,South Asia,keep,25,dbl,NA,NA,NA,0.5,8,0.5 to 8,9,0,once,NA,
X52I._Timepoint,inpatient_treatment_drug_1,South Asia,keep,28,dbl,NA,NA,NA,1,9,1 to 9,8,0,once,NA,
X52J._Timepoint,inpatient_treatment_drug_1,South Asia,keep,31,dbl,NA,NA,NA,1.5,10,1.5 to 10,6,0,once,NA,
X52K._Timepoint,inpatient_treatment_drug_1,South Asia,keep,34,dbl,NA,NA,NA,2,11,2 to 11,6,0,once,NA,
X52L._Timepoint,inpatient_treatment_drug_1,South Asia,keep,37,dbl,NA,NA,NA,2.5,12,2.5 to 12,4,0,once,NA,
X52M._Timepoint,inpatient_treatment_drug_1,South Asia,keep,40,int,NA,NA,NA,3,13,3 to 13,3,0,once,NA,
X52N._Timepoint,inpatient_treatment_drug_1,South Asia,keep,43,dbl,NA,NA,NA,3.5,14,3.5 to 14,3,0,once,NA,
X52O._Timepoint,inpatient_treatment_drug_1,South Asia,keep,46,int,NA,NA,NA,14,14,14 to 14,1,0,once,NA,
X53A._Dose,inpatient_treatment_drug_1,South Asia,keep,5,dbl,120,NA,NA,3.15,1000,3.15 to 1000,55,0,once,NA,
X53B._Dose,inpatient_treatment_drug_1,South Asia,keep,8,dbl,120,NA,NA,4,600,4 to 600,51,0,once,NA,
X53C._Dose,inpatient_treatment_drug_1,South Asia,keep,11,dbl,120,NA,NA,2,600,2 to 600,50,0,once,NA,
X53D._Dose,inpatient_treatment_drug_1,South Asia,keep,14,dbl,200,NA,NA,2,1210,2 to 1210,38,0,once,NA,
X53E._Dose,inpatient_treatment_drug_1,South Asia,keep,17,dbl,NA,NA,NA,2.5,600,2.5 to 600,30,0,once,NA,
X53F._Dose,inpatient_treatment_drug_1,South Asia,keep,20,dbl,NA,NA,NA,5,600,5 to 600,21,0,once,NA,
X53G._Dose,inpatient_treatment_drug_1,South Asia,keep,23,dbl,NA,NA,NA,5,480,5 to 480,17,0,once,NA,
X53H._Dose,inpatient_treatment_drug_1,South Asia,keep,26,int,NA,NA,NA,5,480,5 to 480,13,0,once,NA,
X53I._Dose,inpatient_treatment_drug_1,South Asia,keep,29,int,NA,NA,NA,5,250,5 to 250,11,0,once,NA,
X53J._Dose,inpatient_treatment_drug_1,South Asia,keep,32,int,NA,NA,NA,15,200,15 to 200,7,0,once,NA,
X53K._Dose,inpatient_treatment_drug_1,South Asia,keep,35,int,NA,NA,NA,15,120,15 to 120,5,0,once,NA,
X53L._Dose,inpatient_treatment_drug_1,South Asia,keep,38,int,NA,NA,NA,15,120,15 to 120,3,0,once,NA,
X53M._Dose,inpatient_treatment_drug_1,South Asia,keep,41,int,NA,NA,NA,15,100,15 to 100,2,0,once,NA,
X53N._Dose,inpatient_treatment_drug_1,South Asia,keep,44,int,NA,NA,NA,15,100,15 to 100,2,0,once,NA,
X53O._Dose,inpatient_treatment_drug_1,South Asia,keep,47,int,NA,NA,NA,15,15,15 to 15,1,0,once,NA,
X54A._Method,inpatient_treatment_drug_1,South Asia,keep,6,chr,01_-_IV,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54B._Method,inpatient_treatment_drug_1,South Asia,keep,9,chr,01_-_IV,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54C._Method,inpatient_treatment_drug_1,South Asia,keep,12,chr,01_-_IV,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54D._Method,inpatient_treatment_drug_1,South Asia,keep,15,chr,02_-_PO,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54E._Method,inpatient_treatment_drug_1,South Asia,keep,18,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54F._Method,inpatient_treatment_drug_1,South Asia,keep,21,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54G._Method,inpatient_treatment_drug_1,South Asia,keep,24,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X54H._Method,inpatient_treatment_drug_1,South Asia,keep,27,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X54I._Method,inpatient_treatment_drug_1,South Asia,keep,30,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X54J._Method,inpatient_treatment_drug_1,South Asia,keep,33,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X54K._Method,inpatient_treatment_drug_1,South Asia,keep,36,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X54L._Method,inpatient_treatment_drug_1,South Asia,keep,39,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X54M._Method,inpatient_treatment_drug_1,South Asia,keep,42,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X54N._Method,inpatient_treatment_drug_1,South Asia,keep,45,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X54O._Method,inpatient_treatment_drug_1,South Asia,keep,48,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X55._Additional_antimalarial.,inpatient_treatment_drug_2,South Asia,keep,2,int,1,NA,NA,1,2,1 to 2,2,0,once,NA,
X56._Rx_name,inpatient_treatment_drug_2,South Asia,keep,3,chr,06_-_MQ,NA,NA,n/a,n/a,>10 unique values,11,0,once,NA,
X56a._Name_of_other_antimalarial,inpatient_treatment_drug_2,South Asia,discard,4,chr,NA,NA,NA,n/a,n/a,>10 unique values,21,0,once,NA,
X57A._Timepoint,inpatient_treatment_drug_2,South Asia,keep,5,dbl,4,NA,NA,0,8,0 to 8,18,0,once,NA,
X57B._Timepoint,inpatient_treatment_drug_2,South Asia,keep,8,dbl,NA,NA,NA,0.25,8.5,0.25 to 8.5,30,0,once,NA,
X57C._Timepoint,inpatient_treatment_drug_2,South Asia,keep,11,dbl,NA,NA,NA,0,9,0 to 9,24,0,once,NA,
X57D._Timepoint,inpatient_treatment_drug_2,South Asia,keep,14,dbl,NA,NA,NA,0.5,9.5,0.5 to 9.5,26,0,once,NA,
X57E._Timepoint,inpatient_treatment_drug_2,South Asia,keep,17,dbl,NA,NA,NA,1,10,1 to 10,18,0,once,NA,
X57F._Timepoint,inpatient_treatment_drug_2,South Asia,keep,20,dbl,NA,NA,NA,1.5,10.5,1.5 to 10.5,20,0,once,NA,
X57G._Timepoint,inpatient_treatment_drug_2,South Asia,keep,23,dbl,NA,NA,NA,2,11,2 to 11,12,0,once,NA,
X57H._Timepoint,inpatient_treatment_drug_2,South Asia,keep,26,dbl,NA,NA,NA,2.33,12,2.33 to 12,12,0,once,NA,
X57I._Timepoint,inpatient_treatment_drug_2,South Asia,keep,29,dbl,NA,NA,NA,2.66,13,2.66 to 13,12,0,once,NA,
X57J._Timepoint,inpatient_treatment_drug_2,South Asia,keep,32,dbl,NA,NA,NA,3,14,3 to 14,12,0,once,NA,
X57K._Timepoint,inpatient_treatment_drug_2,South Asia,keep,35,int,NA,NA,NA,4,15,4 to 15,11,0,once,NA,
X57L._Timepoint,inpatient_treatment_drug_2,South Asia,keep,38,dbl,NA,NA,NA,4.5,16,4.5 to 16,11,0,once,NA,
X57M._Timepoint,inpatient_treatment_drug_2,South Asia,keep,41,int,NA,NA,NA,5,17,5 to 17,11,0,once,NA,
X57N._Timepoint,inpatient_treatment_drug_2,South Asia,keep,44,dbl,NA,NA,NA,5.5,18,5.5 to 18,10,0,once,NA,
X57O._Timepoint,inpatient_treatment_drug_2,South Asia,keep,47,int,NA,NA,NA,6,17,6 to 17,6,0,once,NA,
X57P._Timepoint,inpatient_treatment_drug_2,South Asia,keep,50,dbl,NA,NA,NA,6.5,14,6.5 to 14,4,0,once,NA,
X57Q._Timepoint,inpatient_treatment_drug_2,South Asia,keep,53,int,NA,NA,NA,7,15,7 to 15,2,0,once,NA,
X57R._Timepoint,inpatient_treatment_drug_2,South Asia,keep,56,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X57S._Timepoint,inpatient_treatment_drug_2,South Asia,keep,59,int,NA,NA,NA,8,8,8 to 8,1,0,once,NA,
X57T._Timepoint,inpatient_treatment_drug_2,South Asia,keep,62,dbl,NA,NA,NA,8.5,8.5,8.5 to 8.5,1,0,once,NA,
X57U._Timepoint,inpatient_treatment_drug_2,South Asia,keep,65,int,NA,NA,NA,9,9,9 to 9,1,0,once,NA,
X57V._Timepoint,inpatient_treatment_drug_2,South Asia,keep,68,dbl,NA,NA,NA,9.5,9.5,9.5 to 9.5,1,0,once,NA,
X58A._Dose,inpatient_treatment_drug_2,South Asia,keep,6,dbl,500,NA,NA,-88,2625,-88 to 2625,48,0,once,NA,
X58B._Dose,inpatient_treatment_drug_2,South Asia,keep,9,dbl,NA,NA,NA,1.5,1500,1.5 to 1500,39,0,once,NA,
X58C._Dose,inpatient_treatment_drug_2,South Asia,keep,12,dbl,NA,NA,NA,1.5,1500,1.5 to 1500,35,0,once,NA,
X58D._Dose,inpatient_treatment_drug_2,South Asia,keep,15,dbl,NA,NA,NA,2.5,4800,2.5 to 4800,33,0,once,NA,
X58E._Dose,inpatient_treatment_drug_2,South Asia,keep,18,dbl,NA,NA,NA,2.5,600,2.5 to 600,25,0,once,NA,
X58F._Dose,inpatient_treatment_drug_2,South Asia,keep,21,dbl,NA,NA,NA,2.5,800,2.5 to 800,21,0,once,NA,
X58G._Dose,inpatient_treatment_drug_2,South Asia,keep,24,dbl,NA,NA,NA,2.5,600,2.5 to 600,19,0,once,NA,
X58H._Dose,inpatient_treatment_drug_2,South Asia,keep,27,dbl,NA,NA,NA,2.5,600,2.5 to 600,15,0,once,NA,
X58I._Dose,inpatient_treatment_drug_2,South Asia,keep,30,dbl,NA,NA,NA,2.5,600,2.5 to 600,14,0,once,NA,
X58J._Dose,inpatient_treatment_drug_2,South Asia,keep,33,dbl,NA,NA,NA,2.5,600,2.5 to 600,14,0,once,NA,
X58K._Dose,inpatient_treatment_drug_2,South Asia,keep,36,dbl,NA,NA,NA,2.5,600,2.5 to 600,13,0,once,NA,
X58L._Dose,inpatient_treatment_drug_2,South Asia,keep,39,dbl,NA,NA,NA,2.5,705,2.5 to 705,13,0,once,NA,
X58M._Dose,inpatient_treatment_drug_2,South Asia,keep,42,dbl,NA,NA,NA,2.5,600,2.5 to 600,12,0,once,NA,
X58N._Dose,inpatient_treatment_drug_2,South Asia,keep,45,dbl,NA,NA,NA,2.5,600,2.5 to 600,11,0,once,NA,
X58O._Dose,inpatient_treatment_drug_2,South Asia,keep,48,dbl,NA,NA,NA,3.5,100,3.5 to 100,5,0,once,NA,
X58P._Dose,inpatient_treatment_drug_2,South Asia,keep,51,dbl,NA,NA,NA,7.5,100,7.5 to 100,3,0,once,NA,
X58Q._Dose,inpatient_treatment_drug_2,South Asia,keep,54,dbl,NA,NA,NA,7.5,15,7.5 to 15,2,0,once,NA,
X58R._Dose,inpatient_treatment_drug_2,South Asia,keep,57,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X58S._Dose,inpatient_treatment_drug_2,South Asia,keep,60,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X58T._Dose,inpatient_treatment_drug_2,South Asia,keep,63,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X58U._Dose,inpatient_treatment_drug_2,South Asia,keep,66,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X58V._Dose,inpatient_treatment_drug_2,South Asia,keep,69,dbl,NA,NA,NA,7.5,7.5,7.5 to 7.5,1,0,once,NA,
X59A._Method,inpatient_treatment_drug_2,South Asia,keep,7,chr,02_-_PO,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59B._Method,inpatient_treatment_drug_2,South Asia,keep,10,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59C._Method,inpatient_treatment_drug_2,South Asia,keep,13,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59D._Method,inpatient_treatment_drug_2,South Asia,keep,16,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59E._Method,inpatient_treatment_drug_2,South Asia,keep,19,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59F._Method,inpatient_treatment_drug_2,South Asia,keep,22,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59G._Method,inpatient_treatment_drug_2,South Asia,keep,25,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59H._Method,inpatient_treatment_drug_2,South Asia,keep,28,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59I._Method,inpatient_treatment_drug_2,South Asia,keep,31,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59J._Method,inpatient_treatment_drug_2,South Asia,keep,34,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, 03_-_IM, NA",3,0,once,NA,
X59K._Method,inpatient_treatment_drug_2,South Asia,keep,37,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X59L._Method,inpatient_treatment_drug_2,South Asia,keep,40,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X59M._Method,inpatient_treatment_drug_2,South Asia,keep,43,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X59N._Method,inpatient_treatment_drug_2,South Asia,keep,46,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X59O._Method,inpatient_treatment_drug_2,South Asia,keep,49,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59P._Method,inpatient_treatment_drug_2,South Asia,keep,52,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59Q._Method,inpatient_treatment_drug_2,South Asia,keep,55,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59R._Method,inpatient_treatment_drug_2,South Asia,keep,58,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59S._Method,inpatient_treatment_drug_2,South Asia,keep,61,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59T._Method,inpatient_treatment_drug_2,South Asia,keep,64,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59U._Method,inpatient_treatment_drug_2,South Asia,keep,67,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X59V._Method,inpatient_treatment_drug_2,South Asia,keep,70,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X6._Exclusion.._Patient_pregnant.,enrollment_form,South Asia,discard,6,int,2,NA,NA,2,2,2 to 2,1,0,once,duplicated variable,
X6._Exclusion.._Patient_pregnant.,enrollment_form_labkey_correctid,South Asia,NA,6,chr,02_-_No,NA,NA,n/a,n/a,"01_-_Yes, 02_-_No, NA",2,0,once,duplicated variable,NA
X60._Additional_antimalarial.,inpatient_treatment_drug_3,South Asia,keep,2,int,2,NA,NA,1,2,1 to 2,2,0,once,NA,
X61._Rx_name,inpatient_treatment_drug_3,South Asia,keep,3,chr,NA,NA,NA,n/a,n/a,"01_-_CQ, 02_-_PQ, 04_-_AS, 05_-_SF, 06_-_MQ, 07_-_Lum, 08_-_QN, 09_-_ART, 12_-_PY, NA",9,0,once,NA,
X61a._Name_of_other_antimalarial,inpatient_treatment_drug_3,South Asia,discard,4,chr,NA,NA,NA,n/a,n/a,>10 unique values,16,0,once,NA,
X62A._Timepoint,inpatient_treatment_drug_3,South Asia,keep,5,dbl,NA,NA,NA,0,10,0 to 10,14,0,once,NA,
X62B._Timepoint,inpatient_treatment_drug_3,South Asia,keep,8,dbl,NA,NA,NA,0,10.5,0 to 10.5,26,0,once,NA,
X62C._Timepoint,inpatient_treatment_drug_3,South Asia,keep,11,dbl,NA,NA,NA,0.83,11,0.83 to 11,14,0,once,NA,
X62D._Timepoint,inpatient_treatment_drug_3,South Asia,keep,14,dbl,NA,NA,NA,1.33,11.5,1.33 to 11.5,20,0,once,NA,
X62E._Timepoint,inpatient_treatment_drug_3,South Asia,keep,17,dbl,NA,NA,NA,1.83,12,1.83 to 12,13,0,once,NA,
X62F._Timepoint,inpatient_treatment_drug_3,South Asia,keep,20,dbl,NA,NA,NA,2.33,12.5,2.33 to 12.5,18,0,once,NA,
X62G._Timepoint,inpatient_treatment_drug_3,South Asia,keep,23,int,NA,NA,NA,3,13,3 to 13,7,0,once,NA,
X62H._Timepoint,inpatient_treatment_drug_3,South Asia,keep,26,dbl,NA,NA,NA,6.5,14,6.5 to 14,8,0,once,NA,
X62I._Timepoint,inpatient_treatment_drug_3,South Asia,keep,29,int,NA,NA,NA,8,15,8 to 15,7,0,once,NA,
X62J._Timepoint,inpatient_treatment_drug_3,South Asia,keep,32,int,NA,NA,NA,9,16,9 to 16,7,0,once,NA,
X62K._Timepoint,inpatient_treatment_drug_3,South Asia,keep,35,int,NA,NA,NA,10,17,10 to 17,7,0,once,NA,
X62L._Timepoint,inpatient_treatment_drug_3,South Asia,keep,38,int,NA,NA,NA,11,18,11 to 18,7,0,once,NA,
X62M._Timepoint,inpatient_treatment_drug_3,South Asia,keep,41,int,NA,NA,NA,12,19,12 to 19,7,0,once,NA,
X62N._Timepoint,inpatient_treatment_drug_3,South Asia,keep,44,int,NA,NA,NA,13,20,13 to 20,7,0,once,NA,
X62O._Timepoint,inpatient_treatment_drug_3,South Asia,keep,47,int,NA,NA,NA,14,20,14 to 20,4,0,once,NA,
X63A._Dose,inpatient_treatment_drug_3,South Asia,keep,6,dbl,NA,NA,NA,-88,2375,-88 to 2375,41,0,once,NA,
X63B._Dose,inpatient_treatment_drug_3,South Asia,keep,9,dbl,NA,NA,NA,-88,625,-88 to 625,25,0,once,NA,
X63C._Dose,inpatient_treatment_drug_3,South Asia,keep,12,dbl,NA,NA,NA,2.5,625,2.5 to 625,21,0,once,NA,
X63D._Dose,inpatient_treatment_drug_3,South Asia,keep,15,dbl,NA,NA,NA,2.5,480,2.5 to 480,13,0,once,NA,
X63E._Dose,inpatient_treatment_drug_3,South Asia,keep,18,dbl,NA,NA,NA,2.5,480,2.5 to 480,11,0,once,NA,
X63F._Dose,inpatient_treatment_drug_3,South Asia,keep,21,dbl,NA,NA,NA,2.5,480,2.5 to 480,11,0,once,NA,
X63G._Dose,inpatient_treatment_drug_3,South Asia,keep,24,dbl,NA,NA,NA,2.5,480,2.5 to 480,7,0,once,NA,
X63H._Dose,inpatient_treatment_drug_3,South Asia,keep,27,dbl,NA,NA,NA,2.5,480,2.5 to 480,6,0,once,NA,
X63I._Dose,inpatient_treatment_drug_3,South Asia,keep,30,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63J._Dose,inpatient_treatment_drug_3,South Asia,keep,33,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63K._Dose,inpatient_treatment_drug_3,South Asia,keep,36,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63L._Dose,inpatient_treatment_drug_3,South Asia,keep,39,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63M._Dose,inpatient_treatment_drug_3,South Asia,keep,42,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63N._Dose,inpatient_treatment_drug_3,South Asia,keep,45,dbl,NA,NA,NA,2.5,45,2.5 to 45,4,0,once,NA,
X63O._Dose,inpatient_treatment_drug_3,South Asia,keep,48,dbl,NA,NA,NA,2.5,15,2.5 to 15,3,0,once,NA,
X64A._Method,inpatient_treatment_drug_3,South Asia,keep,7,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64B._Method,inpatient_treatment_drug_3,South Asia,keep,10,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64C._Method,inpatient_treatment_drug_3,South Asia,keep,13,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64D._Method,inpatient_treatment_drug_3,South Asia,keep,16,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64E._Method,inpatient_treatment_drug_3,South Asia,keep,19,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64F._Method,inpatient_treatment_drug_3,South Asia,keep,22,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64G._Method,inpatient_treatment_drug_3,South Asia,keep,25,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64H._Method,inpatient_treatment_drug_3,South Asia,keep,28,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X64I._Method,inpatient_treatment_drug_3,South Asia,keep,31,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64J._Method,inpatient_treatment_drug_3,South Asia,keep,34,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64K._Method,inpatient_treatment_drug_3,South Asia,keep,37,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64L._Method,inpatient_treatment_drug_3,South Asia,keep,40,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64M._Method,inpatient_treatment_drug_3,South Asia,keep,43,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64N._Method,inpatient_treatment_drug_3,South Asia,keep,46,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X64O._Method,inpatient_treatment_drug_3,South Asia,keep,49,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X65._Additional_Antimalarial,inpatient_treatment_drug_4,South Asia,keep,2,int,2,NA,NA,1,2,1 to 2,2,0,once,NA,
X66._Generic_antimalarial_name,inpatient_treatment_drug_4,South Asia,keep,3,chr,NA,NA,NA,n/a,n/a,"02_-_PQ, 05_-_SF, 06_-_MQ, 07_-_Lum, 08_-_QN, 09_-_ART, 12_-_PY, 13_-_DX, NA",8,0,once,NA,
X66a._Name_of_other_antimalarial,inpatient_treatment_drug_4,South Asia,discard,4,chr,NA,NA,NA,n/a,n/a,"Primaquine, Pyrimethamie, Pyrimethamine, Sulfadoxine, Sviz_LFD, NA",5,0,once,NA,
X67A._Timepoint,inpatient_treatment_drug_4,South Asia,keep,5,int,NA,NA,NA,0,10,0 to 10,10,0,once,NA,
X67B._Timepoint,inpatient_treatment_drug_4,South Asia,keep,8,dbl,NA,NA,NA,0.5,10.16,0.5 to 10.16,15,0,once,NA,
X67C._Timepoint,inpatient_treatment_drug_4,South Asia,keep,11,dbl,NA,NA,NA,1,10.49,1 to 10.49,10,0,once,NA,
X67D._Timepoint,inpatient_treatment_drug_4,South Asia,keep,14,dbl,NA,NA,NA,1.5,10,1.5 to 10,13,0,once,NA,
X67E._Timepoint,inpatient_treatment_drug_4,South Asia,keep,17,int,NA,NA,NA,4,11,4 to 11,8,0,once,NA,
X67F._Timepoint,inpatient_treatment_drug_4,South Asia,keep,20,dbl,NA,NA,NA,4.5,12,4.5 to 12,12,0,once,NA,
X67G._Timepoint,inpatient_treatment_drug_4,South Asia,keep,23,int,NA,NA,NA,6,13,6 to 13,8,0,once,NA,
X67H._Timepoint,inpatient_treatment_drug_4,South Asia,keep,26,int,NA,NA,NA,7,14,7 to 14,8,0,once,NA,
X67I._Timepoint,inpatient_treatment_drug_4,South Asia,keep,29,int,NA,NA,NA,8,15,8 to 15,8,0,once,NA,
X67J._Timepoint,inpatient_treatment_drug_4,South Asia,keep,32,int,NA,NA,NA,9,16,9 to 16,8,0,once,NA,
X67K._Timepoint,inpatient_treatment_drug_4,South Asia,keep,35,int,NA,NA,NA,10,17,10 to 17,7,0,once,NA,
X67L._Timepoint,inpatient_treatment_drug_4,South Asia,keep,38,int,NA,NA,NA,11,18,11 to 18,7,0,once,NA,
X67M._Timepoint,inpatient_treatment_drug_4,South Asia,keep,41,int,NA,NA,NA,12,19,12 to 19,7,0,once,NA,
X67N._Timepoint,inpatient_treatment_drug_4,South Asia,keep,44,int,NA,NA,NA,13,20,13 to 20,7,0,once,NA,
X67O._Timepoint,inpatient_treatment_drug_4,South Asia,keep,47,int,NA,NA,NA,14,20,14 to 20,3,0,once,NA,
X67P._Timepoint,inpatient_treatment_drug_4,South Asia,keep,50,int,NA,NA,NA,18,18,18 to 18,1,0,once,NA,
X68._Date_of_observation_collection,inpatient_care_chart_review,South Asia,keep,2,chr,6/29/17,date?,%Y-%m-%d,n/a,n/a,>10 unique values,1443,0,repeated,NA,
X68A._Dose,inpatient_treatment_drug_4,South Asia,keep,6,dbl,NA,NA,NA,-88,1500,-88 to 1500,29,0,once,NA,
X68B._Dose,inpatient_treatment_drug_4,South Asia,keep,9,dbl,NA,NA,NA,-88,500,-88 to 500,16,0,once,NA,
X68C._Dose,inpatient_treatment_drug_4,South Asia,keep,12,dbl,NA,NA,NA,2.5,500,2.5 to 500,13,0,once,NA,
X68D._Dose,inpatient_treatment_drug_4,South Asia,keep,15,dbl,NA,NA,NA,2.5,360,2.5 to 360,11,0,once,NA,
X68E._Dose,inpatient_treatment_drug_4,South Asia,keep,18,dbl,NA,NA,NA,2.5,200,2.5 to 200,10,0,once,NA,
X68F._Dose,inpatient_treatment_drug_4,South Asia,keep,21,dbl,NA,NA,NA,2.5,200,2.5 to 200,10,0,once,NA,
X68G._Dose,inpatient_treatment_drug_4,South Asia,keep,24,dbl,NA,NA,NA,2.5,200,2.5 to 200,8,0,once,NA,
X68H._Dose,inpatient_treatment_drug_4,South Asia,keep,27,dbl,NA,NA,NA,2.5,200,2.5 to 200,8,0,once,NA,
X68I._Dose,inpatient_treatment_drug_4,South Asia,keep,30,dbl,NA,NA,NA,2.5,200,2.5 to 200,8,0,once,NA,
