colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,notes,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
53,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,pess,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many people live in this household?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,parent from db lookup,How many people live in this household?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
56,http://purl.obolibrary.org/obo/CLINEPIDB_00033,Wealth Index quintiles,ind_riqueza_quintil,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,,Wealth Index quintiles,"1 - First quintile (poorest), 2 - Second quintile; 3 - Third quintile; 4 - Fourth quintile; 5 - Fifth quintile (more affluent)",,,,,Brazil Rio Azul,,,,,,,,,yes
57,http://purl.obolibrary.org/obo/CLINEPIDB_00034,Wealth index quartiles,ind_riqueza_quartil,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,,Wealth index quartiles,"1 - First quartile (poorest), 2 - Fecond quartile; 3 - Third quartile; 4 - Fourth quartile (more affluent)",,,,,Brazil Rio Azul,,,,,,,,,yes
58,http://purl.obolibrary.org/obo/CLINEPIDB_00035,Wealth index tertiles,ind_riqueza_tercil,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,,Wealth index tertiles,"1 - First tertile (poorest), 2 - Second tertile; 3 - Third tertile (more affluent)",,,,,Brazil Rio Azul,,,,,,,,,yes
55,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",ind_riqueza,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,parent from db lookup,Wealth Index,Numeric,,,,,Brazil Rio Azul,,,,,,,,,
112,http://purl.obolibrary.org/obo/CLINEPIDB_00060,Any symptoms in the last 30 days,sint30dd,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Sympthoms in the last 30 days?,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
115,http://purl.obolibrary.org/obo/EUPATH_0022207,Fever,febre30dd,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Fever in the last 30 days,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
116,http://purl.obolibrary.org/obo/EUPATH_0022203,Chills,cal30dd,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Chills,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
118,http://purl.obolibrary.org/obo/EUPATH_0022208,Weakness,fraq30dd,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Weakness,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
119,http://purl.obolibrary.org/obo/EUPATH_0022201,Loss of appetite,apet30dd,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Loss of apetite,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
120,http://purl.obolibrary.org/obo/EUPATH_0022200,Abdominal pain,dorabdom30dd,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Abdominal pain,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
121,http://purl.obolibrary.org/obo/EUPATH_0022210,Hypochondrium pain,hipoc30dd,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Pain in the hypochondrium,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
122,http://purl.obolibrary.org/obo/EUPATH_0022214,Nausea,naus30dd,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Nauseas,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
123,http://purl.obolibrary.org/obo/EUPATH_0022221,Vomiting,vom30dd,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Vomiting,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
124,http://purl.obolibrary.org/obo/EUPATH_0022213,Muscle aches,mial30dd,10,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Myalgia,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
125,http://purl.obolibrary.org/obo/EUPATH_0022202,Joint pain,artral30dd,11,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Arthralgia,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
126,http://purl.obolibrary.org/obo/EUPATH_0022212,Lower back pain,lomb30dd,12,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Backache,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
127,http://purl.obolibrary.org/obo/EUPATH_0022206,Diarrhea,diarr30dd,13,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Diarrhea,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
129,http://purl.obolibrary.org/obo/EUPATH_0022220,Change in urine color,urina30dd,14,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Urine color change,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
132,http://purl.obolibrary.org/obo/EUPATH_0022219,Cough,tosse30dd,15,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Cough,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
133,http://purl.obolibrary.org/obo/EUPATH_0022209,Shortness of breath,faltaar30dd,16,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Shortness of breathe,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
134,http://purl.obolibrary.org/obo/EUPATH_0022218,Dizziness,tont30dd,17,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Dizziness,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
135,http://purl.obolibrary.org/obo/EUPATH_0022204,Headache,cefal30dd,18,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Headache,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
138,http://purl.obolibrary.org/obo/CLINEPIDB_00061,Any symptoms in the last 7 days,sint7dd,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,,Sympthoms in the last 7 days?,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
139,http://purl.obolibrary.org/obo/EUPATH_0015185,Fever during last 7 days,febre7dd,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Fever (in the last 7 days),0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
140,http://purl.obolibrary.org/obo/EUPATH_0022225,Chills,cal7dd,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Chills,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
141,http://purl.obolibrary.org/obo/EUPATH_0022238,Sweating,sudor7dd,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Sweating,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
142,http://purl.obolibrary.org/obo/EUPATH_0022229,Weakness,fraq7dd,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Weakness,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
143,http://purl.obolibrary.org/obo/EUPATH_0022226,Headache,cefal7dd,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Headache,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
145,http://purl.obolibrary.org/obo/EUPATH_0022222,Abdominal pain,abdom7dd,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Abdominal pain,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
147,http://purl.obolibrary.org/obo/EUPATH_0022231,Hypochondrium pain,hipoc7dd,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Pain in the hypochondrium,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
148,http://purl.obolibrary.org/obo/EUPATH_0022235,Nausea,naus7dd,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Nauseas,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
149,http://purl.obolibrary.org/obo/EUPATH_0022242,Vomiting,vom7dd,10,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Vomiting,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
150,http://purl.obolibrary.org/obo/EUPATH_0022234,Muscle aches,mial7dd,11,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Myalgia,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
151,http://purl.obolibrary.org/obo/EUPATH_0022224,Joint pain,artral7dd,12,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Arthralgia,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
152,http://purl.obolibrary.org/obo/EUPATH_0022233,Lower back pain,lomb7dd,13,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Backache,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
153,http://purl.obolibrary.org/obo/EUPATH_0022228,Diarrhea,diarr7dd,14,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Diarrhea,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
155,http://purl.obolibrary.org/obo/EUPATH_0022241,Change in urine color,urina7dd,15,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Urine color change,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
158,http://purl.obolibrary.org/obo/EUPATH_0022240,Cough,tosse7dd,16,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Cough,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
160,http://purl.obolibrary.org/obo/EUPATH_0022239,Dizziness,tont7dd,17,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,parent from db lookup,Dizziness,0 - No,value,,,,Brazil Rio Azul,,,,,,,,,
85,http://purl.obolibrary.org/obo/CLINEPIDB_00044,Travel for plant or animal based work,viajou,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,"Did the person travel outside the community? Work in farming, animal husbandry or fishing? Including hunting and plant extraction",Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,"Did the person travel outside the community? Work in farming, animal husbandry or fishing? Including hunting and plant extraction","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
86,http://purl.obolibrary.org/obo/EUPATH_0049007,Place visited,comun1,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Community to which the person was dislocated,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,parent from db lookup,Community to which the person was dislocated,Text,,,,,Brazil Rio Azul,,,,,,,,,
87,http://purl.obolibrary.org/obo/CLINEPIDB_00045,Municipality visited,munic1,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Municipality to which the person was dislocated,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,Municipality to which the person was dislocated,Text,,,,,Brazil Rio Azul,,,,,,,,,
88,http://purl.obolibrary.org/obo/EUPATH_0000447,State visited,uf1,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,parent from db lookup,State of dislocation,Text,,yes,,,Brazil Rio Azul,,,,,,,,,
89,http://purl.obolibrary.org/obo/CLINEPIDB_00046,Rural or urban place visited,rurb1,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,Rural or urban,"0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,Brazil Rio Azul,,,,,,,,,
90,http://purl.obolibrary.org/obo/EUPATH_0022437,Duration of travel to destination,dias1,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many days did the person stay,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,How many days did the person stay,Numeric,,yes,,,Brazil Rio Azul,days,,,,,,,,
91,http://purl.obolibrary.org/obo/EUPATH_0057723,"Place visited, 2",comun2,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,Community to which the person was dislocated 2,Text,,,,,Brazil Rio Azul,,,,,,,,,
92,http://purl.obolibrary.org/obo/CLINEPIDB_00047,"Municipality visited, 2",munic2,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,Municipality to which the person was dislocated 2,Text,,,,,Brazil Rio Azul,,,,,,,,,
93,http://purl.obolibrary.org/obo/CLINEPIDB_00048,"State visited, 2",uf2,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,State of dislocation 2,,,,,,Brazil Rio Azul,,,,,,,,,
94,http://purl.obolibrary.org/obo/CLINEPIDB_00049,"Rural or urban place visited, 2",rurb2,10,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,Rural or urban,"0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,Brazil Rio Azul,,,,,,,,,
95,http://purl.obolibrary.org/obo/CLINEPIDB_00050,"Duration of travel to destination, 2",dias2,11,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,How many days did the person stay,Numeric,,,,,Brazil Rio Azul,days,,,,,,,,
102,http://purl.obolibrary.org/obo/CLINEPIDB_00053,Duration of stay in community,permcomun,12,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many days did the person stay in the community?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,How many days did the person stay in the community?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
162,http://purl.obolibrary.org/obo/EUPATH_0040021,Antimalarial prescribed,tratam,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Is the person being treated for malaria?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,parent from db lookup,Is the person being treated for malaria?,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
163,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,drogas,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,parent from db lookup,Drugs?,0 - Cloroquine,,,,,Brazil Rio Azul,,,,,,,,,
193,http://purl.obolibrary.org/obo/CLINEPIDB_00068,DNA tube,tubodna,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,DNA tube?,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
198,http://purl.obolibrary.org/obo/EUPATH_0064598,Hemocue collected,hemoglob,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,parent from db lookup,Hemoglobine (Hemocue),0 - No,,,,,Brazil Rio Azul,,,,,,,,,
219,http://purl.obolibrary.org/obo/CLINEPIDB_00069,Molecular diagnosis performed,diagnostico,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Molecular diagnosis performed,Yes/No,,,,,Brazil Rio Azul,,,,,,,,,
185,http://purl.obolibrary.org/obo/EUPATH_0033146,Blood sample collected,sangue,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,parent from db lookup,Venous blood collection,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
166,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,hemoglobvalor,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Measured value of hemoglobin g/100ml,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,parent from db lookup,Measured value of hemoglobin g/100ml,Text,,,,,Brazil Rio Azul,,,,,,,,,
167,http://purl.obolibrary.org/obo/EUPATH_0020209,Anemia (hemoglobin <10 g/dL),anemia,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Anemia defined as hemoglobin <10 g/dL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,parent from db lookup,Anemia no/yes,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
176,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",testeagresult,,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,parent from db lookup,Result (Ag),0 - Negative,,,,,Brazil Rio Azul,,,,,,,,,
177,http://purl.obolibrary.org/obo/CLINEPIDB_00062,Not Pf,especieag0,,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Species (Ag),No-Pf,,,,,Brazil Rio Azul,,,,,,,,,
178,http://purl.obolibrary.org/obo/EUPATH_0021306,"Plasmodium species, by RDT",especieag1,,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,parent from db lookup,Species (Ag),Pf,,,,,Brazil Rio Azul,,,,,,,,,
187,http://purl.obolibrary.org/obo/CLINEPIDB_00065,Thick smear performed,gotaesp,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Whether malaria thick smear was performed,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Thick smear,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
188,http://purl.obolibrary.org/obo/EUPATH_0024314,"Plasmodium, by thick smear microscopy",gotaresult,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,parent from db lookup,Result,0 - Negative,,,,,Brazil Rio Azul,,,,,,,,,
189,http://purl.obolibrary.org/obo/CLINEPIDB_00066,Pv by thick smear microscopy,gotaespecie0,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Species,Pv,,,,,Brazil Rio Azul,,,,,,,,,
190,http://purl.obolibrary.org/obo/CLINEPIDB_00067,Pf by thick smear microscopy,gotaespecie1,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Species,Pf,,,,,Brazil Rio Azul,,,,,,,,,
194,http://purl.obolibrary.org/obo/EUPATH_0025125,"Plasmodium, by qPCR",pcr,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,parent from db lookup,Result PCR (field),1 - Vivax,,,,,Brazil Rio Azul,,,,,,,,,
226,http://purl.obolibrary.org/obo/CLINEPIDB_00075,Result qpcr gender (binary),qpcr_genero01,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Result qpcr gender (binary),0 - Negative,,,,,Brazil Rio Azul,,,,,,,,,
227,http://purl.obolibrary.org/obo/CLINEPIDB_00076,Result qpcr species vivax (binary),qpcr_vivax01,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Result qpcr species vivax (binary),0 - Negative,,,,,Brazil Rio Azul,,,,,,,,,
228,http://purl.obolibrary.org/obo/CLINEPIDB_00077,Result qpcr species falciparum (binary),qpcr_falcip01,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Result qpcr species falciparum (binary),0 - Negative,,,,,Brazil Rio Azul,,,,,,,,,
175,http://purl.obolibrary.org/obo/EUPATH_0021219,RDT,testeag,,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/EUPATH_0040010,Plasmodium test type,parent from db lookup,Rapid test (Ag),0 - No,,,,,Brazil Rio Azul,,,,,,,,,
195,http://purl.obolibrary.org/obo/EUPATH_0022060,"Plasmodium falciparum, by qPCR result",ct_pcr,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,parent from db lookup,Ct PCR,Text,,,,,Brazil Rio Azul,,,,,,,,,
220,http://purl.obolibrary.org/obo/CLINEPIDB_00070,Result qPCR gender,qpcr_genero,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Result qPCR gender,Text,,,,,Brazil Rio Azul,,,,,,,,,
222,http://purl.obolibrary.org/obo/CLINEPIDB_00071,Result qPCR species,qpcr_especie,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Result qPCR species,Text,,,,,Brazil Rio Azul,,,,,,,,,
223,http://purl.obolibrary.org/obo/CLINEPIDB_00072,Cycle qpcr species,ct_especie,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Cycle qpcr species,Numeric,,,,,Brazil Rio Azul,,,,,,,,,
224,http://purl.obolibrary.org/obo/CLINEPIDB_00073,Quantity mean,quantity_mean,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Quantity mean,Numeric,,,,,Brazil Rio Azul,,,,,,,,,
225,http://purl.obolibrary.org/obo/CLINEPIDB_00074,Copies per microliter,copias_ul,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Copies per microliter,Text,,,,,Brazil Rio Azul,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0040010,Plasmodium test type,,,,,,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,,,,,,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,,,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,,,,,,,,,,
