"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType","type","example","dateTime","formatCode","values","uniqueValueCount","percentMissing","flag","variable_dataFile"
93,"uf2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"State visited, 2",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","State of dislocation 2",,,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",12,,,"12 to 12",1,0.987755102,,"uf2"
94,"rurb2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Rural or urban place visited, 2",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Rural or urban","0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 2",2,0.987755102,,"rurb2"
95,"dias2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Duration of travel to destination, 2",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","How many days did the person stay","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 10",2,0.987755102,,"dias2"
97,"cdorme","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Sleeping room characteristic",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","Room where the person sleeps","0 - Closed without gaps",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",4,0,,"cdorme"
98,"dormeh","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Sleep duration",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022066","Activity","Nocturnal rest period (sleep)","time",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","10:00:00",,,">10 unique values",11,0.02244898,,"dormeh"
99,"acordah","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0020163","Out of bed time",,"Participant",,,"Wake-up time","time",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","6:00:00",,,">10 unique values",13,0.02244898,,"acordah"
100,"janela","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022194","Sleep with window open",,"Participant",,,"Sleeping with the window","0 - Closed",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",4,0,,"janela"
101,"usoumosq","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0025013","Bednet last night",,"Participant",,,"Did the person use a mosquito net the night before?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 9",4,0,,"usoumosq"
102,"permcomun","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Duration of stay in community",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","How many days did the person stay in the community?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",30,,,"0 to 30",16,0.506122449,,"permcomun"
103,"pescou","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Fishing",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022066","Activity","Fishing on the riverbank?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0.497959184,,"pescou"
104,"cacou","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Hunting",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022066","Activity","Hunting?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0.497959184,,"cacou"
105,"banhofora","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022252","Bathing location",,"Participant",,,"Taking shower indoor(s) or outdoor(s)","0 - Indoor",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.497959184,,"banhofora"
106,"tevemalaria","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Malaria",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Did the person ever have malaria (ENDEMIA diagnosis)?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0,,"tevemalaria"
107,"malariavezes","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Malaria diagnoses count",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history",,"Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 99",28,0.13877551,,"malariavezes"
108,"vivax","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Malaria vivax",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Did the person have malaria vivax?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",6,0.069387755,,"vivax"
109,"falciparum","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Malaria falciparum",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Did the person have malaria falciparum?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",4,0.071428571,,"falciparum"
110,"ultmalariaanos","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000427","Time since last malaria diagnosis",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","When was the last malaria? Years","Integer",,,,"convert units",,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 99",18,0.136734694,,"ultmalariaanos"
111,"ultmalariameses","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000427","Time since last malaria diagnosis",,"Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Months","Integer",,,,"convert units",,,,"Brazil Rio Azul",,,,,,,,,,"dbl",0,,,"0 to 9",14,0.353061224,,"ultmalariameses"
,,,"http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days",,"Participant",,,,,"multifilter",,,,,,,,,,,,,,,,,,,,,,,,,
112,"sint30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Any symptoms",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Sympthoms in the last 30 days?","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0,,"sint30dd"
115,"febre30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022207","Fever",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Fever in the last 30 days","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 3",4,0.895918367,,"febre30dd"
116,"cal30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022203","Chills",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Chills","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 3",4,0.981632653,,"cal30dd"
118,"fraq30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022208","Weakness",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Weakness","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.997959184,,"fraq30dd"
119,"apet30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022201","Loss of appetite",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Loss of apetite","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.995918367,,"apet30dd"
120,"dorabdom30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022200","Abdominal pain",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Abdominal pain","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.997959184,,"dorabdom30dd"
121,"hipoc30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022210","Hypochondrium pain",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Pain in the hypochondrium","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.993877551,,"hipoc30dd"
122,"naus30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022214","Nausea",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Nauseas","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 2",2,0.995918367,,"naus30dd"
123,"vom30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022221","Vomiting",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Vomiting","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.995918367,,"vom30dd"
124,"mial30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022213","Muscle aches",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Myalgia","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 3",3,0.987755102,,"mial30dd"
125,"artral30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022202","Joint pain",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Arthralgia","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 3",2,0.993877551,,"artral30dd"
126,"lomb30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022212","Lower back pain",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Backache","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 3",4,0.985714286,,"lomb30dd"
127,"diarr30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022206","Diarrhea",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Diarrhea","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"2 to 2",1,0.997959184,,"diarr30dd"
129,"urina30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022220","Change in urine color",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Urine color change","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"2 to 2",1,0.997959184,,"urina30dd"
132,"tosse30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022219","Cough",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Cough","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.997959184,,"tosse30dd"
133,"faltaar30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022209","Shortness of breath",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Shortness of breathe","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"2 to 2",1,0.997959184,,"faltaar30dd"
134,"tont30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022218","Dizziness",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Dizziness","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 2",3,0.993877551,,"tont30dd"
135,"cefal30dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022204","Headache",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0022069","Symptoms in the last 30 days","Headache","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 3",4,0.932653061,,"cefal30dd"
,,,"http://purl.obolibrary.org/obo/EUPATH_0010356","Symptoms in the last 7 days",,"Participant",,,,,"multifilter",,,,,,,,,,,,,,,,,,,,,,,,,
138,"sint7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Any symptoms",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0010356","Symptoms in the last 7 days","Sympthoms in the last 7 days?","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0,,"sint7dd"
139,"febre7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0015185","Fever during last 7 days",,"Participant",,,"Fever (in the last 7 days)","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 3",4,0.102040816,,"febre7dd"
140,"cal7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022225","Chills",,"Participant",,,"Chills","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 2",3,0.102040816,,"cal7dd"
141,"sudor7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022238","Sweating",,"Participant",,,"Sweating","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.997959184,,"sudor7dd"
142,"fraq7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022229","Weakness",,"Participant",,,"Weakness","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"3 to 3",1,0.993877551,,"fraq7dd"
143,"cefal7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022226","Headache",,"Participant",,,"Headache","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 3",4,0.228571429,,"cefal7dd"
145,"abdom7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022222","Abdominal pain",,"Participant",,,"Abdominal pain","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 3",2,0.989795918,,"abdom7dd"
147,"hipoc7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022231","Hypochondrium pain",,"Participant",,,"Pain in the hypochondrium","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"1 to 3",2,0.995918367,,"hipoc7dd"
148,"naus7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022235","Nausea",,"Participant",,,"Nauseas","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 2",2,0.995918367,,"naus7dd"
149,"vom7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022242","Vomiting",,"Participant",,,"Vomiting","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.997959184,,"vom7dd"
150,"mial7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022234","Muscle aches",,"Participant",,,"Myalgia","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 2",3,0.985714286,,"mial7dd"
151,"artral7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022224","Joint pain",,"Participant",,,"Arthralgia","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 3",2,0.985714286,,"artral7dd"
152,"lomb7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022233","Lower back pain",,"Participant",,,"Backache","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 3",4,0.987755102,,"lomb7dd"
153,"diarr7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022228","Diarrhea",,"Participant",,,"Diarrhea","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 2",2,0.995918367,,"diarr7dd"
155,"urina7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022241","Change in urine color",,"Participant",,,"Urine color change","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"2 to 2",1,0.997959184,,"urina7dd"
158,"tosse7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022240","Cough",,"Participant",,,"Cough","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 3",3,0.97755102,,"tosse7dd"
160,"tont7dd","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022239","Dizziness",,"Participant",,,"Dizziness","0 - No","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 2",3,0.991836735,,"tont7dd"
162,"tratam","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0040021","Antimalarial prescribed",,"Participant",,,"Is the person being treated for malaria?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0.497959184,,"tratam"
163,"drogas","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000058","Antimalarial medication",,"Participant",,,"Drugs?","0 - Cloroquine",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0.987755102,,"drogas"
166,"hemoglobvalor","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/CMO_0000026","Hemoglobin",,"Sample",,,"Measured value of hemoglobin g/100ml","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",11.9,,,"6.2 to 17",70,0.444897959,,"hemoglobvalor"
167,"anemia","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0020209","Anemia (hemoglobin <10 g/dL)","How do they define?","Sample",,,"Anemia no/yes","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.446938776,,"anemia"
175,"testeag","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021219","RDT",,"Sample",,,"Rapid test (Ag)","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0,,"testeag"
176,"testeagresult","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0024217","Plasmodium, by RDT",,"Sample",,,"Result (Ag)","0 - Negative",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.391836735,,"testeagresult"
177,"especieag0","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Not Pf",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Species (Ag)","No-Pf",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.989795918,,"especieag0"
178,"especieag1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021306","Plasmodium species, by RDT",,"Sample",,,"Species (Ag)","Pf",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.997959184,,"especieag1"
179,"testeacresult","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0027009","Plasmodium, by microscopy",,"Sample",,,"Result","1  - Yes",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.697959184,,"testeacresult"
180,"especieacpv0","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Not Pv by microscopy",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Species (Ac) P. vivax","No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.989795918,,"especieacpv0"
181,"especieacpv1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021029","Plasmodium vivax",,"Sample",,,"Species (Ac) P. vivax","P. vivax",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.932653061,,"especieacpv1"
183,"especieacpf0","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Not Pf by microscopy",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Species (Ac) P. falciparum","No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.936734694,,"especieacpf0"
184,"especieacpf1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021028","Plasmodium falciparum",,"Sample",,,"Species (Ac) P. falciparum","P. falciparum",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.991836735,,"especieacpf1"
185,"sangue","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0033146","Blood sample collected",,"Sample",,,"Venous blood collection","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 0",1,0.497959184,,"sangue"
187,"gotaesp","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Thick smear performed",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Thick smear","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 2",2,0,,"gotaesp"
188,"gotaresult","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0024314","Plasmodium, by thick smear microscopy",,"Sample",,,"Result","0 - Negative",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.391836735,,"gotaresult"
189,"gotaespecie0","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Pv by thick smear microscopy",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Species","Pv",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.997959184,,"gotaespecie0"
190,"gotaespecie1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Pf by thick smear microscopy",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Species","Pf",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 1",1,0.995918367,,"gotaespecie1"
193,"tubodna","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"DNA tube",,"Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","DNA tube?","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0,,"tubodna"
194,"pcr","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0025125","Plasmodium, by qPCR",,"Sample",,,"Result PCR (field)","1 - Vivax",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 2",2,0.397959184,,"pcr"
195,"ct_pcr","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022060","Plasmodium falciparum, by qPCR result",,"Sample",,,"Ct PCR","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr",31,,,">10 unique values",23,0.906122449,,"ct_pcr"
198,"hemoglob","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0064598","Hemocue collected",,"Sample",,,"Hemoglobine (Hemocue)","0 - No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0,,"hemoglob"
219,"diagnostico","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Molecular diagnosis performed",,"Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Molecular diagnosis performed","Yes/No",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","sim",,,", nao, sim",2,0.002040816,,"diagnostico"
220,"qpcr_genero","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,,,"Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Result qPCR gender","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","NEGATIVO",,,", NEGATIVO, POSITIVO",2,0.397959184,,"qpcr_genero"
222,"qpcr_especie","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Result qPCR species",,"Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Result qPCR species","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","PLASMODIUM VIVAX",,,", PLASMODIUM FALCIPARUM, PLASMODIUM VIVAX",2,0.928571429,,"qpcr_especie"
223,"ct_especie","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Cycle qpcr species",,"Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Cycle qpcr species","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr",">39",,,">10 unique values",11,0.940816327,,"ct_especie"
224,"quantity_mean","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Quantity mean",,"Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Quantity mean","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",2.5,,,"0 to 30358.783203125",26,0.928571429,,"quantity_mean"
225,"copias_ul","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Copies per microliter",,"Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Copies per microliter","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",1,,,"1 to 12143.51328125",24,0.928571429,,"copias_ul"
