order,uniqueVar,variable,dataFile,keepDiscard,notesforDL,codebookDescription,codebookValues,timeVaryng,duplicated,dateTime,flag,notesforOnt,type,example,minValue,maxValue,values,uniqueValueCount,percentMissing,In OWL FILE
1112,END_WHZ,end_whz,vida_enrl.csv,keep,,WHO growth standards weight-for-height z-score at follow-up,numeric,,,NA,NA,,chr,0.83,n/a,n/a,>10 unique values,744,0.040803402,YES
1117,END_WHZ_FLAG,end_whz_flag,vida_enrl.csv,keep,,,,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.040803402,YES
1107,END_WT,end_wt,vida_enrl.csv,keep,,Weight of child at follow-up in kg,numeric,,,NA,NA,,chr,8.9,n/a,n/a,>10 unique values,271,0.040803402,YES
4,ENROLL_DATE,enroll_date,vida_enrl.csv,keep,,Date of enrollment into the study,Date,,,date?,NA,,date,5/11/2015,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1055,0,YES
979,ETEC_ALL,etec_all,vida_enrl.csv,keep,,ETEC any,1 = ETEC any; 0 = Not ETEC/no ecoli detected,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.001628517,YES
973,ETEC_ANYST,etec_anyst,vida_enrl.csv,keep,,,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.001628517,YES
982,ETEC_LT,etec_lt,vida_enrl.csv,keep,,,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.001176151,YES
980,ETEC_LTST,etec_ltst,vida_enrl.csv,keep,,ETEC LT/ST  ,1 = ETEC LT/ST; 0 = Not ETEC LT/ST/no ecoli detected,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.001176151,YES
981,ETEC_ST,etec_st,vida_enrl.csv,keep,,ETEC ST only,1 = ST ETEC; 0 = Not ST ETEC/no ecoli detected,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.001628517,YES
821,F11_ANTI_AMOX,f11_anti_amox,vida_enrl.csv,keep,,Amoxycillin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.997285805,YES
809,F11_ANTI_AMPI,f11_anti_ampi,vida_enrl.csv,keep,,Ampicillin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.997738171,YES
817,F11_ANTI_AZIT,f11_anti_azit,vida_enrl.csv,keep,,Azithromycin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
820,F11_ANTI_CEFT,f11_anti_ceft,vida_enrl.csv,keep,,Ceftriaxone,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.997738171,YES
822,F11_ANTI_CEPHLA,f11_anti_cephla,vida_enrl.csv,keep,,Cephalosporin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
815,F11_ANTI_CHLO,f11_anti_chlo,vida_enrl.csv,keep,,Chloramphenicol,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
812,F11_ANTI_CIPR,f11_anti_cipr,vida_enrl.csv,keep,,Cipro or Norfloxacinn,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
811,F11_ANTI_COTR,f11_anti_cotr,vida_enrl.csv,keep,,Cotrimoxazole,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.997376278,YES
826,F11_ANTI_DATE,f11_anti_date,vida_enrl.csv,keep,,Date of first antibiotic:,,,,date?,NA,GEMS,date,12/6/2015,.,12/19/2017,. to 12/19/17,40,0.996471546,YES
816,F11_ANTI_ERYT,f11_anti_eryt,vida_enrl.csv,keep,,Erythromycin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
814,F11_ANTI_GENT,f11_anti_gent,vida_enrl.csv,keep,,Gentamycin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.997738171,YES
818,F11_ANTI_MACR,f11_anti_macr,vida_enrl.csv,keep,,Other macrolides,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
823,F11_ANTI_METRO,f11_anti_metro,vida_enrl.csv,keep,,Metronidazole,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.997466751,YES
810,F11_ANTI_NALI,f11_anti_nali,vida_enrl.csv,keep,,Nalidixic acid,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
824,F11_ANTI_OTHER,f11_anti_other,vida_enrl.csv,keep,,Other antibiotic,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.997738171,YES
819,F11_ANTI_PENI,f11_anti_peni,vida_enrl.csv,keep,,Penicillin,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
813,F11_ANTI_SELE,f11_anti_sele,vida_enrl.csv,keep,,Selexid/Pivemecillinam,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.997738171,YES
827,F11_ANTI_TIME,f11_anti_time,vida_enrl.csv,keep,,,,,,NA,NA,GEMS,chr,16:30,n/a,n/a,>10 unique values,36,0.996471546,YES
808,F11_ANTIBIOTIC,f11_antibiotic,vida_enrl.csv,keep,,"If the child is a case, did s/he receive antibiotics after arriving at the health center but before producing the whole stool specimen?","N=No, Y=Yes (0=No, 1=Yes), DK=DK",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 9",4,0.562109834,YES
805,F11_BLOOD,f11_blood,vida_enrl.csv,keep,,Blood,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,int,0,0,1,0 to 1,2,0,YES
833,F11_CARYBLAIR,f11_caryblair,vida_enrl.csv,keep,,Swab (rectal swab/whole stool) in Cary Blair:,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,int,1,0,1,0 to 1,2,0,YES
804,F11_CONSISTENCY,f11_consistency,vida_enrl.csv,keep,,Consistency of whole stool sample:,"1=grade 1 (formed), 
2=grade 2 (soft), 
3=grade 3 (thick liquid), 
4=grade 4 (opaque watery), 
5=grade 5 (rice water-clear watery)",,,NA,NA,GEMS,int,4,1,5,1 to 5,5,0,YES
801,F11_DATE,f11_date,vida_enrl.csv,keep,,,,,,date?,NA,GEMS,date,5/11/2015,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1056,0,YES
831,F11_DATESTAFF,f11_datestaff,vida_enrl.csv,keep,,Date first whole stool passed/excreted:,,,,date?,NA,GEMS,date,5/11/2015,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1056,0,YES
802,F11_DATESTOOL,f11_datestool,vida_enrl.csv,keep,,Date whole stool/rectal swab placed in transport media:,,,,date?,NA,GEMS,date,5/11/2015,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1057,0,YES
834,F11_GLYCEROL,f11_glycerol,vida_enrl.csv,keep,,Swab (rectal swab/whole stool) in Buffered Glycerol Saline:,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,int,1,0,1,0 to 1,2,0,YES
806,F11_PUS,f11_pus,vida_enrl.csv,keep,,Pus,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,int,0,0,1,0 to 1,2,0,YES
828,F11_RECTAL_SWAB,f11_rectal_swab,vida_enrl.csv,keep,,"If the child is a case and was given antibiotics at the health center before the child produced a whole stool specimen, were rectal swabs collected from the child before the child received antibiotics?","N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.997738171,YES
835,F11_STCSPEID,f11_stcspeid,vida_enrl.csv,keep,,,,,,NA,NA,,int,1000001,1000001,3005494,1000001 to 3005494,11053,0,YES
829,F11_SWAB_DATE,f11_swab_date,vida_enrl.csv,keep,,Date rectal swabs obtained:,,,,date?,NA,GEMS,date,12/6/2015,.,12/19/2017,. to 12/19/17,25,0.997828644,YES
830,F11_SWAB_TIME,f11_swab_time,vida_enrl.csv,keep,,Time rectal swabs obtained:,,,,NA,NA,GEMS,chr,13:52,n/a,n/a,>10 unique values,22,0.997828644,YES
832,F11_TIMESTAFF,f11_timestaff,vida_enrl.csv,keep,,Time sample received by lab personnel:,,,,NA,NA,GEMS,chr,10:25,n/a,n/a,>10 unique values,788,0,YES
803,F11_TIMESTOOL,f11_timestool,vida_enrl.csv,keep,,Time whole stool/rectal swab placed in transport media:,,,,NA,NA,GEMS,chr,10:20,n/a,n/a,>10 unique values,818,0,YES
852,F15_ACCEPTABLE,f15_acceptable,vida_enrl.csv,keep,,Acceptable for accession?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.000452366,YES
863,F15_APW,f15_apw,vida_enrl.csv,keep,,BP/APW,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
856,F15_ARCHIVE1,f15_archive1,vida_enrl.csv,keep,,Archive 1,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
857,F15_ARCHIVE2,f15_archive2,vida_enrl.csv,keep,,Archive 2,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
858,F15_ARCHIVE3,f15_archive3,vida_enrl.csv,keep,,Archive 3,,,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
861,F15_CAMPY,f15_campy,vida_enrl.csv,keep,,CAMPY,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
849,F15_COLD,f15_cold,vida_enrl.csv,keep,,Temperature okay (cold pack frozen)?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
843,F15_COLLECT_RECT,f15_collect_rect,vida_enrl.csv,keep,,Rectal swab sample collected?,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000452366,YES
844,F15_COLLECT_STOOL,f15_collect_stool,vida_enrl.csv,keep,,Whole stool sample collected?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
847,F15_LABELED,f15_labeled,vida_enrl.csv,keep,,Properly labeled?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
862,F15_MAC,f15_mac,vida_enrl.csv,keep,,MaC,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
854,F15_PARASITES,f15_parasites,vida_enrl.csv,keep,,Parasites,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
864,F15_RYAN,f15_ryan,vida_enrl.csv,keep,,ABA/CIN/RYAN,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
860,F15_TCBS,f15_tcbs,vida_enrl.csv,keep,,TTGA/TCBS,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
848,F15_TIGHTSHUT,f15_tightshut,vida_enrl.csv,keep,,Container tightly shut?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
853,F15_VIRUSES_ELISA,f15_viruses_elisa,vida_enrl.csv,keep,,Viruses (ELISA),,,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
855,F15_VIRUSES_PCR,f15_viruses_pcr,vida_enrl.csv,keep,,Virus PCR,,,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
851,F15_WT_VOL_ACT,f15_wt_vol_act,vida_enrl.csv,keep,,Actual weight:,,,,NA,NA,GEMS,chr,8.6,n/a,n/a,>10 unique values,2883,0.000452366,YES
850,F15_WT_VOLUME,f15_wt_volume,vida_enrl.csv,keep,,Sufficient weight/volume?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
859,F15_XLD,f15_xld,vida_enrl.csv,keep,,SS/XLD,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.000452366,YES
870,F16_AEROMONAS,f16_aeromonas,vida_enrl.csv,keep,,Aeromonas spp.,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
872,F16_CAMPY_COLI,f16_campy_coli,vida_enrl.csv,keep,,Campylobacter coli,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
871,F16_CAMPY_JEJUNI,f16_campy_jejuni,vida_enrl.csv,keep,,Campylobacter jejuni,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
873,F16_CAMPY_NONJEJ,f16_campy_nonjej,vida_enrl.csv,keep,,Campylobacter (Not jejuni or coli),"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
886,F16_ECOLI,f16_ecoli,vida_enrl.csv,keep,,E. coli isolated,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.000542839,YES
887,F16_NOGROWTH,f16_nogrowth,vida_enrl.csv,keep,,No growth,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000633312,YES
885,F16_NONEPATHOS,f16_nonepathos,vida_enrl.csv,keep,,None of the above pathogens isolated,"N=No, Y=Yes (0=No, 1=Yes) (means none of the above isolated)",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.000542839,YES
876,F16_SALM_NONTYPHI,f16_salm_nontyphi,vida_enrl.csv,keep,,Salmonella enterica Non-Typhi serovar ,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
875,F16_SALM_SELBROTH1,f16_salm_selbroth1,vida_enrl.csv,keep,,Detected from Sellenite broth,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.99972858,YES
877,F16_SALM_SELBROTH2,f16_salm_selbroth2,vida_enrl.csv,keep,,Detected from Sellenite broth,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.985614765,YES
874,F16_SALM_TYPHI,f16_salm_typhi,vida_enrl.csv,keep,,Salmonella Typhi,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
878,F16_SHIG_SPP,f16_shig_spp,vida_enrl.csv,keep,,Shigella spp.,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,int,0,0,1,0 to 1,2,0,YES
881,F16_VCHOL_BIO,f16_vchol_bio,vida_enrl.csv,keep,,Vibrio cholerae O1A,"1=El Tor, 2=Classical, 3=Not tested",,,NA,NA,,chr,3,n/a,n/a,"., 1, 3",3,0.998914322,YES
880,F16_VCHOL_SERO1,f16_vchol_sero1,vida_enrl.csv,keep,,Vibrio cholerae type,"1=O1, 2=O139, 3=Non O1/Non O139, 4=Not tested",,,NA,NA,,chr,4,n/a,n/a,"., 1, 4",3,0.998552429,YES
882,F16_VCHOL_SERO2,f16_vchol_sero2,vida_enrl.csv,keep,,Vibrio cholarae O1B,"1=Inaba, 2=Ogawa, 3=Not tested",,,NA,NA,,chr,2,n/a,n/a,"., 2",2,0.998914322,YES
879,F16_VIB_CHOLERAE,f16_vib_cholerae,vida_enrl.csv,keep,,Vibrio cholerae,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000633312,YES
884,F16_VIB_OTHER,f16_vib_other,vida_enrl.csv,keep,,Vibrio (other species),"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
883,F16_VIB_PARAHAEM,f16_vib_parahaem,vida_enrl.csv,keep,,Vibrio parahaemolyticus,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
900,F17_DUPL_COMP,f17_dupl_comp,vida_enrl.csv,keep,,Duplex PCR test,"1=Test completed, 2=Not performed",,,NA,NA,,chr,1,n/a,n/a,"., 1, 2",3,0.025513435,YES
901,F17_DUPL_EAE,f17_dupl_eae,vida_enrl.csv,keep,,eae (approx. 384 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.049036461,YES
902,F17_DUPL_ST,f17_dupl_st,vida_enrl.csv,keep,,ST (approx. 166 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.049036461,YES
904,F17_MONO_BFPA,f17_mono_bfpa,vida_enrl.csv,keep,,bfpA (approx. 300 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.970143852,YES
903,F17_MONO_COMP,f17_mono_comp,vida_enrl.csv,keep,,bfpA monoplex test,"1=Test completed, 2=Not performed",,,NA,NA,,chr,2,n/a,n/a,"., 1, 2",3,0.025603908,YES
893,F17_MULTI_COMP,f17_multi_comp,vida_enrl.csv,keep,,Multiplex PCR test 1,"1=Test completed, 2=Not performed",,,NA,NA,,chr,1,n/a,n/a,"., 1, 2",3,0.025513435,YES
905,F17_MULTI2_COMP,f17_multi2_comp,vida_enrl.csv,keep,,Multiplex PCR test 2,"1=Test completed, 2=Not performed",,,NA,NA,,chr,2,n/a,n/a,"., 1, 2",3,0.025513435,YES
907,F17_MULTI2_EAE,f17_multi2_eae,vida_enrl.csv,keep,,eae (approx. 377 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.947706505,YES
910,F17_MULTI2_EFA,f17_multi2_efa,vida_enrl.csv,keep,,Efa-1 (approx. 165 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.947706505,YES
908,F17_MULTI2_SEN,f17_multi2_sen,vida_enrl.csv,keep,,Sen (approx. 310 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.947706505,YES
909,F17_MULTI2_STX1,f17_multi2_stx1,vida_enrl.csv,keep,,Stx-1 (approx. 220 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.947706505,YES
906,F17_MULTI2_STX2,f17_multi2_stx2,vida_enrl.csv,keep,,Stx-2 (approx. 443 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.947706505,YES
898,F17_RESULT_AAIC,f17_result_aaic,vida_enrl.csv,keep,,aaiC(approx. 215 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.048765041,YES
897,F17_RESULT_AATA,f17_result_aata,vida_enrl.csv,keep,,aatA(approx. 630 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.048765041,YES
896,F17_RESULT_BFPA,f17_result_bfpa,vida_enrl.csv,keep,,bfpA(approx. 300 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.048765041,YES
899,F17_RESULT_EAE,f17_result_eae,vida_enrl.csv,keep,,eae(approx. 881 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.048765041,YES
895,F17_RESULT_ELTB,f17_result_eltb,vida_enrl.csv,keep,,eltB (LT)(approx. 508 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.048765041,YES
894,F17_RESULT_ESTA,f17_result_esta,vida_enrl.csv,keep,,estA (ST)(approx. 147 bp):,"1=Positive, 2=Negative",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.048765041,YES
923,F18_RES_ADENO4041,f18_res_adeno4041,vida_enrl.csv,keep,,Adenovirus 40/41:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,9,n/a,n/a,"., 0, 1, 9",4,0.000723785,YES
922,F18_RES_ADENOVIRUS,f18_res_adenovirus,vida_enrl.csv,keep,,Adenovirus:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
918,F18_RES_CRYPTOSPOR,f18_res_cryptospor,vida_enrl.csv,keep,,Cryptosporidium spp.:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 9",4,0.000542839,YES
916,F18_RES_ENTAMOEBA,f18_res_entamoeba,vida_enrl.csv,keep,,Entamoeba histolytica:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
917,F18_RES_GIARDIA,f18_res_giardia,vida_enrl.csv,keep,,Giardia lamblia:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.001266624,YES
921,F18_RES_ROTAVIRUS,f18_res_rotavirus,vida_enrl.csv,keep,,Rotavirus:,"P=Positive, N=Negative, ND=Not done",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,9.05E-05,YES
932,F19_ASTRO_VIRUS,f19_astro_virus,vida_enrl.csv,keep,,Astrovirus,Not in EMMES Data Dictionary April 2017,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
929,F19_NORO_GI,f19_noro_gi,vida_enrl.csv,keep,,Norovirus GI,Not in EMMES Data Dictionary April 2017,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
930,F19_NORO_GII,f19_noro_gii,vida_enrl.csv,keep,,Norovirus GII,Not in EMMES Data Dictionary April 2017,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1, 9",4,0.000542839,YES
931,F19_SAPO_VIRUS,f19_sapo_virus,vida_enrl.csv,keep,,Sapovirus,Not in EMMES Data Dictionary April 2017,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.000542839,YES
928,F19_TEST_DATE,f19_test_date,vida_enrl.csv,keep,,Date of test:,Not in EMMES Data Dictionary April 2017,,,date?,NA,,date,11/18/2015,.,12/29/2015,. to 12/29/15,209,0.000542839,YES
13,F2_AGE,f2_age,vida_enrl.csv,keep,,Date of test:,Not in EMMES Data Dictionary April 2017,,,NA,NA,GEMS,chr,6,n/a,n/a,>10 unique values,61,0.562652673,YES
12,F2_CLUSTER,f2_cluster,vida_enrl.csv,keep,,Age in months,,,,NA,NA,GEMS,chr,80014,n/a,n/a,>10 unique values,574,0.562652673,YES
11,F2_DATE,f2_date,vida_enrl.csv,keep,,Cluster number,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2017,. to 12/31/17,1007,0.562652673,YES
14,F2_GENDER,f2_gender,vida_enrl.csv,keep,,Registration date,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1, 2",3,0.562652673,YES
15,F2_HOSP,f2_hosp,vida_enrl.csv,keep,,Gender,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.563557405,YES
16,F2_LOOSE_STOOLS,f2_loose_stools,vida_enrl.csv,keep,,Hospitalized,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.562652673,YES
20,F3_ABN_LOOSE,f3_abn_loose,vida_enrl.csv,keep,,Three or more abnormally loose or watery stools within the last 24 hour period,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
17,F3_AGE59,f3_age59,vida_enrl.csv,keep,,Did this child pass 3 or more abnormally loose stools during the previous 24 hours?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
35,F3_ANTIBIOTIC,f3_antibiotic,vida_enrl.csv,keep,,Is this child 0-59 months of age?,"N=No, Y=Yes (0=No, 1=Yes), DK=DK",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
18,F3_CHILD_DSS,f3_child_dss,vida_enrl.csv,keep,,"If the child is eligible for VIDA, was child given antibiotic before whole stool sample was collected?",,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
30,F3_CHILD_ELIG,f3_child_elig,vida_enrl.csv,keep,,Does the child qualify as a DSS resident?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
38,F3_CHILD_ENROLL,f3_child_enroll,vida_enrl.csv,keep,,Is the child eligible for enrollment?,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
21,F3_DRH_7,f3_drh_7,vida_enrl.csv,keep,,Comments,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
26,F3_DRH_DYS,f3_drh_dys,vida_enrl.csv,keep,,Did current diarrhea episode begin within the previous 7 days?,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
27,F3_DRH_HOSP,f3_drh_hosp,vida_enrl.csv,keep,,d. Dysentery (diarrhea with visible blood in stool observed or reported),,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.707590699,YES
25,F3_DRH_IV,f3_drh_iv,vida_enrl.csv,keep,,e. Hospitalized with diarrhea or dysentery,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
23,F3_DRH_SUNKEYES,f3_drh_sunkeyes,vida_enrl.csv,keep,,c. Intravenous rehydration administered or prescribed,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.562109834,YES
24,F3_DRH_TURGOR,f3_drh_turgor,vida_enrl.csv,keep,,"a. Sunken eyes, more than normal",,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
22,F3_DRH7DAY,f3_drh7day,vida_enrl.csv,keep,,b. Loss of skin turgor,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 1",2,0.562109834,YES
54,F3_ELIG_SALIVA,f3_elig_saliva,vida_enrl.csv,keep,,"Before this episode began, did the child have at least 7 days without diarrhea?",,,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.783316747,YES
937,F3_HOSP,f3_hosp,vida_enrl.csv,keep,,An overall indicator of whether the child was hospitalized with diarrhea or dysentery at the time of enrollment. ,"1=Yes, 0=No",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
29,F3_HOSP_DYS,f3_hosp_dys,vida_enrl.csv,keep,,An overall indicator of whether the child was hospitalized with diarrhea or dysentery at the time of enrollment. ,"1=Yes, 0=No",,,NA,NA,,chr,0,n/a,n/a,"., 0",2,0.854519135,YES
