overallOrder,variable,dataSet,dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,variable_dataFile,Question,VIDA Coding,CRF,Q. no
260,f4a_opv1_date,VIDA,vida_enrl.csv,date,12/1/2014,date?,NA,.,12/31/2015,. to 12/31/15,1341,0.587155133,NA,F4A_OPV1_DATE,Oral polio vaccine 1 date,date,F4B,16
261,f4a_opv1_hc,VIDA,vida_enrl.csv,chr,BASSE H/C,NA,NA,n/a,n/a,>10 unique values,610,0.587155133,NA,F4A_OPV1_HC,Oral polio vaccine 1 health center name,string,F4B,16
262,f4a_opv1_dk,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.988602442,NA,F4A_OPV1_DK,Oral polio vaccine 1 don't know,1 = Selected,F4B,16
263,f4a_opv1_hcid,VIDA,vida_enrl.csv,chr,101,NA,NA,n/a,n/a,>10 unique values,76,0.599819086,NA,F4A_OPV1_HCID,Oral polio vaccine 1 health center code,numeric,F4B,16
264,f4a_opv2,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1, 9",4,0.586521936,NA,F4A_OPV2,Oral polio vaccine 2,"0=No, 1=Yes, 9=Don't know",F4B,16
265,f4a_opv2_date,VIDA,vida_enrl.csv,date,1/5/2015,date?,NA,.,12/31/2015,. to 12/31/15,1320,0.600542741,NA,F4A_OPV2_DATE,Oral polio vaccine 2 date,date,F4B,16
266,f4a_opv2_hc,VIDA,vida_enrl.csv,chr,BASSE H/C,NA,NA,n/a,n/a,>10 unique values,610,0.600452284,NA,F4A_OPV2_HC,Oral polio vaccine 2 health center name,string,F4B,16
267,f4a_opv2_dk,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.98923564,NA,F4A_OPV2_DK,Oral polio vaccine 2 don't know,1 = Selected,F4B,16
268,f4a_opv2_hcid,VIDA,vida_enrl.csv,chr,101,NA,NA,n/a,n/a,>10 unique values,73,0.612573496,NA,F4A_OPV2_HCID,Oral polio vaccine 2 health center code,numeric,F4B,16
269,f4a_opv3,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1, 9",4,0.599547716,NA,F4A_OPV3,Oral polio vaccine 3,"0=No, 1=Yes, 9=Don't know",F4B,16
270,f4a_opv3_date,VIDA,vida_enrl.csv,date,2/2/2015,date?,NA,.,12/31/2016,. to 12/31/16,1292,0.622342831,NA,F4A_OPV3_DATE,Oral polio vaccine 3 date,date,F4B,16
271,f4a_opv3_hc,VIDA,vida_enrl.csv,chr,BASSE H/C,NA,NA,n/a,n/a,>10 unique values,584,0.622342831,NA,F4A_OPV3_HC,Oral polio vaccine 3 health center name,string,F4B,16
272,f4a_opv3_dk,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.989959294,NA,F4A_OPV3_DK,Oral polio vaccine 3 don't know,1 = Selected,F4B,16
273,f4a_opv3_hcid,VIDA,vida_enrl.csv,chr,101,NA,NA,n/a,n/a,>10 unique values,69,0.634011759,NA,F4A_OPV3_HCID,Oral polio vaccine 3 health center code,numeric,F4B,16
274,f4a_ipv1,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 9",4,0.581365898,NA,F4A_IPV1,Inactivated polio vaccine 1,"0=No, 1=Yes, 9=Don't know",F4B,16
275,f4a_ipv1_date,VIDA,vida_enrl.csv,date,5/13/2015,date?,NA,.,12/31/2016,. to 12/31/16,554,0.885572139,NA,F4A_IPV1_DATE,Inactivated polio vaccine 1 date,date,F4B,16
276,f4a_ipv1_hc,VIDA,vida_enrl.csv,chr,BASSE HEALTH CENTRE,NA,NA,n/a,n/a,>10 unique values,239,0.885572139,NA,F4A_IPV1_HC,Inactivated polio vaccine 1 health center name,string,F4B,16
277,f4a_ipv1_dk,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.997376753,NA,F4A_IPV1_DK,Inactivated polio vaccine 1 don't know,1 = Selected,F4B,16
278,f4a_ipv1_hcid,VIDA,vida_enrl.csv,chr,101,NA,NA,n/a,n/a,>10 unique values,56,0.888195387,NA,F4A_IPV1_HCID,Inactivated polio vaccine 1 health center code,numeric,F4B,16
279,f4a_ipv2,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 9",4,0.883672546,NA,F4A_IPV2,Inactivated polio vaccine 2,"0=No, 1=Yes, 9=Don't know",F4B,16
280,f4a_ipv2_date,VIDA,vida_enrl.csv,date,6/23/2014,date?,NA,.,11/16/2015,. to 11/16/15,13,0.998914518,NA,F4A_IPV2_DATE,Inactivated polio vaccine 2 date,date,F4B,16
281,f4a_ipv2_hc,VIDA,vida_enrl.csv,chr,BANSANG,NA,NA,n/a,n/a,", abidha, AKALA, BANSANG, BRIKAMA BA, BRIKAMABA HEALTH CENTER, MULAHA, NDORI, TINGWANGI HEALTH CENTER",8,0.998914518,NA,F4A_IPV2_HC,Inactivated polio vaccine 2 HC,string,F4B,16
282,f4a_ipv2_dk,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F4A_IPV2_DK,Inactivated polio vaccine 2 don't know,1 = Selected,F4B,16
283,f4a_ipv2_hcid,VIDA,vida_enrl.csv,chr,107,NA,NA,n/a,n/a,", 103, 107, 108, 13, 2, 311, 6, 8, 90",9,0.998824062,NA,F4A_IPV2_HCID,Inactivated polio vaccine 2 HC code,numeric,F4B,16
284,f4a_ipv3,VIDA,vida_enrl.csv,chr,9,NA,NA,n/a,n/a,"., 0, 1, 9",4,0.99773858,NA,F4A_IPV3,Inactivated polio vaccine 3,"0=No, 1=Yes, 9=Don't know",F4B,16
285,f4a_ipv3_date,VIDA,vida_enrl.csv,date,11/27/2013,date?,NA,.,12/9/2015,. to 12/09/15,7,0.999457259,NA,F4A_IPV3_DATE,Inactivated polio vaccine 3 date,date,F4B,16
286,f4a_ipv3_hc,VIDA,vida_enrl.csv,chr,BRIKAMA BA,NA,NA,n/a,n/a,", abidha, BRIKAMA BA, NDORI",3,0.999457259,NA,F4A_IPV3_HC,Inactivated polio vaccine 3 HC,string,F4B,16
287,f4a_ipv3_dk,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F4A_IPV3_DK,Inactivated polio vaccine 3 don't know,1 = Selected,F4B,16
288,f4a_ipv3_hcid,VIDA,vida_enrl.csv,chr,108,NA,NA,n/a,n/a,", 103, 108, 13, 2, 90",5,0.999366802,NA,F4A_IPV3_HCID,Inactivated polio vaccine 3 HC code,numeric,F4B,16
289,f4a_spec_id,VIDA,vida_enrl.csv,chr,1000001,NA,NA,n/a,n/a,>10 unique values,4841,0.562098598,NA,F4A_SPEC_ID,Specimen ID,numeric,F5,4
290,f4a_comment,VIDA,vida_enrl.csv,chr,"THE MOTHER SAID, THE CHILD HAD NEVER RECEIVED AN IMMUNIZATION SINCE SHE WAS BORN. PARTAINING TO QUESTION 13 AND 14(P3OF9),THE MOTHER IS STAYING IN MANNEH KUNDA FOR FOUR MONTHS NOW.",NA,NA,n/a,n/a,>10 unique values,367,0.965626413,NA,F4A_COMMENT,Comments,string,F4B,N/A
291,f4a_intvwr,VIDA,vida_enrl.csv,chr,HABBY JALLOW,NA,NA,n/a,n/a,>10 unique values,395,0.562098598,NA,F4A_INTVWR,Interviewer's name,string,F4B,16
292,f4a_int_code,VIDA,vida_enrl.csv,chr,19,NA,NA,n/a,n/a,>10 unique values,114,0.562641339,NA,F4A_INT_CODE,Interviewer's staff code,integer,F4B,16
293,f4a_qc,VIDA,vida_enrl.csv,chr,DEMBA JOBE,NA,NA,n/a,n/a,>10 unique values,109,0.562369968,NA,F4A_QC,Quality control's name,string,F4B,16
294,f4a_qc_code,VIDA,vida_enrl.csv,chr,6,NA,NA,n/a,n/a,>10 unique values,27,0.562369968,NA,F4A_QC_CODE,Quality control's staff c,integer,F4B,16
295,f4a_qc_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2016,. to 12/31/16,971,0.562460425,NA,F4A_QC_DATE,Quality control date,date,F4B,16
296,f4b_visno,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.562098598,NA,F4B_VISNO,Visit number,,F7,25
297,f4b_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2017,. to 12/31/17,1008,0.562098598,NA,F4B_DATE,Date CRF completed,date,F6,18
298,f4b_wt_child,VIDA,vida_enrl.csv,chr,74.8,NA,NA,n/a,n/a,>10 unique values,577,0.690456807,NA,F4B_WT_CHILD,Weight of caretaker+child,numeric,F7,25
299,f4b_wt_care,VIDA,vida_enrl.csv,chr,67.2,NA,NA,n/a,n/a,>10 unique values,559,0.690547264,NA,F4B_WT_CARE,Weight of caretaker,numeric,F7,25
300,f4b_wtna,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.871732248,NA,F4B_WTNA,0-23 month weight N/A,1 = selected,F7,25
301,f4b_wt,VIDA,vida_enrl.csv,chr,10.7,NA,NA,n/a,n/a,>10 unique values,118,0.871732248,NA,F4B_WT,24-59 months old: (Weight of child alone),numeric,F7,25
302,f4b_ht1,VIDA,vida_enrl.csv,chr,68.7,NA,NA,n/a,n/a,>10 unique values,532,0.562098598,NA,F4B_HT1,0-23 month first height (cm),numeric,F6,
303,f4b_ht2,VIDA,vida_enrl.csv,chr,68.6,NA,NA,n/a,n/a,>10 unique values,541,0.562098598,NA,F4B_HT2,0-23 month second height (cm),numeric,F6,
304,f4b_ht3,VIDA,vida_enrl.csv,chr,68.5,NA,NA,n/a,n/a,>10 unique values,537,0.562098598,NA,F4B_HT3,0-23 month third height (cm),numeric,F6,
305,f4b_muac1,VIDA,vida_enrl.csv,chr,13.4,NA,NA,n/a,n/a,>10 unique values,93,0.562098598,NA,F4B_MUAC1,First MUAC (cm),numeric,F7,5
306,f4b_muac2,VIDA,vida_enrl.csv,chr,13.5,NA,NA,n/a,n/a,>10 unique values,92,0.562189055,NA,F4B_MUAC2,Second MUAC (cm),numeric,F7,6
307,f4b_muac3,VIDA,vida_enrl.csv,chr,13.2,NA,NA,n/a,n/a,>10 unique values,92,0.562189055,NA,F4B_MUAC3,Third MUAC (cm),numeric,F7,7
308,f4b_temp,VIDA,vida_enrl.csv,chr,36.7,NA,NA,n/a,n/a,>10 unique values,56,0.562098598,NA,F4B_TEMP,Axillary temperature (C),numeric,F7,13
309,f4b_resp1,VIDA,vida_enrl.csv,chr,48,NA,NA,n/a,n/a,>10 unique values,60,0.562098598,NA,F4B_RESP1,First respiratory rate,numeric,F7,12
310,f4b_resp2,VIDA,vida_enrl.csv,chr,51,NA,NA,n/a,n/a,>10 unique values,62,0.562098598,NA,F4B_RESP2,Second respiratory rate,numeric,F7,12
311,f4b_capil,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 2, 3",4,0.562098598,NA,F4B_CAPIL,Capillary refill,"1 = ""Normal (<2 sec)', 
2 = ""Slow (2-3 sec)"", 
3 = ""Very slow (>3 sec)""",F6,11
312,f4b_chest_indrw,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_CHEST_INDRW,Chest indrawing,"1 = Yes, 0 = No",F6,12
313,f4b_eyes,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_EYES,Eyes,"0 = 'Normal', 1 = 'Sunken'",F6,20
314,f4b_mouth,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.562098598,NA,F4B_MOUTH,Mouth,"0 = 'Normal', 1 = 'Somewhat dry', 2 = 'Very dry'",F7,1
315,f4b_skin,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.562098598,NA,F4B_SKIN,Skin pinch,"0 = 'Normal', 1 = 'Slow return', 2 = 'Very slow return'",F7,13
316,f4b_mental,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.562098598,NA,F4B_MENTAL,Mental status,"0 = 'Normal', 1 = 'Restless/irritable', 2 = 'Lethargic/unconscious'",F7,1
317,f4b_rectal,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_RECTAL,Rectal prolapse,"0 = 'Absent', 1 = 'Present'",F7,11
318,f4b_bipedal,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_BIPEDAL,Bipedal edema [Both feet]:,"0 = 'Absent', 1 = 'Present'",F6,1
319,f4b_abn_hair,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_ABN_HAIR,"Abnormal hair: sparse, loose, straight:","0 = 'Absent', 1 = 'Present'",F5,
320,f4b_under_nutr,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_UNDER_NUTR,Undernutrition: wasted/very thin:,"0 = 'Absent', 1 = 'Present'",F7,25
321,f4b_skin_flaky,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_SKIN_FLAKY,Skin has 'flaky paint' appearance:,"0 = 'Absent', 1 = 'Present'",F7,13
322,f4b_observe_stool,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4B_OBSERVE_STOOL,Did either the interviewer or the study staff observe a stool sample from this child?,"0 = 'No', 1 = 'Yes'",F7,9
323,f4b_nature_stool,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.563274536,NA,F4B_NATURE_STOOL,"If ""Yes"", what was the nature of the stool?","0 = 'Normal stool', 
1 = 'Loose/liquid stool without blood', 
2 = 'Loose/liquid stool with blood'",F7,8
324,f4b_req_rehyd,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1, 2, 3",5,0.562098598,NA,F4B_REQ_REHYD,Does the child require rehydration?,"0 = 'No', 
1 = 'Yes, oral rehydration', 
2 = 'Yes, IV rehydration', 
3 = 'Yes, both IV and oral rehydration'",F7,12
325,f4b_receiv_req,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.577928539,NA,F4B_RECEIV_REQ,Did the child receive recommended rehydration at this hospital/health center?,"0 = No, 1=Yes",F7,11
326,f4b_rehyd_rec,VIDA,vida_enrl.csv,chr,2,NA,NA,n/a,n/a,"., 1, 2, 3",4,0.784170059,NA,F4B_REHYD_REC,IV or oral rehydration,"1 = 'Received IV rehydration at this center', 
2 = 'Received oral rehydration at this center', 
3 = 'Received both oral and IV rehydration at this center'",F7,11
327,f4b_rehyd_ref,VIDA,vida_enrl.csv,chr,3,NA,NA,n/a,n/a,"., 1, 2, 3",4,0.79375848,NA,F4B_REHYD_REF,Not rehydrated reason,"1 = 'Referred to another center', 
2 = 'Parents refused', 
3 = 'Prescribed ORS for use at home'",F7,12
328,f4b_rehyd_start_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2016,. to 12/31/16,838,0.784170059,NA,F4B_REHYD_START_DATE,Start date,date,F7,12
329,f4b_rehyd_start_time,VIDA,vida_enrl.csv,chr,20:40,NA,NA,n/a,n/a,>10 unique values,419,0.784170059,NA,F4B_REHYD_START_TIME,Start time,string,F7,12
330,f4b_rehyd_stop_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2016,. to 12/31/16,851,0.784170059,NA,F4B_REHYD_STOP_DATE,Stop date,date,F7,12
331,f4b_rehyd_stop_time,VIDA,vida_enrl.csv,chr,23:50,NA,NA,n/a,n/a,>10 unique values,473,0.784170059,NA,F4B_REHYD_STOP_TIME,Stop time,string,F7,12
332,f4b_child_eval,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.784170059,NA,F4B_CHILD_EVAL,Was the child evaluated after 4 hours?,"0 = 'No', 1 = 'Yes'",F6,14
333,f4b_child_eval_spec,VIDA,vida_enrl.csv,chr,THE MOTHER COULD NOT WAIT FOR 4 HOURS,NA,NA,n/a,n/a,>10 unique values,437,0.908186341,NA,F4B_CHILD_EVAL_SPEC,"If ""No"", what was the reason?",string,F6,15
334,f4b_child_comp_rehyd,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.875983718,NA,F4B_CHILD_COMP_REHYD,Was the child completely rehydrated?,"0 = 'No', 1 = 'Yes'",F6,13
335,f4b_find_wt_child,VIDA,vida_enrl.csv,chr,115.6,NA,NA,n/a,n/a,>10 unique values,383,0.909181366,NA,F4B_FIND_WT_CHILD,Weight of caretaker+child,numeric,F6,22
336,f4b_find_wt_care,VIDA,vida_enrl.csv,chr,107.7,NA,NA,n/a,n/a,>10 unique values,366,0.909181366,NA,F4B_FIND_WT_CARE,Weight of caretaker,numeric,F6,21
337,f4b_rehyd_wtna,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.966802352,NA,F4B_REHYD_WTNA,0-23 month weight N/A,1 = selected,F7,12
338,f4b_find_wt,VIDA,vida_enrl.csv,chr,9.6,NA,NA,n/a,n/a,>10 unique values,106,0.966802352,NA,F4B_FIND_WT,24-59 months old: (Weight of child alone):,numeric,F6,20
339,f4b_find_muac1,VIDA,vida_enrl.csv,chr,14.4,NA,NA,n/a,n/a,>10 unique values,88,0.875983718,NA,F4B_FIND_MUAC1,MUAC:,numeric,F6,20
340,f4b_find_muac2,VIDA,vida_enrl.csv,chr,14.5,NA,NA,n/a,n/a,>10 unique values,86,0.876074175,NA,F4B_FIND_MUAC2,2nd:,numeric,F6,20
341,f4b_find_muac3,VIDA,vida_enrl.csv,chr,14.4,NA,NA,n/a,n/a,>10 unique values,87,0.876074175,NA,F4B_FIND_MUAC3,3rd:,numeric,F6,20
342,f4b_find_mouth,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.875983718,NA,F4B_FIND_MOUTH,Mouth:,"0 = 'Normal', 
1 = 'Somewhat dry', 
2 = 'Very dry'",F6,20
343,f4b_find_skin_pinch,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1, 2",4,0.875983718,NA,F4B_FIND_SKIN_PINCH,Skin pinch:,"0 = 'Normal', 
1 = 'Slow return', 
2 = 'Very slow return'",F6,20
344,f4b_child_purge,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.875983718,NA,F4B_CHILD_PURGE,Does the child continue to purge large volumes of watery stool?,"0 = 'No', 1 = 'Yes'",F6,16.a
345,f4b_child_output,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0",2,0.875983718,NA,F4B_CHILD_OUTPUT,Was the total stool output within the last four hours measured?,"0 = 'No', 1 = 'Yes'",F6,16.a
346,f4b_volume,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F4B_VOLUME,"If ""Yes"", what was the volume?",numeric,F7,25
347,f4b_child_iv,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.875983718,NA,F4B_CHILD_IV,Does the child require additional oral/IV fluid for rehydration?,"0 = 'No', 1 = 'Yes'",F6,16
348,f4b_rehyd_hosp,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.97620986,NA,F4B_REHYD_HOSP,Was the child completely rehydrated in the hospital?,"0 = 'No', 1 = 'Yes'",F7,11
349,f4b_rehyd_date,VIDA,vida_enrl.csv,date,9/15/2015,date?,NA,.,12/23/2015,. to 12/23/15,114,0.988150158,NA,F4B_REHYD_DATE,Date of completed rehydration:,date,F7,11
350,f4b_rehyd_time,VIDA,vida_enrl.csv,chr,12:15,NA,NA,n/a,n/a,>10 unique values,91,0.988150158,NA,F4B_REHYD_TIME,Time of completed rehydration:,string,F7,12
351,f4b_rehyd_wt_child,VIDA,vida_enrl.csv,chr,49.9,NA,NA,n/a,n/a,>10 unique values,87,0.99122569,NA,F4B_REHYD_WT_CHILD,0-23 months old: (Weight of caretaker with and without child):,numeric,F7,12
352,f4b_rehyd_wt_care,VIDA,vida_enrl.csv,chr,45.6,NA,NA,n/a,n/a,>10 unique values,85,0.99122569,NA,F4B_REHYD_WT_CARE,Weight of caretaker,numeric,F7,12
353,f4b_mrehyd_wtna,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.990682949,NA,F4B_MREHYD_WTNA,0-23 month weight N/A,1 = selected,F7,2
354,f4b_rehyd_wt,VIDA,vida_enrl.csv,chr,8,NA,NA,n/a,n/a,>10 unique values,27,0.997014925,NA,F4B_REHYD_WT,24-59 months old: (Weight of child alone):,numeric,F7,12
355,f4b_rehyd_muac1,VIDA,vida_enrl.csv,chr,11,NA,NA,n/a,n/a,>10 unique values,56,0.988150158,NA,F4B_REHYD_MUAC1,MUAC:,numeric,F7,11
356,f4b_rehyd_muac2,VIDA,vida_enrl.csv,chr,11.2,NA,NA,n/a,n/a,>10 unique values,53,0.988150158,NA,F4B_REHYD_MUAC2,2nd:,numeric,F7,11
357,f4b_rehyd_muac3,VIDA,vida_enrl.csv,chr,11,NA,NA,n/a,n/a,>10 unique values,55,0.988150158,NA,F4B_REHYD_MUAC3,3rd:,numeric,F7,11
358,f4b_out_wt_child,VIDA,vida_enrl.csv,chr,54.4,NA,NA,n/a,n/a,>10 unique values,183,0.977657169,NA,F4B_OUT_WT_CHILD,0-23 months old: (Weight of caretaker with and without child):,numeric,F7,10
359,f4b_out_wt_care,VIDA,vida_enrl.csv,chr,47.9,NA,NA,n/a,n/a,>10 unique values,178,0.977657169,NA,F4B_OUT_WT_CARE,Weight of caretaker,numeric,F7,10
360,f4b_a23_wtna,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.799185889,NA,F4B_A23_WTNA,Not applicable 0-23 month,1 = selected,F5,
361,f4b_out_wt,VIDA,vida_enrl.csv,chr,9.6,NA,NA,n/a,n/a,>10 unique values,58,0.990592492,NA,F4B_OUT_WT,24-59 months old: (Weight of child alone):,numeric,F7,10
362,f4b_a59_wtna,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.794391678,NA,F4B_A59_WTNA,24-59 month weight N/A,1 = selected,F5,
363,f4b_out_muac1,VIDA,vida_enrl.csv,chr,11.3,NA,NA,n/a,n/a,>10 unique values,68,0.968430574,NA,F4B_OUT_MUAC1,MUAC:,numeric,F7,9
364,f4b_out_muac2,VIDA,vida_enrl.csv,chr,11.5,NA,NA,n/a,n/a,>10 unique values,69,0.968430574,NA,F4B_OUT_MUAC2,2nd:,numeric,F7,9
365,f4b_out_muac3,VIDA,vida_enrl.csv,chr,11.4,NA,NA,n/a,n/a,>10 unique values,69,0.968430574,NA,F4B_OUT_MUAC3,3rd:,numeric,F7,10
366,f4b_out_muac_na,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.805336952,NA,F4B_OUT_MUAC_NA,Not applicable,1 = selected,F7,9
367,f4b_admit,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562460425,NA,F4B_ADMIT,Was the child admitted to a hospital?,"0 = ""No"", 1 = 'Yes""",F5,
368,f4b_adm_adv,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.680506558,NA,F4B_ADM_ADV,"13x. If ""No"", was it advised that the child be admitted to a hospital?","0 = ""No"", 1 = 'Yes""",F5,
369,f4b_adm_advsp,VIDA,vida_enrl.csv,chr,2,NA,NA,n/a,n/a,"., 1, 2",3,0.996924469,NA,F4B_ADM_ADVSP,"If Yes, specify:","1 = ""Yes, but parent refused"", 
2 = ""Yes, referred to another hospital"", 
3 = ""Yes, but child died before admission""",F5,
370,f4b_outcome_days,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,>10 unique values,12,0.977295341,NA,F4B_OUTCOME_DAYS,"If admitted to the hospital, for how many days?",numeric,F7,10
371,f4b_hosp,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.977295341,NA,F4B_HOSP,Is the child still in hospital > 60 days?,"0 = ""No"", 1 = 'Yes""",F6,
372,f4b_outcome_drh,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_DRH,Diarrhea,"1 = Selected, 0 = Not selected",F7,10
373,f4b_outcome_dys,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_DYS,Dysentery,"1 = Selected, 0 = Not selected",F7,10
374,f4b_outcome_pneu,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_PNEU,Pneumonia,"1 = Selected, 0 = Not selected",F7,11
375,f4b_outcome_mngts,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_MNGTS,Meningitis,"1 = Selected, 0 = Not selected",F7,10
376,f4b_outcome_bact,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_BACT,Bacterial infection,"1 = Selected, 0 = Not selected",F7,10
377,f4b_outcome_mala,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_MALA,Malaria,"1 = Selected, 0 = Not selected",F7,10
378,f4b_outcome_mlnt,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_MLNT,Malnutrition,"1 = Selected, 0 = Not selected",F7,10
379,f4b_outcome_typhoid,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0",2,0.565174129,NA,F4B_OUTCOME_TYPHOID,Typhoid,"1 = Selected, 0 = Not selected",F7,11
380,f4b_outcome_othr,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.565174129,NA,F4B_OUTCOME_OTHR,Other,"1 = Selected, 0 = Not selected",F7,10
381,f4b_outcome_spec,VIDA,vida_enrl.csv,chr,SKIN INFECTION,NA,NA,n/a,n/a,>10 unique values,207,0.928358209,NA,F4B_OUTCOME_SPEC,Diagnosis specify,"1 = Selected, 0 = Not selected",F7,11
382,f4b_trt_pres_ors,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.566440525,NA,F4B_TRT_PRES_ORS,ORS home,"1 = Selected, 0 = Not selected",F7,25
383,f4b_trt_give_ors,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.566440525,NA,F4B_TRT_GIVE_ORS,ORS center,"1 = Selected, 0 = Not selected",F7,13
384,f4b_trt_pres_iv,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.566440525,NA,F4B_TRT_PRES_IV,Intravenous home,"1 = Selected, 0 = Not selected",F7,25
385,f4b_trt_give_iv,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.566440525,NA,F4B_TRT_GIVE_IV,IV center,"1 = Selected, 0 = Not selected",F7,13
