variable,IRI,dataset,values,mappedTerms,notes
itn,,BC-3 mothers expanded database FINAL,1,yes,
cbc,,BC-3 mothers expanded database FINAL,0,not indicated,
cbc,,BC-3 mothers expanded database FINAL,1,Collected,
cbc,,BC-3 mothers expanded database FINAL,2,forgot to collect,
cbc,,BC-3 mothers expanded database FINAL,3,declined,
altrt,,BC-3 mothers expanded database FINAL,0,,
altrt,,BC-3 mothers expanded database FINAL,1,,
altrt,,BC-3 mothers expanded database FINAL,2,,
altrt,,BC-3 mothers expanded database FINAL,3,,
immunolog,,BC-3 mothers expanded database FINAL,0,,
immunolog,,BC-3 mothers expanded database FINAL,1,,
immunolog,,BC-3 mothers expanded database FINAL,2,,
immunolog,,BC-3 mothers expanded database FINAL,3,,
filterpap,,BC-3 mothers expanded database FINAL,0,,
filterpap,,BC-3 mothers expanded database FINAL,1,,
filterpap,,BC-3 mothers expanded database FINAL,2,,
filterpap,,BC-3 mothers expanded database FINAL,3,,
plasma,,BC-3 mothers expanded database FINAL,0,,
plasma,,BC-3 mothers expanded database FINAL,1,,
plasma,,BC-3 mothers expanded database FINAL,2,,
plasma,,BC-3 mothers expanded database FINAL,3,,
mstatus,,BC-3 mothers expanded database FINAL,0,no malaria ,
mstatus,,BC-3 mothers expanded database FINAL,1,Uncomplicated ,
mstatus,,BC-3 mothers expanded database FINAL,2,Complicated malaria ,
mstatus,,BC-3 mothers expanded database FINAL,3,AL treatment failure,
mstatus,,BC-3 mothers expanded database FINAL,4,quinine/artesunate treatment failure,
pharm,,BC-3 mothers expanded database FINAL,0,not referred,
pharm,,BC-3 mothers expanded database FINAL,1,referred,
dday2,,BC-3 mothers expanded database FINAL,0,no,
dday2,,BC-3 mothers expanded database FINAL,1,yes,
dday3,,BC-3 mothers expanded database FINAL,0,,
dday3,,BC-3 mothers expanded database FINAL,1,,
rbusia,,BC-3 screening database FINAL,0,no ,
rbusia,,BC-3 screening database FINAL,1,yes,
comeclinic,,BC-3 screening database FINAL,0,,
comeclinic,,BC-3 screening database FINAL,1,,
avoidmed,,BC-3 screening database FINAL,0,,
avoidmed,,BC-3 screening database FINAL,1,,
dhospital,,BC-3 screening database FINAL,0,,
dhospital,,BC-3 screening database FINAL,1,,
adevent,,BC-3 screening database FINAL,0,,
adevent,,BC-3 screening database FINAL,1,,
amedprob,,BC-3 screening database FINAL,0,,
amedprob,,BC-3 screening database FINAL,1,,
moveout,,BC-3 screening database FINAL,0,,
moveout,,BC-3 screening database FINAL,1,,
chronicmed,,BC-3 screening database FINAL,0,,
chronicmed,,BC-3 screening database FINAL,1,,
therapy,,BC-3 screening database FINAL,0,,
therapy,,BC-3 screening database FINAL,1,,
hivstatus,,BC-3 screening database FINAL,0,Negative,
hivstatus,,BC-3 screening database FINAL,1,positive,
intrapreg,,BC-3 screening database FINAL,0,no,
intrapreg,,BC-3 screening database FINAL,1,yes,
gestation,,BC-3 screening database FINAL,0,<12wks,
gestation,,BC-3 screening database FINAL,1,12-20wks,
gestation,,BC-3 screening database FINAL,2,>20wks,
actlabor,,BC-3 screening database FINAL,0,no ,
actlabor,,BC-3 screening database FINAL,1,yes,
mconsent,,BC-3 screening database FINAL,0,,
mconsent,,BC-3 screening database FINAL,1,,
bioconsent,,BC-3 screening database FINAL,0,,
bioconsent,,BC-3 screening database FINAL,1,,
father,,BC-3 screening database FINAL,0,,
father,,BC-3 screening database FINAL,1,,
fconsent,,BC-3 screening database FINAL,0,,
fconsent,,BC-3 screening database FINAL,1,,
allcriteria,,BC-3 screening database FINAL,0,,
allcriteria,,BC-3 screening database FINAL,1,,
agree,,BC3_Household_Survey_Data,yes,,
agree,,BC3_Household_Survey_Data,no,,
surveydone,,BC3_Household_Survey_Data,yes,,
surveydone,,BC3_Household_Survey_Data,no,,
electric,,BC3_Household_Survey_Data,yes,,
electric,,BC3_Household_Survey_Data,no,,
radio,,BC3_Household_Survey_Data,yes,,
radio,,BC3_Household_Survey_Data,no,,
cassette,,BC3_Household_Survey_Data,yes,,
cassette,,BC3_Household_Survey_Data,no,,
tv,,BC3_Household_Survey_Data,yes,,
tv,,BC3_Household_Survey_Data,no,,
mobile,,BC3_Household_Survey_Data,yes,,
mobile,,BC3_Household_Survey_Data,no,,
phone,,BC3_Household_Survey_Data,yes,,
phone,,BC3_Household_Survey_Data,no,,
fridge,,BC3_Household_Survey_Data,yes,,
fridge,,BC3_Household_Survey_Data,no,,
htable,,BC3_Household_Survey_Data,yes,,
htable,,BC3_Household_Survey_Data,no,,
chair,,BC3_Household_Survey_Data,yes,,
chair,,BC3_Household_Survey_Data,no,,
sofa,,BC3_Household_Survey_Data,yes,,
sofa,,BC3_Household_Survey_Data,no,,
bed,,BC3_Household_Survey_Data,yes,,
bed,,BC3_Household_Survey_Data,no,,
cupboard,,BC3_Household_Survey_Data,yes,,
cupboard,,BC3_Household_Survey_Data,no,,
clock,,BC3_Household_Survey_Data,yes,,
clock,,BC3_Household_Survey_Data,no,,
watch,,BC3_Household_Survey_Data,yes,,
watch,,BC3_Household_Survey_Data,no,,
bicycle,,BC3_Household_Survey_Data,yes,,
bicycle,,BC3_Household_Survey_Data,no,,
scooter,,BC3_Household_Survey_Data,yes,,
scooter,,BC3_Household_Survey_Data,no,,
cart,,BC3_Household_Survey_Data,yes,,
cart,,BC3_Household_Survey_Data,no,,
car,,BC3_Household_Survey_Data,yes,,
car,,BC3_Household_Survey_Data,no,,
mboat,,BC3_Household_Survey_Data,yes,,
mboat,,BC3_Household_Survey_Data,no,,
nomboat,,BC3_Household_Survey_Data,yes,,
nomboat,,BC3_Household_Survey_Data,no,,
bankacco,,BC3_Household_Survey_Data,yes,,
bankacco,,BC3_Household_Survey_Data,no,,
pspray,,BC3_Household_Survey_Data,yes,,
pspray,,BC3_Household_Survey_Data,no,,
gpspray,,BC3_Household_Survey_Data,yes,,
gpspray,,BC3_Household_Survey_Data,no,,
dspray,,BC3_Household_Survey_Data,yes,,
dspray,,BC3_Household_Survey_Data,no,,
ppwalls,,BC3_Household_Survey_Data,yes,,
ppwalls,,BC3_Household_Survey_Data,no,,
ahwker,,BC3_Household_Survey_Data,yes,,
ahwker,,BC3_Household_Survey_Data,no,,
amchwker,,BC3_Household_Survey_Data,yes,,
amchwker,,BC3_Household_Survey_Data,no,,
hhamnets,,BC3_Household_Survey_Data,yes,,
hhamnets,,BC3_Household_Survey_Data,no,,
timepoint,,Data for graphing parasite prevalence FINAL,1,16wks,
timepoint,,Data for graphing parasite prevalence FINAL,2,20wks,
timepoint,,Data for graphing parasite prevalence FINAL,3,24wks,
timepoint,,Data for graphing parasite prevalence FINAL,4,28wks,
timepoint,,Data for graphing parasite prevalence FINAL,5,32wks,
timepoint,,Data for graphing parasite prevalence FINAL,6,36wks,
timepoint,,Data for graphing parasite prevalence FINAL,7,40wks,
GAcat,,Individual level database FINAL,0,<12wks,
GAcat,,Individual level database FINAL,1,12-20wks,
ITNlastnight,,Individual level database FINAL,0,,
ITNlastnight,,Individual level database FINAL,1,,
locationdelivery,,Individual level database FINAL,1,Masafu hospital,
locationdelivery,,Individual level database FINAL,2,TDH,
locationdelivery,,Individual level database FINAL,3,Home ,
locationdelivery,,Individual level database FINAL,4,Other,
anyHP,,Individual level database FINAL,yes,,
anyHP,,Individual level database FINAL,no,,
spontab,,Individual level database FINAL,yes,,
spontab,,Individual level database FINAL,no,,
stillbirthdich,,Individual level database FINAL,yes,,
stillbirthdich,,Individual level database FINAL,no,,
includesupp,,Individual level database FINAL,yes,,
includesupp,,Individual level database FINAL,no,,
visittype,,Repeated measures during pregnancy FINAL,0,non-routine,
visittype,,Repeated measures during pregnancy FINAL,1,routine,
gestwks,,Repeated measures during pregnancy FINAL,1,16wks,
gestwks,,Repeated measures during pregnancy FINAL,2,20wks,
gestwks,,Repeated measures during pregnancy FINAL,3,24wks,
gestwks,,Repeated measures during pregnancy FINAL,4,28wks,
gestwks,,Repeated measures during pregnancy FINAL,5,32wks,
gestwks,,Repeated measures during pregnancy FINAL,6,36wks,
gestwks,,Repeated measures during pregnancy FINAL,7,40wks,
gender,,BC-3 children individual level database FINAL,1,Male,
gender,,BC-3 children individual level database FINAL,2,Female,
infstatus,,BC-3 children individual level database FINAL,1,Alive,
infstatus,,BC-3 children individual level database FINAL,2,Macerated still birth,
infstatus,,BC-3 children individual level database FINAL,3,Fresh still birth,
visittype,,BC-3 childs all visit database FINAL,0,non-routine,
visittype,,BC-3 childs all visit database FINAL,1,routine,
itn,,BC-3 childs all visit database FINAL,0,no,
itn,,BC-3 childs all visit database FINAL,1,yes,
omed,,BC-3 childs all visit database FINAL,0,,
omed,,BC-3 childs all visit database FINAL,1,,
tempgrade,,BC-3 childs all visit database FINAL,0,absent,
tempgrade,,BC-3 childs all visit database FINAL,1,mild,
tempgrade,,BC-3 childs all visit database FINAL,2,moderate,
tempgrade,,BC-3 childs all visit database FINAL,3,severe,
tempgrade,,BC-3 childs all visit database FINAL,4,life threatening,
tempgrade,,BC-3 childs all visit database FINAL,99,unable to assess,
fever,,BC-3 childs all visit database FINAL,0,no,
fever,,BC-3 childs all visit database FINAL,1,yes,
chillgrade,,BC-3 childs all visit database FINAL,0,,
chillgrade,,BC-3 childs all visit database FINAL,1,,
chillgrade,,BC-3 childs all visit database FINAL,2,,
chillgrade,,BC-3 childs all visit database FINAL,3,,
chillgrade,,BC-3 childs all visit database FINAL,4,,
chillgrade,,BC-3 childs all visit database FINAL,99,,
fatiggrade,,BC-3 childs all visit database FINAL,0,,
fatiggrade,,BC-3 childs all visit database FINAL,1,,
fatiggrade,,BC-3 childs all visit database FINAL,2,,
fatiggrade,,BC-3 childs all visit database FINAL,3,,
fatiggrade,,BC-3 childs all visit database FINAL,4,,
fatiggrade,,BC-3 childs all visit database FINAL,99,,
anorexgrade,,BC-3 childs all visit database FINAL,0,,
anorexgrade,,BC-3 childs all visit database FINAL,1,,
anorexgrade,,BC-3 childs all visit database FINAL,2,,
anorexgrade,,BC-3 childs all visit database FINAL,3,,
anorexgrade,,BC-3 childs all visit database FINAL,4,,
anorexgrade,,BC-3 childs all visit database FINAL,99,,
vomgrade,,BC-3 childs all visit database FINAL,0,,
vomgrade,,BC-3 childs all visit database FINAL,1,,
vomgrade,,BC-3 childs all visit database FINAL,2,,
vomgrade,,BC-3 childs all visit database FINAL,3,,
vomgrade,,BC-3 childs all visit database FINAL,4,,
vomgrade,,BC-3 childs all visit database FINAL,99,,
diarrgrade,,BC-3 childs all visit database FINAL,0,,
diarrgrade,,BC-3 childs all visit database FINAL,1,,
diarrgrade,,BC-3 childs all visit database FINAL,2,,
diarrgrade,,BC-3 childs all visit database FINAL,3,,
diarrgrade,,BC-3 childs all visit database FINAL,4,,
diarrgrade,,BC-3 childs all visit database FINAL,99,,
coughgrade,,BC-3 childs all visit database FINAL,0,,
coughgrade,,BC-3 childs all visit database FINAL,1,,
coughgrade,,BC-3 childs all visit database FINAL,2,,
coughgrade,,BC-3 childs all visit database FINAL,3,,
coughgrade,,BC-3 childs all visit database FINAL,4,,
coughgrade,,BC-3 childs all visit database FINAL,99,,
dysphgrade,,BC-3 childs all visit database FINAL,0,,
dysphgrade,,BC-3 childs all visit database FINAL,1,,
dysphgrade,,BC-3 childs all visit database FINAL,2,,
dysphgrade,,BC-3 childs all visit database FINAL,3,,
dysphgrade,,BC-3 childs all visit database FINAL,4,,
dysphgrade,,BC-3 childs all visit database FINAL,99,,
eyegrade,,BC-3 childs all visit database FINAL,0,,
eyegrade,,BC-3 childs all visit database FINAL,1,,
eyegrade,,BC-3 childs all visit database FINAL,2,,
eyegrade,,BC-3 childs all visit database FINAL,3,,
eyegrade,,BC-3 childs all visit database FINAL,4,,
eyegrade,,BC-3 childs all visit database FINAL,99,,
neurograde,,BC-3 childs all visit database FINAL,0,,
neurograde,,BC-3 childs all visit database FINAL,1,,
neurograde,,BC-3 childs all visit database FINAL,2,,
neurograde,,BC-3 childs all visit database FINAL,3,,
neurograde,,BC-3 childs all visit database FINAL,4,,
neurograde,,BC-3 childs all visit database FINAL,99,,
mskgrade,,BC-3 childs all visit database FINAL,0,,
mskgrade,,BC-3 childs all visit database FINAL,1,,
mskgrade,,BC-3 childs all visit database FINAL,2,,
mskgrade,,BC-3 childs all visit database FINAL,3,,
mskgrade,,BC-3 childs all visit database FINAL,4,,
mskgrade,,BC-3 childs all visit database FINAL,99,,
skingrade,,BC-3 childs all visit database FINAL,0,,
skingrade,,BC-3 childs all visit database FINAL,1,,
skingrade,,BC-3 childs all visit database FINAL,2,,
skingrade,,BC-3 childs all visit database FINAL,3,,
skingrade,,BC-3 childs all visit database FINAL,4,,
skingrade,,BC-3 childs all visit database FINAL,99,,
cvgrade,,BC-3 childs all visit database FINAL,0,,
cvgrade,,BC-3 childs all visit database FINAL,1,,
cvgrade,,BC-3 childs all visit database FINAL,2,,
cvgrade,,BC-3 childs all visit database FINAL,3,,
cvgrade,,BC-3 childs all visit database FINAL,4,,
cvgrade,,BC-3 childs all visit database FINAL,99,,
respgrade,,BC-3 childs all visit database FINAL,0,,
respgrade,,BC-3 childs all visit database FINAL,1,,
respgrade,,BC-3 childs all visit database FINAL,2,,
respgrade,,BC-3 childs all visit database FINAL,3,,
respgrade,,BC-3 childs all visit database FINAL,4,,
respgrade,,BC-3 childs all visit database FINAL,99,,
gigrade,,BC-3 childs all visit database FINAL,0,,
gigrade,,BC-3 childs all visit database FINAL,1,,
gigrade,,BC-3 childs all visit database FINAL,2,,
gigrade,,BC-3 childs all visit database FINAL,3,,
gigrade,,BC-3 childs all visit database FINAL,4,,
gigrade,,BC-3 childs all visit database FINAL,99,,
gugrade,,BC-3 childs all visit database FINAL,0,,
gugrade,,BC-3 childs all visit database FINAL,1,,
gugrade,,BC-3 childs all visit database FINAL,2,,
gugrade,,BC-3 childs all visit database FINAL,3,,
gugrade,,BC-3 childs all visit database FINAL,4,,
gugrade,,BC-3 childs all visit database FINAL,99,,
endograde,,BC-3 childs all visit database FINAL,0,,
endograde,,BC-3 childs all visit database FINAL,1,,
endograde,,BC-3 childs all visit database FINAL,2,,
endograde,,BC-3 childs all visit database FINAL,3,,
endograde,,BC-3 childs all visit database FINAL,4,,
endograde,,BC-3 childs all visit database FINAL,99,,
other1grade,,BC-3 childs all visit database FINAL,0,,
other1grade,,BC-3 childs all visit database FINAL,1,,
other1grade,,BC-3 childs all visit database FINAL,2,,
other1grade,,BC-3 childs all visit database FINAL,3,,
other1grade,,BC-3 childs all visit database FINAL,4,,
other1grade,,BC-3 childs all visit database FINAL,99,,
other2grade,,BC-3 childs all visit database FINAL,0,,
other2grade,,BC-3 childs all visit database FINAL,1,,
other2grade,,BC-3 childs all visit database FINAL,2,,
other2grade,,BC-3 childs all visit database FINAL,3,,
other2grade,,BC-3 childs all visit database FINAL,4,,
other2grade,,BC-3 childs all visit database FINAL,99,,
other3grade,,BC-3 childs all visit database FINAL,0,,
other3grade,,BC-3 childs all visit database FINAL,1,,
other3grade,,BC-3 childs all visit database FINAL,2,,
other3grade,,BC-3 childs all visit database FINAL,3,,
other3grade,,BC-3 childs all visit database FINAL,4,,
other3grade,,BC-3 childs all visit database FINAL,99,,
cbc,,BC-3 childs all visit database FINAL,0,not indicated,
cbc,,BC-3 childs all visit database FINAL,1,collected,
cbc,,BC-3 childs all visit database FINAL,2,forgot to collect,
cbc,,BC-3 childs all visit database FINAL,3,declined,
immunolog,,BC-3 childs all visit database FINAL,0,,
immunolog,,BC-3 childs all visit database FINAL,1,,
immunolog,,BC-3 childs all visit database FINAL,2,,
immunolog,,BC-3 childs all visit database FINAL,3,,
filterpap,,BC-3 childs all visit database FINAL,0,,
filterpap,,BC-3 childs all visit database FINAL,1,,
filterpap,,BC-3 childs all visit database FINAL,2,,
filterpap,,BC-3 childs all visit database FINAL,3,,
bloodsmr,,BC-3 childs all visit database FINAL,0,,
bloodsmr,,BC-3 childs all visit database FINAL,1,,
bloodsmr,,BC-3 childs all visit database FINAL,2,,
bloodsmr,,BC-3 childs all visit database FINAL,3,,
wbcgrade,,BC-3 childs all visit database FINAL,0,no grade,
wbcgrade,,BC-3 childs all visit database FINAL,1,grade 1,
wbcgrade,,BC-3 childs all visit database FINAL,2,grade 2,
wbcgrade,,BC-3 childs all visit database FINAL,3,grade 3,
wbcgrade,,BC-3 childs all visit database FINAL,4,grade 4,
neutrograde,,BC-3 childs all visit database FINAL,0,,
neutrograde,,BC-3 childs all visit database FINAL,1,,
neutrograde,,BC-3 childs all visit database FINAL,2,,
neutrograde,,BC-3 childs all visit database FINAL,3,,
neutrograde,,BC-3 childs all visit database FINAL,4,,
pltgrade,,BC-3 childs all visit database FINAL,0,,
pltgrade,,BC-3 childs all visit database FINAL,1,,
pltgrade,,BC-3 childs all visit database FINAL,2,,
pltgrade,,BC-3 childs all visit database FINAL,3,,
pltgrade,,BC-3 childs all visit database FINAL,4,,
hbgrade,,BC-3 childs all visit database FINAL,0,,
hbgrade,,BC-3 childs all visit database FINAL,1,,
hbgrade,,BC-3 childs all visit database FINAL,2,,
hbgrade,,BC-3 childs all visit database FINAL,3,,
hbgrade,,BC-3 childs all visit database FINAL,4,,
othlab1grade,,BC-3 childs all visit database FINAL,0,,
othlab1grade,,BC-3 childs all visit database FINAL,1,,
othlab1grade,,BC-3 childs all visit database FINAL,2,,
othlab1grade,,BC-3 childs all visit database FINAL,3,,
othlab1grade,,BC-3 childs all visit database FINAL,4,,
altgrade,,BC-3 childs all visit database FINAL,0,,
altgrade,,BC-3 childs all visit database FINAL,1,,
altgrade,,BC-3 childs all visit database FINAL,2,,
altgrade,,BC-3 childs all visit database FINAL,3,,
altgrade,,BC-3 childs all visit database FINAL,4,,
othlab2grade,,BC-3 childs all visit database FINAL,0,,
othlab2grade,,BC-3 childs all visit database FINAL,1,,
othlab2grade,,BC-3 childs all visit database FINAL,2,,
othlab2grade,,BC-3 childs all visit database FINAL,3,,
othlab2grade,,BC-3 childs all visit database FINAL,4,,
stool,,BC-3 childs all visit database FINAL,0,not indicated,
stool,,BC-3 childs all visit database FINAL,1,collected,
stool,,BC-3 childs all visit database FINAL,2,forgot to collect,
stool,,BC-3 childs all visit database FINAL,3,declined,
hemograde,,BC-3 childs all visit database FINAL,0,no grade,
hemograde,,BC-3 childs all visit database FINAL,1,grade 1,
hemograde,,BC-3 childs all visit database FINAL,2,grade 2,
hemograde,,BC-3 childs all visit database FINAL,3,grade 3,
hemograde,,BC-3 childs all visit database FINAL,4,grade 4,
species,,BC-3 childs all visit database FINAL,0,PF,
species,,BC-3 childs all visit database FINAL,1,PM,
species,,BC-3 childs all visit database FINAL,2,PO,
species,,BC-3 childs all visit database FINAL,3,PV,
species,,BC-3 childs all visit database FINAL,4,Mixed,
species,,BC-3 childs all visit database FINAL,9,Unknown,
mstatus,,BC-3 childs all visit database FINAL,0,no malaria ,
mstatus,,BC-3 childs all visit database FINAL,1,Uncomplicated ,
mstatus,,BC-3 childs all visit database FINAL,2,Complicated malaria ,
mstatus,,BC-3 childs all visit database FINAL,3,AL treatment failure,
convul,,BC-3 childs all visit database FINAL,,1=checked,
inability,,BC-3 childs all visit database FINAL,,1=checked,
vomite,,BC-3 childs all visit database FINAL,,1=checked,
letha,,BC-3 childs all visit database FINAL,,1=checked,
unbreast,,BC-3 childs all visit database FINAL,,1=checked,
smal,,BC-3 childs all visit database FINAL,,1=checked,
cmal,,BC-3 childs all visit database FINAL,,1=checked,
mseiz,,BC-3 childs all visit database FINAL,,1=checked,
rdist,,BC-3 childs all visit database FINAL,,1=checked,
mstatus,,BC-3 childs all visit database FINAL,4,quinine/artesunate treatment failure,
chosp,,BC-3 childs all visit database FINAL,0,not referred,
chosp,,BC-3 childs all visit database FINAL,1,referred,
nrvisit,,BC-3 childs all visit database FINAL,0,non-routine,
nrvisit,,BC-3 childs all visit database FINAL,1,routine,
autopsy,,BC-3 childs deaths FINAL,,1=checked,
hospre,,BC-3 childs deaths FINAL,,1=checked,
contreport,,BC-3 childs deaths FINAL,,1=checked,
otherinfo,,BC-3 childs deaths FINAL,,1=checked,
mdeath,,BC-3 childs deaths FINAL,0,no,
mdeath,,BC-3 childs deaths FINAL,1,definitely,
mdeath,,BC-3 childs deaths FINAL,2,probably,
mdeath,,BC-3 childs deaths FINAL,3,possibly,
mdeath,,BC-3 childs deaths FINAL,9,Unknown,
pdeath,,BC-3 childs deaths FINAL,1,Home ,
pdeath,,BC-3 childs deaths FINAL,2,health centre,
pdeath,,BC-3 childs deaths FINAL,3,private clinic,
pdeath,,BC-3 childs deaths FINAL,4,hospital,
pdeath,,BC-3 childs deaths FINAL,5,other,
pdeath,,BC-3 childs deaths FINAL,9,unknown,
namehosp,,BC-3 childs hospitalizations FINAL,1,Masafu General Hospital,
namehosp,,BC-3 childs hospitalizations FINAL,2,Tororo General District Hospital,
namehosp,,BC-3 childs hospitalizations FINAL,3,Mbale Regional Referral Hospital,
namehosp,,BC-3 childs hospitalizations FINAL,4,Mulago National referral Hospital,
namehosp,,BC-3 childs hospitalizations FINAL,5,Cure Childrens Hospital,
namehosp,,BC-3 childs hospitalizations FINAL,6,Other,
othhosp,,BC-3 childs hospitalizations FINAL,0,no,
othhosp,,BC-3 childs hospitalizations FINAL,1,yes,
blood,,BC-3 childs hospitalizations FINAL,0,,
blood,,BC-3 childs hospitalizations FINAL,1,,
fluids,,BC-3 childs hospitalizations FINAL,0,,
fluids,,BC-3 childs hospitalizations FINAL,1,,
antibiot,,BC-3 childs hospitalizations FINAL,0,,
antibiot,,BC-3 childs hospitalizations FINAL,1,,
oxygen,,BC-3 childs hospitalizations FINAL,0,,
oxygen,,BC-3 childs hospitalizations FINAL,1,,
photo,,BC-3 childs hospitalizations FINAL,0,,
photo,,BC-3 childs hospitalizations FINAL,1,,
surgery,,BC-3 childs hospitalizations FINAL,0,,
surgery,,BC-3 childs hospitalizations FINAL,1,,
gender,,BC-3 childs expanded database FINAL,1,Male,
gender,,BC-3 childs expanded database FINAL,2,Female,
infstatus,,BC-3 childs expanded database FINAL,1,Alive,
infstatus,,BC-3 childs expanded database FINAL,2,Macerated still birth,
infstatus,,BC-3 childs expanded database FINAL,3,Fresh still birth,
visittype,,BC-3 childs expanded database FINAL,0,non-routine,
visittype,,BC-3 childs expanded database FINAL,1,routine,
itn,,BC-3 childs expanded database FINAL,0,no,
itn,,BC-3 childs expanded database FINAL,1,yes,
fever,,BC-3 childs expanded database FINAL,0,no,
fever,,BC-3 childs expanded database FINAL,1,yes,
cbc,,BC-3 childs expanded database FINAL,0,not indicated,
cbc,,BC-3 childs expanded database FINAL,1,collected,
cbc,,BC-3 childs expanded database FINAL,2,forgot to collect,
cbc,,BC-3 childs expanded database FINAL,3,declined,
immunolog,,BC-3 childs expanded database FINAL,0,,
immunolog,,BC-3 childs expanded database FINAL,1,,
immunolog,,BC-3 childs expanded database FINAL,2,,
immunolog,,BC-3 childs expanded database FINAL,3,,
filterpap,,BC-3 childs expanded database FINAL,0,,
filterpap,,BC-3 childs expanded database FINAL,1,,
filterpap,,BC-3 childs expanded database FINAL,2,,
filterpap,,BC-3 childs expanded database FINAL,3,,
bloodsmr,,BC-3 childs expanded database FINAL,0,,
bloodsmr,,BC-3 childs expanded database FINAL,1,,
bloodsmr,,BC-3 childs expanded database FINAL,2,,
bloodsmr,,BC-3 childs expanded database FINAL,3,,
game,,BC-3 childs expanded database FINAL,1,yes,
game,,BC-3 childs expanded database FINAL,0,no,
mstatus,,BC-3 childs expanded database FINAL,0,no malaria ,
mstatus,,BC-3 childs expanded database FINAL,1,Uncomplicated ,
mstatus,,BC-3 childs expanded database FINAL,2,Complicated malaria ,
mstatus,,BC-3 childs expanded database FINAL,3,AL treatment failure,
mstatus,,BC-3 childs expanded database FINAL,4,quinine/artesunate treatment failure,
