variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
educ,BC-3 enrollment database FINAL,discard,,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",NA,,,,DROP - Use household,BC-3 enrollment database FINAL::educ
educ,BC-3 mothers all visits database FINAL,discard,,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",NA,,,,DROP - Use household,BC-3 mothers all visits database FINAL::educ
educ,BC3_Household_Survey_Data,keep,,Eduction Level,"0=none,1=Primary, 2=O level, 3= A level, 4= Tertiary, 5=University",NA,,,,,BC3_Household_Survey_Data::educ
educdich,BC3_Household_Survey_Data,discard,,Level of education dichotomized,"0=O level or beyond, 1= None or primary level",NA,,,,,BC3_Household_Survey_Data::educdich
elective,BC-3 enrollment database FINAL,discard,,Elective,,NA,,,,DROP - Use calculated version,BC-3 enrollment database FINAL::elective
electric,BC3_Household_Survey_Data,keep,,does your household have electricity?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::electric
elevatedalt,Individual level database FINAL,discard,,(sum) elevatedALT,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::elevatedalt
eligible,BC-3 screening database FINAL,discard,,Whether the woman eligible for the study,"0=Not Eligible, 1=Eligible",NA,,,,,BC-3 screening database FINAL::eligible
enddate,BC-3 mothers expanded database FINAL,keep,,Last day in the study,Date,NA,,,,,BC-3 mothers expanded database FINAL::enddate
enddate,Individual level database FINAL,discard,,Last day in the study,date,NA,,,,DROP - Use expanded,Individual level database FINAL::enddate
enddate,BC-3 childs expanded database FINAL,discard,,Last day in the study,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::enddate
enddate,BC-3 children individual level database FINAL,discard,,Last day in the study,date,NA,,,,,BC-3 children individual level database FINAL::enddate
endo,BC-3 enrollment database FINAL,discard,,Endo,,NA,,,,All NA's,BC-3 enrollment database FINAL::endo
endo,BC-3 mothers all visits database FINAL,keep,,Endo,,NA,,,,,BC-3 mothers all visits database FINAL::endo
endo,BC-3 childs all visit database FINAL,keep,,Endo,,NA,,,,,BC-3 childs all visit database FINAL::endo
endodur,BC-3 enrollment database FINAL,discard,,Endo Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::endodur
endodur,BC-3 mothers all visits database FINAL,discard,,Endo Duration,,NA,,,,All NA's,BC-3 mothers all visits database FINAL::endodur
endodur,BC-3 childs all visit database FINAL,keep,,Endo Duration,,NA,,,,,BC-3 childs all visit database FINAL::endodur
endograde,BC-3 enrollment database FINAL,discard,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 enrollment database FINAL::endograde
endograde,BC-3 mothers all visits database FINAL,discard,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 mothers all visits database FINAL::endograde
endograde,BC-3 childs all visit database FINAL,keep,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::endograde
enrollage,Individual level database FINAL,discard,,Age at enrollment in years,,NA,,,,DROP - Use enrollment,Individual level database FINAL::enrollage
enrollage,BC-3 childs expanded database FINAL,discard,,Age at enrollment in years,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::enrollage
enrollage,BC-3 children individual level database FINAL,discard,,Mothers age at enrollment in years,,NA,,,,DROP - Use enrollment,BC-3 children individual level database FINAL::enrollage
enrolldate,BC-3 mothers expanded database FINAL,keep,,Date of enrollment,Date,NA,,,,,BC-3 mothers expanded database FINAL::enrolldate
enrolldate,Individual level database FINAL,discard,,Date of enrollment,date,NA,,,,DROP - Use expanded,Individual level database FINAL::enrolldate
enrolldate,BC-3 childs expanded database FINAL,discard,,Mother's date of enrollment,date,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::enrolldate
enrolldate,BC-3 children individual level database FINAL,discard,,Mother's date of enrollment,date,NA,,,,DROP - Use expanded,BC-3 children individual level database FINAL::enrolldate
enrollgestage,BC-3 mothers expanded database FINAL,discard,,Gestational age at enollment (wks),age in weeks,NA,,,,DROP - Use enrollment,BC-3 mothers expanded database FINAL::enrollgestage
entcov1,BC3_Household_Survey_Data,discard,,observation: is the entryway1 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov1
entcov10,BC3_Household_Survey_Data,discard,,observation: is the entryway10 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov10
entcov11,BC3_Household_Survey_Data,discard,,observation: is the entryway11 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov11
entcov12,BC3_Household_Survey_Data,discard,,observation: is the entryway12 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov12
entcov2,BC3_Household_Survey_Data,discard,,observation: is the entryway2 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov2
entcov3,BC3_Household_Survey_Data,discard,,observation: is the entryway3 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov3
entcov4,BC3_Household_Survey_Data,discard,,observation: is the entryway4 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov4
entcov5,BC3_Household_Survey_Data,discard,,observation: is the entryway5 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov5
entcov6,BC3_Household_Survey_Data,discard,,observation: is the entryway6 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov6
entcov7,BC3_Household_Survey_Data,discard,,observation: is the entryway7 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov7
entcov8,BC3_Household_Survey_Data,discard,,observation: is the entryway8 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov8
entcov9,BC3_Household_Survey_Data,discard,,observation: is the entryway9 covered?,"1=covered, 2=partially, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entcov9
entopn1,BC3_Household_Survey_Data,discard,,observation: does entryway1 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn1
entopn10,BC3_Household_Survey_Data,discard,,observation: does entryway10 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn10
entopn11,BC3_Household_Survey_Data,discard,,observation: does entryway11 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn11
entopn12,BC3_Household_Survey_Data,discard,,observation: does entryway12 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn12
entopn2,BC3_Household_Survey_Data,discard,,observation: does entryway2 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn2
entopn3,BC3_Household_Survey_Data,discard,,observation: does entryway3 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn3
entopn4,BC3_Household_Survey_Data,discard,,observation: does entryway4 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn4
entopn5,BC3_Household_Survey_Data,discard,,observation: does entryway5 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn5
entopn6,BC3_Household_Survey_Data,discard,,observation: does entryway6 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn6
entopn7,BC3_Household_Survey_Data,discard,,observation: does entryway7 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn7
entopn8,BC3_Household_Survey_Data,discard,,observation: does entryway8 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn8
entopn9,BC3_Household_Survey_Data,discard,,observation: does entryway9 open to the outside?,"1=Yes, 2=No, -9=Skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::entopn9
etmm1,BC3_Household_Survey_Data,discard,,observation: main material is entryway1 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm1
etmm10,BC3_Household_Survey_Data,discard,,observation: main material is entryway10 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm10
etmm11,BC3_Household_Survey_Data,discard,,observation: main material is entryway11 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm11
etmm12,BC3_Household_Survey_Data,discard,,observation: main material is entryway12 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm12
etmm2,BC3_Household_Survey_Data,discard,,observation: main material is entryway2 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm2
etmm3,BC3_Household_Survey_Data,discard,,observation: main material is entryway3 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm3
etmm4,BC3_Household_Survey_Data,discard,,observation: main material is entryway4 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm4
etmm5,BC3_Household_Survey_Data,discard,,observation: main material is entryway5 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm5
etmm6,BC3_Household_Survey_Data,discard,,observation: main material is entryway6 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm6
etmm7,BC3_Household_Survey_Data,discard,,observation: main material is entryway7 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm7
etmm8,BC3_Household_Survey_Data,discard,,observation: main material is entryway8 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm8
etmm9,BC3_Household_Survey_Data,discard,,observation: main material is entryway9 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::etmm9
exclusioncriteria,BC-3 screening database FINAL,discard,,Reason for exclusion,numeric,NA,,,,,BC-3 screening database FINAL::exclusioncriteria
exp1rdt,BC-3 mothers all visits database FINAL,keep,,Experimental RDT 1st reading,"0=Negative, 1=positive, 2=Invalid",NA,,,,,BC-3 mothers all visits database FINAL::exp1rdt
exp1rdt,BC-3 mothers expanded database FINAL,discard,,Experimental RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::exp1rdt
exp2rdt,BC-3 mothers all visits database FINAL,keep,,Experimental RDT 2nd reading,"0=Negative, 1=positive, 2=Invalid",NA,,,,,BC-3 mothers all visits database FINAL::exp2rdt
exp2rdt,BC-3 mothers expanded database FINAL,discard,,Experimental RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::exp2rdt
eye,BC-3 enrollment database FINAL,discard,,Eye,,NA,,,,All NA's,BC-3 enrollment database FINAL::eye
eye,BC-3 mothers all visits database FINAL,keep,,Eye,,NA,,,,,BC-3 mothers all visits database FINAL::eye
eye,BC-3 childs all visit database FINAL,keep,,Eye,,NA,,,,,BC-3 childs all visit database FINAL::eye
eyedur,BC-3 enrollment database FINAL,discard,,Eye Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::eyedur
eyedur,BC-3 mothers all visits database FINAL,keep,,Eye Duration,,NA,,,,,BC-3 mothers all visits database FINAL::eyedur
eyedur,BC-3 childs all visit database FINAL,keep,,Eye Duration,,NA,,,,,BC-3 childs all visit database FINAL::eyedur
eyegrade,BC-3 enrollment database FINAL,discard,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 enrollment database FINAL::eyegrade
eyegrade,BC-3 mothers all visits database FINAL,keep,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::eyegrade
eyegrade,BC-3 childs all visit database FINAL,keep,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::eyegrade
father,BC-3 screening database FINAL,discard,,Is father of the unborn child readily available to provide consent?,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::father
fatherconsent,BC-3 enrollment database FINAL,keep,,Father's consent for unborn child,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::fatherconsent
fatherconsent,BC-3 mothers all visits database FINAL,discard,,Father's consent for unborn child,"1=Father unavailable to provide consent, 2=Father provided consent",NA,,,,DROP - Use enrollment,BC-3 mothers all visits database FINAL::fatherconsent
fatherconsent,BC-3 screening database FINAL,discard,,Father's consent for unborn child,"1=Father unavailable to provide consent, 2=Father provided consent",NA,,,,DROP - Use all visits,BC-3 screening database FINAL::fatherconsent
fatigdur,BC-3 enrollment database FINAL,discard,,Fatigue Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::fatigdur
fatigdur,BC-3 mothers all visits database FINAL,keep,,Fatigue Duration,,NA,,,,,BC-3 mothers all visits database FINAL::fatigdur
fatigdur,BC-3 childs all visit database FINAL,keep,,Fatigue Duration,,NA,,,,,BC-3 childs all visit database FINAL::fatigdur
fatiggrade,BC-3 enrollment database FINAL,discard,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::fatiggrade
fatiggrade,BC-3 mothers all visits database FINAL,keep,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::fatiggrade
fatiggrade,BC-3 childs all visit database FINAL,keep,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::fatiggrade
fconsent,BC-3 screening database FINAL,discard,,"If yes, is father of the unborn child willing to provide consent?","0 = No,
1=Yes",NA,,,,DROP - Use enrollment,BC-3 screening database FINAL::fconsent
fdiabetes,BC-3 enrollment database FINAL,keep,,Family history of diabetes,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::fdiabetes
febrile,BC-3 enrollment database FINAL,discard,,Whether woman was febrile,"0 = No,
1=Yes",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::febrile
febrile,BC-3 mothers all visits database FINAL,keep,,Whether mother was febrile,,NA,,,,,BC-3 mothers all visits database FINAL::febrile
febrile,BC-3 mothers expanded database FINAL,discard,,Whether mother was febrile,"0=No,1=Yes",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::febrile
febrile,BC-3 childs all visit database FINAL,keep,,Whether child was febrile,"0=No,
1=Yes",NA,,,,,BC-3 childs all visit database FINAL::febrile
febrile,BC-3 childs expanded database FINAL,discard,,Whether child was febrile,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::febrile
fetal,BC-3 enrollment database FINAL,keep,,Fetal movement,"0=Not present, 1=Present",NA,,,,,BC-3 enrollment database FINAL::fetal
fetal,BC-3 mothers all visits database FINAL,keep,,Normal fetal movement,"0=Absent 24 hours,
1=Present,
2=Decreased",NA,,,,,BC-3 mothers all visits database FINAL::fetal
fever,BC-3 enrollment database FINAL,discard,,Fever,"0 = No,
1=Yes",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::fever
fever,BC-3 mothers all visits database FINAL,discard,,Fever,"0 = No,
1 = Yes",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::fever
fever,BC-3 mothers expanded database FINAL,keep,,Fever,"0 = No,1 = Yes",NA,,,,,BC-3 mothers expanded database FINAL::fever
fever,BC-3 childs all visit database FINAL,keep,,Fever,"0=No,
1=Yes",NA,,,,,BC-3 childs all visit database FINAL::fever
fever,BC-3 childs expanded database FINAL,discard,,Fever,"0=No,1=Yes",NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::fever
feverdur,BC-3 enrollment database FINAL,discard,,Fever Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::feverdur
feverdur,BC-3 mothers all visits database FINAL,keep,,Fever Duration,,NA,,,,,BC-3 mothers all visits database FINAL::feverdur
feverdur,BC-3 childs all visit database FINAL,keep,,Fever Duration,,NA,,,,,BC-3 childs all visit database FINAL::feverdur
fhgt,BC-3 enrollment database FINAL,discard,,Fundal Height,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::fhgt
fhgt,BC-3 mothers all visits database FINAL,keep,,Fundal Height (cm),,NA,,,,,BC-3 mothers all visits database FINAL::fhgt
fhtone,BC-3 enrollment database FINAL,discard,,Fetal Heart Tones,"0=Not present, 1=Present",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::fhtone
fhtone,BC-3 mothers all visits database FINAL,keep,,Fetal Heart Tones,"0=Absent,
1=Present",NA,,,,,BC-3 mothers all visits database FINAL::fhtone
fhyperten,BC-3 enrollment database FINAL,keep,,Family history of hypertension,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::fhyperten
filterpap,BC-3 enrollment database FINAL,discard,,Filter paper,"0=Not collected,
1=Collected
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::filterpap
filterpap,BC-3 mothers all visits database FINAL,keep,,filter paper,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",NA,,,,,BC-3 mothers all visits database FINAL::filterpap
filterpap,BC-3 mothers expanded database FINAL,discard,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::filterpap
filterpap,BC-3 childs all visit database FINAL,keep,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",NA,,,,,BC-3 childs all visit database FINAL::filterpap
filterpap,BC-3 childs expanded database FINAL,discard,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::filterpap
finaledd,BC-3 enrollment database FINAL,keep,,Final EDD,date,NA,,,,,BC-3 enrollment database FINAL::finaledd
finaledd,BC-3 mothers delivery database FINAL,discard,,Final EDD,date,NA,,,,DROP - Use all visits,BC-3 mothers delivery database FINAL::finaledd
finaledd,BC-3 mothers expanded database FINAL,discard,,Final EDD,Date,NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::finaledd
finaledd,Individual level database FINAL,discard,,Final EDD,date,NA,,,,DROP - Use all visits,Individual level database FINAL::finaledd
firstdosesd,Individual level database FINAL,discard,,Gestational age when 1st dose of study drug given,"0=16 weeks,1=>20 weeks",NA,,,,Drop since data is also included in another way ,Individual level database FINAL::firstdosesd
firstmalaria,BC-3 children individual level database FINAL,discard,,Whether the child has had malaria,"0=No, 1=Yes",NA,,,,,BC-3 children individual level database FINAL::firstmalaria
fluids,BC-3 childs hospitalizations FINAL,keep,,Intravenous fluids,"0=No,
1=Yes",NA,,,,,BC-3 childs hospitalizations FINAL::fluids
fpcblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from Cord blood standard,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::fpcblood
fpcmeta,BC-3 mothers delivery database FINAL,keep,,Filter paper from Cord blood for metabolic testing,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::fpcmeta
fppblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from Placental blood,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::fppblood
fpvblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from venous blood,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::fpvblood
fracture,BC-3 enrollment database FINAL,keep,,"Fracture of the pelvis, spine or femur","0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::fracture
fridge,BC3_Household_Survey_Data,keep,,refrigerator?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::fridge
fterm1,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm1
fterm2,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm2
fterm3,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm3
fterm4,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm4
fterm5,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm5
fterm6,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm6
fterm7,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",NA,,,,,BC-3 enrollment database FINAL::fterm7
fueltype,BC3_Household_Survey_Data,keep,,what type of fuel does your household mainly use for cooking?,"-9=skipped,2=natural gas, 3=biogas, 5=charcoal, 6=firewood, 7=starw/shrubs/grass",NA,,,,,BC3_Household_Survey_Data::fueltype
gacat,Individual level database FINAL,discard,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",NA,,,,,Individual level database FINAL::gacat
gacat,BC-3 childs expanded database FINAL,discard,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::gacat
gacat,BC-3 children individual level database FINAL,discard,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",NA,,,,DROP,BC-3 children individual level database FINAL::gacat
gacomputed,BC-3 enrollment database FINAL,discard,,,,NA,,,,Same as gaenroll,BC-3 enrollment database FINAL::gacomputed
gacomputed,BC-3 mothers expanded database FINAL,discard,,Gestational age computed from EDD,,NA,,,,,BC-3 mothers expanded database FINAL::gacomputed
gadelivery,BC-3 mothers delivery database FINAL,keep,,Gestational age in weeks computed at delivery,,NA,,,,,BC-3 mothers delivery database FINAL::gadelivery
gadelivery,Individual level database FINAL,discard,,Gestational age in weeks computed at delivery,,NA,,,,DROP - Use delivery,Individual level database FINAL::gadelivery
gaenroll,BC-3 enrollment database FINAL,keep,Load with only 2 decimal places,Gestational age at enrollment,,NA,,,,,BC-3 enrollment database FINAL::gaenroll
gaenroll,BC-3 mothers all visits database FINAL,discard,,Gestational age at enrollment,"1=16wks,
2=20wks,
3=24wks,
4=28wks,
5=32wks,
6=36wks,
7=40wks",NA,,,,DROP - Use enrollment,BC-3 mothers all visits database FINAL::gaenroll
gaenroll,Individual level database FINAL,discard,,Gestational age at enrollment,,NA,,,,DROP - Use enrollment,Individual level database FINAL::gaenroll
gaenroll,BC-3 childs expanded database FINAL,discard,,Gestational age at enrollment,,NA,dup,,,DROP - Use enrollment,BC-3 childs expanded database FINAL::gaenroll
gaenroll,BC-3 children individual level database FINAL,discard,,Gestational age at enrollment,,NA,,,,DROP - Use enrollment,BC-3 children individual level database FINAL::gaenroll
gaenrollment,BC-3 mothers expanded database FINAL,discard,,Gestational age at enrollment,"12,13,14,15,16,17,18,19,20",NA,,,,DROP - Use enrollment,BC-3 mothers expanded database FINAL::gaenrollment
game,BC-3 enrollment database FINAL,discard,,Gametocytes,"
0 = Absent,1 = Present",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::game
game,BC-3 mothers all visits database FINAL,keep,,Gametocytes,"0=Absent, 1=Present",NA,,,,,BC-3 mothers all visits database FINAL::game
game,BC-3 childs all visit database FINAL,keep,,Gametocytes,"0 = Absent,1 = Present",NA,,,,,BC-3 childs all visit database FINAL::game
game,BC-3 childs expanded database FINAL,discard,,Gametocytes,"0 = Absent,1 = Present",NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::game
game1,BC-3 mothers all visits database FINAL,discard,,gametocytes1,"0 = Absent,1 = Present
",NA,,,,DROP - use game,BC-3 mothers all visits database FINAL::game1
game1,BC-3 childs all visit database FINAL,keep,,gametocytes1,"0 = Absent,1 = Present",NA,,,,Difference between this and game?,BC-3 childs all visit database FINAL::game1
game2,BC-3 mothers all visits database FINAL,discard,,gametocytes2,"0 = Absent,1 = Present
",NA,,,,DROP - use game,BC-3 mothers all visits database FINAL::game2
game2,BC-3 childs all visit database FINAL,keep,,gametocytes2,"0 = Absent,1 = Present",NA,,,,Difference between this and game?,BC-3 childs all visit database FINAL::game2
game3,BC-3 mothers all visits database FINAL,discard,,gametocytes3,"0 = Absent,1 = Present
",NA,,,,DROP - use game,BC-3 mothers all visits database FINAL::game3
game3,BC-3 childs all visit database FINAL,keep,,gametocytes3,"0 = Absent,1 = Present",NA,,,,Difference between this and game?,BC-3 childs all visit database FINAL::game3
gender,Individual level database FINAL,discard,,Gender of child if singleton birth,"1=Male, 2=Female",NA,,,,,Individual level database FINAL::gender
gender,BC-3 childs expanded database FINAL,discard,,Gender,"1=male, 2=female",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::gender
gender,BC-3 children individual level database FINAL,keep,,Gender,"1=Male, 2=Female",NA,,,,,BC-3 children individual level database FINAL::gender
gestage,BC-3 enrollment database FINAL,discard,,,"1=16 wks, 2=20 wks, 3=24 wks, 4=other",NA,,,,DROP - not of interest,BC-3 enrollment database FINAL::gestage
