colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL
1194,1194,,diag5::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis5,,variable,,,
457,457,,diag5::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis5,,variable,,,
604,604,,diag6::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis6,,variable,,Each participant could have multiple diagnoses also diagnosis at enrollment and diagnosis at follow-up visits,
1195,1195,,diag6::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis6,,variable,,,
458,458,,diag6::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis6,,variable,,,
605,605,,diag7::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis7,,variable,,Each participant could have multiple diagnoses also diagnosis at enrollment and diagnosis at follow-up visits,
1196,1196,,diag7::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis7,,variable,,,
459,459,,diag7::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis7,,variable,,,
196,196,,diarrdur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000157,Diarrhea duration (days),Diarrhea Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Duration,,variable,,,
519,519,,diarrdur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000157,Diarrhea duration (days),Diarrhea Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Duration,,variable,,,
1106,1106,,diarrdur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000157,Diarrhea duration (days),,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Duration,,variable,,,
195,195,,diarrgrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Diarrhea grade,Diarrhea Grade,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
518,518,,diarrgrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Diarrhea grade,Diarrhea Grade,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1105,1105,,diarrgrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Diarrhea grade,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
48,48,,dmelitus::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Diabetes,Specified whether  participant has Diabetes Mellitus,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Diabetes Mellitus,"0 = No,
1=Yes",variable,,,
296,296,,dob::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,Date of Birth,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of Birth:,date,variable,,,
387,387,,dob::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,,Observation,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of birth,date,variable,,,
1047,1047,,dob::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of birth,date,variable,,,
781,781,,dod::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Delivery date,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Delivery date,date,variable,,,
65,65,,drug1::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Drug allergy,What drug is the participant allergic to,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Drug:,,variable,,,
617,617,,drugadm::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Administered study drug,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,was the mother administered study drugs during her last visit to clinic,"0=No,
1=Yes",variable,,,
60,60,,drugs::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Drug use,Does the participant take drugs,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Drugs,"0 = No,
1=Yes",variable,,,
325,325,,duration::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0031210,Days from enrollment to follow-up,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Duration of follow-up,,variable,,,
424,424,,duration::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0031210,Days from enrollment to follow-up,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Duration of follow-up,,variable,,,
202,202,,dysphdur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Dysphagia duration (days),Dysphagia Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Duration,,variable,,,
525,525,,dysphdur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Dysphagia duration (days),Dysphagia Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Duration,,variable,,,
1110,1110,,dysphdur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Dysphagia duration (days),Dysphagia Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Duration,,variable,,,
201,201,,dysphgrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Dysphagia grade,Dysphagia Grade,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
524,524,,dysphgrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Dysphagia grade,Dysphagia Grade,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1109,1109,,dysphgrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Dyphagia grade,Dysphagia Grade,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
79,79,,dysuria::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Dysuria,Does the participant have dysuria,Observation,Obstetric symptoms,,Dysuria,"0=Not present, 1=Present",variable,,,
615,615,,ecg::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Electrocardiogram due,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"Is mother due for ECG(week 20,28 and 36)","0=No,
1=Yes",variable,,,
69,69,,eddlmp::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Expected date of delivery by last menstural period,what is the participant's expected date of delivery basing on her last menstural period,Observation,Pregnancy,,EDD by LMP,date,variable,,,
70,70,,eddus::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Expected date of delivery by ultrasound,what is the participant's expected date of delivery by ultra sound,Observation,Pregnancy,,EDD by US,date,variable,,,
171,171,,educ::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,What is the participant's highest level of education,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",variable,,,
324,324,,enddate::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000152,Last date observed,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Last day in the study,Date,variable,,,
1056,1056,,enddate::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000152,Last date observed,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Last day in the study,date,variable,,,
229,229,,endo::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Endocrine condition,endocrine,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo,,variable,,,
552,552,,endo::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Endocrine condition,endocrine,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo,,variable,,,
1135,1135,,endo::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Endocrine condition,endocrine,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo,,variable,,Define?,
231,231,,endodur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Endocrine condition duration (days),endocrine duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Duration,,variable,,,
554,554,,endodur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Endocrine condition duration (days),endocrine duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Duration,,variable,,,
1137,1137,,endodur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Endocrine condition duration (days),endocrine duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Duration,,variable,,,
230,230,,endograde::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Endocrine condition grade,endocrine grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
553,553,,endograde::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Endocrine condition grade,endocrine grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1136,1136,,endograde::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Endocrine condition grade,endocrine grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
915,915,,enrollage::Individual level database FINAL,Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Age at enrollment in years,,variable,,,
1030,1030,,enrollage::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Maternal age at enrollment,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Mothers age at enrollment in years,,variable,,,
316,316,,enrolldate::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Date of enrollment,Date,variable,,,
1029,1029,,enrolldate::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Maternal enrollment date,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Mother's date of enrollment,date,variable,,,
320,320,,enrollgestage::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Gestational age at enrollment,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Gestational age at enollment (wks),age in weeks,variable,,,
42,42,,exclusioncriteria::BC-3 screening database FINAL,BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility Criteria,Reason for exclusion,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,Reason for exclusion,numeric,variable,Reasons for exclusion or inclusion is the list of questions in the screening dataset. ,,
364,364,,exp1rdt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0025133,"Plasmodium present, by RDT",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Experimental RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",variable,,,
365,365,,exp2rdt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,"Plasmodium present, by RDT 2nd",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Experimental RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",variable,,,
205,205,,eye::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Eye condition,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye,,variable,,,
528,528,,eye::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Eye condition,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye,,variable,,,
1111,1111,,eye::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Eye condition,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye,,variable,,,
207,207,,eyedur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Eye condition duration (days),Eye Duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Duration,,variable,,,
530,530,,eyedur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Eye condition duration (days),Eye Duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Duration,,variable,,,
1113,1113,,eyedur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Eye condition duration (days),Eye Duration,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Duration,,variable,,,
206,206,,eyegrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Eye condition grade,Eye Grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
529,529,,eyegrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Eye condition grade,Eye grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1112,1112,,eyegrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Eye condition grade,Eye grade,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
38,38,,father::BC-3 screening database FINAL,BC-3 screening database FINAL,,Father available for consent,Is father of the unborn child readily available to provide consent?,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Is father of the unborn child readily available to provide consent?,"0 = No,
1=Yes",variable,,,
299,299,,fatherconsent::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Father's consent for unborn child given,Father's consent for unborn child,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Father's consent for unborn child,"0 = No,
1=Yes",variable,,,
188,188,,fatigdur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000158,Fatigue duration (days),Fatigue Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fatigue Duration,,variable,,,
511,511,,fatigdur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000158,Fatigue duration (days),Fatigue Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fatigue Duration,,variable,,,
1100,1100,,fatigdur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000158, Fatigue duration (days),,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fatigue Duration,,variable,,,
187,187,,fatiggrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Fatigue grade,Fatigue Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
510,510,,fatiggrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Fatigue grade,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1099,1099,,fatiggrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Fatigue grade,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
61,61,,fdiabetes::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Family history of diabetes,Does any one in the participant's family have a history of diabetes,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Diabetes,"0 = No,
1=Yes",variable,,,
311,311,,febrile::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,specified whether participant had a fever or not,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Whether woman was febrile,"0 = No,
1=Yes",variable,,,
353,353,,febrile::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Whether mother was febrile,"0=No,1=Yes",variable,,,
1208,1208,,febrile::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Whether child was febrile,"0=No,
1=Yes",variable,,,
433,433,,febrile::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Whether child was febrile,,variable,,Different values than Fever,
74,74,,fetal::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Fetal movement,Does the participant have fetal movement,Observation,Obstetric symptoms,,Fetal movement,"0=Not present, 1=Present",variable,,,
494,494,,fetal::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Fetal movement,,Observation,Obstetric symptoms,,Normal fetal movement,"0=Absent 24 hours,
1=Present,
2=Decreased",variable,,,
183,183,,fever::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Fever,Whether participant has a fever or not,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fever,"0 = No,
1=Yes",variable,,Double-check definition?,
336,336,,fever::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Fever,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fever,"0 = No,1 = Yes",variable,,Double-check definition?,
1095,1095,,fever::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fever,"0=No,
1=Yes",variable,,,
432,432,,fever::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Fever,"0=No,1=Yes",variable,,,
184,184,,feverdur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000414,Fever duration (days),Fever Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fever Duration,,variable,,,
507,507,,feverdur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000414,Fever duration (days),Fever Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fever Duration,,variable,,,
1096,1096,,feverdur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000414,Fever duration (days),,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Fever Duration,,variable,,,
179,179,,fhgt::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Fundal height (cm),Specified the size of the uterus,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Fundal Height,,variable,,,
502,502,,fhgt::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Fundal height (cm),,Observation,Anthropometry,,Fundal Height (cm),,variable,,,
180,180,,fhtone::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Fetal heart tones,Specified whether the fetal heart beat was present,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,Fetal Heart Tones,"0=Not present, 1=Present",variable,,,
503,503,,fhtone::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Fetal heart tones,,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,Fetal Heart Tones,"0=Absent,
1=Present",variable,,,
62,62,,fhyperten::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Family history of hypertension,Does any one in the participant's family have a history of hypertension,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Hypertension,"0 = No,
1=Yes",variable,,,
261,261,,filterpap::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Filter paper sample collected,Was the Filter paper collected or not,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Filter paper,"0=Not collected,
1=Collected
",variable,,,
340,340,,filterpap::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Filter paper sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
436,436,,filterpap::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,,Filter paper sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
1149,1149,,filterpap::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Filter paper sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",variable,,,
928,928,,finaledd::Individual level database FINAL,Individual level database FINAL,,Final expected date of delivery,what is the participant's final expected date of delivery,Observation,Pregnancy,,Final EDD,date,variable,,,
917,917,,firstdoseSD::Individual level database FINAL,Individual level database FINAL,,Gestational age at initial study drug dose,,Participant,Participant study details,,Gestational age when 1st dose of study drug given,"0=16 weeks,1=>20 weeks",variable,,,
1070,1070,,firstmalaria::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Malaria,,Observation,,,Whether the child has had malaria,"0=No, 1=Yes",variable,,,
7,7,,fluids::BC-3 childs hospitalizations FINAL,BC-3 childs hospitalizations FINAL,,Intravenous fluids,Specified Whether Intravenous fluids were given,Observation,,,Intravenous fluids,"0=No,
1=Yes",variable,,"Not necessarily diarrhea treament, use new IRI",
823,823,,fpcblood::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Filter paper from cord blood,Filter paper from Cord blood standard,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Filter paper from Cord blood standard,"0=Not made, 1=Made
",variable,,,
824,824,,fpcmeta::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Filter paper from cord blood for metabolic testing,Filter paper from Cord blood for metabolic testing,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Filter paper from Cord blood for metabolic testing,"0=Not made, 1=Made
",variable,,,
825,825,,fppblood::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Filter paper from placental blood,Filter paper from Placental blood,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Filter paper from Placental blood,"0=Not made, 1=Made
",variable,,,
822,822,,fpvblood::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Filter paper from venous blood,Filter paper from venous blood,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Filter paper from venous blood,"0=Not made, 1=Made
",variable,,,
56,56,,fracture::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,"Fracture of pelvis, spine or femur ","Specified if participant has fracture of the pelvis,spine or femur",Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,"Fracture of the pelvis, spine or femur","0 = No,
1=Yes",variable,,,
88,88,,fterm1::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Full term,Was the first delivery a full term or premature,Participant,Obstetric history,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",variable,,,
918,918,,GAcat::Individual level database FINAL,Individual level database FINAL,,Gestational age at enrollment category,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",variable,,,
1032,1032,,GAcat::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Gestational age at enrollment category,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",variable,,,
