colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
19,vaccinationlist.nocard_measlesnum,avenir population level data clinepi,,Measles vaccination received count,The times of measles vaccination received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 4,4,0.840490798,,vaccinationlist.nocard_measlesnum,avenir population level data clinepi::vaccinationlist.nocard_measlesnum
46,other_vaccinenum,avenir population level data clinepi,,The number of other administered vaccines that have not been recorded,The number of other administered vaccines that have not been recorded,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,0,,,0 to 4,4,0.882506042,,other_vaccinenum,avenir population level data clinepi::other_vaccinenum
25,card_bcg,avenir population level data clinepi,,Administrated BCG vaccine,Whether BCG vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_bcg,avenir population level data clinepi::card_bcg
31,card_dpt1,avenir population level data clinepi,,Administrated DPT-1 vaccine ,Whether DPT-1 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_dpt1,avenir population level data clinepi::card_dpt1
32,card_dpt2,avenir population level data clinepi,,Administrated DPT-2 vaccine,Whether DPT-2 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_dpt2,avenir population level data clinepi::card_dpt2
33,card_dpt3,avenir population level data clinepi,,Administrated DPT-3 vaccin,Whether DPT-3 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_dpt3,avenir population level data clinepi::card_dpt3
26,card_hepb,avenir population level data clinepi,,Administrated hepatitwas B vaccine,Whether Hepatitwas B vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_hepB,avenir population level data clinepi::card_hepb
44,card_imovax,avenir population level data clinepi,,Administrated IMOVAX vaccine,Whether IMOVAX vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_imovax,avenir population level data clinepi::card_imovax
34,card_measles1,avenir population level data clinepi,,Administrated Measles-1 vaccine ,Whether Measles-1 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_measles1,avenir population level data clinepi::card_measles1
35,card_measles2,avenir population level data clinepi,,Administrated Measles-2 vaccine,Whether Measles-2 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_measles2,avenir population level data clinepi::card_measles2
36,card_pneumo1,avenir population level data clinepi,,Administrated Pneumo-1 vaccine,Whether Pneumo-1 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_pneumo1,avenir population level data clinepi::card_pneumo1
37,card_pneumo2,avenir population level data clinepi,,Administrated Pneumo-2 vaccine ,Whether Pneumo-2 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_pneumo2,avenir population level data clinepi::card_pneumo2
38,card_pneumo3,avenir population level data clinepi,,Administrated Pneumo-3 vaccine,Whether Pneumo-3 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_pneumo3,avenir population level data clinepi::card_pneumo3
27,card_polio0,avenir population level data clinepi,,Administrated Polio-0 vaccine,Whether Polio-0 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_polio0,avenir population level data clinepi::card_polio0
28,card_polio1,avenir population level data clinepi,,Administrated Polio-1 vaccine ,Whether Polio-1 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_polio1,avenir population level data clinepi::card_polio1
29,card_polio2,avenir population level data clinepi,,Administrated Polio-2 vaccine ,Whether Polio-2 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_polio2,avenir population level data clinepi::card_polio2
30,card_polio3,avenir population level data clinepi,,Administrated Polio-3 vaccine,Whether Polio-3 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_polio3,avenir population level data clinepi::card_polio3
39,card_rota1,avenir population level data clinepi,,Administrated Rotavirus-1 vaccine,Whether Rotavirus-1 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_rota1,avenir population level data clinepi::card_rota1
40,card_rota2,avenir population level data clinepi,,Administrated Rotavirus-2 vaccine,Whether Rotavirus-2 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_rota2,avenir population level data clinepi::card_rota2
41,card_rota3,avenir population level data clinepi,,Administrated Rotavirus-3 vaccine,Whether Rotavirus-3 vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_rota3,avenir population level data clinepi::card_rota3
7,waterother,avenir community environment data clinepi,,Community water source,Water source,Community,Community water,http://purl.obolibrary.org/obo/EUPATH_0035121,Where does the water come from?,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,pompe fontaine,,,"mini AEP, pampe, pompe a pied, pompe fontaine, NA",4,0.910447761,duplicated variable,waterother,avenir community environment data clinepi::waterother | avenir household environment data clinepi::waterother
43,card_tetanos,avenir population level data clinepi,,Administrated TETANOS vaccine ,Whether TETANOS vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.882506042,,card_tetanos,avenir population level data clinepi::card_tetanos
45,card_vitamina,avenir population level data clinepi,,AdministratedVitamin A  ,Whether Vitamin A was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_vitaminA,avenir population level data clinepi::card_vitamina
42,card_yellow,avenir population level data clinepi,,Administrated Yellow fever vaccine  ,Whether Yellow fever vaccine was administrated,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.882506042,,card_yellow,avenir population level data clinepi::card_yellow
20,form.hohsex,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0044152,Household head's sex,The biological gender of household head,Household,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.221523928,,form.hohSex,avenir census data clinepi::form.hohsex
21,form.hohage,avenir census data clinepi,,Household head age,Age of household head (year),Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,,,"avenir,baseline",years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,int,45,,,13 to 100,82,0.221523928,,form.hohAge,avenir census data clinepi::form.hohage
23,form.mothersrepeat.mothersgroup.spouseage,avenir census data clinepi,,Spouse's age ,The age of spouse (year),Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,,,"avenir,baseline",years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,int,30,,,14 to 99,69,0.26301819,,form.mothersRepeat.mothersGroup.spouseAge,avenir census data clinepi::form.mothersrepeat.mothersgroup.spouseage
24,form.mothersrepeat.mothersgroup.spousesex,avenir census data clinepi,,Spouse's sex  ,The sex of spouse  ,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.26301819,,form.mothersRepeat.mothersGroup.spouseSex,avenir census data clinepi::form.mothersrepeat.mothersgroup.spousesex
30,form.youthrepeat.youthgroup.ageinyearsyouth,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0025077,Interviewee's age,The age of participants (year),Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,,,"avenir,baseline",years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,int,7,,,0 to 18,14,0.945105562,,form.youthRepeat.youthGroup.ageinyearsYouth,avenir census data clinepi::form.youthrepeat.youthgroup.ageinyearsyouth
84,rdtresult,avenir population level data clinepi,,RDT result,RDT result,Sample,Plasmodium test type,http://purl.obolibrary.org/obo/EUPATH_0040010,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.658114891,,rdtresult,avenir population level data clinepi::rdtresult
86,reasonnonpzymo,avenir population level data clinepi,,Reason of not able to collect the Zymo NP swab,Reason of not able to collect the Zymo NP swab,Sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,refus,,,"pas, refu, refus, NA",3,0.999070459,,reasonnonpzymo,avenir population level data clinepi::reasonnonpzymo
89,reasonnonpstgg,avenir population level data clinepi,,Reason of not able to collect the NP STGG swab,Reason of not able to collect the NP STGG swab,Sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,refu,,,"refu, NA",1,0.999814092,,reasonnonpstgg,avenir population level data clinepi::reasonnonpstgg
87,reasonnorectal,avenir population level data clinepi,,Reason of not able to collect the rectal swab,Reason of not able to collect the rectal swab,Sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,refu,,,"refu, NA",1,0.999814092,,reasonnorectal,avenir population level data clinepi::reasonnorectal
19,form.hhnumber,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,The number of people live in each household,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,6,,,1 to 5444446,94,1.67E-05,,form.hhNumber,avenir census data clinepi::form.hhnumber
22,form.noofmothers,avenir census data clinepi,,Mothers/ guardians live in the household,The number of mothers/ guardians live in the household ,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 5,6,0.22133433,,form.noOfMothers,avenir census data clinepi::form.noofmothers
10,form.noofchildren,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,The number of children of age 1-59 months who live in the household ,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 14,12,0.232938893,,form.noOfChildren,avenir census data clinepi::form.noofchildren
28,form.noofyouth,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons <=18 years living in house count,The number of children of age 7-12 years who live in the household ,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 8,9,0.945272855,,form.noOfYouth,avenir census data clinepi::form.noofyouth
82,breathing_problem,avenir population level data clinepi,,Breathing issues,Breathing issue,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021004,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.657928983,,breathing_problem,avenir population level data clinepi::breathing_problem
81,cough,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0042257,Cough,Cough,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021005,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,cough,avenir population level data clinepi::cough
78,diarrhea,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0042260,Diarrhea,Diarrhea,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021006,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,diarrhea,avenir population level data clinepi::diarrhea
79,fever,avenir population level data clinepi,,Fever,Fever,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021007,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.657928983,,fever,avenir population level data clinepi::fever
80,malaria,avenir population level data clinepi,,Malaria,Malaria,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021008,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,malaria,avenir population level data clinepi::malaria
83,runny_nose,avenir population level data clinepi,,Runny nose,runny nose,Participant,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021003,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.925636735,,runny_nose,avenir population level data clinepi::runny_nose
17,form.treatment_letter_1_11,avenir census data clinepi,,Treatement:1-11,Treatement:1-11,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,b,,,>10 unique values,12,0.005420296,,form.treatment_letter_1_11,avenir census data clinepi::form.treatment_letter_1_11
18,form.treatment_letter_12_59,avenir census data clinepi,,Treatement:12-59,Treatement:12-59,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,H,,,>10 unique values,12,0.005420296,,form.treatment_letter_12_59,avenir census data clinepi::form.treatment_letter_12_59
10,form.isadministered,avenir treatment data clinepi,,Administered treatment ,Whether the treatment has been administered,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 1,2,0.013384759,,form.isAdministered,avenir treatment data clinepi::form.isadministered
8,form.doseheight,avenir treatment data clinepi,,Prepared the dose,Prepared the dose (ml),Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",mL,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,int,10,,,2 to 25,9,0.198736454,,form.doseHeight,avenir treatment data clinepi::form.doseheight
74,antibiotics,avenir population level data clinepi,,Antibiotics received in the past 2 weeks,Whether the child received any antibiotics in the past 2 weeks,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,antibiotics,avenir population level data clinepi::antibiotics
9,form.dose_ml,avenir treatment data clinepi,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,Dose (ml),Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",mL,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,dbl,3.4,,,1.6 to 9.8,41,0.814648305,,form.dose_ml,avenir treatment data clinepi::form.dose_ml
76,antibiotic_source,avenir population level data clinepi,,Antibiotic obtained,Where the antibiotic was obtained,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,1,,,>10 unique values,12,0.919315858,,antibiotic_source,avenir population level data clinepi::antibiotic_source
77,antibiotic_source_other,avenir population level data clinepi,,Antibiotic source specified,Other source to obtain antibiotic (Specify),Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,domicile,,,>10 unique values,12,0.997025469,,antibiotic_source_other,avenir population level data clinepi::antibiotic_source_other
26,form.childrenrepeat.childrengroup.notreatreason,avenir census data clinepi,,Reason of not treated,The reason why the children are not treated,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,99,,,1 to 99,3,0.99823227,,form.childrenRepeat.childrenGroup.noTreatReason,avenir census data clinepi::form.childrenrepeat.childrengroup.notreatreason
27,form.childrenrepeat.childrengroup.notreatreasonother,avenir census data clinepi,,Reason of not treated other,The other reason why the children are not treated,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,voyager,,,>10 unique values,48,0.998321493,,form.childrenRepeat.childrenGroup.noTreatReasonOther,avenir census data clinepi::form.childrenrepeat.childrengroup.notreatreasonother
11,form.notreatreason,avenir treatment data clinepi,,Reason of not  treated,The reason of not being treated,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,99,,,1 to 99,3,0.999305917,,form.noTreatReason,avenir treatment data clinepi::form.notreatreason
