# version-2
variable	values	mappedTerm	valueOrder
avenir population level data clinepi round 1 - updated::dietlist.animal_protein	2	No	
avenir population level data clinepi round 1 - updated::dietlist.animal_protein	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.animal_protein	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.eggs	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.eggs	2	No	
avenir population level data clinepi round 1 - updated::dietlist.eggs	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.eggs	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.nuts	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.nuts	2	No	
avenir population level data clinepi round 1 - updated::dietlist.nuts	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.nuts	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.dairy	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.dairy	2	No	
avenir population level data clinepi round 1 - updated::dietlist.dairy	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.dairy	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.fat	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.fat	2	No	
avenir population level data clinepi round 1 - updated::dietlist.fat	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.fat	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks	2	No	
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.fortified	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.fortified	2	No	
avenir population level data clinepi round 1 - updated::dietlist.fortified	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.fortified	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp	2	No	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut	2	No	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::health_facility	1	Yes	
avenir population level data clinepi round 1 - updated::health_facility	2	No	
avenir population level data clinepi round 1 - updated::health_facility	3	Don't Know	
avenir population level data clinepi round 1 - updated::health_facility	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::health_facility_type	1	Hospital	
avenir population level data clinepi round 1 - updated::health_facility_type	11	Itinerant drug seller	
avenir population level data clinepi round 1 - updated::health_facility_type	12	Don't know	
avenir population level data clinepi round 1 - updated::health_facility_type	13	Other	
avenir population level data clinepi round 1 - updated::health_facility_type	14	Health hut	
avenir population level data clinepi round 1 - updated::health_facility_type	2	CSI	
avenir population level data clinepi round 1 - updated::health_facility_type	4	Community health worker	
avenir population level data clinepi round 1 - updated::health_facility_type	5	Private hospital / clinic	
avenir population level data clinepi round 1 - updated::health_facility_type	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::health_facility_type_other	CS	CS	
avenir population level data clinepi round 1 - updated::health_facility_type_other	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::health_facility_type_other	a domicile	Home	
avenir population level data clinepi round 1 - updated::health_facility_type_other	a domocile	Home	
avenir population level data clinepi round 1 - updated::health_facility_type_other	a la maison	Home	
avenir population level data clinepi round 1 - updated::health_facility_type_other	domicile	Home	
avenir population level data clinepi round 1 - updated::health_facility_type_other	traitement a domicile	Home treatment	
avenir population level data clinepi round 1 - updated::health_facility_reason	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::health_facility_other	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::hospitalized	1	Yes	
avenir population level data clinepi round 1 - updated::hospitalized	2	No	
avenir population level data clinepi round 1 - updated::hospitalized	3	Don't know	
avenir population level data clinepi round 1 - updated::hospitalized	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::hospitalized_reason	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::hospitalized_other	Anemie	Anemia	
avenir population level data clinepi round 1 - updated::hospitalized_other	L enfant presentait un paralisie des membres inferieur.	The child presented with paralysis of the lower limbs	
avenir population level data clinepi round 1 - updated::hospitalized_other	L' enfant a ete referé pour une malnutrition aigue severe.	The child was referred for severe acute malnutrition	
avenir population level data clinepi round 1 - updated::hospitalized_other	L'enfant a presenté une anemie sevère.	The child presented with severe anemia	
avenir population level data clinepi round 1 - updated::hospitalized_other	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::hospitalized_other	Rougeol	Measles	
avenir population level data clinepi round 1 - updated::hospitalized_other	accident	Accident	
avenir population level data clinepi round 1 - updated::hospitalized_other	anemie	Anemia	
avenir population level data clinepi round 1 - updated::hospitalized_other	crise	Crisis	
avenir population level data clinepi round 1 - updated::hospitalized_other	douleur au niveau des membres inferieurs	Pain in the lower limbs	
avenir population level data clinepi round 1 - updated::hospitalized_other	dysenterie	Dysentery	
avenir population level data clinepi round 1 - updated::hospitalized_other	l enfant souffre d une malnutrition severe.	The child is severely malnourished	
avenir population level data clinepi round 1 - updated::hospitalized_other	l'enfant a eu une anemie severe.	The child has had severe anemia	
avenir population level data clinepi round 1 - updated::antibiotics	1	Yes	
avenir population level data clinepi round 1 - updated::antibiotics	2	No	
avenir population level data clinepi round 1 - updated::antibiotics	3	Unknown	
avenir population level data clinepi round 1 - updated::antibiotics	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::antibiotic_name	1	Ampicillin	
avenir population level data clinepi round 1 - updated::antibiotic_name	1 10	Ampicillin and Unknown	
avenir population level data clinepi round 1 - updated::antibiotic_name	1 2	Ampicillin and Metronidazole	
avenir population level data clinepi round 1 - updated::antibiotic_name	10	Unknown	
avenir population level data clinepi round 1 - updated::antibiotic_name	2	Metronidazole	
avenir population level data clinepi round 1 - updated::antibiotic_name	2 10	Metronidazole and Unknown	
avenir population level data clinepi round 1 - updated::antibiotic_name	2 4	Metronidazole and Gentamycin	
avenir population level data clinepi round 1 - updated::antibiotic_name	2 5	Metronidazole and Amoxicillin	
avenir population level data clinepi round 1 - updated::antibiotic_name	2 8	Amoxicillin and Cotrimoxazole	
avenir population level data clinepi round 1 - updated::antibiotic_name	5	Amoxicillin	
avenir population level data clinepi round 1 - updated::antibiotic_name	5 8	Amoxicillin and Cotrimoxazole	
avenir population level data clinepi round 1 - updated::antibiotic_name	8	Cotrimoxazole	
avenir population level data clinepi round 1 - updated::antibiotic_name	9	Ciprofloxacin	
avenir population level data clinepi round 1 - updated::antibiotic_name	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::antibiotic_source	1	Hospital	
avenir population level data clinepi round 1 - updated::antibiotic_source	10	Shop	
avenir population level data clinepi round 1 - updated::antibiotic_source	11	Itinerant drug seller	
avenir population level data clinepi round 1 - updated::antibiotic_source	12	Don't know	
avenir population level data clinepi round 1 - updated::antibiotic_source	13	Other	
avenir population level data clinepi round 1 - updated::antibiotic_source	2	CSI	
avenir population level data clinepi round 1 - updated::antibiotic_source	2 13	CSI and Other	
avenir population level data clinepi round 1 - updated::antibiotic_source	2 4	Mobile clinic and Community health worker	
avenir population level data clinepi round 1 - updated::antibiotic_source	2 7	Mobile clinic and Private pharmacy	
avenir population level data clinepi round 1 - updated::antibiotic_source	4	Community health worker	
avenir population level data clinepi round 1 - updated::antibiotic_source	7	Private pharmacy	
avenir population level data clinepi round 1 - updated::antibiotic_source	9	Market	
avenir population level data clinepi round 1 - updated::antibiotic_source	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	CS	CS	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	Case de Sante	Health hut	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	agent CS	CS agent	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	case de sante	Health hut	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	domicile	Residence	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	donner par l argent du case de santé.	Donate with money from the health box	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	le medicament a ete donne par l agent de la case de santé.	The medicine was given by the health center agent	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	le medicament a ete donné par l agent de santé de la case.	The medicine was given by the hut health worker	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	le medicament a ete donné par l'agent de sante de la case.	The medicine was given by the hut health worker	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	le medicament a ete major de la case de santé.	The drug has been increased from the health box	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	precrit par l agent Case de Santé	Prescribed by health agent	
avenir population level data clinepi round 1 - updated::antibiotic_source_other	prescrit par l agent Case de Santé	Prescribed by health agent	
avenir population level data clinepi round 1 - updated::diarrhea	1	Yes	
avenir population level data clinepi round 1 - updated::diarrhea	2	No	
avenir population level data clinepi round 1 - updated::diarrhea	3	Don't know	
avenir population level data clinepi round 1 - updated::diarrhea	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::fever	1	Yes	
avenir population level data clinepi round 1 - updated::fever	2	No	
avenir population level data clinepi round 1 - updated::fever	3	Don't know	
avenir population level data clinepi round 1 - updated::fever	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::malaria	1	Yes	
avenir population level data clinepi round 1 - updated::malaria	2	No	
avenir population level data clinepi round 1 - updated::malaria	3	Don't know	
avenir population level data clinepi round 1 - updated::malaria	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::cough	1	Yes	
avenir population level data clinepi round 1 - updated::cough	2	No	
avenir population level data clinepi round 1 - updated::cough	3	Don't know	
avenir population level data clinepi round 1 - updated::cough	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::breathing_problem	1	Yes	
avenir population level data clinepi round 1 - updated::breathing_problem	2	No	
avenir population level data clinepi round 1 - updated::breathing_problem	3	Don't know	
avenir population level data clinepi round 1 - updated::breathing_problem	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::runny_nose	1	Yes	
avenir population level data clinepi round 1 - updated::runny_nose	2	No	
avenir population level data clinepi round 1 - updated::runny_nose	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::rdtresult	1	Positive	
avenir population level data clinepi round 1 - updated::rdtresult	2	Negative	
avenir population level data clinepi round 1 - updated::rdtresult	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnordt	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnonpzymo	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnonpzymo	pas	Refuse to answer	
avenir population level data clinepi round 1 - updated::reasonnonpzymo	refu	Refuse to answer	
avenir population level data clinepi round 1 - updated::reasonnonpzymo	refus	Refuse to answer	
avenir population level data clinepi round 1 - updated::reasonnorectal	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnorectal	refu	Refuse to answer	
avenir population level data clinepi round 1 - updated::reasonnodbs	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnonpstgg	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::reasonnonpstgg	refu	Refuse to answer	
avenir population level data clinepi round 1 - updated::bcg	0	No	
avenir population level data clinepi round 1 - updated::bcg	1	Yes	
avenir population level data clinepi round 1 - updated::yellow	0	No	
avenir population level data clinepi round 1 - updated::yellow	1	Yes	
avenir population level data clinepi round 1 - updated::tetanos	0	No	
avenir population level data clinepi round 1 - updated::tetanos	1	Yes	
avenir population level data clinepi round 1 - updated::imovax	0	No	
avenir population level data clinepi round 1 - updated::imovax	1	Yes	
avenir population level data clinepi round 1 - updated::vitamina	0	No	
avenir population level data clinepi round 1 - updated::vitamina	1	Yes	
eupath_0044122	1	Round 1
eupath_0044122	2	Round 2
eupath_0044122	3	Round 3
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	{{Avec le carnet de sant.}}	Health record	
