colOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag
261,F4A_CTR2_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 2nd Choice,Num,,,,
262,F4A_CTR2_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 2nd Choice,Num,,,,
263,F4A_CTR3_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 3rd Choice,Num,,,,
264,F4A_CTR3_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 3rd Choice,Num,,,,
265,F4A_OTHER_SPEC,gems1a_case_control_study_data,drop,,"What were your or your household estimated out-of-pocket expenses for the following: Transportation Other, specify",Num,,,,
266,F4A_OTHER_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Other,Num,,,,
267,F4A_OTHER_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Other,Num,,,,
268,F4A_MONEY_MEAL,gems1a_case_control_study_data,keep,,Where did the money come from? Cutting down expenses from meal?,0,,,,
269,F4A_MONEY_OTHEXP,gems1a_case_control_study_data,keep,,Where did the money come from? Cutting down from other expenses?,0,,,,
270,F4A_MONEY_SVNGS,gems1a_case_control_study_data,keep,,Where did the money come from? Using savings?,0,,,,
271,F4A_MONEY_BORROW,gems1a_case_control_study_data,keep,,Where did the money come from? Borrowing?,0,,,,
272,F4A_MONEY_ASSET,gems1a_case_control_study_data,keep,,Where did the money come from? Selling assets?,0,,,,
273,F4A_MONEY_DONAT,gems1a_case_control_study_data,keep,,Where did the money come from? Asking for donations outside the household?,0,,,,
274,F4A_MONEY_RELATIVE,gems1a_case_control_study_data,keep,,Where did the money come from? Relative or friend pays on your behalf?,0,,,,
275,F4A_MONEY_OTHR,gems1a_case_control_study_data,keep,,Where did the money come from? Other?,0,,,,
276,F4A_MONEY_SPEC,gems1a_case_control_study_data,drop,,"Where did the money come from? Other, specify.",Char,,,,
277,F4A_TRNSPORT_TIME,gems1a_case_control_study_data,keep,,How long did it take to get here from your home (including the journey time and any time waiting for transport?,1,,,,
278,F4A_TRNS_INIT_PAY,gems1a_case_control_study_data,keep,,"If you paid for transportation to bring the child to the hospital or clinic, how much did you pay?",Num,,,,
279,F4A_TRNS_YOU_PAY,gems1a_case_control_study_data,keep,,"Other than the first trip to bring the child to the health center, how much did you pay for transport to or from this facility during the child's stay in the facility?",Num,,,,
280,F4A_TRNS_OTHER_PAY,gems1a_case_control_study_data,keep,,How much have other members of your household paid for transport to or from this facility as a result of the child's stay in the facility?,Num,,,,
281,F4A_EXPEN_CONSULT,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Consultation?,Num,,,,
282,F4A_EXPEN_DRUG,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Drugs?,Num,,,,
283,F4A_EXPEN_DIAG,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Diganostics?,Num,,,,
284,F4A_EXPEN_FOOD,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Food?,Num,,,,
285,F4A_EXPEN_OTHR,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Other?,Num,,,,
286,F4A_EXPEN_SPEC,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Specify.,Char,,,,
287,F4A_EXPEN_TOTAL,gems1a_case_control_study_data,keep,,What are your estimated out-of-pocket expenses for the following? Total.,Num,,,,
288,F4A_SPENT_MEAL,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Cutting down expenses from meals?,0,,,,
289,F4A_SPENT_OTHEXP,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Cutting down on other expenses?,0,,,,
290,F4A_SPENT_SVNGS,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Using savings?,0,,,,
291,F4A_SPENT_BORROW,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Borrowing?,0,,,,
292,F4A_SPENT_ASSET,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Selling assets?,0,,,,
293,F4A_SPENT_DONAT,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Asking for donations outside of the household?,0,,,,
294,F4A_SPENT_RELATIVE,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Relative or friend pays on your behalf?,0,,,,
295,F4A_SPENT_OTHR,gems1a_case_control_study_data,keep,,Where did the money that you spent during this visit or hospitalization come from? Other?,0,,,,
296,F4A_SPENT_SPEC,gems1a_case_control_study_data,drop,,Where did the money that you spent during this visit or hospitalization come from? Other specify.,Char,,,,
297,F4A_LOSE_EARN,gems1a_case_control_study_data,keep,,Did you lose some earnings due to seeking or providing care during Child's Illness,0,,,,
298,F4A_LOSE_TOTAL,gems1a_case_control_study_data,keep,,"If yes, how much?",,,,,
299,F4A_OTHRLOSE_EARN,gems1a_case_control_study_data,keep,,Did other caregivers lose some earnings due to seeking or providing care during Child's Illness,0,,,,
300,F4A_OTHRLOSE_TOTAL,gems1a_case_control_study_data,keep,,"If yes, how much?",,,,,
301,F4A_DAYSLOST_CARE,gems1a_case_control_study_data,keep,,How much time have you spent taking care of Child when otherwise you woul dhave been doing income generating activities?,Character and Numeric,,,,
302,F4A_DAYSLOST_OTHRCRE,gems1a_case_control_study_data,keep,,How much time have other caregivers spent taking care of Child when otherwise they would have been doing income generating activities?,Character and Numeric,,,,
303,F4A_SPECIMEN_ID,gems1a_case_control_study_data,keep,,,,,,,
307,F4B_DATE,gems1a_case_control_study_data,keep,,Visit Date For Enrollment Questionaire for Cases,Date,,,,
309,F4B_WT_CHILD,gems1a_case_control_study_data,keep,,Physical findings: Weight 0-23 months Caretaker + Child,Num,,,,
310,F4B_WT_CARE,gems1a_case_control_study_data,keep,,Physical findings: Weight 0-23 months Caretaker alone,Num,,,,
311,F4B_WT,gems1a_case_control_study_data,drop,,Physical findings: Weight of Child Alone 24-59 Months,Num,,,,
312,F4B_WEIGHT,gems1a_case_control_study_data,keep,,Physical findings: Calculated Weight,Num,,,,
313,F4B_WAZ,gems1a_case_control_study_data,keep,,Physical findings: Weight for Age,Num,,,,
314,F4B_WAZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _ZWAZ<-6 or _ZWAZ>5,0,,,,
315,F4B_HT1,gems1a_case_control_study_data,keep,,Physical findings: 1b. Height 1st,Num,,,,
316,F4B_HT2,gems1a_case_control_study_data,keep,,Physical findings: 1b. Height 2nd,Num,,,,
317,F4B_HT3,gems1a_case_control_study_data,keep,,Physical findings: 1b. Height 3rd,Num,,,,
318,F4B_HEIGHT,gems1a_case_control_study_data,keep,,Physical findings: Calculated mean height,Num,,,,
319,F4B_HEIGHT_MEDIAN,gems1a_case_control_study_data,keep,,Physical findings: Calculated median height,Num,,,,
320,F4B_HAZ,gems1a_case_control_study_data,keep,,Physical findings: Length/height-for-age z-score,Num,,,,
321,F4B_HAZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _HAZ<-6 or _HAZ>6,0,,,,
322,F4B_WHZ,gems1a_case_control_study_data,keep,,Physical findings: Weight-for-length/height z-score,Num,,,,
323,F4B_WHZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _WHZ<-5 or _WHZ>5,0,,,,
324,F4B_MED_HAZ,gems1a_case_control_study_data,keep,,Physical findings: Length/height-for-age z-score (median ht),Num,,,,
325,F4B_MED_HAZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _HAZ<-6 or _HAZ>6 (median ht),0,,,,
326,F4B_MED_WHZ,gems1a_case_control_study_data,keep,,Physical findings: Weight-for-length/height z-score (median ht),Num,,,,
327,F4B_MED_WHZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _WHZ<-5 or _WHZ>5 (median ht),0,,,,
328,F4B_MUAC1,gems1a_case_control_study_data,keep,,Physical findings: 1c. MUAC 1st,Num,,,,
329,F4B_MUAC2,gems1a_case_control_study_data,keep,,Physical findings: 1c. MUAC 2nd,Num,,,,
330,F4B_MUAC3,gems1a_case_control_study_data,keep,,Physical findings: 1c. MUAC 3rd,Num,,,,
331,F4B_MUAC,gems1a_case_control_study_data,keep,,Physical findings: Calculated mean MUAC,Num,,,,
332,F4B_MUAC_MEDIAN,gems1a_case_control_study_data,keep,,Physical findings: Calculated median MUAC,Num,,,,
333,F4B_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Physical findings: Arm circumference-for-age z score,Num,,,,
334,F4B_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _ZAC<-5 or _ZAC>5,0,,,,
335,F4B_MED_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Physical findings: Arm circumference-for-age z score (median ac),Num,,,,
336,F4B_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _ZAC<-5 or _ZAC>5 (median ac),0,,,,
337,F4B_BMI,gems1a_case_control_study_data,keep,,Physical findings: Calculated BMI=weight / squared(_CLENHEI),Num,,,,
338,F4B_BMIZ,gems1a_case_control_study_data,keep,,Physical findings: BMI-for-age z-score,Num,,,,
339,F4B_BMIZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _ZBMI<-5 or _ZBMI>5,0,,,,
340,F4B_MED_BMI,gems1a_case_control_study_data,keep,,Physical findings: Calculated BMI=weight / squared(_CLENHEI) (median ht),Num,,,,
341,F4B_MED_BMIZ,gems1a_case_control_study_data,keep,,Physical findings: BMI-for-age z-score (median ht),Num,,,,
342,F4B_MED_BMIZ_F,gems1a_case_control_study_data,keep,,Physical findings: Flag for _ZBMI<-5 or _ZBMI>5 (median ht),0,,,,
343,F4B_TEMP,gems1a_case_control_study_data,keep,,Physical findings: 1d. Axillary temperature,Num,,,,
344,F4B_RESP1,gems1a_case_control_study_data,keep,,Physical findings:  1e. Respiratory rate per minute 1st,Num,,,,
345,F4B_RESP2,gems1a_case_control_study_data,keep,,Physical findings:  1e. Respiratory rate per minute 2nd,Num,,,,
346,F4B_RESP,gems1a_case_control_study_data,keep,,Physical findings:  Calculated resp rate,Num,,,,
347,F4B_CHEST_INDRW,gems1a_case_control_study_data,keep,,Physical findings:  1f. Chest indrawing,0,,,,
348,F4B_EYES,gems1a_case_control_study_data,keep,,Physical findings: Eyes,0,,,,
349,F4B_MOUTH,gems1a_case_control_study_data,keep,,Physical findings: Mouth,0,,,,
350,F4B_SKIN,gems1a_case_control_study_data,keep,,Physical findings: Skin pinch,0,,,,
351,F4B_MENTAL,gems1a_case_control_study_data,keep,,Physical findings: Mental status,0,,,,
352,F4B_RECTAL,gems1a_case_control_study_data,keep,,Physical findings: Rectal prolapse,0,,,,
353,F4B_BIPEDAL,gems1a_case_control_study_data,keep,,Physical findings: Bipedal edema [Both feet],0,,,,
354,F4B_ABN_HAIR,gems1a_case_control_study_data,keep,,"Physical findings: Abnormal hair: sparse, loose, straight",0,,,,
355,F4B_UNDER_NUTR,gems1a_case_control_study_data,keep,,Physical findings: Undernutrition: wasted/very thin,0,,,,
356,F4B_SKIN_FLAKY,gems1a_case_control_study_data,keep,,Physical findings: Skin has 'flaky paint' appearance,0,,,,
357,F4B_OBSERVE_STOOL,gems1a_case_control_study_data,keep,,Did either the iterviewer or the study staff observe a stool sample from this child?,0,,,,
358,F4B_NATURE_STOOL,gems1a_case_control_study_data,keep,,"If yes, what was the nature of the stool?",0,,,,
359,F4B_CHILD_REHYD,gems1a_case_control_study_data,keep,,Does the child require rehydration,0,,,,
360,F4B_RECOMMEND,gems1a_case_control_study_data,keep,,Will child receive recommended rehydration at this hopsital/health center?,0,,,,
365,F4B_CHILD_EVAL,gems1a_case_control_study_data,keep,,Outcome 4hrs after starting rehydration: Was the child evaluated after 4 hours?,0,,,,
366,F4B_CHILD_EVAL_SPEC,gems1a_case_control_study_data,keep,,If not evaluated after 4 hours what was the reason?,Char,,,,
367,F4B_CHILD_COMP_REHYD,gems1a_case_control_study_data,keep,,Outcoe 4 hrs after starting rehydration: Was the child completely rehydrated?,,,,,
368,F4B_FIND_WT_CHILD,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight 4 hrs after caretaker + child,Num,,,,
369,F4B_FIND_WT_CARE,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight after 4 hrs caretaker alone,Num,,,,
370,F4B_FIND_WT,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight 4 hrs after child alone,Num,,,,
371,F4B_FIND_WEIGHT,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Calculated mean Weight 4 hrs after,Num,,,,
372,F4B_FIND_WAZ,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight-for-age z-score,Num,,,,
373,F4B_FIND_WAZ_F,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Flag for _ZWEI<-6 or _ZWEI>5,0,,,,
374,F4B_FIND_WHZ,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight-for-length/height z-score,Num,,,,
375,F4B_FIND_WHZ_F,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Flag for _WHZ<-5 or _WHZ>5,0,,,,
376,F4B_FIND_MED_WHZ,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Weight-for-length/height z-score (median ht),Num,,,,
377,F4B_FIND_MED_WHZ_F,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Flag for _ZWFL<-5 or _ZWFL>5 (median ht),0,,,,
378,F4B_FIND_MUAC_1,gems1a_case_control_study_data,keep,,4 hrs after. MUAC 1st,,,,,
379,F4B_FIND_MUAC_2,gems1a_case_control_study_data,keep,,4 hrs after. MUAC 2nd,,,,,
380,F4B_FIND_MUAC_3,gems1a_case_control_study_data,keep,,4 hrs after. MUAC 3rd,,,,,
381,F4B_FIND_MUAC,gems1a_case_control_study_data,keep,,4 hrs after: Calculated mean MUAC,,,,,
382,F4B_FIND_MUAC_MEDIAN,gems1a_case_control_study_data,keep,,4hrs after: Calculated median MUAC,,,,,
383,F4B_FIND_MUAC_AGEZ,gems1a_case_control_study_data,keep,,4 hrs after: Arm circumference-for-age z score,,,,,
384,F4B_FIND_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,4 hrs after: Flag for _ZAC<-5 or _ZAC>5,,,,,
385,F4B_FIND_MED_MUAC_AGEZ,gems1a_case_control_study_data,keep,,4 hrs after: Median Arm circumference-for-age z score,,,,,
386,F4B_FIND_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,4 hrs after: Flag for median _ZAC<-5 or _ZAC>5,,,,,
387,F4B_FIND_BMI,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Calculated BMI=weight / squared(_CLENHEI),Num,,,,
388,F4B_FIND_BMIZ,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: BMI-for-age z-score,Num,,,,
389,F4B_FIND_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Flag for _ZBMI<-5 or _ZBMI>5,0,,,,
390,F4B_FIND_MED_BMI,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Calculated BMI=weight / squared(_CLENHEI) (median ht),Num,,,,
391,F4B_FIND_MED_BMIZ,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: BMI-for-age z-score (median ht),Num,,,,
392,F4B_FIND_MED_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Flag for _ZBMI<-5 or _ZBMI>5 (median ht),0,,,,
393,F4B_FIND_MOUTH,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Mouth,0,,,,
394,F4B_SKIN_PINCH,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Skin pinch,0,,,,
395,F4B_CHILD_PURGE,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Did the child continue to purge large volumes of watery stool?,0,,,,
396,F4B_CHILD_OUTPUT,gems1a_case_control_study_data,keep,,Outcome 4 hrs After Rehyd: Was the total stool output within the last 4 hours measured?,0,,,,
397,F4B_VOLUME,gems1a_case_control_study_data,keep,,"Outcome 4hrs After Rehyd: If continued to purge large volumes of watery stool, what was the volume?",Num,,,,
398,F4B_CHILD_IV,gems1a_case_control_study_data,keep,,Outcome 4hrs After Rehyd: Does the child require additional oral/IV fluid for rehydration?,0,,,,
399,F4B_REHYD_HOSP,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Was the child completely rehydrated in the hospital?,0,,,,
400,F4B_REHYD_DATE,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Date of rehydration,Date,,,Yes,
401,F4B_REHYD_TIME,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Time or rehydration,Time,,,,
402,F4B_REHYD_WT_CHILD,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight of Caretaker + Child,Num,,,,
403,F4B_REHYD_WT_CARE,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight of Caretaker,Num,,,,
404,F4B_REHYD_WT,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight of Child Alone 24-59m,Num,,,,
405,F4B_REHYD_WEIGHT,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Calculated Weight Child,Num,,,,
406,F4B_REHYD_WAZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight for Age Z-score,Num,,,,
407,F4B_REHYD_WAZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Flag for _WAZ<-6 or _ZWAZ>5,0,,,,
408,F4B_REHYD_WHZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight for Height Z-score,Num,,,,
409,F4B_REHYD_WHZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Flag for WHZ<-5 or WHZ>5,0,,,,
410,F4B_REHYD_MED_WHZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Weight-for-length/height z-score (median ht),,,,,
411,F4B_REHYD_MED_WHZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Flag WHZ z-score <-5 WHZ>5 (median ht),0,,,,
412,F4B_REHYD_MUAC_1,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need. MUAC 1st,,,,,
413,F4B_REHYD_MUAC_2,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need. MUAC 2nd,,,,,
414,F4B_REHYD_MUAC_3,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need. MUAC 3rd,,,,,
415,F4B_REHYD_MUAC,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Calculated mean MUAC,,,,,
416,F4B_REHYD_MUAC_MEDIAN,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Needr: Calculated median MUAC,,,,,
417,F4B_REHYD_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Arm circumference-for-age z score,,,,,
418,F4B_REHYD_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Flag for _ZAC<-5 or _ZAC>5,,,,,
419,F4B_REHYD_MED_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Median Arm circumference-for-age z score,,,,,
420,F4B_REHYD_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: Flag for median _ZAC<-5 or _ZAC>5,,,,,
421,F4B_REHYD_BMI,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Calculated BMI=weight / squared(_CLENHEI),Num,,,,
422,F4B_REHYD_BMIZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Calculated BMI for Age Z-score ,Num,,,,
423,F4B_REHYD_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Flag Calculated BMI for Age Z-score <-5 or BMI Z >5,0,,,,
424,F4B_REHYD_MED_BMI,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Calculated BMI=weight / squared(_CLENHEI),Num,,,,
425,F4B_REHYD_MED_BMIZ,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Calculated BMI for Age Z-score (median ht),Num,,,,
426,F4B_REHYD_MED_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome if addl Rehyd Need: After Rehyd Flag Calculated BMI for Age Z-score (median ht) <-5 or BMI Z >5,0,,,,
427,F4B_DISCHARGE_DATE,gems1a_case_control_study_data,drop,,,,,,,
429,F4B_OUT_WT_CHILD,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Weight of Caretaker + Child,Num,,,,
430,F4B_OUT_WT_CARE,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center:  Weight of Caretaker,Num,,,,
431,F4B_OUT_WT,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center:  Weight of Child Alone 24-59m,Num,,,,
432,F4B_OUT_WEIGHT,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Calculated Weight Child,Num,,,,
433,F4B_OUT_WT_NA,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Weight NA,0,,,,
434,F4B_OUT_WAZ,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Weight for Age Z-score,,,,,
435,F4B_OUT_WAZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Flag for _WAZ<-6 or _ZWAZ>5,0,,,,
436,F4B_OUT_WHZ,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Weight for Height Z-score,Num,,,,
437,F4B_OUT_WHZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Flag for WHZ<-5 or WHZ>5,0,,,,
438,F4B_OUT_MED_WHZ,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Weight-for-length/height z-score (median ht),,,,,
439,F4B_OUT_MED_WHZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Flag WHZ z-score <-5 WHZ>5 (median ht),0,,,,
440,F4B_OUT_MUAC_1,gems1a_case_control_study_data,keep,,Outcome when Leaving. MUAC 1st,,,,,
441,F4B_OUT_MUAC_2,gems1a_case_control_study_data,keep,,Outcome when Leaving. MUAC 2nd,,,,,
442,F4B_OUT_MUAC_3,gems1a_case_control_study_data,keep,,Outcome when Leaving. MUAC 3rd,,,,,
443,F4B_OUT_MUAC_NA,gems1a_case_control_study_data,drop,,Outcome when Leaving: Calculated mean MUAC NA,,,,,
444,F4B_OUT_MUAC,gems1a_case_control_study_data,keep,,Outcome when Leaving: Calculated mean MUAC,,,,,
445,F4B_OUT_MUAC_MEDIAN,gems1a_case_control_study_data,keep,,Outcome when Leaving Calculated median MUAC,,,,,
446,F4B_OUT_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Outcome when Leaving: Arm circumference-for-age z score,,,,,
447,F4B_OUT_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving: Flag for _ZAC<-5 or _ZAC>5,,,,,
448,F4B_OUT_MED_MUAC_AGEZ,gems1a_case_control_study_data,keep,,Outcome when Leaving: Median Arm circumference-for-age z score,,,,,
449,F4B_OUT_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving: Flag for median _ZAC<-5 or _ZAC>5,,,,,
450,F4B_OUT_BMI,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Calculated BMI=weight / squared(_CLENHEI),Num,,,,
451,F4B_OUT_BMIZ,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Calculated BMI for Age Z-score ,Num,,,,
452,F4B_OUT_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center:After Rehyd Flag Calculated BMI for Age Z-score <-5 or BMI Z >5,0,,,,
453,F4B_OUT_MED_BMI,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Calculated BMI=weight / squared(_CLENHEI),Num,,,,
454,F4B_OUT_MED_BMIZ,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Calculated BMI for Age Z-score (median ht),Num,,,,
455,F4B_OUT_MED_BMIZ_F,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: After Rehyd Flag Calculated BMI for Age Z-score (median ht) <-5 or BMI Z >5,0,,,,
456,F4B_ADMIT,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Was the child admitted to the hospital?,0,,,,
457,F4B_OUTCOME_DAYS,gems1a_case_control_study_data,keep,,"Outcome when Leaving Hosp/Health Center: If admitted to the hospital, for how many days?",Num,,,,
458,F4B_HOSP,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Is the child still in hospital >60 days?,0,,,,
459,F4B_OUTCOME_DRH,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Diarrhrea,0,,,,
460,F4B_OUTCOME_DYS,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Dysentery,0,,,,
461,F4B_OUTCOME_PNEU,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Pneumonia/lower respiratory infection,0,,,,
462,F4B_OUTCOME_MNGTS,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Meningitis,0,,,,
463,F4B_OUTCOME_BACT,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Other invasive bacterial infection,0,,,,
464,F4B_OUTCOME_MALA,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Malaria,0,,,,
465,F4B_OUTCOME_MLNT,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Malnutrition,0,,,,
466,F4B_OUTCOME_TYPHOID,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Thyphoid,0,,,,
467,F4B_OUTCOME_OTHR,gems1a_case_control_study_data,keep,,Outcome when Leaving Hosp/Health Center: Other,0,,,,
468,F4B_OUTCOME_SPEC,gems1a_case_control_study_data,drop,,"Outcome when Leaving Hosp/Health Center: Other, specify",Char,,,,
469,F4B_TRT_PRES_ORS,gems1a_case_control_study_data,keep,,Given prescription for treatment at home: ORS,0,,,,
470,F4B_TRT_GIVE_ORS,gems1a_case_control_study_data,keep,,Treatment given in health center: ORS,0,,,,
471,F4B_TRT_PRES_IV,gems1a_case_control_study_data,keep,,Given prescription for treatment at home: Intravenous fluids,0,,,,
472,F4B_TRT_GIVE_IV,gems1a_case_control_study_data,keep,,Treatment given in health center: Intravenous fluids,0,,,,
473,F4B_TRT_PRES_CXL,gems1a_case_control_study_data,keep,,Given prescription for treatment at home: Cotrimoxazole,0,,,,
474,F4B_TRT_GIVE_CXL,gems1a_case_control_study_data,keep,,Treatment given in health center: Cotrimoxazole,0,,,,
