colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
12,temperature,crf9_mali project 1 data,keep,,Observation,Temperature,NA,,,,"-99, -99, Unknown
-77, -77, Missing",temperature,temperature|crf9_mali project 1 data,dbl,36.8,NA,NA,33 to 43.6,73,0,duplicated
13,temperature_site,crf9_mali project 1 data,keep,,Observation,NA,"1, no, Axillary
2, no, Tympanic (Ear)
3, no, Rectal
4, no, Oral
-77, no, Missing",,,,NA,temperature_site,temperature_site|crf9_mali project 1 data,int,NA,NA,NA,-77 to 2,3,0,duplicated
14,weight,crf9_mali project 1 data,keep,,Observation,Weight,NA,,,,"-99, -99, Unknown
-77, -77, Missing",weight,weight|crf9_mali project 1 data,dbl,88,NA,NA,3.3 to 136.6,914,0,duplicated
15,fever24,crf9_mali project 1 data,keep,,Observation,Fever in the previous 24 hours?,"1, no, Yes
0, no, No
-99, no, Unknown
-77, no, Missing",,,,NA,fever24,fever24|crf9_mali project 1 data,int,0,NA,NA,-77 to 1,3,0,duplicated
16,spleen,crf9_mali project 1 data,keep,,Observation,Spleen size:,NA,,,,"-99, -99, Unknown
-77, -77, Missing",spleen,spleen|crf9_mali project 1 data,int,0,NA,NA,0 to 6,7,0,duplicated
17,pregnant,crf9_mali project 1 data,keep,,Observation,Is the patient pregnant?,"1, no, Yes
0, no, No
-88, no, Cannot be pregnant (due to age or gender)
-77, no, Missing",,,,NA,pregnant,pregnant|crf9_mali project 1 data,int,-88,NA,NA,-88 to 1,4,0,duplicated
18,rdt,crf9_mali project 1 data,keep,,Sample,RDT Done,"1, no, Yes
0, no, No
-88, no, No symptoms
-77, no, Missing",,,,NA,RDT,rdt|crf9_mali project 1 data,int,0,NA,NA,-88 to 1,4,0,duplicated
19,rdt_hrp,crf9_mali project 1 data,keep,,Sample,RDT (HRP2) Positive,"1, no, Yes
0, no, No
-88, no, RDT not done
-77, no, Missing",,,,NA,RDT_HRP,rdt_hrp|crf9_mali project 1 data,int,-88,NA,NA,-88 to 1,4,0,duplicated
20,hbsample,crf9_mali project 1 data,keep,,Sample,F3_CRF1,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,hbsample,hbsample|crf9_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,duplicated
21,hemoglobin,crf9_mali project 1 data,keep,,Sample,F4_CRF1,NA,,,,"-99, -99, Unknown
-88, -88, Skip
-77, -77, Missing",hemoglobin,hemoglobin|crf9_mali project 1 data,dbl,15.6,NA,NA,2.8 to 19.9,140,0,duplicated
22,smear,crf9_mali project 1 data,keep,,Sample,F5_CRF1,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,smear,smear|crf9_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,duplicated
23,filter,crf9_mali project 1 data,keep,,Sample,F6_CRF1,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,filter,filter|crf9_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,duplicated
24,spots,crf9_mali project 1 data,keep,,Sample,F6_1_CRF1,"1, no, One
2, no, Two
-77, no, Missing",,,,NA,spots,spots|crf9_mali project 1 data,int,2,NA,NA,-77 to 2,3,0,duplicated
25,edta,crf9_mali project 1 data,keep,,Sample,F7_CRF1,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,EDTA,edta|crf9_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,duplicated
26,interviewer1,crf9_mali project 1 data,discard,,,"Initials of interviewer
(3 FIRST LETTERS OF FIRST AND LAST NAME)",NA,,,,NA,interviewer1,interviewer1|crf9_mali project 1 data,chr,nou tel,NA,NA,>10 unique values,31,0.002174947,NA
27,comments1,crf9_mali project 1 data,discard,,,NA,NA,,,,NA,comments1,comments1|crf9_mali project 1 data,chr,CPN,NA,NA,>10 unique values,73,0.99320329,NA
28,referenceid,crf9_mali project 1 data,discard,,,NA,NA,,,,NA,ReferenceID,referenceid|crf9_mali project 1 data,chr,m6-00005-80,NA,NA,>10 unique values,3524,0,NA
29,projectspecificid,crf9_mali project 1 data,keep,,Participant,NA,NA,,,,NA,ProjectSpecificID,projectspecificid|crf9_mali project 1 data,chr,m161138-18,NA,NA,>10 unique values,3524,0,NA
30,subjid,crf9_mali project 1 data,discard,,,NA,NA,,,,NA,subjID,subjid|crf9_mali project 1 data,chr,m161138-18,NA,NA,>10 unique values,3515,0.001427309,duplicated
31,intervalname,crf9_mali project 1 data,keep,,Observation,NA,NA,,,,NA,IntervalName,intervalname|crf9_mali project 1 data,chr,Visit 2,NA,NA,"Jun-15, Jun-16, Nov-15, Nov-Dec 2016, Visit 2, Visit 3, Visit 4, Visit 5",8,0,NA
32,participantid,crf9_mali project 1 data,discard,,,NA,NA,,,,NA,participantID,participantid|crf9_mali project 1 data,chr,m161138-18,NA,NA,>10 unique values,3524,0,duplicated
