variable	IRI	values	mappedTerm
BC3_Household_Survey_Data.dta::entopn2	BC3_Household_Survey_Data.dta::entopn2	-9	Skipped
BC3_Household_Survey_Data.dta::entopn2	BC3_Household_Survey_Data.dta::entopn2	1	Yes
BC3_Household_Survey_Data.dta::entopn2	BC3_Household_Survey_Data.dta::entopn2	2	No
BC3_Household_Survey_Data.dta::entcov2	BC3_Household_Survey_Data.dta::entcov2	-9	Skipped
BC3_Household_Survey_Data.dta::entcov2	BC3_Household_Survey_Data.dta::entcov2	1	Covered
BC3_Household_Survey_Data.dta::entcov2	BC3_Household_Survey_Data.dta::entcov2	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov2	BC3_Household_Survey_Data.dta::entcov2	3	Open
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	-9	Skipped
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	1	Wood
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	2	Screen
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	3	Metal
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	4	Cloth
BC3_Household_Survey_Data.dta::etmm2	BC3_Household_Survey_Data.dta::etmm2	5	Other
BC3_Household_Survey_Data.dta::entopn3	BC3_Household_Survey_Data.dta::entopn3	-9	Skipped
BC3_Household_Survey_Data.dta::entopn3	BC3_Household_Survey_Data.dta::entopn3	1	Yes
BC3_Household_Survey_Data.dta::entopn3	BC3_Household_Survey_Data.dta::entopn3	2	No
BC3_Household_Survey_Data.dta::entcov3	BC3_Household_Survey_Data.dta::entcov3	-9	Skipped
BC3_Household_Survey_Data.dta::entcov3	BC3_Household_Survey_Data.dta::entcov3	1	Covered
BC3_Household_Survey_Data.dta::entcov3	BC3_Household_Survey_Data.dta::entcov3	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov3	BC3_Household_Survey_Data.dta::entcov3	3	Open
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	-9	Skipped
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	1	Wood
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	2	Screen
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	3	Metal
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	4	Cloth
BC3_Household_Survey_Data.dta::etmm3	BC3_Household_Survey_Data.dta::etmm3	5	Other
BC3_Household_Survey_Data.dta::entopn4	BC3_Household_Survey_Data.dta::entopn4	-9	Skipped
BC3_Household_Survey_Data.dta::entopn4	BC3_Household_Survey_Data.dta::entopn4	1	Yes
BC3_Household_Survey_Data.dta::entopn4	BC3_Household_Survey_Data.dta::entopn4	2	No
BC3_Household_Survey_Data.dta::entcov4	BC3_Household_Survey_Data.dta::entcov4	-9	Skipped
BC3_Household_Survey_Data.dta::entcov4	BC3_Household_Survey_Data.dta::entcov4	1	Covered
BC3_Household_Survey_Data.dta::entcov4	BC3_Household_Survey_Data.dta::entcov4	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov4	BC3_Household_Survey_Data.dta::entcov4	3	Open
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	-9	Skipped
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	1	Wood
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	2	Screen
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	3	Metal
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	4	Cloth
BC3_Household_Survey_Data.dta::etmm4	BC3_Household_Survey_Data.dta::etmm4	5	Other
BC3_Household_Survey_Data.dta::entopn5	BC3_Household_Survey_Data.dta::entopn5	-9	Skipped
BC3_Household_Survey_Data.dta::entopn5	BC3_Household_Survey_Data.dta::entopn5	1	Yes
BC3_Household_Survey_Data.dta::entopn5	BC3_Household_Survey_Data.dta::entopn5	2	No
BC3_Household_Survey_Data.dta::entcov5	BC3_Household_Survey_Data.dta::entcov5	-9	Skipped
BC3_Household_Survey_Data.dta::entcov5	BC3_Household_Survey_Data.dta::entcov5	1	Covered
BC3_Household_Survey_Data.dta::entcov5	BC3_Household_Survey_Data.dta::entcov5	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov5	BC3_Household_Survey_Data.dta::entcov5	3	Open
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	-9	Skipped
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	1	Wood
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	2	Screen
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	3	Metal
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	4	Cloth
BC3_Household_Survey_Data.dta::etmm5	BC3_Household_Survey_Data.dta::etmm5	5	Other
BC3_Household_Survey_Data.dta::entopn6	BC3_Household_Survey_Data.dta::entopn6	-9	Skipped
BC3_Household_Survey_Data.dta::entopn6	BC3_Household_Survey_Data.dta::entopn6	1	Yes
BC3_Household_Survey_Data.dta::entopn6	BC3_Household_Survey_Data.dta::entopn6	2	No
BC3_Household_Survey_Data.dta::entcov6	BC3_Household_Survey_Data.dta::entcov6	-9	Skipped
BC3_Household_Survey_Data.dta::entcov6	BC3_Household_Survey_Data.dta::entcov6	1	Covered
BC3_Household_Survey_Data.dta::entcov6	BC3_Household_Survey_Data.dta::entcov6	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov6	BC3_Household_Survey_Data.dta::entcov6	3	Open
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	-9	Skipped
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	1	Wood
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	2	Screen
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	3	Metal
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	4	Cloth
BC3_Household_Survey_Data.dta::etmm6	BC3_Household_Survey_Data.dta::etmm6	5	Other
BC3_Household_Survey_Data.dta::entopn7	BC3_Household_Survey_Data.dta::entopn7	-9	Skipped
BC3_Household_Survey_Data.dta::entopn7	BC3_Household_Survey_Data.dta::entopn7	1	Yes
BC3_Household_Survey_Data.dta::entopn7	BC3_Household_Survey_Data.dta::entopn7	2	No
BC3_Household_Survey_Data.dta::entcov7	BC3_Household_Survey_Data.dta::entcov7	-9	Skipped
BC3_Household_Survey_Data.dta::entcov7	BC3_Household_Survey_Data.dta::entcov7	1	Covered
BC3_Household_Survey_Data.dta::entcov7	BC3_Household_Survey_Data.dta::entcov7	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov7	BC3_Household_Survey_Data.dta::entcov7	3	Open
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	-9	Skipped
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	1	Wood
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	2	Screen
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	3	Metal
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	4	Cloth
BC3_Household_Survey_Data.dta::etmm7	BC3_Household_Survey_Data.dta::etmm7	5	Other
BC3_Household_Survey_Data.dta::entopn8	BC3_Household_Survey_Data.dta::entopn8	-9	Skipped
BC3_Household_Survey_Data.dta::entopn8	BC3_Household_Survey_Data.dta::entopn8	1	Yes
BC3_Household_Survey_Data.dta::entopn8	BC3_Household_Survey_Data.dta::entopn8	2	No
BC3_Household_Survey_Data.dta::entcov8	BC3_Household_Survey_Data.dta::entcov8	-9	Skipped
BC3_Household_Survey_Data.dta::entcov8	BC3_Household_Survey_Data.dta::entcov8	1	Covered
BC3_Household_Survey_Data.dta::entcov8	BC3_Household_Survey_Data.dta::entcov8	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov8	BC3_Household_Survey_Data.dta::entcov8	3	Open
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	-9	Skipped
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	1	Wood
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	2	Screen
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	3	Metal
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	4	Cloth
BC3_Household_Survey_Data.dta::etmm8	BC3_Household_Survey_Data.dta::etmm8	5	Other
BC3_Household_Survey_Data.dta::entopn9	BC3_Household_Survey_Data.dta::entopn9	-9	Skipped
BC3_Household_Survey_Data.dta::entopn9	BC3_Household_Survey_Data.dta::entopn9	1	Yes
BC3_Household_Survey_Data.dta::entopn9	BC3_Household_Survey_Data.dta::entopn9	2	No
BC3_Household_Survey_Data.dta::entcov9	BC3_Household_Survey_Data.dta::entcov9	-9	Skipped
BC3_Household_Survey_Data.dta::entcov9	BC3_Household_Survey_Data.dta::entcov9	1	Covered
BC3_Household_Survey_Data.dta::entcov9	BC3_Household_Survey_Data.dta::entcov9	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov9	BC3_Household_Survey_Data.dta::entcov9	3	Open
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	-9	Skipped
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	1	Wood
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	2	Screen
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	3	Metal
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	4	Cloth
BC3_Household_Survey_Data.dta::etmm9	BC3_Household_Survey_Data.dta::etmm9	5	Other
BC3_Household_Survey_Data.dta::entopn10	BC3_Household_Survey_Data.dta::entopn10	-9	Skipped
BC3_Household_Survey_Data.dta::entopn10	BC3_Household_Survey_Data.dta::entopn10	1	Yes
BC3_Household_Survey_Data.dta::entopn10	BC3_Household_Survey_Data.dta::entopn10	2	No
BC3_Household_Survey_Data.dta::entcov10	BC3_Household_Survey_Data.dta::entcov10	-9	Skipped
BC3_Household_Survey_Data.dta::entcov10	BC3_Household_Survey_Data.dta::entcov10	1	Covered
BC3_Household_Survey_Data.dta::entcov10	BC3_Household_Survey_Data.dta::entcov10	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov10	BC3_Household_Survey_Data.dta::entcov10	3	Open
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	-9	Skipped
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	1	Wood
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	2	Screen
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	3	Metal
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	4	Cloth
BC3_Household_Survey_Data.dta::etmm10	BC3_Household_Survey_Data.dta::etmm10	5	Other
BC3_Household_Survey_Data.dta::entopn11	BC3_Household_Survey_Data.dta::entopn11	-9	Skipped
BC3_Household_Survey_Data.dta::entopn11	BC3_Household_Survey_Data.dta::entopn11	1	Yes
BC3_Household_Survey_Data.dta::entopn11	BC3_Household_Survey_Data.dta::entopn11	2	No
BC3_Household_Survey_Data.dta::entcov11	BC3_Household_Survey_Data.dta::entcov11	-9	Skipped
BC3_Household_Survey_Data.dta::entcov11	BC3_Household_Survey_Data.dta::entcov11	1	Covered
BC3_Household_Survey_Data.dta::entcov11	BC3_Household_Survey_Data.dta::entcov11	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov11	BC3_Household_Survey_Data.dta::entcov11	3	Open
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	-9	Skipped
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	1	Wood
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	2	Screen
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	3	Metal
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	4	Cloth
BC3_Household_Survey_Data.dta::etmm11	BC3_Household_Survey_Data.dta::etmm11	5	Other
BC3_Household_Survey_Data.dta::entopn12	BC3_Household_Survey_Data.dta::entopn12	-9	Skipped
BC3_Household_Survey_Data.dta::entopn12	BC3_Household_Survey_Data.dta::entopn12	1	Yes
BC3_Household_Survey_Data.dta::entopn12	BC3_Household_Survey_Data.dta::entopn12	2	No
BC3_Household_Survey_Data.dta::entcov12	BC3_Household_Survey_Data.dta::entcov12	-9	Skipped
BC3_Household_Survey_Data.dta::entcov12	BC3_Household_Survey_Data.dta::entcov12	1	Covered
BC3_Household_Survey_Data.dta::entcov12	BC3_Household_Survey_Data.dta::entcov12	2	Partially Covered
BC3_Household_Survey_Data.dta::entcov12	BC3_Household_Survey_Data.dta::entcov12	3	Open
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	-9	Skipped
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	1	Wood
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	2	Screen
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	3	Metal
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	4	Cloth
BC3_Household_Survey_Data.dta::etmm12	BC3_Household_Survey_Data.dta::etmm12	5	Other
BC3_Household_Survey_Data.dta::wndcov1	BC3_Household_Survey_Data.dta::wndcov1	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov1	BC3_Household_Survey_Data.dta::wndcov1	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov1	BC3_Household_Survey_Data.dta::wndcov1	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov1	BC3_Household_Survey_Data.dta::wndcov1	3	Open
BC3_Household_Survey_Data.dta::wndopn1	BC3_Household_Survey_Data.dta::wndopn1	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn1	BC3_Household_Survey_Data.dta::wndopn1	1	Yes
BC3_Household_Survey_Data.dta::wndopn1	BC3_Household_Survey_Data.dta::wndopn1	2	No
BC3_Household_Survey_Data.dta::wndcov2	BC3_Household_Survey_Data.dta::wndcov2	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov2	BC3_Household_Survey_Data.dta::wndcov2	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov2	BC3_Household_Survey_Data.dta::wndcov2	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov2	BC3_Household_Survey_Data.dta::wndcov2	3	Open
BC3_Household_Survey_Data.dta::wndopn2	BC3_Household_Survey_Data.dta::wndopn2	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn2	BC3_Household_Survey_Data.dta::wndopn2	1	Yes
BC3_Household_Survey_Data.dta::wndopn2	BC3_Household_Survey_Data.dta::wndopn2	2	No
BC3_Household_Survey_Data.dta::wndcov3	BC3_Household_Survey_Data.dta::wndcov3	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov3	BC3_Household_Survey_Data.dta::wndcov3	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov3	BC3_Household_Survey_Data.dta::wndcov3	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov3	BC3_Household_Survey_Data.dta::wndcov3	3	Open
BC3_Household_Survey_Data.dta::wndopn3	BC3_Household_Survey_Data.dta::wndopn3	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn3	BC3_Household_Survey_Data.dta::wndopn3	1	Yes
BC3_Household_Survey_Data.dta::wndopn3	BC3_Household_Survey_Data.dta::wndopn3	2	No
BC3_Household_Survey_Data.dta::wndcov4	BC3_Household_Survey_Data.dta::wndcov4	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov4	BC3_Household_Survey_Data.dta::wndcov4	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov4	BC3_Household_Survey_Data.dta::wndcov4	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov4	BC3_Household_Survey_Data.dta::wndcov4	3	Open
BC3_Household_Survey_Data.dta::wndopn4	BC3_Household_Survey_Data.dta::wndopn4	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn4	BC3_Household_Survey_Data.dta::wndopn4	1	Yes
BC3_Household_Survey_Data.dta::wndopn4	BC3_Household_Survey_Data.dta::wndopn4	2	No
BC3_Household_Survey_Data.dta::wndcov5	BC3_Household_Survey_Data.dta::wndcov5	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov5	BC3_Household_Survey_Data.dta::wndcov5	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov5	BC3_Household_Survey_Data.dta::wndcov5	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov5	BC3_Household_Survey_Data.dta::wndcov5	3	Open
BC3_Household_Survey_Data.dta::wndopn5	BC3_Household_Survey_Data.dta::wndopn5	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn5	BC3_Household_Survey_Data.dta::wndopn5	1	Yes
BC3_Household_Survey_Data.dta::wndopn5	BC3_Household_Survey_Data.dta::wndopn5	2	No
BC3_Household_Survey_Data.dta::wndcov6	BC3_Household_Survey_Data.dta::wndcov6	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov6	BC3_Household_Survey_Data.dta::wndcov6	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov6	BC3_Household_Survey_Data.dta::wndcov6	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov6	BC3_Household_Survey_Data.dta::wndcov6	3	Open
BC3_Household_Survey_Data.dta::wndopn6	BC3_Household_Survey_Data.dta::wndopn6	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn6	BC3_Household_Survey_Data.dta::wndopn6	1	Yes
BC3_Household_Survey_Data.dta::wndopn6	BC3_Household_Survey_Data.dta::wndopn6	2	No
BC3_Household_Survey_Data.dta::wndcov7	BC3_Household_Survey_Data.dta::wndcov7	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov7	BC3_Household_Survey_Data.dta::wndcov7	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov7	BC3_Household_Survey_Data.dta::wndcov7	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov7	BC3_Household_Survey_Data.dta::wndcov7	3	Open
BC3_Household_Survey_Data.dta::wndopn7	BC3_Household_Survey_Data.dta::wndopn7	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn7	BC3_Household_Survey_Data.dta::wndopn7	1	Yes
BC3_Household_Survey_Data.dta::wndopn7	BC3_Household_Survey_Data.dta::wndopn7	2	No
BC3_Household_Survey_Data.dta::wndcov8	BC3_Household_Survey_Data.dta::wndcov8	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov8	BC3_Household_Survey_Data.dta::wndcov8	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov8	BC3_Household_Survey_Data.dta::wndcov8	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov8	BC3_Household_Survey_Data.dta::wndcov8	3	Open
BC3_Household_Survey_Data.dta::wndopn8	BC3_Household_Survey_Data.dta::wndopn8	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn8	BC3_Household_Survey_Data.dta::wndopn8	1	Yes
BC3_Household_Survey_Data.dta::wndopn8	BC3_Household_Survey_Data.dta::wndopn8	2	No
BC3_Household_Survey_Data.dta::wndcov9	BC3_Household_Survey_Data.dta::wndcov9	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov9	BC3_Household_Survey_Data.dta::wndcov9	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov9	BC3_Household_Survey_Data.dta::wndcov9	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov9	BC3_Household_Survey_Data.dta::wndcov9	3	Open
BC3_Household_Survey_Data.dta::wndopn9	BC3_Household_Survey_Data.dta::wndopn9	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn9	BC3_Household_Survey_Data.dta::wndopn9	1	Yes
BC3_Household_Survey_Data.dta::wndopn9	BC3_Household_Survey_Data.dta::wndopn9	2	No
BC3_Household_Survey_Data.dta::wndcov10	BC3_Household_Survey_Data.dta::wndcov10	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov10	BC3_Household_Survey_Data.dta::wndcov10	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov10	BC3_Household_Survey_Data.dta::wndcov10	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov10	BC3_Household_Survey_Data.dta::wndcov10	3	Open
BC3_Household_Survey_Data.dta::wndopn10	BC3_Household_Survey_Data.dta::wndopn10	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn10	BC3_Household_Survey_Data.dta::wndopn10	1	Yes
BC3_Household_Survey_Data.dta::wndopn10	BC3_Household_Survey_Data.dta::wndopn10	2	No
BC3_Household_Survey_Data.dta::wndcov11	BC3_Household_Survey_Data.dta::wndcov11	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov11	BC3_Household_Survey_Data.dta::wndcov11	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov11	BC3_Household_Survey_Data.dta::wndcov11	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov11	BC3_Household_Survey_Data.dta::wndcov11	3	Open
BC3_Household_Survey_Data.dta::wndopn11	BC3_Household_Survey_Data.dta::wndopn11	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn11	BC3_Household_Survey_Data.dta::wndopn11	1	Yes
BC3_Household_Survey_Data.dta::wndopn11	BC3_Household_Survey_Data.dta::wndopn11	2	No
BC3_Household_Survey_Data.dta::wndcov12	BC3_Household_Survey_Data.dta::wndcov12	-9	Skipped
BC3_Household_Survey_Data.dta::wndcov12	BC3_Household_Survey_Data.dta::wndcov12	1	Completely Covered
BC3_Household_Survey_Data.dta::wndcov12	BC3_Household_Survey_Data.dta::wndcov12	2	Partially Covered
BC3_Household_Survey_Data.dta::wndcov12	BC3_Household_Survey_Data.dta::wndcov12	3	Open
BC3_Household_Survey_Data.dta::wndopn12	BC3_Household_Survey_Data.dta::wndopn12	-9	Skipped
BC3_Household_Survey_Data.dta::wndopn12	BC3_Household_Survey_Data.dta::wndopn12	1	Yes
BC3_Household_Survey_Data.dta::wndopn12	BC3_Household_Survey_Data.dta::wndopn12	2	No
BC3_Household_Survey_Data.dta::sreaves	BC3_Household_Survey_Data.dta::sreaves	-9	Skipped
BC3_Household_Survey_Data.dta::sreaves	BC3_Household_Survey_Data.dta::sreaves	1	Yes
BC3_Household_Survey_Data.dta::sreaves	BC3_Household_Survey_Data.dta::sreaves	2	No
BC3_Household_Survey_Data.dta::sreaves	BC3_Household_Survey_Data.dta::sreaves	8	Don't know
BC3_Household_Survey_Data.dta::sreaves	BC3_Household_Survey_Data.dta::sreaves	9	Refused
BC3_Household_Survey_Data.dta::eavescov	BC3_Household_Survey_Data.dta::eavescov	-9	Skipped
BC3_Household_Survey_Data.dta::eavescov	BC3_Household_Survey_Data.dta::eavescov	1	Completely Covered
BC3_Household_Survey_Data.dta::eavescov	BC3_Household_Survey_Data.dta::eavescov	2	Partially Covered
BC3_Household_Survey_Data.dta::eavescov	BC3_Household_Survey_Data.dta::eavescov	3	Open
BC3_Household_Survey_Data.dta::eavesopn	BC3_Household_Survey_Data.dta::eavesopn	-9	Skipped
BC3_Household_Survey_Data.dta::eavesopn	BC3_Household_Survey_Data.dta::eavesopn	1	Yes
BC3_Household_Survey_Data.dta::eavesopn	BC3_Household_Survey_Data.dta::eavesopn	2	Partially
BC3_Household_Survey_Data.dta::eavesopn	BC3_Household_Survey_Data.dta::eavesopn	3	No
BC3_Household_Survey_Data.dta::airbrick	BC3_Household_Survey_Data.dta::airbrick	-9	Skipped
BC3_Household_Survey_Data.dta::airbrick	BC3_Household_Survey_Data.dta::airbrick	1	Yes
BC3_Household_Survey_Data.dta::airbrick	BC3_Household_Survey_Data.dta::airbrick	2	No
BC3_Household_Survey_Data.dta::airbrick	BC3_Household_Survey_Data.dta::airbrick	8	Don't know
BC3_Household_Survey_Data.dta::airbrick	BC3_Household_Survey_Data.dta::airbrick	9	Refused
BC3_Household_Survey_Data.dta::airbrcov	BC3_Household_Survey_Data.dta::airbrcov	-9	Skipped
BC3_Household_Survey_Data.dta::airbrcov	BC3_Household_Survey_Data.dta::airbrcov	1	Completely Covered
BC3_Household_Survey_Data.dta::airbrcov	BC3_Household_Survey_Data.dta::airbrcov	2	Partially Covered
BC3_Household_Survey_Data.dta::airbrcov	BC3_Household_Survey_Data.dta::airbrcov	3	Open
BC3_Household_Survey_Data.dta::airbropn	BC3_Household_Survey_Data.dta::airbropn	-9	Skipped
BC3_Household_Survey_Data.dta::airbropn	BC3_Household_Survey_Data.dta::airbropn	1	Yes
BC3_Household_Survey_Data.dta::airbropn	BC3_Household_Survey_Data.dta::airbropn	2	Partially
BC3_Household_Survey_Data.dta::airbropn	BC3_Household_Survey_Data.dta::airbropn	3	No
BC3_Household_Survey_Data.dta::airbrnum	BC3_Household_Survey_Data.dta::airbrnum	-9	Skipped
BC3_Household_Survey_Data.dta::airbrnum	BC3_Household_Survey_Data.dta::airbrnum	1	3-Jan
BC3_Household_Survey_Data.dta::airbrnum	BC3_Household_Survey_Data.dta::airbrnum	2	6-Apr
BC3_Household_Survey_Data.dta::airbrnum	BC3_Household_Survey_Data.dta::airbrnum	3	6+
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	-9	skipped
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	1	Directly on the ground
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	2	On a mattress/mat on the ground
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	3	On a bed/platform raised off the ground
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	4	Hanging hammock
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	5	Other
BC3_Household_Survey_Data.dta::sleep	BC3_Household_Survey_Data.dta::sleep	99	No response
BC3_Household_Survey_Data.dta::hhamnets	BC3_Household_Survey_Data.dta::hhamnets	-9	Skipped
BC3_Household_Survey_Data.dta::hhamnets	BC3_Household_Survey_Data.dta::hhamnets	1	Yes
BC3_Household_Survey_Data.dta::hhamnets	BC3_Household_Survey_Data.dta::hhamnets	2	No
BC3_Household_Survey_Data.dta::hhamnets	BC3_Household_Survey_Data.dta::hhamnets	8	Don't know
BC3_Household_Survey_Data.dta::hhamnets	BC3_Household_Survey_Data.dta::hhamnets	9	Refused
BC3_Household_Survey_Data.dta::wheren1	BC3_Household_Survey_Data.dta::wheren1	-9	skipped
BC3_Household_Survey_Data.dta::wheren1	BC3_Household_Survey_Data.dta::wheren1	1	Gov't hospital
