IRI,dataSet,label,parent,definition,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0015446,GEMS1 Case Control,"Shigella flexneri serotype 2B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015446,GEMS1A Case Control,"Shigella flexneri serotype 2B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 2B,0
http://purl.obolibrary.org/obo/EUPATH_0015447,GEMS1 Case Control,"Shigella flexneri serotype 3A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015447,GEMS1A Case Control,"Shigella flexneri serotype 3A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 3A,0
http://purl.obolibrary.org/obo/EUPATH_0015448,GEMS1 Case Control,"Shigella flexneri serotype 3B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015448,GEMS1A Case Control,"Shigella flexneri serotype 3B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 3B,0
http://purl.obolibrary.org/obo/EUPATH_0015449,GEMS1A Case Control,"Shigella flexneri 3C, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Shigella flexneri serotype 3c,
http://purl.obolibrary.org/obo/EUPATH_0015450,GEMS1A Case Control,"Shigella flexneri 7A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri serotype 7A,
http://purl.obolibrary.org/obo/EUPATH_0015461,GEMS1A Case Control,"Vibrio cholerae O1 El Tor, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria isolated: Vibrio cholerae O1 El tor class,1
http://purl.obolibrary.org/obo/EUPATH_0015462,GEMS1A Case Control,"Vibrio cholerae O1, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio cholerae O1 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0015463,GEMS1A Case Control,"Vibrio cholerae O139, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio cholerae O139 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0015464,GEMS1A Case Control,"Vibrio cholerae Inaba or Ogawa, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria isolated: Vibrio 01,1
http://purl.obolibrary.org/obo/EUPATH_0032201,PERCH Case Control,"Acinetobacter, by culture",http://purl.obolibrary.org/obo/EUPATH_0033294,,Acinetobacter Species blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032202,PERCH Case Control,"Any bacteria, by culture",http://purl.obolibrary.org/obo/EUPATH_0033293,,Any bacteria blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032203,PERCH Case Control,"Any noncontaminant bacteria, by culture",http://purl.obolibrary.org/obo/EUPATH_0033293,,Any noncontaminant bacteria blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032204,PERCH Case Control,"Enterobacter cloacae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033296,,Enterobacter Cloacae blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032205,PERCH Case Control,"Enterobacteriaceae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033293,"E. coli, Klebsiella pneumoniae, and/or Enterobacter cloacae","Enterobacteriaceae on blood culture (organism grouping; E. coli, Klebsiella pneumoniae, Enterobacter cloacae)",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032206,PERCH Case Control,"Enterococcus faecium, by culture",http://purl.obolibrary.org/obo/EUPATH_0033297,,Enterococcus Faecium blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032207,PERCH Case Control,"Escherichia coli, by culture",http://purl.obolibrary.org/obo/EUPATH_0033298,,Escherichia Coli blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032209,PERCH Case Control,"Haemophilus influenzae serotype, by culture result",http://purl.obolibrary.org/obo/EUPATH_0021001,Serotype determined by blood culture.,BCx HINF final ST,
http://purl.obolibrary.org/obo/EUPATH_0032212,PERCH Case Control,"Haemophilus influenzae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033303,,Haemophilus Influenzae blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032213,PERCH Case Control,"Klebsiella pneumoniae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033299,,Klebsiella Pneumoniae blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032214,PERCH Case Control,"Moraxella catarrhalis (Branhamella catarrhalis), by culture",http://purl.obolibrary.org/obo/EUPATH_0033300,,Morexella (Branhamella) Catarrhalis blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032215,PERCH Case Control,"Neisseria meningitidis, by culture",http://purl.obolibrary.org/obo/EUPATH_0033301,,Neisseria Meningitidis blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032216,PERCH Case Control,"Other non-fermentative gram-negative rods, by culture",http://purl.obolibrary.org/obo/EUPATH_0033293,"Acinetobacter, Pseudomonas aeroginosa, Pseudomonas species, Pasteurella species, and/or Pseudomonas stutzeri","Other non-fermentative gram-negative rods on blood culture (organism grouping: Acinetobacter, Pseudomonas aeroginosa, Pseudomonas species, Pasteurella species, Pseudomonas stutzeri)",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032217,PERCH Case Control,"Other Streptococci and Enterobacteriaceae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033293,Entercoccus faecium and/or Streptococcus Group A,"Other Streptococci and Enterobacteriaceae on blood culture (organism grouping: Entercoccus faecium, Streptococcus Group A)",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032218,PERCH Case Control,"Pseudomonas aeruginosa, by culture",http://purl.obolibrary.org/obo/EUPATH_0033306,,Pseudomonas Aeruginosa blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032219,PERCH Case Control,"Salmonella Paratyphi A, by culture",http://purl.obolibrary.org/obo/EUPATH_0033304,,Salmonella Paratyphi A blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032220,PERCH Case Control,"Salmonella except Paratyphi A or Typhi, by culture",http://purl.obolibrary.org/obo/EUPATH_0033304,,Salmonella Species blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032221,PERCH Case Control,"Salmonella typhi, by culture",http://purl.obolibrary.org/obo/EUPATH_0033304,,Salmonella Typhi blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032222,PERCH Case Control,"Salmonella, by culture",http://purl.obolibrary.org/obo/EUPATH_0033304,"Salmonella species, Salmonella typhi, and/or Salmonella paratyphi A","Salmonella spp on blood culture (organism grouping: Salmonella species, Salmonella typhi, Salmonella paratyphi A)",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032223,PERCH Case Control,"Staphylococcus aureus, by culture",http://purl.obolibrary.org/obo/EUPATH_0033302,,Staphylococcus Aureus blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032224,PERCH Case Control,"Streptococcus group A (Streptococcus pyogenes), by culture",http://purl.obolibrary.org/obo/EUPATH_0033305,,Streptococcus Group A (Pyogenes) blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032247,PERCH Case Control,"Streptococcus pneumoniae serotype, by culture result",http://purl.obolibrary.org/obo/EUPATH_0021001,Serotype determined by blood culture. Final serotyping result incorporating confirmatory testing by central laboratory and microarray testing (if available).,BCx ST 1 final,
http://purl.obolibrary.org/obo/EUPATH_0032248,PERCH Case Control,"Streptococcus pneumoniae, by culture",http://purl.obolibrary.org/obo/EUPATH_0033305,,Streptococcus Pneumoniae blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032249,PERCH Case Control,"Candida albicans, by culture",http://purl.obolibrary.org/obo/EUPATH_0033295,,Candida Albicans blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032250,PERCH Case Control,"Candida, by culture",http://purl.obolibrary.org/obo/EUPATH_0033295,,Candida Species blood culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032251,PERCH Case Control,"Fungi, by culture",http://purl.obolibrary.org/obo/EUPATH_0033307,"Candida species, Candida albicans, and/or Candida parapsilosis","Fungi on blood culture (organism grouping: Candida species, Candida albicans, Candida parapsilosis)",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032258,PERCH Case Control,"Acinetobacter baumannii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter baumannii induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032259,PERCH Case Control,"Acinetobacter baumannii, by culture",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter Baumannii induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032260,PERCH Case Control,"Acinetobacter calcoaceticus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter calcoaceticus induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032261,PERCH Case Control,"Acinetobacter calcoaceticus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter Calcoaceticus induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032262,PERCH Case Control,"Acinetobacter lwoffii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter lwoffii induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032263,PERCH Case Control,"Acinetobacter lwoffii, by culture",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter Lwoffii induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032264,PERCH Case Control,"Acinetobacter, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032265,PERCH Case Control,"Acinetobacter, by culture",http://purl.obolibrary.org/obo/EUPATH_0032131,,Acinetobacter Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032266,PERCH Case Control,"Aeromonas hydrophila, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032132,,Aeromonas hydrophila induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032267,PERCH Case Control,"Aeromonas hydrophila, by culture",http://purl.obolibrary.org/obo/EUPATH_0032132,,Aeromonas Hydrophila induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032268,PERCH Case Control,"Agregattibacter aphrophilus (Haemophilus aphrophilus), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032133,,Agregattibacter (haemophilus) aphrophilus induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032269,PERCH Case Control,"Agregattibacter aphrophilus (Haemophilus aphrophilus), by culture",http://purl.obolibrary.org/obo/EUPATH_0032133,,Agregattibacter (Haemophilus) Aphrophilus induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032270,PERCH Case Control,"Alpha-hemolytic Streptococcus (viridans), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032177,,Streptococcus alpha-haemolytic (viridans) induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032271,PERCH Case Control,"Alpha-hemolytic Streptococcus (viridans), by culture",http://purl.obolibrary.org/obo/EUPATH_0032177,,"Streptococcus, Alpha-Haemolytic (Viridans) induced sputum culture positive",0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032272,PERCH Case Control,"Any noncontaminant bacteria, by culture",http://purl.obolibrary.org/obo/EUPATH_0032002,,Any noncontaminant bacteria induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032274,PERCH Case Control,"Beta-hemolytic Streptococcus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032177,,Streptococcus beta-haemolytic induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032275,PERCH Case Control,"Beta-hemolytic Streptococcus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032177,,Streptococcus Beta-Haemolytic induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032277,PERCH Case Control,"Burkholderia cepacia, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032136,,Burkholderia cepacia induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032278,PERCH Case Control,"Burkholderia cepacia, by culture",http://purl.obolibrary.org/obo/EUPATH_0032136,,Burkholderia Cepacia induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032280,PERCH Case Control,"Citrobacter braakii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032137,,CBRA ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032281,PERCH Case Control,"Citrobacter braakii, by culture",http://purl.obolibrary.org/obo/EUPATH_0032137,,Citrobacter Braakii induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032282,PERCH Case Control,"Citrobacter freundii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032137,,Citrobacter freundii induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032283,PERCH Case Control,"Citrobacter freundii, by culture",http://purl.obolibrary.org/obo/EUPATH_0032137,,Citrobacter Freundii induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032284,PERCH Case Control,"Coagulase-negative Staphylococcus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032174,,Staphylococcus coagulase negative induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032285,PERCH Case Control,"Coagulase-negative Staphylococcus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032174,,Staphylococcus Coagulase Negative induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032286,PERCH Case Control,"Coliform bacilli, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032140,,COLI ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032287,PERCH Case Control,"Coliform bacilli, by culture",http://purl.obolibrary.org/obo/EUPATH_0032140,,Coliform Bacilli induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032288,PERCH Case Control,"Commensal diphtheroid bacilli, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032002,,DIPH ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032289,PERCH Case Control,"Commensal diphtheroid bacilli, by culture",http://purl.obolibrary.org/obo/EUPATH_0032002,,,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032290,PERCH Case Control,"Corynebacterium, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032142,,Corynebacterium species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032291,PERCH Case Control,"Corynebacterium, by culture",http://purl.obolibrary.org/obo/EUPATH_0032142,,Corynebacterium Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032292,PERCH Case Control,"Cronobacter sakazakii (Enterobacter sakazakii), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032143,,Enterobacter sakazakii induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032293,PERCH Case Control,"Cronobacter sakazakii (Enterobacter sakazakii), by culture",http://purl.obolibrary.org/obo/EUPATH_0032143,,Enterobacter Sakazakii induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032294,PERCH Case Control,"Enterobacter asburiae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032144,,EASB ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032295,PERCH Case Control,"Enterobacter asburiae, by culture",http://purl.obolibrary.org/obo/EUPATH_0032144,,Enterobacter Asburiae induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032296,PERCH Case Control,"Enterobacter cloacae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032144,,Enterobacter cloacae induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032297,PERCH Case Control,"Enterobacter cloacae, by culture",http://purl.obolibrary.org/obo/EUPATH_0032144,,Enterobacter Cloacae induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032298,PERCH Case Control,"Enterobacter, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032144,,Enterobacter species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032299,PERCH Case Control,"Enterobacter, by culture",http://purl.obolibrary.org/obo/EUPATH_0032144,,Enterobacter Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032300,PERCH Case Control,"Enterococcus faecalis, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032147,,Enterococcus faecalis induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032301,PERCH Case Control,"Enterococcus faecalis, by culture",http://purl.obolibrary.org/obo/EUPATH_0032147,,Enterococcus Faecalis induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032302,PERCH Case Control,"Enterococcus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032147,,Enterococcus species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032303,PERCH Case Control,"Enterococcus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032147,,Enterococcus Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032304,PERCH Case Control,"Escherichia coli, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032149,,Escherichia coli induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032305,PERCH Case Control,"Escherichia coli, by culture",http://purl.obolibrary.org/obo/EUPATH_0032149,,Escherichia Coli induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032306,PERCH Case Control,"Haemophilus haemolyticus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus haemolyticus induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032307,PERCH Case Control,"Haemophilus haemolyticus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Haemolyticus induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032309,PERCH Case Control,"Haemophilus influenzae type B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,HINB ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032310,PERCH Case Control,"Haemophilus influenzae type B, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Influenzae Type B induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032318,PERCH Case Control,"Haemophilus influenzae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus influenzae induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032319,PERCH Case Control,"Haemophilus influenzae, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Influenzae induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032321,PERCH Case Control,"Haemophilus parahaemolyticus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus parahaemolyticus induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032322,PERCH Case Control,"Haemophilus parahaemolyticus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Parahaemolyticus induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032324,PERCH Case Control,"Haemophilus parainfluenzae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus parainfluenzae induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032325,PERCH Case Control,"Haemophilus parainfluenzae, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Parainfluenzae induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032326,PERCH Case Control,"Haemophilus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032327,PERCH Case Control,"Haemophilus, by culture",http://purl.obolibrary.org/obo/EUPATH_0032150,,Haemophilus Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032328,PERCH Case Control,"Kingella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032155,,Kingella species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032329,PERCH Case Control,"Kingella, by culture",http://purl.obolibrary.org/obo/EUPATH_0032155,,Kingella Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032330,PERCH Case Control,"Klebsiella aerogenes (Enterobacter aerogenes), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032156,,Enterobacter aerogenes induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032331,PERCH Case Control,"Klebsiella aerogenes (Enterobacter aerogenes), by culture",http://purl.obolibrary.org/obo/EUPATH_0032156,,Enterobacter Aerogenes induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032332,PERCH Case Control,"Klebsiella oxytoca, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella oxytoca induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032333,PERCH Case Control,"Klebsiella oxytoca, by culture",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella Oxytoca induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032334,PERCH Case Control,"Klebsiella pneumoniae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella pneumoniae induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032335,PERCH Case Control,"Klebsiella pneumoniae, by culture",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella Pneumoniae induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032336,PERCH Case Control,"Klebsiella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032337,PERCH Case Control,"Klebsiella, by culture",http://purl.obolibrary.org/obo/EUPATH_0032156,,Klebsiella Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032339,PERCH Case Control,"Mixed gram-negative rods, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032002,,Mixed gram negative rods induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032340,PERCH Case Control,"Mixed gram-negative rods, by culture",http://purl.obolibrary.org/obo/EUPATH_0032002,,Mixed Gram Negative Rods induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032341,PERCH Case Control,"Moraxella catarrhalis (Branhamella catarrhalis), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032161,,Morexella (branhamella) catarrhalis induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032342,PERCH Case Control,"Moraxella catarrhalis (Branhamella catarrhalis), by culture",http://purl.obolibrary.org/obo/EUPATH_0032161,,Morexella (Branhamella) Catarrhalis induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032344,PERCH Case Control,"Moraxella nonliquefaciens, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032161,,MONL ISCx gram stain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032345,PERCH Case Control,"Moraxella nonliquefaciens, by culture",http://purl.obolibrary.org/obo/EUPATH_0032161,,Moraxella Nonliquefaciens induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032346,PERCH Case Control,"Moraxella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032161,,Moraxella species induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032347,PERCH Case Control,"Moraxella, by culture",http://purl.obolibrary.org/obo/EUPATH_0032161,,Moraxella Species induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032349,PERCH Case Control,"Neisseria meningitidis, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032164,,Neisseria meningitidis induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032350,PERCH Case Control,"Neisseria meningitidis, by culture",http://purl.obolibrary.org/obo/EUPATH_0032164,,Neisseria Meningitidis induced sputum culture positive,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032351,PERCH Case Control,"Proteus mirabilis, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0032165,,Proteus mirabilis induced sputum culture gram strain confirmed,0 = No 1 = Yes
http://purl.obolibrary.org/obo/EUPATH_0032352,PERCH Case Control,"Proteus mirabilis, by culture",http://purl.obolibrary.org/obo/EUPATH_0032165,,Proteus Mirabilis induced sputum culture positive,0 = No 1 = Yes
