overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
166,mic_species___5,microscopy_Malaria,http://purl.obolibrary.org/obo/EUPATH_0021031,Microscopy performed,,sample,Microscopy,http://purl.obolibrary.org/obo/EUPATH_0011802,,binary,value,
167,mic_counts1,microscopy_Malaria,,,,sample,,,,numeric,,"Jay will split into 4 variables, EUPATH_0000550, EUPATH_0000546, EUPATH_0000551, EUPATH_0000547. Need to discuss with him how to map this"
,pcr_scd,PCR_malaria,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
,pcr_dna_source,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0000432,PCR DNA sample source,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,,
176,pcr_species___1,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0021048,Negative,,sample,"Plasmodium species, by PCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,binary,value,
177,pcr_species___2,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0021049,Plasmodium falciparum,,sample,"Plasmodium species, by PCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,binary,value,
178,pcr_species___3,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0021050,Plasmodium vivax,,sample,"Plasmodium species, by PCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,binary,value,
179,pcr_species___4,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0021051,Plasmodium malariae,,sample,"Plasmodium species, by PCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,binary,value,
180,pcr_species___5,PCR_malaria,http://purl.obolibrary.org/obo/EUPATH_0021052,Plasmodium ovale,,sample,"Plasmodium species, by PCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,binary,value,
184,igm_chik_scd,ELISA_Chikungunya,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,date,,
185,igm_chik_rad,ELISA_Chikungunya,,"Chikungunya, by SD Bioline IgM ELISA",,sample,,,This ELISA assay from Alere (Abbott) tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,
186,igm_chik_od,ELISA_Chikungunya,,,,sample,,,The OD (optical density) of the sample for the ELISA assay that tests for IgM against the chikungunya virus from Alere (Abbott),numeric,,Should fall under Raw test result > Raw virus data
187,igm_chik_cutoff,ELISA_Chikungunya,,,,sample,,,The OD (optical density) cut off value. Anything above this is considered positive for IgM against Chikungunya,numeric,,Should fall under Raw test result > Raw virus data
195,rdt_scd,RDT_Chikungunya_Dengue,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
196,rdt_dengue_jmitra_ns1,RDT_Chikungunya_Dengue,,NS1 antigen,,sample,"Dengue, by Dengue Day 1 Test RDT",,NS1 RDT from J. Mitra and Co. ,"1, Pos | 2, Neg",,
197,rdt_dengue_jmitra_ab___1,RDT_Chikungunya_Dengue,,IgM,,sample,"Dengue, by Dengue Day 1 Test RDT",,IgM,binary,value,
198,rdt_dengue_jmitra_ab___2,RDT_Chikungunya_Dengue,,IgG,,sample,"Dengue, by Dengue Day 1 Test RDT",,IgG,binary,value,
199,rdt_dengue_jmitra_ab___3,RDT_Chikungunya_Dengue,,Negative,,sample,"Dengue, by Dengue Day 1 Test RDT",,Negative,binary,value,
200,rdt_dengue_alere_ns1,RDT_Chikungunya_Dengue,,NS1 antigen,,sample,"Dengue, by Dengue Duo Test RDT",,NS1 RDT from Alere,"1, Pos | 2, Neg",,
201,rdt_dengue_alere_ab___1,RDT_Chikungunya_Dengue,,IgM,,sample,"Dengue, by Dengue Duo Test RDT",,IgM,binary,value,
202,rdt_dengue_alere_ab___2,RDT_Chikungunya_Dengue,,IgG,,sample,"Dengue, by Dengue Duo Test RDT",,IgG,binary,value,
203,rdt_dengue_alere_ab___3,RDT_Chikungunya_Dengue,,Negative,,sample,"Dengue, by Dengue Duo Test RDT",,Negative,binary,value,
204,rdt_chik_jmitra_igm,RDT_Chikungunya_Dengue,,"Chikungunya, by Advantage Chikungunya IgM Card RDT",,sample,,,This RDT from J. Mitra and Co. tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,
205,rdt_chik_alere_igm,RDT_Chikungunya_Dengue,,"Chikungunya, by SD Bioline Chikungunya IgM RDT",,sample,,,This RDT from Alere (Abbott) tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,
214,igm_typhus_scd,IgM_Dengue,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
215,igm_typhus_rad,IgM_Dengue,,"Dengue, by Panbio Dengue IgM capture ELISA",,sample,,,This ELISA assay from Alere (Abbott) tests for IgM against the dengue virus,"1, Pos | 2, Neg",,
216,igm_typhus_od,IgM_Dengue,,,,sample,,,The OD (optical density) of the sample for the ELISA assay from Alere (Abbott) that tests for IgM against the dengue virus ,numeric,,Should fall under Raw test result > Raw virus data
217,igm_typhus_cutoff,IgM_Dengue,,,,sample,,,The OD (optical density) cut off value. Anything above this is considered positive for IgM against Dengue,numeric,,Should fall under Raw test result > Raw virus data
227,ns1_dengue_scd,N_Dengue,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
228,ns1_dengue_rad,N_Dengue,,"Dengue, by Panbio Dengue Early ELISA",,sample,,,This ELISA assay from Alere (Abbott) tests for the dengue NS1 antigen,"1, Pos | 2, Neg",,
229,ns1_dengue_od,N_Dengue,,,,sample,,,The OD (optical density) of the sample for the ELISA assay from Alere (Abbott) that tests for the dengue NS1 antigen,numeric,,Should fall under Raw test result > Raw virus data
230,ns1_dengue_cutoff,N_Dengue,,,,sample,,,The OD (optical density) cut off value. Anything above this is considered positive for NS1 from dengue virus,numeric,,Should fall under Raw test result > Raw virus data
238,pcr_scd,PCR_Salmonella_typhi,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
239,pcr_dna_source,PCR_Salmonella_typhi,,,,sample,,,,"1, SV | 2, Vac",,We have a PCR DNA sample source variable that we used for sample source for malaria PCR before. Should we reuse that variable here?
240,pcr_result,PCR_Salmonella_typhi,,"Salmonella typhi, by PCR",,sample,,,,"1, Neg | 2, Pos",,
249,igm_typhus_scd,ELISA_scrub_typhus,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection date,date,,
250,igm_typhus_rad,ELISA_scrub_typhus,,"Scrub typhus, by DetectTM IgM ELISA",,sample,,,This ELISA assay from InBios International tests for IgM against scrub typhus,"1, Pos | 2, Neg",,
251,igm_typhus_od,ELISA_scrub_typhus,,,,sample,,,The OD (optical density) of the sample for the ELISA assay from InBios International tests that tests for IgM against scrub typhus,numeric,,Should fall under Raw test result > Raw bacteria data
,,,,"Dengue, by Dengue Duo Test RDT",,,,,,,yes,
,,,,"Dengue, by Dengue Day 1 Test RDT",,,,,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,
NA,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,,,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/EUPATH_0000427,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,Where treated for the most recent malaria episode within the last year.,,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/EUPATH_0000427,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,Type of antimalarials used for the most recent treament within the last year. ,,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/EUPATH_0000427,,,,
NA,,,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,,
NA,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,Types of blood samples obtained,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0021098,Immediate clinical history,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0011802,Microscopy,,,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,,
NA,,,http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,Type of healthcare facility where treated for fever in the last two weeks,,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,,yes,
NA,,,http://purl.obolibrary.org/obo/NCBITaxon_5820,Plasmodium,,,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",,,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000437,"Plasmodium species, by FalciVax RDT",,,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000433,"Plasmodium species, by PCR",,,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,,,yes,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,,,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,,,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,NA,http://www.w3.org/2002/07/owl#Thing,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,NA,http://www.w3.org/2002/07/owl#Thing,,,,
NA,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,NA,http://www.w3.org/2002/07/owl#Thing,,,,
,,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,,
