overallOrder,variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,multifilter,variableType,category,IRI,parentIRI,definition,label
155,crf_completed_by_eos,CRF_DATA,discard,,,,,,,,,,,,,,
156,deo_notes_eos,CRF_DATA,discard,,,,,,,,,,,,,,
157,igh_endofstudy_complete,CRF_DATA,discard,,,,,,,,,,,,,,
158,mic_sid1,microscopy_Malaria,discard,Use to map to participant,,,,,,,,,,,,,
159,redcap_event_name,microscopy_Malaria,discard,Use to map to observation,,,,,,,,,,,,,
160,mic_sid2,microscopy_Malaria,discard,,,,,,,,,,,,,,
161,mic_sample_collect_date,microscopy_Malaria,keep,,,date,,,yes,,,0,sample,,,,
162,mic_species___1,microscopy_Malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021027,http://purl.obolibrary.org/obo/EUPATH_0000423,,Negative
163,mic_species___2,microscopy_Malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021028,http://purl.obolibrary.org/obo/EUPATH_0000423,,Plasmodium falciparum
164,mic_species___3,microscopy_Malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021029,http://purl.obolibrary.org/obo/EUPATH_0000423,,Plasmodium vivax
165,mic_species___4,microscopy_Malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021030,http://purl.obolibrary.org/obo/EUPATH_0000423,,Plasmodium malariae
166,mic_species___5,microscopy_Malaria,keep,,,binary,,,,Need to recode so 1=No and 0=Yes,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021031,http://purl.obolibrary.org/obo/EUPATH_0011802,,Microscopy performed
167,mic_counts1,microscopy_Malaria,keep,,,numeric,,,,"Need to split into 4 variables as before, P. falciparum asexual and sexual and P. vivax asexual and sexual",,0,sample,,,,
168,mic_counts2,microscopy_Malaria,discard,no data,,,,,,,,,,,,,
169,mic_form_date,microscopy_Malaria,discard,,,,,,,,,,,,,,
170,mic_page_number,microscopy_Malaria,discard,,,,,,,,,,,,,,
171,mic_completed_by,microscopy_Malaria,discard,,,,,,,,,,,,,,
172,mic_deo_notes,microscopy_Malaria,discard,,,,,,,,,,,,,,
173,igh_surveillance_microscopy_complete,microscopy_Malaria,discard,,,,,,,,,,,,,,
174,pcr_sid1,PCR_malaria,discard,Use to map to participant,,,,,,,,,,,,,
175,redcap_event_name,PCR_malaria,discard,,,,,,,,,,,,,,
,pcr_sid2,PCR_malaria,discard,,,,,,,,,,,,,,
,pcr_scd,PCR_malaria,keep,,,,,,,,,,,,,,
,pcr_dna_source,PCR_malaria,discard,,,,,,,,,,,,,,
176,pcr_species___1,PCR_malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021048,http://purl.obolibrary.org/obo/EUPATH_0000433,,Negative
177,pcr_species___2,PCR_malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021049,http://purl.obolibrary.org/obo/EUPATH_0000433,,Plasmodium falciparum
178,pcr_species___3,PCR_malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021050,http://purl.obolibrary.org/obo/EUPATH_0000433,,Plasmodium vivax
179,pcr_species___4,PCR_malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021051,http://purl.obolibrary.org/obo/EUPATH_0000433,,Plasmodium malariae
180,pcr_species___5,PCR_malaria,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021052,http://purl.obolibrary.org/obo/EUPATH_0000433,,Plasmodium ovale
,form_date,PCR_malaria,discard,,,,,,,,,,,,,,
,pcr_page_number,PCR_malaria,discard,,,,,,,,,,,,,,
,pcr_filled_by,PCR_malaria,discard,,,,,,,,,,,,,,
,pcr_deo_notes,PCR_malaria,discard,,,,,,,,,,,,,,
,igh_surveillance_pcr_complete,PCR_malaria,discard,,,,,,,,,,,,,,
181,igm_chik_sid1,ELISA_Chikungunya,discard,Use to map to participant,,,,,,,,,,,,,
182,redcap_event_name,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
183,igm_chik_sid2,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
184,igm_chik_scd,ELISA_Chikungunya,keep,,Sample collection date,date,,,yes,,,0,sample,,,,
185,igm_chik_rad,ELISA_Chikungunya,keep,,This ELISA assay from Alere (Abbott) tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Chikungunya, by SD Bioline IgM ELISA"
186,igm_chik_od,ELISA_Chikungunya,keep,,The OD (optical density) of the sample,numeric,,,,,,0,sample,,,,
187,igm_chik_cutoff,ELISA_Chikungunya,keep,,The OD (optical density) cut off value. Anything above this is considered positive for IgM against Chikungunya,numeric,,,,,,0,sample,,,,
188,igm_chik_calfac,ELISA_Chikungunya,discard,Need to ask data provider,The calculated faction,numeric,,,,,,0,sample,,,,
189,form_date,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
190,filled_by,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
191,page_number,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
192,deo_notes,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
193,igh_fever_elisa_chikungunya_complete,ELISA_Chikungunya,discard,,,,,,,,,,,,,,
194,rdt_sid1,RDT_Chikungunya_Dengue,discard,Use to map to participant,,,,,,,,,,,,,
195,rdt_scd,RDT_Chikungunya_Dengue,keep,,Sample collection date,date,,,yes,,,0,sample,,,,
196,rdt_dengue_jmitra_ns1,RDT_Chikungunya_Dengue,keep,,NS1 RDT from J. Mitra and Co. ,"1, Pos | 2, Neg",,,,,,1,sample,,"Dengue, by Dengue Day 1 Test RDT",,NS1 antigen
197,rdt_dengue_jmitra_ab___1,RDT_Chikungunya_Dengue,keep,,IgM,binary,,,,,value,0,sample,,"Dengue, by Dengue Day 1 Test RDT",,IgM
198,rdt_dengue_jmitra_ab___2,RDT_Chikungunya_Dengue,keep,,IgG,binary,,,,,value,0,sample,,"Dengue, by Dengue Day 1 Test RDT",,IgG
199,rdt_dengue_jmitra_ab___3,RDT_Chikungunya_Dengue,keep,,Negative,binary,,,,,value,0,sample,,"Dengue, by Dengue Day 1 Test RDT",,Negative
200,rdt_dengue_alere_ns1,RDT_Chikungunya_Dengue,keep,,NS1 RDT from Alere,"1, Pos | 2, Neg",,,,,,1,sample,,"Dengue, by Dengue Duo Test RDT",,NS1 antigen
201,rdt_dengue_alere_ab___1,RDT_Chikungunya_Dengue,keep,,IgM,binary,,,,,value,0,sample,,"Dengue, by Dengue Duo Test RDT",,IgM
202,rdt_dengue_alere_ab___2,RDT_Chikungunya_Dengue,keep,,IgG,binary,,,,,value,0,sample,,"Dengue, by Dengue Duo Test RDT",,IgG
203,rdt_dengue_alere_ab___3,RDT_Chikungunya_Dengue,keep,,Negative,binary,,,,,value,0,sample,,"Dengue, by Dengue Duo Test RDT",,Negative
204,rdt_chik_jmitra_igm,RDT_Chikungunya_Dengue,keep,,This RDT from J. Mitra and Co. tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Chikungunya, by Advantage Chikungunya IgM Card RDT"
205,rdt_chik_alere_igm,RDT_Chikungunya_Dengue,keep,,This RDT from Alere (Abbott) tests for IgM against the chikungunya virus,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Chikungunya, by SD Bioline Chikungunya IgM RDT"
206,rdt_form_date,RDT_Chikungunya_Dengue,discard,,,,,,,,,,,,,,
207,rdt_filled_by,RDT_Chikungunya_Dengue,discard,,,,,,,,,,,,,,
208,rdt_page_num,RDT_Chikungunya_Dengue,discard,,,,,,,,,,,,,,
209,rdt_deo_notes,RDT_Chikungunya_Dengue,discard,,,,,,,,,,,,,,
210,igh_surveillance_dengue_chik_rdt_complete,RDT_Chikungunya_Dengue,discard,,,,,,,,,,,,,,
211,igm_typhus_sid1,IgG_Dengue,discard,Use to map to participant,,,,,,,,,,,,,
212,redcap_event_name,IgG_Dengue,discard,,,,,,,,,,,,,,
213,igm_typhus_sid2,IgG_Dengue,discard,,,,,,,,,,,,,,
214,igm_typhus_scd,IgG_Dengue,keep,Talk to data provider,Sample collection date,date,,,yes,,,0,sample,,,,
215,igm_typhus_rad,IgG_Dengue,keep,Talk to data provider,This ELISA assay from Alere (Abbott) tests for IgM against the dengue virus,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Dengue, by Panbio Dengue IgM capture ELISA"
216,igm_typhus_od,IgG_Dengue,keep,Talk to data provider,The OD (optical density) of the sample,numeric,,,,,,0,sample,,,,
217,igm_typhus_cutoff,IgG_Dengue,keep,Talk to data provider,The OD (optical density) cut off value. Anything above this is considered positive for IgM against Chikungunya,numeric,,,,,,0,sample,,,,
218,igm_typhus_calfac,IgG_Dengue,discard,Talk to data provider,The calculated fraction,numeric,,,,,,0,sample,,,,
219,form_date,IgG_Dengue,discard,,,,,,,,,,,,,,
220,filled_by,IgG_Dengue,discard,,,,,,,,,,,,,,
221,page_number,IgG_Dengue,discard,,,,,,,,,,,,,,
222,deo_notes,IgG_Dengue,discard,,,,,,,,,,,,,,
223,igh_fever_elisa_dengue_igm_complete,IgG_Dengue,discard,,,,,,,,,,,,,,
224,ns1_dengue_sid1,N_Dengue,discard,Use to map to participant,,,,,,,,,,,,,
225,redcap_event_name,N_Dengue,discard,,,,,,,,,,,,,,
226,ns1_dengue_sid2,N_Dengue,discard,,,,,,,,,,,,,,
227,ns1_dengue_scd,N_Dengue,keep,,Sample collection date,date,,,yes,,,0,sample,,,,
228,ns1_dengue_rad,N_Dengue,keep,,This ELISA assay from Alere (Abbott) tests for the dengue NS1 antigen,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Dengue, by Panbio Dengue Early ELISA"
229,ns1_dengue_od,N_Dengue,keep,,The OD (optical density) of the sample,numeric,,,,,,0,sample,,,,
230,ns1_dengue_cutoff,N_Dengue,keep,,The OD (optical density) cut off value. Anything above this is considered positive for IgM against Chikungunya,numeric,,,,,,0,sample,,,,
231,ns1_dengue_calfac,N_Dengue,discard,Talk to data provider,The calculated fraction,numeric,,,,,,0,sample,,,,
232,form_date,N_Dengue,discard,,,,,,,,,,,,,,
233,filled_by,N_Dengue,discard,,,,,,,,,,,,,,
234,page_number,N_Dengue,discard,,,,,,,,,,,,,,
235,deo_notes,N_Dengue,discard,,,,,,,,,,,,,,
236,igh_fever_elisa_dengue_ns1_complete,N_Dengue,discard,,,,,,,,,,,,,,
237,pcr_sid1,PCR_Salmonella_typhi,discard,Use to map to participant,,,,,,,,,,,,,
238,pcr_scd,PCR_Salmonella_typhi,keep,,Sample collection date,date,,,yes,,,0,sample,,,,
239,pcr_dna_source,PCR_Salmonella_typhi,discard,,,"1, SV | 2, Vac",,,,,,1,sample,,,,
240,pcr_result,PCR_Salmonella_typhi,keep,,,"1, Neg | 2, Pos",,,,,,1,sample,,,,"Salmonella typhi, by PCR"
241,form_date,PCR_Salmonella_typhi,discard,,,,,,,,,,,,,,
242,pcr_page_number,PCR_Salmonella_typhi,discard,,,,,,,,,,,,,,
243,pcr_filled_by,PCR_Salmonella_typhi,discard,,,,,,,,,,,,,,
244,pcr_deo_notes,PCR_Salmonella_typhi,discard,,,,,,,,,,,,,,
245,igh_surveillance_typhi_pcr_complete,PCR_Salmonella_typhi,discard,,,,,,,,,,,,,,
246,igm_typhus_sid1,ELISA_scrub_typhus,discard,Use to map to participant,,,,,,,,,,,,,
247,redcap_event_name,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
248,igm_typhus_sid2,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
249,igm_typhus_scd,ELISA_scrub_typhus,keep,,Sample collection date,date,,,yes,,,0,sample,,,,
250,igm_typhus_rad,ELISA_scrub_typhus,keep,,This ELISA assay from InBios International tests for IgM against scrub typhus,"1, Pos | 2, Neg",,,,,,1,sample,,,,"Scrub typhus, by DetectTM IgM ELISA"
251,igm_typhus_od,ELISA_scrub_typhus,keep,,The OD (optical density) of the sample,numeric,,,,,,0,sample,,,,
252,form_date,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
253,filled_by,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
254,page_number,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
255,deo_notes,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
256,igh_fever_elisa_scrubtyphus_igm_complete,ELISA_scrub_typhus,discard,,,,,,,,,,,,,,
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000423,http://purl.obolibrary.org/obo/NCBITaxon_5820,,"Plasmodium species, by microscopy"
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000425,http://purl.obolibrary.org/obo/EUPATH_0000427,,Plasmodium species in last year
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,http://www.w3.org/2002/07/owl#Thing,,Participant
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000430,http://purl.obolibrary.org/obo/EUPATH_0000427,Type of antimalarials used for the most recent treament within the last year. ,Antimalarial medications used
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000309,http://purl.obolibrary.org/obo/EUPATH_0000738,,Signs and symptoms
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,http://purl.obolibrary.org/obo/EUPATH_0000738,,Observation details
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000340,http://purl.obolibrary.org/obo/EUPATH_0000738,,Travel details
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000342,http://purl.obolibrary.org/obo/EUPATH_0000096,,Employment
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,http://www.w3.org/2002/07/owl#Thing,,Sample
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000649,http://purl.obolibrary.org/obo/EUPATH_0000738,,Anthropometry
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000413,http://purl.obolibrary.org/obo/EUPATH_0021098,Type of healthcare facility where treated for fever in the last two weeks,Fever treatment location
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0010981,http://purl.obolibrary.org/obo/EUPATH_0000096,,Demographics
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0011800,http://purl.obolibrary.org/obo/EUPATH_0020005,,Microbiology tests performed
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0011802,http://purl.obolibrary.org/obo/EUPATH_0011800,,Microscopy
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0020005,http://purl.obolibrary.org/obo/OGMS_0000056,,Blood microbiology test
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0021002,http://purl.obolibrary.org/obo/EUPATH_0000309,,Symptoms
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000431,http://purl.obolibrary.org/obo/EUPATH_0000427,Where treated for the most recent malaria episode within the last year.,Where treated
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000433,http://purl.obolibrary.org/obo/NCBITaxon_5820,,"Plasmodium species, by PCR"
,,,,,,,,,,,yes,,,http://purl.obolibrary.org/obo/EUPATH_0000437,http://purl.obolibrary.org/obo/NCBITaxon_5820,,"Plasmodium species, by FalciVax RDT"
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0011795,http://purl.obolibrary.org/obo/OGMS_0000056,,Blood test
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OGMS_0000056,http://purl.obolibrary.org/obo/EUPATH_0000609,,Laboratory test
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OGMS_0000073,http://purl.obolibrary.org/obo/EUPATH_0000738,,Diagnosis
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0000738,http://www.w3.org/2002/07/owl#Thing,,Observation
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OGMS_0000015,http://purl.obolibrary.org/obo/EUPATH_0000096,,Clinical history
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OGMS_0000083,http://purl.obolibrary.org/obo/EUPATH_0000738,,Physical examination
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OGMS_0000090,http://purl.obolibrary.org/obo/EUPATH_0000738,,Treatment
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000655,http://purl.obolibrary.org/obo/EUPATH_0000609,Types of blood samples obtained,Blood sample
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/EUPATH_0021098,http://purl.obolibrary.org/obo/EUPATH_0000738,,Immediate clinical history
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_5820,http://purl.obolibrary.org/obo/NCBITaxon_2759,,Plasmodium
,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_2759,http://purl.obolibrary.org/obo/EUPATH_0020005,,Eukaryota
,,,,,,,,,,,yes,,,,,,"Dengue, by Dengue Day 1 Test RDT"
,,,,,,,,,,,yes,,,,,,"Dengue, by Dengue Duo Test RDT"
