variable	variable	values	mappedTerm	valueOrder
existing_illness_list	existing_illness_list	HT	Hypertension	
existing_illness_list	existing_illness_list	OSTEOARTHRITIS	Osteoarthritis	
existing_illness_list	existing_illness_list	HYPER CHOTESTMIA	Hypercholesterolemia	
existing_illness_list	existing_illness_list	3	NA	
rdt_op_chk___1	rdt_op_chk___1	1	Yes	
rdt_op_chk___1	rdt_op_chk___1	0	No	
rdt_op_chk___2	rdt_op_chk___2	1	Yes	
rdt_op_chk___2	rdt_op_chk___2	0	No	
rdt_op_chk___3	rdt_op_chk___3	1	Yes	
rdt_op_chk___3	rdt_op_chk___3	0	No	
rdt_op_chk___4	rdt_op_chk___4	1	No	
rdt_op_chk___4	rdt_op_chk___4	0	Yes	
rdt_fv_chk___1	rdt_fv_chk___1	1	Yes	
rdt_fv_chk___1	rdt_fv_chk___1	0	No	
rdt_fv_chk___2	rdt_fv_chk___2	1	Yes	
rdt_fv_chk___2	rdt_fv_chk___2	0	No	
rdt_fv_chk___3	rdt_fv_chk___3	1	Yes	
rdt_fv_chk___3	rdt_fv_chk___3	0	No	
rdt_fv_chk___4	rdt_fv_chk___4	1	No	
rdt_fv_chk___4	rdt_fv_chk___4	0	Yes	
gpd_rad	gpd_rad	1	Normal	
gpd_rad	gpd_rad	2	Deficient	
gpd_rad	gpd_rad	3	Not done/blank	
illnow_yn	illnow_yn	1	Yes	
illnow_yn	illnow_yn	0	No	
fever_2wk_yn	fever_2wk_yn	1	Yes	
fever_2wk_yn	fever_2wk_yn	0	No	
fever_2wk_where_chk___1	fever_2wk_where_chk___1	1	Yes	
fever_2wk_where_chk___1	fever_2wk_where_chk___1	0	No	
fever_2wk_where_chk___2	fever_2wk_where_chk___2	1	Yes	
fever_2wk_where_chk___2	fever_2wk_where_chk___2	0	No	
fever_2wk_where_chk___3	fever_2wk_where_chk___3	1	Yes	
fever_2wk_where_chk___3	fever_2wk_where_chk___3	0	No	
fever_2wk_where_chk___4	fever_2wk_where_chk___4	1	Yes	
fever_2wk_where_chk___4	fever_2wk_where_chk___4	0	No	
fever_48hr_yn	fever_48hr_yn	1	Yes	
fever_48hr_yn	fever_48hr_yn	0	No	
suppressant_now_yn	suppressant_now_yn	1	Yes	
suppressant_now_yn	suppressant_now_yn	0	No	
drugs_2wk_yn	drugs_2wk_yn	1	Yes	
drugs_2wk_yn	drugs_2wk_yn	0	No	
drugs_2wk_codes_1	drugs_2wk_codes_1	1	Artesunate	
drugs_2wk_codes_1	drugs_2wk_codes_1	2	Artesunate/Pyrimethamine/Sulphadoxine	
drugs_2wk_codes_1	drugs_2wk_codes_1	3	Chloroquine	
drugs_2wk_codes_1	drugs_2wk_codes_1	4	Chloroquine/Primaquine	
drugs_2wk_codes_1	drugs_2wk_codes_1	5	Mefloquine	
drugs_2wk_codes_1	drugs_2wk_codes_1	6	Primaquine	
drugs_2wk_codes_1	drugs_2wk_codes_1	7	Pyrimethamine/Sulphadoxine	
drugs_2wk_codes_1	drugs_2wk_codes_1	8	Quinine/Quinidine	
drugs_2wk_codes_1	drugs_2wk_codes_1	9	Tetracycline/Doxycycline	
drugs_2wk_codes_1	drugs_2wk_codes_1	10	Other	
drugs_2wk_codes_1	drugs_2wk_codes_1	11	Can't remember	
drugs_2wk_codes_2	drugs_2wk_codes_2	1	Artesunate	
drugs_2wk_codes_2	drugs_2wk_codes_2	2	Artesunate/Pyrimethamine/Sulphadoxine	
drugs_2wk_codes_2	drugs_2wk_codes_2	3	Chloroquine	
drugs_2wk_codes_2	drugs_2wk_codes_2	4	Chloroquine/Primaquine	
drugs_2wk_codes_2	drugs_2wk_codes_2	5	Mefloquine	
drugs_2wk_codes_2	drugs_2wk_codes_2	6	Primaquine	
drugs_2wk_codes_2	drugs_2wk_codes_2	7	Pyrimethamine/Sulphadoxine	
drugs_2wk_codes_2	drugs_2wk_codes_2	8	Quinine/Quinidine	
drugs_2wk_codes_2	drugs_2wk_codes_2	9	Tetracycline/Doxycycline	
drugs_2wk_codes_2	drugs_2wk_codes_2	10	Other	
drugs_2wk_codes_2	drugs_2wk_codes_2	11	Can't remember	
drugs_2wk_comply_yn	drugs_2wk_comply_yn	1	Yes	
drugs_2wk_comply_yn	drugs_2wk_comply_yn	0	No	
symptoms_yn	symptoms_yn	1	Yes	
symptoms_yn	symptoms_yn	0	No	
symptoms_chk___1	symptoms_chk___1	1	Yes	
symptoms_chk___1	symptoms_chk___1	0	No	
symptoms_chk___2	symptoms_chk___2	1	Yes	
symptoms_chk___2	symptoms_chk___2	0	No	
symptoms_chk___3	symptoms_chk___3	1	Yes	
symptoms_chk___3	symptoms_chk___3	0	No	
symptoms_chk___4	symptoms_chk___4	1	Yes	
symptoms_chk___4	symptoms_chk___4	0	No	
symptoms_chk___5	symptoms_chk___5	1	Yes	
symptoms_chk___5	symptoms_chk___5	0	No	
symptoms_chk___6	symptoms_chk___6	1	Yes	
symptoms_chk___6	symptoms_chk___6	0	No	
symptoms_chk___7	symptoms_chk___7	1	Yes	
symptoms_chk___7	symptoms_chk___7	0	No	
symptoms_chk___8	symptoms_chk___8	1	Yes	
symptoms_chk___8	symptoms_chk___8	0	No	
symptoms_chk___9	symptoms_chk___9	1	Yes	
symptoms_chk___9	symptoms_chk___9	0	No	
symptoms_chk___10	symptoms_chk___10	1	Yes	
symptoms_chk___10	symptoms_chk___10	0	No	
symptoms_chk___11	symptoms_chk___11	1	Yes	
symptoms_chk___11	symptoms_chk___11	0	No	
symptoms_chk___12	symptoms_chk___12	1	Yes	
symptoms_chk___12	symptoms_chk___12	0	No	
symptoms_chk___13	symptoms_chk___13	1	Yes	
symptoms_chk___13	symptoms_chk___13	0	No	
symptoms_chk___14	symptoms_chk___14	1	Yes	
symptoms_chk___14	symptoms_chk___14	0	No	
symptoms_chk___15	symptoms_chk___15	1	Yes	
symptoms_chk___15	symptoms_chk___15	0	No	
symptoms_chk___16	symptoms_chk___16	1	Yes	
symptoms_chk___16	symptoms_chk___16	0	No	
symptoms_chk___17	symptoms_chk___17	1	Yes	
symptoms_chk___17	symptoms_chk___17	0	No	
symptoms_chk___18	symptoms_chk___18	1	Yes	
symptoms_chk___18	symptoms_chk___18	0	No	
manifestations_yn	manifestations_yn	1	Yes	
manifestations_yn	manifestations_yn	0	No	
manifestations_chk___1	manifestations_chk___1	1	Yes	
manifestations_chk___1	manifestations_chk___1	0	No	
manifestations_chk___2	manifestations_chk___2	1	Yes	
manifestations_chk___2	manifestations_chk___2	0	No	
manifestations_chk___3	manifestations_chk___3	1	Yes	
manifestations_chk___3	manifestations_chk___3	0	No	
manifestations_chk___4	manifestations_chk___4	1	Yes	
manifestations_chk___4	manifestations_chk___4	0	No	
manifestations_chk___5	manifestations_chk___5	1	Yes	
manifestations_chk___5	manifestations_chk___5	0	No	
manifestations_chk___6	manifestations_chk___6	1	Yes	
manifestations_chk___6	manifestations_chk___6	0	No	
manifestations_chk___7	manifestations_chk___7	1	Yes	
manifestations_chk___7	manifestations_chk___7	0	No	
prelim_dx_rad	prelim_dx_rad	1	No illness	1
prelim_dx_rad	prelim_dx_rad	2	Asymptomatic parasitemia	2
prelim_dx_rad	prelim_dx_rad	3	Uncomplicated malaria	3
prelim_dx_rad	prelim_dx_rad	4	Severe malaria	4
prelim_dx_rad	prelim_dx_rad	5	Illness other than malaria	5
samples_chk___1	samples_chk___1	1	Yes	
samples_chk___1	samples_chk___1	0	No	
samples_chk___3	samples_chk___3	1	Yes	
samples_chk___3	samples_chk___3	0	No	
samples_chk___4	samples_chk___4	1	Yes	
samples_chk___4	samples_chk___4	0	No	
samples_chk___5	samples_chk___5	1	Yes	
samples_chk___5	samples_chk___5	0	No	
mx_species_chk___1	mx_species_chk___1	1	Yes	
mx_species_chk___1	mx_species_chk___1	0	No	
mx_species_chk___2	mx_species_chk___2	1	Yes	
mx_species_chk___2	mx_species_chk___2	0	No	
mx_species_chk___3	mx_species_chk___3	1	Yes	
mx_species_chk___3	mx_species_chk___3	0	No	
mx_species_chk___4	mx_species_chk___4	1	Yes	
mx_species_chk___4	mx_species_chk___4	0	No	
mx_species_chk___5	mx_species_chk___5	1	No	
mx_species_chk___5	mx_species_chk___5	0	Yes	
pcr_dna_source_rad	pcr_dna_source_rad	1	Blood spot	
pcr_dna_source_rad	pcr_dna_source_rad	2	Small volume	
pcr_dna_source_rad	pcr_dna_source_rad	3	Vacutainer	
pcr_species_chk___1	pcr_species_chk___1	1	Yes	
pcr_species_chk___1	pcr_species_chk___1	0	No	
pcr_species_chk___2	pcr_species_chk___2	1	Yes	
pcr_species_chk___2	pcr_species_chk___2	0	No	
pcr_species_chk___3	pcr_species_chk___3	1	Yes	
pcr_species_chk___3	pcr_species_chk___3	0	No	
pcr_species_chk___4	pcr_species_chk___4	1	Yes	
pcr_species_chk___4	pcr_species_chk___4	0	No	
pcr_species_chk___5	pcr_species_chk___5	1	Yes	
pcr_species_chk___5	pcr_species_chk___5	0	No	
cen_district	cen_district	Chennai	Chennai	
cen_district	cen_district	Kheda	Kheda	
cen_district	cen_district	Mahesana	Mahesana	
cen_district	cen_district	Panchmahal	Panchmahal	
cen_district	cen_district	Sundargarh	Sundergarh	
cen_district	cen_district	sundargarh	Sundergarh	
cen_district	cen_district	Sundergarh	Sundergarh	
cen_resident_status___1	cen_resident_status___1	1	Yes	
cen_resident_status___1	cen_resident_status___1	0	No	
cen_resident_status___2	cen_resident_status___2	1	Yes	
cen_resident_status___2	cen_resident_status___2	0	No	
cen_type_of_dwelling	cen_type_of_dwelling	1	House	
cen_type_of_dwelling	cen_type_of_dwelling	2	Apartment	
cen_building_material___1	cen_building_material___1	1	Yes	
cen_building_material___1	cen_building_material___1	0	No	
cen_building_material___2	cen_building_material___2	1	Yes	
cen_building_material___2	cen_building_material___2	0	No	
cen_building_material___3	cen_building_material___3	1	Yes	
cen_building_material___3	cen_building_material___3	0	No	
cen_building_material___4	cen_building_material___4	1	Yes	
cen_building_material___4	cen_building_material___4	0	No	
cen_type_of_roof___1	cen_type_of_roof___1	1	Yes	
cen_type_of_roof___1	cen_type_of_roof___1	0	No	
cen_type_of_roof___2	cen_type_of_roof___2	1	Yes	
cen_type_of_roof___2	cen_type_of_roof___2	0	No	
cen_type_of_roof___3	cen_type_of_roof___3	1	Yes	
cen_type_of_roof___3	cen_type_of_roof___3	0	No	
cen_type_of_roof___4	cen_type_of_roof___4	1	Yes	
cen_type_of_roof___4	cen_type_of_roof___4	0	No	
cen_type_of_roof___5	cen_type_of_roof___5	1	Yes	
cen_type_of_roof___5	cen_type_of_roof___5	0	No	
cen_electricity_yesno	cen_electricity_yesno	1	Yes	
cen_electricity_yesno	cen_electricity_yesno	0	No	
cen_water_supply___1	cen_water_supply___1	1	Yes	
cen_water_supply___1	cen_water_supply___1	0	No	
cen_water_supply___2	cen_water_supply___2	1	Yes	
cen_water_supply___2	cen_water_supply___2	0	No	
cen_water_supply___3	cen_water_supply___3	1	Yes	
cen_water_supply___3	cen_water_supply___3	0	No	
cen_water_supply___4	cen_water_supply___4	1	Yes	
cen_water_supply___4	cen_water_supply___4	0	No	
cen_water_supply___5	cen_water_supply___5	1	Yes	
cen_water_supply___5	cen_water_supply___5	0	No	
cen_indoor_residents	cen_indoor_residents	1	No	
cen_indoor_residents	cen_indoor_residents	2	Yes	
cen_animals___1	cen_animals___1	1	Yes	
cen_animals___1	cen_animals___1	0	No	
cen_animals___2	cen_animals___2	1	Yes	
cen_animals___2	cen_animals___2	0	No	
cen_animals___3	cen_animals___3	1	Yes	
cen_animals___3	cen_animals___3	0	No	
cen_poverty_line	cen_poverty_line	1	Above	
cen_poverty_line	cen_poverty_line	2	Below	
cen_typical_healthcare___1	cen_typical_healthcare___1	1	Yes	
cen_typical_healthcare___1	cen_typical_healthcare___1	0	No	
cen_typical_healthcare___2	cen_typical_healthcare___2	1	Yes	
cen_typical_healthcare___2	cen_typical_healthcare___2	0	No	
cen_larvicide_in_use	cen_larvicide_in_use	1	Weekly	1
cen_larvicide_in_use	cen_larvicide_in_use	2	Every 2 weeks	2
cen_larvicide_in_use	cen_larvicide_in_use	3	Monthly	3
cen_larvicide_in_use	cen_larvicide_in_use	4	No	4
cen_larvicide_in_use	cen_larvicide_in_use	5	Unknown	5
redcap_event_name	redcap_event_name	visit_1_enrollment_arm_1	Visit 1	
redcap_event_name	redcap_event_name	houseinfo_arm_1	Household census	
