colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
222,,1,F4A_HOMETRT_AB,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015089,Antibiotics,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Antibiotics?",0,GEMS1
224,,9,F4A_HOMETRT_OTHR1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015090,Other treatment,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (1)?",0,GEMS1
226,,10,F4A_HOMETRT_OTHR2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015091,Other treatment,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (2)?",0,GEMS1
228,,4,F4A_OFFR_DRINK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010241,Amount offered to drink during diarrheal episode,,Observation,Diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010016,"Since Child developed diarrhea, how much have you been offering Child to drink?",1,GEMS1
229,,5,F4A_OFFR_EAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010177,Amount offered to eat during diarrheal episode,,Observation,Diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010016,"Since Child developed diarrhea, how much have you been offering Child to eat?",1,GEMS1
230,,3,F4A_SEEK_OUTSIDE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"Before coming to this hospital/health center, did you seek care for Child outside your household for this illness?",0,GEMS1
231,,4,F4A_SEEK_PHARM,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015093,Pharmacy,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Pharmacy?",0,GEMS1
232,,5,F4A_SEEK_FRIEND,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015094,Friend/Relative,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Friend/Relative?",0,GEMS1
233,,6,F4A_SEEK_HEALER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Traditional healer?",0,GEMS1
234,,7,F4A_SEEK_DOC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015096,Unlicensed practitioner,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Unlicensed practitioner/village doctor/bush doctor/vilage health worker?",0,GEMS1
235,,8,F4A_SEEK_PRIVDOC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015097,Licensed practitioner,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Licensed practitioner/private doctor (not at hospital)",0,GEMS1
236,,9,F4A_SEEK_REMDY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015098,Bought a remedy/drug,,Observation,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,"If you previously sought care for Child for this illness, where did you go? Bought a remedy/medicine at the shop/market",0,GEMS1
238,,1,F4A_SEEK_CTR1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010155,Hospital/Center of first choice,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of first choice?",0,GEMS1
239,,2,F4A_SEEK_CTR1_CODE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010157,First choice facility code,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,3-digit code,GEMS1
240,,3,F4A_SEEK_CTR1_SHC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010159,First choice facility SHC,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,0,GEMS1
241,,4,F4A_SEEK_CTR2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010161,Hospital/Center of second choice,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of second choice?",0,GEMS1
242,,5,F4A_SEEK_CTR2_CODE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010163,Second choice facility code,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,3-digit code,GEMS1
243,,6,F4A_SEEK_CTR2_SHC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010165,Second choice facility SHC,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,0,GEMS1
244,,7,F4A_SEEK_CTR3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010167,Hospital/Center of third choice,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of third choice?",0,GEMS1
245,,8,F4A_SEEK_CTR3_CODE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010169,Third choice facility code,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,3-digit code,GEMS1
246,,9,F4A_SEEK_CTR3_SHC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010171,Third choice facility SHC,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,,NA,GEMS1
247,,10,F4A_SEEK_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010173,Other Hospital/Center,,Observation,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,"If you previously sought care for Child for this illness, where did you go? Other hospital/center?",0,GEMS1
249,,1,F4A_PHARM_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010243,Pharmacy medical expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Pharmacy,Num,GEMS1
250,,2,F4A_PHARM_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010244,Pharmacy transportation expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Pharmacy,Num,GEMS1
251,,3,F4A_HEAL_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010245,Traditional healer medical expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Traditional Healer,Num,GEMS1
252,,4,F4A_HEAL_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010246,Traditional healer transportation expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Traditional Healer,Num,GEMS1
253,,5,F4A_DOC_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010247,"Unlicensed doctor, Total expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Unlicensed practitioner/village doctor/bush doctor,Num,GEMS1
254,,6,F4A_DOC_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010248,"Unlicensed doctor, Transportation expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Unlicensed practitioner/village doctor/bush doctor,Num,GEMS1
255,,7,F4A_PRIVDOC_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010249,Licensed doctor medical expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Licensed practitioner/private doctor,Num,GEMS1
256,,8,F4A_PRIVDOC_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010250,Licensed doctor transport expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Licensed practitioner/private doctor,Num,GEMS1
257,,9,F4A_REMDY_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010251,Bought remedy/medicine medical expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Bought remedy/medicine at the shop/market,Num,GEMS1
258,,10,F4A_REMDY_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010252,Bought remedy/medicine transport expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Bought remedy/medicine at the shop/market,Num,GEMS1
259,,11,F4A_CTR1_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010253,"Hospital/Center of 1st choice, Total expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 1st Choice,Num,GEMS1
260,,12,F4A_CTR1_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010254,"Hospital/Center of 1st choice, Transport expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 1st Choice,Num,GEMS1
261,,13,F4A_CTR2_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010255,Hospital/Center of 2nd choice Total expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 2nd Choice,Num,GEMS1
262,,14,F4A_CTR2_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010256,"Hospital/Center of 2nd choice, Transport expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 2nd Choice,Num,GEMS1
263,,15,F4A_CTR3_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010257,"Hospital/Center of 3rd choice, Total expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 3rd Choice,Num,GEMS1
264,,16,F4A_CTR3_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010258,"Hospital/Center of 3rd choice, Transport expenses",,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 3rd Choice,Num,GEMS1
266,,17,F4A_OTHER_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010260,Other expense amount,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Other,Num,GEMS1
267,,18,F4A_OTHER_TRNSPRT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010261,Other transportation expenses,,Observation,Medication Transportation Expense,http://purl.obolibrary.org/obo/EUPATH_0010007,What were your or your household estimated out-of-pocket expenses for the following: Transportation Other,Num,GEMS1
268,,1,F4A_MONEY_MEAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015099,Cutting down expenses from meal,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Cutting down expenses from meal?,0,GEMS1
269,,2,F4A_MONEY_OTHEXP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015100,Cutting down from other expenses,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Cutting down from other expenses?,0,GEMS1
270,,3,F4A_MONEY_SVNGS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015101,Using savings,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Using savings?,0,GEMS1
271,,4,F4A_MONEY_BORROW,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015102,Borrowing,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Borrowing?,0,GEMS1
272,,5,F4A_MONEY_ASSET,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015103,Selling assets,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Selling assets?,0,GEMS1
273,,6,F4A_MONEY_DONAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Asking for donations outside the household?,0,GEMS1
274,,7,F4A_MONEY_RELATIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015105,Paid by relative or friend,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Relative or friend pays on your behalf?,0,GEMS1
275,,8,F4A_MONEY_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015106,Other money source,,Observation,Money source for expenses before visit,http://purl.obolibrary.org/obo/EUPATH_0010379,Where did the money come from? Other?,0,GEMS1
277,,1,F4A_TRNSPORT_TIME,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010262,Transportation time to clinic,,Observation,Transportation to clinic,http://purl.obolibrary.org/obo/EUPATH_0010012,How long did it take to get here from your home (including the journey time and any time waiting for transport?,1,GEMS1
278,,2,F4A_TRNS_INIT_PAY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010263,Amount paid for initial transportation to clinic,,Observation,Transportation to clinic,http://purl.obolibrary.org/obo/EUPATH_0010012,"If you paid for transportation to bring the child to the hospital or clinic, how much did you pay?",Num,GEMS1
279,,3,F4A_TRNS_YOU_PAY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010264,Amount paid for trips to clinic after initial visit,,Observation,Transportation to clinic,http://purl.obolibrary.org/obo/EUPATH_0010012,"Other than the first trip to bring the child to the health center, how much did you pay for transport to or from this facility during the child's stay in the facility?",Num,GEMS1
280,,4,F4A_TRNS_OTHER_PAY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010265,Amount paid for transportation by other household members,,Observation,Transportation to clinic,http://purl.obolibrary.org/obo/EUPATH_0010012,How much have other members of your household paid for transport to or from this facility as a result of the child's stay in the facility?,Num,GEMS1
281,,2,F4A_EXPEN_CONSULT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010266,Hospitalization/Visit Expenses for Consultation,,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Consultation?,Num,GEMS1
282,,3,F4A_EXPEN_DRUG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010267,Hospitalization/Visit Expenses for Drugs,,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Drugs?,Num,GEMS1
283,,4,F4A_EXPEN_DIAG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010268,Hospitalization/Visit Expenses for Diagnostics,,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Diganostics?,Num,GEMS1
284,,5,F4A_EXPEN_FOOD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010269,Hospitalization/Visit Expenses for Food,,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Food?,Num,GEMS1
285,,7,F4A_EXPEN_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010270,"Other expenses, amount",,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Other?,Num,GEMS1
286,,6,F4A_EXPEN_SPEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010271,"Other expense, specify",,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Specify.,Char,GEMS1
287,,8,F4A_EXPEN_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010272,Total hospitalization/visit expenses,,Observation,Expenses of hospitalization clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010009,What are your estimated out-of-pocket expenses for the following? Total.,Num,GEMS1
288,,1,F4A_SPENT_MEAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015107,Cutting down expenses from meal,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Cutting down expenses from meals?,0,GEMS1
289,,2,F4A_SPENT_OTHEXP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015108,Cutting down from other expenses,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Cutting down on other expenses?,0,GEMS1
290,,3,F4A_SPENT_SVNGS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015109,Using savings,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Using savings?,0,GEMS1
291,,4,F4A_SPENT_BORROW,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015110,Borrowing,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Borrowing?,0,GEMS1
292,,5,F4A_SPENT_ASSET,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015111,Selling assets,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Selling assets?,0,GEMS1
293,,6,F4A_SPENT_DONAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Asking for donations outside of the household?,0,GEMS1
294,,7,F4A_SPENT_RELATIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015113,Paid by relative or friend,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Relative or friend pays on your behalf?,0,GEMS1
295,,8,F4A_SPENT_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015114,Other money source,,Observation,Money source for expenses of hospitalization or clinical visits,http://purl.obolibrary.org/obo/EUPATH_0010011,Where did the money that you spent during this visit or hospitalization come from? Other?,0,GEMS1
297,,1,F4A_LOSE_EARN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010273,Lost earnings due to care,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,Did you lose some earnings due to seeking or providing care during Child's Illness,0,GEMS1
298,,2,F4A_LOSE_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010274,Amount earnings lost due to care,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,"If yes, how much?",,GEMS1
299,,3,F4A_OTHRLOSE_EARN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010275,Other lost earnings,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,Did other caregivers lose some earnings due to seeking or providing care during Child's Illness,0,GEMS1
300,,4,F4A_OTHRLOSE_TOTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010276,Amount other lost earnings,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,"If yes, how much?",,GEMS1
301,,5,F4A_DAYSLOST_CARE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010277,Income days lost while seeking care,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,How much time have you spent taking care of Child when otherwise you woul dhave been doing income generating activities?,Character and Numeric,GEMS1
302,,6,F4A_DAYSLOST_OTHRCRE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010278,Other caregivers income days lost while seeking care,,Observation,Caretaker income lost; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010010,How much time have other caregivers spent taking care of Child when otherwise they would have been doing income generating activities?,Character and Numeric,GEMS1
303,,,F4A_SPECIMEN_ID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,
307,,4,F4B_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000091,Date of visit,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Visit Date For Enrollment Questionaire for Cases,Date,GEMS1
309,,24,F4B_WT_CHILD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010070,Weight of caretaker + child (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight 0-23 months Caretaker + Child,Num,
310,,25,F4B_WT_CARE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010071,Weight of caretaker alone (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight 0-23 months Caretaker alone,Num,
312,,1,F4B_WEIGHT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated Weight,Num,GEMS1
313,,8,F4B_WAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000733,Weight for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight for Age,Num,GEMS1
314,,1,F4B_WAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015121,WAZ <-6 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZWAZ<-6 or _ZWAZ>5,0,GEMS1
315,,17,F4B_HT1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010075,"Height, 1st (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 1st,Num,
316,,18,F4B_HT2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010076,"Height, 2nd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 2nd,Num,
317,,19,F4B_HT3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010077,"Height, 3rd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 3rd,Num,
318,,2,F4B_HEIGHT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010078,Height; mean (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated mean height,Num,GEMS1
319,,3,F4B_HEIGHT_MEDIAN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010079,Height; median (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated median height,Num,GEMS1
320,,11,F4B_HAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000689,Length/height for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Length/height-for-age z-score,Num,GEMS1
321,,2,F4B_HAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015122,HAZ <-6 or >6,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _HAZ<-6 or _HAZ>6,0,GEMS1
322,,9,F4B_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000734,Weight for length/height z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight-for-length/height z-score,Num,GEMS1
323,,3,F4B_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015123,WHZ <-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _WHZ<-5 or _WHZ>5,0,GEMS1
324,,12,F4B_MED_HAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010082,Length/height for age z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Length/height-for-age z-score (median ht),Num,GEMS1
325,,4,F4B_MED_HAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015124,HAZ <-6 or >6 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _HAZ<-6 or _HAZ>6 (median ht),0,GEMS1
326,,10,F4B_MED_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010083,Weight for length/height z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight-for-length/height z-score (median ht),Num,GEMS1
327,,5,F4B_MED_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015125,WHZ <-5 or >5 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _WHZ<-5 or _WHZ>5 (median ht),0,GEMS1
328,,20,F4B_MUAC1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010084,"MUAC, 1st (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1c. MUAC 1st,Num,
