uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,keepDiscard,definition,category,termType,notesForOnt,notesForProvider
elicit_data_for_plos_reshaped_v2::sulfonamides,ELICIT,sulfonamides,elicit_data_for_plos_reshaped_v2,sulfonamides,ELICIT_data_for_PLOS_reshaped_v2.csv,102,int,1,NA,NA,0,3,0 to 3,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cephalosporins,ELICIT,cephalosporins,elicit_data_for_plos_reshaped_v2,cephalosporins,ELICIT_data_for_PLOS_reshaped_v2.csv,103,int,0,NA,NA,0,2,0 to 2,3,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::metronidazole,ELICIT,metronidazole,elicit_data_for_plos_reshaped_v2,metronidazole,ELICIT_data_for_PLOS_reshaped_v2.csv,104,int,2,NA,NA,0,6,0 to 6,6,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::fluoroquinolones,ELICIT,fluoroquinolones,elicit_data_for_plos_reshaped_v2,fluoroquinolones,ELICIT_data_for_PLOS_reshaped_v2.csv,105,int,0,NA,NA,0,2,0 to 2,3,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::tetracyclines,ELICIT,tetracyclines,elicit_data_for_plos_reshaped_v2,tetracyclines,ELICIT_data_for_PLOS_reshaped_v2.csv,106,int,0,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::hb,ELICIT,hb,elicit_data_for_plos_reshaped_v2,hb,ELICIT_data_for_PLOS_reshaped_v2.csv,107,dbl,9.8,NA,NA,5.9,17.7,5.9 to 17.7,67,0.958364971,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::hct,ELICIT,hct,elicit_data_for_plos_reshaped_v2,hct,ELICIT_data_for_PLOS_reshaped_v2.csv,108,dbl,27.5,NA,NA,18.3,52.3,18.3 to 52.3,133,0.958364971,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::wbc,ELICIT,wbc,elicit_data_for_plos_reshaped_v2,wbc,ELICIT_data_for_PLOS_reshaped_v2.csv,109,dbl,7.2,NA,NA,0.4,24.8,0.4 to 24.8,118,0.958364971,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::platelets,ELICIT,platelets,elicit_data_for_plos_reshaped_v2,platelets,ELICIT_data_for_PLOS_reshaped_v2.csv,110,dbl,114,NA,NA,0,781,0 to 781,242,0.958364971,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::alt,ELICIT,alt,elicit_data_for_plos_reshaped_v2,alt,ELICIT_data_for_PLOS_reshaped_v2.csv,111,dbl,20.8,NA,NA,6.9,597.5,6.9 to 597.5,201,0.958871172,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::ast,ELICIT,ast,elicit_data_for_plos_reshaped_v2,ast,ELICIT_data_for_PLOS_reshaped_v2.csv,112,dbl,36.8,NA,NA,24.9,261.7,24.9 to 261.7,223,0.960010124,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::bilirubin,ELICIT,bilirubin,elicit_data_for_plos_reshaped_v2,bilirubin,ELICIT_data_for_PLOS_reshaped_v2.csv,113,dbl,3.6,NA,NA,0.2,38.9,0.2 to 38.9,81,0.960895976,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::creatinine,ELICIT,creatinine,elicit_data_for_plos_reshaped_v2,creatinine,ELICIT_data_for_PLOS_reshaped_v2.csv,114,dbl,20,NA,NA,7,81,7 to 81,88,0.958491521,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::bicarb,ELICIT,bicarb,elicit_data_for_plos_reshaped_v2,bicarb,ELICIT_data_for_PLOS_reshaped_v2.csv,115,dbl,18.6,NA,NA,5.7,24.5,5.7 to 24.5,92,0.967223488,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::bun,ELICIT,bun,elicit_data_for_plos_reshaped_v2,bun,ELICIT_data_for_PLOS_reshaped_v2.csv,116,dbl,1.4,NA,NA,0.4,133,0.4 to 133,45,0.958491521,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::sodium,ELICIT,sodium,elicit_data_for_plos_reshaped_v2,sodium,ELICIT_data_for_PLOS_reshaped_v2.csv,117,dbl,138.8,NA,NA,120.6,250,120.6 to 250,99,0.958491521,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::chloride,ELICIT,chloride,elicit_data_for_plos_reshaped_v2,chloride,ELICIT_data_for_PLOS_reshaped_v2.csv,118,dbl,105.4,NA,NA,1.6,139,1.6 to 139,101,0.958491521,NA,keep,,,,,
