uniqueVar,value,mappedTerm,
hh_12m::mrcname,Awach HCIV,Awach HCIV,
hh_12m::mrcname,Pabwo HCIII,Pabwo HCIII,
hh_12m::mrcname,Lalogi HCIV,Lalogi HCIV,
hh_12m::mrcname,Bobi HCIII,Bobi HCIII,
hh_12m::mrcname,Padibe HCIII,Padibe HCIII,
hh_12m::mrcname,Madi-Opei HCIII,Madi-Opei HCIII,
hh_12m::mrcname,Namokora HCIV,Namokora HCIV,
hh_12m::mrcname,Kitgum Matid HC III,Kitgum Matid HC III,
hh_12m::mrcname,Patongo HCIII,Patongo HCIII,
hh_12m::mrcname,Lira-Kato HCIII,Lira-Kato HCIII,
hh_12m::mrcname,Anyeke HCIV,Anyeke HCIV,
hh_12m::mrcname,Otwal HCIII,Otwal HCIII,
hh_12m::mrcname,Aboke HCIV,Aboke HCIV,
hh_12m::mrcname,Bala HCIII,Bala HCIII,
hh_12m::mrcname,Teboke HCIII,Teboke HCIII,
hh_12m::mrcname,Akokoro HCIII,Akokoro HCIII,
hh_12m::mrcname,Aduku HCIV,Aduku HCIV,
hh_12m::mrcname,Apwori HCIII,Apwori HCIII,
hh_12m::mrcname,Lokolia HCIV,Lokolia HCIV,
hh_12m::mrcname,Kalapata HCIII,Kalapata HCIII,
hh_12m::mrcname,Kapelebyong HCIV,Kapelebyong HCIV,
hh_12m::mrcname,Obalanga HCIII,Obalanga HCIII,
hh_12m::mrcname,Morungatuny HCIII,Morungatuny HCIII,
hh_12m::mrcname,Asamuk HCIII,Asamuk HCIII,
hh_12m::mrcname,Kamaca HCIII,Kamaca HCIII,
hh_12m::mrcname,Omatenga HCIII,Omatenga HCIII,
hh_12m::mrcname,Kolir HCIII,Kolir HCIII,
hh_12m::mrcname,Bukedea HCIV,Bukedea HCIV,
hh_12m::mrcname,Kidera HCIV,Kidera HCIV,
hh_12m::mrcname,Bugaya HCIII,Bugaya HCIII,
hh_12m::mrcname,Bumanya HCIV,Bumanya HCIV,
hh_12m::mrcname,Nawaikoke HCIII,Nawaikoke HCIII,
hh_12m::mrcname,Kiyunga HCIV,Kiyunga HCIV,
hh_12m::mrcname,Ikumbya HCIII,Ikumbya HCIII,
hh_12m::mrcname,Budondo HCIV,Budondo HCIV,
hh_12m::mrcname,Butagaya HCIII,Butagaya HCIII,
hh_12m::mrcname,Buwaiswa HCIV,Buwaiswa HCIV,
hh_12m::mrcname,Kigandalo HCIV,Kigandalo HCIV,
hh_12m::mrcname,Lumino HCIII,Lumino HCIII,
hh_12m::mrcname,Busitema HCIII,Busitema HCIII,
### bad dates,,,
hh_member_12m::hm_covidvacdate,0,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,0/06/2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,01/02/20222,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,02/02/20222,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,02/20/20222,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,02/202/2022,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,07/01/20022,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,1-march-202,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,1/dec/20221,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,21-Oct,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,12-11_2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,14- nov-202,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,15-june-202,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,15-oct -202,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,1o-nov-2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,22-Feb,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,2021-11-31,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,2021-15-15,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,2022-20-02,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,28-sep-sep,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,21-Jun,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,9/,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,dd-sep-2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,do not know,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,dont know,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,johnson,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,no card,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,not known,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,not sure,:::UNDEF:::,
hh_member_12m::hm_covidvacdate,unknown,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,0,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,07/0/2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,19-july-202,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,2022-02-31,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,dd-nov-2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,i-9-2021,:::UNDEF:::,
hh_member_12m::hm_covidvacdate2,no card,:::UNDEF:::,
hh_member_24m::hm_covidvacdate,08-ju-2022,:::UNDEF:::,
hh_member_24m::hm_covidvacdate,10-aug-201,:::UNDEF:::,
hh_member_24m::hm_covidvacdate,15-june-202,:::UNDEF:::,
hh_member_24m::hm_covidvacdate,15-sept-202,:::UNDEF:::,
hh_member_24m::hm_covidvacdate2,2022-03-00,:::UNDEF:::,
