# version-2			
health_facility::country	uganda	Uganda	
bednet_24m::netbrandhow	Didn’t see net but was told net type by household resident	Didn't see net but was told net type by household resident	
bednet_24m::netbrandhow	Guessed based on nets distributed in this cluster	Guessed based on nets distributed in this cluster	
bednet_24m::netbrandhow	Saw net + label	Saw net and label	
bednet_24m::netbrandhow	Saw net but not label so guessed	Saw net but not label so guessed	
hh_12m::neteduc	-9	:::UNDEF:::	
hh_12m::neteduc	-7	Don't know	
hh_12m::neteduc	0	No	
hh_12m::neteduc	1	Yes	
hh_24m::neteduc	-9	:::UNDEF:::	
hh_24m::neteduc	-8	Refused to answer	
hh_24m::neteduc	-7	Don't know	
hh_24m::neteduc	0	No	
hh_24m::neteduc	1	Yes	
bednet_12m::nethung	-9	:::UNDEF:::	
bednet_12m::nethung	0	No	
bednet_12m::nethung	1	Yes	
bednet_24m::nethung	-9	:::UNDEF:::	
bednet_24m::nethung	0	No	
bednet_24m::nethung	1	Yes	
bednet_12m::nethungcat	1	Currently hung	
bednet_12m::nethungcat	2	Previously hung	
bednet_12m::nethungcat	3	Never hung	
bednet_12m::nethungcat	NA	:::UNDEF:::	
bednet_24m::nethungcat	1	Currently hung	
bednet_24m::nethungcat	2	Previously hung	
bednet_24m::nethungcat	3	Never hung	
bednet_24m::nethungcat	NA	:::UNDEF:::	
hh_member_12m::netlastnight	0	No	
hh_member_12m::netlastnight	1	Yes	
hh_member_24m::netlastnight	0	No	
hh_member_24m::netlastnight	1	Yes	
hh_12m::nettype	Don't know	Don't know	
hh_12m::nettype	No nets recieved	No nets recieved	
hh_12m::nettype	Permanet 3.0	PermaNet 3.0	
hh_12m::nettype	Royal Guard	Royal Guard	
hh_12m::nettype	Other	:::UNDEF:::	
hh_24m::nettype	Don't know	Don't know	
hh_24m::nettype	No nets recieved	No nets recieved	
hh_24m::nettype	Other	:::UNDEF:::	
hh_24m::nettype	Permanet 3.0	PermaNet 3.0	
hh_24m::nettype	Refused to answer	Refused to answer	
hh_24m::nettype	Royal Guard	Royal Guard	
health_facility::newsiteid	1	Mubende District	
health_facility::newsiteid	2	Mubende District	
health_facility::newsiteid	3	Kayunga District	
health_facility::newsiteid	4	Kayunga District	
health_facility::newsiteid	5	Kyegegwa District	
health_facility::newsiteid	6	Kyegegwa District	
health_facility::newsiteid	7	Kibaale District	
health_facility::newsiteid	8	Kibaale District	
health_facility::newsiteid	9	Hoima District	
health_facility::newsiteid	10	Hoima District	
health_facility::newsiteid	11	Masindi District	
health_facility::newsiteid	12	Masindi District	
health_facility::newsiteid	13	Kiryandongo District	
health_facility::newsiteid	14	Kiryandongo District	
health_facility::newsiteid	15	Arua District	
health_facility::newsiteid	16	Arua District	
health_facility::newsiteid	17	Koboko District	
health_facility::newsiteid	18	Koboko District	
health_facility::newsiteid	19	Moyo District	
health_facility::newsiteid	20	Moyo District	
health_facility::newsiteid	21	Nwoya District	
health_facility::newsiteid	22	Nwoya District	
health_facility::newsiteid	23	Amuru District	
health_facility::newsiteid	24	Amuru District	
health_facility::newsiteid	25	Gulu District	
health_facility::newsiteid	26	Gulu District	
health_facility::newsiteid	27	Omoro District	
health_facility::newsiteid	28	Omoro District	
health_facility::newsiteid	29	Lamwo District	
health_facility::newsiteid	30	Lamwo District	
health_facility::newsiteid	31	Kitgum District	
health_facility::newsiteid	32	Kitgum District	
health_facility::newsiteid	33	Agago District	
health_facility::newsiteid	34	Agago District	
health_facility::newsiteid	35	Oyam District	
health_facility::newsiteid	36	Oyam District	
health_facility::newsiteid	37	Kole District	
health_facility::newsiteid	38	Kole District	
health_facility::newsiteid	39	Apac District	
health_facility::newsiteid	40	Apac District	
health_facility::newsiteid	41	Kwania District	
health_facility::newsiteid	42	Kwania District	
health_facility::newsiteid	43	Kaabong District	
health_facility::newsiteid	44	Kaabong District	
health_facility::newsiteid	45	Kapelebyong District	
health_facility::newsiteid	46	Kapelebyong District	
health_facility::newsiteid	47	Amuria District	
health_facility::newsiteid	48	Amuria District	
health_facility::newsiteid	49	Kumi District	
health_facility::newsiteid	50	Kumi District	
health_facility::newsiteid	51	Bukedea District	
health_facility::newsiteid	52	Bukedea District	
health_facility::newsiteid	53	Buyende District	
health_facility::newsiteid	54	Buyende District	
health_facility::newsiteid	55	Kaliro District	
health_facility::newsiteid	56	Kaliro District	
health_facility::newsiteid	57	Luuka District	
health_facility::newsiteid	58	Luuka District	
health_facility::newsiteid	59	Jinja District	
health_facility::newsiteid	60	Jinja District	
health_facility::newsiteid	61	Mayuge District	
health_facility::newsiteid	62	Mayuge District	
health_facility::newsiteid	63	Busia District	
health_facility::newsiteid	64	Busia District	
hh_member_12m::nobody_net	Household does NOT have bednet-level data	Household does NOT have bednet-level data	
hh_member_12m::nobody_net	Household had nets but participant did not use study bednet	Household had nets but participant did not use study bednet	
hh_member_12m::nobody_net	Participant used study bednet	Participant used study bednet	
hh_member_24m::nobody_net	Household does NOT have bednet-level data	Household does NOT have bednet-level data	
hh_member_24m::nobody_net	Household had nets but participant did not use study bednet	Household had nets but participant did not use study bednet	
hh_member_24m::nobody_net	Participant used study bednet	Participant used study bednet	
hh_12m::nomboat	0	No	
hh_12m::nomboat	1	Yes	
hh_24m::nomboat	0	No	
hh_24m::nomboat	1	Yes	
hh_12m::npeople	-8	:::UNDEF:::	
hh_12m::numaland	-7	:::UNDEF:::	
hh_24m::numaland	-7	:::UNDEF:::	
hh_12m::numalandcol	-7	Don't know	5
hh_12m::numalandcol	1	None	1
hh_12m::numalandcol	2	Less than or equal to 1 acre	2
hh_12m::numalandcol	3	Greater than 1 to 3 acres	3
hh_12m::numalandcol	4	Greater than or equal to 4 acres	4
hh_24m::numalandcol	-7	Don't know	
hh_24m::numalandcol	1	None	5
hh_24m::numalandcol	2	Less than or equal to 1 acre	1
hh_24m::numalandcol	3	Greater than 1 to 3 acres	2
hh_24m::numalandcol	4	Greater than or equal to 4 acres	3
hh_24m::numalandcol	NA	:::UNDEF:::	4
hh_12m::numalanddich	0	None or less than or equal to 1 acre	1
hh_12m::numalanddich	1	Greater than 1 acre	2
hh_24m::numalanddich	0	None or less than or equal to 1 acre	1
hh_24m::numalanddich	1	Greater than 1 acre	2
bednet_12m::obs	Not observed	No	
bednet_12m::obs	Observed	Yes	
bednet_24m::obs	Not observed	No	
bednet_24m::obs	Observed	Yes	
hh_member_12m::odrugdose1	-9	:::UNDEF:::	
hh_member_12m::odrugdose1	PANADOL 3DOSES 1X2 FOR 3DAYS= 300 AND FANSIDER  3TABLETS 1X1 FOR 3DAYS 1400	Panadol 3 doses 1x2 for 3 days = 300; Fansider 3 tabs 1x1 for 3 days 1400	
hh_member_12m::odrugdose1	12 TABLETS 2000	12 tablets 2000	
hh_member_12m::odrugdose1	CIPROFLOXCIN 5TABLEETS, 500	Ciprofloxcin 5 tabs, 500	
hh_member_12m::odrugdose1	FANSIDER	Fansider	
hh_member_12m::odrugdose1	DUOCOTEXIN	Duocotexin	
hh_member_12m::odrugdose1	PIRITON 3 TABS	Piriton 3 tabs	
hh_member_12m::odrugdose1	CHLORAPHERINEMINE	Chlorapherinermine	
hh_member_12m::odrugdose1	0	:::UNDEF:::	
hh_member_12m::odrugdose1	DUOCOTEXIN, 1 TAB, 2000	Duocotexin, 1 tab, 2000	
hh_member_12m::odrugdose1	IBUPROFEN 1000	Ibuprofen 1000	
hh_member_12m::odrugdose1	PARAFENAC 5 1000,LOPERAMIDE 10 CAPS 2000, DEXA 5 1000, METRONIDAZOLE 10 1000	Parafenac 5 1000; Loperamide 10 capsules 2000, Dexa 5 1000, Metronidazole 10 1000	
hh_member_12m::odrugdose1	CETRIZINE	Cetrizine	
hh_member_12m::odrugdose1	SHE DOESNT KNOW	Don't know	
hh_member_12m::odrugdose1	6 FLAGYLL, 0 COST	6 Flagyll, 0 Cost	
hh_member_12m::odrugdose1	METRONIDAZOLE, OMEPRAZOLE	Metronidazole; Omeprazole	
hh_member_12m::odrugdose1	MULTI  VITAMIN	Multi-vitamin	
hh_member_12m::odrugdose1	DICLOFENAC, 2 TABS, 200	Diclofenac, 2 tabs, 200	
hh_member_12m::odrugdose1	MODIUM CAPSULES, 4TABS, 2000	Modium capsules, 4 tabs, 2000	
hh_member_12m::odrugdose1	OTHER 10 TABS, 0	Other 10 tabs, 0	
hh_member_12m::odrugdose1	CEFTRIAXONE, 3 DOSES, 7000	Ceftriaxone, 3 doses, 7000	
hh_member_12m::odrugdose1	SEPTRINE	Septrin	
hh_member_12m::odrugdose1	ACTION	Action	
hh_member_12m::odrugdose1	HEDEX	Hedex	
hh_member_12m::odrugdose1	DECLOFENAC AND EDO	Declofenac and Edo	
hh_member_12m::odrugdose1	1000	1000	
hh_member_12m::odrugdose1	PIRIT0N 1000	Piriton 1000	
hh_member_12m::odrugdose1	CEFTRIAXONE FREE	Ceftriaxone, free	
hh_member_12m::odrugdose1	PRESDNISOLON	Prednisolone	
hh_member_12m::odrugdose1	AMPICILLIN 4 TABS	Ampicillin, 4 tabs	
hh_member_12m::odrugdose1	PIRITEX SYRUP FOR BABIES	Priritex syrup for babies	
hh_member_12m::odrugdose1	VIT C	Vitamin C	
hh_member_12m::odrugdose1	COARTEM	Coartem	
hh_member_12m::odrugdose1	IBRUFEN SYP,MULTIVITAMIN SYRU,ORS,ZINKID TABLETS	Ibrufen syrup, multivitamin syrup, oral rehydration solution, zinkid tablets	
hh_member_12m::odrugdose1	METRONIDAZOLE	Metronidazole	
hh_member_12m::odrugdose1	CEFTRIAXONE 1G METRO 400	Ceftriaxone 1G; Metronidazole 400	
hh_member_12m::odrugdose1	FLUCAP 10 TABS 2500, SEPTRIN 10 TABS1000	Flucap 10 tabs 2500; Septrin 10 tabs, 1000	
hh_member_12m::odrugdose1	PREDINSON 6 TABS	Prednisone 6 tabs	
hh_member_12m::odrugdose1	FLUFED	Flufed	
hh_member_12m::odrugdose1	SEPTRIN 10 TABS 1000	Septrin 10 tabs 1000	
hh_member_12m::odrugdose1	PARTICIPANT DOES NOT KNOW THE OTHER DRUG GIVEN	Don't know	
hh_member_12m::odrugdose2	-9	:::UNDEF:::	
hh_member_12m::odrugdose2	OTHER	Other	
hh_member_12m::odrugdose2	P-ALAXINE, 9TABS, 20000	P-alaxine, 9 tabs, 20000	
hh_member_12m::oproviderperson1	-9	:::UNDEF:::	
hh_member_12m::oproviderperson1	LABORATORY ASSISTANT	Laboratory assistant	
hh_member_12m::oproviderperson1	NOT APPLICABLE	:::UNDEF:::	
hh_member_12m::oproviderperson1	SELF MEDICATION	Self medication	
hh_member_12m::orecommendation1	-9	:::UNDEF:::	
hh_member_12m::orecommendation1	0	:::UNDEF:::	
hh_member_12m::orecommendation1	2 SYRRUPS BUT DONT KNOW THE NAMES	Don't know	
hh_member_12m::orecommendation1	AL	Artemether-lumefantrine	
hh_member_12m::orecommendation1	DEXA	Dexamethasone	
hh_member_12m::orecommendation1	DON'T KNOW	Don't know	
hh_member_12m::orecommendation1	NO	:::UNDEF:::	
hh_member_12m::orecommendation1	NO DRUGS	:::UNDEF:::	
hh_member_12m::orecommendation1	NONE	:::UNDEF:::	
hh_member_12m::orecommendation1	P-ALAXINE	P-alaxine	
hh_member_12m::orecommendation2	-9	:::UNDEF:::	
hh_member_12m::orecommendation2	AZITHROMYCIN	Azithromycin	
hh_member_12m::orecommendation2	BENZOETE	Benzoate	
hh_member_12m::orecommendation2	CEFTRIAXONE	Ceftriaxone	
bednet_12m::othbrandhow	-9	:::UNDEF:::	
bednet_12m::othbrandhow	NO LABEL	:::UNDEF:::	
bednet_12m::othbrandhow	THE NET HAS NO LABEL AND I CAN NOT TELL THE BRAND	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET GOT FROM PREVIOUS CAMPAIGN	:::UNDEF:::	
bednet_12m::othbrandhow	NOLABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET NOT DETERMINED SINCE IT HAS NO LABEL BUT SAW THE NET	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAS NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NO LABEL WAS OBSERVED	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET  HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET OBSERVED BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS OBSERVED AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN AND NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET OBSERVED BUT  NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	BASED ON COLOR ( BLUE ON TOP, WHITE BODY)	Saw net but not label so guessed	
bednet_12m::othbrandhow	BASED ON COLOR ( BLUE ON TOP AND WHITE BODY)	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAS NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW NET, BRAND NOT AVAILABLE BECAUSE IT WAS WORN OUT	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW NET, LABEL NOT AVAILABLE DUE TO BEING WORN OUT	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW BUT NO LLABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO BRAND	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS SEEN BUT HAS NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS SEEN WITH NO LABEL AND VERY VERY OLD	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN  WITH NO LABEL AND VERY, VERY OLD	Saw net but not label so guessed	
bednet_12m::othbrandhow	DIDNOT HAVE ANY LABEL AND SHE SAID SHE GOT IT FROM UCC	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET IS VERY OLD I CANNOT DETERMINE THE BRAND	Saw net but not label so guessed	
bednet_12m::othbrandhow	NO LABEL BUT SHE RECIEVED IT LIKE 3 YEARS BACK	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET AND HAS NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL. THE NETS ARE TOO SMALL CAMPARED TO THE BEDS AVAILABLE	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SEEN THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NO BRAND	Saw net but not label so guessed	
bednet_12m::othbrandhow	NOT KNOWN	:::UNDEF:::	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT THE LABEL IS CUT OFF.	Saw net but not label so guessed	
bednet_12m::othbrandhow	COULD NOT DETERMINE, NET WAS LOCKED IN SEPERATE ROOM	:::UNDEF:::	
bednet_12m::othbrandhow	NET SEEN AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SEEN THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SEEN THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NOT DERTERMINED	:::UNDEF:::	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS SEEN AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET WAS SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	THEY HAD TAKEN IT TO BE WASHED	:::UNDEF:::	
bednet_12m::othbrandhow	NET SEEN AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN AND HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAS  NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	NET SEEN BUT HAD  NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW THE NET BUT HAD NO LABEL	Saw net but not label so guessed	
bednet_12m::othbrandhow	SAW NET BUT NO LABEL	Saw net but not label so guessed	
bednet_24m::othbrandhow	-9	:::UNDEF:::	
bednet_24m::othbrandhow	ANTENATAL	:::UNDEF:::	
bednet_24m::othbrandhow	BOUGHT	:::UNDEF:::	
bednet_24m::othbrandhow	BOUGHT FROM SHOP	:::UNDEF:::	
bednet_24m::othbrandhow	FROM SHOP NO LABEL	Saw net but not label so guessed	
bednet_24m::othbrandhow	NO LABEL	Saw net but not label so guessed	
bednet_24m::othbrandhow	NOT OBESRVED	:::UNDEF:::	
bednet_24m::othbrandhow	NOT OBSERVED	:::UNDEF:::	
hh_member_12m::other	-9	:::UNDEF:::	
hh_member_12m::other	0	No	
hh_member_12m::other	1	Yes	
hh_member_12m::other	NA	:::UNDEF:::	
hh_member_24m::other	-9	:::UNDEF:::	
hh_member_24m::other	0	No	
hh_member_24m::other	1	Yes	
hh_member_24m::other	NA	:::UNDEF:::	
hh_member_24m::otheractivity	-9	:::UNDEF:::	
hh_member_24m::otheractivity	ELECTRICIAN	Electrician	
hh_member_24m::otheractivity	TEACHER	Teacher	
hh_member_24m::otheractivity	DRIVER	Driver	
hh_member_24m::otheractivity	PRIVATE TEACHER	Teacher	
hh_member_24m::otheractivity	BODA BODA RIDER	Driver	
hh_member_24m::otheractivity	SECURITY GUARD	Security guard	
hh_member_24m::otheractivity	MECHANIC	Mechanic	
hh_member_24m::otheractivity	BODA BODA	Driver	
hh_member_24m::otheractivity	TRANSPORT	Transport	
hh_member_24m::otheractivity	JOURNALISM	Journalist	
hh_member_24m::otheractivity	SOCIAL WORKER	Social worker / non-profit	
hh_member_24m::otheractivity	NURSERY TEACHER	Teacher	
hh_member_24m::otheractivity	BODAB0DA	Driver	
hh_member_24m::otheractivity	TECHNICIAN	Technician	
hh_member_24m::otheractivity	FRYING CHAPATI	Cook	
hh_member_24m::otheractivity	RADIO PRESENTER	Radio host	
hh_member_24m::otheractivity	CUTTING GRASS	Landscaper	
hh_member_24m::otheractivity	MASION	Masion	
hh_member_24m::otheractivity	BUTCHER MAN	Butcher	
hh_member_24m::otheractivity	CARPENTER	Carpenter	
hh_member_24m::otheractivity	TAILOR	Tailor	
hh_member_24m::otheractivity	BODABODA	Driver	
hh_member_24m::otheractivity	HEALTH WORKER	Health worker	
hh_member_24m::otheractivity	MANSION	Masion	
hh_member_24m::otheractivity	CLAN CHIEF	Clan chief	
hh_member_24m::otheractivity	MACHANIC	Mechanic	
hh_member_24m::otheractivity	MIDWIFE	Health worker	
hh_member_24m::otheractivity	BUILDER	Carpenter	
hh_member_24m::otheractivity	PRIMARY TEACHER	Teacher	
hh_member_24m::otheractivity	SALLON ATTENDANT	Waiter / bartender	
hh_member_24m::otheractivity	LCV COUNSELLOR	Government official	
hh_member_24m::otheractivity	BODABODA RIDER	Driver	
hh_member_24m::otheractivity	RELIGIOUS LEADER	Pastor	
hh_member_24m::otheractivity	SALOON ATTENDANT	Waiter / bartender	
hh_member_24m::otheractivity	TAILERING	Tailor	
hh_member_24m::otheractivity	ACCOUNTANT	Accountant	
hh_member_24m::otheractivity	INFORMATION TECHNOLOGIST	Information technologist	
hh_member_24m::otheractivity	PLATE HAIR	Beautician	
hh_member_24m::otheractivity	SOLDIER	Soldier	
hh_member_24m::otheractivity	PASTOR	Pastor	
hh_member_24m::otheractivity	REGISTRATION OFFICER NIRA	Government official	
hh_member_24m::otheractivity	RECORD OFFICER	Government official	
hh_member_24m::otheractivity	LAWYER	Lawyer	
hh_member_24m::otheractivity	TEACHER PRIVATE SCHOOL	Teacher	
hh_member_24m::otheractivity	SECURITY PERSON	Security guard	
hh_member_24m::otheractivity	SCHOOL METRON	Teacher	
hh_member_24m::otheractivity	FISH FOLK	Fisher	
hh_member_24m::otheractivity	NURSING ASSISTANT	Health worker	
hh_member_24m::otheractivity	WORKS AT COMPASSION UGANADA	Social worker / non-profit	
hh_member_24m::otheractivity	RESTAURANT	Waiter / bartender	
hh_member_24m::otheractivity	RETIRED CIVIL SERVANT	Retired	
hh_member_24m::otheractivity	LECTURER KYAMBOGO UNIVERSITY	Teacher	
hh_member_24m::otheractivity	LIBRARIAN	Librarian	
hh_member_24m::otheractivity	RETIRED TEACHER	Retired	
hh_member_24m::otheractivity	BREWER	Brewer	
hh_member_24m::otheractivity	WELDER	Welder	
hh_member_24m::otheractivity	HAIR DRESSER	Beautician	
hh_member_24m::otheractivity	LC CHAIRMAN	Government official	
hh_member_24m::otheractivity	NURSERY SCHOOL HEADTEACHER	Teacher	
hh_member_24m::otheractivity	FISH MONGER	Shopkeeper / retail	
hh_member_24m::otheractivity	HAIR PLAITING	Beautician	
hh_member_24m::otheractivity	LC 1 CHAIRMAN	Government official	
hh_member_24m::otheractivity	VHT	Other	
hh_member_24m::otheractivity	CATTLE KEEPING	Rancher	
hh_member_24m::otheractivity	CATTLE KEEPER	Rancher	
hh_member_24m::otheractivity	CATTLE REARING	Rancher	
hh_member_24m::otheractivity	TAILORING	Tailor	
hh_member_24m::otheractivity	SECURITY	Security guard	
hh_member_24m::otheractivity	TEACHER PRIVATE	Teacher	
hh_member_24m::otheractivity	HOUSE WIFE	No occupation	
hh_member_24m::otheractivity	HOUSEWIFE	No occupation	
hh_member_24m::otheractivity	PASTER IN CHURCH	Pastor	
hh_member_24m::otheractivity	HIOUSE WIFE	No occupation	
hh_member_24m::otheractivity	HUSE WIFE	No occupation	
hh_member_24m::otheractivity	PRIMARY TEACHER PRIVATE	Teacher	
hh_member_24m::otheractivity	VENDOR	Shopkeeper / retail	
hh_member_24m::otheractivity	TRANSPORTER	Driver	
hh_member_24m::otheractivity	BAR VENDOR	Waiter / bartender	
hh_member_24m::otheractivity	BODA RIDER	Driver	
hh_member_24m::otheractivity	BODA TRANSPOTER	Driver	
hh_member_24m::otheractivity	CHACOAL VENDOR	Shopkeeper / retail	
hh_member_24m::otheractivity	MARKET VENDOR	Shopkeeper / retail	
hh_member_12m::othercost1	-9	:::UNDEF:::	
hh_member_12m::othercost1	1	Medical Supplies	
hh_member_12m::othercost1	2	Inpatient stay	
hh_member_12m::othercost1	3	Other investigations	
hh_member_12m::othercost1	4	Other	
hh_member_12m::othercost1	5	None	
hh_member_12m::othercost2	-9	:::UNDEF:::	
hh_member_12m::othercost2	5	None	
hh_12m::othernet	-9	:::UNDEF:::	
hh_12m::othernet	0	:::UNDEF:::	
hh_12m::othernet	DONT KNOW	:::UNDEF:::	
hh_12m::othernet	NET WITHOUT A LABEL	:::UNDEF:::	
hh_12m::othernet	NO LABEL ON THE NETS	:::UNDEF:::	
hh_12m::othernet	NOT SEEN	:::UNDEF:::	
hh_12m::othernet	OLYSET NET	Olyset Net	
hh_24m::othernet	-9	:::UNDEF:::	
hh_24m::othernet	Olyset Net	Olyset Net	
hh_24m::othernet	Olyset Net Plus	Olyset Net Plus	
hh_24m::othernet	Safi net	Safi net	
hh_12m::otherrgs	-9	:::UNDEF:::	
hh_12m::otherrgs	THEY SAID THEY WOULD COME BACK T SPRAY BUT HAVE NOT RETURNED UP T NOW	No one came to spray	
hh_24m::otherrgs	-9	:::UNDEF:::	
hh_24m::otherrgs	0	:::UNDEF:::	
hh_24m::otherrgs	N/A	:::UNDEF:::	
hh_24m::otherrgs	NEVER	No one came to spray	
hh_24m::otherrgs	NEVER APEARED	No one came to spray	
hh_24m::otherrgs	NEVER BEFORE	No one came to spray	
hh_24m::otherrgs	NEVER CAME	No one came to spray	
hh_24m::otherrgs	NO BODY CAME TO SPRAY	No one came to spray	
hh_24m::otherrgs	NO ONE CAME	No one came to spray	
hh_24m::otherrgs	NO ONE CAME TO SPRAY	No one came to spray	
hh_24m::otherrgs	NOBODY CAME TO SPRAY	No one came to spray	
hh_24m::otherrgs	O	:::UNDEF:::	
hh_24m::otherrgs	SOMEONE DID NOT COME	No one came to spray	
hh_member_12m::othhm_covidvac_type2	-9	:::UNDEF:::	
hh_member_12m::othhm_covidvac_type2	COVISHIELD	Covishield	
hh_member_12m::othhm_covidvac_type2	JOHNSON	Janssen (Johnson & Jonhson)	
hh_member_12m::othhm_covidvac_type2	JOHNSON AND JOHNSON	Janssen (Johnson & Jonhson)	
hh_member_12m::othhm_covidvac_type2	MODENA	Moderna	
hh_member_12m::othhm_covidvac_type2	MODERAN	Moderna	
