variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq26dvcrdvd,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0022013,DVD,6,Household assets: VCR/DVD player,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: VCR/DVD player,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26gfloorcementedtiledcarpert,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063129,Wood floor/ceramic tiles/cement/carpet,7,"Household assets: Floor made of wood, ceramic tiles, cement, carpet",Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,"Household assets: Floor made of wood, ceramic tiles, cement, carpet","1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdfacilitycategory,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0050506,Facility type,1,Facility category,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Facility category,"1=Hospital, 2= Health center, 3=Dispensary, 4=Youth friendly center, 5=DICES/DICs, 6=Private clinic, 7=Other",variable,,,,,jilinde_costing_survey,,,,,,,,,
q40initialvisitmodeofpayment1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063102,Mode of payment for initial clinic visit,1,Mode of payment,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Mode of payment,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q42initialvisitsourceoffunds1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063103,Source of funds for initial visit,2,Source of funds,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Source of funds,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq18havehealthinsurancecover,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063123,Have health insurance coverage,3,Do you have a health insurance cover?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Do you have a health insurance cover?,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq19typeofinsurance,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063124,Type of health insurance,4,Type of health insurance,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Type of health insurance,"1=NHIF
2=Employer based health insurance
3=Privately purchased health insurance
4=Any insurance",variable,,,,,jilinde_costing_survey,,,,,,,,,
q38amount1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063340,Cost of service in local currency,5,"Cost of service (in local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"Cost of service (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q42amount1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063341,Amount of funds in local currency,6,"Amount of funds (in local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"Amount of funds (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063379,Payment for transport to and from this provider for initial visit,7,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Initial visit",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Initial visit",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063380,Payment for transport to and from this provider for 1st review visit,8,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 1",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063381,Payment for transport to and from this provider for 2nd review visit,9,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 2",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063382,Payment for transport to and from this provider for 3rd review visit,10,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 3",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063383,Payment for transport to and from this provider for 4th review visit,11,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 4",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063384,Payment for transport to and from this provider for 5th review visit,12,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 5",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063385,Payment for transport to and from this provider for 6th review visit,13,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 6",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 6",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063386,Payment for transport to and from this provider for 7th review visit,14,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 7",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 7",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq3maritalstatus,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,1,What is your marital status?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is your marital status?,"1=Never married/ Single, 
2=Married/In-union,
3=Living together,
4=Widowed, Separated, Divorced",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq5areligion,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,2,What is your religion?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is your religion?,"1=Roman Catholic
2=Protestant/Other Christian
3=Muslim
4=No Religion
99=Other (Specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq5breligionother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,3,What is your religion?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other religion specified (map this var to cdq5areligion),,variable,,,,,jilinde_costing_survey,,,,,,,,,
q15btotalmonthly,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054180,Monthly income in local currency,4,Total monthly income,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Total monthly income,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30itotalincome,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054180,Monthly income in local currency,5,Total monthly income,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Total monthly income,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q1bkeypopother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054277,Self-defined group,6,Which of the key population groups do you fit into?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Map to cdq1akeypopulation,,variable,,,,,jilinde_costing_survey,,,yes,,,,,,
cdq1akeypopulation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054277,Self-defined group,7,Which of the key population groups do you fit into?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Which of the key population groups do you fit into?,"1=FSW, 2=MSM, 3=AGYW, 4=General population, 99=Other (specify)",variable,,,,,jilinde_costing_survey,,,yes,,,,,,
q2age,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0056602,Age at last birthday,8,How old were you at your last birthday? (years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How old were you at your last birthday? (years),,variable,,,,,jilinde_costing_survey,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
q14earningperday,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063104,Daily income in local currency,9,"If you are working, how much do you earn per day from your work? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"If you are working, how much do you earn per day from your work? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq4levelofedcation,jilinde_costing_survey,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,10,What is the highest grade/ year you completed?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the highest grade/ year you completed?,"0=No grade completed (none)
1=Primary incomplete
2=Primary complete
3=Secondary incomplete
4=Secondary complete	
5=College/Higher/Tertiary (completed)
6=College/Higher /Tertiary (not completed)
99=No response",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq20typeofdwelling,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,1,What is main type of dwelling of the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,What is main type of dwelling of the household?,"1=Permanent building
2=Semi Permanent
3=Temporary",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq23ahowmanybedrooms,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,2,How many bedrooms does the house/property have?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,How many bedrooms does the house/property have?,"1=Single room
2=Two bedrooms
3=Three bedrooms
4=Four bedrooms
5=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq21awhoownsthehouse,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063125,Owner of house,3,Who owns the house the household occupies?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Who owns the house the household occupies?,"1=Owned by family or one of its members
2=Rented
3=Occupied without payment
4=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq22ownedbyfamilyspewho,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063126,Owner of house specified,4,Who owns the house specified,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Who owns the house specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq23bspecifyother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063127,Sleeping rooms in dwelling specified,5,Number of bedrooms specified,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of bedrooms specified,,variable,,,,,jilinde_costing_survey,,,yes,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,1,,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,,,,,,jilinde_costing_survey,,,,,,,,,
cdq7currentlyemployed,jilinde_costing_survey,http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,1,Are you currently employed? (i.e. worked or held a job in the past 7 days),Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Are you currently employed? (i.e. worked or held a job in the past 7 days),"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
q15aworkingdaysperweek,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000350,Time spent in occupation every week,2,How many days per week do you work?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,How many days per week do you work?,,variable,,,,,jilinde_costing_survey,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
cdq9aoccupation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,3,"If you worked at any time during the 12 months prior to this interview, what is your Occupation? (i.e. the job held or the kind of work performed during the reference    period)",Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,"If you worked at any time during the 12 months prior to this interview, what is your Occupation? (i.e. the job held or the kind of work performed during the reference    period)","1=Professional/technical/managerial
2=Clerical
3=Sales and services
4=Skilled manual	
5=Un-skilled manual
6=Domestic service	
7=Commercial sex worker
8=Others (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq9bocupationother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053126,Occupation specified,4,Other occupation specified,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Other occupation specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq9coccupationother2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053126,Occupation specified,5,Other occupation specified (map to cdq9bocupationother1),Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Other occupation specified (map to cdq9bocupationother1),,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq8employedinlast12months,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063116,Work at any time during the 12 months prior to this interview,6,"If not currently employed, did you work at any time during the 12 months prior to this interview?",Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,"If not currently employed, did you work at any time during the 12 months prior to this interview?","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq13typeofearnings,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063120,Type of earnings,7,What type of earnings were you paid?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,What type of earnings were you paid?,"1=Cash only
2=Cash and in kind	
3=In-kind only	
4=Not paid",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq16typeofemployer,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063121,Type of employer,8,What type of employer did you have?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,What type of employer did you have?,"1=Employed by family member
2=Employed by Non-family member
3=Self-employed",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq17employmentfrequency,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063122,Employment all year round,9,Do you have employment all year round?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Do you have employment all year round?,"1=All year
2=Seasonal
3=Occasional",variable,,,,,jilinde_costing_survey,,,,,,,,,
q31aexpensesfoodandnonalcoholicb,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063327,Monthly expenditure on food and non-alcoholic beverages,1,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Food and non-alcoholic beverages",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Food and non-alcoholic beverages",,variable,"Please make new """"Expenditure"""" category under http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic factors",,,,jilinde_costing_survey,,,,,,,,,
q31bexpenseshouserent,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063328,Monthly expenditure on house rent,2,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): House rent (if applicable)",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): House rent (if applicable)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31cexpensesclothingsbeddingsfoo,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063329,"Monthly expenditure on clothing, bedding, footwear",3,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Clothing, beddings, footwear",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Clothing, beddings, footwear",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31dexpenseswaterecletricitygasf,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063330,Monthly expenditure on utilities,4,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Water, electricity, gas, and fuels (including firewood)",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Water, electricity, gas, and fuels (including firewood)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31eexpenseshhequipmentsfurnitur,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063331,Monthly expenditure on household,5,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Furniture, household equipment, and routine maintenance of the house",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Furniture, household equipment, and routine maintenance of the house",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31fexpenseshealthcaremedical,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063332,Monthly expenditure on healthcare,6,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Healthcare and medical expenses",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Healthcare and medical expenses",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31gexpensestransport,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063333,Monthly expenditure on transport,7,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Transport",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Transport",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31hexpensescommunicationphonech,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063334,Monthly expenditure on communication,8,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Communication including phone charges",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Communication including phone charges",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31iexpenseseducation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063335,Monthly expenditure on education,9,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Education (including fees, purchase of books, etc.",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Education (including fees, purchase of books, etc.",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31jexpensesdomesticworker,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063336,Monthly expenditure on payment of domestic workers,10,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Payment of domestic workers",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Payment of domestic workers",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31kotherexpenses1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063337,Other monthly expenditure,11,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Other expenses",Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Other expenses",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31lotherexpenses2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063337,Other monthly expenditure,12,Map to variable: q31kotherexpenses1,Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,Map to variable: q31kotherexpenses1,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31mtotalexpenditure,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063339,Total monthly expenditure in local currency,13,Total monthly expenditure,Participant,http://purl.obolibrary.org/obo/EUPATH_0063326,Expenditure,Total monthly expenditure,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdcounty,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,1,County,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,County,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdsubcounty,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063112,Sub-county in Kenya,2,Sub county,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Sub county,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
q43initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063342,Time between arrival and being seen by a clinician for initial visit,1,How long did you wait between arrival and being seen by a clinician? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063343,Time between arrival and being seen by a clinician for 1st review visit,2,How long did you wait between arrival and being seen by a clinician? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063344,Time between arrival and being seen by a clinician for 2nd review visit,3,How long did you wait between arrival and being seen by a clinician? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063345,Time between arrival and being seen by a clinician for 3rd review visit,4,How long did you wait between arrival and being seen by a clinician? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063346,Time between arrival and being seen by a clinician for 4th review visit,5,How long did you wait between arrival and being seen by a clinician? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063347,Time between arrival and being seen by a clinician for 5th review visit,6,How long did you wait between arrival and being seen by a clinician? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063348,Time between arrival and being seen by a clinician for 6th review visit,7,How long did you wait between arrival and being seen by a clinician? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063349,Time between arrival and being seen by a clinician for 7th review visit,8,How long did you wait between arrival and being seen by a clinician? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you wait between arrival and being seen by a clinician? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063350,Time between consultation and exit for Initial visit,9,How long did you spend after consultation and the point of exit? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063351,Time between consultation and exit for 1st review visit,10,How long did you spend after consultation and the point of exit? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063352,Time between consultation and exit for 2nd review visit,11,How long did you spend after consultation and the point of exit? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063353,Time between consultation and exit for 3rd review visit,12,How long did you spend after consultation and the point of exit? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063354,Time between consultation and exit for 4th review visit,13,How long did you spend after consultation and the point of exit? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
