variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
q50reviewvisit5,jilinde_costing_survey,,Payment for transport to and from this provider for 5th review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 5",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit6,jilinde_costing_survey,,Payment for transport to and from this provider for 6th review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 6",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 6",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit7,jilinde_costing_survey,,Payment for transport to and from this provider for 7th review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 7",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 7",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q29totalmonthlyincomeforhhold,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000727,Family income in local currency,"Average total monthly income for household (in local currency, Kshs)",Household,,,"Average total monthly income for household (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdfacilityname,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053050,Facility name,Facility name,Participant,,,Facility name,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdsubcounty,jilinde_costing_survey,,Sub-county in Kenya,Sub county,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Sub county,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdcounty,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,County,Participant,,,County,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdfacilitycategory,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0050506,Facility type,Facility category,Participant,,,Facility category,"1=Hospital, 2= Health center, 3=Dispensary, 4=Youth friendly center, 5=DICES/DICs, 6=Private clinic, 7=Other",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdmanagingauthority,jilinde_costing_survey,,,,Participant,,,,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq3maritalstatus,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,What is your marital status?,Participant,,,What is your marital status?,"1=Never married/ Single, 
2=Married/In-union,
3=Living together,
4=Widowed, Separated, Divorced",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq4levelofedcation,jilinde_costing_survey,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,What is the highest grade/ year you completed?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the highest grade/ year you completed?,"0=No grade completed (none)
1=Primary incomplete
2=Primary complete
3=Secondary incomplete
4=Secondary complete	
5=College/Higher/Tertiary (completed)
6=College/Higher /Tertiary (not completed)
99=No response",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq5areligion,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,What is your religion?,Participant,,,What is your religion?,"1=Roman Catholic
2=Protestant/Other Christian
3=Muslim
4=No Religion
99=Other (Specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq5breligionother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,What is your religion?,Participant,,,Other religion specified (map this var to cdq5areligion),,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq6areadnewspaper,jilinde_costing_survey,,Read newspaper at least once a week,Do you read a newspaper at least once a week?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Do you read a newspaper at least once a week?,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq6bwatchtv,jilinde_costing_survey,,Watch television at least once a week,Do you watch television at least once a week?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022067,Activity,Do you watch television at least once a week?,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq6clistentoradio,jilinde_costing_survey,,Listen to radio at least once a week,Do you listen to the radio at least once a week?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Activity,Do you listen to the radio at least once a week?,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq6dallthreemedia,jilinde_costing_survey,,Use media at least once a week,"Do you use all three media- newspaper, TV, radio- at least once a week?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Activity,"Do you use all three media- newspaper, TV, radio- at least once a week?","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq6enomedia,jilinde_costing_survey,,Not use media at least once a week,"Do you use no media- newspaper, TV, radio- at least once a week?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022070,Activity,"Do you use no media- newspaper, TV, radio- at least once a week?","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq7currentlyemployed,jilinde_costing_survey,http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,Are you currently employed? (i.e. worked or held a job in the past 7 days),Participant,,,Are you currently employed? (i.e. worked or held a job in the past 7 days),"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq8employedinlast12months,jilinde_costing_survey,,Work at any time during the 12 months prior to this interview  ,"If not currently employed, did you work at any time during the 12 months prior to this interview?    
",Participant,,,"If not currently employed, did you work at any time during the 12 months prior to this interview?    
","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq9aoccupation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation ,"If you worked at any time during the 12 months prior to this interview, what is your Occupation? (i.e. the job held or the kind of work performed during the reference    period)",Participant,,,"If you worked at any time during the 12 months prior to this interview, what is your Occupation? (i.e. the job held or the kind of work performed during the reference    period)","1=Professional/technical/managerial
2=Clerical
3=Sales and services
4=Skilled manual	
5=Un-skilled manual
6=Domestic service	
7=Commercial sex worker
8=Others (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq9bocupationother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053126,Occupation specified,Other occupation specified,Participant,,,Other occupation specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq9coccupationother2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053126,Occupation specified,Other occupation specified (map to cdq9bocupationother1),Participant,,,Other occupation specified (map to cdq9bocupationother1),,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq10ifmarrpartneremployed,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0051716,Partner currently employed,"If married or staying together, is your partner currently employed? (i.e. worked or held a job in the past 7 days)",Participant,,,"If married or staying together, is your partner currently employed? (i.e. worked or held a job in the past 7 days)","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq11partneremplinlast12,jilinde_costing_survey,,Partner work at any time during the 12 months prior to this interview ,"If not currently employed, did participant's spouse/partner work at any time during the 12 months prior to this interview?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"If not currently employed, did participant's spouse/partner work at any time during the 12 months prior to this interview?","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq12apartnersoccupation,jilinde_costing_survey,,Occupation of partner,"In case your partner/spouse worked at any time during the 12 months prior to this interview, what is his/her Occupation? (i.e. the job held or the kind of work performed)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"In case your partner/spouse worked at any time during the 12 months prior to this interview, what is his/her Occupation? (i.e. the job held or the kind of work performed)","1=Professional/technical/managerial
2=Clerical
3=Sales and services
4=Skilled manual	
5=Un-skilled manual
6=Domestic service	
7=Commercial sex worker
8=Others (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq12bpartnersotheroccupation1,jilinde_costing_survey,,Occupation of partner specified,Partner's other occupation specified,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Partner's other occupation specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq13typeofearnings,jilinde_costing_survey,,Type of earnings ,What type of earnings were you paid?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,What type of earnings were you paid?,"1=Cash only
2=Cash and in kind	
3=In-kind only	
4=Not paid",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq16typeofemployer,jilinde_costing_survey,,Type of employer,What type of employer did you have?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,What type of employer did you have?,"1=Employed by family member
2=Employed by Non-family member
3=Self-employed",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq17employmentfrequency,jilinde_costing_survey,,Employment all year round ,Do you have employment all year round?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Do you have employment all year round?,"1=All year
2=Seasonal
3=Occasional",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq18havehealthinsurancecover,jilinde_costing_survey,,Have a health insurance cover ,Do you have a health insurance cover?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Do you have a health insurance cover?,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq19typeofinsurance,jilinde_costing_survey,,Type of health insurance,Type of health insurance,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Type of health insurance,"1=NHIF
2=Employer based health insurance
3=Privately purchased health insurance
4=Any insurance",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq20typeofdwelling,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,What is main type of dwelling of the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,What is main type of dwelling of the household?,"1=Permanent building
2=Semi Permanent
3=Temporary",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq21awhoownsthehouse,jilinde_costing_survey,,Owner of house,Who owns the house the household occupies?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Who owns the house the household occupies?,"1=Owned by family or one of its members
2=Rented
3=Occupied without payment
4=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq22ownedbyfamilyspewho,jilinde_costing_survey,,Owner of house specified,Who owns the house specified,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Who owns the house specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq23ahowmanybedrooms,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,How many bedrooms does the house/property have?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,How many bedrooms does the house/property have?,"1=Single room
2=Two bedrooms
3=Three bedrooms
4=Four bedrooms
5=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq23bspecifyother1,jilinde_costing_survey,,Sleeping rooms in dwelling specified,Number of bedrooms specified,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of bedrooms specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq25atypeoftoiletfacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,What type of toilet facility does the household use?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,What type of toilet facility does the household use?,"1=Flush Toilet
2=Traditional Pit latrine
3=Ventilated Improved Pit Latrine (VIP)
4=No Facility/Bush/Field 
5=Bucket Latrine
6=Other (Specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq25bothertype1,jilinde_costing_survey,,Toilet type specified,Other type of toilet facility,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Other type of toilet facility,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,Household,,,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq26aelectricity,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,Household assets: Electricity,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Electricity,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26bradio,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,Household assets: Radio,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Radio,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26ctvset,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000579,Television,Household assets: TV,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: TV,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26dvcrdvd,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0022013,DVD,Household assets: VCR/DVD player,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: VCR/DVD player,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26etelephone,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),Household assets: Telephone,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Telephone,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26fcarpicktruck,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,Household assets: Car/Pick-up truck,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Car/Pick-up truck,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq26gfloorcementedtiledcarpert,jilinde_costing_survey,,Wood floor/ceramic tiles/cement/carpet,"Household assets: Floor made of wood, ceramic tiles, cement, carpet",Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,"Household assets: Floor made of wood, ceramic tiles, cement, carpet","1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,,Household,,,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq27atappedwater,jilinde_costing_survey,,Tap water,Source of water: tap water,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: tap water,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27bprotctdshalowwellorboreho,jilinde_costing_survey,,Protected shallow well or borehole,Source of water: protected shallow well or borehole,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: protected shallow well or borehole,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27cprotectedspring,jilinde_costing_survey,,Protected spring,Source of water: protected spring,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: protected spring,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27drainwater,jilinde_costing_survey,,Rainwater,Source of water: rainwater,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: rainwater,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27eunprotectedwellspring,jilinde_costing_survey,,Unprotected dug well /unprotected spring,Source of water: unprotected dug well /unprotected spring,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: unprotected dug well /unprotected spring,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27fsurfacewater,jilinde_costing_survey,,Surface water,Source of water: surface water,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Source of water: surface water,"1=Yes, 2=No",value ,,,,,jilinde_costing_survey,,,,,,,,,
cdq27gotherssources1,jilinde_costing_survey,,Other water source,Other water source,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Other water source,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq27hothersources2,jilinde_costing_survey,,Other water source,Other water source,Household,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Other water source,,variable,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Source of monetary support,,,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28ainterviewee,jilinde_costing_survey,,Interviewee,Who provides monetary support for your family: Interviewee,Household,,Source of monetary support,Who provides monetary support for your family: Interviewee,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28bspouceorpartner,jilinde_costing_survey,,Spouse or partner,Who provides monetary support for your family: Spouse or partner,Household,,Source of monetary support,Who provides monetary support for your family: Spouse or partner,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28cchildren,jilinde_costing_survey,,Children,Who provides monetary support for your family: Children,Household,,Source of monetary support,Who provides monetary support for your family: Children,"1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28dotherspecify1,jilinde_costing_survey,,Other sources of monetary support,Other sources of monetary support,Participant,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other sources of monetary support,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28eotherspecify2,jilinde_costing_survey,,Other sources of monetary support,Other sources of monetary support,Participant,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other sources of monetary support,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30gothersources1,jilinde_costing_survey,,Average monthly income from other sources,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",Participant,,,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for initial visit","What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for initial visit ","What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for initial visit ","What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitother,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for initial visit  specified","What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason1,jilinde_costing_survey,,1st main reason for choosing this facility/site/service provider for review visit 1,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 1","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 1","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1other,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for review visit 1 specified","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 2","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 2","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 2","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2other,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for review visit 2 specified","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 3","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 3","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 3","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3other,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for review visit 3 specified","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 4","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
