overallOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,Data.Dictionary.Label..en.,file_name_in_box.net,IRI,label,duplicated,dateTime,flag
203,tos,Peru_F3,keep,,Days with cough,numeric,,,,,,,
204,otro1,Peru_F3,,"Don't know what other symptoms are, so may discard",Other symptom (1),,,,,,,,
205,otro2,Peru_F3,,"Don't know what other symptoms are, so may discard",Other symptom (2),,,,,,,,
206,fecres,Peru_F3,discard,,Date of result,,,,,,,yes,
207,resMIN,Peru_F3,discard,"Supposed to code to WHO standards (pg 81, http://apps.who.int/iris/bitstream/handle/10665/44208/9789241547826_eng.pdf?sequence=1) but codes don't make sense, probably entered incorrectly",Thick smear result - ministry of health,,,,,,yes,,
208,resPro,Peru_F3,keep,,Thick smear result - ICEMR project,,"1 - Negative, 2 - Plasmodium vivax, 3 - Plasmodium falciparum",,,,yes,,
209,vivano,Peru_F3,keep,"Doesn�t usually equal tiecom, combine with viaja below",Years lived in community,,,,,,tiecom,yes,
210,vivme,Peru_F3,keep,combine with vivano,Days lived in community,,,,,,yes,yes,
211,viaja,Peru_F3,keep,,Do you travel?,,"1 - Yes, 2 - No",,,,,,
212,frec,Peru_F3,keep,Combine with valfreq,"Frequency of travel, unit",,"Days, months, years",,,,,,
213,valfrec,Peru_F3,keep,combine with frec,"Frequency of travel, numeric",,numeric,,,,,,
214,motvia,Peru_F3,keep,,Reason for travels,,,,,,,,
215,ultvia,Peru_F3,keep,,Traveled in the past 30 days,,,,,,,,
216,reg,Peru_F3,keep,,When returned from travels,,,,,,,,
217,durvia1,Peru_F3,keep,,Number of days each trip (1),,,,,,,,
218,durvia2,Peru_F3,discard,No data available,Number of days each trip (2),,,,,,,,
219,durvia3,Peru_F3,discard,No data available,Number of days each trip (3),,,,,,,,
220,durvia4,Peru_F3,discard,No data available,Number of days each trip (4),,,,,,,,
221,rio1,Peru_F3,keep,,River used for travel on each trip (1),"1. Chambira
2. Pintuyacu
3. Ucayali
4. Tigre
5. Putumayo
5. Pastaza
7. Napo
8. Nanay
9. Morona
10. Momon
11. Maranon
12. Huallaga
13. Amazonas
14. Itaya
15. Mazan
16. Others (specify)
77. Don't know
99. Not applicable",,,,,yes,,
222,rio2,Peru_F3,discard,No data available,River used for travel on each trip (2),,,,,,,,
223,rio3,Peru_F3,discard,No data available,River used for travel on each trip (3),,,,,,,,
224,rio4,Peru_F3,discard,No data available,River used for travel on each trip (4),,,,,,,,
225,lug1,Peru_F3,keep,,Place or community  visited on each trip or the closest one (1),,,,,,yes,,
226,lug2,Peru_F3,discard,No data available,Place or community  visited on each trip or the closest one (2),,,,,,,,
227,lug3,Peru_F3,discard,No data available,Place or community  visited on each trip or the closest one (3),,,,,,,,
228,lug4,Peru_F3,discard,No data available,Place or community  visited on each trip or the closest one (4),,,,,,,,
229,mal,Peru_F3,keep,,Ever had malaria,1 Yes 2 No,,,,,,,
230,vecmal,Peru_F3,keep,,Number of times had malaria,,,,,,yes,,
231,fecmal1,Peru_F3,keep,,Date malaria 1,,,,,,,,
232,tipmal1,Peru_F3,keep,,Type malaria 1,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
233,fecmal2,Peru_F3,keep,,Date malaria 2,,,,,,,,
234,tipmal2,Peru_F3,keep,,Type malaria 2,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
235,fecmal3,Peru_F3,keep ,,Date malaria 3,,,,,,,,
236,tipmal3,Peru_F3,keep,,Type malaria 3,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
237,fecmal4,Peru_F3,keep,,Date malaria 4,,,,,,,,
238,tipmal4,Peru_F3,keep,,Type malaria 4,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
239,fecmal5,Peru_F3,keep,,Date malaria 5,,,,,,,,
240,tipmal5,Peru_F3,keep,,Type malaria 5,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
241,fecmal6,Peru_F3,keep,,Date malaria 6,,,,,,,,
242,tipmal6,Peru_F3,keep,,Type malaria 6,"1. Vivax
2. Falciparum
3. Mixed
77. Don't know/refused",,,,,,,
243,tto,Peru_F3,keep,,Antimalarial treatment last episode,1 Yes 2 No,,,,,,,
244,famsin,Peru_F3,keep,,"Anyone else in the family currently have fever, headache, or chills",1 Yes 2 No,,,,,,,
245,fammal,Peru_F3,keep,,Anyone else in the family currently have malaria,1 Yes 2 No,,,,,,,
246,mos,Peru_F3,keep,,Have malaria net,1 Yes 2 No,,,,,yes,,
247,mat,Peru_F3,keep,,Mosquito net material,"1 - Tocuyo cotton, 2 - Nylon, 3 - Olyset/PermaNet, 4 - Other",,,,,matmos,,
248,otrmat,Peru_F3,keep,,Other material (specify),,,,,,matmosot,,
249,impmos,Peru_F3,keep,,Malaria net ever treated,1 Yes 2 No,,,,,,,
250,ultimp,Peru_F3,keep,,Last time malaria net treated,"1. Less than 6 months
2. 6-12 months
3. 13-24 months
4. More than 24 months
5. Never treated (since purchase from factory)",,,,,ultimpr,,
251,quimpmos,Peru_F3,keep,,Who treated mosquito net,"1 - Factory, 2 - Household member, 3 - MINSA, 4 - Other",,,,,imprmo,,
252,marca,Peru_F3,keep,combine with otrimp,Brand of mosquito net,,,,,,,,
253,otrimp,Peru_F3,keep,combine with marca,Other brand (specify),,,,,,,,
254,uso,Peru_F3,keep,,How often use mosquito net - past 15 days,"1. Daily
2. 10-14 days
3. 7-8 days
4. Less than 7 days",,,,,,,
255,tiemosaho,Peru_F3,keep,,Years had mosquito net,,,,,,,,
256,tiemosmes,Peru_F3,keep,,Months had mosquito net,,,,,,,,
257,tiemosdia,Peru_F3,keep,,Days had mosquito net,,,,,,,,
258,evimos,Peru_F3,keep,,Prevent mosquitoes biting when use net,1 Yes 2 No,,,,,,,
259,lavmosaho,Peru_F3,keep,,How often wash mosquito net – years,,,,,,,,
260,lavmosmes,Peru_F3,keep,,How often wash mosquito net – months,,,,,,,,
261,lavmosdias,Peru_F3,keep,,How often wash mosquito net – days,,,,,,,,
262,fecfum,Peru_F3,keep,,Date of last fumigation,,,,,,,,
263,coc,Peru_F3,keep,,Main cooking location,"1. Outside
2. Inside the house
3. Other",,,,,,,
264,otrcoc,Peru_F3,keep,,Other cooking location (specify),,,,,,,,
265,com,Peru_F3,keep,,Type of cookfuel used,,,,,,combus,,
266,otrcom,Peru_F3,discard,"few answers, most conflict with answer in com",Other cookfuel (specify),,,,,,comotr,,
267,fec_mues,Peru_F3,keep,,Sample date,,,,,,,,
268,dd,Peru_F3,discard,same as in fec_mues,Day of sample,,,,,,,,
269,mm,Peru_F3,discard,same as in fec_mues,Month of sample,,,,,,,,
270,aa,Peru_F3,discard,same as in fec_mues,Year of sample,,,,,,,,
271,gg_result,Peru_F3,keep,,Thick smear result,"1. Negative
2. Positive - vivax
3. Positive - falciparum
",,,,,,,
272,v_cruces,Peru_F3,discard,,Asexual stage - p. vivax,,,,,,gg_result,,
273,f_cruces,Peru_F3,discard,,Asexual stage - p. falciparum,,,,,,v_cruces,,
274,dens_v_asex,Peru_F3,keep,,"Density of asexual stage vivax, parasite/microliter",,,,,,f_cruces,,
275,dens_v_gam,Peru_F3,keep,,"Density of sexual stage vivax, parasite/microliter",,,,,,dens_v_asex,,
276,dens_f_asex,Peru_F3,keep,,"Density of asexual stage falciparum, parasite/microliter",,,,,,dens_v_gam,,
277,dens_f_gam,Peru_F3,keep,,"Density of sexual stage falciparum, parasite/microliter",,,,,,dens_f_asex,,
278,pcr_result,Peru_F3,keep,,PCR result,"1. Negative
2. Positive - vivax
3. Positive - falciparum
4. Mixed
",,,,,dens_f_gam,,
279,ct_v,Peru_F3,keep,,CT/CQ Value - p. falciparum,,,,,,pcr_result,,
280,ct_f,Peru_F3,keep,,CT/CQ Value - p. vivax,,,,,,ct_v,,
281,qtf_crx_v,Peru_F3,keep,,Density p. falciparum - PCR result copies per rxn,,,,,,ct_f,,
282,qtf_crx_f,Peru_F3,keep,,Density p. vivax - PCR result copies per rxn,,,,,,qtf_crx_v,,
283,observaciones,Peru_F3,discard,,Lab notes,,,,,,qtf_crx_f,,
