Variable	Variable2	values	mappedTerm	valueOrder				
distr_antes_house	distr_antes_house	YURIMAGUAS	Yurimaguas					
refer_antes_house	refer_antes_house	30MIN DE LA CARRETERA BELLAVISTA NANAY	30min de la carretera bellavista nanay					
refer_antes_house	refer_antes_house	AMAZONAS	Amazonas					
refer_antes_house	refer_antes_house	BAJO AMAZONAS	Bajo amazonas					
refer_antes_house	refer_antes_house	RIO	River					
why_antes_house	why_antes_house	1	 Economic reasons (work/commerce)					
why_antes_house	why_antes_house	3	 Documentary procedures					
why_antes_house	why_antes_house	4	 Studies or military service					
why_antes_house	why_antes_house	5	 Violence, insecurity or disputes					
why_antes_house	why_antes_house	7	 Family matters					
why_antes_house	why_antes_house	8	 Environmental conditions (floods or ravines)					
why_antes_house	why_antes_house	88	 Other					
o_why_antes_house	o_why_antes_house	Buscando tierra de labranza	Looking for farmland					
o_why_antes_house	o_why_antes_house	DISTANCIA	Distance					
o_why_antes_house	o_why_antes_house	Fallecimiento de hijo	Death of son					
o_why_antes_house	o_why_antes_house	No tenian terreno	They had no land					
o_why_antes_house	o_why_antes_house	Oportunidad de trabajo	Job opportunity					
o_why_antes_house	o_why_antes_house	Peleas comunales	Communal fights					
o_why_antes_house	o_why_antes_house	Trabajo	Worked					
plan_anio_com	plan_anio_com	0	 No					
plan_anio_com	plan_anio_com	1	 Yes					
si_plan_otra_com	si_plan_otra_com	1 de enero	January 1st					
si_plan_otra_com	si_plan_otra_com	Iquitos	Iquitos					
si_plan_otra_com	si_plan_otra_com	Libertad	Liberty					
si_plan_otra_com	si_plan_otra_com	Puerto Alegre	Port alegre					
si_plan_otra_com_dsitrito	si_plan_otra_com_dsitrito	Iquitos	Iquitos					
si_plan_otra_com_dsitrito	si_plan_otra_com_dsitrito	Mazan	Mazan					
motivos_mudar	motivos_mudar	4	 Studies or military service					
motivos_mudar	motivos_mudar	99	 Don't know/No answer					
o_motivos_mudar	o_motivos_mudar	Ninguno	Ninguno					
fam_casa_siempre_house	fam_casa_siempre_house	0	 No					
fam_casa_siempre_house	fam_casa_siempre_house	1	 Yes					
mes_inicio_vivienda_house	mes_inicio_vivienda_house	1	January		1					
mes_inicio_vivienda_house	mes_inicio_vivienda_house	2	February	2					
mes_inicio_vivienda_house	mes_inicio_vivienda_house	3	March		3				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	4	April		4					
mes_inicio_vivienda_house	mes_inicio_vivienda_house	5	May		5				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	6	June		6				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	7	July		7				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	8	August		8				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	10	October		9				
mes_inicio_vivienda_house	mes_inicio_vivienda_house	12	December	10					
reason_before_house	reason_before_house	1	 Economic reasons (work/commerce)					
reason_before_house	reason_before_house	3	 Documentary procedures					
reason_before_house	reason_before_house	4	 Studies or military service					
reason_before_house	reason_before_house	7	 Family matters					
reason_before_house	reason_before_house	8	 Environmental conditions (floods or ravines)					
reason_before_house	reason_before_house	88	 Other					
o_razon_before_house	o_razon_before_house	CASA PEQUE„A	Small house					
o_razon_before_house	o_razon_before_house	DETERIORO DE CASA	House deterioration					
o_razon_before_house	o_razon_before_house	DETERIORO DE HOGAR	Home deterioration					
o_razon_before_house	o_razon_before_house	DISTANCIA	Distance					
o_razon_before_house	o_razon_before_house	ESTA CERCA A SU CHACRA	It is close to his farm					
o_razon_before_house	o_razon_before_house	MEJOR ZONA	Best area					
o_razon_before_house	o_razon_before_house	MUY CERCA DEL CAMINO	Very close to the road					
o_razon_before_house	o_razon_before_house	OCUPACION DE TERRENO TITULADO	Occupation of titled land					
o_razon_before_house	o_razon_before_house	POR PISCIGRANJA	Por piscigranja					
o_razon_before_house	o_razon_before_house	PROPIEDADES DE AJENAS	By fish farm					
o_razon_before_house	o_razon_before_house	TIENE SU PROPIA CASA	Has his own house					
tipo_casa	tipo_casa	1	House type A: House without walls, with or without wooden floor					
tipo_casa	tipo_casa	2	House type B: House that has one, two or three walls without being able to completely close a room, with or without a wooden floor					
tipo_casa	tipo_casa	3	House type C: House that has at least one closed room, with or without a wooden floor					
tipo_casa	tipo_casa	4	House type D: Completely closed house, with or without wooden floor					
fumigacion	fumigacion	0	 No					
fumigacion	fumigacion	1	 Yes					
material_pared	material_pared	2	 Wood					 
material_pared	material_pared	4	 Straw					
material_pared	material_pared	5	 Mats					
material_pared	material_pared	88	 :::UNDEF:::					
o_material_pared	o_material_pared	SIN PAREDES	No walls					
material_piso	material_piso	2	 Wood					
material_piso	material_piso	3	 Set					
material_piso	material_piso	4	 Unfinished cement					
material_techo	material_techo	1	 Calamine					
material_techo	material_techo	2	 Leaf, palm or straw					
material_techo	material_techo	3	 Cement					
material_techo	material_techo	4	 Wood					
material_techo	material_techo	88	 :::UNDEF::: 					
o_material_techo	o_material_techo	Paja	Paja					
fuente_agua	fuente_agua	2	 Drinking water away from home					
fuente_agua	fuente_agua	3	 Well					
fuente_agua	fuente_agua	5	 River or stream					
fuente_agua	fuente_agua	6	 Rainwater					
fuente_agua	fuente_agua	88	 :::UNDEF:::					
o_fuente_agua	o_fuente_agua	Agua de meza	Table water					
o_fuente_agua	o_fuente_agua	Piscigranja	Fish farm					
tipo_banio	tipo_banio	0	 Does not have					
tipo_banio	tipo_banio	2	 Toilet to drain away from home					
tipo_banio	tipo_banio	3	 Toilet to septic tank					
tipo_banio	tipo_banio	4	 Outhouse					
tipo_banio	tipo_banio	5	 Blind hole					
tipo_banio	tipo_banio	6	 Ecological Toilet					
tipo_banio	tipo_banio	88	 Other 					
o_tipo_banio	o_tipo_banio	BA„O ECOLOGICO	Ecological bathroom					
o_tipo_banio	o_tipo_banio	BA„O ECOLOGICO DE LA UNICEF	Unicef ecological bathroom					
tipo_comb	tipo_comb	1	 Gas ball					
tipo_comb	tipo_comb	2	 Electricity					
tipo_comb	tipo_comb	3	 Coal					
tipo_comb	tipo_comb	4	 Firewood					
equipo_elec_1	equipo_elec_1	0	 No					
equipo_elec_1	equipo_elec_1	1	 Yes					
equipo_elec_1	equipo_elec_1	99	 Don't know/No answer					
equipo_elec_2	equipo_elec_2	0	 No					
equipo_elec_2	equipo_elec_2	1	 Yes					
equipo_elec_3	equipo_elec_3	0	 No					
equipo_elec_3	equipo_elec_3	1	 Yes					
equipo_elec_4	equipo_elec_4	0	 No					
equipo_elec_4	equipo_elec_4	1	 Yes					
equipo_elec_5	equipo_elec_5	0	 No					
equipo_elec_5	equipo_elec_5	1	 Yes					
equipo_elec_6	equipo_elec_6	0	 No					
equipo_elec_6	equipo_elec_6	1	 Yes					
equipo_elec_7	equipo_elec_7	0	 No					
equipo_elec_7	equipo_elec_7	1	 Yes					
transporte_1	transporte_1	0	 No					
transporte_2	transporte_2	0	 No					
transporte_3	transporte_3	0	 No					
transporte_4	transporte_4	0	 No					
transporte_5	transporte_5	0	 No					
transporte_5	transporte_5	1	 Yes					
transporte_6	transporte_6	0	 No					
transporte_6	transporte_6	1	 Yes					
transporte_7	transporte_7	0	 No					
transporte_7	transporte_7	1	 Yes					
transporte_8	transporte_8	0	 No					
transporte_8	transporte_8	1	 Yes					
beneficios_1	beneficios_1	0	 No					
beneficios_1	beneficios_1	1	 Yes					
beneficios_2	beneficios_2	0	 No					
beneficios_2	beneficios_2	1	 Yes					
beneficios_3	beneficios_3	0	 No					
beneficios_3	beneficios_3	1	 Yes					
beneficios_4	beneficios_4	0	 No					
beneficios_4	beneficios_4	1	 Yes					
beneficios_5	beneficios_5	0	 No					
beneficios_5	beneficios_5	1	 Yes					
beneficios_6	beneficios_6	0	 No					
beneficios_6	beneficios_6	1	 Yes					
o_beneficios	o_beneficios	Colegio yachapa	Yachapa college					
programas_1	programas_1	0	 No					
programas_1	programas_1	1	 Yes					
programas_3	programas_3	0	 No					
programas_3	programas_3	1	 Yes					
programas_4	programas_4	0	 No					
programas_4	programas_4	1	 Yes					
programas_5	programas_5	0	 No					
programas_5	programas_5	1	 Yes					
programas_10	programas_10	0	 No					
programas_10	programas_10	1	 Yes					
programas_11	programas_11	0	 No					
capital_social_2	capital_social_2	0	 No					
capital_social_2	capital_social_2	1	 Yes					
capital_social_4	capital_social_4	0	 No					
capital_social_4	capital_social_4	1	 Yes					
capital_social_5	capital_social_5	0	 No					
capital_social_6	capital_social_6	0	 No					
capital_social_9	capital_social_9	0	 No					
capital_social_9	capital_social_9	1	 Yes					
capital_social_11	capital_social_11	0	 No					
capital_social_11	capital_social_11	1	 Yes					
capital_social_12	capital_social_12	0	 No					
capital_social_12	capital_social_12	1	 Yes					
capital_social_16	capital_social_16	0	 No					
capital_social_16	capital_social_16	1	 Yes					
capital_social_17	capital_social_17	0	 No					
capital_social_18	capital_social_18	0	 No					
capital_social_18	capital_social_18	1	 Yes					
capital_social_19	capital_social_19	0	 No					
capital_social_19	capital_social_19	1	 Yes					
capital_social_20	capital_social_20	0	 No					
capital_social_20	capital_social_20	1	 Yes					
o_capital_social	o_capital_social	Comunidad nativa	Native community					
animales_casa	animales_casa	0	 No					
animales_casa	animales_casa	1	 Yes					
animales_libres	animales_libres	0	 No					
animales_libres	animales_libres	1	 Yes					
tipos_animales_1	tipos_animales_1	0	 No					
tipos_animales_1	tipos_animales_1	1	 Yes					
tipos_animales_2	tipos_animales_2	0	 No					
tipos_animales_2	tipos_animales_2	1	 Yes					
tipos_animales_3	tipos_animales_3	0	 No					
tipos_animales_3	tipos_animales_3	1	 Yes					
tipos_animales_4	tipos_animales_4	0	 No					
tipos_animales_4	tipos_animales_4	1	 Yes					
tipos_animales_5	tipos_animales_5	0	 No					
tipos_animales_5	tipos_animales_5	1	 Yes					
tipos_animales_88	tipos_animales_88	0	 No					
tipos_animales_88	tipos_animales_88	1	 Yes					
tipos_animales_99	tipos_animales_99	0	 No					
tipos_animales_99	tipos_animales_99	1	 Yes					
o_animales	o_animales	Conejos	Rabbits					
o_animales	o_animales	Gallinas	Chickens					
o_animales	o_animales	Majas	Majas					
o_animales	o_animales	Mono	Bow					
basura_dentro	basura_dentro	0	 No					
basura_dentro	basura_dentro	1	 Yes					
heces_dentro	heces_dentro	0	 No					
heces_dentro	heces_dentro	1	 Yes					
orina_dentro	orina_dentro	0	 No					
orina_dentro	orina_dentro	1	 Yes					
animales_fuera	animales_fuera	0	 No					
animales_fuera	animales_fuera	1	 Yes					
animales_fuera_libres	animales_fuera_libres	0	 No					
animales_fuera_libres	animales_fuera_libres	1	 Yes					
tipos_animales_fuera_1	tipos_animales_fuera_1	0	 No					
tipos_animales_fuera_1	tipos_animales_fuera_1	1	 Yes					
tipos_animales_fuera_2	tipos_animales_fuera_2	0	 No					
tipos_animales_fuera_2	tipos_animales_fuera_2	1	 Yes					
tipos_animales_fuera_3	tipos_animales_fuera_3	0	 No					
tipos_animales_fuera_4	tipos_animales_fuera_4	0	 No					
tipos_animales_fuera_4	tipos_animales_fuera_4	1	 Yes					
tipos_animales_fuera_5	tipos_animales_fuera_5	0	 No					
tipos_animales_fuera_5	tipos_animales_fuera_5	1	 Yes					
tipos_animales_fuera_88	tipos_animales_fuera_88	0	 No					
tipos_animales_fuera_88	tipos_animales_fuera_88	1	 Yes					
tipos_animales_fuera_99	tipos_animales_fuera_99	0	 No					
tipos_animales_fuera_99	tipos_animales_fuera_99	1	 Yes					
o_animales_fuera	o_animales_fuera	Bufalos	Buffalos					
o_animales_fuera	o_animales_fuera	Equinos	Horses					
basura_fuera	basura_fuera	0	 No					
basura_fuera	basura_fuera	1	 Yes					
heces_fuera	heces_fuera	0	 No					
heces_fuera	heces_fuera	1	 Yes					
orina_fuera	orina_fuera	0	 No					
orina_fuera	orina_fuera	1	 Yes					
gps	gps	0	Manual Entry					
gps	gps	1	GPS device (tablet)					
resultado_micro	resultado_micro	0	 Negative					
resultado_micro	resultado_micro	1	 Positive					
especie_micro	especie_micro	1	 Plasmodium falciparum	1				
especie_micro	especie_micro	2	 Plasmodium vivax		2			
result_pcr	result_pcr	0	 Negative		3			
result_pcr	result_pcr	1	 Plasmodium falciparum	1				
result_pcr	result_pcr	2	 Plasmodium vivax		2			
