uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,keepDiscard
ext_bv_ptreat_st::iron_supplement_.comperon.,PROVIDE,iron_supplement_.comperon.,ext_bv_ptreat_st,Iron_supplement_.comperon.,ext_bv_ptreat_st.txt,45,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__cotrimoxasole,PROVIDE,syp__cotrimoxasole,ext_bv_ptreat_st,Syp__Cotrimoxasole,ext_bv_ptreat_st.txt,46,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::dycyclovarine_hcl,PROVIDE,dycyclovarine_hcl,ext_bv_ptreat_st,Dycyclovarine_HCL,ext_bv_ptreat_st.txt,47,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::inj__dexamethasone,PROVIDE,inj__dexamethasone,ext_bv_ptreat_st,Inj__Dexamethasone,ext_bv_ptreat_st.txt,48,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::amlexanox_.apsol_gel.,PROVIDE,amlexanox_.apsol_gel.,ext_bv_ptreat_st,Amlexanox_.Apsol_gel.,ext_bv_ptreat_st.txt,49,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::ceevit,PROVIDE,ceevit,ext_bv_ptreat_st,Ceevit,ext_bv_ptreat_st.txt,50,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::theophyline,PROVIDE,theophyline,ext_bv_ptreat_st,Theophyline,ext_bv_ptreat_st.txt,51,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__hydroxyzine_hcl,PROVIDE,syp__hydroxyzine_hcl,ext_bv_ptreat_st,Syp__Hydroxyzine_HCL,ext_bv_ptreat_st.txt,52,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::ibruprofen_syp,PROVIDE,ibruprofen_syp,ext_bv_ptreat_st,Ibruprofen_syp,ext_bv_ptreat_st.txt,53,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::permethrin_cream,PROVIDE,permethrin_cream,ext_bv_ptreat_st,Permethrin_cream,ext_bv_ptreat_st.txt,54,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__moxaclave,PROVIDE,syp__moxaclave,ext_bv_ptreat_st,Syp__Moxaclave,ext_bv_ptreat_st.txt,55,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tab_diazepam,PROVIDE,tab_diazepam,ext_bv_ptreat_st,Tab_Diazepam,ext_bv_ptreat_st.txt,56,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::xylometazoline_drop,PROVIDE,xylometazoline_drop,ext_bv_ptreat_st,Xylometazoline_drop,ext_bv_ptreat_st.txt,57,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__pottasium_.electrok.,PROVIDE,syp__pottasium_.electrok.,ext_bv_ptreat_st,Syp__Pottasium_.ElectroK.,ext_bv_ptreat_st.txt,58,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::cipro_ear_drop,PROVIDE,cipro_ear_drop,ext_bv_ptreat_st,Cipro_ear_drop,ext_bv_ptreat_st.txt,59,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::pustikona,PROVIDE,pustikona,ext_bv_ptreat_st,Pustikona,ext_bv_ptreat_st.txt,60,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::inj__konakion_._vit.k.,PROVIDE,inj__konakion_._vit.k.,ext_bv_ptreat_st,inj__Konakion_._Vit.K.,ext_bv_ptreat_st.txt,61,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::gentamycine_inj_,PROVIDE,gentamycine_inj_,ext_bv_ptreat_st,Gentamycine_inj_,ext_bv_ptreat_st.txt,62,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::fungidal_ointment,PROVIDE,fungidal_ointment,ext_bv_ptreat_st,Fungidal_ointment,ext_bv_ptreat_st.txt,63,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tab__butapen,PROVIDE,tab__butapen,ext_bv_ptreat_st,Tab__Butapen,ext_bv_ptreat_st.txt,64,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::moxifloxacine_eye_drop,PROVIDE,moxifloxacine_eye_drop,ext_bv_ptreat_st,Moxifloxacine_eye_drop,ext_bv_ptreat_st.txt,65,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::montelukast,PROVIDE,montelukast,ext_bv_ptreat_st,Montelukast,ext_bv_ptreat_st.txt,66,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tobramicine_eye_drop,PROVIDE,tobramicine_eye_drop,ext_bv_ptreat_st,Tobramicine_eye_drop,ext_bv_ptreat_st.txt,67,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::fexiphenadine,PROVIDE,fexiphenadine,ext_bv_ptreat_st,Fexiphenadine,ext_bv_ptreat_st.txt,68,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__nitazoxanide,PROVIDE,syp__nitazoxanide,ext_bv_ptreat_st,Syp__Nitazoxanide,ext_bv_ptreat_st.txt,69,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::compound_benzoic_acid,PROVIDE,compound_benzoic_acid,ext_bv_ptreat_st,Compound_benzoic_acid,ext_bv_ptreat_st.txt,70,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tab__antacid,PROVIDE,tab__antacid,ext_bv_ptreat_st,Tab__Antacid,ext_bv_ptreat_st.txt,71,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::lactulose_syp,PROVIDE,lactulose_syp,ext_bv_ptreat_st,Lactulose_syp,ext_bv_ptreat_st.txt,72,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tetrasol,PROVIDE,tetrasol,ext_bv_ptreat_st,Tetrasol,ext_bv_ptreat_st.txt,73,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::ketakonazole_shampoo,PROVIDE,ketakonazole_shampoo,ext_bv_ptreat_st,Ketakonazole_shampoo,ext_bv_ptreat_st.txt,74,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::cotrimazole_ear_drop,PROVIDE,cotrimazole_ear_drop,ext_bv_ptreat_st,Cotrimazole_ear_drop,ext_bv_ptreat_st.txt,75,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::mefenamic_acid,PROVIDE,mefenamic_acid,ext_bv_ptreat_st,Mefenamic_acid,ext_bv_ptreat_st.txt,76,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::tab_nitrazipum,PROVIDE,tab_nitrazipum,ext_bv_ptreat_st,Tab_Nitrazipum,ext_bv_ptreat_st.txt,77,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp_naproxen,PROVIDE,syp_naproxen,ext_bv_ptreat_st,Syp_Naproxen,ext_bv_ptreat_st.txt,78,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__desloratadine,PROVIDE,syp__desloratadine,ext_bv_ptreat_st,Syp__Desloratadine,ext_bv_ptreat_st.txt,79,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__fluconazole,PROVIDE,syp__fluconazole,ext_bv_ptreat_st,Syp__Fluconazole,ext_bv_ptreat_st.txt,80,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::gentamycinr_ear_drop,PROVIDE,gentamycinr_ear_drop,ext_bv_ptreat_st,Gentamycinr_ear_drop,ext_bv_ptreat_st.txt,81,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp__acyclovir,PROVIDE,syp__acyclovir,ext_bv_ptreat_st,Syp__Acyclovir,ext_bv_ptreat_st.txt,82,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::syp._mebendazole,PROVIDE,syp._mebendazole,ext_bv_ptreat_st,Syp._Mebendazole,ext_bv_ptreat_st.txt,83,chr,No,NA,NA,n/a,n/a,"No, Yes",2,0,repeated,NA,keep
ext_bv_ptreat_st::vstnum,PROVIDE,vstnum,ext_bv_ptreat_st,vstnum,ext_bv_ptreat_st.txt,84,int,-9,NA,NA,-9,-9,-9 to -9,1,0,once,duplicated variable,keep
ext_bv_ref_st::pid,PROVIDE,pid,ext_bv_ref_st,pid,ext_bv_ref_st.txt,1,chr,BP1061,NA,NA,n/a,n/a,>10 unique values,129,0,once,duplicated variable,keep
ext_bv_ref_st::refdt,PROVIDE,refdt,ext_bv_ref_st,refdt,ext_bv_ref_st.txt,2,chr,11/12/13 0:00,date?,NA,n/a,n/a,>10 unique values,131,0,repeated,NA,keep
ext_bv_ref_st::refreas,PROVIDE,refreas,ext_bv_ref_st,refreas,ext_bv_ref_st.txt,3,int,4,NA,NA,1,4,1 to 4,4,0,repeated,NA,keep
ext_bv_ref_st::refto,PROVIDE,refto,ext_bv_ref_st,refto,ext_bv_ref_st.txt,4,int,4,NA,NA,1,6,1 to 6,5,0,repeated,NA,keep
ext_bv_ref_st::vstnum,PROVIDE,vstnum,ext_bv_ref_st,vstnum,ext_bv_ref_st.txt,5,int,-9,NA,NA,-9,-9,-9 to -9,1,0,once,duplicated variable,keep
ext_bv_rss_st::pid,PROVIDE,pid,ext_bv_rss_st,pid,ext_bv_rss_st.txt,1,chr,BP4019,NA,NA,n/a,n/a,>10 unique values,639,0,once,duplicated variable,keep
ext_bv_rss_st::vstnum,PROVIDE,vstnum,ext_bv_rss_st,vstnum,ext_bv_rss_st.txt,2,int,6,NA,NA,6,6,6 to 6,1,0,once,duplicated variable,keep
ext_bv_rss_st::vstdetail,PROVIDE,vstdetail,ext_bv_rss_st,vstdetail,ext_bv_rss_st.txt,3,chr,Day0,NA,NA,n/a,n/a,"Day0, Day11, Day4",3,0,repeated,duplicated variable,keep
ext_bv_rss_st::stl,PROVIDE,stl,ext_bv_rss_st,stl,ext_bv_rss_st.txt,4,int,1,NA,NA,1,2,1 to 2,2,0,repeated,duplicated variable,keep
ext_bv_rss_st::specdt,PROVIDE,specdt,ext_bv_rss_st,specdt,ext_bv_rss_st.txt,5,chr,9/22/11 0:00,date?,NA,n/a,n/a,>10 unique values,445,0,repeated,duplicated variable,keep
ext_bv_rvn::pid,PROVIDE,pid,ext_bv_rvn,pid,ext_bv_rvn.txt,1,chr,BP1027,NA,NA,n/a,n/a,>10 unique values,433,0,once,duplicated variable,keep
ext_bv_rvn::dov,PROVIDE,dov,ext_bv_rvn,dov,ext_bv_rvn.txt,2,chr,8/19/14 0:00,NA,NA,n/a,n/a,>10 unique values,215,0,once,duplicated variable,discard
ext_bv_rvn::vnum,PROVIDE,vnum,ext_bv_rvn,vnum,ext_bv_rvn.txt,3,int,13,NA,NA,13,13,13 to 13,1,0,once,duplicated variable,keep
ext_bv_rvn::strttime,PROVIDE,strttime,ext_bv_rvn,strttime,ext_bv_rvn.txt,4,chr,12/30/1899 14:05:00,NA,NA,n/a,n/a,>10 unique values,186,0,once,NA,keep
ext_bv_rvn::rvnsec,PROVIDE,rvnsec,ext_bv_rvn,rvnsec,ext_bv_rvn.txt,5,chr,E,NA,NA,n/a,n/a,"9, AB, D, E",4,0,once,NA,keep
ext_bv_rvn::rvnquest,PROVIDE,rvnquest,ext_bv_rvn,rvnquest,ext_bv_rvn.txt,6,int,5,NA,NA,1,99,1 to 99,13,0,once,NA,keep
ext_bv_rvn::endtime,PROVIDE,endtime,ext_bv_rvn,endtime,ext_bv_rvn.txt,7,chr,12/30/1899 14:28:00,date?,NA,n/a,n/a,>10 unique values,240,0,once,NA,keep
ext_bv_rvn::totltime,PROVIDE,totltime,ext_bv_rvn,totltime,ext_bv_rvn.txt,8,int,23,NA,NA,0,37,0 to 37,17,0,once,NA,keep
ext_bv_rvn::rvascor,PROVIDE,rvascor,ext_bv_rvn,rvascor,ext_bv_rvn.txt,9,int,12,NA,NA,5,99,5 to 99,9,0,once,NA,keep
ext_bv_rvn::rvabscor,PROVIDE,rvabscor,ext_bv_rvn,rvabscor,ext_bv_rvn.txt,10,int,12,NA,NA,1,99,1 to 99,13,0,once,NA,keep
ext_bv_rvn::rvbscor,PROVIDE,rvbscor,ext_bv_rvn,rvbscor,ext_bv_rvn.txt,11,int,12,NA,NA,0,99,0 to 99,14,0,once,NA,keep
ext_bv_rvn::rvcscor,PROVIDE,rvcscor,ext_bv_rvn,rvcscor,ext_bv_rvn.txt,12,int,7,NA,NA,0,99,0 to 99,11,0,once,NA,keep
ext_bv_rvn::rvdscor,PROVIDE,rvdscor,ext_bv_rvn,rvdscor,ext_bv_rvn.txt,13,int,8,NA,NA,0,99,0 to 99,11,0,once,NA,keep
ext_bv_rvn::rvescor,PROVIDE,rvescor,ext_bv_rvn,rvescor,ext_bv_rvn.txt,14,int,2,NA,NA,0,99,0 to 99,7,0,once,NA,keep
ext_bv_rvn::rvtotal,PROVIDE,rvtotal,ext_bv_rvn,rvtotal,ext_bv_rvn.txt,15,int,53,NA,NA,10,99,10 to 99,47,0,once,NA,keep
ext_bv_sae_st::pid,PROVIDE,pid,ext_bv_sae_st,pid,ext_bv_sae_st.txt,1,chr,BP1027,NA,NA,n/a,n/a,>10 unique values,109,0,once,duplicated variable,keep
ext_bv_sae_st::saedov,PROVIDE,saedov,ext_bv_sae_st,saedov,ext_bv_sae_st.txt,2,chr,5/5/13 0:00,NA,NA,n/a,n/a,>10 unique values,100,0,repeated,NA,keep
ext_bv_sae_st::saerdt,PROVIDE,saerdt,ext_bv_sae_st,saerdt,ext_bv_sae_st.txt,3,chr,5/2/13 0:00,date?,NA,n/a,n/a,>10 unique values,112,0,repeated,NA,keep
ext_bv_sae_st::saewho,PROVIDE,saewho,ext_bv_sae_st,saewho,ext_bv_sae_st.txt,4,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_sae_st::saeyes,PROVIDE,saeyes,ext_bv_sae_st,saeyes,ext_bv_sae_st.txt,5,int,1,NA,NA,1,1,1 to 1,1,0,once,NA,keep
ext_bv_sae_st::saevnt,PROVIDE,saevnt,ext_bv_sae_st,saevnt,ext_bv_sae_st.txt,6,int,3,NA,NA,1,3,1 to 3,2,0,repeated,NA,keep
ext_bv_sae_st::saename,PROVIDE,saename,ext_bv_sae_st,saename,ext_bv_sae_st.txt,7,int,1,NA,NA,1,88,1 to 88,11,0,repeated,NA,keep
ext_bv_sae_st::saespec,PROVIDE,saespec,ext_bv_sae_st,saespec,ext_bv_sae_st.txt,8,chr,NA,NA,NA,n/a,n/a,"5% scald over chest contact with hot water, AGE with some dehydration, AWD with malnutrition, Burn (Hot water), Shigellosis, unspecified, NA",5,0,once,NA,keep
ext_bv_sae_st::saespdt,PROVIDE,saespdt,ext_bv_sae_st,saespdt,ext_bv_sae_st.txt,9,chr,5/4/13 0:00,date?,NA,n/a,n/a,>10 unique values,116,0.023255814,repeated,NA,keep
ext_bv_sae_st::saegrd,PROVIDE,saegrd,ext_bv_sae_st,saegrd,ext_bv_sae_st.txt,10,int,2,NA,NA,1,3,1 to 3,3,0,repeated,NA,keep
ext_bv_sae_st::saerlt,PROVIDE,saerlt,ext_bv_sae_st,saerlt,ext_bv_sae_st.txt,11,int,3,NA,NA,2,3,2 to 3,2,0,once,NA,keep
ext_bv_sae_st::saeact,PROVIDE,saeact,ext_bv_sae_st,saeact,ext_bv_sae_st.txt,12,int,4,NA,NA,1,4,1 to 4,4,0,once,NA,keep
ext_bv_sae_st::saeacto,PROVIDE,saeacto,ext_bv_sae_st,saeacto,ext_bv_sae_st.txt,13,lgl,NA,NA,NA,n/a,n/a,n/a,0,0,no data,NA,keep
ext_bv_sae_st::saeotc,PROVIDE,saeotc,ext_bv_sae_st,saeotc,ext_bv_sae_st.txt,14,int,1,NA,NA,1,3,1 to 3,2,0,repeated,NA,keep
ext_bv_sae_st::saersdt,PROVIDE,saersdt,ext_bv_sae_st,saersdt,ext_bv_sae_st.txt,15,chr,5/5/13 0:00,date?,NA,n/a,n/a,>10 unique values,116,0,repeated,NA,keep
ext_bv_sae_st::vstnum,PROVIDE,vstnum,ext_bv_sae_st,vstnum,ext_bv_sae_st.txt,16,int,-8,NA,NA,-8,-8,-8 to -8,1,0,once,duplicated variable,keep
ext_bv_sbo::pid,PROVIDE,pid,ext_bv_sbo,pid,ext_bv_sbo.txt,1,chr,BP1058,NA,NA,n/a,n/a,>10 unique values,112,0,once,duplicated variable,keep
ext_bv_sbo::sbdt,PROVIDE,sbdt,ext_bv_sbo,sbdt,ext_bv_sbo.txt,2,chr,8/26/14 0:00,date?,NA,n/a,n/a,>10 unique values,55,0,once,NA,keep
ext_bv_sbo::sbvn,PROVIDE,sbvn,ext_bv_sbo,sbvn,ext_bv_sbo.txt,3,int,13,NA,NA,13,13,13 to 13,1,0,once,NA,keep
ext_bv_sbo::sbwt,PROVIDE,sbwt,ext_bv_sbo,sbwt,ext_bv_sbo.txt,4,dbl,9.1,NA,NA,6.87,99.99,6.87 to 99.99,94,0,once,NA,keep
ext_bv_sbo::sbht,PROVIDE,sbht,ext_bv_sbo,sbht,ext_bv_sbo.txt,5,dbl,82.1,NA,NA,69,999.9,69 to 999.9,74,0,once,NA,keep
ext_bv_sbo::sbmal,PROVIDE,sbmal,ext_bv_sbo,sbmal,ext_bv_sbo.txt,6,int,2,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_sbo::sbintk,PROVIDE,sbintk,ext_bv_sbo,sbintk,ext_bv_sbo.txt,7,dbl,3,NA,NA,0,9.9,0 to 9.9,8,0,once,NA,keep
ext_bv_sbo::sbhbs,PROVIDE,sbhbs,ext_bv_sbo,sbhbs,ext_bv_sbo.txt,8,dbl,5,NA,NA,0,999.9,0 to 999.9,32,0,once,NA,keep
ext_bv_sbo::sbchbs,PROVIDE,sbchbs,ext_bv_sbo,sbchbs,ext_bv_sbo.txt,9,dbl,2,NA,NA,0,999.9,0 to 999.9,19,0,once,NA,keep
ext_bv_sbo::sbcobs,PROVIDE,sbcobs,ext_bv_sbo,sbcobs,ext_bv_sbo.txt,10,dbl,3.1,NA,NA,1.4,999.9,1.4 to 999.9,20,0,once,NA,keep
ext_bv_sbo::sbglugm,PROVIDE,sbglugm,ext_bv_sbo,sbglugm,ext_bv_sbo.txt,11,dbl,45.5,NA,NA,41.4,99.99,41.4 to 99.99,86,0,once,NA,keep
ext_bv_sbo::sbstart,PROVIDE,sbstart,ext_bv_sbo,sbstart,ext_bv_sbo.txt,12,chr,12/30/1899 12:05:00,NA,NA,n/a,n/a,>10 unique values,47,0,once,NA,discard
ext_bv_sbo::sbh20,PROVIDE,sbh20,ext_bv_sbo,sbh20,ext_bv_sbo.txt,13,dbl,7,NA,NA,0,999.9,0 to 999.9,31,0,once,NA,keep
ext_bv_sbo::sbch20,PROVIDE,sbch20,ext_bv_sbo,sbch20,ext_bv_sbo.txt,14,dbl,2,NA,NA,0,999.9,0 to 999.9,22,0,once,NA,keep
ext_bv_sbo::sbco20,PROVIDE,sbco20,ext_bv_sbo,sbco20,ext_bv_sbo.txt,15,dbl,3.1,NA,NA,1.4,999.9,1.4 to 999.9,17,0,once,NA,keep
ext_bv_sbo::sbh40,PROVIDE,sbh40,ext_bv_sbo,sbh40,ext_bv_sbo.txt,16,dbl,9,NA,NA,0,999.9,0 to 999.9,28,0,once,NA,keep
ext_bv_sbo::sbch40,PROVIDE,sbch40,ext_bv_sbo,sbch40,ext_bv_sbo.txt,17,dbl,4,NA,NA,0,999.9,0 to 999.9,20,0,once,NA,keep
ext_bv_sbo::sbco40,PROVIDE,sbco40,ext_bv_sbo,sbco40,ext_bv_sbo.txt,18,dbl,2.5,NA,NA,1,999.9,1 to 999.9,20,0,once,NA,keep
ext_bv_sbo::sbh60,PROVIDE,sbh60,ext_bv_sbo,sbh60,ext_bv_sbo.txt,19,dbl,11,NA,NA,0,999.9,0 to 999.9,26,0,once,NA,keep
ext_bv_sbo::sbch60,PROVIDE,sbch60,ext_bv_sbo,sbch60,ext_bv_sbo.txt,20,dbl,4,NA,NA,0,999.9,0 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbco60,PROVIDE,sbco60,ext_bv_sbo,sbco60,ext_bv_sbo.txt,21,dbl,2.5,NA,NA,0.7,999.9,0.7 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbh80,PROVIDE,sbh80,ext_bv_sbo,sbh80,ext_bv_sbo.txt,22,dbl,11,NA,NA,0,999.9,0 to 999.9,27,0,once,NA,keep
ext_bv_sbo::sbch80,PROVIDE,sbch80,ext_bv_sbo,sbch80,ext_bv_sbo.txt,23,dbl,4,NA,NA,0,999.9,0 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbco80,PROVIDE,sbco80,ext_bv_sbo,sbco80,ext_bv_sbo.txt,24,dbl,2.6,NA,NA,1,999.9,1 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbh100,PROVIDE,sbh100,ext_bv_sbo,sbh100,ext_bv_sbo.txt,25,dbl,8,NA,NA,0,999.9,0 to 999.9,25,0,once,NA,keep
ext_bv_sbo::sbch100,PROVIDE,sbch100,ext_bv_sbo,sbch100,ext_bv_sbo.txt,26,dbl,2,NA,NA,0,999.9,0 to 999.9,25,0,once,NA,keep
ext_bv_sbo::sbco100,PROVIDE,sbco100,ext_bv_sbo,sbco100,ext_bv_sbo.txt,27,dbl,2.7,NA,NA,1,999.9,1 to 999.9,23,0,once,NA,keep
ext_bv_sbo::sbh120,PROVIDE,sbh120,ext_bv_sbo,sbh120,ext_bv_sbo.txt,28,dbl,10,NA,NA,0,999.9,0 to 999.9,28,0,once,NA,keep
ext_bv_sbo::sbch120,PROVIDE,sbch120,ext_bv_sbo,sbch120,ext_bv_sbo.txt,29,dbl,2,NA,NA,0,999.9,0 to 999.9,23,0,once,NA,keep
ext_bv_sbo::sbco120,PROVIDE,sbco120,ext_bv_sbo,sbco120,ext_bv_sbo.txt,30,dbl,3.3,NA,NA,1.5,999.9,1.5 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbh140,PROVIDE,sbh140,ext_bv_sbo,sbh140,ext_bv_sbo.txt,31,dbl,7,NA,NA,2,999.9,2 to 999.9,27,0,once,NA,keep
ext_bv_sbo::sbch140,PROVIDE,sbch140,ext_bv_sbo,sbch140,ext_bv_sbo.txt,32,dbl,2,NA,NA,0,999.9,0 to 999.9,23,0,once,NA,keep
ext_bv_sbo::sbco140,PROVIDE,sbco140,ext_bv_sbo,sbco140,ext_bv_sbo.txt,33,dbl,3.1,NA,NA,1.4,999.9,1.4 to 999.9,20,0,once,NA,keep
ext_bv_sbo::sbh160,PROVIDE,sbh160,ext_bv_sbo,sbh160,ext_bv_sbo.txt,34,dbl,9,NA,NA,2,999.9,2 to 999.9,27,0,once,NA,keep
ext_bv_sbo::sbch160,PROVIDE,sbch160,ext_bv_sbo,sbch160,ext_bv_sbo.txt,35,dbl,4,NA,NA,0,999.9,0 to 999.9,26,0,once,NA,keep
ext_bv_sbo::sbco160,PROVIDE,sbco160,ext_bv_sbo,sbco160,ext_bv_sbo.txt,36,dbl,2.5,NA,NA,1.4,999.9,1.4 to 999.9,21,0,once,NA,keep
ext_bv_sbo::sbh180,PROVIDE,sbh180,ext_bv_sbo,sbh180,ext_bv_sbo.txt,37,dbl,7,NA,NA,2,999.9,2 to 999.9,23,0,once,NA,keep
ext_bv_sbo::sbch180,PROVIDE,sbch180,ext_bv_sbo,sbch180,ext_bv_sbo.txt,38,dbl,4,NA,NA,0,999.9,0 to 999.9,22,0,once,NA,keep
ext_bv_sbo::sbco180,PROVIDE,sbco180,ext_bv_sbo,sbco180,ext_bv_sbo.txt,39,dbl,3,NA,NA,1.4,999.9,1.4 to 999.9,19,0,once,NA,keep
ext_bv_sbo::sboutcm,PROVIDE,sboutcm,ext_bv_sbo,sboutcm,ext_bv_sbo.txt,40,int,1,NA,NA,1,9,1 to 9,6,0,once,NA,keep
ext_bv_sbo::sboutsp,PROVIDE,sboutsp,ext_bv_sbo,sboutsp,ext_bv_sbo.txt,41,lgl,NA,NA,NA,n/a,n/a,n/a,0,0,no data,NA,discard
ext_bv_sbo::sboyes,PROVIDE,sboyes,ext_bv_sbo,sboyes,ext_bv_sbo.txt,42,int,2,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_sbo::sbotreat,PROVIDE,sbotreat,ext_bv_sbo,sbotreat,ext_bv_sbo.txt,43,int,9,NA,NA,2,9,2 to 9,2,0,once,NA,keep
ext_bv_ses::pid,PROVIDE,pid,ext_bv_ses,pid,ext_bv_ses.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,700,0,once,duplicated variable,keep
ext_bv_ses::dov,PROVIDE,dov,ext_bv_ses,dov,ext_bv_ses.txt,2,chr,7/14/11 0:00,NA,NA,n/a,n/a,>10 unique values,331,0,once,duplicated variable,keep
ext_bv_ses::hmem,PROVIDE,hmem,ext_bv_ses,hmem,ext_bv_ses.txt,3,int,5,NA,NA,2,18,2 to 18,16,0,once,NA,keep
ext_bv_ses::clive,PROVIDE,clive,ext_bv_ses,clive,ext_bv_ses.txt,4,int,2,NA,NA,1,9,1 to 9,8,0,once,NA,keep
ext_bv_ses::bodr,PROVIDE,bodr,ext_bv_ses,bodr,ext_bv_ses.txt,5,int,2,NA,NA,1,10,1 to 10,9,0,once,NA,keep
ext_bv_ses::sb5y,PROVIDE,sb5y,ext_bv_ses,sb5y,ext_bv_ses.txt,6,int,1,NA,NA,0,2,0 to 2,3,0,once,NA,keep
ext_bv_ses::lvhh,PROVIDE,lvhh,ext_bv_ses,lvhh,ext_bv_ses.txt,7,int,4,NA,NA,0,25,0 to 25,23,0,once,NA,keep
ext_bv_ses::room,PROVIDE,room,ext_bv_ses,room,ext_bv_ses.txt,8,int,2,NA,NA,1,9,1 to 9,8,0,once,NA,keep
ext_bv_ses::pepl,PROVIDE,pepl,ext_bv_ses,pepl,ext_bv_ses.txt,9,int,5,NA,NA,1,18,1 to 18,17,0,once,NA,keep
ext_bv_ses::fam,PROVIDE,fam,ext_bv_ses,fam,ext_bv_ses.txt,10,int,2,NA,NA,1,2,1 to 2,2,0,once,NA,keep
