colOrder,variable,dataFile,discard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
3,study,ext_bv_sel,discard,,,2. Is Mother willing to pariticipate in the study?,1=Yes; 2=No;,,,,NA,study,ext_bv_sel::study,int,1,NA,NA,1 to 1,1,once,0,NA
4,x7day,ext_bv_sel,discard,,,3. Is baby aged 0 to 7 days old?,NA,,,,NA,X7day,ext_bv_sel::x7day,int,1,NA,NA,1 to 1,1,once,0,NA
5,conab,ext_bv_sel,discard,,,4. Does baby have obvious congenital abnormalities or birth defects?,1=Yes; 2=No;,,,,9,conab,ext_bv_sel::conab,int,2,NA,NA,2 to 2,1,once,0,NA
6,stol,ext_bv_sel,discard,,,5. Has baby had abnormal (frequency and consistency) stools since birth?,1=Yes; 2=No;,,,,9,stol,ext_bv_sel::stol,int,2,NA,NA,2 to 2,1,once,0,NA
7,hhsta,ext_bv_sel,discard,,,6. Is household planning to stay in the area for the next two years?,1=Yes; 2=No;,,,,9,hhsta,ext_bv_sel::hhsta,int,1,NA,NA,1 to 1,1,once,0,NA
8,spec,ext_bv_sel,discard,,,"6a. If no, please specify",NA,,,,NA,spec,ext_bv_sel::spec,chr,NULL,NA,NA,NULL,1,once,0,NA
9,icdd,ext_bv_sel,discard,,,"7. Parents willing to have baby vaccinated at ICDDR, B field clinic",1=Yes; 2=No;,,,,9,icdd,ext_bv_sel::icdd,int,1,NA,NA,1 to 1,1,once,0,NA
10,bbld,ext_bv_sel,discard,,,8. Parents willing to have baby's blood drawn,1=Yes; 2=No;,,,,9,bbld,ext_bv_sel::bbld,int,1,NA,NA,1 to 1,1,once,0,NA
11,mbld,ext_bv_sel,discard,,,9. Mother willing to have samples drawn,1=Yes; 2=No;,,,,9,mbld,ext_bv_sel::mbld,int,1,NA,NA,1 to 1,1,once,0,NA
12,fvsit,ext_bv_sel,discard,,,10. Parents willing to have field research assistant in home two times per week,1=Yes; 2=No;,,,,9,fvsit,ext_bv_sel::fvsit,int,1,NA,NA,1 to 1,1,once,0,NA
13,vacci,ext_bv_sel,discard,,,11. Baby received any vaccines other than BCG before start of study,1=Yes; 2=No;,,,,9,vacci,ext_bv_sel::vacci,int,2,NA,NA,2 to 2,1,once,0,NA
14,neuro,ext_bv_sel,discard,,,12. Infant has history of seizures or other apparent neurologic disorders,1=Yes; 2=No;,,,,9,neuro,ext_bv_sel::neuro,int,2,NA,NA,2 to 2,1,once,0,NA
15,enrol,ext_bv_sel,discard,,,13. Are parents planning to enroll child into another clinical study in the next two years?,1=Yes; 2=No;,,,,9,enrol,ext_bv_sel::enrol,int,2,NA,NA,2 to 2,1,once,0,NA
16,ensib,ext_bv_sel,discard,,,"14. Infant has any sibling currently or previously enrolled in the study, including a twin",1=Yes; 2=No;,,,,9,ensib,ext_bv_sel::ensib,int,2,NA,NA,2 to 2,1,once,0,NA
17,elgbl,ext_bv_sel,discard,,,15. Is the Mother/Infant baby eligible to participate in the study?,1=Yes; 2=No;,,,,9,elgbl,ext_bv_sel::elgbl,int,1,NA,NA,1 to 1,1,once,0,NA
18,consg,ext_bv_sel,discard,,,16. Has the mother signed the Consent form?,1=Yes; 2=No; 9=NA,,,,9,consg,ext_bv_sel::consg,int,1,NA,NA,1 to 1,1,once,0,NA
19,consp,ext_bv_sel,discard,,,"16a. If no, Specify reason for refusal?",NA,,,,NA,consp,ext_bv_sel::consp,chr,NULL,NA,NA,NULL,1,once,0,NA
1,pid,ext_bv_ses,keep,,,Child Identification,NA,,,,NA,pid,ext_bv_ses::pid,chr,BP1005,NA,NA,>10 unique values,700,once,0,duplicated variable
2,dov,ext_bv_ses,keep,,,1. Date of assessment,NA,,,,36412,dov,ext_bv_ses::dov,chr,7/14/11 0:00,NA,NA,>10 unique values,331,once,0,duplicated variable
3,hmem,ext_bv_ses,keep,,,2. How many members are in your household?,NA,,,,NA,hmem,ext_bv_ses::hmem,int,5,NA,NA,2 to 18,16,once,0,NA
4,clive,ext_bv_ses,keep,,,2a. Number of living children,NA,,,,NA,clive,ext_bv_ses::clive,int,2,NA,NA,1 to 9,8,once,0,NA
5,bodr,ext_bv_ses,keep,,,2b. Birth order of enrolled child,NA,,,,NA,bodr,ext_bv_ses::bodr,int,2,NA,NA,1 to 10,9,once,0,NA
6,sb5y,ext_bv_ses,keep,,,2c. Number of siblings under 5 years,NA,,,,NA,sb5y,ext_bv_ses::sb5y,int,1,NA,NA,0 to 2,3,once,0,NA
7,lvhh,ext_bv_ses,keep,,,3. How long have you lived in current household in years?,NA,,,,NA,lvhh,ext_bv_ses::lvhh,int,4,NA,NA,0 to 25,23,once,0,NA
8,room,ext_bv_ses,keep,,,4. Number of rooms in current household,NA,,,,NA,room,ext_bv_ses::room,int,2,NA,NA,1 to 9,8,once,0,NA
9,pepl,ext_bv_ses,keep,,,5. Number of people usually sleeping in household,NA,,,,NA,pepl,ext_bv_ses::pepl,int,5,NA,NA,1 to 18,17,once,0,NA
10,fam,ext_bv_ses,keep,,,6. Family Type,1=Nuclear; 2= Joint,,,,NA,fam,ext_bv_ses::fam,int,2,NA,NA,1 to 2,2,once,0,NA
11,dwkr,ext_bv_ses,keep,,,7. Household domestic workers (maid),1=Yes; 2=No;,,,,NA,dwkr,ext_bv_ses::dwkr,int,2,NA,NA,1 to 2,2,once,0,NA
12,fedu,ext_bv_ses,keep,,,8a. Father education,Refer BV_SESCODES.xls for codes,,,,NA,fedu,ext_bv_ses::fedu,int,2,NA,NA,1 to 18,17,once,0,NA
13,medu,ext_bv_ses,keep,,,8b. Mother education,Refer BV_SESCODES.xls for codes,,,,NA,medu,ext_bv_ses::medu,int,3,NA,NA,1 to 16,16,once,0,NA
14,focc,ext_bv_ses,keep,,,9a. Father Occupation,Refer BV_SESCODES.xls for codes,,,,99,focc,ext_bv_ses::focc,int,18,NA,NA,1 to 77,24,once,0,NA
15,mocc,ext_bv_ses,keep,,,9b. Mother Occupation,Refer BV_SESCODES.xls for codes,,,,99,mocc,ext_bv_ses::mocc,int,3,NA,NA,3 to 77,14,once,0,NA
16,hown,ext_bv_ses,keep,,,10. Do you own the house you live in?,1=Yes; 2=No;,,,,NA,hown,ext_bv_ses::hown,int,2,NA,NA,1 to 2,2,once,0,NA
17,inco,ext_bv_ses,keep,,,11a. Total Monthly  Income (in Taka),NA,,,,NA,inco,ext_bv_ses::inco,int,19000,NA,NA,3000 to 77000,83,once,0,NA
18,exp,ext_bv_ses,keep,,,11b. TotalMonthly Expenditure (in Taka),NA,,,,NA,Exp,ext_bv_ses::exp,int,15000,NA,NA,2500 to 69000,110,once,0,NA
19,flor,ext_bv_ses,keep,,,12. What is the principal type of flooring in your dwelling?,1= Earth; 2= bamboo/Wood; 3= Cement;,,,,NA,flor,ext_bv_ses::flor,int,3,NA,NA,1 to 3,3,once,0,NA
20,wall,ext_bv_ses,keep,,,13. What is the principal wall material in your house?,"1= Bamboo/cane/ straw; 2= Rudimentary walls (Mud) or Mixed with mud; 3= Tin; 4= Bricks, cement blocks, concrete walls",,,,NA,wall,ext_bv_ses::wall,int,4,NA,NA,1 to 4,4,once,0,NA
21,roof,ext_bv_ses,keep,,,14. What is the principal roofing material in your house?,1= Natural material roofing (straw);  2= Rudimentary roofing (Poly-thene or Mixed with mud);  3= Finished roof; 4= Tin,,,,NA,roof,ext_bv_ses::roof,int,4,NA,NA,1 to 4,3,once,0,NA
22,elec,ext_bv_ses,keep,,,15a1. In your dwelling is there: Electricity,1=Yes; 2=No;,,,,NA,elec,ext_bv_ses::elec,int,1,NA,NA,1 to 2,2,once,0,NA
23,gas,ext_bv_ses,keep,,,15a2. In your dwelling is there: Cooking Gas,1=Yes; 2=No;,,,,NA,gas,ext_bv_ses::gas,int,1,NA,NA,1 to 2,2,once,0,NA
24,phon,ext_bv_ses,keep,,,15a3. In your dwelling is there: Telephone/Mobile,1=Yes; 2=No;,,,,NA,phon,ext_bv_ses::phon,int,1,NA,NA,1 to 2,2,once,0,NA
25,almr,ext_bv_ses,keep,,,15b1. In your dwelling is there Furniture: Almeria,1=Yes; 2=No;,,,,NA,almr,ext_bv_ses::almr,int,1,NA,NA,1 to 2,2,once,0,NA
26,tabl,ext_bv_ses,keep,,,15b2. In your dwelling is there Furniture: Table,1=Yes; 2=No;,,,,NA,tabl,ext_bv_ses::tabl,int,1,NA,NA,1 to 2,2,once,0,NA
27,chair,ext_bv_ses,keep,,,15b3. In your dwelling is there Furniture: Chair,1=Yes; 2=No;,,,,NA,chair,ext_bv_ses::chair,int,1,NA,NA,1 to 2,2,once,0,NA
28,bench,ext_bv_ses,keep,,,15b4. In your dwelling is there Furniture: Bench,1=Yes; 2=No;,,,,NA,bench,ext_bv_ses::bench,int,1,NA,NA,1 to 2,2,once,0,NA
29,clock,ext_bv_ses,keep,,,15b5. In your dwelling is there Furniture: Watch or Clock,1=Yes; 2=No;,,,,NA,clock,ext_bv_ses::clock,int,1,NA,NA,1 to 2,2,once,0,NA
30,bed,ext_bv_ses,keep,,,15b6. In your dwelling is there Furniture: Cot or Bed,1=Yes; 2=No;,,,,NA,bed,ext_bv_ses::bed,int,1,NA,NA,1 to 2,2,once,0,NA
31,radio,ext_bv_ses,keep,,,15b7. In your dwelling is there Furniture: Working radio,1=Yes; 2=No;,,,,NA,radio,ext_bv_ses::radio,int,2,NA,NA,1 to 2,2,once,0,NA
32,tv,ext_bv_ses,keep,,,15b8. In your dwelling is there Furniture:Working TV,1=Yes; 2=No;,,,,NA,tv,ext_bv_ses::tv,int,1,NA,NA,1 to 2,2,once,0,NA
33,bcycl,ext_bv_ses,keep,,,15b9. In your dwelling is there Furniture:Bi-cycle,1=Yes; 2=No;,,,,NA,bcycl,ext_bv_ses::bcycl,int,2,NA,NA,1 to 2,2,once,0,NA
34,mcycl,ext_bv_ses,keep,,,15b10. In your dwelling is there Furniture: Motor-cycle,1=Yes; 2=No;,,,,NA,mcycl,ext_bv_ses::mcycl,int,2,NA,NA,1 to 2,2,once,0,NA
35,sewm,ext_bv_ses,keep,,,15b11. In your dwelling is there Furniture: Sewing machine,1=Yes; 2=No;,,,,NA,sewm,ext_bv_ses::sewm,int,2,NA,NA,1 to 2,2,once,0,NA
36,fan,ext_bv_ses,keep,,,15b12. In your dwelling is there Furniture: Fan,1=Yes; 2=No;,,,,NA,fan,ext_bv_ses::fan,int,1,NA,NA,1 to 2,2,once,0,NA
37,news,ext_bv_ses,keep,,,16a.  Do you read newspaper?,1 = Regular;  2 = Irregular ly;  3=No,,,,NA,news,ext_bv_ses::news,int,3,NA,NA,1 to 3,3,once,0,NA
38,mmed,ext_bv_ses,keep,,,16b. Do you listen / watch Radio or TV?,1 = Regular;  2 = Irregular ly ; 3 = No,,,,NA,mmed,ext_bv_ses::mmed,int,3,NA,NA,1 to 3,3,once,0,NA
39,watr,ext_bv_ses,keep,,,17. What is the principal source of household DRINKING WATER?,"1 = Municipality supply/piped water ; 2 = Own arrangement by pump; 3 = Tube well; 4 = Well/Pond/Canal        
surface water",,,,NA,watr,ext_bv_ses::watr,int,1,NA,NA,1 to 3,3,once,0,NA
40,toil,ext_bv_ses,keep,,,18. What is the principal type of TOILET facility used by members of your household?,"1 = Septic tank or toilet
2 = Water-sealed or slab latrine
3 = Pit latrine
4 = Open latrine
5 = Hanging latrine
6 = Bush, field as latrine",,,,NA,toil,ext_bv_ses::toil,int,1,NA,NA,1 to 5,5,once,0,NA
41,hhfd,ext_bv_ses,keep,,,"19. In terms of household food availability, how do you classify your household?",1 = Deficit in whole year;  2 = Sometimes deficit;  3 = Neither deficit nor surplus;  4 = Surplus,,,,NA,hhfd,ext_bv_ses::hhfd,int,3,NA,NA,1 to 4,4,once,0,NA
42,agfd,ext_bv_ses,keep,,,20a1. Type of Agent,"1 = Water, 2 = Mud, 3 = Ash, 4 = Soap, 5 = Other, 9=None",,,,9,agfd,ext_bv_ses::agfd,int,9,NA,NA,1 to 9,4,once,0,NA
43,hwfd,ext_bv_ses,keep,,,20a1.How,"1 = Left hand, 2 = Right hand, 3 = Both Hands, 9=None",,,,9,hwfd,ext_bv_ses::hwfd,int,9,NA,NA,2 to 9,3,once,0,NA
44,surfd,ext_bv_ses,keep,,,20a1.Source of Water,"1 = Municipality supply, 2 = Own Arrangement by plastic pipe, 3 = Tube well,4 = Well/Pond/Canal, 9=None",,,,9,surfd,ext_bv_ses::surfd,int,9,NA,NA,1 to 9,3,once,0,NA
45,ageat,ext_bv_ses,keep,,,20b1.Type of Agent,"1 = Water, 2 = Mud, 3 = Ash, 4 = Soap, 5 = Other, 9=None",,,,9,ageat,ext_bv_ses::ageat,int,1,NA,NA,1 to 9,5,once,0,NA
46,hweat,ext_bv_ses,keep,,,20b1.How,"1 = Left hand, 2 = Right hand, 3 = Both Hands, 9=None",,,,9,hweat,ext_bv_ses::hweat,int,3,NA,NA,1 to 9,4,once,0,NA
47,suret,ext_bv_ses,keep,,,20b1.Source of Water,"1 = Municipality supply, 2 = Own Arrangement by plastic pipe, 3 = Tube well,4 = Well/Pond/Canal, 9=None",,,,9,suret,ext_bv_ses::suret,int,1,NA,NA,1 to 9,3,once,0,NA
48,agdef,ext_bv_ses,keep,,,20c1. Type of Agent,"1 = Water, 2 = Mud, 3 = Ash, 4 = Soap, 5 = Other, 9=None",,,,9,agdef,ext_bv_ses::agdef,int,4,NA,NA,1 to 9,6,once,0,NA
49,hwdef,ext_bv_ses,keep,,,20c1. How,"1 = Left hand, 2 = Right hand, 3 = Both Hands, 9=None",,,,9,hwdef,ext_bv_ses::hwdef,int,1,NA,NA,1 to 9,4,once,0,NA
50,surdf,ext_bv_ses,keep,,,20c1. Source of Water,"1 = Municipality supply, 2 = Own Arrangement by plastic pipe, 3 = Tube well,4 = Well/Pond/Canal, 9=None",,,,9,surdf,ext_bv_ses::surdf,int,1,NA,NA,1 to 9,3,once,0,NA
51,agbot,ext_bv_ses,keep,,,20d1. Type of Agent,"1 = Water, 2 = Mud, 3 = Ash, 4 = Soap, 5 = Other, 9=None",,,,9,agbot,ext_bv_ses::agbot,int,9,NA,NA,1 to 9,3,once,0,NA
52,hwbot,ext_bv_ses,keep,,,20d1. How,"1 = Left hand, 2 = Right hand, 3 = Both Hands, 9=None",,,,9,hwbot,ext_bv_ses::hwbot,int,9,NA,NA,1 to 9,3,once,0,NA
53,surbt,ext_bv_ses,keep,,,20d1. Source of Water,"1 = Municipality supply, 2 = Own Arrangement by plastic pipe, 3 = Tube well,4 = Well/Pond/Canal, 9=None",,,,9,surbt,ext_bv_ses::surbt,int,9,NA,NA,1 to 9,2,once,0,NA
54,aganu,ext_bv_ses,keep,,,20e1. Type of Agent,"1 = Water, 2 = Mud, 3 = Ash, 4 = Soap, 5 = Other, 9=None",,,,9,aganu,ext_bv_ses::aganu,int,9,NA,NA,1 to 9,3,once,0,NA
55,hwanu,ext_bv_ses,keep,,,20e1. How,"1 = Left hand, 2 = Right hand, 3 = Both Hands, 9=None",,,,9,hwanu,ext_bv_ses::hwanu,int,9,NA,NA,1 to 9,4,once,0,NA
56,suran,ext_bv_ses,keep,,,20e1. Source of Water,"1 = Municipality supply, 2 = Own Arrangement by plastic pipe, 3 = Tube well,4 = Well/Pond/Canal, 9=None",,,,9,suran,ext_bv_ses::suran,int,9,NA,NA,1 to 9,3,once,0,NA
57,watrt,ext_bv_ses,keep,,,21. Water treatment methods used,1 = None  2 = Let it stand and settle; 3 = Water filter; 4 = Solar disinfection; 5 = Boil; 6 = Strain through cloth; 7 = Add bleach/ chlorine;,,,,NA,watrt,ext_bv_ses::watrt,int,5,NA,NA,1 to 7,5,once,0,NA
58,tshar,ext_bv_ses,keep,,,22. Toilet facility shared with other households,1=Yes; 2=No,,,,NA,tshar,ext_bv_ses::tshar,int,1,NA,NA,1 to 2,2,once,0,NA
59,nail,ext_bv_ses,keep,,,23. Frequency of nail cutting of mother,"1 = Once in a week, 2 = Twice in a month; 3 = Once in a month; 4 = Once in Quarter",,,,NA,nail,ext_bv_ses::nail,int,2,NA,NA,1 to 4,4,once,0,NA
60,ckpl,ext_bv_ses,keep,,,24. Place for cooking for household,"1 = inside house, 2 = separate building; 3 = outdoors; 4 = other",,,,NA,ckpl,ext_bv_ses::ckpl,int,3,NA,NA,1 to 3,3,once,0,NA
61,fuel,ext_bv_ses,keep,,,25. Type of cooking fuel,"1 = Gas, 2 = electric stove; 3 = wood stove; 4= Kerosene oil stove; 5 = Animal dung; 6 = Garments products",,,,NA,fuel,ext_bv_ses::fuel,int,1,NA,NA,1 to 4,4,once,0,NA
62,drain,ext_bv_ses,keep,,,26. Open drain beside your house,1=Yes; 2=No;,,,,NA,drain,ext_bv_ses::drain,int,2,NA,NA,1 to 2,2,once,0,NA
1,pid,ext_bv_ter,discard,,,Child Identification,NA,,,,NA,pid,ext_bv_ter::pid,chr,BP1147,NA,NA,>10 unique values,105,once,0,duplicated variable
2,terdt,ext_bv_ter,discard,,,Date of interview,NA=Not Available/Not applicable,,,,NA=Not Available/Not applicable,terdt,ext_bv_ter::terdt,chr,5/18/13 0:00,date?,NA,>10 unique values,78,once,0,duplicated variable
3,terwho,ext_bv_ter,discard,,,2. This form completed for,1= Mother; 2=Infant,,,,NA,terwho,ext_bv_ter::terwho,int,1,NA,NA,1 to 2,2,repeated,0,NA
4,terdis,ext_bv_ter,discard,,,3. Date of study discontinuation,NA,,,,NA,terdis,ext_bv_ter::terdis,chr,5/9/13 0:00,NA,NA,>10 unique values,95,once,0,duplicated variable
5,tereas,ext_bv_ter,discard,,,4. Reason for discontinuation,01 = Research study terminated; 02 = Consent withdrawn/voluntary withdrawal; 03 = Moved out of study area; 04 = Death of subject ; 05 = Child missed oral Vaccination; 06 = Mother unreachable for more than 60 days in first year of enrollment and whereabouts unknown ; 07 = Investigator discretion; 08 = Diagnosis of immune- compromising condition in child that precludes oral vaccination; 09 = Severe (anaphylaxis) reaction to previous vaccination; 10 = Other,,,,NA,tereas,ext_bv_ter::tereas,int,6,NA,NA,2 to 7,5,once,0,duplicated variable
1,pid,ext_lab_bv_abo,keep,,,Child Identification,NA,,,,NA,pid,ext_lab_bv_abo::pid,chr,BP1005,NA,NA,>10 unique values,700,once,0,duplicated variable
2,specdt,ext_lab_bv_abo,discard,,,Date of Specimen Collection dd/mm/yy,NA,,,,36412,specdt,ext_lab_bv_abo::specdt,chr,7/15/13 0:00,date?,NA,>10 unique values,226,once,0,duplicated variable
3,abo,ext_lab_bv_abo,keep,,,Blood group,NA,,,,NA,abo,ext_lab_bv_abo::abo,chr,O,NA,NA,"-9, A, AB, B, O",5,once,0,NA
4,rh,ext_lab_bv_abo,keep,,,rhesus macques postive status,NA,,,,NA,rh,ext_lab_bv_abo::rh,chr,Positive ( + ),NA,NA,"-9, Negative ( - ), Positive ( + )",3,once,0,NA
5,deby,ext_lab_bv_abo,discard,,,Entered by Initial,NA,,,,NA,deby,ext_lab_bv_abo::deby,dbl,106,NA,NA,-9 to 106,2,once,0,NA
6,qcby,ext_lab_bv_abo,discard,,,Checked by Initial,NA,,,,NA,qcby,ext_lab_bv_abo::qcby,dbl,127,NA,NA,-9 to 127,2,once,0,NA
7,remarks,ext_lab_bv_abo,discard,,,Comment,NA,,,,NA,remarks,ext_lab_bv_abo::remarks,chr,Dropped,NA,NA,", Blood missed, Dropped, Forgotten, date corrected",4,once,0.785714286,NA
8,batch,ext_lab_bv_abo,discard,,,Assay batch #,NA,,,,NA,batch,ext_lab_bv_abo::batch,int,1,NA,NA,1 to 1,1,once,0,duplicated variable
9,version,ext_lab_bv_abo,discard,,,Batch version,NA,,,,NA,version,ext_lab_bv_abo::version,int,1,NA,NA,1 to 1,1,once,0,duplicated variable
1,pid,ext_lab_bv_act,keep,,,Child Identification,NA,,,,NA,pid,ext_lab_bv_act::pid,chr,BP1005,NA,NA,>10 unique values,650,once,0,duplicated variable
2,specnum,ext_lab_bv_act,discard,,,Specimen number,33=Infant Blood,,,,NA,specnum,ext_lab_bv_act::specnum,int,33,NA,NA,33 to 33,1,once,0,duplicated variable
3,specseq,ext_lab_bv_act,discard,,,Specimen sequence,NA,,,,NA,specseq,ext_lab_bv_act::specseq,int,1,NA,NA,1 to 5,3,repeated,0,duplicated variable
4,spectype,ext_lab_bv_act,discard,,,Specimen type,,,,,NA,spectype,ext_lab_bv_act::spectype,chr,InfantBlood,NA,NA,InfantBlood,1,once,0,duplicated variable
5,vstnum,ext_lab_bv_act,keep,,,Visit number,NA,,,,-9,vstnum,ext_lab_bv_act::vstnum,int,2,NA,NA,2 to 13,3,repeated,0,duplicated variable
6,vstwk,ext_lab_bv_act,discard,,,Visit week,NA,,,,NA,vstwk,ext_lab_bv_act::vstwk,chr,Week 6,NA,NA,"Week 104, Week 40, Week 6",3,repeated,0,duplicated variable
7,vstdetail,ext_lab_bv_act,discard,,,visit details,NA,,,,NA,vstdetail,ext_lab_bv_act::vstdetail,int,-9,NA,NA,-9 to -9,1,once,0,duplicated variable
8,specdt,ext_lab_bv_act,keep,,,Date of Specimen Collection dd/mm/yy,NA,,,,36412,specdt,ext_lab_bv_act::specdt,chr,8/21/11 0:00,date?,NA,>10 unique values,473,repeated,0,duplicated variable
9,assydt,ext_lab_bv_act,discard,,,Date Assay Performed,NA,,,,36412,assydt,ext_lab_bv_act::assydt,chr,6/5/14 0:00,date?,NA,>10 unique values,15,repeated,0,duplicated variable
10,actvina,ext_lab_bv_act,keep,,,Activin A result pg/mL,0 ( <125 pg/ml) =below detectable limit; -9 = Missing,,,,-9,actvina,ext_lab_bv_act::actvina,dbl,837.4,NA,NA,0 to 12602.24,1385,repeated,0,NA
11,rept,ext_lab_bv_act,discard,,,Do you need to Repeat Sample?,"1 = Yes, 2 = No",,,,-9,rept,ext_lab_bv_act::rept,int,2,NA,NA,1 to 2,2,repeated,0,duplicated variable
12,resn,ext_lab_bv_act,discard,,,Reason for repeating,"3=Inconclusive, 4 = Assay failed, -9 = Not applicable",,,,-9,resn,ext_lab_bv_act::resn,int,-9,NA,NA,-9 to 3,2,repeated,0,duplicated variable
13,comnt,ext_lab_bv_act,discard,,,Comment,NA,,,,NA,comnt,ext_lab_bv_act::comnt,chr,OK,NA,NA,OK,1,once,0,duplicated variable
14,batch,ext_lab_bv_act,discard,,,Assay batch #,NA,,,,NA,batch,ext_lab_bv_act::batch,int,1,NA,NA,1 to 1,1,once,0,duplicated variable
15,version,ext_lab_bv_act,discard,,,Batch version,NA,,,,NA,version,ext_lab_bv_act::version,int,1,NA,NA,1 to 1,1,once,0,duplicated variable
1,pid,ext_lab_bv_ala,keep,,,Child Identification,NA,,,,NA,pid,ext_lab_bv_ala::pid,chr,BP1005,NA,NA,>10 unique values,592,once,0,duplicated variable
2,specnum,ext_lab_bv_ala,discard,,,Specimen number,10=clinic stool,,,,NA,specnum,ext_lab_bv_ala::specnum,int,10,NA,NA,10 to 10,1,once,0,duplicated variable
3,specseq,ext_lab_bv_ala,discard,,,Specimen sequence,NA,,,,NA,specseq,ext_lab_bv_ala::specseq,int,4,NA,NA,4 to 10,3,repeated,0,duplicated variable
4,spectype,ext_lab_bv_ala,keep,,,Specimen type,,,,,NA,spectype,ext_lab_bv_ala::spectype,chr,ClinicalStool,NA,NA,ClinicalStool,1,once,0,duplicated variable
5,vstnum,ext_lab_bv_ala,keep,,,Visit number,NA,,,,-9,vstnum,ext_lab_bv_ala::vstnum,int,4,NA,NA,4 to 10,3,repeated,0,duplicated variable
6,vstwk,ext_lab_bv_ala,discard,,,Visit week,NA,,,,NA,vstwk,ext_lab_bv_ala::vstwk,chr,Week 12,NA,NA,"Week 12, Week 24, Week 40",3,repeated,0,duplicated variable
7,vstdetail,ext_lab_bv_ala,discard,,,visit details,NA,,,,NA,vstdetail,ext_lab_bv_ala::vstdetail,int,-9,NA,NA,-9 to -9,1,once,0,duplicated variable
8,specdt,ext_lab_bv_ala,keep,,,Date of Specimen Collection dd/mm/yy,NA,,,,36412,specdt,ext_lab_bv_ala::specdt,chr,10/20/11 0:00,date?,NA,>10 unique values,334,repeated,0,duplicated variable
9,assydt,ext_lab_bv_ala,discard,,,Date Assay Performed,NA,,,,36412,assydt,ext_lab_bv_ala::assydt,chr,11/8/12 0:00,date?,NA,>10 unique values,14,repeated,0,duplicated variable
10,ala,ext_lab_bv_ala,keep,,,Alpha-1- anti trypsin result mg/g, '-9 = Missing,,from stool,,Also found in wide form in ext_mgmt_biomarkers_clinicastool_upd1,ala,ext_lab_bv_ala::ala,dbl,0.43,NA,NA,0 to 4.04,216,repeated,0,duplicated variable
11,rept,ext_lab_bv_ala,discard,,,Do you need to Repeat Sample?,"1 = Yes, 2 = No",,,,-9,rept,ext_lab_bv_ala::rept,int,2,NA,NA,1 to 2,2,repeated,0,duplicated variable
12,resn,ext_lab_bv_ala,discard,,,Reason for repeating,"3=Inconclusive, 4 = Assay failed, -9 = Not applicable",,,,-9,resn,ext_lab_bv_ala::resn,int,-9,NA,NA,-9 to 3,2,repeated,0,duplicated variable
13,comnt,ext_lab_bv_ala,discard,,,Comment,NA,,,,NA,comnt,ext_lab_bv_ala::comnt,chr,ok,NA,NA,"OK, ok",2,once,0,duplicated variable
14,batch,ext_lab_bv_ala,discard,,,Assay batch #,NA,,,,NA,batch,ext_lab_bv_ala::batch,int,1,NA,NA,1 to 2,2,once,0,duplicated variable
15,version,ext_lab_bv_ala,discard,,,Batch version,NA,,,,NA,version,ext_lab_bv_ala::version,int,1,NA,NA,1 to 1,1,once,0,duplicated variable
1,pid,ext_lab_bv_bml,keep,,,Child Identification,NA,,,,Loading from ext_mgmt_biomarkers_maternal,PID,ext_lab_bv_bml::pid,chr,BP1005,NA,NA,>10 unique values,685,once,0,duplicated variable
2,doc,ext_lab_bv_bml,keep,,,DOC,NA,,,,Loading from ext_mgmt_biomarkers_maternal,DOC,ext_lab_bv_bml::doc,chr,7/20/11 0:00,NA,NA,>10 unique values,288,once,0,NA
3,assydt,ext_lab_bv_bml,discard,,,Date Assay Performed,NA,,,,Loading from ext_mgmt_biomarkers_maternal,ASSYDT,ext_lab_bv_bml::assydt,chr,5/14/13 0:00,date?,NA,>10 unique values,19,once,0,duplicated variable
4,specnum,ext_lab_bv_bml,discard,,,Specimen number,,,,,Loading from ext_mgmt_biomarkers_maternal,SPECNUM,ext_lab_bv_bml::specnum,dbl,55,NA,NA,55 to 55,1,once,0,duplicated variable
5,specseq,ext_lab_bv_bml,discard,,,Specimen sequence,NA,,,,Loading from ext_mgmt_biomarkers_maternal,SPECSEQ,ext_lab_bv_bml::specseq,dbl,1,NA,NA,1 to 1,1,once,0,duplicated variable
6,cap,ext_lab_bv_bml,keep,,,Capric,C10:0,,,,Loading from ext_mgmt_biomarkers_maternal,CAP,ext_lab_bv_bml::cap,dbl,2.42,NA,NA,0.11 to 3.09,213,once,0,duplicated variable
7,lau,ext_lab_bv_bml,keep,,,Lauric,C12:0,,,,Loading from ext_mgmt_biomarkers_maternal,LAU,ext_lab_bv_bml::lau,dbl,12.87,NA,NA,1.49 to 18.84,533,once,0,duplicated variable
8,myr,ext_lab_bv_bml,keep,,,Myristic,C14:0,,,,Loading from ext_mgmt_biomarkers_maternal,MYR,ext_lab_bv_bml::myr,dbl,11.48,NA,NA,2.14 to 19.63,506,once,0,duplicated variable
9,pal,ext_lab_bv_bml,keep,,,Palmitic,C16:0,,,,Loading from ext_mgmt_biomarkers_maternal,PAL,ext_lab_bv_bml::pal,dbl,24,NA,NA,15.07 to 36.35,525,once,0,duplicated variable
