variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
diarrdur,BC-3 mothers all visits database FINAL,keep,,Diarrhea Duration,,,,,,,diarrdur|BC-3 mothers all visits database FINAL,,,,,,,
diarrgrade,BC-3 enrollment database FINAL,keep,,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,diarrgrade|BC-3 enrollment database FINAL,,,,,,,
diarrgrade,BC-3 mothers all visits database FINAL,keep,,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,diarrgrade|BC-3 mothers all visits database FINAL,,,,,,,
diarrheaAE,Individual level database FINAL,SKIP,,(sum) diarrheaAE,"0,1,2,3,4",,,,,What does sum mean? Please define.,diarrheaAE|Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000665,Diarrhea,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable
dmarkt,BC3_Household_Survey_Data,SKIP,,how far is it to the nearest market place?,,,,,,,dmarkt|BC3_Household_Survey_Data,,Distance,,,,,variable
dmelitus,BC-3 enrollment database FINAL,keep,,Diabetes Mellitus,"0 = No,
1=Yes",,,,,,dmelitus|BC-3 enrollment database FINAL,,,,,,,
dob,BC-3 enrollment database FINAL,keep,,Date of Birth:,date,,,,,,dob|BC-3 enrollment database FINAL,,,,,,,
dob,BC-3 mothers all visits database FINAL,discard,,Date of Birth:,date,,,,,DROP - Use enrollment,dob|BC-3 mothers all visits database FINAL,,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
dob,BC-3 mothers expanded database FINAL,discard,,Date of Birth:,Date,,,,,DROP - Use enrollment,dob|BC-3 mothers expanded database FINAL,,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
dob,BC-3 screening database FINAL,SKIP,,Date of Birth:,date,,,,,,dob|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,The date when the participant was born,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
dod,BC-3 mothers delivery database FINAL,keep,,Delivery date,date,,,,,,dod|BC-3 mothers delivery database FINAL,,,,,,,
dod,BC-3 mothers expanded database FINAL,discard,,Date of delivery,Date,,,,,DROP - Use delivery,dod|BC-3 mothers expanded database FINAL,,Delivery date,,Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
dod,Individual level database FINAL,discard,,Date of delivery,date,,,,,DROP - Use delivery,dod|Individual level database FINAL,,Delivery date,,Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
drug1,BC-3 enrollment database FINAL,keep,,Drug:,,,,,,,drug1|BC-3 enrollment database FINAL,,,,,,,
drug2,BC-3 enrollment database FINAL,discard,,Drug:,,,,,,All NA's,drug2|BC-3 enrollment database FINAL,,Drug allergy,What 2nd drug is the participant allergic to,,Clinical history,,variable
drug3,BC-3 enrollment database FINAL,discard,,Drug:,,,,,,All NA's,drug3|BC-3 enrollment database FINAL,,Drug allergy,What 3rd drug is the participant allergic to,,Clinical history,,variable
drugadm,BC-3 mothers all visits database FINAL,keep,,was the mother administered study drugs during her last visit to clinic,"0=No,
1=Yes",,,,,,drugadm|BC-3 mothers all visits database FINAL,,,,,,,
drugs,BC-3 enrollment database FINAL,keep,,Drugs,"0 = No,
1=Yes",,,,,,drugs|BC-3 enrollment database FINAL,,,,,,,
dspray,BC3_Household_Survey_Data,SKIP,,did you pay for the dwelling to be sprayed?,"1=Yes, 2=No, -9=Skipped",,,,,,dspray|BC3_Household_Survey_Data,,Spraying,,,,,variable
duration,BC-3 mothers expanded database FINAL,keep,,Duration of follow-up,,,,,,,duration|BC-3 mothers expanded database FINAL,,,,,,,
dysphdur,BC-3 enrollment database FINAL,keep,,Dysphagia Duration,,,,,,,dysphdur|BC-3 enrollment database FINAL,,,,,,,
dysphdur,BC-3 mothers all visits database FINAL,keep,,Dysphagia Duration,,,,,,,dysphdur|BC-3 mothers all visits database FINAL,,,,,,,
dysphgrade,BC-3 enrollment database FINAL,keep,,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,dysphgrade|BC-3 enrollment database FINAL,,,,,,,
dysphgrade,BC-3 mothers all visits database FINAL,keep,,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,dysphgrade|BC-3 mothers all visits database FINAL,,,,,,,
dysuria,BC-3 enrollment database FINAL,keep,,Dysuria,"0=Not present, 1=Present",,,,,,dysuria|BC-3 enrollment database FINAL,,,,,,,
eavescov,BC3_Household_Survey_Data,SKIP,,"observation: if room has eaves, are the eaves covered?","1=completely covered, 2=partially covered, -9=skipped",,,,,,eavescov|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
eavesdich,BC3_Household_Survey_Data,SKIP,,Whether eaves present,"1=Eaves present, 2=Eaves not present",,,,,,eavesdich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
eavesopn,BC3_Household_Survey_Data,SKIP,,observation: do the eaves open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",,,,,,eavesopn|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
ecg,BC-3 mothers all visits database FINAL,keep,,"Is mother due for ECG(week 20,28 and 36)","0=No,
1=Yes",,,,,,ecg|BC-3 mothers all visits database FINAL,,,,,,,
eddlmp,BC-3 enrollment database FINAL,keep,,EDD by LMP,date,,,,,,eddlmp|BC-3 enrollment database FINAL,,,,,,,
eddus,BC-3 enrollment database FINAL,keep,,EDD by US,date,,,,,,eddus|BC-3 enrollment database FINAL,,,,,,,
educ,BC-3 enrollment database FINAL,keep,,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",,,,,,educ|BC-3 enrollment database FINAL,,,,,,,
educ,BC-3 mothers all visits database FINAL,discard,,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",,,,,,educ|BC-3 mothers all visits database FINAL,,,,,,,
educ,BC3_Household_Survey_Data,SKIP,,Eduction Level,"0=none,1=Primary, 2=O level, 3= A level, 4= Tertiary, 5=University",,,,,,educ|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
educdich,BC3_Household_Survey_Data,SKIP,,Level of education dichotomized,"0=O level or beyond, 1= None or primary level",,,,,,educdich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable
elective,BC-3 enrollment database FINAL,discard,,Elective,,,,,,Drop use celective,elective|BC-3 enrollment database FINAL,,Elective abortions,how many delibarate abortions has the participant had .,Participant,Obstetric history,,variable
electric,BC3_Household_Survey_Data,SKIP,,does your household have electricity?,"1=Yes, 2=No, -9=Skipped",,,,,,electric|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
elevatedALT,Individual level database FINAL,SKIP,,(sum) elevatedALT,"0,1",,,,,What does sum mean? Please define.,elevatedALT|Individual level database FINAL,,elevatedALT,,,,,variable
eligible,BC-3 screening database FINAL,SKIP,,Whether the woman eligible for the study,"0=Not Eligible, 1=Eligible",,,,,,eligible|BC-3 screening database FINAL,,Participant eligibility,Whether the participant is eligible for the study,Participant,,,variable
enddate,BC-3 mothers expanded database FINAL,keep,,Last day in the study,Date,,,,,,enddate|BC-3 mothers expanded database FINAL,,,,,,,
enddate,Individual level database FINAL,discard,,Last day in the study,date,,,,,DROP use expanded,enddate|Individual level database FINAL,,Withdraw date,,,,,variable
endo,BC-3 enrollment database FINAL,keep,,Endo,,,,,,,endo|BC-3 enrollment database FINAL,,,,,,,
endo,BC-3 mothers all visits database FINAL,keep,,Endo,,,,,,,endo|BC-3 mothers all visits database FINAL,,,,,,,
endodur,BC-3 enrollment database FINAL,keep,,Endo Duration,,,,,,,endodur|BC-3 enrollment database FINAL,,,,,,,
endodur,BC-3 mothers all visits database FINAL,keep,,Endo Duration,,,,,,,endodur|BC-3 mothers all visits database FINAL,,,,,,,
endograde,BC-3 enrollment database FINAL,keep,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,endograde|BC-3 enrollment database FINAL,,,,,,,
endograde,BC-3 mothers all visits database FINAL,keep,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,endograde|BC-3 mothers all visits database FINAL,,,,,,,
enrollage,Individual level database FINAL,keep,,Age at enrollment in years,,,,,,,enrollage|Individual level database FINAL,,,,,,,
enrolldate,BC-3 mothers expanded database FINAL,keep,,Date of enrollment,Date,,,,,,enrolldate|BC-3 mothers expanded database FINAL,,,,,,,
enrolldate,Individual level database FINAL,discard,,Date of enrollment,date,,,,,DROP use expanded,enrolldate|Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable
enrollgestage,BC-3 mothers expanded database FINAL,keep,,Gestational age at enollment (wks),age in weeks,,,,,,enrollgestage|BC-3 mothers expanded database FINAL,,,,,,,
entcov1,BC3_Household_Survey_Data,SKIP,,observation: is the entryway1 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov1|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov10,BC3_Household_Survey_Data,SKIP,,observation: is the entryway10 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov10|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov11,BC3_Household_Survey_Data,SKIP,,observation: is the entryway11 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov11|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov12,BC3_Household_Survey_Data,SKIP,,observation: is the entryway12 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov12|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov2,BC3_Household_Survey_Data,SKIP,,observation: is the entryway2 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov2|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov3,BC3_Household_Survey_Data,SKIP,,observation: is the entryway3 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov3|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov4,BC3_Household_Survey_Data,SKIP,,observation: is the entryway4 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov4|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov5,BC3_Household_Survey_Data,SKIP,,observation: is the entryway5 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov5|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov6,BC3_Household_Survey_Data,SKIP,,observation: is the entryway6 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov6|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov7,BC3_Household_Survey_Data,SKIP,,observation: is the entryway7 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov7|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov8,BC3_Household_Survey_Data,SKIP,,observation: is the entryway8 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov8|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entcov9,BC3_Household_Survey_Data,SKIP,,observation: is the entryway9 covered?,"1=covered, 2=partially, 3=open, -9=skipped",,,,,,entcov9|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn1,BC3_Household_Survey_Data,SKIP,,observation: does entryway1 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn1|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn10,BC3_Household_Survey_Data,SKIP,,observation: does entryway10 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn10|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn11,BC3_Household_Survey_Data,SKIP,,observation: does entryway11 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn11|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn12,BC3_Household_Survey_Data,SKIP,,observation: does entryway12 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn12|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn2,BC3_Household_Survey_Data,SKIP,,observation: does entryway2 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn2|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn3,BC3_Household_Survey_Data,SKIP,,observation: does entryway3 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn3|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn4,BC3_Household_Survey_Data,SKIP,,observation: does entryway4 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn4|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn5,BC3_Household_Survey_Data,SKIP,,observation: does entryway5 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn5|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn6,BC3_Household_Survey_Data,SKIP,,observation: does entryway6 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn6|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn7,BC3_Household_Survey_Data,SKIP,,observation: does entryway7 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn7|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn8,BC3_Household_Survey_Data,SKIP,,observation: does entryway8 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn8|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
entopn9,BC3_Household_Survey_Data,SKIP,,observation: does entryway9 open to the outside?,"1=Yes, 2=No, -9=Skipped",,,,,,entopn9|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm1,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway1 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm1|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm10,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway10 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm10|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm11,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway11 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm11|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm12,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway12 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm12|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm2,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway2 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm2|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm3,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway3 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm3|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm4,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway4 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm4|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm5,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway5 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm5|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm6,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway6 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm6|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm7,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway7 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm7|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm8,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway8 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm8|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
etmm9,BC3_Household_Survey_Data,SKIP,,observation: main material is entryway9 covering made of.,"1=wood, 2=screen, 3=metal,4=cloth,5=other,-9=skipped",,,,,,etmm9|BC3_Household_Survey_Data,,health facility entrance,,,,,variable
exclusioncriteria,BC-3 screening database FINAL,keep,,Reason for exclusion,numeric,,,,,,exclusioncriteria|BC-3 screening database FINAL,,,,,,,
exp1rdt,BC-3 mothers all visits database FINAL,discard,,Experimental RDT 1st reading,"0=Negative, 1=positive, 2=Invalid",,,,,DROP use expanded,exp1rdt|BC-3 mothers all visits database FINAL,,Experimental RDT ,Experimental RDT ,,,,variable
exp1rdt,BC-3 mothers expanded database FINAL,keep,,Experimental RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",,,,,Experimental RDT reading first,exp1rdt|BC-3 mothers expanded database FINAL,,,,,,,
exp2rdt,BC-3 mothers all visits database FINAL,discard,,Experimental RDT 2nd reading,"0=Negative, 1=positive, 2=Invalid",,,,,DROP use expanded,exp2rdt|BC-3 mothers all visits database FINAL,,Experimental RDT ,Experimental RDT ,,,,variable
exp2rdt,BC-3 mothers expanded database FINAL,keep,,Experimental RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",,,,,,exp2rdt|BC-3 mothers expanded database FINAL,,,,,,,
eye,BC-3 enrollment database FINAL,keep,,Eye,,,,,,,eye|BC-3 enrollment database FINAL,,,,,,,
eye,BC-3 mothers all visits database FINAL,keep,,Eye,,,,,,,eye|BC-3 mothers all visits database FINAL,,,,,,,
eyedur,BC-3 enrollment database FINAL,keep,,Eye Duration,,,,,,,eyedur|BC-3 enrollment database FINAL,,,,,,,
eyedur,BC-3 mothers all visits database FINAL,keep,,Eye Duration,,,,,,,eyedur|BC-3 mothers all visits database FINAL,,,,,,,
eyegrade,BC-3 enrollment database FINAL,keep,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,eyegrade|BC-3 enrollment database FINAL,,,,,,,
eyegrade,BC-3 mothers all visits database FINAL,keep,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,eyegrade|BC-3 mothers all visits database FINAL,,,,,,,
father,BC-3 screening database FINAL,keep,,Is father of the unborn child readily available to provide consent?,"0 = No,
1=Yes",,,,,,father|BC-3 screening database FINAL,,,,,,,
fatherconsent,BC-3 enrollment database FINAL,keep,,Father's consent for unborn child,"0 = No,
1=Yes",,,,,,fatherconsent|BC-3 enrollment database FINAL,,,,,,,
fatherconsent,BC-3 mothers all visits database FINAL,discard,,Father's consent for unborn child,"1=Father unavailable to provide consent, 2=Father provided consent",,,,,DROP use enrollment,fatherconsent|BC-3 mothers all visits database FINAL,,,,,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,variable
fatherconsent,BC-3 screening database FINAL,discard,,Father's consent for unborn child,"1=Father unavailable to provide consent, 2=Father provided consent",,,,,DROP use enrollment,fatherconsent|BC-3 screening database FINAL,,,Father's consent for unborn child,Observation,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,variable
fatigdur,BC-3 enrollment database FINAL,keep,,Fatigue Duration,,,,,,,fatigdur|BC-3 enrollment database FINAL,,,,,,,
fatigdur,BC-3 mothers all visits database FINAL,keep,,Fatigue Duration,,,,,,,fatigdur|BC-3 mothers all visits database FINAL,,,,,,,
fatiggrade,BC-3 enrollment database FINAL,keep,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,fatiggrade|BC-3 enrollment database FINAL,,,,,,,
fatiggrade,BC-3 mothers all visits database FINAL,keep,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,fatiggrade|BC-3 mothers all visits database FINAL,,,,,,,
fconsent,BC-3 screening database FINAL,discard,,"If yes, is father of the unborn child willing to provide consent?","0 = No,
1=Yes",,,,,DROP use enrollment,fconsent|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,"If yes, is father of the unborn child willing to provide consent?",Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,variable
fdiabetes,BC-3 enrollment database FINAL,keep,,Diabetes,"0 = No,
1=Yes",,,,,,fdiabetes|BC-3 enrollment database FINAL,,,,,,,
febrile,BC-3 enrollment database FINAL,keep,,Whether woman was febrile,"0 = No,
1=Yes",,,,,,febrile|BC-3 enrollment database FINAL,,,,,,,
febrile,BC-3 mothers all visits database FINAL,discard,,Whether mother was febrile,,,,,,DROP - Use expanded,febrile|BC-3 mothers all visits database FINAL,,,,Observation,,,variable
febrile,BC-3 mothers expanded database FINAL,keep,,Whether mother was febrile,"0=No,1=Yes",,,,,,febrile|BC-3 mothers expanded database FINAL,,,,,,,
fetal,BC-3 enrollment database FINAL,keep,,Fetal movement,"0=Not present, 1=Present",,,,,,fetal|BC-3 enrollment database FINAL,,,,,,,
fetal,BC-3 mothers all visits database FINAL,keep,,Normal fetal movement,"0=Absent 24 hours,
1=Present,
2=Decreased",,,,,,fetal|BC-3 mothers all visits database FINAL,,,,,,,
fever,BC-3 enrollment database FINAL,keep,,Fever,"0 = No,
1=Yes",,,,,Double-check definition?,fever|BC-3 enrollment database FINAL,,,,,,,
fever,BC-3 mothers all visits database FINAL,discard,,Fever,"0 = No,
1 = Yes",,,,,DROP - Use expanded,fever|BC-3 mothers all visits database FINAL,,,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
fever,BC-3 mothers expanded database FINAL,keep,,Fever,"0 = No,1 = Yes",,,,,Double-check definition?,fever|BC-3 mothers expanded database FINAL,,,,,,,
feverdur,BC-3 enrollment database FINAL,keep,,Fever Duration,,,,,,,feverdur|BC-3 enrollment database FINAL,,,,,,,
feverdur,BC-3 mothers all visits database FINAL,keep,,Fever Duration,,,,,,,feverdur|BC-3 mothers all visits database FINAL,,,,,,,
fhgt,BC-3 enrollment database FINAL,keep,,Fundal Height,,,,,,,fhgt|BC-3 enrollment database FINAL,,,,,,,
fhgt,BC-3 mothers all visits database FINAL,keep,,Fundal Height (cm),,,,,,,fhgt|BC-3 mothers all visits database FINAL,,,,,,,
fhtone,BC-3 enrollment database FINAL,keep,,Fetal Heart Tones,"0=Not present, 1=Present",,,,,,fhtone|BC-3 enrollment database FINAL,,,,,,,
fhtone,BC-3 mothers all visits database FINAL,keep,,Fetal Heart Tones,"0=Absent,
1=Present",,,,,,fhtone|BC-3 mothers all visits database FINAL,,,,,,,
fhyperten,BC-3 enrollment database FINAL,keep,,Hypertension,"0 = No,
1=Yes",,,,,,fhyperten|BC-3 enrollment database FINAL,,,,,,,
filterpap,BC-3 enrollment database FINAL,keep,,Filter paper,"0=Not collected,
1=Collected
",,,,,,filterpap|BC-3 enrollment database FINAL,,,,,,,
filterpap,BC-3 mothers all visits database FINAL,discard,,filter paper,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",,,,,DROP - Use expanded,filterpap|BC-3 mothers all visits database FINAL,,,,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,variable
filterpap,BC-3 mothers expanded database FINAL,keep,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,filterpap|BC-3 mothers expanded database FINAL,,,,,,,
finaledd,BC-3 enrollment database FINAL,discard,,Final EDD,date,,,,,DROP - Use individual,finaledd|BC-3 enrollment database FINAL,,Final expected date of delivery,what is the participant's final expected date of delivery,Observation,Pregnancy,,variable
finaledd,BC-3 mothers delivery database FINAL,discard,,Final EDD,date,,,,,DROP - Use individual,finaledd|BC-3 mothers delivery database FINAL,,Final expected date of delivery,what is the participant's final expected date of delivery,Observation,Pregnancy,,variable
finaledd,BC-3 mothers expanded database FINAL,discard,,Final EDD,Date,,,,,DROP - Use individual,finaledd|BC-3 mothers expanded database FINAL,,Final expected date of delivery,what is the participant's final expected date of delivery,Observation,Pregnancy,,variable
finaledd,Individual level database FINAL,keep,,Final EDD,date,,,,,,finaledd|Individual level database FINAL,,,,,,,
firstdoseSD,Individual level database FINAL,keep,,Gestational age when 1st dose of study drug given,"0=16 weeks,1=>20 weeks",,,,,,firstdoseSD|Individual level database FINAL,,,,,,,
fpcblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from Cord blood standard,"0=Not made, 1=Made
",,,,,,fpcblood|BC-3 mothers delivery database FINAL,,,,,,,
fpcmeta,BC-3 mothers delivery database FINAL,keep,,Filter paper from Cord blood for metabolic testing,"0=Not made, 1=Made
",,,,,,fpcmeta|BC-3 mothers delivery database FINAL,,,,,,,
fppblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from Placental blood,"0=Not made, 1=Made
",,,,,,fppblood|BC-3 mothers delivery database FINAL,,,,,,,
fpvblood,BC-3 mothers delivery database FINAL,keep,,Filter paper from venous blood,"0=Not made, 1=Made
",,,,,,fpvblood|BC-3 mothers delivery database FINAL,,,,,,,
fracture,BC-3 enrollment database FINAL,keep,,"Fracture of the pelvis, spine or femur","0 = No,
1=Yes",,,,,,fracture|BC-3 enrollment database FINAL,,,,,,,
fridge,BC3_Household_Survey_Data,SKIP,,refrigerator?,"1=Yes, 2=No, -9=Skipped",,,,,,fridge|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
fterm1,BC-3 enrollment database FINAL,keep,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,,fterm1|BC-3 enrollment database FINAL,,,,,,,
fterm2,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm2|BC-3 enrollment database FINAL,,,Was the 2nd delivery a full term or premature,,,,variable
fterm3,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm3|BC-3 enrollment database FINAL,,,Was the 3rd delivery a full term or premature,,,,variable
fterm4,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm4|BC-3 enrollment database FINAL,,,Was the 4th delivery a full term or premature,,,,variable
