variable,dataSet,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet.y,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir census and treatment data clinepi round 3 - updated::form.hhconsent,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050591,Household consented,3,Does the household agree to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Does the household agree to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050543,Hospitalized in the last 6 months,4,Was your child hospitalized in the last 6 months?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Was your child hospitalized in the last 6 months?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050544,Hospitalizations count,5,How many times was the child hospitalized?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,How many times was the child hospitalized?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhreasonrefused,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050549,Reason refused to participate,1,Why did the household refuse to participate?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Why did the household refuse to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhreasonrefusedother,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050605,Reason refused to participate specified,2,Please specify other reason,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other reason,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourcewhoother,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050501,Other person providing birth date information specified,3,Please specify other source for DOB,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other source for DOB,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.hhreasonrefused,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050549,Reason refused to participate,4,Why did the household refuse to participate?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Why did the household refuse to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.hhreasonrefusedother,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050605,Reason refused to participate specified,5,Please specify other reason,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other reason,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::dobsourcewhoother,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050501,Other person providing birth date information specified,6,Please specify other source for DOB,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other source for DOB,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhreasonrefused,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050549,Reason refused to participate,7,Why did the household refuse to participate?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Why did the household refuse to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhreasonrefusedother,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050605,Reason refused to participate specified,8,Please specify other reason,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other reason,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsourcewhoother,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050501,Other person providing birth date information specified,9,Please specify other source for DOB,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other source for DOB,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::round,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,1,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir census and treatment data clinepi round 2::round,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,2,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir census and treatment data clinepi round 3 - updated::round,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,3,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir population level data clinepi round 1 - updated::round,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,4,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir population level data clinepi round 1 - updated::polio_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050553,Polio vaccine dose count,1,Number of polio vaccines received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of polio vaccines received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dpt_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011234,"Diphtheria, pertussis, and tetanus (DPT) vaccine doses count",2,Number of DTP (DTCOQ) vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of DTP (DTCOQ) vaccinations received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::measles_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011306,Measles vaccine doses count,3,Number of measles vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of measles vaccinations received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::pneumo_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011394,Pneumococcal conjugate vaccine (PCV) doses count,4,Number of PCV (pneumo) vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of PCV (pneumo) vaccinations received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::rota_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011427,Rotavirus vaccine doses count,5,Number of rotavirus vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of rotavirus vaccinations received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::bcg,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0036100,Bacille Calmette-Guerin (BCG) vaccine,6,If a BCG vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,If a BCG vaccination was received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hepb_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011257,Hepatitis B vaccine doses count,7,Number of hepatitis B vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,Number of hepatitis B vaccinations received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::yellow,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050567,Yellow fever vaccine,8,If a yellow fever vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,If a yellow fever vaccination was received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::tetanos,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050565,Tetanus vaccine,9,If a tetanos vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,If a tetanos vaccination was received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::imovax,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050555,IMOVAX vaccine,10,If an imovax vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,If an imovax vaccination was received,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::vitamina,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050552,Vitamin A dose in last 6 months,11,"Within the last 6 months, has the participant received a Vitamin A dose",Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,"Within the last 6 months, has the participant received a Vitamin A dose",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::other_vaccinenum,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050554,Other unrecorded vaccines count,12,How many other vaccines were administered that have not been recorded?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,How many other vaccines were administered that have not been recorded?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hohsex,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0044152,Household head's sex,1,Household Head - Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Household Head - Sex,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hohage,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050568,Household head's age,2,Age of head of household in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Age of head of household in years,,variable,yes,,,avenir_rct,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
avenir census and treatment data clinepi round 2::form.hohsex,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0044152,Household head's sex,3,Household Head - Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Household Head - Sex,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.hohage,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050568,Household head's age,4,Age of head of household in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Age of head of household in years,,variable,yes,,,avenir_rct,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hohsex,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0044152,Household head's sex,5,Household Head - Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Household Head - Sex,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hohage,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050568,Household head's age,6,Age of head of household in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Age of head of household in years,,variable,yes,,,avenir_rct,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
avenir census and treatment data clinepi round 2::vital_status_child,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050606,Vital status,1,What is the vital status of this child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,What is the vital status of this child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::vital_status_child,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050606,Vital status,2,What is the vital status of this child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,What is the vital status of this child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::participant_type,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0053227,Participant type,3,Wheter the household has the child,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Wheter the household has the child,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::participant_type,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0053227,Participant type,4,Wheter the household has the child,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Wheter the household has the child,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::participant_type,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0053227,Participant type,5,Wheter the household has the child,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Wheter the household has the child,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::participant_type,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0053227,Participant type,6,Wheter the household has the child,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Wheter the household has the child,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::rdtresult,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",1,Results of the RDT sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Results of the RDT sample,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnordt,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050608,Other reason not abel to collect RDT,1,What other reason were you not able to collect the RDT?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the RDT?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnonpzymo,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050572,Reason not able to collect Zymo NP swab,2,What other reason were you not able to collect the Zymo NP swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the Zymo NP swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnorectal,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050574,Reason not able to collect rectal swab,3,What other reason were you not able to collect the rectal swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the rectal swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnodbs,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050609,Other reason not abel to collect fitler paper,4,What other reason were you not able to collect the filter paper?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the filter paper?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnonpstgg,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050573,Reason not able to collect NP STGG swab,5,What other reason were you not able to collect the NP STGG swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the NP STGG swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.noofchildren,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,1,How many children of age 1-59 months live in the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many children of age 1-59 months live in the household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhnumber,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,2,How many people live in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many people live in this household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::num_child,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,3,How many children of age 1-59 months live in the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many children of age 1-59 months live in the household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.hhnumber,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,4,How many people live in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many people live in this household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::num_child,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,5,How many children of age 1-59 months live in the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many children of age 1-59 months live in the household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhnumber,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,6,How many people live in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many people live in this household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::diarrhea,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,1,Has the child had diarrhea in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child had diarrhea in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::fever,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,2,Has the child been ill with a fever at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child been ill with a fever at any time in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::malaria,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050585,Malaria,3,Were you told by a healthcare provider that the child had malaria?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Were you told by a healthcare provider that the child had malaria?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::cough,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,4,Has the child had an illness with a cough at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child had an illness with a cough at any time in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::breathing_problem,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/HP_0002793,Breathing issues,5,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::runny_nose,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/HP_0031417,Runny nose,6,Was the fast or difficult breathing due to a problem in the chest or to a blocked or runny nose?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Was the fast or difficult breathing due to a problem in the chest or to a blocked or runny nose?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.doseheight,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049241,Volume of dose prepared,1,Enter here the dose you prepared (ml),Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Enter here the dose you prepared (ml),,variable,yes,,,avenir_rct,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.dose_ml,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,2,Treatment dosage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment dosage,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.isadministered,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049243,Study treatment administered,3,Has the treatment been administered?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the treatment been administered?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.doseheight,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0049241,Volume of dose prepared,4,Enter here the dose you prepared (ml),Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Enter here the dose you prepared (ml),,variable,yes,,,avenir_rct,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,
avenir census and treatment data clinepi round 2::form.dose_ml,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,5,Treatment dosage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment dosage,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.isadministered,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0049243,Study treatment administered,6,Has the treatment been administered?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the treatment been administered?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.doseheight,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0049241,Volume of dose prepared,7,Enter here the dose you prepared (ml),Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Enter here the dose you prepared (ml),,variable,yes,,,avenir_rct,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.dose_ml,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,8,Treatment dosage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment dosage,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.isadministered,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0049243,Study treatment administered,9,Has the treatment been administered?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the treatment been administered?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotics,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050578,Antibiotics received in the past 2 weeks,10,"In the past 2 weeks, did your child received any antibiotics?",Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,"In the past 2 weeks, did your child received any antibiotics?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_source,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050579,Antibiotic obtained,11,Where was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Where was the antibiotic obtained?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_source_other,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050580,Antibiotic source specified,12,Where else was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Where else was the antibiotic obtained?,,variable,,,,avenir_rct,,,,,,,,,,
