variable,IRI,label,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir population level data clinepi round 1 - updated::polio_num,http://purl.obolibrary.org/obo/EUPATH_0050553,Polio vaccine dose count,1,avenir population level data clinepi round 1,Number of polio vaccines received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dpt_num,http://purl.obolibrary.org/obo/EUPATH_0011234,"Diphtheria, pertussis, and tetanus (DPT) vaccine doses count",2,avenir population level data clinepi round 1,Number of DTP (DTCOQ) vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::measles_num,http://purl.obolibrary.org/obo/EUPATH_0011306,Measles vaccine doses count,3,avenir population level data clinepi round 1,Number of measles vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::pneumo_num,http://purl.obolibrary.org/obo/EUPATH_0011394,Pneumococcal conjugate vaccine (PCV) doses count,4,avenir population level data clinepi round 1,Number of PCV (pneumo) vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::rota_num,http://purl.obolibrary.org/obo/EUPATH_0011427,Rotavirus vaccine doses count,5,avenir population level data clinepi round 1,Number of rotavirus vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::bcg,http://purl.obolibrary.org/obo/EUPATH_0036100,Bacille Calmette-Guerin (BCG) vaccine,6,avenir population level data clinepi round 1,If a BCG vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hepb_num,http://purl.obolibrary.org/obo/EUPATH_0011257,Hepatitis B vaccine doses count,7,avenir population level data clinepi round 1,Number of hepatitis B vaccinations received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::yellow,http://purl.obolibrary.org/obo/EUPATH_0050567,Yellow fever vaccine,8,avenir population level data clinepi round 1,If a yellow fever vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::tetanos,http://purl.obolibrary.org/obo/EUPATH_0050565,Tetanus vaccine,9,avenir population level data clinepi round 1,If a tetanos vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::imovax,http://purl.obolibrary.org/obo/EUPATH_0050555,IMOVAX vaccine,10,avenir population level data clinepi round 1,If an imovax vaccination was received,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::vitamina,http://purl.obolibrary.org/obo/EUPATH_0050552,Vitamin A dose in last 6 months,11,avenir population level data clinepi round 1,"Within the last 6 months, has the participant received a Vitamin A dose",Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::other_vaccinenum,http://purl.obolibrary.org/obo/EUPATH_0050554,Other unrecorded vaccines count,12,avenir population level data clinepi round 1,How many other vaccines were administered that have not been recorded?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,How many other vaccines were administered that have not been recorded?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hohsex,http://purl.obolibrary.org/obo/EUPATH_0044152,Household heads sex,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Household Head - Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Household Head - Sex,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hohage,http://purl.obolibrary.org/obo/EUPATH_0050568,Household heads age,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Age of head of household in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Age of head of household in years,,variable,yes,,,avenir_rct,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hohsex,http://purl.obolibrary.org/obo/EUPATH_0044152,Household heads sex,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Household Head - Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Household Head - Sex,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hohage,http://purl.obolibrary.org/obo/EUPATH_0050568,Household heads age,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Age of head of household in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Age of head of household in years,,variable,yes,,,avenir_rct,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
avenir census and treatment data clinepi round 3 - updated::vital_status_child,http://purl.obolibrary.org/obo/EUPATH_0050606,Vital status,2,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,What is the vital status of this child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,What is the vital status of this child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::rdtresult,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",1,avenir population level data clinepi round 1,Results of the RDT sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Results of the RDT sample,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnordt,http://purl.obolibrary.org/obo/EUPATH_0050608,Other reason not abel to collect RDT,4,avenir population level data clinepi round 1,What other reason were you not able to collect the RDT?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the RDT?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnonpzymo,http://purl.obolibrary.org/obo/EUPATH_0050572,Reason not able to collect Zymo NP swab,2,avenir population level data clinepi round 1,What other reason were you not able to collect the Zymo NP swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the Zymo NP swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnorectal,http://purl.obolibrary.org/obo/EUPATH_0050574,Reason not able to collect rectal swab,3,avenir population level data clinepi round 1,What other reason were you not able to collect the rectal swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the rectal swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnodbs,http://purl.obolibrary.org/obo/EUPATH_0050609,Other reason not abel to collect fitler paper,5,avenir population level data clinepi round 1,What other reason were you not able to collect the filter paper?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the filter paper?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::reasonnonpstgg,http://purl.obolibrary.org/obo/EUPATH_0050573,Reason not able to collect NP STGG swab,1,avenir population level data clinepi round 1,What other reason were you not able to collect the NP STGG swab?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,What other reason were you not able to collect the NP STGG swab?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.noofchildren,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,How many children of age 1-59 months live in the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many children of age 1-59 months live in the household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhnumber,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,How many people live in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many people live in this household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::num_child,http://purl.obolibrary.org/obo/EUPATH_0010232,Persons <5 years in household count,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,How many children of age 1-59 months live in the household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many children of age 1-59 months live in the household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhnumber,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,How many people live in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,How many people live in this household?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::diarrhea,http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,3,avenir population level data clinepi round 1,Has the child had diarrhea in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child had diarrhea in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::fever,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,4,avenir population level data clinepi round 1,Has the child been ill with a fever at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child been ill with a fever at any time in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::malaria,http://purl.obolibrary.org/obo/EUPATH_0050585,Malaria,5,avenir population level data clinepi round 1,Were you told by a healthcare provider that the child had malaria?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Were you told by a healthcare provider that the child had malaria?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::cough,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,2,avenir population level data clinepi round 1,Has the child had an illness with a cough at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Has the child had an illness with a cough at any time in the last 2 weeks?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::breathing_problem,http://purl.obolibrary.org/obo/HP_0002793,Breathing issues,1,avenir population level data clinepi round 1,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::runny_nose,http://purl.obolibrary.org/obo/HP_0031417,Runny nose,6,avenir population level data clinepi round 1,Was the fast or difficult breathing due to a problem in the chest or to a blocked or runny nose?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Was the fast or difficult breathing due to a problem in the chest or to a blocked or runny nose?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.doseheight,http://purl.obolibrary.org/obo/EUPATH_0049241,Volume of dose prepared,7,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Enter here the dose you prepared (ml),Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Enter here the dose you prepared (ml),,variable,yes,,,avenir_rct,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.dose_ml,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,5,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Treatment dosage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment dosage,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.isadministered,http://purl.obolibrary.org/obo/EUPATH_0049243,Study treatment administered,6,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Has the treatment been administered?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the treatment been administered?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.doseheight,http://purl.obolibrary.org/obo/EUPATH_0049241,Volume of dose prepared,7,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Enter here the dose you prepared (ml),Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Enter here the dose you prepared (ml),,variable,yes,,,avenir_rct,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.dose_ml,http://purl.obolibrary.org/obo/EUPATH_0049242,Dose volume,5,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Treatment dosage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment dosage,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.isadministered,http://purl.obolibrary.org/obo/EUPATH_0049243,Study treatment administered,6,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Has the treatment been administered?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the treatment been administered?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotics,http://purl.obolibrary.org/obo/EUPATH_0050578,Antibiotics received in the past 2 weeks,4,avenir population level data clinepi round 1,"In the past 2 weeks, did your child received any antibiotics?",Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,"In the past 2 weeks, did your child received any antibiotics?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_source,http://purl.obolibrary.org/obo/EUPATH_0050579,Antibiotic obtained,2,avenir population level data clinepi round 1,Where was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Where was the antibiotic obtained?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_source_other,http://purl.obolibrary.org/obo/EUPATH_0050580,Antibiotic source specified,3,avenir population level data clinepi round 1,Where else was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Where else was the antibiotic obtained?,,variable,,,,avenir_rct,,,,,,,,,,
