IRI,label,definition,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/EUPATH_0048005,Mud,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Clay/mud | Mud,,value,Jilinde_awareness_survey | Jilinde_healthcareprovider_cohort | SHINE
http://purl.obolibrary.org/obo/EUPATH_0055153,Other,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Other,,value,Jilinde_awareness_survey
http://purl.obolibrary.org/obo/EUPATH_0056603,Plastered mud,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Plastered Mud,,value,Jilinde_healthcareprovider_cohort
http://purl.obolibrary.org/obo/EUPATH_0055154,Rough Cast,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Rough Cast,,variable,Jilinde_awareness_survey
http://purl.obolibrary.org/obo/EUPATH_0048006,Stick or wood,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Wood | Timber,,value,Jilinde_awareness_survey | Jilinde_healthcareprovider_cohort | SHINE
http://purl.obolibrary.org/obo/EUPATH_0048007,Tile,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048008,Tin,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0031041,Carpet,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031042,Cement,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031043,Ceramic tile,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031045,Other,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031048,Parquet or polished wood,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031055,Vinyl or asphalt strips,,http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,WASH Benefits Kenya Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Meghalaya Cohort | VIDA HUCS Kenya | ELICIT | PRISM2 ICEMR Border Cohort | Jilinde_healthcareprovider_cohort | WASHb BNG Cluster Randomized Trial | MAL-ED 0-60m Cohort | GEMS1 HUAS/HUAS Lite Survey | SW PACIFIC | India ICEMR Cohort | India ICEMR Cross-Sectional | VIDA Case Control | Demand_creation_evaluation_questionnaire | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | India ICEMR Severe P.vivax and falciparum Cohort | India ICEMR Behavior Cross-sectional | VIDA HUCS Gambia Mali | PRISM2 ICEMR Cohort | GANC | Amazonia ICEMR Brazil Cohort | GEMS1A Case Control | SHINE | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control | Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0021010,Asbestos,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021011,Cement,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021008,Thatched,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021012,Tile,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021009,Tin,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0025057,Curtain or shutters,,http://purl.obolibrary.org/obo/EUPATH_0025049,Window material,Windows with curtains or shutters,,value,Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025070,Glass,,http://purl.obolibrary.org/obo/EUPATH_0025049,Window material,What are the windows of the building made? Windows with glass,,value,Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025140,Screen,,http://purl.obolibrary.org/obo/EUPATH_0025049,Window material,Windows with screens,,value,Malawi ICEMR Case-Control
