label,sid_count,SIDs,termTypes,Parent_labels,Comment
ABO blood group,2,EUPATH_0012223|EUPATH_0036226,variable,Participant genotype,These are the same. There should only be one IRI
C-reactive protein (mg/L),2,EUPATH_0036260|EUPATH_0033154,variable,Blood test,These are the same. There should only be one IRI
Rh blood group,2,EUPATH_0012224|EUPATH_0036227,variable,Participant genotype,These are the same. There should only be one IRI
"Rotavirus IgA titer (U/mL), by ELISA result",2,EUPATH_0011516|EUPATH_0036338,variable,Raw antibody titer test result,These are the same. There should only be one IRI
Height (cm),2,EUPATH_0000175|EUPATH_0010075,variable,Anthropometry,UMSP should have the same IRI as the others
Amount earnings lost due to care,2,EUPATH_0015600|EUPATH_0010274,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015600 to 'Total earnings loss, prior care'"
Amount other lost earnings,2,EUPATH_0015602|EUPATH_0010276,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015602 to 'Total other caregivers earnings loss, prior care'"
Income days lost while seeking care,2,EUPATH_0015603|EUPATH_0010277,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015603 to 'Income days lost, prior care'"
Lost earnings due to care,2,EUPATH_0015599|EUPATH_0010273,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015599 to 'Earnings loss, prior care'"
Other caregivers income days lost while seeking care,2,EUPATH_0015604|EUPATH_0010278,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015603 to 'Other caregivers income days lost, prior care'"
Other lost earnings,2,EUPATH_0015601|EUPATH_0010275,variable,"Caretaker income lost  for previously sought care|Caretaker income lost, enrollment","Change EUPATH_0015601 to 'Other caregivers earnings loss, prior care'"
Malaria diagnosis,2,EUPATH_0040019|EUPATH_0000090,"variable|category, variable",Diagnosis,Sheena? I think these are the same and could be one IRI because EUPATH_0000090 is both a variable and a category
Died,2,EUPATH_0023057|EUPATH_0031197,variable,Hospitalization|Death information,Change Death information>Died to 'Deceased' EUPATH_0000667
Bednet count,2,EUPATH_0024124|EUPATH_0020225,variable,Personal vector intervention|Household vector intervention,Sheena?
Last fumigation date,2,EUPATH_0024172|EUPATH_0000390,variable,Personal vector intervention|Household vector intervention,Sheena?
Other vector interventions,2,EUPATH_0022169|EUPATH_0041017,variable,Personal vector intervention|Household vector intervention,Sheena?
Use other vector interventions,2,EUPATH_0022167|EUPATH_0041018,variable,Personal vector intervention|Household vector intervention,Sheena?
Mucus in stool,2,EUPATH_0000711|EUPATH_0036492,variable,Stool characteristics|Signs and symptoms,"Should be two separate IRIs, stool characteristics is from sample and Signs and Symptoms is reported by participant. Suggest changing label in stool characteristics to just 'Stool mucus present'"
Blood in stool,4,EUPATH_0024212|EUPATH_0015217|EUPATH_0015606|EUPATH_0015484,variable|value,Signs and symptoms|Stool characteristics|Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness|Parent perception diarrhea types resulting in serious harm or death,EUPATH_0015217 (under Stool characteristics) and EUPATH_0024212 (under Signs and symptoms) should be 2 separate IRIs. stool characteristics is from sample and Signs and Symptoms is reported by participant. Suggest changing label in stool characteristics to just 'Stool blood present'. EUPATH_0015606 and EUPATH_0015484 are multifilter values. 
Pus in stool,1,EUPATH_0015218,variable,Stool characteristics,"update label to ""Stool pus present"". NOTE: there is no issue of multiple terms having the same label, but this label change has been suggested so that this label matches with the new suggested labels ""stool blood present"" and ""stool mucus present"" (which have the same parent)"
Pathogen count,2,EUPATH_0032983|EUPATH_0015468,variable,Test result summary for nasopharyngeal/oropharyngeal swabs|Test result summary for stool|Test result summary,"Do nothing, parent indicates sample type"
