Qualifier	Qualifier ID	Values	Mapped Terms	Ordinal Value
pastyear_treatdrugs_chk___5	CHEBI_63609	0	No	
pastyear_treatdrugs_chk___6	CHEBI_8405	1	Yes	
pastyear_treatdrugs_chk___6	CHEBI_8405	0	No	
pastyear_treatdrugs_chk___7	EUPATH_0021041	1	Yes	
pastyear_treatdrugs_chk___7	EUPATH_0021041	0	No	
pastyear_treatdrugs_chk___8	EUPATH_0021042	1	Yes	
pastyear_treatdrugs_chk___8	EUPATH_0021042	0	No	
pastyear_treatdrugs_chk___9	EUPATH_0021043	1	Yes	
pastyear_treatdrugs_chk___9	EUPATH_0021043	0	No	
pastyear_treatwhere_chk___1	EUPATH_0021044	1	Yes	
pastyear_treatwhere_chk___1	EUPATH_0021044	0	No	
pastyear_treatwhere_chk___2	EUPATH_0021045	1	Yes	
pastyear_treatwhere_chk___2	EUPATH_0021045	0	No	
pastyear_treatwhere_chk___3	EUPATH_0021046	1	Yes	
pastyear_treatwhere_chk___3	EUPATH_0021046	0	No	
pastyear_treatwhere_chk___4	EUPATH_0021047	1	Yes	
pastyear_treatwhere_chk___4	EUPATH_0021047	0	No	
pcr_dna_source_rad	EUPATH_0000432	1	Blood spot	
pcr_dna_source_rad	EUPATH_0000432	2	Small volume	
pcr_dna_source_rad	EUPATH_0000432	3	Vacutainer	
pcr_species_chk___1	EUPATH_0021048	1	Yes	
pcr_species_chk___1	EUPATH_0021048	0	No	
pcr_species_chk___2	EUPATH_0021049	1	Yes	
pcr_species_chk___2	EUPATH_0021049	0	No	
pcr_species_chk___3	EUPATH_0021050	1	Yes	
pcr_species_chk___3	EUPATH_0021050	0	No	
pcr_species_chk___4	EUPATH_0021051	1	Yes	
pcr_species_chk___4	EUPATH_0021051	0	No	
pcr_species_chk___5	EUPATH_0021052	1	Yes	
pcr_species_chk___5	EUPATH_0021052	0	No	
prelim_dx_rad	EUPATH_0000036	1	No illness	1
prelim_dx_rad	EUPATH_0000036	2	Asymptomatic parasitemia	2
prelim_dx_rad	EUPATH_0000036	3	Uncomplicated malaria	3
prelim_dx_rad	EUPATH_0000036	4	Severe malaria	4
prelim_dx_rad	EUPATH_0000036	5	Illness other than malaria	5
rdt_fv_chk___1	EUPATH_0021053	1	Yes	
rdt_fv_chk___1	EUPATH_0021053	0	No	
rdt_fv_chk___2	EUPATH_0021054	1	Yes	
rdt_fv_chk___2	EUPATH_0021054	0	No	
rdt_fv_chk___3	EUPATH_0021055	1	Yes	
rdt_fv_chk___3	EUPATH_0021055	0	No	
rdt_fv_chk___4	EUPATH_0021056	1	No	
rdt_fv_chk___4	EUPATH_0021056	0	Yes	
rdt_op_chk___1	EUPATH_0021057	1	Yes	
rdt_op_chk___1	EUPATH_0021057	0	No	
rdt_op_chk___2	EUPATH_0021058	1	Yes	
rdt_op_chk___2	EUPATH_0021058	0	No	
rdt_op_chk___3	EUPATH_0021059	1	Yes	
rdt_op_chk___3	EUPATH_0021059	0	No	
rdt_op_chk___4	EUPATH_0021060	1	No	
rdt_op_chk___4	EUPATH_0021060	0	Yes	
redcap_event_name	BFO_0000015	visit_1_enrollment_arm_1	Visit 1	1
redcap_event_name	BFO_0000015	visit_2_arm_1	Visit 2	2
redcap_event_name	BFO_0000015	visit_3_arm_1	Visit 3	3
redcap_event_name	BFO_0000015	visit_4_arm_1	Visit 4	4
redcap_event_name	BFO_0000015	visit_5_arm_1	Visit 5	5
redcap_event_name	BFO_0000015	visit_6_arm_1	Visit 6	6
repellent_chk___1	EUPATH_0021061	1	Yes	
repellent_chk___1	EUPATH_0021061	0	No	
repellent_chk___2	EUPATH_0021062	1	Yes	
repellent_chk___2	EUPATH_0021062	0	No	
repellent_chk___3	EUPATH_0021063	1	Yes	
repellent_chk___3	EUPATH_0021063	0	No	
repellent_chk___4	EUPATH_0021064	1	Yes	
repellent_chk___4	EUPATH_0021064	0	No	
repellent_chk___5	EUPATH_0021065	1	Yes	
repellent_chk___5	EUPATH_0021065	0	No	
repellent_chk___6	EUPATH_0021066	1	Yes	
repellent_chk___6	EUPATH_0021066	0	No	
repellent_chk___7	EUPATH_0021067	1	Yes	
repellent_chk___7	EUPATH_0021067	0	No	
samples_chk___1	EUPATH_0021081	1	Yes	
samples_chk___1	EUPATH_0021081	0	No	
samples_chk___3	EUPATH_0000127	1	Yes	
samples_chk___3	EUPATH_0000127	0	No	
samples_chk___4	EUPATH_0021082	1	Yes	
samples_chk___4	EUPATH_0021082	0	No	
samples_chk___5	EUPATH_0021083	1	Yes	
samples_chk___5	EUPATH_0021083	0	No	
sex_rad	PATO_0000047	1	Female	
sex_rad	PATO_0000047	2	Male	
sprayed_chk___1	sprayed_chk___1	1	Yes	
sprayed_chk___1	sprayed_chk___1	0	No	
sprayed_chk___2	sprayed_chk___2	1	Yes	
sprayed_chk___2	sprayed_chk___2	0	No	
sprayed_chk___3	sprayed_chk___3	1	Yes	
sprayed_chk___3	sprayed_chk___3	0	No	
sprayed_chk___4	sprayed_chk___4	1	Yes	
sprayed_chk___4	sprayed_chk___4	0	No	
state_birth	EUPATH_0000442	TAMIL NADU	Tamil Nadu	
state_birth	EUPATH_0000442	Tamil Nadu	Tamil Nadu	
state_birth	EUPATH_0000442	-	Not applicable	
state_birth	EUPATH_0000442	ANDHRA PRADESH	Andhra Pradesh	
state_birth	EUPATH_0000442	ANDHRA	Andhra Pradesh	
state_birth	EUPATH_0000442	DARJEELING	West Bengal	
state_birth	EUPATH_0000442	KARNATAKA	Karnataka	
state_birth	EUPATH_0000442	RAJASTHAN	Rajasthan	
state_birth	EUPATH_0000442	Gujarat	Gujarat	
state_birth	EUPATH_0000442	Maharastra	Maharashtra	
state_birth	EUPATH_0000442	Rajasthan	Rajasthan	
state_birth	EUPATH_0000442	Lahore	Not applicable	
state_birth	EUPATH_0000442	BIHAR	Bihar	
state_birth	EUPATH_0000442	Jharkhand	Jharkhand	
state_birth	EUPATH_0000442	JHARKHAND	Jharkhand	
state_birth	EUPATH_0000442	ODISHA	Odisha	
suppressant_now_yn	EUPATH_0000443	1	Yes	
suppressant_now_yn	EUPATH_0000443	0	No	
symptoms_chk___1	HP_0002315	1	Yes	
symptoms_chk___1	HP_0002315	0	No	
symptoms_chk___10	HP_0002027	1	Yes	
symptoms_chk___10	HP_0002027	0	No	
symptoms_chk___11	DOID_13250	1	Yes	
symptoms_chk___11	DOID_13250	0	No	
symptoms_chk___12	HP_0003419	1	Yes	
symptoms_chk___12	HP_0003419	0	No	
symptoms_chk___13	MEDDRA_10015958	1	Yes	
symptoms_chk___13	MEDDRA_10015958	0	No	
symptoms_chk___14	HP_0000980	1	Yes	
symptoms_chk___14	HP_0000980	0	No	
symptoms_chk___15	HP_0100749	1	Yes	
symptoms_chk___15	HP_0100749	0	No	
symptoms_chk___16	DOID_0050486	1	Yes	
symptoms_chk___16	DOID_0050486	0	No	
symptoms_chk___17	HP_0030766	1	Yes	
symptoms_chk___17	HP_0030766	0	No	
symptoms_chk___18	HP_0001744	1	Yes	
symptoms_chk___18	HP_0001744	0	No	
symptoms_chk___2	SYMP_0019174	1	Yes	
symptoms_chk___2	SYMP_0019174	0	No	
symptoms_chk___3	SYMP_0000099	1	Yes	
symptoms_chk___3	SYMP_0000099	0	No	
symptoms_chk___4	SYMP_0019177	1	Yes	
symptoms_chk___4	SYMP_0019177	0	No	
symptoms_chk___5	HP_0002013	1	Yes	
symptoms_chk___5	HP_0002013	0	No	
symptoms_chk___6	SYMP_0000523	1	Yes	
symptoms_chk___6	SYMP_0000523	0	No	
symptoms_chk___7	SYMP_0000614	1	Yes	
symptoms_chk___7	SYMP_0000614	0	No	
symptoms_chk___8	SYMP_0000610	1	Yes	
symptoms_chk___8	SYMP_0000610	0	No	
symptoms_chk___9	HP_0000975	1	Yes	
symptoms_chk___9	HP_0000975	0	No	
symptoms_yn	EUPATH_0021089	1	Yes	
symptoms_yn	EUPATH_0021089	0	No	
travel_2wk_district	EUPATH_0000446	THIRUVANNAMALAI	Tiruvannamalai	
travel_2wk_district	EUPATH_0000446	KANCHIPURAM	Kanchipuram	
travel_2wk_district	EUPATH_0000446	CHENNAI	Chennai	
travel_2wk_district	EUPATH_0000446	KANNIYAKUMARI	Kanyakumari	
travel_2wk_district	EUPATH_0000446	PUDUKOTTAI	Pudukkottai	
travel_2wk_district	EUPATH_0000446	VELLORE	Vellore	
travel_2wk_district	EUPATH_0000446	DHARMAPURI	Dharmapuri	
travel_2wk_district	EUPATH_0000446	MADHURAI	Madurai	
travel_2wk_district	EUPATH_0000446	TRICHY	Tiruchirappalli	
travel_2wk_district	EUPATH_0000446	DINDUKKAL	Dindigul	
travel_2wk_district	EUPATH_0000446	VILLUPURAM	Viluppuram	
travel_2wk_district	EUPATH_0000446	KANCHEEPURAM	Kanchipuram	
travel_2wk_district	EUPATH_0000446	BANGALORE	Bangalore	
travel_2wk_district	EUPATH_0000446	"SALEM, COIMBATORE"	"Salem, Coimbatore"	
travel_2wk_district	EUPATH_0000446	NELLORE	Nellore	
travel_2wk_district	EUPATH_0000446	ERODE	Erode	
travel_2wk_district	EUPATH_0000446	TIRUNELVELI	Tirunelveli	
travel_2wk_district	EUPATH_0000446	VELANKANNI	Nagapattinam	
travel_2wk_district	EUPATH_0000446	CHENGALPATTU	Chengalpattu	
travel_2wk_district	EUPATH_0000446	MADURAI	Madurai	
travel_2wk_district	EUPATH_0000446	PONDICHERRY	Puducherry	
travel_2wk_district	EUPATH_0000446	TUTICORIN	Thoothukudi 	
travel_2wk_district	EUPATH_0000446	THIRUVALLUVAR	Tiruvallur	
travel_2wk_district	EUPATH_0000446	CUDDALORE	Cuddalore	
travel_2wk_district	EUPATH_0000446	SIVAGANGAI	Sivaganga	
travel_2wk_district	EUPATH_0000446	CHITOOR	Chittoor	
travel_2wk_district	EUPATH_0000446	TIRUVANNAMALAI	Tiruvannamalai	
travel_2wk_district	EUPATH_0000446	CHENGALPET	Chengalpattu	
travel_2wk_district	EUPATH_0000446	SEALEM	Salem	
travel_2wk_district	EUPATH_0000446	NAGAPATTINAM	Nagapattinam	
travel_2wk_district	EUPATH_0000446	THIRUPATHI	Chittoor	
travel_2wk_district	EUPATH_0000446	THIRUVANAMALAI	Tiruvannamalai	
travel_2wk_district	EUPATH_0000446	NAMAKKAL	Namakkal	
travel_2wk_district	EUPATH_0000446	SALEM	Salem	
travel_2wk_district	EUPATH_0000446	THIRUKOVILUR	Vilappuram	
travel_2wk_district	EUPATH_0000446	VIRUDUNAGAR	Virudhunagar	
travel_2wk_district	EUPATH_0000446	DINDUGAL	Dindigul	
travel_2wk_district	EUPATH_0000446	TANJAORE	Tanjore	
travel_2wk_district	EUPATH_0000446	THIRUVARUR	Thiruvarur	
travel_2wk_district	EUPATH_0000446	SINGHBHUM	Singhbhum	
travel_2wk_district	EUPATH_0000446	SUNDERGARH	Sundergarh	
travel_2wk_district	EUPATH_0000446	SIMDEGA	Simdega	
travel_2wk_district	EUPATH_0000446	JHARSUGUDA	Jharsuguda	
travel_2wk_district	EUPATH_0000446	RANCHI	Ranchi	
travel_2wk_district	EUPATH_0000446	KEONJHAR	Kendujhar	
travel_2wk_district	EUPATH_0000446	ANDUL	Howrah	
travel_2wk_district	EUPATH_0000446	Sundergarh	Sundergarh	
travel_2wk_district	EUPATH_0000446	Sundargarh	Sundergarh	
travel_2wk_district	EUPATH_0000446	COIMBATORE	Coimbatore	
travel_2wk_district	EUPATH_0000446	THIRUVALLUR	Tiruvallur	
travel_2wk_district	EUPATH_0000446	THENI	Theni	
travel_2wk_district	EUPATH_0000446	KANYAKUMARI	Kanyakumari	
travel_2wk_district	EUPATH_0000446	COORG	Kodagu	
travel_2wk_state	EUPATH_0000447	TAMIL NADU	Tamil Nadu	
travel_2wk_state	EUPATH_0000447	PONDICHERRY	Pondicherry	
travel_2wk_state	EUPATH_0000447	KERALA	Kerala	
travel_2wk_state	EUPATH_0000447	KARNATAKA	Karnataka	
travel_2wk_state	EUPATH_0000447	ANDHRA PRADESH	Andhra Pradesh	
travel_2wk_state	EUPATH_0000447	Tamil Nadu	Tamil Nadu	
travel_2wk_state	EUPATH_0000447	Andhra Pradesh	Andhra Pradesh	
travel_2wk_state	EUPATH_0000447	JHARKHAND	Jharkhand	
travel_2wk_state	EUPATH_0000447	ODISHA	Odisha	
travel_2wk_state	EUPATH_0000447	WEST BENGAL	West Bengal	
travel_2wk_state	EUPATH_0000447	Gujarat	Gujarat	
travel_2wk_state	EUPATH_0000447	Rajasthan	Rajasthan	
travel_2wk_state	EUPATH_0000447	Madhya Pradesh	Madhya Pradesh	
travel_2wk_state	EUPATH_0000447	Maharastra	Maharashtra	
travel_2wk_state	EUPATH_0000447	Uttar Pradesh	Uttar Pradesh	
travel_2wk_state	EUPATH_0000447	MAHARASHTRA	Maharashtra	
travel_2wk_state	EUPATH_0000447	Pondicherry	Pondicherry	
travel_2wk_taluk	EUPATH_0000448	Ambajee	Ambaji	
travel_2wk_taluk	EUPATH_0000448	Kathlal	Kathalal	
travel_2wk_village	EUPATH_0000449	Ahemdabad	Ahmedabad	
travel_2wk_village	EUPATH_0000449	Ambajee	Ambaji	
travel_2wk_village	EUPATH_0000449	Kathlal	Kathalal	
travel_2wk_yn	EUPATH_0000450	1	Yes	
travel_2wk_yn	EUPATH_0000450	0	No	
