variable	variable2	values	mappedTerm	X
227plate007::lbperf2	227plate007::lbperf2	0	No	
227plate007::lbperf2	227plate007::lbperf2	1	Yes	
227plate007::lbperf3	227plate007::lbperf3	0	No	
227plate007::lbperf3	227plate007::lbperf3	1	Yes	
227plate007::lbperf4	227plate007::lbperf4	0	No	
227plate007::lbperf4	227plate007::lbperf4	1	Yes	
227plate007::lbperf5	227plate007::lbperf5	*	:::UNDEF:::	
227plate007::lbperf5	227plate007::lbperf5	.ND	:::UNDEF:::	
227plate007::lbperf5	227plate007::lbperf5	0	No	
227plate007::lbperf5	227plate007::lbperf5	1	Yes	
227plate007::lbperf6	227plate007::lbperf6	.F	:::UNDEF:::	
227plate007::lbperf6	227plate007::lbperf6	0	No	
227plate007::lbperf6	227plate007::lbperf6	1	Yes	
227plate007::lbperf_isolation	227plate007::lbperf_isolation	.NA	:::UNDEF:::	
227plate007::lbperf_isolation	227plate007::lbperf_isolation	.ND	:::UNDEF:::	
227plate007::lbperf_isolation	227plate007::lbperf_isolation	0	No	
227plate007::lbperf_isolation	227plate007::lbperf_isolation	1	Yes	
227plate007::lbperf_pfpcr	227plate007::lbperf_pfpcr	0	No	
227plate007::lbperf_pfpcr	227plate007::lbperf_pfpcr	1	Yes	
227plate007::lbperf_smear	227plate007::lbperf_smear	0	No	
227plate007::lbperf_smear	227plate007::lbperf_smear	1	Yes	
227plate007::lbperf_cpt	227plate007::lbperf_cpt	0	No	
227plate007::lbperf_cpt	227plate007::lbperf_cpt	1	Yes	
227plate007::lbperf_hgb	227plate007::lbperf_hgb	0	No	
227plate007::lbperf_hgb	227plate007::lbperf_hgb	1	Yes	
227plate007::lbperf_future	227plate007::lbperf_future	*	:::UNDEF:::	
227plate007::lbperf_future	227plate007::lbperf_future	.ND	:::UNDEF:::	
227plate007::lbperf_future	227plate007::lbperf_future	0	No	
227plate007::lbperf_future	227plate007::lbperf_future	1	Yes	
227plate007::lbperf_edta	227plate007::lbperf_edta	.F	:::UNDEF:::	
227plate007::lbperf_edta	227plate007::lbperf_edta	0	No	
227plate007::lbperf_edta	227plate007::lbperf_edta	1	Yes	
227plate007::lbini.1	227plate007::lbini.1	*	:::UNDEF:::	
227plate007::lbini.1	227plate007::lbini.1	0	No	
227plate007::lbini.1	227plate007::lbini.1	1	Yes	
227plate007::lbini.2	227plate007::lbini.2	0	No	
227plate007::lbini.2	227plate007::lbini.2	1	Yes	
227plate007::lbini_urine	227plate007::lbini_urine	*	:::UNDEF:::	
227plate007::lbini_urine	227plate007::lbini_urine	0	No	
227plate007::lbini_urine	227plate007::lbini_urine	1	Yes	
227plate007::lbini_stool	227plate007::lbini_stool	0	No	
227plate007::lbini_stool	227plate007::lbini_stool	1	Yes	
227plate495::missreas	227plate495::missreas	1	Within 7 days of venipuncture blood draw	
227plate495::missreas	227plate495::missreas	2	Away/traveling	
227plate495::missreas	227plate495::missreas	3	Refused	
227plate495::missreas	227plate495::missreas	4	Sick/hospitalized	
227plate495::missreas	227plate495::missreas	5	Other	
227plate495::missreas	227plate495::missreas	6	Unknown	
227plate496::missreas	227plate496::missreas	1	Within 7 days of venipuncture blood draw	
227plate496::missreas	227plate496::missreas	2	Away/traveling	
227plate496::missreas	227plate496::missreas	3	Refused	
227plate496::missreas	227plate496::missreas	4	Sick/hospitalized	
227plate496::missreas	227plate496::missreas	5	Other	
227plate496::missreas	227plate496::missreas	6	Unknown	
227plate497::missreas	227plate497::missreas	1	Within 7 days of venipuncture blood draw	
227plate497::missreas	227plate497::missreas	2	Away/traveling	
227plate497::missreas	227plate497::missreas	3	Refused	
227plate497::missreas	227plate497::missreas	6	Unknown	
227plate498::missreas	227plate498::missreas	1	Within 7 days of venipuncture blood draw	
227plate498::missreas	227plate498::missreas	2	Away/traveling	
227plate498::missreas	227plate498::missreas	4	Sick/hospitalized	
227plate498::missreas	227plate498::missreas	5	Other	
227plate498::missreas	227plate498::missreas	6	Unknown	
227plate499::yesno1	227plate499::yesno1	1	Yes	
227plate499::yesno1	227plate499::yesno1	2	No	
227plate499::complete	227plate499::complete	1	Yes	
227plate499::complete	227plate499::complete	2	No	
227plate499::dcdecod	227plate499::dcdecod	0	:::UNDEF:::	
227plate499::dcdecod	227plate499::dcdecod	1	Death	
227plate499::dcdecod	227plate499::dcdecod	2	Parent/guardian or subject request	
227plate499::dcdecod	227plate499::dcdecod	3	Lost to follow-up	
227plate499::dcdecod	227plate499::dcdecod	4	Withdrew consent	
227plate499::dcdecod	227plate499::dcdecod	5	Other	
227plate499::dsdecod	227plate499::dsdecod	0	:::UNDEF:::	
227plate499::dsdecod	227plate499::dsdecod	1	Death	
227plate499::dsdecod	227plate499::dsdecod	2	Parent/guardian or subject request	
227plate499::dsdecod	227plate499::dsdecod	3	Lost to follow-up	
227plate499::dsdecod	227plate499::dsdecod	4	Withdrew consent	
227plate499::dsdecod	227plate499::dsdecod	5	Other	
126plate100::conmedunit	126plate100::conmedunit	0	Blank	
126plate100::conmedunit	126plate100::conmedunit	1	Milligrams (mg)	
126plate100::conmedunit	126plate100::conmedunit	2	Grams (g)	
126plate100::conmedunit	126plate100::conmedunit	3	International units (IU)	
126plate100::conmedunit	126plate100::conmedunit	4	:::UNDEF:::	
126plate100::conmedunit	126plate100::conmedunit	NA	:::UNDEF:::	
126plate100::conmedothunit	126plate100::conmedothunit	1	Sachet	
126plate100::conmedothunit	126plate100::conmedothunit	APP	Application	
126plate100::conmedothunit	126plate100::conmedothunit	APPL	Application	
126plate100::conmedothunit	126plate100::conmedothunit	BAIN	Bath	
126plate100::conmedothunit	126plate100::conmedothunit	DOSE	Dose	
126plate100::conmedothunit	126plate100::conmedothunit	GUT	Drops (GTT)	
126plate100::conmedothunit	126plate100::conmedothunit	GUTT	Drops (GTT)	
126plate100::conmedothunit	126plate100::conmedothunit	ML	Milliliter (mL)	
126plate100::conmedothunit	126plate100::conmedothunit	OPP	OPP	
126plate100::conmedothunit	126plate100::conmedothunit	QD	Once daily (QD)	
126plate100::conmedothunit	126plate100::conmedothunit	TAB	Tablet (TAB)	
126plate100::conmedothunit	126plate100::conmedothunit	TABS	Tablet (TAB)	
126plate100::conmedothunit	126plate100::conmedothunit	UI	International units (IU)	
126plate100::conmedothunit	126plate100::conmedothunit	TAB 	Tablet (TAB)	
126plate100::conmedothunit	126plate100::conmedothunit	BID	Twice a day (BID)	
126plate100::conmedothunit	126plate100::conmedothunit	CC	Cubic centimeters (cc)	
126plate100::conmedrt	126plate100::conmedrt	0	Blank	
126plate100::conmedrt	126plate100::conmedrt	1	Intramuscular (IM)	
126plate100::conmedrt	126plate100::conmedrt	2	Intravenous (IV)	
126plate100::conmedrt	126plate100::conmedrt	3	By mouth (PO)	
126plate100::conmedrt	126plate100::conmedrt	4	By rectum (PR)	
126plate100::conmedrt	126plate100::conmedrt	5	:::UNDEF:::	
126plate100::conmedothrt	126plate100::conmedothrt	CO	CO	
126plate100::conmedothrt	126plate100::conmedothrt	IV	Intravenous (IV)	
126plate100::conmedothrt	126plate100::conmedothrt	OTH	Other	
126plate100::conmedothrt	126plate100::conmedothrt	SC	Subcutaneous (SC)	
126plate100::conmedothrt	126plate100::conmedothrt	SD	SD	
126plate100::conmedothrt	126plate100::conmedothrt	TO	Topical (TO)	
126plate100::conmedothrt	126plate100::conmedothrt	VA	Vaginal (VA)	
126plate100::conmedothrt	126plate100::conmedothrt	DOSE	Dose	
126plate100::conmedothrt	126plate100::conmedothrt	P.O	By mouth (PO)	
126plate100::conmedothrt	126plate100::conmedothrt	IR	IR	
126plate100::conmedfreq	126plate100::conmedfreq	2		
126plate100::conmedfreq	126plate100::conmedfreq	BID	Twice a day (BID)	
126plate100::conmedfreq	126plate100::conmedfreq	BIG	Twice a day (BID)	
126plate100::conmedfreq	126plate100::conmedfreq	ML	Milliliter (mL)	
126plate100::conmedfreq	126plate100::conmedfreq	PM	Evening (PM)	
126plate100::conmedfreq	126plate100::conmedfreq	PRN	As needed (PRN)	
126plate100::conmedfreq	126plate100::conmedfreq	QD	Once daily (QD)	
126plate100::conmedfreq	126plate100::conmedfreq	QID	Four times a day (QID)	
126plate100::conmedfreq	126plate100::conmedfreq	SD	SD	
126plate100::conmedfreq	126plate100::conmedfreq	TID	Three times a day (TID)	
126plate100::conmedfreq	126plate100::conmedfreq	PO	By mouth (PO)	
126plate100::conmedfreq	126plate100::conmedfreq	PR	Rectal (PR)	
126plate100::conmedfreq	126plate100::conmedfreq	SD``	SD	
126plate100::conmedfreq	126plate100::conmedfreq	SOL	SOL	
126plate100::conmedfreq	126plate100::conmedfreq	TAB	Tablet (TAB)	
126plate100::conmedfreq	126plate100::conmedfreq	BIDE	Twice a day (BID)	
126plate100::conmedfreq	126plate100::conmedfreq	TIB	Three times a day (TID)	
126plate100::conmedongoing	126plate100::conmedongoing	0	No	
126plate100::conmedongoing	126plate100::conmedongoing	1	Yes	
226plate300::aesae	226plate300::aesae	1	Yes	
226plate300::aesae	226plate300::aesae	2	No	
226plate300::aesae	226plate300::aesae	NA	:::UNDEF:::	
226plate300::aeintensity	226plate300::aeintensity	1	1. Mild	
226plate300::aeintensity	226plate300::aeintensity	2	2. Moderate	
226plate300::aeintensity	226plate300::aeintensity	3	3. Severe	
226plate300::aeintensity	226plate300::aeintensity	4	4. Life-threatening	
226plate300::aeintensity	226plate300::aeintensity	NA	:::UNDEF:::	
226plate300::aedurhr	226plate300::aedurhr	NA	:::UNDEF:::	
226plate300::aedurmin	226plate300::aedurmin	NA	:::UNDEF:::	
226plate300::aeoutcome	226plate300::aeoutcome	1	Resolved	
226plate300::aeoutcome	226plate300::aeoutcome	2	Residual effect	
226plate300::aeoutcome	226plate300::aeoutcome	5	Unknown	
226plate300::aeoutcome	226plate300::aeoutcome	NA	:::UNDEF:::	
226plate300::aerelation	226plate300::aerelation	1	1. Definitely related	
226plate300::aerelation	226plate300::aerelation	2	2. Probably related	
226plate300::aerelation	226plate300::aerelation	3	3. Possibly related	
226plate300::aerelation	226plate300::aerelation	4	4. Unlikely related	
226plate300::aerelation	226plate300::aerelation	5	5. Not related	
226plate300::aerelation	226plate300::aerelation	NA	:::UNDEF:::	
226plate400::conmedunit	226plate400::conmedunit	1	Milligrams (mg)	
226plate400::conmedunit	226plate400::conmedunit	2	Grams (g)	
226plate400::conmedunit	226plate400::conmedunit	4	:::UNDEF:::	
226plate400::conmedunit	226plate400::conmedunit	9	Blank	
226plate400::conmedothunit	226plate400::conmedothunit	APP	Application	
226plate400::conmedothunit	226plate400::conmedothunit	APPL	Application	
226plate400::conmedothunit	226plate400::conmedothunit	BID	Twice a day (BID)	
226plate400::conmedothunit	226plate400::conmedothunit	DOSE	Dose	
226plate400::conmedothunit	226plate400::conmedothunit	GUT	Drops (GTT)	
226plate400::conmedothunit	226plate400::conmedothunit	LAMELLE	Lamelle	
226plate400::conmedothunit	226plate400::conmedothunit	PALUDISME SIMPLE	Malaria	
226plate400::conmedothunit	226plate400::conmedothunit	PALUDISME SIMPLE 	Malaria	
226plate400::conmedothunit	226plate400::conmedothunit	TAB	Tablet (TAB)	
226plate400::conmedothunit	226plate400::conmedothunit	TAD	Tablet (TAB)	
226plate400::conmedothunit	226plate400::conmedothunit	TAG	Tablet (TAB)	
226plate400::conmedothunit	226plate400::conmedothunit	GUR	Drops (GTT)	
226plate400::conmedothunit	226plate400::conmedothunit	FUT	Drops (GTT)	
226plate400::conmedothunit	226plate400::conmedothunit	QUT	Drops (GTT)	
226plate400::conmedothunit	226plate400::conmedothunit	TABS	Tablet (TAB)	
226plate400::conmed1rt	226plate400::conmedrt	0	Blank	
226plate400::conmed1rt	226plate400::conmedrt	1	Intramuscular (IM)	
226plate400::conmed1rt	226plate400::conmedrt	2	Intravenous (IV)	
226plate400::conmed1rt	226plate400::conmedrt	3	By mouth (PO)	
226plate400::conmed1rt	226plate400::conmedrt	5	:::UNDEF:::	
226plate400::conmedothrt	226plate400::conmedothrt	CEO	Eye	
226plate400::conmedothrt	226plate400::conmedothrt	CO	Eye	
226plate400::conmedothrt	226plate400::conmedothrt	EAR	Ear	
226plate400::conmedothrt	226plate400::conmedothrt	SKIN	Topical (TO)	
226plate400::conmedothrt	226plate400::conmedothrt	SKIN 	Topical (TO)	
226plate400::conmedothrt	226plate400::conmedothrt	TO	Topical (TO)	
226plate400::conmedothrt	226plate400::conmedothrt	AURICULAIRE	Ear	
226plate400::conmedothrt	226plate400::conmedothrt	AUXICULAIRE 	Ear	
226plate400::conmedothrt	226plate400::conmedothrt	OCULAIRE	Eye	
226plate400::conmedothrt	226plate400::conmedothrt	TO 	Topical (TO)	
226plate400::conmedothrt	226plate400::conmedothrt	BID	Twice a day (BID)	
226plate400::conmedothrt	226plate400::conmedothrt	CD	Eye	
226plate400::conmedothrt	226plate400::conmedothrt	OC	Eye	
226plate400::conmedfreq	226plate400::conmedfreq	BID	Twice a day (BID)	
226plate400::conmedfreq	226plate400::conmedfreq	BIG	Twice a day (BID)	
226plate400::conmedfreq	226plate400::conmedfreq	OD	Once daily (QD)	
226plate400::conmedfreq	226plate400::conmedfreq	OID	Once daily (QD)	
226plate400::conmedfreq	226plate400::conmedfreq	PALUDISME	Malaria	
226plate400::conmedfreq	226plate400::conmedfreq	PRN	As needed (PRN)	
226plate400::conmedfreq	226plate400::conmedfreq	QD	Once daily (QD)	
226plate400::conmedfreq	226plate400::conmedfreq	SD	SD	
226plate400::conmedfreq	226plate400::conmedfreq	TAB	Tablet (TAB)	
226plate400::conmedfreq	226plate400::conmedfreq	TAD	Tablet (TAB)	
226plate400::conmedfreq	226plate400::conmedfreq	TIB	Three times a day (TID)	
226plate400::conmedfreq	226plate400::conmedfreq	TID	Three times a day (TID)	
226plate400::conmedfreq	226plate400::conmedfreq	TID 	Three times a day (TID)	
226plate400::conmedfreq	226plate400::conmedfreq	 BID	Twice a day (BID)	
226plate400::conmedfreq	226plate400::conmedfreq	AMYGDALITES	Tonsil infection	
226plate400::conmedfreq	226plate400::conmedfreq	LID	LID	
226plate400::conmedfreq	226plate400::conmedfreq	SID	SID	
226plate400::conmedfreq	226plate400::conmedfreq	TD	Three times a day (TID)	
226plate400::conmedfreq	226plate400::conmedfreq	TIG	Three times a day (TID)	
226plate400::conmedfreq	226plate400::conmedfreq	TQ	TQ	
226plate400::conmedfreq	226plate400::conmedfreq	BIEN	Twice a day (BID)	
226plate400::conmedfreq	226plate400::conmedfreq	GOT	GOT	
226plate400::conmedfreq	226plate400::conmedfreq	ID	Twice a day (BID)	
226plate400::conmedfreq	226plate400::conmedfreq	TIDA	Three times a day (TID)	
226plate400::conmedongoing	226plate400::conmedongoing	0	No	
227plate300::aeongoing	227plate300::aeongoing	0	No	
227plate300::aeongoing	227plate300::aeongoing	NA	:::UNDEF:::	
227plate300::aetoxgr	227plate300::aetoxgr	2	2. Moderate	
227plate300::aetoxgr	227plate300::aetoxgr	NA	:::UNDEF:::	
227plate300::aeout	227plate300::aeout	1	Resolved	
227plate300::aeout	227plate300::aeout	NA	:::UNDEF:::	
227plate300::aeser	227plate300::aeser	0	Blank	
227plate300::aeser	227plate300::aeser	2	No	
227plate300::aeser	227plate300::aeser	NA	:::UNDEF:::	
227plate300::aerelproc	227plate300::aerelproc	1	5. Not related	
227plate300::aerelproc	227plate300::aerelproc	NA	:::UNDEF:::	
227plate300::durationhr	227plate300::durationhr	NA	:::UNDEF:::	
227plate300::durationmin	227plate300::durationmin	NA	:::UNDEF:::	
126plate001::otheth	126plate001::otheth	DOGON	Dogon	
126plate001::otheth	126plate001::otheth	MOSSI	Mossi	
126plate002::othhx_specify	EUPATH_0041062	DOULEUR DE L'ORTEIL GAUCHE (PID DATHLETE)	Foot candidosis	
126plate002::othhx_specify	EUPATH_0041062	GENERAL	General	
126plate002::othhx_specify	EUPATH_0041062	GROS ORTEIL	Big toe	
126plate002::othhx_specify	EUPATH_0041062	LANGAGE	Speech	
126plate002::othhx_specify	EUPATH_0041062	MEMBRES	Limbs	
126plate002::othhx_specify	EUPATH_0041062	MEMBRES SUPERIEURS	Arms	
126plate002::othhx_specify	EUPATH_0041062	PAROLE	Parole	
126plate002::othhx_specify	EUPATH_0041062	SIGNE GENERAL	General signs	
126plate003::genappearcmnt	EUPATH_0041085	BOITRIE(PEID GAUCHE)	Lameness	
126plate003::heent_examcmnt	EUPATH_0041087	AMYGDALITE BILATERALE	Tonsil infection	
126plate003::heent_examcmnt	EUPATH_0041087	AUGMENTATION DES AMYGDOB GLOSSITE, CANDIDOSE BUCCALE	Buccal candidosis, tongue inflammation	
126plate003::heent_examcmnt	EUPATH_0041087	BORGNE (OEIL GAUCHE)	One eye blind	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN DANS L'OREILLE DROITE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN DANS L'OREILLE GAUCHE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN DANS L'OREILLE GAUCHE CORNEENNES	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN DANS LES DEUX OREILLES	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN LES OREILLES	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	BOUCHON DE CERUMEN OREILLE GAUCHE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CANDIDOSE BUCALE	Buccal candidosis	
126plate003::heent_examcmnt	EUPATH_0041087	CANDIDOSE BUCALE DE L'OREILLE DROITE	Buccal candidosis	
126plate003::heent_examcmnt	EUPATH_0041087	CANDIDOSE BUCCALE	Buccal candidosis	
126plate003::heent_examcmnt	EUPATH_0041087	CARIE DENTAIRES RHINORRHEE	Infected dental caries	
126plate003::heent_examcmnt	EUPATH_0041087	CARIES DENTAIRES SURIN FECTEE	Infected dental caries	
126plate003::heent_examcmnt	EUPATH_0041087	CERUMEN AUX OREILLES	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CERUMEN BILATERAL	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CERUMEN DANS LES DEUX OREILLES	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CERUMEN DANS LES GAUCHES,MAUVAISSE HALEINE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CERUMEN GAUCHE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	CLOISON INTERNASALE ETROITE	Narrow internasal partition	
126plate003::heent_examcmnt	EUPATH_0041087	CONJONCTIVITE	Conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	CONJONCTIVITE DROITE	Conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	CONJONCTIVITE,RHINORRHEES	Conjunctivitis, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	DOULEUR A LA TRACTATION DU PAVILLON	Pain on physical examination	
126plate003::heent_examcmnt	EUPATH_0041087	ECZEMA	Eczema	
126plate003::heent_examcmnt	EUPATH_0041087	ERUPTON AU VISAGE	Dermatitis	
126plate003::heent_examcmnt	EUPATH_0041087	FURONCLE DE LA PAUPIERE INFERIEUR GAUCHE	Left lid boil	
126plate003::heent_examcmnt	EUPATH_0041087	HEMORRAGIE SOUS CONJONCTIVALE GAUCHE OTILE SUPPUREE GAUC	Hyphema, otitis media	
126plate003::heent_examcmnt	EUPATH_0041087	HEMORRAGIE SOUS CONJONCTIVALE OEIL DROIT	Hyphema	
126plate003::heent_examcmnt	EUPATH_0041087	HERPES LABIAL	Mouth herpes	
126plate003::heent_examcmnt	EUPATH_0041087	INFLAMMATION PALPEBRALE INFERIEURE DROITE, PUS DANS L'OR	Ear inflamation	
126plate003::heent_examcmnt	EUPATH_0041087	INFLAMMMATION DE LA LUETTE	Tongue inflammation	
126plate003::heent_examcmnt	EUPATH_0041087	LIMBO CONJONCTIVITE	Tropical endemic conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	LIMBOCON JONCTIVITE	Tropical endemic conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	LIMBOCONJONCTIVITE	Tropical endemic conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	LLYMBO CONJONCTIVITE DES TROPIQUES	Tropical endemic conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	LYMBOCONJONCTIVITE	Tropical endemic conjunctivitis	
126plate003::heent_examcmnt	EUPATH_0041087	OTITE SUPPUREE GAUCHE	Otitis	
126plate003::heent_examcmnt	EUPATH_0041087	PERLECHE AU NIVEAU DE LA BOUCHE, CICATRISEE	Mouth herpes	
126plate003::heent_examcmnt	EUPATH_0041087	PERLECHE CARIE DENTAIRE	Dental caries, mouth herpes	
126plate003::heent_examcmnt	EUPATH_0041087	PLAIT SUR LA TETE RHINORRHEE	Head wound, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	PLUSIEURS DENTS CARIEES	Dental caries	
126plate003::heent_examcmnt	EUPATH_0041087	PYODERMITE	Pyodermyditis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINOORRHEE	Rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINORRHEE	Rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINORRHEE CONJONCTIVITE	Conjunctivitis, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINORRHEE LYMBO CONJONCTVITE ENDEMIQUE	Tropical endemic conjunctivitis, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINORRHEE, CONJONCTIVITE	Conjunctivitis, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHINORRHEES	Rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RHNORRHEES	Rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	RINORRHEE	Rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	STRABISME CONVERGENT TAIE CORNEENNE BILATERALE	Congenital occular abnormality	
126plate003::heent_examcmnt	EUPATH_0041087	TACHE CORNEE GAUCHE CERUMEN DROITE	Cerumen cap	
126plate003::heent_examcmnt	EUPATH_0041087	TEIGNE DU CUIR CHEVELU	Scalp dermatitis	
126plate003::heent_examcmnt	EUPATH_0041087	TEIGNE DU CUIR CHEVELU RHINORRHEE	Scalp dermatitis, rhinitis	
126plate003::heent_examcmnt	EUPATH_0041087	TEIGNE DU CUIRCHEVELU	Scalp dermatitis	
126plate003::heent_examcmnt	EUPATH_0041087	TEIGNE SERINFECTEE	Scalp dermatitis	
126plate003::heent_examcmnt	EUPATH_0041087	TEIGNES	Scalp dermatitis	
126plate003::pulm_examcmnt	EUPATH_0041090	BRONCHUS DANS LES CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALE BRONCHIQUE DANS LES CHAMPS PULMOMAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BASE PULMONAIRE DROITE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUE DANS LA CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUE DANS LES CHAMPS PULMONAIRE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUE DANS LES CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUE DANS LES DEUX CHAMPS	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES AUX BASES PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES BASE PULMONAIRE DROITE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES DANS LES CHAMPS PULMONAIRE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES DANS LES CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES BRONCHIQUES DROITE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES CREPITANT DANS LES CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES CREPITANTS DANS LES CHAMPS PULMONAIRE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES CREPITANTS DANS LES CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES CREPITANTS DANS LES DEUX CHAMPS	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES OREPITANTS ACCENTUES A DROITE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES PULMONAIRE BILATERALS	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES PULMONAIRES DANS LES DEUX CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RALES PULMONAIRES GAUCHE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RONCHUS BILATERALES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RONCHUS DANS LES DEUX CHAMPS PULMONAIRE	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RONCHUS DANS LES DEUX CHAMPS PULMONAIRES	Pneumopathy	
126plate003::pulm_examcmnt	EUPATH_0041090	RONCHUS GAUCHE	Pneumopathy	
126plate003::cardiac_examcmnt	EUPATH_0041084	ARYTHMIE CARDIAQUE	Arrhytmia	
126plate003::cardiac_examcmnt	EUPATH_0041084	ARYTHMIE SINUSALE	Arrhytmia	
126plate003::cardiac_examcmnt	EUPATH_0041084	BRADICARDIE	Bradycardia	
126plate003::cardiac_examcmnt	EUPATH_0041084	BRADYCARDIE	Bradycardia	
126plate003::cardiac_examcmnt	EUPATH_0041084	SOUFFLE SYSTOLIQUE	Heartbeat disorder	
126plate003::cardiac_examcmnt	EUPATH_0041084	TROUBLE DU RYTHME CARDIAQUE (ANYTHMIE)	Heartbeat disorder	
126plate003::abdom_examcmnt	EUPATH_0041083	BALLONNEMENT ABDOMINALS	Abdominal distension	
126plate003::abdom_examcmnt	EUPATH_0041083	CICATRICE D'INTERVENTION CHIRUGICALE	History of surgery	
126plate003::abdom_examcmnt	EUPATH_0041083	CICATRICE D'INTERVENTION CHIRURGICALE (HERNIE OMBILICALE	History of surgery of ombilic hernia	
126plate003::abdom_examcmnt	EUPATH_0041083	CICATRICE D'INTERVENTION CHIRURGICALE SOUS OMBILICALE	History of surgery of ombilic hernia	
126plate003::abdom_examcmnt	EUPATH_0041083	CICATRICE D'UNE INTERVENTION CHIRUGICALE(FOSSEC ILIQUE G	History of surgery	
126plate003::abdom_examcmnt	EUPATH_0041083	GARGOUILLEMENTS	Abdominal gurgling	
126plate003::abdom_examcmnt	EUPATH_0041083	HEPATHOMEGALIE	Liver enlargement	
126plate003::abdom_examcmnt	EUPATH_0041083	HEPATOMEGALIE	Liver enlargement	
126plate003::abdom_examcmnt	EUPATH_0041083	HERNIE OMBICALE	Umbilical hernia	
126plate003::abdom_examcmnt	EUPATH_0041083	HERNIE OMBICALE SPLENOMEGALIE	Umbilical hernia, spleen enlargement	
126plate003::abdom_examcmnt	EUPATH_0041083	HERNIE OMBIDICALE	Umbilical hernia	
