colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
3,visitnum,icemr_preliminarystudy_data_clean,OBI_0001508,Study timepoint,,Participant,,,Visit #: 1-6,,variable,NA,,,,yes,,Myanmar ICEMR,,,,yes,,,,,int,1,,,1 to 6,6,0,,visitnum,icemr_preliminarystudy_data_clean::visitnum
93,vomiting,icemr_preliminarystudy_data_clean,,Vomiting,,Participant,EUPATH_0000309,Symptoms in last 2 months,Vomiting,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,vomiting,icemr_preliminarystudy_data_clean::vomiting
57,water,icemr_preliminarystudy_data_clean,,Trips to water for household chores in last 3 months,,Participant,EUPATH_0022066,Activity,C5. Do household chores that involve trips to water (in last 3 months) (e.g. was,,variable,"need new term or make a term 'Household chores' under reason for travel, and place these under it, along with chores to water",,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0,,water,icemr_preliminarystudy_data_clean::water
62,water_dark,icemr_preliminarystudy_data_clean,,Trips to water for household chores after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.316185267,,water_dark,icemr_preliminarystudy_data_clean::water_dark
61,water_daytime,icemr_preliminarystudy_data_clean,,Trips to water for household chores daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.315672535,,water_daytime,icemr_preliminarystudy_data_clean::water_daytime
63,water_duration,icemr_preliminarystudy_data_clean,,Duration of household chores at water,,Participant,EUPATH_0022066,Activity,C5c. Duration of chores that involve trips to water,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 3,3,0.315672535,,water_duration,icemr_preliminarystudy_data_clean::water_duration
58,water_freq,icemr_preliminarystudy_data_clean,,Frequency of household chores at water,,Participant,EUPATH_0022066,Activity,C5a. Frequency of chores that involve trips to water,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 3,3,0.315501624,,water_freq,icemr_preliminarystudy_data_clean::water_freq
60,water_morning,icemr_preliminarystudy_data_clean,,Trips to water for household chores morning,,Participant,EUPATH_0022066,Activity,Morning,,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.315672535,,water_morning,icemr_preliminarystudy_data_clean::water_morning
59,water_sunrise,icemr_preliminarystudy_data_clean,,Trips to water for household chores before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.315672535,,water_sunrise,icemr_preliminarystudy_data_clean::water_sunrise
17,work_distance,icemr_preliminarystudy_data_clean,,Distance to work or study,,Participant,,,B1. How far away is your place of work or study?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 5,5,0.53854042,,work_distance,icemr_preliminarystudy_data_clean::work_distance
23,work_home_time,icemr_preliminarystudy_data_clean,,Work departure time,,Participant,,,"B1f. What time of day do you usually leave work or study to travel back home?
",,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,3,,,2 to 8,5,0.633566912,,work_home_time,icemr_preliminarystudy_data_clean::work_home_time
24,work_overnight,icemr_preliminarystudy_data_clean,,Overnight stay for work or study,,Participant,EUPATH_0024186,Travel details,B1g. Do you stay overnight for work or study?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.633566912,,work_overnight,icemr_preliminarystudy_data_clean::work_overnight
18,work_travel_mode,icemr_preliminarystudy_data_clean,,Transport to work,,Participant,,,B1a. What mode of travel do you use most frequently when you travel to work or s,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 10,6,0.633566912,,work_travel_mode,icemr_preliminarystudy_data_clean::work_travel_mode
19,work_travel_route,icemr_preliminarystudy_data_clean,,Route description,,Participant,,,B1b. How would you describe the route you take to work or study during the dry s,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 4,4,0.633566912,,work_travel_route,icemr_preliminarystudy_data_clean::work_travel_route
20,work_travel_route_change,icemr_preliminarystudy_data_clean,,Seasonal change to route,,Participant,,,B1c. Does your route to work or study change in the rainy season?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.633566912,,work_travel_route_change,icemr_preliminarystudy_data_clean::work_travel_route_change
22,work_travel_time,icemr_preliminarystudy_data_clean,,Home departure time,,Participant,,,"B1e. What time of day do you usually leave for work or study?
",,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 7,3,0.633566912,,work_travel_time,icemr_preliminarystudy_data_clean::work_travel_time
2,visit1,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 1,1,0,,visit1,icemr_drugresistance_data::visit1
3,visit2,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 888,3,0,,visit2,icemr_drugresistance_data::visit2
4,visit3,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 888,4,0,,visit3,icemr_drugresistance_data::visit3
5,visit4,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 999,4,0,,visit4,icemr_drugresistance_data::visit4
6,visit5,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 999,4,0,,visit5,icemr_drugresistance_data::visit5
7,visit6,icemr_drugresistance_data,,,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 999,4,0,,visit6,icemr_drugresistance_data::visit6
8,pvdhfr_i13,icemr_drugresistance_data,,pvdhfr mutation I13,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,I,,,I,1,0,,pvdhfr_I13,icemr_drugresistance_data::pvdhfr_i13
9,pvdhfr_f57l_i,icemr_drugresistance_data,,pvdhfr mutation F57L/I,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,I,,,"F, I, L",3,0,,pvdhfr_F57L_I,icemr_drugresistance_data::pvdhfr_f57l_i
10,pvdhfr_s58r,icemr_drugresistance_data,,pvdhfr mutation S58R,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,R,,,"R, S",2,0,,pvdhfr_S58R,icemr_drugresistance_data::pvdhfr_s58r
11,pvdhfr_t61m,icemr_drugresistance_data,,pvdhfr mutation T61M,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,M,,,"M, T",2,0,,pvdhfr_T61M,icemr_drugresistance_data::pvdhfr_t61m
12,pvdhfr_h99s,icemr_drugresistance_data,,pvdhfr mutation H99S,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,H,,,", H, S",2,0.368421053,,pvdhfr_H99S,icemr_drugresistance_data::pvdhfr_h99s
13,pvdhfr_s117t_n,icemr_drugresistance_data,,pvdhfr mutation S117T/N,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,T,,,"N, S, T",3,0,,pvdhfr_S117T_N,icemr_drugresistance_data::pvdhfr_s117t_n
14,pvdhfr_i173,icemr_drugresistance_data,,pvdhfr mutation I173,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,I,,,I,1,0,,pvdhfr_I173,icemr_drugresistance_data::pvdhfr_i173
15,pvdhfr_merged,icemr_drugresistance_data,,,,Sample,,,,,variable,NA,REMOVE?,,,,,Myanmar ICEMR,,,,,,,,,chr,IRMHT,,,"FRT_N, FSTHS, FSTSS, FST_S, IRMHT, IRMST, LRMHT",7,0,,pvdhfr_merged,icemr_drugresistance_data::pvdhfr_merged
16,pvmdr1_t958m,icemr_drugresistance_data,,pvmdr1 mutation T958M,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,M,,,M,1,0,,pvmdr1_T958M,icemr_drugresistance_data::pvmdr1_t958m
17,pvmdr1_y976f,icemr_drugresistance_data,,pvmdr1 mutation Y976F,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,Y,,,Y,1,0,,pvmdr1_Y976F,icemr_drugresistance_data::pvmdr1_y976f
18,pvmdr1_k997,icemr_drugresistance_data,,pvmdr1 mutation K997,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,K,,,K,1,0,,pvmdr1_K997,icemr_drugresistance_data::pvmdr1_k997
19,pvmdr1_f1076l,icemr_drugresistance_data,,pvmdr1 mutation F1076L,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,F,,,"F, L",2,0,,pvmdr1_F1076L,icemr_drugresistance_data::pvmdr1_f1076l
20,pvmdr1_merged,icemr_drugresistance_data,,,,Sample,,,,,variable,NA,REMOVE?,,,,,Myanmar ICEMR,,,,,,,,,chr,MYKF,,,"MYKF, MYKL",2,0,,pvmdr1_merged,icemr_drugresistance_data::pvmdr1_merged
21,pvdhps_s382a,icemr_drugresistance_data,,pvdhps mutation S382A,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,S,,,"C, S",2,0,,pvdhps_S382A,icemr_drugresistance_data::pvdhps_s382a
22,pvdhps_a383g,icemr_drugresistance_data,,pvdhps mutation A383G,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,G,,,"A, G",2,0,,pvdhps_A383G,icemr_drugresistance_data::pvdhps_a383g
23,pvdhps_k512m,icemr_drugresistance_data,,pvdhps mutation K512M,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,K,,,"E, K",2,0,,pvdhps_K512M,icemr_drugresistance_data::pvdhps_k512m
24,pvdhps_a553g,icemr_drugresistance_data,,pvdhps mutation A553G,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,G,,,"A, G",2,0,,pvdhps_A553G,icemr_drugresistance_data::pvdhps_a553g
25,pvdhps_r580,icemr_drugresistance_data,,pvdhps mutation R580,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,R,,,R,1,0,,pvdhps_R580,icemr_drugresistance_data::pvdhps_r580
26,pvdhps_v585,icemr_drugresistance_data,,pvdhps mutation V585,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,new term needed,,,,,,Myanmar ICEMR,,,,,,,,,chr,V,,,V,1,0,,pvdhps_V585,icemr_drugresistance_data::pvdhps_v585
27,pvdhps_merged,icemr_drugresistance_data,,,,Sample,,,,,variable,NA,REMOVE?,,,,,Myanmar ICEMR,,,,,,,,,chr,SGKGRV,,,"CGEGRV, SAKARV, SGKARV, SGKGRV",4,0,,pvdhps_merged,icemr_drugresistance_data::pvdhps_merged
28,aag_insert,icemr_drugresistance_data,,,,Sample,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0,,aag_insert,icemr_drugresistance_data::aag_insert
4,days_after_baseline,icemr_preliminarystudy_data_clean,EUPATH_0000191,Days since enrollment??,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 90,57,0,,days_after_baseline,icemr_preliminarystudy_data_clean::days_after_baseline
10,age_categorical,icemr_preliminarystudy_data_clean,EUPATH_0040020,Age category,,Participant,,,,,variable,NA,,,,yes,,Myanmar ICEMR,,,,yes,,,,,int,45,,,0 to 75,16,0.53854042,,age_categorical,icemr_preliminarystudy_data_clean::age_categorical
81,vil_outside_distance_cat,icemr_preliminarystudy_data_clean,,Distance of travel out of village,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,6,,,1 to 31,6,0.889591523,,vil_outside_distance_cat,icemr_preliminarystudy_data_clean::vil_outside_distance_cat
85,twp_outside_distance_cat,icemr_preliminarystudy_data_clean,,Distance of travel out of township,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,201,,,1 to 201,5,0.980687062,,twp_outside_distance_cat,icemr_preliminarystudy_data_clean::twp_outside_distance_cat
86,cntry_outside_yesno,icemr_preliminarystudy_data_clean,,Cross country border in last year? OR Travel to foreign country in last year,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.903093488,,cntry_outside_yesno,icemr_preliminarystudy_data_clean::cntry_outside_yesno
88,cntry_outside_freq_yesno,icemr_preliminarystudy_data_clean,,Cross country border in last 6 months? OR Travel to foreign country in last year,,Participant,,,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.99282174,,cntry_outside_freq_yesno,icemr_preliminarystudy_data_clean::cntry_outside_freq_yesno
2,antigen,icemr_serology_data,,,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,chr,PfMSP-1,,,"PVCSP, PVMSP-1, PfMSP-1",3,0,,antigen,icemr_serology_data::antigen
3,antigen_code,icemr_serology_data,,,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,chr,397268,,,"214776, 397268, 397270, R01601, R01602, R01603, R01604",7,0,,antigen_code,icemr_serology_data::antigen_code
4,antigen_concentration,icemr_serology_data,,,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,dbl,0.025,,,0.025 to 0.8,6,0,,antigen_concentration,icemr_serology_data::antigen_concentration
5,antigen_id,icemr_serology_data,,,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,chr,S1-1,,,>10 unique values,42,0,,antigen_id,icemr_serology_data::antigen_id
6,axon_scanner_output,icemr_serology_data,,,,Sample,EUPATH_0033308,Plasmodium in blood,,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,dbl,713.86,,,8.53 to 49941.5,3654,0,,axon_scanner_output,icemr_serology_data::axon_scanner_output
