variable,label,category,termType,IRI,parentLabel,parentIRI,definition,codebookDescription,codebookValues,displayOrder,replaces,dataSet,dataFile
anthro_1::u18,Persons 18yrs and younger living in house,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,,,,,WASH-b Kenya,anthro_1
anthro_2::u18,Persons 18yrs and younger living in house,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,,,,,WASH-b Kenya,anthro_2
diar::u18,Persons 18yrs and younger living in house,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,,,,,WASH-b Kenya,diar
,Assets,Household,multifilter,http://purl.obolibrary.org/obo/EUPATH_0000144,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,NA,,,WASH-b Kenya,
uptake_0::feces_disp,Child waste disposal,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::feces_disp,Child waste disposal,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::feces_disp,Child waste disposal,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
uptake_0::imp_lat,Improved latrine,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::imp_lat,Improved latrine,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::imp_lat,Improved latrine,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
,Household,Household,category,http://purl.obolibrary.org/obo/PCO_0000024,,http://www.w3.org/2002/07/owl#Thing,,,NA,,,WASH-b Kenya,
anthro_1::bmiz06,"BMI-for-age z-score, using median weight and median length or height",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035071,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,BMI-for-age Z-score,,,,WASH-b Kenya,anthro_1
anthro_2::bmiz06,"BMI-for-age z-score, using median weight and median length or height",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035071,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,BMI-for-age Z-score,,,,WASH-b Kenya,anthro_2
anthro_1::childht,Median stature (cm),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035077,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Median stature of the target child participant, in cm. Stature was measured 3x as either recumbent length or height while standing. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",,,,,WASH-b Kenya,anthro_1
anthro_2::childht,Median stature (cm),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035077,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Median stature of the target child participant, in cm. Stature was measured 3x as either recumbent length or height while standing. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",,,,,WASH-b Kenya,anthro_2
anthro_1::haz,"Length- or height-for-age z-score, using median stature",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035067,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Length/height-for-age Z-score,,,,WASH-b Kenya,anthro_1
anthro_2::haz,"Length- or height-for-age z-score, using median stature",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035067,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Length/height-for-age Z-score,,,,WASH-b Kenya,anthro_2
anthro_1::hcz,"Head circumference-for-age z-score, using median circumference",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035075,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_1
anthro_2::hcz,"Head circumference-for-age z-score, using median circumference",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035075,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_2
anthro_1::headc,Median head circumference (cm),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035083,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_1
anthro_2::headc,Median head circumference (cm),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035083,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_2
anthro_1::sstunted,Severely stunted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035061,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",,,,,WASH-b Kenya,anthro_1
anthro_2::sstunted,Severely stunted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035061,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",,,,,WASH-b Kenya,anthro_2
anthro_1::stunted,Stunted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035062,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",,,,,WASH-b Kenya,anthro_1
anthro_2::stunted,Stunted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035062,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",,,,,WASH-b Kenya,anthro_2
anthro_1::underhc,Low head circumference,Observation,variable,,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_1
anthro_2::underhc,Low head circumference,Observation,variable,,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,,WASH-b Kenya,anthro_2
anthro_1::underwt,Underweight,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035066,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was underweight, defined as having a weight-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age)",,,,,WASH-b Kenya,anthro_1
anthro_2::underwt,Underweight,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035066,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was underweight, defined as having a weight-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age)",,,,,WASH-b Kenya,anthro_2
anthro_1::wasted,Wasted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035064,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was wasted, defined as having a weight-for-length or -height z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",,,,,WASH-b Kenya,anthro_1
anthro_2::wasted,Wasted,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035064,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Whether the target child participant was wasted, defined as having a weight-for-length or -height z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",,,,,WASH-b Kenya,anthro_2
anthro_1::waz,"Weight-for-age z-score, using median weight",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035073,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Weight-for-age Z-score,,,,WASH-b Kenya,anthro_1
anthro_2::waz,"Weight-for-age z-score, using median weight",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035073,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Weight-for-age Z-score,,,,WASH-b Kenya,anthro_2
anthro_1::whz,"Weight-for-length or -height z-score, using median weight and median length or height",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035069,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Weight-for-length/height Z-score,,,,WASH-b Kenya,anthro_1
anthro_2::whz,"Weight-for-length or -height z-score, using median weight and median length or height",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035069,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,Weight-for-length/height Z-score,,,,WASH-b Kenya,anthro_2
anthro_1::HHS,Hunger score,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",,,WASH-b Kenya,anthro_1
anthro_2::HHS,Hunger score,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",,,WASH-b Kenya,anthro_2
diar::HHS,Hunger score,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",,,WASH-b Kenya,diar
anthro_1::aged,Age (days),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age in days,,,,,WASH-b Kenya,anthro_1
anthro_2::aged,Age (days),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age in days,,,,,WASH-b Kenya,anthro_2
bruise::aged,Age (days),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age in days,,,,,WASH-b Kenya,bruise
diar::aged,Age (days),Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age in days,,,,,WASH-b Kenya,diar
anthro_1::time,Study timepoint,Observation,variable,http://purl.obolibrary.org/obo/OBI_0001508,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",,,,,WASH-b Kenya,anthro_1
anthro_2::time,Study timepoint,Observation,variable,http://purl.obolibrary.org/obo/OBI_0001508,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",,,,,WASH-b Kenya,anthro_2
bruise::time,Study timepoint,Observation,variable,http://purl.obolibrary.org/obo/OBI_0001508,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",,,,,WASH-b Kenya,bruise
diar::time,Study timepoint,Observation,variable,http://purl.obolibrary.org/obo/OBI_0001508,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",,,,,WASH-b Kenya,diar
,Anthropometry,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0000649,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,NA,,,WASH-b Kenya,
,Observation details,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,NA,,,WASH-b Kenya,
,Signs and symptoms,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0000309,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,NA,,,WASH-b Kenya,
anthro_1::month,Month,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,,,,WASH-b Kenya,anthro_1
anthro_2::month,Month,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,,,,WASH-b Kenya,anthro_2
diar::month,Month,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,,,,WASH-b Kenya,diar
anthro_1::week_survey,Week,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035096,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Week of measurement,,,,WASH-b Kenya,anthro_1
anthro_2::week_survey,Week,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035096,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Week of measurement,,,,WASH-b Kenya,anthro_2
diar::week_survey,Week,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035096,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Week of measurement,,,,WASH-b Kenya,diar
anthro_1::year_survey,Year,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0010374,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Year of measurement,,,,WASH-b Kenya,anthro_1
anthro_2::year_survey,Year,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0010374,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Year of measurement,,,,WASH-b Kenya,anthro_2
diar::year_survey,Year,Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0010374,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,Year of measurement,,,,WASH-b Kenya,diar
,Symptoms by caregiver report,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0011878,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,NA,,,WASH-b Kenya,
,Food security,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0011683,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,,,,WASH-b Kenya,
bruise::bruise2,"Bruising during the last 2 days, caregiver report",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035108,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,"Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 2 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at  midline and endline.",,,,,WASH-b Kenya,bruise
bruise::bruise7,"Bruising during the last 7 days, caregiver report",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035107,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,"Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 7 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).Caregiver reported symptoms were also assessed in sibling/neighbor participants at midline  and endline.",,,,,WASH-b Kenya,bruise
diar::diarr2,"Diarrhea case during the last 2 days, caregiver report",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035098,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,"Whether the participant was classified as a diarrhea case within the last 2 days. To meet this definition of a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood using a 2-day recall. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",,,,,WASH-b Kenya,diar
diar::diarr7,"Diarrhea case during the last 7 days, caregiver report",Observation,variable,http://purl.obolibrary.org/obo/EUPATH_0035097,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,"Whether the participant was classified as a diarrhea case within the last 7 days. To meet this definition of a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood using a 7-day recall. This variable was used in the primary analysis to improve power as there was no evidence for differential recall by arm. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",,,,,WASH-b Kenya,diar
,Observation,Observation,category,http://purl.obolibrary.org/obo/EUPATH_0000738,,http://www.w3.org/2002/07/owl#Thing,,,NA,,,WASH-b Kenya,
mortality::multiple_birth,Multiple birth,Participant,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0035113,Clinical history,http://purl.obolibrary.org/obo/EUPATH_0035113,,,,,,,
mortality::childdeath,Deceased,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0000667,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,,,,,,WASH-b Kenya,mortality
anthro_1::sex,Sex,Participant,variable,http://purl.obolibrary.org/obo/PATO_0000047,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,Sex,"0. Male,
1. Female",,,WASH-b Kenya,anthro_1
anthro_2::sex,Sex,Participant,variable,http://purl.obolibrary.org/obo/PATO_0000047,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,Sex,"0. Male,
1. Female",,,WASH-b Kenya,anthro_2
diar::sex,Sex,Participant,variable,http://purl.obolibrary.org/obo/PATO_0000047,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,Sex,"0. Male,
1. Female",,,WASH-b Kenya,diar
,Death information,Participant,category,http://purl.obolibrary.org/obo/EUPATH_0000671,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,,,,WASH-b Kenya,
anthro_1::mother_age,Mother's age (years),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",,,,,WASH-b Kenya,anthro_1
anthro_2::mother_age,Mother's age (years),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",,,,,WASH-b Kenya,anthro_2
diar::mother_age,Mother's age (years),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",,,,,WASH-b Kenya,diar
anthro_1::mother_edu,Mother's education level,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Categorization of the amount of education completed by the target child participant's mother. Assessed at enrollment (when target children were in utero).,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",,,WASH-b Kenya,anthro_1
anthro_2::mother_edu,Mother's education level,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Categorization of the amount of education completed by the target child participant's mother.,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",,,WASH-b Kenya,anthro_2
diar::mother_edu,Mother's education level,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Categorization of the amount of education completed by the target child participant's mother.,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Dont know",,,WASH-b Kenya,diar
anthro_1::motherht,Median mother's height (cm),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",,,,,WASH-b Kenya,anthro_1
anthro_2::motherht,Median mother's height (cm),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",,,,,WASH-b Kenya,anthro_2
diar::motherht,Median mother's height (cm),Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",,,,,WASH-b Kenya,diar
anthro_1::targetchild,Target child or sibling/neighbor,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,"0=sibling/neighbor, 1=target child",,,,WASH-b Kenya,anthro_1
anthro_2::targetchild,Target child or sibling/neighbor,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,"0=sibling/neighbor, 1=target child",,,,WASH-b Kenya,anthro_2
diar::targetchild,Target child or sibling/neighbor,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,,"0=target, 1=sibling/neighbor",,,WASH-b Kenya,diar
,Demographics,Participant,category,http://purl.obolibrary.org/obo/EUPATH_0010981,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,NA,,,WASH-b Kenya,
,Individuals related to participant,Participant,category,http://purl.obolibrary.org/obo/EUPATH_0010037,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,NA,,,WASH-b Kenya,
,Participant study details,Participant,category,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,NA,,,WASH-b Kenya,
,Clinical history,Participant,category,http://purl.obolibrary.org/obo/OGMS_0000015,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,,,,
anthro_1::newbirth,Sibling/neighbor participant born after enrollment,Participant,variable,,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,,,,,WASH-b Kenya,anthro_1
anthro_2::newbirth,Sibling/neighbor participant born after enrollment,Participant,variable,,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,,,,,WASH-b Kenya,anthro_2
diar::newbirth,Sibling/neighbor participant born after enrollment,Participant,variable,,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,,,,,WASH-b Kenya,diar
anthro_1::week_baseline,Enrollment week,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Week of baseline survey,,,,WASH-b Kenya,anthro_1
anthro_2::week_baseline,Enrollment week,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Week of baseline survey,,,,WASH-b Kenya,anthro_2
diar::week_baseline,Enrollment week,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Week of baseline survey,,,,WASH-b Kenya,diar
anthro_1::year_baseline,Enrollment year,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0010370,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Year of baseline survey,,,,WASH-b Kenya,anthro_1
anthro_2::year_baseline,Enrollment year,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0010370,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Year of baseline survey,,,,WASH-b Kenya,anthro_2
diar::year_baseline,Enrollment year,Participant,variable,http://purl.obolibrary.org/obo/EUPATH_0010370,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,Year of baseline survey,,,,WASH-b Kenya,diar
