colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel,replaces
,,,anthro_1::u18,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,
,,,anthro_2::u18,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,
,,,diar::u18,diar,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,NA,multifilter,,,,,
,,,uptake_0::feces_disp,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,uptake_1::feces_disp,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,uptake_2::feces_disp,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,"Whether children's feces were safely disposed. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,uptake_0::imp_lat,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved latrine,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,uptake_1::imp_lat,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved latrine,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,uptake_2::imp_lat,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved latrine,"Whether the household had access to an improved latrine.  Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,Household,,http://www.w3.org/2002/07/owl#Thing,,NA,category,,,,,
,,,anthro_1::bmiz06,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,BMI-for-age Z-score,,variable,,,,,
,,,anthro_2::bmiz06,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,BMI-for-age Z-score,,variable,,,,,
,,,anthro_1::childht,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035077,Median stature (cm),"Median stature of the target child participant, in cm. Stature was measured 3x as either recumbent length or height while standing. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::childht,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035077,Median stature (cm),"Median stature of the target child participant, in cm. Stature was measured 3x as either recumbent length or height while standing. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::haz,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Length/height-for-age Z-score,,variable,,,,,
,,,anthro_2::haz,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Length/height-for-age Z-score,,variable,,,,,
,,,anthro_1::hcz,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::hcz,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::headc,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035083,Median head circumference (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::headc,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035083,Median head circumference (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::sstunted,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::sstunted,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::stunted,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::stunted,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::underhc,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037018,Low head circumference,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::underhc,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037018,Low head circumference,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::underwt,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035066,Underweight,"Whether the target child participant was underweight, defined as having a weight-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age)",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::underwt,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035066,Underweight,"Whether the target child participant was underweight, defined as having a weight-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age)",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::wasted,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035064,Wasted,"Whether the target child participant was wasted, defined as having a weight-for-length or -height z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_2::wasted,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035064,Wasted,"Whether the target child participant was wasted, defined as having a weight-for-length or -height z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,
,,,anthro_1::waz,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035073,"Weight-for-age z-score, using median weight",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-age Z-score,,variable,,,,,
,,,anthro_2::waz,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035073,"Weight-for-age z-score, using median weight",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-age Z-score,,variable,,,,,
,,,anthro_1::whz,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035069,"Weight-for-length or -height z-score, using median weight and median length or height",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-length/height Z-score,,variable,,,,,
,,,anthro_2::whz,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035069,"Weight-for-length or -height z-score, using median weight and median length or height",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-length/height Z-score,,variable,,,,,
,,,anthro_1::HHS,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,Observation,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,,,,,
,,,anthro_2::HHS,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,Observation,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,,,,,
,,,diar::HHS,diar,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,Observation,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,,,,,
,,,anthro_1::aged,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,anthro_2::aged,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,bruise::aged,bruise,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,diar::aged,diar,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,anthro_1::time,anthro_1,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,anthro_2::time,anthro_2,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,bruise::time,bruise,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,diar::time,diar,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,NA,category,,,,,
,,,anthro_1::month,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,variable,,,,,
,,,anthro_2::month,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,variable,,,,,
,,,diar::month,diar,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,variable,,,,,
,,,anthro_1::week_survey,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035096,Week,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Week of measurement,,variable,,,,,
,,,anthro_2::week_survey,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035096,Week,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Week of measurement,,variable,,,,,
,,,diar::week_survey,diar,http://purl.obolibrary.org/obo/EUPATH_0035096,Week,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Week of measurement,,variable,,,,,
,,,anthro_1::year_survey,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0010374,Year,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Year of measurement,,variable,,,,,
,,,anthro_2::year_survey,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0010374,Year,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Year of measurement,,variable,,,,,
,,,diar::year_survey,diar,http://purl.obolibrary.org/obo/EUPATH_0010374,Year,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Year of measurement,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0011878,Symptoms by caregiver report,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,,Observation,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,category,,,,,
,,,bruise::bruise2,bruise,http://purl.obolibrary.org/obo/EUPATH_0035108,"Bruising during the last 2 days, caregiver report","Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 2 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at  midline and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,,,variable,,,,,
,,,bruise::bruise7,bruise,http://purl.obolibrary.org/obo/EUPATH_0035107,"Bruising during the last 7 days, caregiver report","Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 7 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).Caregiver reported symptoms were also assessed in sibling/neighbor participants at midline  and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,,,variable,,,,,
,,,diar::diarr2,diar,http://purl.obolibrary.org/obo/EUPATH_0035098,"Diarrhea case during the last 2 days, caregiver report","Whether the participant was classified as a diarrhea case within the last 2 days. To meet this definition of a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood using a 2-day recall. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,,,variable,,,,,
,,,diar::diarr7,diar,http://purl.obolibrary.org/obo/EUPATH_0035097,"Diarrhea case during the last 7 days, caregiver report","Whether the participant was classified as a diarrhea case within the last 7 days. To meet this definition of a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood using a 7-day recall. This variable was used in the primary analysis to improve power as there was no evidence for differential recall by arm. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 9-15m of age) and 2 years after intervention initiation (endline, when target children were 18-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,Observation,,http://www.w3.org/2002/07/owl#Thing,,NA,category,,,,,
,,,mortality::multiple_birth,,http://purl.obolibrary.org/obo/EUPATH_0035113,Multiple birth,,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,"variable, derived",,,,,
,,,mortality::childdeath,mortality,http://purl.obolibrary.org/obo/EUPATH_0000667,Deceased,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,,,variable,,,,,
,,,anthro_1::sex,anthro_1,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Sex,"0. Male,
1. Female",variable,,,,,
,,,anthro_2::sex,anthro_2,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Sex,"0. Male,
1. Female",variable,,,,,
,,,diar::sex,diar,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Sex,"0. Male,
1. Female",variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,category,,,,,
,,,anthro_1::mother_age,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,anthro_2::mother_age,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,diar::mother_age,diar,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,anthro_1::mother_edu,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,Categorization of the amount of education completed by the target child participant's mother. Assessed at enrollment (when target children were in utero).,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",variable,,,,,
,,,anthro_2::mother_edu,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,Categorization of the amount of education completed by the target child participant's mother.,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",variable,,,,,
,,,diar::mother_edu,diar,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,Categorization of the amount of education completed by the target child participant's mother.,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Dont know",variable,,,,,
,,,anthro_1::motherht,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,anthro_2::motherht,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,diar::motherht,diar,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,,,variable,,,,,
,,,anthro_1::targetchild,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,"0=sibling/neighbor, 1=target child",,variable,,,,,
,,,anthro_2::targetchild,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,"0=sibling/neighbor, 1=target child",,variable,,,,,
,,,diar::targetchild,diar,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,"0=target, 1=sibling/neighbor",variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category,,,,,
,,,anthro_1::newbirth,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037019,Sibling/neighbor participant born after enrollment,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,,variable,,,,,
,,,anthro_2::newbirth,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037019,Sibling/neighbor participant born after enrollment,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,,variable,,,,,
,,,diar::newbirth,diar,http://purl.obolibrary.org/obo/EUPATH_0037019,Sibling/neighbor participant born after enrollment,Whether the sibling or neighbor participant was born after the compound was enrolled n the study.,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,,variable,,,,,
,,,anthro_1::week_baseline,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Week of baseline survey,,variable,,,,,
,,,anthro_2::week_baseline,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Week of baseline survey,,variable,,,,,
,,,diar::week_baseline,diar,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Week of baseline survey,,variable,,,,,
,,,anthro_1::year_baseline,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0010370,Enrollment year,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Year of baseline survey,,variable,,,,,
,,,anthro_2::year_baseline,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0010370,Enrollment year,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Year of baseline survey,,variable,,,,,
,,,diar::year_baseline,diar,http://purl.obolibrary.org/obo/EUPATH_0010370,Enrollment year,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,Year of baseline survey,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,Participant,,http://www.w3.org/2002/07/owl#Thing,,NA,category,,,,,
