Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Indian description	Var/Field name synonym	Field Type	Answers	alternate answers	Census	Clinic CRF	Clinic CRF	CrossSectional CRF	CrossSectional CRF	Longitudinal CRF	Longitudinal CRF	Reactive Case Detection CRF	Reactive Case Detection CRF	JZ Comments
http://purl.obolibrary.org/obo/EUPATH_0000047	Hemoglobin	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100067	hemocue	variable	HemoCue, level of Hemoglobin measured at time of exam.  Belongs under Visit.		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000019	# residents in dwelling	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	INDIAN_0100068	household_size	variable	Size of household		text			Census									PRISM collect the # of residents in a dwelling. Household size is e is essentially the number of persons for whom you are financially responsible. Some of these persons may not be residing with you. (so it is different from # of residents). Does it Indian group mean? Or it also refers to # of residents in a dwelling? Mapped to the term used by PRISM now. Need check with Indian group
http://purl.obolibrary.org/obo/EUPATH_0000095	Participant ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100069	icid	variable	Index Case ID, In the Reactive Case Detection projects, an Index Case subject is first chosen from Clinic project data , then RCD subjects are Enrolled who live with or nearby that Index Case subject.  So icid  is the subject ID of the Clinic case used as the Index Case for this RCD case.  This is linking data betweem Clinic and RCD records.  		text										ReactiveCaseDetection		
http://purl.bioontology.org/ontology/SNOMEDCT/40541001	Acute pulmonary edema	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100075	manifestations_chk___1	variable			checkbox	manifestations_chk: 1, Acute pulmonary edema			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.bioontology.org/ontology/SNOMEDCT/371632003	Coma	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100076	manifestations_chk___2	variable			checkbox	manifestations_chk: 2, Coma			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.obolibrary.org/obo/HP_0000952	Jaundice	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100077	manifestations_chk___3	variable			checkbox	manifestations_chk: 3, Jaundice			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.obolibrary.org/obo/DOID_1074	Renal failure	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100078	manifestations_chk___4	variable			checkbox	manifestations_chk: 4, Renal failure			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.bioontology.org/ontology/MEDDRA/10009119	Respiratory distress	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100079	manifestations_chk___5	variable			checkbox	manifestations_chk: 5, Respiratory distress			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.obolibrary.org/obo/SYMP_0000007	Spontaneous bleeding	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100080	manifestations_chk___6	variable			checkbox	manifestations_chk: 6, Spontaneous bleeding			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.obolibrary.org/obo/EUPATH_0000215	Severe anemia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100081	manifestations_chk___7	variable			checkbox	manifestations_chk: 7, Severe anemia (<5g/dl)			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group. We may consider to create a subCategory under Symptoms and signs to list those more cause/result of malaria
http://purl.obolibrary.org/obo/OMIABIS_0000026	Zip code	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100097	pincode	variable	analogous to 'zip code' here in USA.  Might be considered identifying.  		text			Census	Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000089	Asymptomatic parasitemia	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	INDIAN_0100100	Asymptomatic malaria	variable	Preliminary diagnosis		radio	prelim_dx_rad: 2, Asymptomatic malaria			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/EUPATH_0000038	Uncomplicated malaria	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	INDIAN_0100101	Uncomplicated malaria	variable	Preliminary diagnosis		radio	prelim_dx_rad: 3, Uncomplicated malaria			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/EUPATH_0000043	Severe malaria	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	INDIAN_0100102	Severe malaria	variable	Preliminary diagnosis		radio	prelim_dx_rad: 4, Severe malaria			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/EUPATH_0000317	Other diagnosis	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	INDIAN_0100103	Illness other than malaria	variable	Preliminary diagnosis		radio	prelim_dx_rad: 5, Illness other than malaria			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100108	samples_chk	variable	Samples collected		checkbox	1, Smear - CSCMI | 2, Smear - NVBDCP | 3, Filter | 4, Small volume | 5, Vacutainer			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100109	sex	variable	Sex	sex_rad	radio	1, Male | 2, Female	1, Female | 2, Male	Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/EUPATH_0000095	Participant ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100110	sid	variable	Subject ID		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		have same field in PRISM, but cannot find in PRISM term list. Is it due to not show in the website? 
http://purl.obolibrary.org/obo/OMIABIS_0000041	Street	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100113	street	variable	Street		text			Census	Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/HP_0002315	Headache	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100115	symptoms_chk___1	variable			checkbox	symptoms_chk: 1, Headache			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0019174	Chills	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100116	symptoms_chk___2	variable			checkbox	symptoms_chk: 2, Chills			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0000099	Aches or pains	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100117	symptoms_chk___3	variable			checkbox	symptoms_chk: 3, Aches or pains			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0019177	Fatigue	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100118	symptoms_chk___4	variable			checkbox	symptoms_chk: 4, Fatigue			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100119	symptoms_chk___5	variable			checkbox	symptoms_chk: 5, Vomiting			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0000523	Anorexia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100120	symptoms_chk___6	variable			checkbox	symptoms_chk: 6, Lack of appetite			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0000614	Cough	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100121	symptoms_chk___7	variable			checkbox	symptoms_chk: 7, Cough			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/SYMP_0000610	Dizziness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100122	symptoms_chk___8	variable			checkbox	symptoms_chk: 8, Dizziness			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0000975	Sweating	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100123	symptoms_chk___9	variable			checkbox	symptoms_chk: 9, Sweating			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100124	symptoms_chk___10	variable			checkbox	symptoms_chk: 10, Abdominal pain			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/DOID_13250	Diarrhea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100125	symptoms_chk___11	variable			checkbox	symptoms_chk: 11, Diarrhea			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0003419	Lower back pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100126	symptoms_chk___12	variable			checkbox	symptoms_chk: 12, Lower back pain			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.bioontology.org/ontology/MEDDRA/10015958	Eye pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100127	symptoms_chk___13	variable			checkbox	symptoms_chk: 13, Eye pain			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0000980	Paleness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100128	symptoms_chk___14	variable			checkbox	symptoms_chk: 14, Paleness			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0100749	Chest pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100129	symptoms_chk___15	variable			checkbox	symptoms_chk: 15, Chest pain			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/DOID_0050486	Rash	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100130	symptoms_chk___16	variable			checkbox	symptoms_chk: 16, Rash			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.bioontology.org/ontology/MEDDRA/10014020	Ear pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100131	symptoms_chk___17	variable			checkbox	symptoms_chk: 17, Ear pain			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/HP_0001744	Splenomegaly	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100132	symptoms_chk___18	variable			checkbox	symptoms_chk: 18, Splenomegaly			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/EUPATH_0000110	Temperature	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	INDIAN_0100134	temperature	variable	Temperature		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000002	Dwelling type	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	INDIAN_0100141	type_of_dwelling_rad	variable	Type of dwelling		radio	1, House | 2, Apartment		Census									In PRISM, it is under 'Dwelling summary' since different type values are used. PRISM decide the type (traditional, modern) base on other physical charateristics of dwelling. Consider to relabel 'Dwelling summary' to "Dwelling overview' which can cover more different cases.
http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	INDIAN_0100142	type_of_roof_chk	variable	Type of roof		checkbox	1, Thatched | 2, Tin | 3, Asbestos | 4, Cement | 5, Tile		Census									
http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	INDIAN_0100145	water_supply_chk	variable	Water supply		checkbox	1, Indoor plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump		Census									
http://purl.obolibrary.org/obo/IAO_0000414	Weight	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	INDIAN_0100146	weight	variable	Weight		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000144	Assets	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	INDIAN_0100148	Assets	variable				electricity_yn											
