variable	variable.1	values	mappedTerm
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	04_-_Assam	Assam
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	05_-_Bihar	Bihar
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	07_-_Chhattisgarh	Chhattisgarh
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	09_-_Goa	Goa
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	10_-_Gujarat	Gujarat
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	11_-_Haryana	Haryana
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	12_-_Himachal_Pradesh	Himachal Pradesh
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	13_-_Jammu_and_Kashmir	Jammu and Kashmir
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	14_-_Jharkhand	Jharkhand
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	15_-_Karnataka	Karnataka
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	16_-_Kerala	Kerala
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	19_-_Maharashtra	Maharashtra
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	21_-_meghalaya	Meghalaya
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	22_-_Mizoram	Mizoram
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	23_-_Nagaland	Nagaland
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	25_-_Orissa	Orissa
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	27_-_punjab	Punjab
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	28_-_Rajasthan	Rajasthan
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	31_-_Telangana	Telangana
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	32_-_Tripura	Tripura
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	33_-_Uttarakhand	Uttarakhand
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	35_-_West_Bengal	West Bengal
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	36_-_Outside_of_India	Outside of India
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	00_-_Missing	Missing
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	99_-_Uncertain	Uncertain
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	NA	Not applicable
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	01_-_Andaman_&_Car_Nicobar_Island	Andaman and Car Nicobar Island
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	04_-_Assam	Assam
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	05_-_Bihar	Bihar
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	06_-_Chandigarh	Chandigarh
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	09_-_Goa	Goa
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	10_-_Gujarat	Gujarat
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	11_-_Haryana	Haryana
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	12_-_Himachal_Pradesh	Himachal Pradesh
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	13_-_Jammu_and_Kashmir	Jammu and Kashmir
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	14_-_Jharkhand	Jharkhand
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	15_-_Karnataka	Karnataka
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	16_-_Kerala	Kerala
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	19_-_Maharashtra	Maharashtra
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	21_-_meghalaya	Meghalaya
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	25_-_Orissa	Orissa
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	27_-_Punjab	Punjab
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	33_-_Uttarakhand	Uttarakhand
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	35_-_West_Bengal	West Bengal
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	00_-_Missing	Missing
questionnaire_form_3::x49._state_2	questionnaire_form_3::x49._state_2	NA	Not applicable
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	04_-_Assam	Assam
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	09_-_Goa	Goa
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	10_-_Gujarat	Gujarat
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	13_-_Jammu_and_Kashmir	Jammu and Kashmir
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	14_-_Jharkhand	Jharkhand
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	16_-_Kerala	Kerala
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	19_-_Maharashtra	Maharashtra
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	21_-_meghalaya	Meghalaya
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	25_-_Orissa	Orissa
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	27_-_Punjab	Punjab
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	35_-_West_Bengal	West Bengal
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	36_-_Outside_of_India	Outside of India
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	00_-_Missing	Missing
questionnaire_form_3::x50._state_3	questionnaire_form_3::x50._state_3	NA	Not applicable
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	Clindamycin	Clindamycin
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	01_-_CQ	Chloroquine
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	02_-_PQ	Primaquine
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	04_-_AS	Artesunate
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	06_-_MQ	Mefloquine
inpatient_treatment_drug_2::x51._rx_name	EUPATH_0000058	07_-_Lum	Lumefantrine
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	08_-_qn	Quinine
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	10_-_ae	Arteether
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	13_-_dx	Doxycycline
inpatient_treatment_drug_1::x51._rx_name	EUPATH_0000058	NA	Not applicable
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-3.5	3.5
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-3.0	3.0
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-2.5	2.5
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-2.0	2.0
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-1.5	1.5	
inpatient_treatment_drug_1::timepoint	inpatient_treatment_drug_1::timepoint	-1.0	1.0
inpatient_treatment_drug_1::method	EUPATH_0023015	01_-_IV	Intravenous (IV)
inpatient_treatment_drug_1::method	EUPATH_0023015	02_-_PO	Per os (PO)
inpatient_treatment_drug_1::method	EUPATH_0023015	03_-_im	Intramuscular (IM)
inpatient_treatment_drug_2::x55._additional_antimalarial.	inpatient_treatment_drug_2::x55._additional_antimalarial.	1	Yes
inpatient_treatment_drug_2::x55._additional_antimalarial.	inpatient_treatment_drug_2::x55._additional_antimalarial.	2	No
inpatient_treatment_drug_2::x55._additional_antimalarial.	inpatient_treatment_drug_2::x55._additional_antimalarial.	NA	Not applicable
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	01_-_CQ	Chloroquine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	02_-_PQ	Primaquine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	04_-_AS	Artesunate
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	05_-_SF	Sulfadoxine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	06_-_MQ	Mefloquine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	07_-_Lum	Lumefantrine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	08_-_qn	Quinine
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	09_-_ART	Artemether
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	10_-_ae	Arteether
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	11_-_Other	Clindamycin
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	13_-_dx	Doxycycline
inpatient_treatment_drug_2::x56._rx_name	EUPATH_0000058	NA	Not applicable
inpatient_treatment_drug_2::method	EUPATH_0023015	01_-_IV	Intravenous (IV)
inpatient_treatment_drug_2::method	EUPATH_0023015	02_-_PO	Per os (PO)
inpatient_treatment_drug_2::method	EUPATH_0023015	NA	Not applicable
method	method	01_-_IV	Intravenous (IV)
method	method	02_-_PO	Per os (PO)
method	method	NA	Not applicable
inpatient_treatment_drug_3::x60._additional_antimalarial.	inpatient_treatment_drug_3::x60._additional_antimalarial.	1	Yes
inpatient_treatment_drug_3::x60._additional_antimalarial.	inpatient_treatment_drug_3::x60._additional_antimalarial.	2	No
inpatient_treatment_drug_3::x60._additional_antimalarial.	inpatient_treatment_drug_3::x60._additional_antimalarial.	NA	Not applicable
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	01_-_CQ	Chloroquine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	02_-_PQ	Primaquine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	04_-_AS	Artesunate
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	05_-_SF	Sulfadoxine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	06_-_MQ	Mefloquine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	07_-_Lum	Lumefantrine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	09_-_ART	Artemether
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	12_-_PY	Pyrimethamine
inpatient_treatment_drug_3::x61._rx_name	EUPATH_0000058	NA	Not applicable
inpatient_treatment_drug_3::method	EUPATH_0023015	01_-_IV	Intravenous (IV)
inpatient_treatment_drug_3::method	EUPATH_0023015	02_-_PO	Per os (PO)
inpatient_treatment_drug_3::method	EUPATH_0023015	NA	Not applicable
inpatient_treatment_drug_4::x65._additional_antimalarial	inpatient_treatment_drug_4::x65._additional_antimalarial	1	Yes
inpatient_treatment_drug_4::x65._additional_antimalarial	inpatient_treatment_drug_4::x65._additional_antimalarial	2	No
inpatient_treatment_drug_4::x65._additional_antimalarial	inpatient_treatment_drug_4::x65._additional_antimalarial	NA	Not applicable
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	02_-_PQ	Primaquine
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	05_-_SF	Sulfadoxine
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	06_-_MQ	Mefloquine
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	07_-_Lum	Lumefantrine
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	12_-_PY	Pyrimethamine
inpatient_treatment_drug_4::x66._generic_antimalarial_name	EUPATH_0000058	NA	Not applicable
inpatient_treatment_drug_4::method	EUPATH_0023015	01_-_IV	Intravenous (IV)
inpatient_treatment_drug_4::method	EUPATH_0023015	02_-_PO	Per os (PO)
inpatient_treatment_drug_4::method	EUPATH_0023015	03_-_IM	Intramuscular (IM)
inpatient_treatment_drug_4::method	EUPATH_0023015	NA	Not applicable
inpatient_treatment_drug_5::x70._additional_antimalarial	inpatient_treatment_drug_5::x70._additional_antimalarial	1	Yes
inpatient_treatment_drug_5::x70._additional_antimalarial	inpatient_treatment_drug_5::x70._additional_antimalarial	2	No
inpatient_treatment_drug_5::x70._additional_antimalarial	inpatient_treatment_drug_5::x70._additional_antimalarial	NA	Not applicable
inpatient_treatment_drug_5::x71._generic_antimalarial_name	EUPATH_0000058	12_-_PY	Pyrimethamine
inpatient_treatment_drug_5::x71._generic_antimalarial_name	EUPATH_0000058	NA	Not applicable
inpatient_treatment_drug_5::method	EUPATH_0023015	01_-_IV	Intravenous (IV)
inpatient_treatment_drug_5::method	EUPATH_0023015	02_-_PO	Per os (PO)
inpatient_treatment_drug_5::method	EUPATH_0023015	03_-_IM	Intramuscular (IM)
inpatient_treatment_drug_5::method	EUPATH_0023015	NA	Not applicable
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	01-Axillary	Axillary
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	02-Oral	Oral
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	03-Rectal	Rectal
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	04-Tympanic	Tympanic
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	05-Other	Other
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	-88-Missing	Missing
inpatient_care_chart_review::x72._temperature_method	inpatient_care_chart_review::x72._temperature_method	-99	Uncertain
inpatient_care_chart_review::x96._pulmonary_oedema	inpatient_care_chart_review::x96._pulmonary_oedema	-88-Missing	Missing
inpatient_care_chart_review::x96._pulmonary_oedema	inpatient_care_chart_review::x96._pulmonary_oedema	01-Yes	Yes
inpatient_care_chart_review::x96._pulmonary_oedema	inpatient_care_chart_review::x96._pulmonary_oedema	02-No	No
inpatient_care_chart_review::x96._pulmonary_oedema	inpatient_care_chart_review::x96._pulmonary_oedema	-99-Uncertain	Uncertain
inpatient_care_chart_review::x96._pulmonary_oedema	inpatient_care_chart_review::x96._pulmonary_oedema	NA	:::UNDEF:::
inpatient_care_chart_review::x97._enlarged_spleen	inpatient_care_chart_review::x97._enlarged_spleen	-88-Missing	Missing
inpatient_care_chart_review::x97._enlarged_spleen	inpatient_care_chart_review::x97._enlarged_spleen	01-Yes	Yes
inpatient_care_chart_review::x97._enlarged_spleen	inpatient_care_chart_review::x97._enlarged_spleen	02-No	No
inpatient_care_chart_review::x97._enlarged_spleen	inpatient_care_chart_review::x97._enlarged_spleen	-99-Uncertain	Uncertain
inpatient_care_chart_review::x97._enlarged_spleen	inpatient_care_chart_review::x97._enlarged_spleen	NA	:::UNDEF:::
inpatient_care_chart_review::x98._altered_levels_of_consciousness	inpatient_care_chart_review::x98._altered_levels_of_consciousness	-88-Missing	Missing
inpatient_care_chart_review::x98._altered_levels_of_consciousness	inpatient_care_chart_review::x98._altered_levels_of_consciousness	01-Yes	Yes
inpatient_care_chart_review::x98._altered_levels_of_consciousness	inpatient_care_chart_review::x98._altered_levels_of_consciousness	02-No	No
inpatient_care_chart_review::x98._altered_levels_of_consciousness	inpatient_care_chart_review::x98._altered_levels_of_consciousness	-99-Uncertain	Uncertain
inpatient_care_chart_review::x99._abnormal_bleeding	inpatient_care_chart_review::x99._abnormal_bleeding	-88-Missing	Missing
inpatient_care_chart_review::x99._abnormal_bleeding	inpatient_care_chart_review::x99._abnormal_bleeding	01-Yes	Yes
inpatient_care_chart_review::x99._abnormal_bleeding	inpatient_care_chart_review::x99._abnormal_bleeding	02-No	No
inpatient_care_chart_review::x99._abnormal_bleeding	inpatient_care_chart_review::x99._abnormal_bleeding	-99-Uncertain	Uncertain
inpatient_care_chart_review::x99._abnormal_bleeding	inpatient_care_chart_review::x99._abnormal_bleeding	NA	:::UNDEF:::
inpatient_care_chart_review::x100._discharge	inpatient_care_chart_review::x100._discharge	-88-Missing	Missing
inpatient_care_chart_review::x100._discharge	inpatient_care_chart_review::x100._discharge	01-Yes	Yes
inpatient_care_chart_review::x100._discharge	inpatient_care_chart_review::x100._discharge	02-No	No
inpatient_care_chart_review::x100._discharge	inpatient_care_chart_review::x100._discharge	-99-Uncertain	Uncertain
inpatient_care_chart_review::x100._discharge	inpatient_care_chart_review::x100._discharge	NA	:::UNDEF:::
inpatient_care_chart_review::x101._death	inpatient_care_chart_review::x101._death	-88-Missing	Missing
inpatient_care_chart_review::x101._death	inpatient_care_chart_review::x101._death	01-Yes	Dead
inpatient_care_chart_review::x101._death	inpatient_care_chart_review::x101._death	02-No	Alive
inpatient_care_chart_review::x101._death	inpatient_care_chart_review::x101._death	-99-Uncertain	Uncertain
inpatient_care_chart_review::x101._death	inpatient_care_chart_review::x101._death	NA	:::UNDEF:::
diagnostics assay::initial_pv_parasitemia	diagnostics assay::initial_pv_parasitemia	88	:::UNDEF:::
diagnostics assay::initial_pv_parasitemia	diagnostics assay::initial_pv_parasitemia	88.88	:::UNDEF:::
diagnostics assay::initial_pv_parasitemia	diagnostics assay::initial_pv_parasitemia	99.99	:::UNDEF:::
diagnostics assay::initial_pf_parasitemia	diagnostics assay::initial_pf_parasitemia	88.88	:::UNDEF:::
diagnostics assay::initial_pf_parasitemia	diagnostics assay::initial_pf_parasitemia	99.99	:::UNDEF:::
diagnostics assay::initial_pm_parasitemia	diagnostics assay::initial_pm_parasitemia	88.88	:::UNDEF:::
diagnostics assay::initial_pm_parasitemia	diagnostics assay::initial_pm_parasitemia	99.99	:::UNDEF:::
diagnostics assay::initial_pm_parasitemia	diagnostics assay::initial_pm_parasitemia	NA	:::UNDEF:::
diagnostics assay::parasite_density	diagnostics assay::parasite_density	88888888	:::UNDEF:::
diagnostics assay::parasite_density	diagnostics assay::parasite_density	99999999	:::UNDEF:::
diagnostics assay::initial_gametocytemia	diagnostics assay::initial_gametocytemia	88	:::UNDEF:::
diagnostics assay::initial_gametocytemia	diagnostics assay::initial_gametocytemia	88.88	:::UNDEF:::
diagnostics assay::initial_gametocytemia	diagnostics assay::initial_gametocytemia	99.99	:::UNDEF:::
diagnostics assay::gametocyte_density	diagnostics assay::gametocyte_density	8888	:::UNDEF:::
diagnostics assay::gametocyte_density	diagnostics assay::gametocyte_density	88888888	:::UNDEF:::
diagnostics assay::gametocyte_density	diagnostics assay::gametocyte_density	99999999	:::UNDEF:::
diagnostics assay::thick_blood	diagnostics assay::thick_blood	mixed_Pf/Pv	Mixed Plasmodium falciparum and Plasmodium vivax
diagnostics assay::thick_blood	diagnostics assay::thick_blood	Pf	Plasmodium falciparum
diagnostics assay::thick_blood	diagnostics assay::thick_blood	Pv	Plasmodium vivax
diagnostics assay::thick_blood	diagnostics assay::thick_blood	negative	Negative
diagnostics assay::thick_blood	diagnostics assay::thick_blood	na	:::UNDEF:::
diagnostics assay::thin_blood	diagnostics assay::thin_blood	mixed_Pf/Pv	Mixed Plasmodium falciparum and Plasmodium vivax
diagnostics assay::thin_blood	diagnostics assay::thin_blood	Pf	Plasmodium falciparum
diagnostics assay::thin_blood	diagnostics assay::thin_blood	Pv	Plasmodium vivax
diagnostics assay::thin_blood	diagnostics assay::thin_blood	negative	Negative
diagnostics assay::thin_blood	diagnostics assay::thin_blood	na	:::UNDEF:::
diagnostics assay::rdt	diagnostics assay::rdt	mixed_Pf/Pv	Mixed Plasmodium falciparum and Plasmodium vivax
diagnostics assay::rdt	diagnostics assay::rdt	Pf	Plasmodium falciparum
diagnostics assay::rdt	diagnostics assay::rdt	Pv	Plasmodium vivax
diagnostics assay::rdt	diagnostics assay::rdt	negative	Negative
diagnostics assay::rdt	diagnostics assay::rdt	na	:::UNDEF:::
inpatient_care_chart_review::x71._temperature	inpatient_care_chart_review::x71._temperature	0	:::UNDEF:::
inpatient_care_chart_review::x71._temperature	inpatient_care_chart_review::x71._temperature	-88	:::UNDEF:::
inpatient_care_chart_review::x71._temperature	inpatient_care_chart_review::x71._temperature	-99	:::UNDEF:::
inpatient_care_chart_review::x73._blood_pressure_._systolic	inpatient_care_chart_review::x73._blood_pressure_._systolic	-88	:::UNDEF:::
inpatient_care_chart_review::x74._blood_pressure_._diastolic	inpatient_care_chart_review::x74._blood_pressure_._diastolic	-88	:::UNDEF:::
inpatient_care_chart_review::x74._blood_pressure_._diastolic	inpatient_care_chart_review::x74._blood_pressure_._diastolic	0	:::UNDEF:::
inpatient_care_chart_review::x75._heart_rate	inpatient_care_chart_review::x75._heart_rate	-88	:::UNDEF:::
inpatient_care_chart_review::x76._respiration_rate	inpatient_care_chart_review::x76._respiration_rate	-88	:::UNDEF:::
inpatient_care_chart_review::x76._respiration_rate	inpatient_care_chart_review::x76._respiration_rate	-8	:::UNDEF:::
inpatient_care_chart_review::x77._glascow_coma_score_._eye	inpatient_care_chart_review::x77._glascow_coma_score_._eye	-88	:::UNDEF:::
inpatient_care_chart_review::x78._glascow_coma_score_._verbal	inpatient_care_chart_review::x78._glascow_coma_score_._verbal	-88	:::UNDEF:::
inpatient_care_chart_review::x79._glascow_coma_score_._motor	inpatient_care_chart_review::x79._glascow_coma_score_._motor	-88	:::UNDEF:::
inpatient_care_chart_review::x80._glascow_coma_score_._total	inpatient_care_chart_review::x80._glascow_coma_score_._total	-88	:::UNDEF:::
inpatient_care_chart_review::x81._blantyre_coma_score_._eye	inpatient_care_chart_review::x81._blantyre_coma_score_._eye	-88	:::UNDEF:::
inpatient_care_chart_review::x82._blantyre_coma_score_._verbal	inpatient_care_chart_review::x82._blantyre_coma_score_._verbal	-88	:::UNDEF:::
inpatient_care_chart_review::x83._blantyre_coma_score_._motor	inpatient_care_chart_review::x83._blantyre_coma_score_._motor	-88	:::UNDEF:::
inpatient_care_chart_review::x84._blantyre_coma_score_._total	inpatient_care_chart_review::x84._blantyre_coma_score_._total	-88	:::UNDEF:::
inpatient_care_chart_review::x84._blantyre_coma_score_._total	inpatient_care_chart_review::x84._blantyre_coma_score_._total	NA	Not applicable
inpatient_care_chart_review::x86._hemoglobin	inpatient_care_chart_review::x86._hemoglobin	-88	:::UNDEF:::
diagnostics assay::patient_hemoglobin	diagnostics assay::patient_hemoglobin	0	:::UNDEF:::
diagnostics assay::patient_hemoglobin	diagnostics assay::patient_hemoglobin	-88	:::UNDEF:::
inpatient_care_chart_review::x87._total_wbc_count	inpatient_care_chart_review::x87._total_wbc_count	-88	:::UNDEF:::
inpatient_care_chart_review::x88._hematocrit.pcv	inpatient_care_chart_review::x88._hematocrit.pcv	-88	:::UNDEF:::
inpatient_care_chart_review::x88._hematocrit.pcv	inpatient_care_chart_review::x88._hematocrit.pcv	88	:::UNDEF:::
inpatient_care_chart_review::x88._hematocrit.pcv	inpatient_care_chart_review::x88._hematocrit.pcv	99	:::UNDEF:::
inpatient_care_chart_review::x89._fasting_blood_sugar_level	inpatient_care_chart_review::x89._fasting_blood_sugar_level	-88	:::UNDEF:::
inpatient_care_chart_review::x90._blood_urea	inpatient_care_chart_review::x90._blood_urea	-88	:::UNDEF:::
inpatient_care_chart_review::x91._serum_creatinine	inpatient_care_chart_review::x91._serum_creatinine	-88	:::UNDEF:::
inpatient_care_chart_review::x92._serum_bilirubin_._total	inpatient_care_chart_review::x92._serum_bilirubin_._total	-88	:::UNDEF:::
inpatient_care_chart_review::x93._po2	inpatient_care_chart_review::x93._po2	-88	:::UNDEF:::
inpatient_care_chart_review::x93._po2	inpatient_care_chart_review::x93._po2	-99	:::UNDEF:::
inpatient_care_chart_review::x93._po2	inpatient_care_chart_review::x93._po2	99	:::UNDEF:::
inpatient_care_chart_review::x94._bicarbonates	inpatient_care_chart_review::x94._bicarbonates	88	:::UNDEF:::
inpatient_care_chart_review::x94._bicarbonates	inpatient_care_chart_review::x94._bicarbonates	-88	:::UNDEF:::
inpatient_care_chart_review::x94._bicarbonates	inpatient_care_chart_review::x94._bicarbonates	-99	:::UNDEF:::
inpatient_care_chart_review::x95._platelet_count	inpatient_care_chart_review::x95._platelet_count	-88	:::UNDEF:::
diagnostics assay::hematocrit	diagnostics assay::hematocrit	0	:::UNDEF:::
diagnostics assay::hematocrit	diagnostics assay::hematocrit	88	:::UNDEF:::
diagnostics assay::hematocrit	diagnostics assay::hematocrit	99	:::UNDEF:::
inpatient_treatment_drug_1::dose	inpatient_treatment_drug_1::dose	-88	:::UNDEF:::
inpatient_treatment_drug_2::dose	inpatient_treatment_drug_2::dose	-88	:::UNDEF:::
inpatient_treatment_drug_3::dose	inpatient_treatment_drug_3::dose	-88	:::UNDEF:::
inpatient_treatment_drug_4::dose	inpatient_treatment_drug_4::dose	-88	:::UNDEF:::
inpatient_treatment_drug_5::dose	inpatient_treatment_drug_5::dose	-88	:::UNDEF:::
dose	dose	-88	:::UNDEF:::
inpatient_care_chart_review::x68._date_of_observation_collection	OBI_0001619	1904-01-01	2017-01-07
samp_coll_form_3::x30._antimalarial_therapy_initiation_at_gmc_date	samp_coll_form_3::x30._antimalarial_therapy_initiation_at_gmc_date	3015-07-30	2015-07-30
diagnostics assay::bacteria_seen_in_slide	diagnostics assay::bacteria_seen_in_slide	NA	Not applicable
diagnostics assay::bacteria_seen_in_slide	diagnostics assay::bacteria_seen_in_slide	missing	Missing
inpatient_treatment_drug_2::x57i._timepoint	inpatient_treatment_drug_2::x57i._timepoint	na	:::UNDEF:::
timepoint	timepoint	na	:::UNDEF:::
inpatient_care_chart_review::observationType	BFO_0000015	Enrollment	Enrollment	1
inpatient_care_chart_review::observationType	BFO_0000015	Inpatient care chart review	Inpatient care chart review	2
inpatient_care_chart_review::observationType	BFO_0000015	Treatment	Treatment	3
