Full Name	Term IRI	Parent	Parent IRI	ID	Comment name (GeneBank)	definition	Synonym	Package	type	Term type
HRT	http://purl.obolibrary.org/obo/MICRO_0000224	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_hrt	hrt	whether subject had hormone replacement theraphy, and if yes start date		environmental package	human-vaginal	variable
hysterectomy	http://purl.obolibrary.org/obo/MICRO_0000227	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_hysterectomy	hysterectomy	specification of whether hysterectomy was performed		environmental package	human-vaginal	variable
menarche	http://purl.obolibrary.org/obo/MICRO_0000249	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_menarche	menarche	date of most recent menstruation		environmental package	human-vaginal	variable
menopause	http://purl.obolibrary.org/obo/MICRO_0000250	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_menopause	menopause	date of onset of menopause		environmental package	human-vaginal	variable
pregnancy	http://purl.obolibrary.org/obo/MICRO_0000293	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_pregnancy	pregnancy	date due of pregnancy		environmental package	human-vaginal	variable
sexual activity	http://purl.obolibrary.org/obo/MICRO_0000320	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_sexual_act	sexual_act	current sexual partner and frequency of sex		environmental package	human-vaginal	variable
urogenital disorder	http://purl.obolibrary.org/obo/MICRO_0000376	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_urogenit_disord	urogenit_disord	history of urogenital disorders, can include multiple disorders		environmental package	human-vaginal	variable
alkalinity	http://purl.obolibrary.org/obo/MICRO_0000140	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate		environmental package	microbial mat/biofilm	variable
alkyl diethers	http://purl.obolibrary.org/obo/MICRO_0000141	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_alkyl_diethers	alkyl_diethers	concentration of alkyl diethers 		environmental package	microbial mat/biofilm	variable
aminopeptidase activity	http://purl.obolibrary.org/obo/MICRO_0000143	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_aminopept_act	aminopept_act	measurement of aminopeptidase activity		environmental package	microbial mat/biofilm	variable
ammonium	http://purl.obolibrary.org/obo/MICRO_0000144	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_ammonium	ammonium	concentration of ammonium		environmental package	microbial mat/biofilm	variable
bacterial carbon production	http://purl.obolibrary.org/obo/MICRO_0000151	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_bacteria_carb_prod	bacteria_carb_prod	measurement of bacterial carbon production		environmental package	microbial mat/biofilm	variable
biomass	http://purl.obolibrary.org/obo/MICRO_0000154	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_biomass	biomass	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements		environmental package	microbial mat/biofilm	variable
bishomohopanol	http://purl.obolibrary.org/obo/MICRO_0000156	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_bishomohopanol	bishomohopanol	concentration of bishomohopanol 		environmental package	microbial mat/biofilm	variable
bromide	http://purl.obolibrary.org/obo/MICRO_0000158	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_bromide	bromide	concentration of bromide 		environmental package	microbial mat/biofilm	variable
calcium	http://purl.obolibrary.org/obo/MICRO_0000161	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_calcium	calcium	concentration of calcium		environmental package	microbial mat/biofilm	variable
carbon/nitrogen ratio	http://purl.obolibrary.org/obo/MICRO_0000164	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_carb_nitro_ratio	carb_nitro_ratio	ratio of amount or concentrations of carbon to nitrogen		environmental package	microbial mat/biofilm	variable
chloride	http://purl.obolibrary.org/obo/MICRO_0000168	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_chloride	chloride	concentration of chloride 		environmental package	microbial mat/biofilm	variable
chlorophyll	http://purl.obolibrary.org/obo/MICRO_0000169	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_chlorophyll	chlorophyll	concentration of chlorophyll		environmental package	microbial mat/biofilm	variable
diether lipids	http://purl.obolibrary.org/obo/MICRO_0000181	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diether_lipids	diether_lipids	concentration of diether lipids; can include multiple types of diether lipids		environmental package	microbial mat/biofilm	variable
dissolved carbon dioxide	http://purl.obolibrary.org/obo/MICRO_0000182	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_carb_dioxide	diss_carb_dioxide	concentration of dissolved carbon dioxide		environmental package	microbial mat/biofilm	variable
dissolved hydrogen	http://purl.obolibrary.org/obo/MICRO_0000183	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_hydrogen	diss_hydrogen	concentration of dissolved hydrogen		environmental package	microbial mat/biofilm	variable
dissolved inorganic carbon	http://purl.obolibrary.org/obo/MICRO_0000184	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_inorg_carb	diss_inorg_carb	dissolved inorganic carbon concentration		environmental package	microbial mat/biofilm	variable
dissolved organic carbon	http://purl.obolibrary.org/obo/MICRO_0000187	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_org_carb	diss_org_carb	concentration of dissolved organic carbon		environmental package	microbial mat/biofilm	variable
dissolved organic nitrogen	http://purl.obolibrary.org/obo/MICRO_0000188	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_org_nitro	diss_org_nitro	dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2		environmental package	microbial mat/biofilm	variable
dissolved oxygen	http://purl.obolibrary.org/obo/MICRO_0000189	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_diss_oxygen	diss_oxygen	concentration of dissolved oxygen		environmental package	microbial mat/biofilm	variable
glucosidase activity	http://purl.obolibrary.org/obo/MICRO_0000212	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_glucosidase_act	glucosidase_act	measurement of glucosidase activity		environmental package	microbial mat/biofilm	variable
magnesium	http://purl.obolibrary.org/obo/MICRO_0000243	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_magnesium	magnesium	concentration of magnesium		environmental package	microbial mat/biofilm	variable
mean friction velocity	http://purl.obolibrary.org/obo/MICRO_0000245	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_mean_frict_vel	mean_frict_vel	measurement of mean friction velocity		environmental package	microbial mat/biofilm	variable
mean peak friction velocity	http://purl.obolibrary.org/obo/MICRO_0000246	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_mean_peak_frict_vel	mean_peak_frict_vel	measurement of mean peak friction velocity		environmental package	microbial mat/biofilm	variable
n-alkanes	http://purl.obolibrary.org/obo/MICRO_0000256	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_n_alkanes	n_alkanes	concentration of n-alkanes; can include multiple n-alkanes		environmental package	microbial mat/biofilm	variable
nitrate	http://purl.obolibrary.org/obo/MICRO_0000257	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_nitrate	nitrate	concentration of nitrate		environmental package	microbial mat/biofilm	variable
nitrite	http://purl.obolibrary.org/obo/MICRO_0000258	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_nitrite	nitrite	concentration of nitrite		environmental package	microbial mat/biofilm	variable
nitrogen	http://purl.obolibrary.org/obo/MICRO_0000259	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_nitro	nitro	concentration of nitrogen (total)		environmental package	microbial mat/biofilm	variable
organic carbon	http://purl.obolibrary.org/obo/MICRO_0000265	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_org_carb	org_carb	concentration of organic carbon		environmental package	microbial mat/biofilm	variable
organic matter	http://purl.obolibrary.org/obo/MICRO_0000266	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_org_matter	org_matter	concentration of organic matter 		environmental package	microbial mat/biofilm	variable
organic nitrogen	http://purl.obolibrary.org/obo/MICRO_0000267	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_org_nitro	org_nitro	concentration of organic nitrogen		environmental package	microbial mat/biofilm	variable
particulate organic carbon	http://purl.obolibrary.org/obo/MICRO_0000272	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_part_org_carb	part_org_carb	concentration of particulate organic carbon		environmental package	microbial mat/biofilm	variable
petroleum hydrocarbon	http://purl.obolibrary.org/obo/MICRO_0000278	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_petroleum_hydrocarb	petroleum_hydrocarb	concentration of petroleum hydrocarbon		environmental package	microbial mat/biofilm	variable
pH	http://purl.obolibrary.org/obo/MICRO_0000279	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_ph	ph	pH measurement		environmental package	microbial mat/biofilm	variable
phaeopigments	http://purl.obolibrary.org/obo/MICRO_0000282	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_phaeopigments	phaeopigments	concentration of phaeopigments; can include multiple phaeopigments		environmental package	microbial mat/biofilm	variable
phosphate	http://purl.obolibrary.org/obo/MICRO_0000283	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_phosphate	phosphate	concentration of phosphate		environmental package	microbial mat/biofilm	variable
phospholipid fatty acid	http://purl.obolibrary.org/obo/MICRO_0000284	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_phosplipid_fatt_acid	phosplipid_fatt_acid	concentration of phospholipid fatty acids; can include multiple values		environmental package	microbial mat/biofilm	variable
potassium	http://purl.obolibrary.org/obo/MICRO_0000291	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_potassium	potassium	concentration of potassium 		environmental package	microbial mat/biofilm	variable
pressure	http://purl.obolibrary.org/obo/MICRO_0000294	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_pressure	pressure	pressure to which the sample is subject, in atmospheres		environmental package	microbial mat/biofilm	variable
redox potential	http://purl.obolibrary.org/obo/MICRO_0000304	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_redox_potential	redox_potential	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential		environmental package	microbial mat/biofilm	variable
salinity	http://purl.obolibrary.org/obo/MICRO_0000307	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_salinity	salinity	salinity measurement		environmental package	microbial mat/biofilm	variable
silicate	http://purl.obolibrary.org/obo/MICRO_0000322	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_silicate	silicate	concentration of silicate		environmental package	microbial mat/biofilm	variable
sodium	http://purl.obolibrary.org/obo/MICRO_0000327	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_sodium	sodium	sodium concentration		environmental package	microbial mat/biofilm	variable
sulfate	http://purl.obolibrary.org/obo/MICRO_0000340	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_sulfate	sulfate	concentration of sulfate		environmental package	microbial mat/biofilm	variable
sulfide	http://purl.obolibrary.org/obo/MICRO_0000341	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_sulfide	sulfide	concentration of sulfide		environmental package	microbial mat/biofilm	variable
total carbon	http://purl.obolibrary.org/obo/MICRO_0000359	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_tot_carb	tot_carb	total carbon content		environmental package	microbial mat/biofilm	variable
total nitrogen	http://purl.obolibrary.org/obo/MICRO_0000364	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_tot_nitro	tot_nitro	total nitrogen content of the sample		environmental package	microbial mat/biofilm	variable
total nitrogen	http://purl.obolibrary.org/obo/MICRO_0000365	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_tot_nitro	tot_nitro	total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen		environmental package	microbial mat/biofilm	variable
total organic carbon	http://purl.obolibrary.org/obo/MICRO_0000367	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_tot_org_carb	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content		environmental package	microbial mat/biofilm	variable
turbidity	http://purl.obolibrary.org/obo/MICRO_0000372	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_turbidity	turbidity	turbidity measurement		environmental package	microbial mat/biofilm	variable
water content	http://purl.obolibrary.org/obo/MICRO_0000382	microbial mat/biofilm	http://purl.obolibrary.org/obo/MICRO_0000010	MiXS_water_content	water_content	water content measurement		environmental package	microbial mat/biofilm	variable
density	http://purl.obolibrary.org/obo/MICRO_0000176	miscellaneous natural or artificial environment	http://purl.obolibrary.org/obo/MICRO_0000011	MiXS_density	density	density of sample		environmental package	miscellaneous natural or artificial environment	variable
water current	http://purl.obolibrary.org/obo/MICRO_0000384	miscellaneous natural or artificial environment	http://purl.obolibrary.org/obo/MICRO_0000011	MiXS_water_current	water_current	measurement of magnitude and direction of flow within a fluid		environmental package	miscellaneous natural or artificial environment	variable
host wet mass	http://purl.obolibrary.org/obo/MICRO_0000133	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_host_wet_mass	host_wet_mass	measurement of wet mass	wet_mass	environmental package	plant-associated	variable
air temperature regimen	http://purl.obolibrary.org/obo/MICRO_0000137	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_air_temp_regm	air_temp_regm	information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens		environmental package	plant-associated	variable
chemical mutagen	http://purl.obolibrary.org/obo/MICRO_0000166	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_chem_mutagen	chem_mutagen	treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens		environmental package	plant-associated	variable
climate environment	http://purl.obolibrary.org/obo/MICRO_0000170	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_climate_environment	climate_environment	treatment involving an exposure to a particular climate; can include multiple climates		environmental package	plant-associated	variable
fertilizer regimen	http://purl.obolibrary.org/obo/MICRO_0000201	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_fertilizer_regm	fertilizer_regm	information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens		environmental package	plant-associated	variable
fungicide regimen	http://purl.obolibrary.org/obo/MICRO_0000207	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_fungicide_regm	fungicide_regm	information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens		environmental package	plant-associated	variable
gaseous environment	http://purl.obolibrary.org/obo/MICRO_0000208	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_gaseous_environment	gaseous_environment	use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens		environmental package	plant-associated	variable
gravity	http://purl.obolibrary.org/obo/MICRO_0000214	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_gravity	gravity	information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments		environmental package	plant-associated	variable
growth hormone regimen	http://purl.obolibrary.org/obo/MICRO_0000215	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_growth_hormone_regm	growth_hormone_regm	information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens		environmental package	plant-associated	variable
growth media	http://purl.obolibrary.org/obo/MICRO_0000216	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_growth_med	growth_med	information about growth media for growing the plants or tissue cultured samples		environmental package	plant-associated	variable
herbicide regimen	http://purl.obolibrary.org/obo/MICRO_0000221	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_herbicide_regm	herbicide_regm	information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens		environmental package	plant-associated	variable
humidity regimen	http://purl.obolibrary.org/obo/MICRO_0000226	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_humidity_regm	humidity_regm	information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens		environmental package	plant-associated	variable
mechanical damage	http://purl.obolibrary.org/obo/MICRO_0000247	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_mechanical_damage	mechanical_damage	information about any mechanical damage exerted on the plant; can include multiple damages and sites		environmental package	plant-associated	variable
mineral nutrient regimen	http://purl.obolibrary.org/obo/MICRO_0000254	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_mineral_nutr_regm	mineral_nutr_regm	information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens		environmental package	plant-associated	variable
non-mineral nutrient regimen	http://purl.obolibrary.org/obo/MICRO_0000260	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_non_mineral_nutr_regm	non_mineral_nutr_regm	information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens		environmental package	plant-associated	variable
pesticide regimen	http://purl.obolibrary.org/obo/MICRO_0000276	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_pesticide_regm	pesticide_regm	information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens		environmental package	plant-associated	variable
pH regimen	http://purl.obolibrary.org/obo/MICRO_0000281	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_ph_regm	ph_regm	information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen		environmental package	plant-associated	variable
plant body site	http://purl.obolibrary.org/obo/MICRO_0000286	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_plant_body_site	plant_body_site	name of body site that the sample was obtained from. For Plant Ontology (PO) (v 20) terms, see http://purl.bioontology.org/ontology/PO		environmental package	plant-associated	variable
plant product	http://purl.obolibrary.org/obo/MICRO_0000287	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_plant_product	plant_product	substance produced by the plant, where the sample was obtained from		environmental package	plant-associated	variable
radiation regimen	http://purl.obolibrary.org/obo/MICRO_0000301	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_radiation_regm	radiation_regm	information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens		environmental package	plant-associated	variable
rainfall regimen	http://purl.obolibrary.org/obo/MICRO_0000302	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_rainfall_regm	rainfall_regm	information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens		environmental package	plant-associated	variable
salt regimen	http://purl.obolibrary.org/obo/MICRO_0000309	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_salt_regm	salt_regm	information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens		environmental package	plant-associated	variable
seasonal environment	http://purl.obolibrary.org/obo/MICRO_0000316	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_season_environment	season_environment	treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)		environmental package	plant-associated	variable
standing water regimen	http://purl.obolibrary.org/obo/MICRO_0000336	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_standing_water_regm	standing_water_regm	treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water; can include multiple regimens		environmental package	plant-associated	variable
tissue culture growth media	http://purl.obolibrary.org/obo/MICRO_0000358	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_tiss_cult_growth_med	tiss_cult_growth_med	description of plant tissue culture growth media used		environmental package	plant-associated	variable
water temperature regimen	http://purl.obolibrary.org/obo/MICRO_0000385	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_water_temp_regm	water_temp_regm	information about treatment involving an exposure to water with varying degree of temperature; can include multiple regimens		environmental package	plant-associated	variable
watering regimen	http://purl.obolibrary.org/obo/MICRO_0000386	plant-associated	http://purl.obolibrary.org/obo/MICRO_0000012	MiXS_watering_regm	watering_regm	information about treatment involving an exposure to watering frequencies; can include multiple regimens		environmental package	plant-associated	variable
particle classification	http://purl.obolibrary.org/obo/MICRO_0000274	sediment	http://purl.obolibrary.org/obo/MICRO_0000013	MiXS_particle_class	particle_class	particles are classified, based on their size, into six general categories:clay, silt, sand, gravel, cobbles, and boulders; should include amount of particle preceded by the name of the particle type; can include multiple values		environmental package	sediment	variable
porosity	http://purl.obolibrary.org/obo/MICRO_0000290	sediment	http://purl.obolibrary.org/obo/MICRO_0000013	MiXS_porosity	porosity	porosity of deposited sediment is volume of voids divided by the total volume of sample		environmental package	sediment	variable
sediment type	http://purl.obolibrary.org/obo/MICRO_0000318	sediment	http://purl.obolibrary.org/obo/MICRO_0000013	MiXS_sediment_type	sediment_type	information about the sediment type based on major constituents		environmental package	sediment	variable
tidal stage	http://purl.obolibrary.org/obo/MICRO_0000354	sediment	http://purl.obolibrary.org/obo/MICRO_0000013	MiXS_tidal_stage	tidal_stage	stage of tide		environmental package	sediment	variable
history/agrochemical additions	http://purl.obolibrary.org/obo/MICRO_0000135	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_agrochem_addition	agrochem_addition	addition of fertilizers, pesticides, etc. - amount and time of applications		environmental package	soil	variable
extreme_unusual_properties/Al saturation	http://purl.obolibrary.org/obo/MICRO_0000138	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_al_sat	al_sat	aluminum saturation (esp. for tropical soils)		environmental package	soil	variable
extreme_unusual_properties/Al saturation method	http://purl.obolibrary.org/obo/MICRO_0000139	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_al_sat_meth	al_sat_meth	reference or method used in determining Al saturation		environmental package	soil	variable
mean annual and seasonal precipitation	http://purl.obolibrary.org/obo/MICRO_0000146	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_annual_season_precpt	annual_season_precpt	mean annual and seasonal precipitation		environmental package	soil	variable
mean annual and seasonal temperature	http://purl.obolibrary.org/obo/MICRO_0000147	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_annual_season_temp	annual_season_temp	mean annual and seasonal temperature		environmental package	soil	variable
history/crop rotation	http://purl.obolibrary.org/obo/MICRO_0000172	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_crop_rotation	crop_rotation	whether or not crop is rotated, and if yes, rotation schedule		environmental package	soil	variable
current land use	http://purl.obolibrary.org/obo/MICRO_0000173	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_cur_land_use	cur_land_use	present state of sample site		environmental package	soil	variable
current vegetation	http://purl.obolibrary.org/obo/MICRO_0000174	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_cur_vegetation	cur_vegetation	vegetation classification from one or more standard classification systems, or agricultural crop		environmental package	soil	variable
current vegetation method	http://purl.obolibrary.org/obo/MICRO_0000175	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_cur_vegetation_meth	cur_vegetation_meth	reference or method used in vegetation classification 		environmental package	soil	variable
drainage classification	http://purl.obolibrary.org/obo/MICRO_0000193	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_drainage_class	drainage_class	drainage classification from a standard system such as the USDA system		environmental package	soil	variable
history/extreme events	http://purl.obolibrary.org/obo/MICRO_0000198	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_extreme_event	extreme_event	unusual physical events that may have affected microbial populations		environmental package	soil	variable
extreme_unusual_properties/salinity	http://purl.obolibrary.org/obo/MICRO_0000199	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_extreme_salinity	extreme_salinity	measured salinity 		environmental package	soil	variable
soil_taxonomic/FAO classification	http://purl.obolibrary.org/obo/MICRO_0000200	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_fao_class	fao_class	soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups		environmental package	soil	variable
history/fire	http://purl.obolibrary.org/obo/MICRO_0000203	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_fire	fire	historical and/or physical evidence of fire		environmental package	soil	variable
history/flooding	http://purl.obolibrary.org/obo/MICRO_0000204	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_flooding	flooding	historical and/or physical evidence of flooding		environmental package	soil	variable
extreme_unusual_properties/heavy metals	http://purl.obolibrary.org/obo/MICRO_0000219	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_heavy_metals	heavy_metals	heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations		environmental package	soil	variable
extreme_unusual_properties/heavy metals method	http://purl.obolibrary.org/obo/MICRO_0000220	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_heavy_metals_meth	heavy_metals_meth	reference or method used in determining heavy metals		environmental package	soil	variable
horizon	http://purl.obolibrary.org/obo/MICRO_0000222	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_horizon	horizon	specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath		environmental package	soil	variable
horizon method	http://purl.obolibrary.org/obo/MICRO_0000223	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_horizon_meth	horizon_meth	reference or method used in determining the horizon		environmental package	soil	variable
links to additional analysis	http://purl.obolibrary.org/obo/MICRO_0000237	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_link_addit_analys	link_addit_analys	link to additional analysis results performed on the sample		environmental package	soil	variable
link to classification information	http://purl.obolibrary.org/obo/MICRO_0000238	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_link_class_info	link_class_info	link to digitized soil maps or other soil classification information		environmental package	soil	variable
link to climate information	http://purl.obolibrary.org/obo/MICRO_0000239	soil	http://purl.obolibrary.org/obo/MICRO_0000014	MiXS_link_climate_info	link_climate_info	link to climate resource		environmental package	soil	variable
