variable,colOrder,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag,IRI,label,displayOrder,parentLabel,parentIRI
wealthindex,87,household survey household level data_final,keep,,Household,Wealth index (continuous),,variable,,,,wealthindex,household survey household level data_final::wealthindex,dbl,-1.075622797,NA,NA,-2.11334681510925 to 2.82161521911621,19,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",NA,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932
wealthcat,88,household survey household level data_final,keep,,Household,Wealth categories,,variable,,,,wealthcat,household survey household level data_final::wealthcat,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",NA,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932
hhid,1,household_screening_final,discard,NA,NA,Household ID number,NA,NA,,,,hhid,household_screening_final::hhid,dbl,101000101,NA,NA,101000101 to 315032901,326,NA,0,duplicated variable,NA,NA,NA,NA,NA
district,2,household_screening_final,discard,NA,NA,District,NA,NA,,,,District,household_screening_final::district,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
parish,3,household_screening_final,discard,NA,NA,Parish,NA,NA,,,,Parish,household_screening_final::parish,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
village,4,household_screening_final,discard,NA,NA,Village,NA,NA,,,,Village,household_screening_final::village,dbl+lbl,101,NA,NA,101 to 315,11,NA,0,duplicated variable,NA,NA,NA,NA,NA
latitude,5,household_screening_final,discard,NA,NA,Latitude,NA,NA,,,,Latitude,household_screening_final::latitude,dbl,0.555121042,NA,NA,0.554264998063444 to 0.615984974429011,325,NA,0,duplicated variable,NA,NA,NA,NA,NA
longitude,6,household_screening_final,discard,NA,NA,Longitude,NA,NA,,,,Longitude,household_screening_final::longitude,dbl,34.12739703,NA,NA,34.1134860087186 to 34.1765019949525,325,NA,0,duplicated variable,NA,NA,NA,NA,NA
elevation,7,household_screening_final,discard,NA,NA,Elevation in meters,NA,NA,,,,Elevation,household_screening_final::elevation,dbl,1132.827393,NA,NA,1093.274658 to 1192.300537,324,NA,0.006134969,duplicated variable,NA,NA,NA,NA,NA
date,8,household_screening_final,discard,,Observation,Date of screening,NA,variable,,,,date,household_screening_final::date,chr,8/10/20,date?,%Y-%m-%d,>10 unique values,12,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,1,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
hhlno,9,household_screening_final,discard,NA,NA,Household log number,NA,NA,,,,hhlno,household_screening_final::hhlno,dbl,18,NA,NA,1 to 140,140,NA,0,NA,NA,NA,NA,NA,NA
hhoccupied,10,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,hhoccupied,household_screening_final::hhoccupied,dbl,1,NA,NA,0 to 1,2,NA,0,NA,NA,NA,NA,NA,NA
adultavailable,11,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,adultavailable,household_screening_final::adultavailable,dbl,1,NA,NA,-9 to 1,2,NA,0,NA,NA,NA,NA,NA,NA
agerange,12,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,agerange,household_screening_final::agerange,dbl,0,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
nomore,13,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,nomore,household_screening_final::nomore,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
plansmove,14,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,plansmove,household_screening_final::plansmove,dbl,-9,NA,NA,-9 to 1,2,NA,0,NA,NA,NA,NA,NA,NA
entostudies,15,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,entostudies,household_screening_final::entostudies,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
clinicscreening,16,household_screening_final,discard,NA,NA,NULL,NA,NA,,,,clinicscreening,household_screening_final::clinicscreening,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
clinsdate,17,household_screening_final,discard,NA,NA,Date for screening in clinic,NA,NA,,,,clinsdate,household_screening_final::clinsdate,chr,8/19/20,date?,%Y-%m-%d,>10 unique values,12,NA,0.754601227,NA,NA,NA,NA,NA,NA
hhenrol,18,household_screening_final,discard,NA,NA,Whether household enrolled,NA,NA,,,,hhenrol,household_screening_final::hhenrol,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,NA,NA,NA,NA,NA,NA
reasonexcluded,19,household_screening_final,discard,NA,NA,Reason household not enrolled,NA,NA,,,,reasonexcluded,household_screening_final::reasonexcluded,dbl+lbl,3,NA,NA,1 to 7,5,NA,0.245398773,NA,NA,NA,NA,NA,NA
cohortid,1,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Participant ID number,NA,NA,,,,cohortid,prism border cohort study all visits database through october 31st 2020::cohortid,dbl,244,NA,NA,1 to 483,483,NA,0,duplicated variable,NA,NA,NA,NA,NA
hhid,2,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Household ID number,NA,NA,,,,hhid,prism border cohort study all visits database through october 31st 2020::hhid,dbl,212001203,NA,NA,101005301 to 315032601,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
district,3,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,District,NA,NA,,,,District,prism border cohort study all visits database through october 31st 2020::district,dbl+lbl,2,NA,NA,1 to 2,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
parish,4,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Parish,NA,NA,,,,Parish,prism border cohort study all visits database through october 31st 2020::parish,dbl+lbl,2,NA,NA,1 to 3,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
zones,5,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Zones,NA,NA,,,,Zones,prism border cohort study all visits database through october 31st 2020::zones,dbl+lbl,3,NA,NA,1 to 4,4,NA,0,duplicated variable,NA,NA,NA,NA,NA
village,6,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Village,NA,NA,,,,Village,prism border cohort study all visits database through october 31st 2020::village,dbl+lbl,212,NA,NA,101 to 315,10,NA,0,duplicated variable,NA,NA,NA,NA,NA
screening,7,prism border cohort study all visits database through october 31st 2020,discard,,Participant,Timing of screening,,variable,,,,screening,prism border cohort study all visits database through october 31st 2020::screening,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000219,Timing of enrollment,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
dob,8,prism border cohort study all visits database through october 31st 2020,discard,,Participant,Date of birth,NA,variable,,,,dob,prism border cohort study all visits database through october 31st 2020::dob,date,18117,NA,NA,-6358 to 18483,441,NA,0,duplicated variable,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,NA,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981
enrolldate,9,prism border cohort study all visits database through october 31st 2020,discard,Date of Enrollment,Participant,Date of enrollment,NA,variable,,,,enrolldate,prism border cohort study all visits database through october 31st 2020::enrolldate,date,18499,date?,NA,18484 to 18547,23,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
date,10,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Date of visit,NA,variable,,,,date,prism border cohort study all visits database through october 31st 2020::date,date,18547,date?,NA,18484 to 18566,79,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,1,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
uniqueid,11,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Unique ID number (id+date),NA,NA,,,,uniqueid,prism border cohort study all visits database through october 31st 2020::uniqueid,dbl,24422200,NA,NA,122137 to 48322200,1896,NA,0,duplicated variable,NA,NA,NA,NA,NA
monthyear,12,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Month and year,NA,NA,,,,monthyear,prism border cohort study all visits database through october 31st 2020::monthyear,dbl,729,NA,NA,727 to 729,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
fuday,13,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Number of days since enrollment,NA,NA,,,,fuday,prism border cohort study all visits database through october 31st 2020::fuday,dbl,48,NA,NA,0 to 81,81,NA,0,NA,NA,NA,NA,NA,NA
gender,14,prism border cohort study all visits database through october 31st 2020,discard,,Participant,Gender,"1-Male
2-Female",variable,,,,gender,prism border cohort study all visits database through october 31st 2020::gender,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,NA,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981
ageyrs,15,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Age in years,,variable,,,,ageyrs,prism border cohort study all visits database through october 31st 2020::ageyrs,dbl,1.178082228,NA,NA,0.0493150688707829 to 68.2547912597656,1654,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),2,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
agecat,16,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Age categories,,variable,,,,agecat,prism border cohort study all visits database through october 31st 2020::agecat,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020222,Age at visit categorization,3,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
visittype,17,prism border cohort study all visits database through october 31st 2020,discard,"Information about clincial history, anthropometry, vital signs, symptoms, samples, and treatment were collected at enrollment as well as routine and non-routine visits to the cinic. Information about sleeping habits and mosquito traps were collected at entomology visits to the participant's home, which occured every 2 weeks.",Observation,Type of clinic visit,"1- Routine visit (done every 28 days)
2- Non-routine visit(all unsheduled days)",variable,,,,visittype,prism border cohort study all visits database through october 31st 2020::visittype,dbl+lbl,2,NA,NA,0 to 2,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,1,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738
childbearing,18,prism border cohort study all visits database through october 31st 2020,discard,Only assessed for women,Observation,Whether a woman of childbearing age,"1-Yes
0-No",variable,,,,childbearing,prism border cohort study all visits database through october 31st 2020::childbearing,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.040084388,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020059,Child bearing age,5,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002
pregnant,19,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Whether pregnant if woman of childbearing age,"1-Yes
0-No",variable,,,,pregnant,prism border cohort study all visits database through october 31st 2020::pregnant,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/UBERON_0009097,Pregnant,6,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002
trimister,20,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Trimester if pregnant,"1- 1st Trimister
2- 2nd Trimister
3- 3rd Trimister",variable,,,,trimister,prism border cohort study all visits database through october 31st 2020::trimister,dbl+lbl,-9,NA,NA,-9 to 3,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/NCIT_C69121,Trimester,7,Pregnancy,http://purl.obolibrary.org/obo/EUPATH_0042004
careoutside,21,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Any outside medical care since last visit,"1-Yes
0-No",variable,,,,careoutside,prism border cohort study all visits database through october 31st 2020::careoutside,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,1,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
wcaregiven1,22,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Where outside care given 1st time,NA,variable,,,,wcaregiven1,prism border cohort study all visits database through october 31st 2020::wcaregiven1,chr,-9,NA,NA,", -9, Clinic, Drug shop, Home, Private clinic, home",6,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021100,Other health facility name,3,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
cdate1,23,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Date of outside care 1st time,NA,variable,,,,cdate1,prism border cohort study all visits database through october 31st 2020::cdate1,chr,9/13/20,date?,%Y-%m-%d,>10 unique values,13,NA,0.991033755,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020137,Other health facility visit date,4,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
diagnosis1,24,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Diagnosis given 1st time,NA,variable,,,,diagnosis1,prism border cohort study all visits database through october 31st 2020::diagnosis1,chr,-9,NA,NA,>10 unique values,10,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020135,Other health facility diagnosis,6,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
bsdone1,25,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Whether BS was done 1st time,"1-Yes
0-No
9 - Don't know",variable,,,,bsdone1,prism border cohort study all visits database through october 31st 2020::bsdone1,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020134,Other health facility blood smear done,5,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
wcaregiven2,26,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Where outside care given 2nd time,NA,NA,,,,wcaregiven2,prism border cohort study all visits database through october 31st 2020::wcaregiven2,dbl,-9,NA,NA,-9 to -9,1,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
cdate2,27,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Date of outside care 2nd time,NA,NA,,,,cdate2,prism border cohort study all visits database through october 31st 2020::cdate2,dbl,NA,date?,NA,Inf to -Inf,0,NA,1,no data,NA,NA,NA,NA,NA
diagnosis2,28,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Diagnosis given 2nd time,NA,NA,,,,diagnosis2,prism border cohort study all visits database through october 31st 2020::diagnosis2,dbl,-9,NA,NA,-9 to -9,1,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
bsdone2,29,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Whether BS was done 2nd time,NA,NA,,,,bsdone2,prism border cohort study all visits database through october 31st 2020::bsdone2,dbl+lbl,-9,NA,NA,-9 to -9,1,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
osantimalarial,30,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Outside antimalarial given since last visit,"1-Yes
0-No",variable,,,,osantimalarial,prism border cohort study all visits database through october 31st 2020::osantimalarial,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020168,Received antimalarial treatment,2,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
antimalarial1,31,prism border cohort study all visits database through october 31st 2020,discard,,Observation,1st antimalarial given,NA,variable,,,,antimalarial1,prism border cohort study all visits database through october 31st 2020::antimalarial1,chr,-9,NA,NA,", -9, Artemether, SP, T.AL",4,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020133,Other health facility antimalarial treatment,7,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
dose1,32,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Dose of 1st antimalarial given,NA,variable,,,,dose1,prism border cohort study all visits database through october 31st 2020::dose1,chr,-9,NA,NA,", -9, 1, 3 tabs, 300mg, 40/240mg, 40mg",6,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020132,Other health facility antimalarial dose,8,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
lgdate1,33,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Last date 1st antimalarial given,NA,variable,,,,lgdate1,prism border cohort study all visits database through october 31st 2020::lgdate1,chr,9/14/20,date?,%Y-%m-%d,", 2020-08-31, 2020-09-10, 2020-09-14, 2020-09-24, 2020-09-29",5,NA,0.997362869,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020136,Other health facility last antimalarial date,9,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
antimalarial2,34,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,2nd antimalarial given,NA,NA,,,,antimalarial2,prism border cohort study all visits database through october 31st 2020::antimalarial2,chr,-9,NA,NA,", -9, AL",2,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
dose2,35,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Dose of 2nd antimalarial given,NA,NA,,,,dose2,prism border cohort study all visits database through october 31st 2020::dose2,chr,-9,NA,NA,", -9, 4 tabs",2,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
lgdate2,36,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Last date 2nd antimalarial given,NA,NA,,,,lgdate2,prism border cohort study all visits database through october 31st 2020::lgdate2,chr,9/30/20,date?,%Y-%m-%d,", 2020-09-30",1,NA,0.999472574,duplicated variable,NA,NA,NA,NA,NA
itnlastnight,37,prism border cohort study all visits database through october 31st 2020,discard,Asked at clinic visits,Observation,Did the participant sleep under an LLIN last night,"1-Yes
0-No",variable,,,,itnlastnight,prism border cohort study all visits database through october 31st 2020::itnlastnight,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000216,ITN last night,NA,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097
lastvisit,38,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Date of last visit,NA,NA,,,,lastvisit,prism border cohort study all visits database through october 31st 2020::lastvisit,chr,9/21/20,date?,%Y-%m-%d,>10 unique values,70,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
travelout,39,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Any overnight travel since last visit,NA,variable,,,,travelout,prism border cohort study all visits database through october 31st 2020::travelout,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.254746835,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020181,Traveled since last clinic visit,NA,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340
headofhh,40,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Is this the head of the household?,NA,NA,,,,headofhh,prism border cohort study all visits database through october 31st 2020::headofhh,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
visitors,41,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Any overnight visitors since last clinic visit,NA,NA,,,,visitors,prism border cohort study all visits database through october 31st 2020::visitors,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0.254746835,duplicated variable,NA,NA,NA,NA,NA
temperature,42,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Measured temperature,NA,variable,,,,temperature,prism border cohort study all visits database through october 31st 2020::temperature,dbl,37,NA,NA,35 to 39.7000007629395,47,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),1,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
height,43,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Height in cm,NA,variable,,,,height,prism border cohort study all visits database through october 31st 2020::height,dbl,102,NA,NA,-9 to 186,130,NA,0.051160338,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),NA,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649
weight,44,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Weight in kg,NA,variable,,,,weight,prism border cohort study all visits database through october 31st 2020::weight,dbl,15,NA,NA,-9 to 84,81,NA,0.037447257,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),NA,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649
muac,45,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Mid-upper arm circumference,NA,NA,,,,muac,prism border cohort study all visits database through october 31st 2020::muac,dbl,-9,NA,NA,-9 to 19,10,NA,0,duplicated variable,NA,NA,NA,NA,NA
heartrate,46,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Heart rate,NA,variable,,,,heartrate,prism border cohort study all visits database through october 31st 2020::heartrate,dbl,-9,NA,NA,-9 to 99,9,NA,0,duplicated variable,http://www.ebi.ac.uk/efo/EFO_0004326,Heart rate (bpm),4,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
sbp,47,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Systolic blood pressure,NA,variable,,,,sbp,prism border cohort study all visits database through october 31st 2020::sbp,dbl,-9,NA,NA,-9 to 200,10,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure (mmHg),2,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
dbp,48,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Diastolic blood pressure,NA,variable,,,,dbp,prism border cohort study all visits database through october 31st 2020::dbp,dbl,-9,NA,NA,-9 to 117,9,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021087,Diastolic blood pressure (mmHg),3,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
resprate,49,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Respiratory rate,NA,variable,,,,resprate,prism border cohort study all visits database through october 31st 2020::resprate,dbl,-9,NA,NA,-9 to -9,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/CMO_0000289,Respiratory rate (breaths/min),5,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
sp02,50,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Oxygen saturation,NA,NA,,,,sp02,prism border cohort study all visits database through october 31st 2020::sp02,dbl,-9,NA,NA,-9 to -9,1,NA,0.191455696,duplicated variable,NA,NA,NA,NA,NA
fever,51,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Subjective fever,"1-Yes
0-No
9-Cannot assess",value,,,,fever,prism border cohort study all visits database through october 31st 2020::fever,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
febrile,52,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Whether elevated temperature or subjective fever,,variable,,,,febrile,prism border cohort study all visits database through october 31st 2020::febrile,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
fduration,53,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of fever,NA,variable,,,,fduration,prism border cohort study all visits database through october 31st 2020::fduration,dbl,2,NA,NA,-9 to 5,6,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000164,"Fever, subjective duration (days)",10,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
fatigue,54,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Fatigue,"1-Yes
0-No
9-Cannot assess",value,,,,fatigue,prism border cohort study all visits database through october 31st 2020::fatigue,dbl+lbl,0,NA,NA,0 to 9,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
fmduration,55,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of fatigue,NA,variable,,,,fmduration,prism border cohort study all visits database through october 31st 2020::fmduration,dbl,-9,NA,NA,-9 to 7,7,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000158,Fatigue duration (days),9,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
abdominalpain,56,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Abdominal pain,"1-Yes
0-No
9-Cannot assess",value,,,,abdominalpain,prism border cohort study all visits database through october 31st 2020::abdominalpain,dbl+lbl,0,NA,NA,0 to 9,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
apainduration,57,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of abdominal pain,NA,variable,,,,apainduration,prism border cohort study all visits database through october 31st 2020::apainduration,dbl,-9,NA,NA,-9 to 14,8,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000154,Abdominal pain duration (days),5,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
anorexia,58,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Anorexia,"1-Yes
0-No
9-Cannot assess",value,,,,anorexia,prism border cohort study all visits database through october 31st 2020::anorexia,dbl+lbl,0,NA,NA,0 to 9,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
aduration,59,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of anorexia,NA,variable,,,,aduration,prism border cohort study all visits database through october 31st 2020::aduration,dbl,-9,NA,NA,-9 to 7,7,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000155,Anorexia duration (days),6,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
vomiting,60,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Vomiting,"1-Yes
0-No
9-Cannot assess",value,,,,vomiting,prism border cohort study all visits database through october 31st 2020::vomiting,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
vduration,61,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of vomiting,NA,variable,,,,vduration,prism border cohort study all visits database through october 31st 2020::vduration,dbl,-9,NA,NA,-9 to 4,5,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000165,Vomiting duration (days),16,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
diarrhea,62,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Diarrhea,"1-Yes
0-No
9-Cannot assess",value,,,,diarrhea,prism border cohort study all visits database through october 31st 2020::diarrhea,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
dduration,63,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Duration of diarrhea,NA,variable,,,,dduration,prism border cohort study all visits database through october 31st 2020::dduration,dbl,-9,NA,NA,-9 to 3,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000157,Diarrhea duration (days),8,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
cough,64,prism border cohort study all visits database through october 31st 2020,discard,,Observation,Cough,"1-Yes
0-No
9-Cannot assess",value,,,,cough,prism border cohort study all visits database through october 31st 2020::cough,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
