"displayOrder","variable","dataFile","IRI","label","definition","category","parentLabel","parentIRI","termType","colOrder","codebookDescription","codebookValues","notesForOnt"
"","hh_00m::spraycat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020250","Sprayed in the last 12 months categorization","Categorization of when indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes occurred in the past 12 months.","Household","Household vector intervention","","variable","","IRS in the prior 12 months","",""
"","hh_00m::subregions","hh_00m","new IRI","Sub-region","","Household","Geographic location","","variable","","5 subregions","","new term, suggested parent = Geographic location"
"","hh_00m::survey","hh_00m","new IRI","Study timepoint for household assessment","Cross-sectional surveys were conducted at baseline (prior to distribution of long-lasting insecticide-treated bednets (LLINs) and at 6 months, 12 months, and 18 months after LLIN distribution.","Household","Household","","variable","","Survey round","1 – Baseline, 2 – 6-month, 3 – 12-month, 4 – 18-24 months 
","new term, suggested parent = Household"
"","hh_00m::swater","hh_00m","http://purl.obolibrary.org/obo/ENVO_00003064","Drinking water source","Main source of drinking water for members of the household.","Household","Household","","variable","","What is the main source of drinking water for members of your household?","10 - borehole, 11 - pipe into dwelling, 12 - piped into yard/compound, 13 - public tap, 21 - open well in yard/compound, 22 - open public well, 31 - protected well in yard/compound, 32 - protected public well, 41 - protected spring, 42 - unprotected spring, 43 - river/stream, 44 - pond/lake, 45 - dam, 51 - rainwater, 61 - water truck, 71 - bottled water, 96 - other, -8: Refused to answer",""
"","hh_00m::tablet","hh_00m","new IRI","Tablet computer","Whether any member of the household owned or had access to a tablet computer.","Household","Assets","","value","","Tablet","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_00m::tble","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000584","Table","Whether the household had a table.","Household","Assets","","value","","Table ","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::tfaclty","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000335","Human waste facilities","Main kind of toilet facilities used by the household.","Household","Waste disposal","","variable","","What kind of toilet facility do members of your household usually use?","1 - flush toilet, 2 - vip latrine, 3 - covered pit latrine no slab, 4 - covered pit latrine w/slab, 5 - uncovered pit latrine no slab, 6 - uncovered pit latrine w/slab, 7 - composting  toilet, 8 - no facility/bush/field, 96 - other, -8: Refused to answer",""
"","hh_00m::tspray","hh_00m","new IRI","Months since last IRS","Number of months since indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes last occurred.","Household","Household vector intervention","","variable","","How many months ago was the dwelling last sprayed? If less than 1 month, enter 0","0-12, -8: Refused to answer","new term, suggested parent = Household vector intervention"
"","hh_00m::tv","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000579","Television","Whether the household had a television.","Household","Assets","","value","","Television","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::unfedfunestus","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000204","Unfed Anopheles funestus count","Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_00m::unfedgambiae","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000205","Unfed Anopheles gambiae count","Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_00m::watch","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000186","Watch","Whether any member of the household owned or had access to a watch.","Household","Assets","","value","","Watch","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::whatburn","hh_00m","new IRI","Material burned","If the household burned anything last night inside of the dwelling to keep mosquitoes away, specify what was burned.","Household","Household vector intervention","","variable","","If yes, specify","1 = Coil, 2 = Herbs, 3 = Other, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_00m::whatburnother","hh_00m","new IRI","Material burned","If the household burned anything last night inside of the dwelling to keep mosquitoes away, specify what was burned.","Household","Household vector intervention","","variable","","Describe other","String","new term, suggested parent = Household vector intervention"
"","hh_00m::windows","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0025050","Windows","Whether the dwelling has windows.","Household","Dwelling characteristics","","variable","","Does the household have windows?","1 - Yes, 0 - No",""
"","hh_06m::adequateitns","hh_06m","new IRI","1 ITN per 2 people","Whether there was at least 1 insecticide-treated bednet (ITN) per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 ITN per 2 persons","","new term, suggested parent = Household vector intervention"
"","hh_06m::adequatenets","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020219","1 bednet per 2 people","Whether there was at least 1 bednet per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 bednet per 2 persons","",""
"","hh_06m::ahwker","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020230","Community health worker present","Whether there was a community health worker (community medicine distributor, village health team, community own resource person) who distributes malaria medicines in the  community.","Household","Dwelling environment","","variable","","Is there a community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) who distributes malaria medicines in your village or community?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::airbricks","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000018","Air bricks","Whether air bricks were installed above windows.","Household","Dwelling characteristics","","variable","","Airbricks above windows?","1 = Yes, 2 = No, 8 = Don’t know",""
"","hh_06m::amchwker","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020229","Community health worker has malaria medication","Whether the community health worker had malaria medication available at the time of survey.","Household","Dwelling environment","","variable","","Does the community health worker currently have malaria medicines available?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::anophelesf","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000135","Female Anopheles count","Number of female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_06m::anophelesm","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0025031","Male Anopheles count","Number of male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_06m::anyitn","hh_06m","new IRI","Household ITNs","Whether the household has any insecticide-treated bednets (ITNs) that can be used while sleeping.","Household","Household vector intervention","","variable","","","","new term, suggested parent = Household vector intervention"
"","hh_06m::anynet","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020225","Bednet count","Number of bednets of any type in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_06m::anynetcat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020226","Bednet count categorization","Categorization of the number of bednets of any type in the household.","Household","Household vector intervention","","variable","","Catergories of number of nets per household","",""
"","hh_06m::bankacco","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000167","Bank account","Whether any member of the household owned or had access to a bank account.","Household","Assets","","value","","A bank account?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::bed","hh_06m","http://purl.obolibrary.org/obo/ENVO_00000501","Bed","Whether the household had a bed.","Household","Assets","","value","","Bed?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::bicycle","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000614","Bicycle","Whether any member of the household owned or had access to a bicycle.","Household","Assets","","value","","A bicycle?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::bloodfedfunestus","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000192","Bloodfed Anopheles funestus count","Number of female Anopheles funestus who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_06m::bloodfedgambiae","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000193","Bloodfed Anopheles gambiae count","Number of female Anopheles gambiae who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_06m::burnyn","hh_06m","new IRI","Burn to keep mosquitoes away","Whether the household burned anything last night inside of the dwelling to keep mosquitoes away.","Household","Household vector intervention","","variable","","Did you burn anything to keep away mosquitoes in the house last night?","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_06m::car","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000171","Car or truck","Whether any member of the household owned or had access to a car or truck.","Household","Assets","","value","","A car or truck?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::cassette","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000578","Cassette player","Whether the household had a cassette player.","Household","Assets","","value","","Cassette player?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::ceiling","hh_06m","new IRI","Ceiling","Whether the dwelling has a ceiling or screened ceiling.","Household","Dwelling characteristics","","variable","","A ceiling (STATA label = 'Screened ceiling')","1 = Yes, 2 = No, 8 = Don’t know","new term, suggested parent = Dwelling characteristics"
"","hh_06m::chair","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000586","Chair","Whether the household had chairs.","Household","Assets","","value","","Chairs?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::clock","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000596","Clock","Whether the household had a clock.","Household","Assets","","value","","Clock?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::closetime","hh_06m","new IRI","Time doors and windows closed","If the doors and/or windows were closed last night to keep mosquitoes out of the house, the time at which the doors and/or windows were closed.","Household","Household vector intervention","","variable","","If yes, at what time did you close the windows / doors?","Before 6pm, 6-7pm, 7-8pm, 8-9pm, 9-10pm, After 10pm","new term, suggested parent = Household vector intervention"
"","hh_06m::closewindow","hh_06m","new IRI","Doors and windows closed","Whether the doors and/or windows were closed last night to keep mosquitoes out of the house.","Household","Household vector intervention","","variable","","Did you close the windows / doors to keep out mosquitoes last night","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_06m::cluster","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0035024","Cluster ID","Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.","Household","Household administrative information","","variable","","Cluster Code / Health sub-district number","Cluster codes 001-104",""
"","hh_06m::covered","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020212","Windows covered","Whether any of the windows were covered with glass, screens, or other material.","Household","Dwelling characteristics","","variable","","Are any of the windows covered?

Glass, screening, other material, etc.","1 - Yes, 0 - No",""
"","hh_06m::cupboard","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000595","Cupboard","Whether the household had a cupboard.","Household","Assets","","value","","Cupboard?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::date","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0021085","Household data collection date","","Household","Household","","variable, derived","","date of start of interview","",""
"","hh_06m::desktop","hh_06m","new IRI","Desktop computer","Whether any member of the household owned or had access to a desktop computer.","Household","Assets","","value","","Desktop?","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_06m::device","hh_06m","new IRI","Internet device type","If any member of the household owned or had access to a device that can access the internet, the type of device.","Household","Socioeconomic factors","","value","","If yes, what type of device?","1 – Smartphone, 2 – Tablet, 3 – Laptop computer, 4 – Desktop computer, -7: Don't know","new term, suggested parent = Socioeconomic factors"
"","hh_06m::dhfcty","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020213","Health facility distance","Distance to the nearest health facility, in kilometers. Distances less than 1km were recorded as 0km. Distances greater than 100km were recorded as 100km.","Household","Dwelling environment","","variable","","How far is it to the nearest health facility? If less than 1 km, enter 0. If more than 100 km, enter 100","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_06m::dhfctycat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020214","Health facility distance categorization","Categorization of the distance (in kilometers) to the nearest health facility.","Household","Dwelling environment","","variable","","Distance to nearest health facility categories","",""
"","hh_06m::district","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000407","District","48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.","Household","Geographic location","","variable","","","",""
"","hh_06m::dmarkt","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020215","Market distance","Distance to the nearest market, in kilometers.","Household","Dwelling environment","","variable","","How far is it to the nearest market place?","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_06m::eanum","hh_06m","new IRI","Enumeration area ID","The primary sampling unit were  enumeration areas identified in the 2014 Ugandan national census. Ten enumeration areas were randomly selected in each of the health sub-districts. Within each sampled enumeration area, 5 households were randomly enrolled, for a total of 50 households sampled per cluster. .","Household","Household administrative information","","variable","","Enumeration number","1 to 10","new term, suggested parent = Household administrative information"
"","hh_06m::eaves","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000015","Eaves","Type of eaves that the dwelling had.","Household","Dwelling characteristics","","variable","","Does the household have eaves? (STATA label = 'type of eaves')","1 - Yes, 0 - No",""
"","hh_06m::electricity","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0021084","Electricity","Whether the household had electricity.","Household","Assets","","value","","Electricity?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::enrolled","hh_06m","new IRI","Household enrolled","Whether the household was enrolled in the cross-sectional household survey.","Household","Household administrative information","","variable","","Household enrolled in the survey?","1 - Yes, 0 - No","new term, suggested parent = Household administrative information"
"","hh_06m::entoinclude","hh_06m","new IRI","Entomology surveyed","Whether the household was one of the 20% of enrolled households that were randomly included in the entomology survey.","Entomology","Entomology observation details","","variable","","","","new term, suggested parent = Entomology observation details (new parent category)"
"","hh_06m::exclreason","hh_06m","new IRI","Reason household not enrolled","If the household was not enrolled in the cross-sectional household survey, the reason for exclusion.","Household","Household administrative information","","variable","","If not enrolled, reason for exclusion?","1 - Dwelling destroyed or not found, 2 - Household vacant, 3 - Unable to locate adult, 4 - No household resident between 2-10 years of age present (with an adult caregiver willing to provide informed consent for the clinical survey), 5 - No adult aged 18 years or older, 6 - Adult was not usual resident who was present in this household the previous night,7 - Adult resident not willing to provide informed consent  
","new term, suggested parent = Household administrative information"
"","hh_06m::fridge","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","Whether the household had a refrigerator.","Household","Assets","","value","","Refrigerator","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::fueltype","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000023","Cooking fuel","The main type of fuel the household used for cooking.","Household","Dwelling facilities","","variable","","What type of fuel does your household mainly use for cooking?","1 - electricity, 2 - lpg/natural gas, 3 - biogas, 4 - paraffin/kerosene, 5 - charcoal, 6 - firewood, 7 - straw/shrubs/grass, 8 - animal dung, 95 - no food cooked in household, 96 - other, -8: Refused to answer",""
"","hh_06m::funestusf","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000136","Female Anopheles funestus count","Number of female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of female Anopheles funestus","Numeric",""
"","hh_06m::funestusm","hh_06m","new IRI","Male Anopheles funestus count","Number of male Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of male Anopheles funestus","Numeric","new term, suggested parent = Anopheles funestus results"
"","hh_06m::gambiaef","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000137","Female Anopheles gambiae count","Number of female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of female anopheles gambiae","Numeric",""
"","hh_06m::gambiaem","hh_06m","new IRI","Male Anopheles gambiae count","Number of male Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of male anopheles gambiae","Numeric","new term, suggested parent = Anopheles gambiae sl results"
"","hh_06m::gpspray","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000441","Sprayed in the last 12 months","Whether permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes was granted at any time in the past 12 months.","Household","Household vector intervention","","variable","","Did you grant them permission to spray the interior walls of your dwelling?","1 - Yes, 0 - No",""
"","hh_06m::gravidfunestus","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000197","Gravid Anopheles funestus count","Number of gravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_06m::gravidgambiae","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000198","Gravid Anopheles gambiae count","Number of gravid female Anopheles funestus gambiae. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_06m::halfgravidfunestus","hh_06m","new IRI","Semigravid Anopheles funestus count","Number of semigravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","","new term, suggested parent = Anopheles funestus results"
"","hh_06m::halfgravidgambiae","hh_06m","new IRI","Semigravid Anopheles gambiae count","Number of semigravid female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","","new term, suggested parent = Anopheles gambiae sl results"
"","hh_06m::havenets","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020232","Household bednets","Whether the household has any bednets that can be used while sleeping.","Household","Household vector intervention","","variable","","Does your household have any mosquito nets that can be used while sleeping?","1 - Yes, 0 - No",""
"","hh_06m::health_sub_district","hh_06m","new IRI","Health sub-district","104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.","Household","Geographic location","","variable","","","","new term, suggested parent = Geographic location"
"","hh_06m::hhid","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000094","Household ID","","Household","Household","","variable","","Household ID number","9 digit code",""
"","hh_06m::hhmeals","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000027","Meals per day","Number of meals the household usually ate per day.","Household","Food security","","variable","","Now I would like to ask you about the food your household eats.
How many meals does your household usually have per day?","1-8, -8: Refused to answer",""
"","hh_06m::hhmealscat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020237","Meals per day categorization","Categorization of the number of meals the household usually ate per day.","Household","Food security","","variable","","Number of meals per day","",""
"","hh_06m::hhnumt","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000028","Meat meals per week","Number of days during the past week when the household ate meat.","Household","Food security","","variable","","In the past week, on how many days did the household eat meat?","0-7, -8: Refused to answer",""
"","hh_06m::hhnumtcat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020238","Meat meals per week categorization","Categorization of the number of days during the past week when the household ate meat.","Household","Food security","","variable","","Number of days eating meat in the past week","",""
"","hh_06m::hhpsf","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000029","Food problems per week","Number of times during the previous week where there were problems in satisfying the food needs of the household.","Household","Food security","","variable","","How often in the last year did you have problems in  satisfying the  food needs of the household?","1 - never, 2 - seldom, 3 - sometimes, 4 - often, 5 - always, -7: Don't know, -8: Refused to answer",""
"","hh_06m::hhrooms","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000025","Sleeping rooms in dwelling","Number of rooms in the household that were used for sleeping, including rooms that are outside of the main dwelling.","Household","Dwelling characteristics","","variable","","How many rooms in your household  are used for sleeping? (INCLUDING ROOMS OUTSIDE THE MAIN DWELLING). If there are 15 or more rooms, enter 15","1-15, -7: Don't know, -8: Refused to answer",""
"","hh_06m::hhspaces","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000201","Sleeping places count","Number of sleeping places (mats, mattresses or beds) that were available in the household. Households that had more than 25 sleeping places available had the sleeping places count recorded as 25.","Household","Dwelling characteristics","","variable","","How many sleeping spaces like mats, mattresses,  or beds are available in your household? If there are 25 or more sleeping places, enter 25","1-25, -7: Don't know, -8: Refused to answer",""
"","hh_06m::internet","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020205","Internet device","Whether any member of the household owned or had access to a device to access the internet.","Household","Assets","","value","","A device that can be used to access the internet?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::itn","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0041014","ITN bednet count","Number of insecticide-treated bednets (ITNs) in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_06m::itncat","hh_06m","new IRI","ITN bednet count categorization","Categorization of the number of insecticide-treated bednets (ITNs) in the household.","Household","Household vector intervention","","variable","","Catergories of number of nets per household","","new term, suggested parent = Household vector intervention"
"","hh_06m::itnsperperson","hh_06m","new IRI","ITNs per person","Number of insecticide-treated bednets (ITNs) per person in the household.","Household","Household vector intervention","","variable","","","","new term, suggested parent = Household vector intervention"
"","hh_06m::laptop","hh_06m","new IRI","Laptop computer","Whether any member of the household owned or had access to a laptop computer.","Household","Assets","","value","","Laptop","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_06m::llincat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0035014","Intervention assignment","Clusters were randomized to receive one of 4 types of long-lasting insecticide-treated bednets (LLINs): (1) PermaNet 2.0, (2) PermaNet 3.0, (3) Olyset Net, or (4) Olyset Plus.","Household","Household","","variable","","Type of LLIN cluster assinged to","",""
"","hh_06m::llindich","hh_06m","new IRI","Intervention assignment, dichotomized","Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.","Household","Household","","variable","","Intervention arm dichotomized","","new term, suggested parent = Household"
"","hh_06m::manynet","hh_06m","new IRI","UCC LLIN count","If the household received at least one long-lasting insecticide-treated bednet (LLIN) in the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health, the number of bednets the household received.","Household","Universal Coverage Campaign","","variable","","If yes, How many nets did you receive? ","Numeric","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_06m::mboat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000179","Boat with a motor","Whether any member of the household owned or had access to a boat with a motor.","Household","Assets","","value","","A boat with a motor?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::mmewalls","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000009","Wall material","Primary material of exterior walls.","Household","Dwelling characteristics","","variable","","Main material of exterior walls","11 - thatched/straw, 21 - mud and poles, 22 - un-burnt bricks, 23 - un-burnt bricks with plaster/cement, 24 - burnt bricks with mud, 31 - cement blocks, 32 - stone, 33 - timber, 34 - burnt bricks with plaster/cement, 35 - iron sheets, 96 - other, -9: Skipped",""
"","hh_06m::mmfloor","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000006","Floor material","Primary material of floors.","Household","Dwelling characteristics","","variable","","Main material of the floor","11 - earth or sand, 12 - earth and dung, 31 - parquet or polished wood, 33 - mosaic or tiles, 34 - bricks, 35 - cement/concrete, 36 - stones, 96 - other, -9: Skipped",""
"","hh_06m::mmroof","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000003","Roof material","Primary material of the roof.","Household","Dwelling characteristics","","variable","","Main material of the roof ","11 - thatched (including papyrus), 12 - mud, 21 - wood/planks, 22 - iron sheets, 23 - asbestos, 24 - tiles, 25 - tin, 26 - cement, 96 - other, -9: Skipped",""
"","hh_06m::mobile","hh_06m","http://purl.obolibrary.org/obo/ENVO_01000581","Mobile phone","Whether any member of the household owned or had access to a mobile phone.","Household","Assets","","value","","Does any member of your household own or have‚ a mobile phone?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::mthfcty","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020217","Transit to health facility","Method of transit used to reach the nearest health facility.","Household","Dwelling environment","","variable","","If you were to go this facility,how would you most likely go there?","1 - car/motorcycle, 2 - public transport(bus,taxi), 3 - animal/animal cart, 4 - walking, 5 - bicycle, 7 - boat, 96 - other, -7: Don't know, -8: Refused to answer",""
"","hh_06m::netsperperson","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020227","Bednets per person","Number of bednets per person in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_06m::nettype","hh_06m","new IRI","UCC LLIN type","Type of long-lasting insecticide-treated bednets (LLINs) the household received during the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","What type of nets did you receive ","1 : PermaNet 2.0, 2 :PermaNet 3.0, 3 :Olyset Net, 4 :Olyset Plus, -7: Don’t Know, -8: Refused to answer","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_06m::nomboat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000170","Boat without a motor","Whether any member of the household owned or had access to a boat without a motor.","Household","Assets","","value","","A boat without a  motor?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_06m::nonanophfem","hh_06m","new IRI","Female non-Anopheline count","Number of female non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Entomology","","variable","","Number of Female Non-Anopheline","Numeric","new term, suggested parent = Entomology"
"","hh_06m::nonanophmal","hh_06m","new IRI","Male non-Anopheline count","Number of male non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Entomology","","variable","","Number of Male  Non-Anopheline","Numeric","new term, suggested parent = Entomology"
"","hh_06m::numaland","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000026","Acres","Number of acres of agricultural land owned by members of this household. Households where members owned more than 10,000 acres were recorded as owning 10,000 acres.","Household","Socioeconomic factors","","variable","","How many acres of agricultural land do members of this household own? IF NONE, ENTER '0', IF 10,000 OR MORE, ENTER 10,000","0-10,000, -7: Don't know, -8: Refused to answer",""
"","hh_06m::numalandcat","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020221","Acres categorization","Categorization of the number of acres of agricultural land owned by members of this household.","Household","Socioeconomic factors","","variable","","Acres of land owned categories","",""
"","hh_06m::numpeop","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000019","Persons living in house","Number of people in this household.","Household","Socioeconomic factors","","variable","","","",""
"","hh_06m::othanophfem","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000200","Other female Anopheles species count","Number of other or unidentified female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","Number of female Anopheles -Other/Unidentified","Numeric",""
"","hh_06m::othanophmal","hh_06m","new IRI","Other male Anopheles species count","Number of other or unidentified male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","Number of male  Anopheles -Other/Unidentified","Numeric","new term, suggested parent = Anopheles result"
"","hh_06m::othereng","hh_06m","http://purl.obolibrary.org/obo/OBI_0400065","Lighting source","Main source of artificial lighting for the household.","Household","Dwelling facilities","","variable","","Specify other source of energy for lighting","String",""
"","hh_06m::otherfcy","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0000335","Human waste facilities","Main kind of toilet facilities used by the household.","Household","Waste disposal","","variable","","Specify other kind of toilet facilities","String",""
