8sites_diet5y::agedays	OBI_0001169	na	:::UNDEF:::	
micro_x::bcoli	EUPATH_0010623	0	No	
micro_x::bcoli	EUPATH_0010623	1	Yes	
micro_x::bcoli	EUPATH_0010623	NA	:::UNDEF:::	
micro_x::bdfaerotype	EUPATH_0010627	0	Negative	
micro_x::bdfaerotype	EUPATH_0010627	1	Aeromonas species	
micro_x::bdfaerotype	EUPATH_0010627	2	Aeromonas hydrophila	
micro_x::bdfcampyelisa	EUPATH_0010628	1	Positive	
micro_x::bdfcampyelisa	EUPATH_0010628	2	Negative	
micro_x::bdfcampyelisa	EUPATH_0010628	3	Indeterminate	
micro_x::bdfcampytype	EUPATH_0010629	0	Negative	
micro_x::bdfcampytype	EUPATH_0010629	1	Campylobacter jejuni	
micro_x::bdfcampytype	EUPATH_0010629	2	Campylobacter species	
micro_x::bdfecolidetect	EUPATH_0010630	0	Negative	
micro_x::bdfecolidetect	EUPATH_0010630	1	Positive	
micro_x::bdfecolidetect	EUPATH_0010630	NA	:::UNDEF:::	
micro_x::bdfecolipcr	EUPATH_0010631	0	No	
micro_x::bdfecolipcr	EUPATH_0010631	1	Yes	
micro_x::bdfecolipcr	EUPATH_0010631	NA	:::UNDEF:::	
micro_x::bdfsalmtype	EUPATH_0010632	0	Negative	
micro_x::bdfsalmtype	EUPATH_0010632	1	Salmonella typhi	
micro_x::bdfsalmtype	EUPATH_0010632	2	Salmonella paratyphi A	
micro_x::bdfsalmtype	EUPATH_0010632	3	Salmonella Group B	
micro_x::bdfsalmtype	EUPATH_0010632	4	Salmonella Group C	
micro_x::bdfsalmtype	EUPATH_0010632	5	Salmonella Group D	
micro_x::bdfsalmtype	EUPATH_0010632	6	Salmonella species	
micro_x::bdfsalmtype	EUPATH_0010632	7	Salmonella cholerasuis	
micro_x::bdfsalmtype	EUPATH_0010632	9	Other Salmonella	
micro_x::bdfshigtype	EUPATH_0010633	0	Negative	
micro_x::bdfshigtype	EUPATH_0010633	1	Shigella dysenteriae Group A	
micro_x::bdfshigtype	EUPATH_0010633	2	Shigella flexneri Group B	
micro_x::bdfshigtype	EUPATH_0010633	3	Shigella boydii Group C	
micro_x::bdfshigtype	EUPATH_0010633	4	Shigella sonnei Group D	
micro_x::bdfshigtype	EUPATH_0010633	5	Shigella species, non-typeable	
micro_x::bdfvibtype	EUPATH_0010634	0	Negative	
micro_x::bdfvibtype	EUPATH_0010634	1	Vibrio cholerae 01, Inaba	
micro_x::bdfvibtype	EUPATH_0010634	2	Vibrio cholerae 01, Ogawa	
micro_x::bdfvibtype	EUPATH_0010634	3	Vibrio cholerae 0139	
micro_x::bdfvibtype	EUPATH_0010634	4	Vibrio parahaemolyticus	
micro_x::bdfvibtype	EUPATH_0010634	5	Vibrio, other species	
micro_x::cmes	EUPATH_0010643	0	No	
micro_x::cmes	EUPATH_0010643	1	Yes	
micro_x::cmes	EUPATH_0010643	NA	:::UNDEF:::	
micro_x::cyclo	EUPATH_0010651	0	No	
micro_x::cyclo	EUPATH_0010651	1	Yes	
micro_x::cyclo	EUPATH_0010651	NA	:::UNDEF:::	
micro_x::eaec	EUPATH_0010655	0	No	
micro_x::eaec	EUPATH_0010655	1	Yes	
micro_x::eaec	EUPATH_0010655	NA	:::UNDEF:::	
micro_x::ecpaaic	EUPATH_0010659	0	Negative	
micro_x::ecpaaic	EUPATH_0010659	1	Positive	
micro_x::ecpaaic	EUPATH_0010659	NA	:::UNDEF:::	
micro_x::ecpaata	EUPATH_0010663	0	Negative	
micro_x::ecpaata	EUPATH_0010663	1	Positive	
micro_x::ecpaata	EUPATH_0010663	NA	:::UNDEF:::	
micro_x::ecpeae	EUPATH_0010671	0	Negative	
micro_x::ecpeae	EUPATH_0010671	1	Positive	
micro_x::ecpltentero	EUPATH_0010679	0	Negative	
micro_x::ecpltentero	EUPATH_0010679	1	Positive	
micro_x::ecpltentero	EUPATH_0010679	NA	:::UNDEF:::	
micro_x::st_etec	EUPATH_0010683	0	No	
micro_x::st_etec	EUPATH_0010683	1	Yes	
micro_x::ecpstx1	EUPATH_0010687	0	Negative	
micro_x::ecpstx1	EUPATH_0010687	1	Positive	
micro_x::ecpstx1	EUPATH_0010687	NA	:::UNDEF:::	
micro_x::ecpstx2	EUPATH_0010691	0	Negative	
micro_x::ecpstx2	EUPATH_0010691	1	Positive	
micro_x::ecpstx2	EUPATH_0010691	NA	:::UNDEF:::	
micro_x::ehist	EUPATH_0010695	0	No	
micro_x::ehist	EUPATH_0010695	1	Yes	
micro_x::ehist	EUPATH_0010695	NA	:::UNDEF:::	
micro_x::eiec	EUPATH_0010699	0	No	
micro_x::eiec	EUPATH_0010699	1	Yes	
micro_x::eiec	EUPATH_0010699	NA	:::UNDEF:::	
micro_x::enana	EUPATH_0010703	0	No	
micro_x::enana	EUPATH_0010703	1	Yes	
micro_x::enana	EUPATH_0010703	NA	:::UNDEF:::	
micro_x::epec	EUPATH_0010707	0	No	
micro_x::epec	EUPATH_0010707	1	Yes	
micro_x::epec	EUPATH_0010707	NA	:::UNDEF:::	
micro_x::everm	EUPATH_0010715	0	No	
micro_x::everm	EUPATH_0010715	1	Yes	
micro_x::everm	EUPATH_0010715	NA	:::UNDEF:::	
micro_x::fvfadenoresult	EUPATH_0010719	1	Positive	
micro_x::fvfadenoresult	EUPATH_0010719	2	Negative	
micro_x::fvfadenoresult	EUPATH_0010719	3	Indeterminate	
micro_x::fvfastroresult	EUPATH_0010720	1	Positive	
micro_x::fvfastroresult	EUPATH_0010720	2	Negative	
micro_x::fvfastroresult	EUPATH_0010720	3	Indeterminate	
micro_x::fvfrotaresult	EUPATH_0010721	0	Positive result within 28 days of rotavirus vaccination	
micro_x::fvfrotaresult	EUPATH_0010721	1	Positive	
micro_x::fvfrotaresult	EUPATH_0010721	2	Negative	
micro_x::fvfrotaresult	EUPATH_0010721	3	Indeterminate	
micro_x::hdim	EUPATH_0010726	0	No	
micro_x::hdim	EUPATH_0010726	1	Yes	
micro_x::hdim	EUPATH_0010726	NA	:::UNDEF:::	
micro_x::hnana	EUPATH_0010730	0	No	
micro_x::hnana	EUPATH_0010730	1	Yes	
micro_x::hnana	EUPATH_0010730	NA	:::UNDEF:::	
micro_x::hook	EUPATH_0010734	0	No	
micro_x::hook	EUPATH_0010734	1	Yes	
micro_x::hook	EUPATH_0010734	NA	:::UNDEF:::	
micro_x::ibut	EUPATH_0010738	0	No	
micro_x::ibut	EUPATH_0010738	1	Yes	
micro_x::ibut	EUPATH_0010738	NA	:::UNDEF:::	
micro_x::lt_etec	EUPATH_0010746	0	No	
micro_x::lt_etec	EUPATH_0010746	1	Yes	
micro_x::lt_etec	EUPATH_0010746	NA	:::UNDEF:::	
micro_x::mdfecoli	EUPATH_0010754	0	No	
micro_x::mdfecoli	EUPATH_0010754	1	Yes	
micro_x::mdfecoli	EUPATH_0010754	NA	:::UNDEF:::	
micro_x::mdfparayn	EUPATH_0010760	0	No	
micro_x::mdfparayn	EUPATH_0010760	1	Yes	
micro_x::mdfparayn	EUPATH_0010760	NA	:::UNDEF:::	
micro_x::mdfstaindetect	EUPATH_0010761	0	Negative	
micro_x::mdfstaindetect	EUPATH_0010761	1	Cryptosporidium	
micro_x::mdfstaindetect	EUPATH_0010761	2	Isospora	
micro_x::mdfstaindetect	EUPATH_0010761	3	Cyclospora	
micro_x::mdfstaindetect	EUPATH_0010761	4	Positive, other	
micro_x::nrvnorocycii	EUPATH_0010779	 	:::UNDEF:::	
micro_x::nrvnorocycii	EUPATH_0010779	NA	:::UNDEF:::	
micro_x::nrvnorocycii	EUPATH_0010779	.	:::UNDEF:::	
micro_x::nrvnorocycle	EUPATH_0010780	 	:::UNDEF:::	
micro_x::nrvnorocycle	EUPATH_0010780	NA	:::UNDEF:::	
micro_x::nrvnorocycle	EUPATH_0010780	.	:::UNDEF:::	
micro_x::other	EUPATH_0010782	0	Negative	
micro_x::other	EUPATH_0010782	1	Positive	
micro_x::other	EUPATH_0010782	NA	:::UNDEF:::	
micro_x::pefcryptresult	EUPATH_0010786	1	Positive	
micro_x::pefcryptresult	EUPATH_0010786	2	Negative	
micro_x::pefcryptresult	EUPATH_0010786	3	Indeterminate	
micro_x::pefgiardresult	EUPATH_0010788	1	Positive	
micro_x::pefgiardresult	EUPATH_0010788	2	Negative	
micro_x::pefgiardresult	EUPATH_0010788	3	Indeterminate	
micro_x::pshigyn	EUPATH_0010789	0	No	
micro_x::pshigyn	EUPATH_0010789	1	Yes	
micro_x::pshigyn	EUPATH_0010789	NA	:::UNDEF:::	
micro_x::salmonella	EUPATH_0010797	0	No	
micro_x::salmonella	EUPATH_0010797	1	Yes	
micro_x::salmonella	EUPATH_0010797	NA	:::UNDEF:::	
micro_x::schist	EUPATH_0010801	0	No	
micro_x::schist	EUPATH_0010801	1	Yes	
micro_x::schist	EUPATH_0010801	NA	:::UNDEF:::	
micro_x::shigella	EUPATH_0010805	0	No	
micro_x::shigella	EUPATH_0010805	1	Yes	
micro_x::shigella	EUPATH_0010805	NA	:::UNDEF:::	
micro_x::sstero	EUPATH_0010809	0	No	
micro_x::sstero	EUPATH_0010809	1	Yes	
micro_x::sstero	EUPATH_0010809	NA	:::UNDEF:::	
micro_x::stec	EUPATH_0010817	0	No	
micro_x::stec	EUPATH_0010817	1	Yes	
micro_x::stec	EUPATH_0010817	NA	:::UNDEF:::	
micro_x::taenia	EUPATH_0010821	0	No	
micro_x::taenia	EUPATH_0010821	1	Yes	
micro_x::taenia	EUPATH_0010821	NA	:::UNDEF:::	
micro_x::vibrio	EUPATH_0010825	0	No	
micro_x::vibrio	EUPATH_0010825	1	Yes	
micro_x::vibrio	EUPATH_0010825	NA	:::UNDEF:::	
micro_x::yenteryn	EUPATH_0010829	0	No	
micro_x::yenteryn	EUPATH_0010829	1	Yes	
micro_x::yenteryn	EUPATH_0010829	NA	:::UNDEF:::	
micro_x::qnscampelisa	EUPATH_0010834	0	No	
micro_x::qnscampelisa	EUPATH_0010834	1	Yes	
micro_x::qnscampelisa	EUPATH_0010834	NA	:::UNDEF:::	
micro_x::qnscgelisa	EUPATH_0010835	0	No	
micro_x::qnscgelisa	EUPATH_0010835	1	Yes	
micro_x::qnscgelisa	EUPATH_0010835	NA	:::UNDEF:::	
micro_x::qnsculturesetup	EUPATH_0010836	0	No	
micro_x::qnsculturesetup	EUPATH_0010836	1	Yes	
micro_x::qnsculturesetup	EUPATH_0010836	NA	:::UNDEF:::	
micro_x::qnsehistelisa	EUPATH_0010837	0	No	
micro_x::qnsehistelisa	EUPATH_0010837	1	Yes	
micro_x::qnsehistelisa	EUPATH_0010837	NA	:::UNDEF:::	
micro_x::qnsnoropcr	EUPATH_0010838	0	No	
micro_x::qnsnoropcr	EUPATH_0010838	1	Yes	
micro_x::qnsnoropcr	EUPATH_0010838	NA	:::UNDEF:::	
micro_x::qnsopconc	EUPATH_0010839	0	No	
micro_x::qnsopconc	EUPATH_0010839	1	Yes	
micro_x::qnsopconc	EUPATH_0010839	NA	:::UNDEF:::	
micro_x::qnsspecarchive	EUPATH_0010840	0	No	
micro_x::qnsspecarchive	EUPATH_0010840	1	Yes	
micro_x::qnsspecarchive	EUPATH_0010840	NA	:::UNDEF:::	
micro_x::qnsviraltest	EUPATH_0010841	0	No	
micro_x::qnsviraltest	EUPATH_0010841	1	Yes	
micro_x::qnsviraltest	EUPATH_0010841	NA	:::UNDEF:::	
micro_x::dstool	EUPATH_0010843	1	Yes	
micro_x::mstool	EUPATH_0010846	1	Yes	
micro_x::mstool	EUPATH_0010846	NA	:::UNDEF:::	
micro_x::physiologic	EUPATH_0010849	D1	Diarrhea stool with watery or liquid consistency	
micro_x::physiologic	EUPATH_0010849	M1	Monthly stool	
micro_x::protocol_diar	EUPATH_0010850	0	No	
micro_x::protocol_diar	EUPATH_0010850	1	Yes	
micro_x::protocol_diar	EUPATH_0010850	NA	:::UNDEF:::	
micro_x::severe	EUPATH_0010853	D1	Diarrhea stool plus a diarrhea severity score >=5	
micro_x::severe	EUPATH_0010853	M1	Monthly stool	
micro_x::stoolcount_d	EUPATH_0010865	0	No	
micro_x::stoolcount_d	EUPATH_0010865	1	Yes	
micro_x::stoolcount_d	EUPATH_0010865	NA	:::UNDEF:::	
micro_x::stoolcount_m	EUPATH_0010867	0	No	
micro_x::stoolcount_m	EUPATH_0010867	1	Yes	
micro_x::stoolcount_m	EUPATH_0010867	NA	:::UNDEF:::	
micro_x::stooltype	EUPATH_0010869	D1	Diarrhea	
micro_x::stooltype	EUPATH_0010869	M1	Monthly	
tac_60m_updated::stooltype	EUPATH_0010869	M1	Monthly	
micro_x::stooltype14	EUPATH_0010870	D1	Diarrhea	
micro_x::stooltype14	EUPATH_0010870	M1	Monthly	
micro_x::stooltype28	EUPATH_0010871	D1	Diarrhea	
micro_x::stooltype28	EUPATH_0010871	M1	Monthly	
micro_x::stooltype7	EUPATH_0010872	D1	Diarrhea	
micro_x::stooltype7	EUPATH_0010872	M1	Monthly	
micro_x::stoolwindow	EUPATH_0010873	0	No	
micro_x::stoolwindow	EUPATH_0010873	1	Yes	
micro_x::stoolwindow	EUPATH_0010873	NA	:::UNDEF:::	
micro_x::bacteria	EUPATH_0010875	0	No	
micro_x::bacteria	EUPATH_0010875	1	Yes	
micro_x::bacteria	EUPATH_0010875	NA	:::UNDEF:::	
micro_x::parasite	EUPATH_0010882	0	No	
micro_x::parasite	EUPATH_0010882	1	Yes	
micro_x::parasite	EUPATH_0010882	NA	:::UNDEF:::	
micro_x::pathogeng	EUPATH_0010889	0	No	
micro_x::pathogeng	EUPATH_0010889	1	Yes	
micro_x::pathogeng	EUPATH_0010889	NA	:::UNDEF:::	
micro_x::pathogeng_nonrv	EUPATH_0010890	0	No	
micro_x::pathogeng_nonrv	EUPATH_0010890	1	Yes	
micro_x::pathogeng_nonrv	EUPATH_0010890	NA	:::UNDEF:::	
micro_x::virus	EUPATH_0010931	0	No	
micro_x::virus	EUPATH_0010931	1	Yes	
micro_x::virus	EUPATH_0010931	NA	:::UNDEF:::	
micro_x::virus_nonrv	EUPATH_0010935	0	No	
micro_x::virus_nonrv	EUPATH_0010935	1	Yes	
micro_x::virus_nonrv	EUPATH_0010935	NA	:::UNDEF:::	
micro_x::acute	EUPATH_0010946	0	No	
micro_x::acute	EUPATH_0010946	1	Yes	
micro_x::persistent	EUPATH_0010971	0	No	
micro_x::persistent	EUPATH_0010971	1	Yes	
micro_x::persistent	EUPATH_0010971	NA	:::UNDEF:::	
micro_x::prolonged	EUPATH_0010973	0	No	
micro_x::prolonged	EUPATH_0010973	1	Yes	
micro_x::prolonged	EUPATH_0010973	NA	:::UNDEF:::	
illnessfull::hosp	EUPATH_0010995	0	No	
illnessfull::hosp	EUPATH_0010995	1	Yes	
illnessfull::hosp	EUPATH_0010995	NA	:::UNDEF:::	
micro_x::modresult	EUPATH_0010997	0	No	
micro_x::modresult	EUPATH_0010997	1	Yes	
micro_x::modresult	EUPATH_0010997	NA	:::UNDEF:::	
micro_x::campy	EUPATH_0010999	0	No	
micro_x::campy	EUPATH_0010999	1	Yes	
micro_x::campy	EUPATH_0010999	NA	:::UNDEF:::	
micro_x::crypto	EUPATH_0011000	0	No	
micro_x::crypto	EUPATH_0011000	1	Yes	
micro_x::crypto	EUPATH_0011000	NA	:::UNDEF:::	
micro_x::mdfcrypt	EUPATH_0011001	0	Negative	
micro_x::mdfcrypt	EUPATH_0011001	1	Positive	
micro_x::mdfcrypt	EUPATH_0011001	NA	:::UNDEF:::	
micro_x::mdfehist	EUPATH_0011002	0	Negative	
micro_x::mdfehist	EUPATH_0011002	1	Positive	
micro_x::mdfehist	EUPATH_0011002	NA	:::UNDEF:::	
micro_x::giard	EUPATH_0011003	0	No	
micro_x::giard	EUPATH_0011003	1	Yes	
micro_x::giard	EUPATH_0011003	NA	:::UNDEF:::	
micro_x::mdfgiard	EUPATH_0011004	0	Negative	
micro_x::mdfgiard	EUPATH_0011004	1	Positive	
micro_x::mdfgiard	EUPATH_0011004	NA	:::UNDEF:::	
micro_x::isos	EUPATH_0011005	0	No	
micro_x::isos	EUPATH_0011005	1	Yes	
micro_x::isos	EUPATH_0011005	NA	:::UNDEF:::	
micro_x::modother	EUPATH_0011006	0	No	
micro_x::modother	EUPATH_0011006	1	Yes	
micro_x::modother	EUPATH_0011006	NA	:::UNDEF:::	
bf2::begbf	EUPATH_0011008	0	No	
bf2::begbf	EUPATH_0011008	1	Yes	
bf2::begbf	EUPATH_0011008	NA	:::UNDEF:::	
bf2::begbfcaf	EUPATH_0011009	0	No	
bf2::begbfcaf	EUPATH_0011009	1	Yes	
bf2::begbfcaf	EUPATH_0011009	NA	:::UNDEF:::	
bf2::cafcolo	EUPATH_0011011	0	No	
bf2::cafcolo	EUPATH_0011011	1	Yes	
bf2::cafcolo	EUPATH_0011011	NA	:::UNDEF:::	
bf2::cafprel	EUPATH_0011012	0	No	
bf2::cafprel	EUPATH_0011012	1	Yes	
bf2::cafprel	EUPATH_0011012	NA	:::UNDEF:::	
bf2::dairyrun	EUPATH_0011020	0	No	
bf2::dairyrun	EUPATH_0011020	1	Yes	
bf2::dairyrun	EUPATH_0011020	NA	:::UNDEF:::	
bf2::excrun	EUPATH_0011023	0	No	
bf2::excrun	EUPATH_0011023	1	Yes	
bf2::excrun	EUPATH_0011023	NA	:::UNDEF:::	
bf2::nobfrun	EUPATH_0011041	0	No	
bf2::nobfrun	EUPATH_0011041	1	Yes	
bf2::nobfrun	EUPATH_0011041	NA	:::UNDEF:::	
bf2::partruna	EUPATH_0011043	0	No	
bf2::partruna	EUPATH_0011043	1	Yes	
bf2::partruna	EUPATH_0011043	NA	:::UNDEF:::	
bf2::predruna	EUPATH_0011046	0	No	
bf2::predruna	EUPATH_0011046	1	Yes	
bf2::predruna	EUPATH_0011046	NA	:::UNDEF:::	
bf2::run	EUPATH_0011048	0	Exclusive breastfeeding	
bf2::run	EUPATH_0011048	1	Non-breast milk feedings initiated	
bf2::run	EUPATH_0011048	2	Weaning completed	
bf2::visit	EUPATH_0011050	0	No	
bf2::visit	EUPATH_0011050	1	Yes	
bf2::visit	EUPATH_0011050	NA	:::UNDEF:::	
diet::caphy_zn_ratio	EUPATH_0011054	NA	:::UNDEF:::	
diet::nrg_cho	EUPATH_0011064	NA	:::UNDEF:::	
diet::nrg_fat	EUPATH_0011065	NA	:::UNDEF:::	
diet::nrg_pro	EUPATH_0011066	NA	:::UNDEF:::	
diet::num_meal	EUPATH_0011067	NA	:::UNDEF:::	
diet::phy_ca_ratio	EUPATH_0011068	NA	:::UNDEF:::	
diet::phy_fe_ratio	EUPATH_0011069	NA	:::UNDEF:::	
diet::phy_zn_ratio	EUPATH_0011070	NA	:::UNDEF:::	
lmz::ncflastdate	EUPATH_0011146	na	:::UNDEF:::	
mn_blood::adjfar	EUPATH_0011154	NA	:::UNDEF:::	
mn_blood::adjrar	EUPATH_0011155	NA	:::UNDEF:::	
mn_blood::tfrconc	EUPATH_0011156	NA	:::UNDEF:::	
mn_blood::tfrcat	EUPATH_0011157	1	2.9ug/mL or less	
mn_blood::tfrcat	EUPATH_0011157	2	2.9ug/mL to less than 8.3ug/mL	
mn_blood::tfrcat	EUPATH_0011157	3	8.3ug/mL or more	
mn_blood::tfrcat	EUPATH_0011157	NA	:::UNDEF:::	
mn_blood::adjzinc_mml	EUPATH_0011158	NA	:::UNDEF:::	
mn_blood::anemia	EUPATH_0011161	0	No	
mn_blood::anemia	EUPATH_0011161	1	Yes	
mn_blood::anemia	EUPATH_0011161	NA	:::UNDEF:::	
mn_blood::zinc_mml	EUPATH_0011166	NA	:::UNDEF:::	
mn_blood::hb_adj	EUPATH_0011172	NA	:::UNDEF:::	
mn_blood::highagp	EUPATH_0011173	0	No	
mn_blood::highagp	EUPATH_0011173	1	Yes	
mn_blood::highagp	EUPATH_0011173	NA	:::UNDEF:::	
mn_blood::highbll	EUPATH_0011174	0	No	
mn_blood::highbll	EUPATH_0011174	1	Yes	
mn_blood::highbll	EUPATH_0011174	NA	:::UNDEF:::	
mn_blood::lowadjfar	EUPATH_0011178	0	No	
mn_blood::lowadjfar	EUPATH_0011178	1	Yes	
mn_blood::lowadjfar	EUPATH_0011178	NA	:::UNDEF:::	
mn_blood::lowadjrar	EUPATH_0011179	0	No	
mn_blood::lowadjrar	EUPATH_0011179	1	Yes	
mn_blood::lowadjrar	EUPATH_0011179	NA	:::UNDEF:::	
mn_blood::lowadjzinc	EUPATH_0011180	0	No	
mn_blood::lowadjzinc	EUPATH_0011180	1	Yes	
mn_blood::lowadjzinc	EUPATH_0011180	NA	:::UNDEF:::	
mn_blood::sevanemia	EUPATH_0011190	0	No	
mn_blood::sevanemia	EUPATH_0011190	1	Yes	
mn_blood::sevanemia	EUPATH_0011190	NA	:::UNDEF:::	
lmz::ucfvol	EUPATH_0011194	NA	:::UNDEF:::	
mn_iar::urinevol	EUPATH_0011194	NA	:::UNDEF:::	
mn_blood::zarcolor	EUPATH_0011196	BROWN	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	BROWNISH RED	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	CLEAR PINK	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	CLEAR YELLOW	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	COLORLESS	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	DARK PURPLE	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	DARK RED	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	DARK YELLOW	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	EMPTY	Empty	
mn_blood::zarcolor	EUPATH_0011196	LIGHT PINK	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	LIGHT PURPLE	Moderate/possible hemolysis	
mn_blood::zarcolor	EUPATH_0011196	LIGHT YELLOW	No hemolysis	
mn_blood::zarcolor	EUPATH_0011196	NA	:::UNDEF:::	
mn_blood::zarcolor	EUPATH_0011196	ORANGE	Moderate/possible hemolysis	
mn_blood::zarcolor	EUPATH_0011196	ORANGE/PINK	Moderate/possible hemolysis	
mn_blood::zarcolor	EUPATH_0011196	PINK	Moderate/possible hemolysis	
mn_blood::zarcolor	EUPATH_0011196	PURPLE	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	RED	Probable hemolysis	
mn_blood::zarcolor	EUPATH_0011196	YELLOW	No hemolysis	
lmz::a_lac_mmols_per_l	EUPATH_0011198	NA	:::UNDEF:::	
lmz::a_lac_perexc	EUPATH_0011199	NA	:::UNDEF:::	
lmz::a_man_mmols_per_l	EUPATH_0011202	NA	:::UNDEF:::	
lmz::a_man_exc_mg	EUPATH_0011203	NA	:::UNDEF:::	
illnessfull::age_measles	EUPATH_0011204	NA	:::UNDEF:::	
illnessfull::age_measles	EUPATH_0011204	yes	Yes	
illnessfull::age_pertussis	EUPATH_0011205	NA	:::UNDEF:::	
illnessfull::age_pertussis	EUPATH_0011205	yes	Yes	
lmz::d_lac_mg	EUPATH_0011215	NA	:::UNDEF:::	
lmz::d_man_mg	EUPATH_0011216	NA	:::UNDEF:::	
lmz::datasheet	EUPATH_0011217	NA	:::UNDEF:::	
lmz::duration_urine_collection	EUPATH_0011235	na	:::UNDEF:::	
mpo_neo_ala::complete_gf	EUPATH_0011275	1	Yes	
mpo_neo_ala::complete_gf	EUPATH_0011275	NA	No	
lmz::lab	EUPATH_0011283	BG	Bangladesh	
lmz::lab	EUPATH_0011283	BR	Brazil	
lmz::lab	EUPATH_0011283	IN	India	
lmz::lab	EUPATH_0011283	OR	Oregon Analytics Eugene	
lmz::lac_bin	EUPATH_0011284	0	No	
lmz::lac_bin	EUPATH_0011284	1	Yes	
lmz::lac_bin	EUPATH_0011284	NA	:::UNDEF:::	
lmz::lacexc_100	EUPATH_0011285	1	Yes, flag	
lmz::lacexc_100	EUPATH_0011285	NA	:::UNDEF:::	
lmz::a_lmr	EUPATH_0011286	NA	:::UNDEF:::	
vax_and_titer_wdates::log2per	EUPATH_0011517	NA	:::UNDEF:::	
vax_and_titer_wdates::log2poligg	EUPATH_0011403	NA	:::UNDEF:::	
vax_and_titer_wdates::log2pol1n	EUPATH_0011290	NA	:::UNDEF:::	
vax_and_titer_wdates::log2pol2n	EUPATH_0011291	NA	:::UNDEF:::	
vax_and_titer_wdates::log2pol3n	EUPATH_0011292	NA	:::UNDEF:::	
vax_and_titer_wdates::log2rotag	EUPATH_0011515	NA	:::UNDEF:::	
vax_and_titer_wdates::log2rotaa	EUPATH_0011516	NA	:::UNDEF:::	
lmz::man_bin	EUPATH_0011296	0	No	
lmz::man_bin	EUPATH_0011296	1	Yes	
lmz::man_bin	EUPATH_0011296	NA	:::UNDEF:::	
lmz::manexc_100	EUPATH_0011297	1	Yes, flag	
lmz::manexc_100	EUPATH_0011297	NA	:::UNDEF:::	
vax_and_titer_wdates::meainf_befbl	EUPATH_0011307	0	:::UNDEF:::	
vax_and_titer_wdates::meainf_befbl	EUPATH_0011307	1	Yes	
vax_and_titer_wdates::meainf_befbl	EUPATH_0011307	NA	:::UNDEF:::	
vax_and_titer_wdates::meapos	EUPATH_0011309	0	No	
vax_and_titer_wdates::meapos	EUPATH_0011309	1	Yes	
vax_and_titer_wdates::meapos	EUPATH_0011309	NA	:::UNDEF:::	
lmz::no_lact_peak	EUPATH_0011331	1	Yes, flag	
lmz::no_lact_peak	EUPATH_0011331	NA	:::UNDEF:::	
lmz::no_mann_peak	EUPATH_0011332	1	Yes, flag	
lmz::no_mann_peak	EUPATH_0011332	NA	:::UNDEF:::	
lmz::note	EUPATH_0011333	CHILD TOOK ONLY 6ML OF LM. HAD ALLERGY TO THE SOLUTION W/PDF	Yes, flag	
lmz::note	EUPATH_0011333	DOSAGE BASED ON PRIOR MONTH'S WEIGHT, W/PDF	Yes, flag	
lmz::note	EUPATH_0011333	INCORRECT DOSAGE ADMINISTERED (21.86ML INSTEAD OF 20ML) W/PDF	Yes, flag	
mpo_neo_ala::diarrhea_gf	EUPATH_0011339	0	No	
mpo_neo_ala::diarrhea_gf	EUPATH_0011339	1	Yes	
mpo_neo_ala::diarrhea_gf	EUPATH_0011339	NA	:::UNDEF:::	
mpo_neo_ala::gemsep	EUPATH_0011358	0	No	
mpo_neo_ala::gemsep	EUPATH_0011358	1	Yes	
mpo_neo_ala::gemsep	EUPATH_0011358	NA	:::UNDEF:::	
mpo_neo_ala::lmday	EUPATH_0011363	1	Yes	
mpo_neo_ala::lmday	EUPATH_0011363	NA	No	
mpo_neo_ala::lnconc.ala	EUPATH_0011276	NA	:::UNDEF:::	
mpo_neo_ala::lnconc.mpo	EUPATH_0011277	NA	:::UNDEF:::	
mpo_neo_ala::lnconc.neo	EUPATH_0011278	NA	:::UNDEF:::	
vax_and_titer_wdates::perinf_befbl	EUPATH_0011395	0	:::UNDEF:::	
vax_and_titer_wdates::perinf_befbl	EUPATH_0011395	1	Yes	
vax_and_titer_wdates::perinf_befbl	EUPATH_0011395	NA	:::UNDEF:::	
vax_and_titer_wdates::perpos	EUPATH_0011397	0	No	
vax_and_titer_wdates::perpos	EUPATH_0011397	1	Yes	
vax_and_titer_wdates::perpos	EUPATH_0011397	NA	:::UNDEF:::	
vax_and_titer_wdates::pol2npos	EUPATH_0011398	0	No	
vax_and_titer_wdates::pol2npos	EUPATH_0011398	1	Yes	
vax_and_titer_wdates::pol2npos	EUPATH_0011398	NA	:::UNDEF:::	
vax_and_titer_wdates::poliggpos	EUPATH_0011400	0	No	
vax_and_titer_wdates::poliggpos	EUPATH_0011400	1	Yes	
vax_and_titer_wdates::poliggpos	EUPATH_0011400	NA	:::UNDEF:::	
lmz::zcontin_bc_lac	EUPATH_0011404	NA	:::UNDEF:::	
