dataFile,variable,codebookDescription,codebookValues,termType,IRI,label,displayOrder,definition,category,parentLabel,parentIRI,replaces
uptake-baseline-public,uptake-baseline-public::study_year,"Study timepoint (baseline,midline,endline)",,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-midline-public,uptake-midline-public::study_year,"Study timepoint (baseline,midline,endline)",,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-endline-public,uptake-endline-public::study_year,"Study timepoint (baseline,midline,endline)",,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
midline-anthro-public,midline-anthro-public::time,,NA,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,NA,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
endline-anthro-public,endline-anthro-public::time,,NA,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,NA,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::time,,NA,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,NA,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::HHS,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
endline-anthro-public,endline-anthro-public::HHS,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
midline-anthro-public,midline-anthro-public::HHS,Hunger score,"1. Little to none,
2. Moderate,
3. Severe,
9. Missing",variable,http://purl.obolibrary.org/obo/EUPATH_0037006,Hunger score,,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-baseline-public,uptake-baseline-public::imp_lat,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved Latrine,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
uptake-midline-public,uptake-midline-public::imp_lat,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved Latrine,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
uptake-endline-public,uptake-endline-public::imp_lat,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved Latrine,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
endline-anthro-public,endline-anthro-public::haz,Length/height-for-age Z-score,,variable,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::haz,Length/height-for-age Z-score,,variable,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
uptake-baseline-public,uptake-baseline-public::lns,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. ,Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,NA
uptake-midline-public,uptake-midline-public::lns,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. ,Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,NA
uptake-endline-public,uptake-endline-public::lns,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. ,Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,NA
diar-public,diar-public::motherht,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
endline-anthro-public,endline-anthro-public::motherht,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
midline-anthro-public,midline-anthro-public::motherht,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,"Median height of the target child participant's mother, in centimeters, based on measurements taken 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age. Maternal height was measured in later visits and not at enrollment because it could have been influenced by pregnancy.",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
diar-public,diar-public::mobilephone,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::mobilephone,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::mobilephone,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
bruise-public,bruise-public::month,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
diar-public,diar-public::month,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
endline-anthro-public,endline-anthro-public::month,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
midline-anthro-public,midline-anthro-public::month,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
diar-public,diar-public::mother_age,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
endline-anthro-public,endline-anthro-public::mother_age,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
midline-anthro-public,midline-anthro-public::mother_age,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,"Age of the target child participant's mother, in years. Assessed at enrollment (when target children were in utero).",Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
diar-public,diar-public::mother_edu,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Dont know",variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Categorization of the amount of education completed by the target child participant's mother.,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
endline-anthro-public,endline-anthro-public::mother_edu,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Categorization of the amount of education completed by the target child participant's mother.,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
midline-anthro-public,midline-anthro-public::mother_edu,,"0. Incomplete primary,
1. Complete primary,
2. Any secondary,
9. Don't know",variable,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Categorization of the amount of education completed by the target child participant's mother. ,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,NA
diar-public,diar-public::motorcycle,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::motorcycle,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::motorcycle,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0035116,Nutrition supplementation,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,NA,,Observation,,http://www.w3.org/2002/07/owl#Thing,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,NA,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
tracking-public,tracking-public::parasite_bl,Household has baseline parasite child,"1. YES,
2. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037008,Parasite positive child at baseline,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,NA,,Participant,,http://www.w3.org/2002/07/owl#Thing,NA
bruise-public,bruise-public::newbirth,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,"Compounds with a pregnant women were enrolled. Target child participants (the primary study population) were, by definition, in utero at enrollment and always born after enrollment. Older sibling or neighbor participants who were less than 36m at the time of enrollment or who were born during follow-up were also included as participants.",Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
diar-public,diar-public::newbirth,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,"Compounds with a pregnant women were enrolled. Target child participants (the primary study population) were, by definition, in utero at enrollment and always born after enrollment. Older sibling or neighbor participants who were less than 36m at the time of enrollment or who were born during follow-up were also included as participants.",Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
endline-anthro-public,endline-anthro-public::newbirth,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,"Compounds with a pregnant women were enrolled. Target child participants (the primary study population) were, by definition, in utero at enrollment and always born after enrollment. Older sibling or neighbor participants who were less than 36m at the time of enrollment or who were born during follow-up were also included as participants.",Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
midline-anthro-public,midline-anthro-public::newbirth,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,"Compounds with a pregnant women were enrolled. Target child participants (the primary study population) were, by definition, in utero at enrollment and always born after enrollment. Older sibling or neighbor participants who were less than 36m at the time of enrollment or who were born during follow-up were also included as participants.",Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
mortality-public,mortality-public::childid,Child ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
bruise-public,bruise-public::childid,Child ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
diar-public,diar-public::childid,Child ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
endline-anthro-public,endline-anthro-public::childid,Child ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
midline-anthro-public,midline-anthro-public::childid,Child ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
diar-public,diar-public::u18,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
endline-anthro-public,endline-anthro-public::u18,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
midline-anthro-public,midline-anthro-public::u18,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035045,Persons 18yrs and younger living in house,,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
diar-public,diar-public::Ncomp,Total number of people in compound,,variable,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Total number of people that lived in the target child participant's compound.,Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,NA
endline-anthro-public,endline-anthro-public::Ncomp,Total number of people in compound,,variable,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Total number of people that lived in the target child participant's compound. ,Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,NA
midline-anthro-public,midline-anthro-public::Ncomp,Total number of people in compound,,variable,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Total number of people that lived in the target child participant's compound.,Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,NA
uptake-baseline-public,uptake-baseline-public::promoter,,,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter Visit,,Household has been visited by a promoter,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-midline-public,uptake-midline-public::promoter,,,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter Visit,,Household has been visited by a promoter,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-endline-public,uptake-endline-public::promoter,,,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter Visit,,Household has been visited by a promoter,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::radio,,"0. No radio,
1. Has radio,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::radio,,"0. No radio,
1. Has radio,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::radio,,"0. No radio,
1. Has radio,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
diar-public,diar-public::block,Randomization block,,variable,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
blind-tr-public,blind-tr-public::block,Randomization block,,variable,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
tr-public,tr-public::block,Randomization block,,variable,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
diar-public,diar-public::roof,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
endline-anthro-public,endline-anthro-public::roof,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
midline-anthro-public,midline-anthro-public::roof,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
blind-tr-public,blind-tr-public::tr,Randomized treatment assignment (scrambled/blinded!!),"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",variable,http://purl.obolibrary.org/obo/EUPATH_0035015,Scrambled intervention assignment,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
endline-anthro-public,endline-anthro-public::sstunted,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::sstunted,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
bruise-public,bruise-public::sex,Sex,"0. Male,
1. Female",variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,NA
diar-public,diar-public::sex,Sex,"0. Male,
1. Female",variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,NA
endline-anthro-public,endline-anthro-public::sex,Sex,"0. Male,
1. Female",variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,NA
midline-anthro-public,midline-anthro-public::sex,Sex,"0. Male,
1. Female",variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,NA,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
uptake-baseline-public,uptake-baseline-public::hws,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Soap at hand washing location,,Whether the primary hand washing location has soap.,Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,NA
uptake-midline-public,uptake-midline-public::hws,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Soap at hand washing location,,Whether the primary hand washing location has soap.,Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,NA
uptake-endline-public,uptake-endline-public::hws,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Soap at hand washing location,,Whether the primary hand washing location has soap.,Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::stove,,"0. No stove,
1. Has stove,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::stove,,"0. No stove,
1. Has stove,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::stove,,"0. No stove,
1. Has stove,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
bruise-public,bruise-public::time,,,variable,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
diar-public,diar-public::time,,,variable,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
endline-anthro-public,endline-anthro-public::time,,,variable,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
midline-anthro-public,midline-anthro-public::time,,,variable,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,"Survey data on participants were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). Outcomes were measured after 1 year (midline) and 2 years (endline) of intervention delivery. If you would like to view only data from a particular timepoin",Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
endline-anthro-public,endline-anthro-public::stunted,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::stunted,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,,"Whether the target child participant was stunted, defined as having a length- or height-for-age z-score of less than -2. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0011878,Symptoms by caregiver report,NA,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,NA
mortality-public,mortality-public::childtype,Child type,"1. Study Child,
2. Study Child Twin,
4. Comparison/Parasite Child,
5. Secondary Child,
6. Newborn into study",variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
diar-public,diar-public::targetchild,,targetchild,variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
endline-anthro-public,endline-anthro-public::targetchild,,targetchild,variable,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Target child participants were in utero at enrollment and were the primary study population (referred to as 'index children' in the manuscript). Older sibling or neighbor participants were less than 36m at the time of target child enrollment.,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
