overallOrder,variable,dataFile,keepDiscard,IRI,label,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag
181,house,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi muli ndi malo/nyumba?</font>","0, No | 1, Yes | -9, Unknown",,,,NA,house,chr,0,NA,NA,n/a,n/a,", -9, 0, 1",3,0.791170136,NA
182,electric,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi m'nyumba mwanu muli ndi magesti?</font>","0, No | 1, Yes | -9, Unknown",,,,NA,electric,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.791457286,NA
183,tv,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi m'nyumba mwanu muli ndi kanema?</font>","0, No | 1, Yes | -9, Unknown",,,,NA,tv,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.791313711,NA
184,housemat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color =""blue"">Kodi Khoma la nyumbayi linamangidwa ndi chiani?</font> What was the building of the building?","1, Natural wall | 2, Rudimentary wall | 3, Finished wall | 4, Other",,,,NA,housemat,chr,3,NA,NA,n/a,n/a,", 1, 2, 3, 4",4,0.790811199,NA
185,hous_nat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of natural wall,"11, No walls | 12, Cane/sticks/bamboo/reed",,map multiple variables to same IRI,,NA,hous_nat,chr,12,NA,NA,n/a,n/a,", 12",1,0.999497487,NA
186,hous_rud,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of rudementary wall,"21, Bamboo/wood with mud | 22, Stone with mud | 23, Uncovered abode | 24, Plywood | 25, Carton",,map multiple variables to same IRI,,NA,hous_rud,chr,22,NA,NA,n/a,n/a,", 21, 22, 23, 25",4,0.977386935,NA
187,hous_fin,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of finished wall,"31, Cement | 32, Stone with lime/cement | 33, Bricks | 34, Cement blocks | 35, Covered adobe | 36, Wood planks/shingles",,map multiple variables to same IRI,,NA,hous_fin,chr,33,NA,NA,n/a,n/a,", 31, 32, 33, 34, 35, 36",6,0.813998564,NA
188,hous_other,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Ngati pali zina nenani</font>",NA,,map multiple variables to same IRI,,NA,hous_other,chr,Zidina,NA,NA,n/a,n/a,", Zidina",1,0.999928212,NA
189,roofmat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color =""blue"">Kodi denga lanyumba yanu ndi lopangidwa ndi chiani?</font> What is your home roof made of?","1, Natural roof | 2, Rudimentary roof | 3, Finished roof | 4, Other",,,,NA,roofmat,chr,3,NA,NA,n/a,n/a,", 1, 2, 3, 4",4,0.791313711,NA
190,roof_nat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of natural roof,"11, Thatch/leaf | 12, Sticks and mud",,map multiple variables to same IRI,,NA,roof_nat,chr,11,NA,NA,n/a,n/a,", 11",1,0.956353195,NA
191,roof_rud,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of rudementary roof,"21, Rustic mat/plastic sheet | 22, Reed/bamboo | 23, Wood planks",,map multiple variables to same IRI,,NA,roof_rud,chr,22,NA,NA,n/a,n/a,", 21, 22",2,0.999856425,NA
192,roof_fin,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of finished roof,"31, Corrugated iron | 32, Wood | 33, Calamine/cement fiber | 34, Cement/concrete | 35, Roofing shingles",,map multiple variables to same IRI,,NA,roof_fin,chr,31,NA,NA,n/a,n/a,", 31, 32, 33, 34, 35",5,0.835678392,NA
193,roof_other,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Ngati pali zina nenani</font>",NA,,map multiple variables to same IRI,,NA,roof_other,chr,NO ROOF,NA,NA,n/a,n/a,", no roof, NO ROOF",2,0.999856425,NA
194,window,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi nyumba yanu ili ndi mazenera?</font> (<i>observe</i>) Does your house have windows?","0, No | 1, Yes",,,,NA,window,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.790882986,NA
195,windowmat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Are you able to determine what the windows of the house are made of?,"0, No | 1, Yes",,,,NA,windowmat,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.820890165,NA
196,windowmatsp___1,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,What are the windows of the building made? Windows with glass,NA,,,,NA,windowmatsp___1,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.01787509,NA
197,windowmatsp___2,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Windows with screens ,NA,,,,NA,windowmatsp___2,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.01787509,NA
198,windowmatsp___3,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Windows with curtains or shutters,NA,,,,NA,windowmatsp___3,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.01787509,NA
199,floor,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Are you able to determine what the building material of the floor of the house is?,"0, No | 1, Yes",,,,NA,floor,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.791241924,NA
200,floormat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi pansi pa nyumba yanu ndipopangidwa ndi chiani?</font>","1, Natural floor | 2, Rudimentary floor | 3, Finished floor | 4, Other",,,,NA,floormat,chr,3,NA,NA,n/a,n/a,", 1, 3",2,0.793610912,NA
201,floor_nat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of natural floor,"11, Earth/sand | 12, Dung",,,,NA,floor_nat,chr,11,NA,NA,n/a,n/a,", 11, 12",2,0.926274228,NA
202,floor_rud,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Select the type of rudementary floor,"21, Wood planks | 22, Palm/bamboo",,,,NA,floor_rud,chr,NA,NA,NA,n/a,n/a,,0,1,no data
203,floor_fin,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of finished floor,"31, Parquet or polished wood | 32, Vinyl or asphalt strips | 33, Ceramic tiles | 34, Cement | 35, Carpet",,,,NA,floor_fin,chr,34,NA,NA,n/a,n/a,", 33, 34, 35",3,0.867408471,NA
204,floormatsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"<font color=""blue"">Ngati zili zina nenani</font>",NA,,,,NA,floormatsp,chr,NA,NA,NA,n/a,n/a,,0,1,no data
205,fuel,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Are you able to determine what type of fuel the household mainly uses for cooking?,"0, No | 1, Yes",,,,NA,fuel,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.791385499,NA
206,fuelmat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi mumagwiritsa ntchito chiani pophikira?</font> What do you use for cooking?","01, Electricity | 02, LPG/ natural gas | 03, Biogas | 04, Kerosene | 05, Coal/lignite | 06, Charcoal | 07, Firewood/straw | 08, Dung | 09, Other",,,,NA,fuelmat,chr,7,NA,NA,n/a,n/a,", 1, 3, 4, 5, 6, 7",6,0.792246949,NA
207,fuelmatsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"<font color=""blue"">Ngati pali zina anene</font>",NA,,,,NA,fuelmatsp,chr,NA,NA,NA,n/a,n/a,,0,1,no data
208,water,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi madzi akumwa mumawatenga kuti?</font> 
Where do you get your drinking water?","1, Piped water | 21, Tube well or borehole | 3, Dug well | 4, Water from spring | 51, Rainwater | 61, Tanker truck | 71, Cart with small tank | 81, Surface water (river/dam/lake/pond/stream/canal/irrigation channel) | 91, Bottled water | 96, Other | -9, Unknown",,,,NA,water,chr,21,NA,NA,n/a,n/a,", 1, 21, 3, 4, 81",5,0.790882986,NA
209,pipewater,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of piped water,"11, Piped into dwelling | 12, Piped into yard/plot | 13, Public tap/standpipe",,,,NA,pipewater,chr,13,NA,NA,n/a,n/a,", 11, 12, 13",3,0.881909548,NA
210,dug,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of dug well,"31, Protected well | 32, Unprotected well",,,,NA,dug,chr,31,NA,NA,n/a,n/a,", 31, 32",2,0.989519024,NA
211,spring,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of water from spring,"41, Protected spring | 42, Unprotected spring",,,,NA,spring,chr,42,NA,NA,n/a,n/a,", 41, 42",2,0.9994257,NA
212,water_sou,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"<font color=""blue"">Ngati pali zina nenani</font>",NA,,,,NA,water_sou,chr,NA,NA,NA,n/a,n/a,,0,1,no data
213,toilet,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Kodi muli ndi chimbudzi chotani?</font> 
Do you have a toilet?","1, Flush or pour flush toilet | 2, Pit latrine | 31, Composting toilet | 41, Bucket toilet | 51, Hanging toilet/hanging latrine | 61, No facility/bush/field | 96, Other | -9, Unknown",,,,NA,toilet,chr,2,NA,NA,n/a,n/a,", 1, 2, 31, 41, 51, 61, 96",7,0.790811199,NA
214,flush,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of flush or pour flush toilet,"11, Flush to piped sewer system | 12, Flush to septic tank | 13, Flush to pit latrine | 14, Flush to somewhere else | 15, Flush, don't know where",,,,NA,flush,chr,11,NA,NA,n/a,n/a,", 11, 12, 13, 14",4,0.992462312,NA
215,pit,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Select the type of pit latrine,"21, Ventilated improved pit latrine (VIP) | 22, Pit latrine with slab | 23, Pit latrine without slab/open pit",,,,NA,pit,chr,23,NA,NA,n/a,n/a,", 21, 22, 23",3,0.80028715,NA
216,toiletsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Ngati pali zina tchulani</font>",NA,,,,NA,toiletsp,chr,No toilet due to heavy rains it fall down,NA,NA,n/a,n/a,", No toilet, No toilet due to heavy rains it fall down",2,0.999856425,NA
217,latitude,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Latitude,NA,,,,"degrees, minutes, seconds (Enter -9 if not done.)",latitude,chr,-15.881826,NA,NA,n/a,n/a,>10 unique values,2847,0.794544149,NA
218,longitude,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Longitude,NA,,,,"degrees, minutes, seconds (Enter -9 if not done.)",longitude,chr,34.933243,NA,NA,n/a,n/a,>10 unique values,2865,0.793036612,NA
219,elevation,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Elevation,NA,,,,"degrees, minutes, seconds (Enter -9 if not done.)",elevation,chr,891.3 M,NA,NA,n/a,n/a,>10 unique values,581,0.954989232,NA
220,screen,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Are the windows of the house screened? <i>(Observe)</i>,"0, No | 1, Yes",,,,NA,screen,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.792462312,NA
221,eaves,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,What is the condition of the house eaves? <i>(Observe)</i>,"1, Open | 2, Closed",,,,NA,eaves,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.791385499,NA
222,nrooms,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Number of rooms in the house?,NA,,,,NA,nrooms,chr,2,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6, 7, 8, 9",9,0.846805456,NA
223,asprooms,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,How many rooms were aspirated?,NA,,,,NA,asprooms,chr,2,NA,NA,n/a,n/a,", 0, 1, 2, 3, 4, 5, 6, 7",8,0.846805456,NA
224,nslept,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,How many people slept in the house?,NA,,,,NA,nslept,chr,4,NA,NA,n/a,n/a,>10 unique values,15,0.846805456,NA
225,breeding,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Are there potential breeding sites around the house? <i>(Observe)</i>,"0, No | 1, Yes",,,,NA,breeding,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.792677674,NA
226,breedingn,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If yes, how many breeding sites are there? <i>(Observe)</i>",NA,,,,XX sites (Enter -7 if unknown.),breedingn,chr,1,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5",5,0.974156497,NA
227,stwater,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If yes, what types of potential breeding sites are around the house? Standing water in the ground","0, No | 1, Yes",,,,NA,stwater,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.974515434,NA
228,stwaterm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),stwaterm,chr,7,NA,NA,n/a,n/a,>10 unique values,24,0.982555635,NA
229,garden,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Gardens,"0, No | 1, Yes",,,,NA,garden,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.974802584,NA
230,gardenm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),gardenm,chr,12,NA,NA,n/a,n/a,>10 unique values,18,0.993682699,NA
231,dtyre,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Discarded tyres,"0, No | 1, Yes",,,,NA,dtyre,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.974946159,NA
232,dtyrem,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),dtyrem,chr,12,NA,NA,n/a,n/a,", 12, 16, 2, 3, 4, 5, 6, 7, 8",9,0.99913855,NA
233,dtrash,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"Discarded trash (e.g., pots, pans, etc.)","0, No | 1, Yes",,,,NA,dtrash,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.974874372,NA
234,dtrashm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),dtrashm,chr,20,NA,NA,n/a,n/a,>10 unique values,17,0.994687724,NA
235,marsh,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Marshes,"0, No | 1, Yes",,,,NA,marsh,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.974443647,NA
236,marshm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),marshm,chr,4,NA,NA,n/a,n/a,>10 unique values,15,0.996769562,NA
237,forest,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Forest,"0, No | 1, Yes",,,,NA,forest,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.974443647,NA
238,forestm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Distance from the house,NA,,,,XX meters (Enter -7 if unknown.),forestm,chr,15,NA,NA,n/a,n/a,>10 unique values,10,0.9988514,NA
239,mostime,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Time of collection,"1, 6:00-11:00am | 2, After 11:00am",,,,NA,mostime,chr,1,NA,NA,n/a,n/a,", 1, 2",2,0.793323762,NA
240,nethang,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"<font color=""blue"">Ndingathe kuona nawo pamene (tchulani dzina laodwala) anagona usiku wathawu?</font>
<i>Observe if the net has been hanged.</i>","0, Not hanged | 1, Hanged no holes | 2, Hanged with holes | 3, Refused to show net | -9, Unknown",,,,NA,nethang,chr,2,NA,NA,n/a,n/a,", -9, 0, 1, 2, 3",5,0.7977028,NA
241,nettype,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Observe the type of net,"1, Permanent net | 2, Pretreated net | 7, Other | -9, Unknown",,,,NA,nettype,chr,7,NA,NA,n/a,n/a,", -9, 1, 2, 7",4,0.798420675,NA
242,netperm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If permanent net, observe the brand of net","1, Permanet | 2, Olyset",,,,NA,netperm,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.886432161,NA
243,netpretreat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If pretreated net, observe the brand of the net","3, ICONET | 4, Fennet | 5, KO Nets | 6, Safinet",,,,NA,netpretreat,chr,6,NA,NA,n/a,n/a,", 3, 4, 5, 6",4,0.96166547,NA
244,nettypesp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If other, specify",NA,,,,NA,nettypesp,chr,Unicef net,NA,NA,n/a,n/a,>10 unique values,30,0.990524049,NA
245,finalres,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Final result of the household visit,"1, Completed | 2, No household member at home or no competent respondent at home at time of visit | 3, Entire household absent for extended period of time | 4, Postponed | 5, Withdrawn consent | 6, House vacant or address not a dwelling | 7, House not found | 8, Other",,,,NA,finalres,chr,1,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6, 7, 8",8,0.739913855,NA
246,finalsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,"If other, specify",NA,,,,NA,finalsp,chr,The client stays in Thyolo she come to mpemba to visit her relatives,NA,NA,n/a,n/a,>10 unique values,69,0.991241924,NA
247,comm_hhq,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Comments,NA,,,,NA,comm_hhq,chr,The client come to visit parents but she will stay for a month,NA,NA,n/a,n/a,>10 unique values,342,0.836683417,NA
248,household_questionnaire_complete,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,NA,NA,,,What do the values mean? Should we load this?,NA,household_questionnaire_complete,chr,0,NA,NA,n/a,n/a,", 0",1,0.01787509,NA
249,specdate2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Specimen analysis date,NA,,,,yyyy-mm-dd (Enter 1911-11-11 if unknown.),specdate2r,chr,NA,date?,NA,n/a,n/a,,0,1,no data
250,userid2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,ICEMR user ID,NA,,,,Enter your user ID for logging into REDCap; use all lower case letters.,userid2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
251,thicksmid2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Thick Blood Smear ID,NA,,,,Enter -8 if missing. Enter -9 if not done.,thicksmid2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
252,thicksmres2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,What is the thick blood smear result?,"0, Negative | 1, Positive | -9, Not done",,,,NA,thicksmres2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
253,thicksmres2sp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If not done, specify the reason ","0, Sample missing | 1, Sample damaged | 2, Smear not well prepared | 3, Other",,,,NA,thicksmres2sp,chr,NA,NA,NA,n/a,n/a,,0,1,no data
254,thicksmres2spo,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If other, specify",NA,,,,NA,thicksmres2spo,chr,NA,NA,NA,n/a,n/a,,0,1,no data
255,thicksmwbc2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If positive, is the result based on 200 or 100 WBC?","2, 200 WBC | 1, 100 WBC | -9, Not done",,,,NA,thicksmwbc2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
256,thicksmpara2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If positive, how many parasites per 200 WBC?",NA,,,,"parasites/200 WBC (Do not enter 0 = NPS, this field is only for positive results. Enter -6 = too many parasites to read; -8 = missing.)",thicksmpara2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
257,thicksmpd2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Parasite density,[thicksmpara2r]*40,,,,parasites/uL,thicksmpd2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
258,thicksm100para2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If positive, how many parasites per 100 WBC?",NA,,,,"parasites/100 WBC (Do not enter 0 = NPS, this field is only for positive results. Enter -6 = too many parasites to read; -8 = missing.)",thicksm100para2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
259,thicksm100pd2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Parasite density,[thicksm100para1r]*80,,,,parasites/uL,thicksm100pd2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
260,thinsmid2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Thin Blood Smear ID,NA,,,,Enter -8 if missing. Enter -9 if not done.,thinsmid2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
261,thinsmpd2r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,What is the thin blood smear result?,NA,,,,/500 RBCs (Enter -8 if missing. Enter -9 if not done.),thinsmpd2r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
262,thinsmres2sp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If not done, specify the reason","0, Sample missing | 1, Sample damaged | 2, Smear not well prepared | 3, Other",,,,NA,thinsmres2sp,chr,NA,NA,NA,n/a,n/a,,0,1,no data
263,thinsmres2spo,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If other, specify",NA,,,,NA,thinsmres2spo,chr,NA,NA,NA,n/a,n/a,,0,1,no data
264,thicksmresdiff12r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Did the 1st and 2nd reader agree on the thick smear results?,NA,,,,No or Yes,thicksmresdiff12r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
265,thicksmdiff12r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Percent difference between 1st and 2nd reading for thick smear parasite density,(([thicksmpd1r] - [thicksmpd2r]) / [thicksmpd1r]) *100,,,,%,thicksmdiff12r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
266,thinsmdiff12r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Percent difference between 1st and 2nd reading for thin smear results,(([thinsmpd1r] - [thinsmpd2r]) / [thinsmpd1r]) *100,,,,%,thinsmdiff12r,chr,NA,NA,NA,n/a,n/a,,0,1,no data
