overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
54,rnosedur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Runny nose or nasal congestion duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of runny nose or nasal congestion,,variable,
55,otherdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of the other symptom?,"1, Days | 2, Weeks",variable,
56,otherdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of the other symptom,,variable,
57,temp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000110,Temperature (C),,Observation,Physical examination,OGMS_0000083,What is the recorded body temperature for the participant today?,,variable,
58,diagnos___17,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Malaria,,Observation,,,What is (are) the clinical diagnosis(es) of the presenting symptoms today? Malaria,,value,"Belongs in ""Diagnosis"", but not sure what category to use within ""Diagnosis"". "
59,diagnos___35,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Pneumonia,,Observation,,,Pneumonia,,value,"Belongs in ""Diagnosis"", but not sure what category to use within ""Diagnosis"". "
60,diagnos___12,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Diarrhea,,Observation,,,Diarrhoea,,value,"Belongs in ""Diagnosis"", but not sure what category to use within ""Diagnosis"". "
61,diagnos___32,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Upper respiratory tract infection,,Observation,,,Upper respiratory tract infection,,value,"Belongs in ""Diagnosis"", but not sure what category to use within ""Diagnosis"". "
62,diagnos___34,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other,,Observation,,,Other,,value,"Belongs in ""Diagnosis"", but not sure what category to use within ""Diagnosis"". "
63,diagnossp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000317,Other diagnosis,,Observation,Diagnosis,OGMS_0000073,"If other, specify",,variable,
64,treatt___18,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Lumefantrine-artemether,,Observation,Medication,,What treatment(s) has the participant been prescribed today? lumefantrine-artemether (LA),,value,
65,treatt___3,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate-amodiaquine,,Observation,Medication,,artesunate-amodiaquine (ASAQ),,value,
66,treatt___2,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate,,Observation,Medication,,artesunate (injectable),,value,
67,treatt___7,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Cotrimoxazole acute therapy (COT or Bactrim or Cotrim or Septrim or TMP),,Observation,Medication,,cotrimoxazole acute therapy (COT or Bactrim or Cotrim or Septrim or TMP),,value,
68,treatt___31,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Iron,,Observation,Medication,,iron,,value,
69,treatt___25,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Quinine,,Observation,Medication,,quinine (QN),,value,
70,treatt___30,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other,,Observation,Medication,,other,,value,
71,treattsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other treatment,,Observation,Medication,,"If other, specify",,variable,
72,treatp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Medication before visit,,Observation,Treatment,OGMS_0000090,Did the participant receive any medications prior to this clinic visit? ,"0, No | 1, Yes | -9, Unknown",variable,
73,treatpsp___18,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Lumefantrine-artemether,,Observation,Medication taken before visit,,"If yes, what treatment(s) has the participant received prior to this clinic visit?  lumefantrine-artemether (LA)",,value,
74,treatpsp___3,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate-amodiaquine,,Observation,Medication taken before visit,,artesunate-amodiaquine (ASAQ) ,,value,
75,treatpsp___2,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate,,Observation,Medication taken before visit,,artesunate (injectable),,value,
76,treatpsp___28,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Sulfadoxine-pyrimethamine (SP or Fansidar),,Observation,Medication taken before visit,,sulfadoxine-pyrimethamine (SP or Fansidar),,value,
77,treatpsp___7,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Cotrimoxazole acute therapy (COT or Bactrim or Cotrim or Septrim or TMP),,Observation,Medication taken before visit,,cotrimoxazole acute therapy (COT or Bactrim or Cotrim or Septrim or TMP),,value,
78,treatpsp___31,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Iron,,Observation,Medication taken before visit,,iron,,value,
79,treatpsp___25,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Quinine,,Observation,Medication taken before visit,,quinine (QN),,value,
80,treatpsp___30,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other,,Observation,Medication taken before visit,,other,,value,
81,treatspoth,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other treatment,,Observation,Treatment,OGMS_0000090,"If other, specify",,variable,
85,maptaken,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Household directions collected,Narrative directions to the child's home were collected,Participant,Administrative information,EUPATH_0010035,Has the narrative map directions to the child's home been taken?,"0, No | 1, Yes | 2, Not taken",variable,
89,hhqdate,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0021085,Household data collection date,,Household,Household,PCO_0000024,Visit date,,variable,
89,hhqdate,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0004991,Observation date,,Observation,Observation details,EUPATH_0000310,Visit date,,variable,
91,consent,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0010420,Consent for enrollment given,,Participant,Eligibility criteria,EUPATH_0010036,"Has the Adult patient/mother/caretaker given consent for patient to participate in the study? (<i>Show the Adult patient/mother/caretaker the signed consent form.)</i>

<i>If no or unknown, please do not continue to fill in this questionnaire. Please fill in the section labeled, ""FINAL RESULT OF THE HOUSEHOLD VISIT"" of this CRF accordingly.</i>","0, No | 1, Yes | -9, Unknown",variable,
95,mccrel,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0010123,Interviewee relationship to participant,,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue"">Kodi odwalayu ndi inu pali ubale wanji?</font> what is the relationship to you?","1, Mother | 2, Father | 3, Grandmother | 4, Aunt | 5, Other | 6, Self | 7, Husband | 8, Wife",variable,
96,mccrelsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other interviewee relationship to participant,,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue"">Ngati ndi wina nenani</font> If other type of relationship specify",,variable,
97,mccage,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Interviewee age,,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue"">Kodi muli ndi zaka zingati?</font> How old are you?",,variable,
98,mccmarital,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Interviewee marital status,,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue"">Kodi muli pa banja?</font > What is your marital status? <i>(Probe to establish the marital status to select the correct option.)</i> Are you married?","1, Married with spouse in the household | 2, Living with a partner in the household not married | 3, Married with spouse living elsewhere | 4, Single/never married | 5, Divorced | 6, Widowed | 7, Other | -9, Unknown",variable,
99,mccmaritalsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other interviewee marital status,,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue"">Ngati ndi wina nenani</font> If other type of marital status then specify",,variable,
100,netpos,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0024123,Bednets,,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Kodi mnyumba mwanu muli ndi masikito amene mungagwiritsa ntchito mukamagona?</font> Do you have a mosquito net in your house?","0, No | 1, Yes | -9, Unknown",variable,
101,last_net,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Bednet last night,,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Kodi (<i>tchulani dzina la odwala</i>) anagona mu masikito usiku wathawu?</font> Did the patient sleep in a net last night","0, No | 1, Yes | -9, Unknown",variable,
102,net_obtain,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0024266,Time owned personal bednet,,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Kodi papita nthawi yayitali bwanji chipezezereni masikito amene (tchulani dzina laodwala) akugwiritsa ntchito?</font> How long ago did you obtain the net that (name) used?","0, Less than a month | 1, 1 month to 3 years ago | 2, More than 3 years ago | -9, Unknown",variable,
103,net_obtainsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Time owned personal bednet (months),Only specified if owned 1 month - 3 years,Observation,Personal vector intervention,EUPATH_0021097,"If between 1 month to 3 years ago, specify the number of months",,variable,
104,net_sorc,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Bednet source,,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Kodi masikito amene (tchulani dzina la odwala) akugwiritsa ntchito munawapeza kuti?</font> Where did you get the net that (name) is using?","1, Government clinic/hospital | 2, CHAM facility | 3, Neighborhood Health Committee (NHC) | 4, Community Health Worker (CHW)/Agent | 5, Retail shop | 6, Workplace | 7, Campaign | 8, Other | -9, Unknown",variable,
105,net_sorcother,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other bednet source,,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Ngati kuli kwina nenani</font> If other Source then Specify",,variable,
106,net_typ,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Bednet originally treated,Bednet was already treated with insecticide when it was obtained,Observation,Personal vector intervention,EUPATH_0021097,"<font color=""blue"">Kodi nthawi imene mumapeza masikito amene(tchulani dzina la odwala) akugwiritsa ntchito, Kodi anali onyikidwa kale mu mankhwala kufakitale?</font> Was the net that (Name) is using already treated when you got it?","0, No | 1, Yes | -9, Unknown",variable,
107,net_treat,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Treated bednet,Bednet has been insecticide treated since it was obtained,Observation,Personal vector intervention,EUPATH_0021097,"<font color =""blue"">Kodi chipezeleni masikito a (tchulani dzina la odwala), munawawanyikako m`makhwala ophera udzudzu kapena tizirombo?</font> Have you ever treated the net?","0, No | 1, Yes | -9, Unknown",variable,
108,net_soak,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0024160,Last personal bednet treatment,,Observation,Personal vector intervention,EUPATH_0021097,"<font color =""blue"">Ngati munanyikako mumakhwala papita nthawi yotalika bwanji chinyikireni?</font> If you treated the net how long ago?","0, Less than a month | 1, 1 month to 2 years ago | 2, More than 2 years ago | -9, Unknown",variable,
109,net_soaksp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Last personal bednet treatment (months),Only specified if between 1 month - 2 years ago,Observation,Personal vector intervention,EUPATH_0021097,"If between 1 month to 2 years ago, specify the number of months",,variable,
110,mosnet,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Always use bednet,,Observation,Personal vector intervention,EUPATH_0021097,"<font color = ""blue"">Kodi (tchulani dzina la odwala) amagona mumasikito nthawi zonse?</font> Does (name) always sleep in a bed net","0, No | 1, Yes | -9, Unknown",variable,
111,mos_prev,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Use personal mosquito repellent,,Observation,Personal vector intervention,EUPATH_0021097,"<font color = ""blue"">Kodi munagwiritsa ntchito njira zina zotetezera ku udzudzu pambali pa neti usiku wathawu?</font> Are you using any other method to protect your self from mosquitos apart from nets?","0, No | 1, Yes | -9, Unknown",variable,
112,prev_method,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000439,Personal mosquito repellent,,Observation,Personal vector intervention,EUPATH_0021097,"<font color = ""blue"">Ngati inde, ndi njira zina ziti zotetezera ku udzudzu pambali pa neti zomwe munagwiritsa ntchito usiku wathawu?</font> If yes what other method are you using?","1, Coils | 2, Canister sprays | 3, Mosquito repellent creams | 4, Other",variable,
113,prev_methodsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other personal mosquito repellent,,Observation,Personal vector intervention,EUPATH_0021097,"<font color = ""blue"">Ngati pali njira zina nenani?</font> If other method then specify",,variable,
114,prev_freq,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Personal mosquito repellent use frequency,,Observation,Personal vector intervention,EUPATH_0021097,"<font color = ""blue"">Kodi njira zimenezi mumazigwiritsa ntchito kangati pa sabata?</font> how many times do you use these methods in a week?","1, Every day |2, 1-2 days |3, 3-6 days",variable,
115,fever,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0021096,Fever in last 2 weeks,,Observation,Immediate clinical history,EUPATH_0021098,"<font color=""blue"">Kodi (tchulani dzina la odwala) anatenthako thupi pamasabata awiri apitawa?</font> Did (name) have fever in the last two weeks","0, No | 1, Yes | -9, Unknown",variable,
116,feverst,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Feve in last 2 weeks duration (days),,Observation,Immediate clinical history,EUPATH_0021098,"<font color=""blue"">Ngati anatentha thupi, anatenga nthawi yotalika bwanji?</font> duration of fever",,variable,
117,antimal,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Received antimalarial treatment in last 2 weeks,As assessed at household visit,Observation,Immediate clinical history,EUPATH_0021098,"<font color=""blue"">Kodi odwalayu analandira mankhwala amalungo kapena chithandizo chilichonse pamasabata awiri apitawa?</font> did (name) receive any anti-malarial drug or treatment in the last two weeks?","0, No | 1, Yes | -9, Unknown",variable,
NA,,,,Antimalarial treatment in last 2 weeks,Antimalarial treatment used in the last 2 weeks as assessed at the household visit,Observation,Immediate clinical history,EUPATH_0021098,,,multifilter,
118,anti_maldrug___1,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Lumefantrine-artemether,,Observation,Antimalarial treatment in last 2 weeks,,"1, Lumefantrine Artemether (LA)",,value,
119,anti_maldrug___2,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate-amodiaquine,,Observation,Antimalarial treatment in last 2 weeks,,"2, Artesunate-amodiaquine (ASAQ)",,value,
120,anti_maldrug___3,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Artesunate (injectable),,Observation,Antimalarial treatment in last 2 weeks,," 3, Artesunate (injectable)",,value,
121,anti_maldrug___4,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Quinine,,Observation,Antimalarial treatment in last 2 weeks,,"4, Quinine",,value,
122,anti_maldrug___5,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Bactrim,,Observation,Antimalarial treatment in last 2 weeks,," 5, Bactrim",,value,
123,anti_maldrug___6,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,"Sulfadoxine-pyrimethamine (SP, Fansidar, or Novidar)",,Observation,Antimalarial treatment in last 2 weeks,,"6, Sulphadoxine Pyrimethamine (SP)/Fansidar/Novidar",,value,
124,anti_maldrug___7,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Doxycycline or erythromycin,,Observation,Antimalarial treatment in last 2 weeks,,Doxycycline or erythromycin,,value,
125,anti_maldrug___8,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Iron,,Observation,Antimalarial treatment in last 2 weeks,,iron,,value,
126,anti_maldrug___9,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Blood transfussion,,Observation,Antimalarial treatment in last 2 weeks,,Blood transfusson,,value,
127,anti_maldrug___10,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other medication or treatment,,Observation,Antimalarial treatment in last 2 weeks,,Other drugs/interventions,,value,
128,otherintsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other antimalarial treatment in last 2 weeks,Other antimalarial treatment used in the last 2 weeks as assessed at the household visit,Observation,Immediate clinical history,EUPATH_0021098,"<font color=""blue"">Makhwala ena ndi ati pambali pa makhwala omwe tatchulawa amene analandila?</font>What are some of the medicines besides these mentioned medicines?",,variable,
129,away,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000450,Traveled in last 2 weeks,,Observation,Travel details,EUPATH_0000340,"<font color=""blue"">Kodi (tchulani dzina la odwala) anachokapo ndikukagona komweko pa masabata anayi apitawa?</font> Did (name) travel outside and stayed there in the last two weeks?","0, No | 1, Yes | -9, Unknown",variable,
130,numtravel,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Trips in last 2 weeks (count),,Observation,Travel details,EUPATH_0000340,"<font color=""blue"">Ngati anachoka, anachoka maulendo angati?</font> If Yes, How many trips did (name) make?","1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 times | 7, 7 times | 8, 8 times | 9, 9 times | 10, 10 times | 11, 11 times | 12, 12 times | 13, 13 times | 14, 14 times | 15, 15 times | 16, 16 times | 17, 17 times | 18, 18 times | 19, 19 times | 20, 20 times | 21, 21 times | 22, 22 times | 23, 23 times | 24, 24 times | 25, 25 times | 26, 26 times | 27, 27 times | 28, 28 times | 29, 29 times | 30, 30 times | -9, Unknown",variable,
131,date_travel,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Travel date,,Observation,Travel details,EUPATH_0000340,"<span class=noToday><font color=""blue"">Ngati anachoka, ulendo womaliza anachoka liti?</font></span>  date for the last trip",,variable,
132,days_spent,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0022034,Most recent trip length (days),,Observation,Travel details,EUPATH_0000340,"<font color=""blue"">Masiku amene anachoka</font> days spent on the last trip","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30",variable,
133,reason_travel,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0024198,Reason for travel,,Observation,Travel details,EUPATH_0000340,"<font color=""blue"">Anachoka chifukwa chani?</font>","1, Business | 2, Funeral | 3, Attend field in home village | 4, Other",variable,
134,reason_travelsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other reason for travel,,Observation,Travel details,EUPATH_0000340,"<font color=""blue"">Ngati pali chifukwa china nenani</font> If other reason then specify",,variable,
135,tr1district,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000446,District visited,,Observation,Travel details,EUPATH_0000340,Trip 1 District,"1, Balaka | 2, Blantyre | 3, Chikwawa | 4, Chiradzulu | 5, Chitipa | 6, Dedza | 7, Dowa | 8, Karonga | 9, Kasungu | 10, Likoma | 11, Lilongwe | 12, Machinga | 13, Mangochi | 14, Mchinji | 15, Mulanje | 16, Mwanza | 17, Mzimba | 18, Neno | 19, Nkhata Bay | 20, Nkhotakota | 21, Nsanje | 22, Ntcheu | 23, Ntchisi | 24, Phalombe | 25, Rumphi | 26, Salima | 27, Thyolo | 28, Zomba | -9, Unknown",variable,
136,tr1areatp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Area type visited,,Observation,Travel details,EUPATH_0000340,Trip 1 Area type,"1, Urban | 2, Rural | -9, Unknown",variable,
137,tr1date,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Travel date,,Observation,Travel details,EUPATH_0000340,<span class = noToday>Trip 1 Date of travel</span>,,variable,
138,tr1norecalld,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Time since travel,,Observation,Travel details,EUPATH_0000340,"Trip 1 If can't remember date, how long ago?",,variable,
139,tr1duration,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0022034,Most recent trip length (days),,Observation,Travel details,EUPATH_0000340,Trip 1 Duration of stay,,variable,
140,tr1net,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Bednet during travel,The participant slept under a bednet while traveling. ,Observation,Travel details,EUPATH_0000340,"Trip 1 When you travelled, did the child sleep under a mosquito net?","0, No | 1, Yes | -9, Unknown",variable,
141,tr1itn,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Insecticide-treated bednet during travel,The participant slept under an insecticide-treated bednet while traveling. ,Observation,Travel details,EUPATH_0000340,"Trip 1 If the child slept under a mosquito net, was it an insecticide-treated net?","0, No | 1, Yes | -9, Unknown",variable,
163,nppllive,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000019,Persons living in house,,Household,Socioeconomic factors,EUPATH_0000304,"<font color=""blue"">Kodi ndi athu angati amene mumakhala m'nyumbamu kuphatikizapo ana?</font> How many of you live in the household, including children?
",,variable,
164,tmhouse,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Time at current location,,Household,Household relocation,EUPATH_0024182,"<font color=""blue"">Kodi mwakhala nthawi yotalika bwanji chiloweleni mnyumbamu?</font> 
How long have you stayed in the house?
","1, < 1 week | 2, 1-2 weeks | 3, >2 weeks",variable,
165,fammal,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Household member with fever in last month,Last month is taken from the time of the household visit,Participant,Individuals related to participant,EUPATH_0010037,"<font color=""blue""> Pambali pa odwala amene anapita kuchipatala, palinso munthu wina wa m'nyumbamu amene anatenthako thupi mwezi wangothawu?</font> Apart from patients who went to the hospital, there was another household member who had a fever in the last month?","0, No | 1, Yes | -9, Unknown","category, variable",
166,peads,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Under 5 years old with fever (count),,Participant,Household member with fever in last month,,"<font color=""blue""> Ndi ana angati mwa amene anatenthako thupi mwezi wangothawu amene ali osaposera zaka zisanu?</font> If yes how many are underfive children?","0, 0| 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | -9, Unknown",variable,
167,five_12yrs,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,5-12 years old with fever (count),,Participant,Household member with fever in last month,,"<font color=""blue""> Ndi ana angati mwa amene anatenthako thupi mwezi wangothawu amene ali oyambira zaka zisanu kufika khumi ndi ziwiri?</font> How many of those who have had a fever last month are from five to twelve years?","0, 0| 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | -9, Unknown",variable,
168,adults,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Over 12 years old with fever (count),,Participant,Household member with fever in last month,,"<font color=""blue""> Ndi anthu angati mwa amene anatenthako thupi mwezi wangothawu amene ali opitirira zaka khumi ndi ziwiri?</font> 
How many of those who have had a fever last month are over twelve?","0, 0| 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | -9, Unknown",variable,
