sid,dataset_count,labels,termTypes,pLabels,datasets
EUPATH_0010086,2,"MUAC (cm), 3rd",variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010090,2,"MUAC-for-age z-score, using median MUAC",variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010099,2,Main drinking water source,variable,Household water,gems_merged | vida_merged
EUPATH_0015135,2,Malaria,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015234,2,Malaria,value,Previous diagnosis at 60 day follow-up visit,gems_merged | vida_merged
EUPATH_0015136,2,Malnutrition,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0010002,2,Matched case,category,Participant,gems_merged | vida_merged
EUPATH_0010240,2,Max loose stools at episode,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0015687,2,Measured fever of at least 38C or parental perception,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0010088,2,Median MUAC (cm),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010079,2,Median height (cm),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0015133,2,Meningitis,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015236,2,Meningitis,value,Previous diagnosis at 60 day follow-up visit,gems_merged | vida_merged
EUPATH_0010294,2,Mental status,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0010425,2,Moderate-to-severe diarrhea eligibility,multifilter,Eligibility criteria,gems_merged | vida_merged
EUPATH_0010127,2,Mother's residence,variable,Individuals related to participant,gems_merged | vida_merged
ENVO_01000615,2,Motorcycle or scooter,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015221,2,Nalidixic acid,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015199,2,Nalidixic acid,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015173,2,Nalidixic acid,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015151,2,Nalidixic acid,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015018,2,Natural gas,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015363,2,"Necator Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015032,2,No animals,value,Animals on property,gems_merged | vida_merged
EUPATH_0015087,2,No special remedies given,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015011,2,None of the above,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015672,2,None prescribed or taken,,Diarrhea treatment,gems_merged | vida_merged
EUPATH_0015183,2,None prescribed or taken,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015364,2,"Norovirus GI Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0010771,2,"Norovirus GI, by RT-PCR",value,Norovirus in stool,gems_merged | vida_merged
EUPATH_0015365,2,"Norovirus GII Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0010775,2,"Norovirus GII, by RT-PCR",value | variable,Norovirus in stool,gems_merged | vida_merged
EUPATH_0011980,2,Norovirus in stool,"category | category, value",Virus in stool,gems_merged | vida_merged
EUPATH_0010767,2,"Norovirus, by RT-PCR",value | derived,Norovirus in stool,gems_merged | vida_merged
EUPATH_0010408,2,Not currently enrolled as a GEMS Case,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0015209,2,Not currently receiving medication,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015673,2,ORALITE or ORS,,Diarrhea treatment,gems_merged | vida_merged
EUPATH_0015082,2,ORALITE or ORS,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015187,2,ORS,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015161,2,ORS,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015139,2,ORS,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0004991,2,Observation date,variable,Observation details,gems_merged | vida_merged
EUPATH_0000310,2,Observation details,,Observation,gems_merged | vida_merged
BFO_0000015,2,Observation type,,Observation,gems_merged | vida_merged
EUPATH_0015041,2,Open public well,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015039,2,Open well in dwelling or yard,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015031,2,Other,value,Animals on property,gems_merged | vida_merged
EUPATH_0015023,2,Other,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015232,2,Other antibiotic,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015202,2,Other antibiotic,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015176,2,Other antibiotic,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015154,2,Other antibiotic,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015138,2,Other diagnosis,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015237,2,Other diagnosis,value,Previous diagnosis at 60 day follow-up visit,gems_merged | vida_merged
EUPATH_0015701,2,Other hospital or health center,,Previously sought care,gems_merged | vida_merged
EUPATH_0010173,2,Other hospital or health center,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0015242,2,Other illness,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0015134,2,Other invasive bacterial infection,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015229,2,Other macrolides,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015195,2,Other macrolides,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015169,2,Other macrolides,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015147,2,Other macrolides,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015206,2,Other medicine,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015180,2,Other medicine,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015158,2,Other medicine,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015090,2,Other treatment,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015049,2,Other water source,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010353,2,Outcome leaving hospital or health center,variable,Hospitalization,gems_merged | vida_merged
EUPATH_0015708,2,Outcome of diarrheal illness,,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0000725,2,Participant ID for matched case,variable,Administrative information,gems_merged | vida_merged
EUPATH_0010424,2,Participant enrolled,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0000307,2,Participant study details,category,Participant,gems_merged | vida_merged
EUPATH_0010409,2,Participant under 60 months,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0010410,2,Passed 3 or more abnormally loose stools in last 24hrs,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0015230,2,Penicillin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015196,2,Penicillin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015170,2,Penicillin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015148,2,Penicillin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0000019,2,Persons living in house,variable,Socioeconomic factors,gems_merged | vida_merged
EUPATH_0000714,2,Persons sleeping in dwelling,variable,Socioeconomic factors,gems_merged | vida_merged
EUPATH_0015093,2,Pharmacy,value,Previously sought care,gems_merged | vida_merged
OGMS_0000083,2,Physical examination,category,Observation,gems_merged | vida_merged
EUPATH_0015033,2,Piped into dwelling,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015035,2,Piped into yard,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010067,2,Place of death,variable,Death information,gems_merged | vida_merged
EUPATH_0015235,2,Pneumonia,value,Previous diagnosis at 60 day follow-up visit,gems_merged | vida_merged
EUPATH_0015132,2,Pneumonia or lower respiratory infection,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015043,2,Pond or lake,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010154,2,Prescription available for current medication,variable,Treatment,gems_merged | vida_merged
EUPATH_0010393,2,Previous diagnosis at 60 day follow-up visit,multifilter | category,Observation,gems_merged | vida_merged
EUPATH_0010013,2,Previous diarrheal care,category | variable,Immediate clinical history,gems_merged | vida_merged
EUPATH_0010380,2,Previously sought care,multifilter | variable,Previous diarrheal care,gems_merged | vida_merged
EUPATH_0010129,2,Primary caregiver's education level,variable,Individuals related to participant,gems_merged | vida_merged
EUPATH_0015038,2,Protected spring,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015037,2,Public tap,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010407,2,Qualified as DSS resident,variable,Eligibility criteria,gems_merged | vida_merged
ENVO_01000577,2,Radio,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015046,2,Rainwater,value,Drinking water source,gems_merged | vida_merged
EUPATH_0011843,2,Raw bacteria data for stool,category,Raw test result for stool,gems_merged | vida_merged
EUPATH_0011845,2,Raw eukaryota data for stool,,Raw test result for stool,gems_merged | vida_merged
EUPATH_0010985,2,Raw test result for stool,category,Stool microbiology test,gems_merged | vida_merged
EUPATH_0011844,2,Raw virus data for stool,category,Raw test result for stool,gems_merged | vida_merged
EUPATH_0010062,2,Reason follow-up interview not conducted,variable,Observation details,gems_merged | vida_merged
EUPATH_0015711,2,Reason interview not conducted,,Observation details,gems_merged | vida_merged
EUPATH_0010298,2,Received recommended rehydration,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0015244,2,Rectal prolapse,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0015070,2,Rectal prolapse,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015116,2,Rectal prolapse,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015069,2,Rectal straining,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0010222,2,Rectal swab date,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0010223,2,Rectal swab time,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0010221,2,Rectal swabs collected,variable | value,Stool sample collection process,gems_merged | vida_merged
EUPATH_0010423,2,Rectal swabs collected before antibiotics and whole stool collected within 12hrs of registration,variable,Eligibility criteria,gems_merged | vida_merged
ENVO_01000583,2,Refrigerator,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015440,2,Registration date,variable,Administrative information,gems_merged | vida_merged
EUPATH_0010319,2,Rehydration date,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010024,2,Rehydration therapy,category,Treatment,gems_merged | vida_merged
EUPATH_0010320,2,Rehydration time,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010317,2,Required additional oral or IV rehydration,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010297,2,Required rehydration,variable,Rehydration therapy,gems_merged | vida_merged
CMO_0000289,2,Respiratory rate (breaths/min),variable,Physical examination,gems_merged | vida_merged
EUPATH_0010097,2,"Respiratory rate (breaths/min), 2nd",variable,Physical examination,gems_merged | vida_merged
EUPATH_0015513,2,Rice watery stool,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015029,2,Rodents,value,Animals on property,gems_merged | vida_merged
EUPATH_0015366,2,"Rotavirus Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015369,2,"Rotavirus genotype G1 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015368,2,"Rotavirus genotype G12 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015370,2,"Rotavirus genotype G2 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015371,2,"Rotavirus genotype G3 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015372,2,"Rotavirus genotype G4 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015373,2,"Rotavirus genotype G8 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015374,2,"Rotavirus genotype G9 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015377,2,"Rotavirus genotype P4 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015378,2,"Rotavirus genotype P6 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015379,2,"Rotavirus genotype P8 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0011982,2,Rotavirus in stool,"category | category, value",Virus in stool,gems_merged | vida_merged
EUPATH_0010793,2,"Rotavirus, by ELISA",value,Rotavirus in stool,gems_merged | vida_merged
EUPATH_0015398,2,"STEC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015384,2,"STEC stx1 Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010687,2,"STEC stx1-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015385,2,"STEC stx2 Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010691,2,"STEC stx2-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015381,2,"Salmonella Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0011983,2,Salmonella in stool,"category | category, value",Bacteria in stool,gems_merged | vida_merged
EUPATH_0015295,2,"Salmonella non-typhi, by bacteriology",value,Salmonella in stool,gems_merged | vida_merged
EUPATH_0015294,2,"Salmonella typhi, by bacteriology",value,Salmonella in stool,gems_merged | vida_merged
OBI_0000659,2,Sample collection,category,Sample,gems_merged | vida_merged
OBI_0001619,2,Sample collection date,variable,Sample collection,gems_merged | vida_merged
EUPATH_0015382,2,"Sapovirus Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015713,2,Sapovirus in stool,"category | category, value",Virus in stool,gems_merged | vida_merged
EUPATH_0015296,2,"Sapovirus, by RT-PCR",value,Sapovirus in stool,gems_merged | vida_merged
EUPATH_0015092,2,Seek outside care,value,Previously sought care,gems_merged | vida_merged
EUPATH_0015201,2,Selexid,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015175,2,Selexid,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015153,2,Selexid,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015224,2,Selexid or pivmecillinam,value,Antibiotic administered before stool collection,gems_merged | vida_merged
PATO_0000047,2,Sex,variable,Demographics,gems_merged | vida_merged
EUPATH_0015047,2,Shallow tube well,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015025,2,Sheep,value,Animals on property,gems_merged | vida_merged
EUPATH_0015320,2,"Shigella boydii, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015321,2,"Shigella dysenteriae, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015443,2,"Shigella flexneri serotype 1A, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015444,2,"Shigella flexneri serotype 1B, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015445,2,"Shigella flexneri serotype 2A, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015446,2,"Shigella flexneri serotype 2B, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015447,2,"Shigella flexneri serotype 3A, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015448,2,"Shigella flexneri serotype 3B, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015324,2,"Shigella flexneri serotype 4A, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015301,2,"Shigella flexneri serotype 4B, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015325,2,"Shigella flexneri serotype 4C, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015303,2,"Shigella flexneri serotype 6, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015327,2,"Shigella flexneri serotype X, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015328,2,"Shigella flexneri serotype Y, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0015319,2,"Shigella flexneri, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0011984,2,Shigella in stool,"category | category, value",Bacteria in stool,gems_merged | vida_merged
EUPATH_0015383,2,"Shigella or EIEC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015323,2,"Shigella sonnei, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0010805,2,"Shigella, by bacteriology",value,Shigella in stool,gems_merged | vida_merged
EUPATH_0000309,2,Signs and symptoms,category,Observation,gems_merged | vida_merged
EUPATH_0015120,2,Skin has 'flaky paint' appearance,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0010293,2,Skin pinch,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0000025,2,Sleeping rooms in dwelling,variable,Dwelling characteristics,gems_merged | vida_merged
EUPATH_0000304,2,Socioeconomic factors,category,Household,gems_merged | vida_merged
EUPATH_0015084,2,Special milk or infant formula,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0010295,2,Staff observed stool sample,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0011761,2,Stool bacteria testing,category | variable,Stool microbiology test procedures,gems_merged | vida_merged
EUPATH_0015217,2,Stool blood present,variable,Stool characteristics,gems_merged | vida_merged
EUPATH_0010038,2,Stool characteristics,category,Stool sample,gems_merged | vida_merged
EUPATH_0010217,2,Stool consistency,variable,Stool characteristics,gems_merged | vida_merged
EUPATH_0000724,2,Stool microbiology test,category,Laboratory test,gems_merged | vida_merged
EUPATH_0011800,2,Stool microbiology test procedures,category,Stool microbiology test,gems_merged | vida_merged
EUPATH_0010296,2,Stool nature,variable,Stool characteristics,gems_merged | vida_merged
EUPATH_0015218,2,Stool pus present,variable,Stool characteristics,gems_merged | vida_merged
OBI_0002503,2,Stool sample,category,Sample,gems_merged | vida_merged
EUPATH_0010039,2,Stool sample collection process,category,Sample collection,gems_merged | vida_merged
EUPATH_0015454,2,Stool weight (g),variable,Stool sample,gems_merged | vida_merged
EUPATH_0015014,2,"Straw, shrubs, or grass",value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015386,2,"Strongyloides Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015076,2,Sunken eyes,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0010291,2,Sunken eyes,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015514,2,"Sunken eyes, more than normal",,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0010413,2,"Sunken eyes, more than normal",value,Moderate-to-severe diarrhea eligibility,gems_merged | vida_merged
EUPATH_0010351,2,Symptoms at enrollment,multifilter | variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0010356,2,Symptoms in the last 7 days,category | variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0010357,2,Symptoms since illness began,multifilter,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015684,2,Symptoms since illness began or during diarrhea,multifilter | variable,Signs and symptoms,gems_merged | vida_merged
ENVO_01000580,2,Telephone (mobile or non-mobile),value | Value,Assets,gems_merged | vida_merged
ENVO_01000579,2,Television,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015458,2,Test date,variable,Stool microbiology test,gems_merged | vida_merged
EUPATH_0011876,2,Test result summary for stool,category,Stool microbiology test,gems_merged | vida_merged
EUPATH_0010220,2,Time of 1st antibiotic administration,variable,Antibiotic administration before stool collection,gems_merged | vida_merged
EUPATH_0010225,2,Time stool or rectal swab placed in transport media,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0010216,2,Time stool passed,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0000726,2,Time to retrieve drinking water,variable,Household water,gems_merged | vida_merged
EUPATH_0010315,2,Total stool output measured during rehydration therapy,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0015095,2,Traditional healer,value,Previously sought care,gems_merged | vida_merged
OGMS_0000090,2,Treatment,category,Observation,gems_merged | vida_merged
EUPATH_0015387,2,"Trichuris trichiura Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015137,2,Typhoid,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015233,2,Typhoid,value,Previous diagnosis at 60 day follow-up visit,gems_merged | vida_merged
EUPATH_0015396,2,"Typical EPEC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015063,2,Unable to drink,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015688,2,Unable to drink or drank poorly,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015119,2,Undernutrition,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015096,2,Unlicensed practitioner,value,Previously sought care,gems_merged | vida_merged
EUPATH_0015040,2,Unprotected spring,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015689,2,Very thirsty,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015074,2,Very thirsty,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0015061,2,Very thirsty,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015312,2,"Vibrio (other species), by bacteriology",value,Vibrio in stool,gems_merged | vida_merged
EUPATH_0015388,2,"Vibrio cholerae Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015464,2,"Vibrio cholerae Inaba or Ogawa, by bacteriology result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015306,2,"Vibrio cholerae, by bacteriology",value,Vibrio in stool,gems_merged | vida_merged
EUPATH_0011958,2,Vibrio in stool,"category | category, value",Bacteria in stool,gems_merged | vida_merged
EUPATH_0015322,2,"Vibrio parahaemolyticus, by bacteriology",value,Vibrio in stool,gems_merged | vida_merged
EUPATH_0011959,2,Virus in stool,"multifilter | category, multifilter",Stool microbiology test,gems_merged | vida_merged
EUPATH_0010395,2,Visited health facility,multifilter | variable,Immediate clinical history,gems_merged | vida_merged
EUPATH_0015186,2,Vomiting 3 or more times per day,variable | value,Symptoms in the last 7 days,gems_merged | vida_merged
EUPATH_0000596,2,Waste disposal,category,Dwelling facilities,gems_merged | vida_merged
EUPATH_0000730,2,Water availability,variable,Household water,gems_merged | vida_merged
EUPATH_0010135,2,Water trips daily,variable,Household water,gems_merged | vida_merged
EUPATH_0010137,2,Water trips weekly,variable,Household water,gems_merged | vida_merged
EUPATH_0000732,2,Weight (kg),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0000733,2,Weight-for-age z-score,variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010083,2,"Weight-for-length or -height z-score, using median length or height",variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010422,2,Whole stool collected within 12 hrs of registration,variable,Eligibility criteria | Stool sample collection process,gems_merged | vida_merged
EUPATH_0015022,2,Wood,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015675,2,Worst day vomiting frequency during diarrheal illness,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015515,2,Wrinkled skin,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015077,2,Wrinkled skin,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0015203,2,Zinc,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015086,2,Zinc,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015177,2,Zinc,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015155,2,Zinc,value,Diarrhea treatment given in health center,gems_merged | vida_merged
