variable	IRI	values	mappedTerms
f5_relation	EUPATH_0010064	0	NA
f5_relation	EUPATH_0010064	1	Mother
f5_relation	EUPATH_0010064	2	Father
f5_relation	EUPATH_0010064	3	Sister
f5_relation	EUPATH_0010064	4	Brother
f5_relation	EUPATH_0010064	5	Grandmother
f5_relation	EUPATH_0010064	6	Grandfather
f5_relation	EUPATH_0010064	7	Aunt
f5_relation	EUPATH_0010064	8	Uncle
f5_relation	EUPATH_0010064	9	No relation
f5_relation	EUPATH_0010064	10	"Other relation by blood or marriage, specify"
f5_relation	EUPATH_0010064	NA	NA
f5_skin_flaky	EUPATH_0015257	0	Absent
f5_skin_flaky	EUPATH_0015257	1	Present
f5_skin_flaky	EUPATH_0015257	NA	NA
f5_status	EUPATH_0010061	0	Not conducted
f5_status	EUPATH_0010061	1	Conducted
f5_status	EUPATH_0010061	NA	NA
f5_trt_meth	EUPATH_0000700	0	Unknown
f5_trt_meth	EUPATH_0000700	1	Leave water in sun to disinfect
f5_trt_meth	EUPATH_0000700	2	Boil
f5_trt_meth	EUPATH_0000700	3	Filter through a cloth
f5_trt_meth	EUPATH_0000700	4	Ceramic or other filter
f5_trt_meth	EUPATH_0000700	5	"Chlorine liquid, powder, or tablets"
f5_trt_meth	EUPATH_0000700	6	Alum
f5_trt_meth	EUPATH_0000700	7	Other chemical or additive
f5_trt_meth	EUPATH_0000700	8	Other method
f5_trt_meth	EUPATH_0000700	NA	NA
f5_under_nutr	EUPATH_0015256	0	Absent
f5_under_nutr	EUPATH_0015256	1	Present
f5_under_nutr	EUPATH_0015256	NA	NA
f5_wash_where	EUPATH_0010112	0	NA
f5_wash_where	EUPATH_0010112	1	In or near dwelling/yard
f5_wash_where	EUPATH_0010112	2	Another place
f5_wash_where	EUPATH_0010112	NA	NA
f6_case_gender	EUPATH_0010405	0	Male
f6_case_gender	EUPATH_0010405	1	Female
f6_case_gender	EUPATH_0010405	NA	NA
f6_gender	PATO_0000047	0	Male
f6_gender	PATO_0000047	1	Female
f6_gender	PATO_0000047	NA	NA
f7_abn_hair	EUPATH_0015118	0	Absent
f7_abn_hair	EUPATH_0015118	1	Present
f7_abn_hair	EUPATH_0015118	NA	NA
f7_bipedal	EUPATH_0015117	0	Absent
f7_bipedal	EUPATH_0015117	1	Present
f7_bipedal	EUPATH_0015117	NA	NA
f7_breastfed	EUPATH_0010371	0	Not breastfed
f7_breastfed	EUPATH_0010371	1	Partially breastfed
f7_breastfed	EUPATH_0010371	2	Exclusively breastfed
f7_breastfed	EUPATH_0010371	NA	NA
f7_chlorine	EUPATH_0010147	0	NA
f7_chlorine	EUPATH_0010147	1	Certeza
f7_chlorine	EUPATH_0010147	2	Aquatabs
f7_chlorine	EUPATH_0010147	3	AquaGuard
f7_chlorine	EUPATH_0010147	4	WaterGuard
f7_chlorine	EUPATH_0010147	5	Watermaker
f7_chlorine	EUPATH_0010147	6	PuR
f7_chlorine	EUPATH_0010147	7	Unknown
f7_chlorine	EUPATH_0010147	8	Other
f7_chlorine	EUPATH_0010147	NA	NA
f7_dad_live	EUPATH_0000676	1	Living in household
f7_dad_live	EUPATH_0000676	2	Lives outside of household
f7_dad_live	EUPATH_0000676	3	Abroad
f7_dad_live	EUPATH_0000676	4	Whereabouts unknown
f7_dad_live	EUPATH_0000676	5	Died
f7_dad_live	EUPATH_0000676	NA	NA
f7_disp_feces	EUPATH_0000722	1	Scatter in yard
f7_disp_feces	EUPATH_0000722	2	Bury
f7_disp_feces	EUPATH_0000722	3	"Toilet, latrine"
f7_disp_feces	EUPATH_0000722	4	Bush/field/ground/stream/open sewer (includes dumping anywhere in environment outside compound)
f7_disp_feces	EUPATH_0000722	5	Do nothing
f7_disp_feces	EUPATH_0000722	6	Other
f7_disp_feces	EUPATH_0000722	NA	NA
f7_fac_waste	EUPATH_0000335	4	Pour flush toilet
f7_fac_waste	EUPATH_0000335	1	Flush toilet
f7_fac_waste	EUPATH_0000335	2	Ventilated improved pit (VIP) latrine
f7_fac_waste	EUPATH_0000335	3	Traditional pit toilet
f7_fac_waste	EUPATH_0000335	5	No facility: Bush/field/ground/stream/open sewer
f7_fac_waste	EUPATH_0000335	6	"Other, specify"
f7_fac_waste	EUPATH_0000335	7	Ventilated improved pit with water seal
f7_fac_waste	EUPATH_0000335	NA	NA
f7_floor	EUPATH_0000006	1	Natural floor; earth/sand
f7_floor	EUPATH_0000006	2	Natural floor; dung
f7_floor	EUPATH_0000006	3	Rudimentary floor; wood planks
f7_floor	EUPATH_0000006	4	Rudimentary floor; palm/bamboo
f7_floor	EUPATH_0000006	6	Finished floor; vinyl of asphalt strips
f7_floor	EUPATH_0000006	7	Finished floor; ceramic tile
f7_floor	EUPATH_0000006	8	Finished floor; cement
f7_floor	EUPATH_0000006	9	Finished floor; carpet
f7_floor	EUPATH_0000006	10	"Other, specify"
f7_floor	EUPATH_0000006	NA	NA
f7_mom_live	EUPATH_0010127	1	Living in household
f7_mom_live	EUPATH_0010127	2	Lives outside of household
f7_mom_live	EUPATH_0010127	3	Abroad
f7_mom_live	EUPATH_0010127	4	Whereabouts unknown
f7_mom_live	EUPATH_0010127	5	Died
f7_mom_live	EUPATH_0010127	NA	NA
f7_ms_water	EUPATH_0010099	1	Piped into house
f7_ms_water	EUPATH_0010099	2	Piped into yard
f7_ms_water	EUPATH_0010099	3	Public tap
f7_ms_water	EUPATH_0010099	4	Open well in house or yard
f7_ms_water	EUPATH_0010099	5	Open public well
f7_ms_water	EUPATH_0010099	6	Pond or lake
f7_ms_water	EUPATH_0010099	7	Deep tube well
f7_ms_water	EUPATH_0010099	8	Shallow tube well
f7_ms_water	EUPATH_0010099	9	Covered well in house or yard
f7_ms_water	EUPATH_0010099	10	Covered public well
f7_ms_water	EUPATH_0010099	11	Protected spring
f7_ms_water	EUPATH_0010099	12	Unprotected spring
f7_ms_water	EUPATH_0010099	13	River or stream
f7_ms_water	EUPATH_0010099	14	Dam or earth pan
f7_ms_water	EUPATH_0010099	15	Rainwater
f7_ms_water	EUPATH_0010099	16	"Bought (tank, bottles, etc.)"
f7_ms_water	EUPATH_0010099	17	Bore hole
f7_ms_water	EUPATH_0010099	18	Other
f7_ms_water	EUPATH_0010099	NA	NA
f7_offr_drink	EUPATH_0015465	0	Case
f7_offr_drink	EUPATH_0015465	1	More than usual
f7_offr_drink	EUPATH_0015465	2	Usual
f7_offr_drink	EUPATH_0015465	3	Somewhat less than usual
f7_offr_drink	EUPATH_0015465	4	Much less than usual
f7_offr_drink	EUPATH_0015465	5	Nothing to drink
f7_offr_drink	EUPATH_0015465	NA	NA
f7_offr_eat	EUPATH_0015466	0	Case
f7_offr_eat	EUPATH_0015466	1	More than usual
f7_offr_eat	EUPATH_0015466	2	Usual
f7_offr_eat	EUPATH_0015466	3	Somewhat less than usual
f7_offr_eat	EUPATH_0015466	4	Much less than usual
f7_offr_eat	EUPATH_0015466	5	Nothing to eat
f7_offr_eat	EUPATH_0015466	NA	NA
f7_prim_schl	EUPATH_0010129	1	No formal schooling
f7_prim_schl	EUPATH_0010129	2	Less than primary
f7_prim_schl	EUPATH_0010129	3	Completed primary
f7_prim_schl	EUPATH_0010129	4	Completed secondary
f7_prim_schl	EUPATH_0010129	5	Post-secondary
f7_prim_schl	EUPATH_0010129	6	Religious education only
f7_prim_schl	EUPATH_0010129	7	Don't know
f7_prim_schl	EUPATH_0010129	NA	NA
f7_primcare	EUPATH_0000720	1	Mother
f7_primcare	EUPATH_0000720	2	Father
f7_primcare	EUPATH_0000720	3	Sister
f7_primcare	EUPATH_0000720	4	Brother
f7_primcare	EUPATH_0000720	5	Grandmother
f7_primcare	EUPATH_0000720	6	Grandfather
f7_primcare	EUPATH_0000720	7	Aunt
f7_primcare	EUPATH_0000720	9	No relation
f7_primcare	EUPATH_0000720	10	"Other relation by blood or marriage, specify"
f7_primcare	EUPATH_0000720	NA	Case
f7_primcare_spec	EUPATH_0000720	great grand mother	Great-grandmother
f7_primcare_spec	EUPATH_0000720	mother in law	Mother-in-law
f7_primcare_spec	EUPATH_0000720	step mother	Stepmother
f7_primcare_spec	EUPATH_0000720	stepmother	Stepmother
f7_primcare_spec	EUPATH_0000720		NA
f7_relation	EUPATH_0010123	1	Mother
f7_relation	EUPATH_0010123	2	Father
f7_relation	EUPATH_0010123	3	Sister
f7_relation	EUPATH_0010123	4	Brother
f7_relation	EUPATH_0010123	5	Grandmother
f7_relation	EUPATH_0010123	6	Grandfather
f7_relation	EUPATH_0010123	7	Aunt
f7_relation	EUPATH_0010123	8	Uncle
f7_relation	EUPATH_0010123	9	No relation
f7_relation	EUPATH_0010123	10	"Other relation by blood or marriage, specify"
f7_relation	EUPATH_0010123	NA	NA
f7_seek_ctr1_code	EUPATH_0010157	101	Basse Health Center 
f7_seek_ctr1_code	EUPATH_0010157	102	Gambisara Dispensary 
f7_seek_ctr1_code	EUPATH_0010157	103	Fatoto Health Center 
f7_seek_ctr1_code	EUPATH_0010157	104	Garawol Hospital
f7_seek_ctr1_code	EUPATH_0010157	105	Demba Kunda health center
f7_seek_ctr1_code	EUPATH_0010157	131	Bansang Hospital
f7_seek_ctr1_code	EUPATH_0010157	201	CSREF Commune I
f7_seek_ctr1_code	EUPATH_0010157	202	ASACOBA
f7_seek_ctr1_code	EUPATH_0010157	235	ASACODIAN: a CSCOM Public HC in Banconi 
f7_seek_ctr1_code	EUPATH_0010157	236	Centre de Sante SADIA pvt HC in Banconi
f7_seek_ctr1_code	EUPATH_0010157	239	Centre de Sante Cherifla
f7_seek_ctr1_code	EUPATH_0010157	203	CSREF Commune IV
f7_seek_ctr1_code	EUPATH_0010157	204	ASACODJIP 
f7_seek_ctr1_code	EUPATH_0010157	205	ASACODJENEKA 
f7_seek_ctr1_code	EUPATH_0010157	206	Hopital Gabriel Toure - National Children Hospital
f7_seek_ctr1_code	EUPATH_0010157	232	Military Health Center: Infirmerie du camp para
f7_seek_ctr1_code	EUPATH_0010157	234	Iranian Health Center: Centre Iranien
f7_seek_ctr1_code	EUPATH_0010157	231	CVD - Mali/CNAM
f7_seek_ctr1_code	EUPATH_0010157	233	The Clinic Lac Tele
f7_seek_ctr1_code	EUPATH_0010157	237	"Cabinet TERIYA, pvt HC in Banconi"
f7_seek_ctr1_code	EUPATH_0010157	238	"PMI Missira, public HC in Commune I"
f7_seek_ctr1_code	EUPATH_0010157	301	Health Center of Manhica 
f7_seek_ctr1_code	EUPATH_0010157	302	Health Post of Maragra 
f7_seek_ctr1_code	EUPATH_0010157	303	Health Post of Ilha Josina   
f7_seek_ctr1_code	EUPATH_0010157	304	Health Post of Taninga 
f7_seek_ctr1_code	EUPATH_0010157	334	Health Post  Nwamatibyana
f7_seek_ctr1_code	EUPATH_0010157	333	Health Post Malavela
f7_seek_ctr1_code	EUPATH_0010157	331	Health Post  Maluana
f7_seek_ctr1_code	EUPATH_0010157	332	Health Post  Munguine
f7_seek_ctr1_code	EUPATH_0010157	335	Health Post  Mirona
f7_seek_ctr1_code	EUPATH_0010157	336	Health Post  3 de Fevereiro
f7_seek_ctr1_code	EUPATH_0010157	337	Health Post Calanga
f7_seek_ctr1_code	EUPATH_0010157	338	Rural Hospital Xinavane
f7_seek_ctr1_code	EUPATH_0010157	339	Maputo Central Hospital
f7_seek_ctr1_code	EUPATH_0010157	402	Bondo District Hospital
f7_seek_ctr1_code	EUPATH_0010157	404	Abidha 
f7_seek_ctr1_code	EUPATH_0010157	405	Akala
f7_seek_ctr1_code	EUPATH_0010157	407	Lwak
f7_seek_ctr1_code	EUPATH_0010157	408	Njejra
f7_seek_ctr1_code	EUPATH_0010157	409	Ong'ielo
f7_seek_ctr1_code	EUPATH_0010157	410	Nyawara 
f7_seek_ctr1_code	EUPATH_0010157	411	Rera
f7_seek_ctr1_code	EUPATH_0010157	438	Sarididi
f7_seek_ctr1_code	EUPATH_0010157	439	Uriri
f7_seek_ctr1_code	EUPATH_0010157	446	Sirembe
f7_seek_ctr1_code	EUPATH_0010157	401	Siaya District Hospital
f7_seek_ctr1_code	EUPATH_0010157	403	Yala Sub-District Hospital 
f7_seek_ctr1_code	EUPATH_0010157	406	Aluor
f7_seek_ctr1_code	EUPATH_0010157	431	Provincial Hospital
f7_seek_ctr1_code	EUPATH_0010157	432	Mahaya
f7_seek_ctr1_code	EUPATH_0010157	433	Ndori
f7_seek_ctr1_code	EUPATH_0010157	434	Nyagoko
f7_seek_ctr1_code	EUPATH_0010157	435	Ramula
f7_seek_ctr1_code	EUPATH_0010157	436	Rarieda
f7_seek_ctr1_code	EUPATH_0010157	437	Cliff
f7_seek_ctr1_code	EUPATH_0010157	440	Wagai
f7_seek_ctr1_code	EUPATH_0010157	441	Gobei
f7_seek_ctr1_code	EUPATH_0010157	442	Masala
f7_seek_ctr1_code	EUPATH_0010157	443	Komolo
f7_seek_ctr1_code	EUPATH_0010157	444	Matangwe
f7_seek_ctr1_code	EUPATH_0010157	445	Kisumu District Hospital
f7_seek_ctr1_code	EUPATH_0010157	501	Infectious Diseases Hospital   
f7_seek_ctr1_code	EUPATH_0010157	502	B.C. Roy Children Hospital 
f7_seek_ctr1_code	EUPATH_0010157	503	B.C. Roy Children Hospital 
f7_seek_ctr1_code	EUPATH_0010157	503	Ward 58 Health Outpost
f7_seek_ctr1_code	EUPATH_0010157	504	Ward 59 Health Outpost
f7_seek_ctr1_code	EUPATH_0010157	531	"123, Bidhan Nagar Road, Kol-67, K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	532	"160, Beliaghata Main Road, Kol-10,K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	533	"Health Center: 8, G.K. Road, Kol-46, K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	534	"Health Center: Dhapa Kachari Para, K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	535	"Metropolitan Health Center Govt. of W.B.  15, Gobinda Khatick Road, Kol-46"
f7_seek_ctr1_code	EUPATH_0010157	536	"P-65 Dr. Sundari Mohan Avenue Kol-14, H.C., K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	537	"24, Gora Chand Road Kol-14, C.N.M.C."
f7_seek_ctr1_code	EUPATH_0010157	538	"36, Topsia Road (South), Kol-46 H.C., K.M.C."
f7_seek_ctr1_code	EUPATH_0010157	601	Kumudini Hospital and Medical College
f7_seek_ctr1_code	EUPATH_0010157	631	"Upazila (Sub-district) Health Complex, Mirzapur"
f7_seek_ctr1_code	EUPATH_0010157	632	FWC/Sub-Center of Gorai
f7_seek_ctr1_code	EUPATH_0010157	633	FWC/Sub-Center of Ajgana
f7_seek_ctr1_code	EUPATH_0010157	634	FWC/Sub-Center of Bahuria
f7_seek_ctr1_code	EUPATH_0010157	635	FWC/Sub-Center of Jamurki
f7_seek_ctr1_code	EUPATH_0010157	636	FWC/Sub-Center of Bhatgram
f7_seek_ctr1_code	EUPATH_0010157	637	FWC/Sub-Center of Uarsi
f7_seek_ctr1_code	EUPATH_0010157	638	FWC/Sub-Center of Banail 
f7_seek_ctr1_code	EUPATH_0010157	639	Dehura Sub-Center in Gorai
f7_seek_ctr1_code	EUPATH_0010157	640	Mirzapur General Hospital and Diagnostic Center
f7_seek_ctr1_code	EUPATH_0010157	641	Jamuna General Hospital and Diagnostic Center
f7_seek_ctr1_code	EUPATH_0010157	642	Chandramallika Hospital
f7_seek_ctr1_code	EUPATH_0010157	643	Doctors Clinic
f7_seek_ctr1_code	EUPATH_0010157	644	Mirzapur Clinic
f7_seek_ctr1_code	EUPATH_0010157	645	Saleha Pathological Center and Diagnostic Clinic
f7_seek_ctr1_code	EUPATH_0010157	646	Arif X-ray Clinic
f7_seek_ctr1_code	EUPATH_0010157	647	Medico Diagnostic Clinic
f7_seek_ctr1_code	EUPATH_0010157	648	Asia Clinic
f7_seek_ctr1_code	EUPATH_0010157	649	"Upazila (Sub-district) Health Complex, Dhamrai"
f7_seek_ctr1_code	EUPATH_0010157	650	FWC/Sub-Center of Anaitara
f7_seek_ctr1_code	EUPATH_0010157	651	FWC/Sub-Center of Mahera
f7_seek_ctr1_code	EUPATH_0010157	652	FWC/Sub-Center of Fatehpur
f7_seek_ctr1_code	EUPATH_0010157	653	FWC/Sub-Center of Tarappur
f7_seek_ctr1_code	EUPATH_0010157	654	FWC/Sub-Center of Bastail
f7_seek_ctr1_code	EUPATH_0010157	655	FWC/Sub-Center of Mirzapur
f7_seek_ctr1_code	EUPATH_0010157	656	FWC/Sub-Center of Kaliakoir
f7_seek_ctr1_code	EUPATH_0010157	657	Upazila Health complex Kaliakoir 
f7_seek_ctr1_code	EUPATH_0010157	658	Kaloikoir General Hospital
f7_seek_ctr1_code	EUPATH_0010157	659	Grameen Kallan
f7_seek_ctr1_code	EUPATH_0010157	660	Chandra Janasheva Clinic
f7_seek_ctr1_code	EUPATH_0010157	661	Safipur General Hospital
f7_seek_ctr1_code	EUPATH_0010157	662	Rina Diagnostic Center
f7_seek_ctr1_code	EUPATH_0010157	663	Rabia Clinic
f7_seek_ctr1_code	EUPATH_0010157	664	Al-madina Clinic
f7_seek_ctr1_code	EUPATH_0010157	665	Al-mohana Clinic
f7_seek_ctr1_code	EUPATH_0010157	666	Abe-hayet Clinic
f7_seek_ctr1_code	EUPATH_0010157	701	Rehri Goth AKU PHC Center
f7_seek_ctr1_code	EUPATH_0010157	702	Ibrahim Hyderi AKU PHC Center
f7_seek_ctr1_code	EUPATH_0010157	703	Ali Akbar Shah Goth AKU PHC Center
f7_seek_ctr1_code	EUPATH_0010157	705	National Institute of Child Health Hospital (NICH)
f7_seek_ctr1_code	EUPATH_0010157	706	Ma Aisha Charity Health Unit (MCH)
f7_seek_ctr1_code	EUPATH_0010157	707	Bhains Colony Health Unit (BHCH)
f7_seek_ctr1_code	EUPATH_0010157	731	Sindh Government Hospital
f7_seek_ctr1_code	EUPATH_0010157	704	Satari Hospital
f7_seek_ctr1_code	EUPATH_0010157	801	Amana
f7_seek_ctr1_code	EUPATH_0010157	802	Mwananyamala
f7_seek_ctr1_code	EUPATH_0010157	831	Buguruni Health Centre
f7_seek_ctr1_code	EUPATH_0010157	832	Plan Health Centre
f7_seek_ctr1_code	EUPATH_0010157	833	Mnazi Mmoja Health Centre
f7_seek_ctr1_code	EUPATH_0010157	834	Dr. Koya Dispensary
f7_seek_ctr1_code	EUPATH_0010157	835	Kigogo Dispensary
f7_seek_ctr1_code	EUPATH_0010157	836	Mico Dispensary
f7_seek_ctr1_code	EUPATH_0010157	837	Tabatamandela Dispensary
f7_seek_ctr1_code	EUPATH_0010157	838	Madona Dispensary
f7_seek_ctr1_code	EUPATH_0010157	839	Vingunguti Dispensary
f7_seek_ctr1_code	EUPATH_0010157	840	Kiwalani Dispensary
f7_seek_ctr1_code	EUPATH_0010157	841	Rugambwa Health Centre
f7_seek_ctr1_code	EUPATH_0010157	842	F.F.U. Dispensary
f7_seek_ctr1_code	EUPATH_0010157	843	Jeshini Dispensary
f7_seek_ctr1_code	EUPATH_0010157	844	Azania Dispensary
f7_seek_ctr1_code	EUPATH_0010157	845	Dr. Massawe's Dispensary
f7_seek_ctr1_code	EUPATH_0010157	846	Lugalo Hospital (Hospitali ya Jeshi)
f7_seek_ctr1_code	EUPATH_0010157	847	Magomeni Health Centre
f7_seek_ctr1_code	EUPATH_0010157	848	Marie Stopes Hospital
f7_seek_ctr1_code	EUPATH_0010157	849	Massana Dispensary
f7_seek_ctr1_code	EUPATH_0010157	850	Massana Health Centre
f7_seek_ctr1_code	EUPATH_0010157	851	Mikocheni Mission Hospital (H. Kairuki Memorial Hospital)
f7_seek_ctr1_code	EUPATH_0010157	852	Mikumi Dispensary
f7_seek_ctr1_code	EUPATH_0010157	853	Mwenge Dispensary
f7_seek_ctr1_code	EUPATH_0010157	854	Sinza Health Centre (Palestina)
f7_seek_ctr1_code	EUPATH_0010157	855	Tandale Dispensary
f7_seek_ctr1_code	EUPATH_0010157	856	TMJ Hospital
f7_seek_ctr1_shc	EUPATH_0010159	0	Not sentinel health center
f7_seek_ctr1_shc	EUPATH_0010159	1	Sentinel health center
f7_seek_ctr1_shc	EUPATH_0010159	NA	NA
f7_seek_ctr2_code	EUPATH_0010163	NA	NA
f7_seek_ctr2_code	EUPATH_0010163	101	Basse Health Center 
f7_seek_ctr2_code	EUPATH_0010163	102	Gambisara Dispensary 
f7_seek_ctr2_code	EUPATH_0010163	103	Fatoto Health Center 
f7_seek_ctr2_code	EUPATH_0010163	104	Garawol Hospital
f7_seek_ctr2_code	EUPATH_0010163	105	Demba Kunda health center
f7_seek_ctr2_code	EUPATH_0010163	131	Bansang Hospital
f7_seek_ctr2_code	EUPATH_0010163	201	CSREF Commune I
f7_seek_ctr2_code	EUPATH_0010163	202	ASACOBA
f7_seek_ctr2_code	EUPATH_0010163	235	ASACODIAN: a CSCOM Public HC in Banconi 
f7_seek_ctr2_code	EUPATH_0010163	236	Centre de Sante SADIA pvt HC in Banconi
f7_seek_ctr2_code	EUPATH_0010163	239	Centre de Sante Cherifla
f7_seek_ctr2_code	EUPATH_0010163	203	CSREF Commune IV
f7_seek_ctr2_code	EUPATH_0010163	204	ASACODJIP 
f7_seek_ctr2_code	EUPATH_0010163	205	ASACODJENEKA 
f7_seek_ctr2_code	EUPATH_0010163	206	Hopital Gabriel Toure - National Children Hospital
f7_seek_ctr2_code	EUPATH_0010163	232	Military Health Center: Infirmerie du camp para
f7_seek_ctr2_code	EUPATH_0010163	234	Iranian Health Center: Centre Iranien
f7_seek_ctr2_code	EUPATH_0010163	231	CVD – Mali /CNAM
f7_seek_ctr2_code	EUPATH_0010163	233	The Clinic Lac Tele
f7_seek_ctr2_code	EUPATH_0010163	237	"Cabinet TERIYA, pvt HC in Banconi"
f7_seek_ctr2_code	EUPATH_0010163	238	"PMI Missira, public HC in Commune I"
f7_seek_ctr2_code	EUPATH_0010163	301	Health Center of Manhica 
f7_seek_ctr2_code	EUPATH_0010163	302	Health Post of Maragra 
f7_seek_ctr2_code	EUPATH_0010163	303	Health Post of Ilha Josina   
f7_seek_ctr2_code	EUPATH_0010163	304	Health Post of Taninga 
f7_seek_ctr2_code	EUPATH_0010163	334	Health Post  Nwamatibyana
f7_seek_ctr2_code	EUPATH_0010163	333	Health Post Malavela
f7_seek_ctr2_code	EUPATH_0010163	331	Health Post  Maluana
f7_seek_ctr2_code	EUPATH_0010163	332	Health Post  Munguine
f7_seek_ctr2_code	EUPATH_0010163	335	Health Post  Mirona
f7_seek_ctr2_code	EUPATH_0010163	336	Health Post  3 de Fevereiro
f7_seek_ctr2_code	EUPATH_0010163	337	Health Post Calanga
f7_seek_ctr2_code	EUPATH_0010163	338	Rural Hospital Xinavane
f7_seek_ctr2_code	EUPATH_0010163	339	Maputo Central Hospital
f7_seek_ctr2_code	EUPATH_0010163	402	Bondo District Hospital
f7_seek_ctr2_code	EUPATH_0010163	404	Abidha 
f7_seek_ctr2_code	EUPATH_0010163	405	Akala
f7_seek_ctr2_code	EUPATH_0010163	407	Lwak
f7_seek_ctr2_code	EUPATH_0010163	408	Njejra
f7_seek_ctr2_code	EUPATH_0010163	409	Ong'ielo
f7_seek_ctr2_code	EUPATH_0010163	410	Nyawara 
f7_seek_ctr2_code	EUPATH_0010163	411	Rera
f7_seek_ctr2_code	EUPATH_0010163	438	Sarididi
f7_seek_ctr2_code	EUPATH_0010163	439	Uriri
f7_seek_ctr2_code	EUPATH_0010163	446	Sirembe
f7_seek_ctr2_code	EUPATH_0010163	401	Siaya District Hospital
f7_seek_ctr2_code	EUPATH_0010163	403	Yala Sub-District Hospital 
f7_seek_ctr2_code	EUPATH_0010163	406	Aluor
f7_seek_ctr2_code	EUPATH_0010163	431	Provincial Hospital
f7_seek_ctr2_code	EUPATH_0010163	432	Mahaya
f7_seek_ctr2_code	EUPATH_0010163	433	Ndori
f7_seek_ctr2_code	EUPATH_0010163	434	Nyagoko
f7_seek_ctr2_code	EUPATH_0010163	435	Ramula
f7_seek_ctr2_code	EUPATH_0010163	436	Rarieda
f7_seek_ctr2_code	EUPATH_0010163	437	Cliff
f7_seek_ctr2_code	EUPATH_0010163	440	Wagai
f7_seek_ctr2_code	EUPATH_0010163	441	Gobei
f7_seek_ctr2_code	EUPATH_0010163	442	Masala
f7_seek_ctr2_code	EUPATH_0010163	443	Komolo
f7_seek_ctr2_code	EUPATH_0010163	444	Matangwe
f7_seek_ctr2_code	EUPATH_0010163	445	Kisumu District Hospital
f7_seek_ctr2_code	EUPATH_0010163	501	Infectious Diseases Hospital   
f7_seek_ctr2_code	EUPATH_0010163	502	B.C. Roy Children Hospital 
f7_seek_ctr2_code	EUPATH_0010163	503	B.C. Roy Children Hospital 
f7_seek_ctr2_code	EUPATH_0010163	503	Ward 58 Health Outpost
f7_seek_ctr2_code	EUPATH_0010163	504	Ward 59 Health Outpost
f7_seek_ctr2_code	EUPATH_0010163	531	"123, Bidhan Nagar Road, Kol-67, K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	532	"160, Beliaghata Main Road, Kol-10,K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	533	"Health Center: 8, G.K. Road, Kol-46, K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	534	"Health Center: Dhapa Kachari Para, K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	535	"Metropolitan Health Center Govt. of W.B.  15, Gobinda Khatick Road, Kol-46"
f7_seek_ctr2_code	EUPATH_0010163	536	"P-65 Dr. Sundari Mohan Avenue Kol-14, H.C., K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	537	"24, Gora Chand Road Kol-14, C.N.M.C."
f7_seek_ctr2_code	EUPATH_0010163	538	"36, Topsia Road (South), Kol-46 H.C., K.M.C."
f7_seek_ctr2_code	EUPATH_0010163	601	Kumudini Hospital and Medical College
f7_seek_ctr2_code	EUPATH_0010163	631	"Upazila (Sub-district) Health Complex, Mirzapur"
f7_seek_ctr2_code	EUPATH_0010163	632	FWC/Sub-Center of Gorai
f7_seek_ctr2_code	EUPATH_0010163	633	FWC/Sub-Center of Ajgana
f7_seek_ctr2_code	EUPATH_0010163	634	FWC/Sub-Center of Bahuria
f7_seek_ctr2_code	EUPATH_0010163	635	FWC/Sub-Center of Jamurki
f7_seek_ctr2_code	EUPATH_0010163	636	FWC/Sub-Center of Bhatgram
f7_seek_ctr2_code	EUPATH_0010163	637	FWC/Sub-Center of Uarsi
f7_seek_ctr2_code	EUPATH_0010163	638	FWC/Sub-Center of Banail 
f7_seek_ctr2_code	EUPATH_0010163	639	Dehura Sub-Center in Gorai
f7_seek_ctr2_code	EUPATH_0010163	640	Mirzapur General Hospital and Diagnostic Center
f7_seek_ctr2_code	EUPATH_0010163	641	Jamuna General Hospital and Diagnostic Center
f7_seek_ctr2_code	EUPATH_0010163	642	Chandramallika Hospital
f7_seek_ctr2_code	EUPATH_0010163	643	Doctors Clinic
f7_seek_ctr2_code	EUPATH_0010163	644	Mirzapur Clinic
f7_seek_ctr2_code	EUPATH_0010163	645	Saleha Pathological Center and Diagnostic Clinic
f7_seek_ctr2_code	EUPATH_0010163	646	Arif X-ray Clinic
f7_seek_ctr2_code	EUPATH_0010163	647	Medico Diagnostic Clinic
f7_seek_ctr2_code	EUPATH_0010163	648	Asia Clinic
f7_seek_ctr2_code	EUPATH_0010163	649	"Upazila (Sub-district) Health Complex, Dhamrai"
f7_seek_ctr2_code	EUPATH_0010163	650	FWC/Sub-Center of Anaitara
f7_seek_ctr2_code	EUPATH_0010163	651	FWC/Sub-Center of Mahera
f7_seek_ctr2_code	EUPATH_0010163	652	FWC/Sub-Center of Fatehpur
f7_seek_ctr2_code	EUPATH_0010163	653	FWC/Sub-Center of Tarappur
f7_seek_ctr2_code	EUPATH_0010163	654	FWC/Sub-Center of Bastail
