variable	variable2	values	mappedTerm	Ordinal Value
drug5_freq	drug5_freq	8hrs	Three times a day	
drug5_freq	drug5_freq	B.D	Twice a day	
drug5_freq	drug5_freq	BD	Twice a day	
drug5_freq	drug5_freq	BD 8hrs	Twice a day	
drug5_freq	drug5_freq	OD	Once daily	
drug5_freq	drug5_freq	T.D.S	Three times a day	
drug5_freq	drug5_freq	T.DS	Three times a day	
drug5_freq	drug5_freq	TDS	Three times a day	
drug5_freq	drug5_freq	sos	As needed	
drug5_freq_eos	drug5_freq_eos	1 SOS	As needed	
drug5_freq_eos	drug5_freq_eos	1-0-0	Once daily	
drug5_freq_eos	drug5_freq_eos	1-0-1	Twice a day	
drug5_freq_eos	drug5_freq_eos	1/1/01	Three times a day	
drug5_freq_eos	drug5_freq_eos	1/1/01	Three times a day	
drug5_freq_eos	drug5_freq_eos	12hrs	Twice a day	
drug5_freq_eos	drug5_freq_eos	2-0-0	Once daily	
drug5_freq_eos	drug5_freq_eos	3 Days		
drug5_freq_eos	drug5_freq_eos	6hrs - BD	Twice a day	
drug5_freq_eos	drug5_freq_eos	8hrs	Three times a day	
drug5_freq_eos	drug5_freq_eos	B.D	Twice a day	
drug5_freq_eos	drug5_freq_eos	BD	Twice a day	
drug5_freq_eos	drug5_freq_eos	OD	Once daily	
drug5_freq_eos	drug5_freq_eos	T.D.S	Three times a day	
drug5_freq_eos	drug5_freq_eos	sos	As needed	
drug5_length	drug5_length	01 Day	1 day	
drug5_length	drug5_length	1 Day	1 day	
drug5_length	drug5_length	99	Unknown	
drug5_name	drug5_name	Amlodip	Amlodipine	
drug5_name	drug5_name	BCFA	BC/FA	
drug5_name	drug5_name	BC/FA	BC/FA	
drug5_name	drug5_name	FA	FA	
drug5_name	drug5_name	Cefriaxone	Ceftriaxone	
drug5_name	drug5_name	Ceftraxome	Ceftriaxone	
drug5_name	drug5_name	Emset	Ondansetron	
drug5_name	drug5_name	Falcigo	Artesunate	
drug5_name	drug5_name	Metro	Metronidazole	
drug5_name	drug5_name	MV 1	MV1	
drug5_name	drug5_name	MV1	MV1	
drug5_name	drug5_name	NAHCo3	Sodium bicarbonate	
drug5_name	drug5_name	NS/RL	Normal saline	
drug5_name	drug5_name	Ondensatrole	Ondansetron	
drug5_name	drug5_name	PCM	Paracetamol	
drug5_name	drug5_name	Piptaz	Piperacillin-Tazobactam	
drug5_name	drug5_name	T. agithromycine	Azithromycin	
drug5_name	drug5_name	T.BCFA	BC/FA	
drug5_name	drug5_name	T.FA	FA	
drug5_name	drug5_name	T.MVBC	MVBC	
drug5_name_eos	drug5_name_eos	Pantoprazol	Pantoprazole	
drug5_name_eos	drug5_name_eos	BC/FA	BC/FA	
drug5_name_eos	drug5_name_eos	Emset	Ondansetron	
drug5_name_eos	drug5_name_eos	Lactolose	Lactulose	
drug5_name_eos	drug5_name_eos	Metro	Metronidazole	
drug5_name_eos	drug5_name_eos	MV 1	MV 1	
drug5_name_eos	drug5_name_eos	Pantop	Pantoprazole	
drug5_name_eos	drug5_name_eos	PCM	Paracetamol	
drug5_name_eos	drug5_name_eos	T. Agithromycin	Azithromycin	
drug5_name_eos	drug5_name_eos	T. Pantop (40)	Pantoprazole	
drug5_name_eos	drug5_name_eos	T. PCM	Paracetamol	
drug5_name_eos	drug5_name_eos	T. Udilive	Ursodeoxycholic acid	
drug5_name_eos	drug5_name_eos	T.FA	FA	
drug5_name_eos	drug5_name_eos	T.MVBC	MVBC	
drug5_name_eos	drug5_name_eos	T.Primaquine	Primaquine	
drug5_name_eos	drug5_name_eos	T.Primaquine (75)	Primaquine	
drug5_route_eos_rad	drug5_route_eos_rad	1	Oral (PO)	
drug5_route_eos_rad	drug5_route_eos_rad	3	Intravenous (IV)	
drug5_route_rad	drug5_route_rad	1	Oral (PO)	
drug5_route_rad	drug5_route_rad	3	Intravenous (IV)	
drug5_rxlen_eos	drug5_rxlen_eos	1 Day	1 day	
drug5_rxlen_eos	drug5_rxlen_eos	2 Days	2 days	
drug5_rxlen_eos	drug5_rxlen_eos	3 Days	3 days	
drug5_rxlen_eos	drug5_rxlen_eos	4 Days	4 days	
drug5_rxlen_eos	drug5_rxlen_eos	5 Days	5 days	
drug5_rxlen_eos	drug5_rxlen_eos	7 Days	7 days	
drug5_rxlen_eos	drug5_rxlen_eos	99	Unknown	
ear_pain	ear_pain	2	No	
edema_test_rad	edema_test_rad	2	No	
education_rad	education_rad	1	None	1
education_rad	education_rad	2	Primary school	2
education_rad	education_rad	3	Secondary school	3
education_rad	education_rad	4	University	4
eye_pain	eye_pain	2	No	
fatigue	fatigue	1	Yes	
fatigue	fatigue	2	No	
g6pd_result_rad	g6pd_result_rad	2	Not deficient	
g6pd_result_rad	g6pd_result_rad	99999	Unknown	
gi_infect_eos_chk	gi_infect_eos_chk	2	Negative	
gi_infect_eos_chk	gi_infect_eos_chk	4	Not done	
gi_infect_eos_chk	gi_infect_eos_chk	88888	Missing	
hemoglobinurea_rad	hemoglobinurea_rad	1	Yes	
hemoglobinurea_rad	hemoglobinurea_rad	2	No	
hemoglobinurea_rad	hemoglobinurea_rad	99999	Unknown	
Hepatitis_B	Hepatitis_B	Non- reactive	Negative	
Hepatitis_B	Hepatitis_B	Non reactive	Negative	
HIV	HIV	Non-reactive	Negative	
HIV	HIV	Non reactive	Negative	
HIV	HIV	Reactive	Positive	
hiv_eos_chk	hiv_eos_chk	1	Positive	
hiv_eos_chk	hiv_eos_chk	2	Negative	
hiv_eos_chk	hiv_eos_chk	4	Not done	
hiv_eos_chk	hiv_eos_chk	88888	Missing	
house_other	house_other	Asbestos Metal	Asbestos and metal	
house_rad	house_rad	1	Mud	
house_rad	house_rad	2	Brick	
house_rad	house_rad	3	Concrete	
house_rad	house_rad	4	Thatch	
house_rad	house_rad	5	Other	
how_left_eos_rad	how_left_eos_rad	1	Recovered	
how_left_eos_rad	how_left_eos_rad	2	Recovering	
how_left_eos_rad	how_left_eos_rad	3	Died	
how_left_eos_rad	how_left_eos_rad	4	Discharged against advice	
how_left_eos_rad	how_left_eos_rad	5	Other	
hyperlactataemia_rad	hyperlactataemia_rad	2	No	
hyperlactataemia_rad	hyperlactataemia_rad	99999	Unknown	
hyperparasitemia_rad	hyperparasitemia_rad	2	No	
hyperparasitemia_rad	hyperparasitemia_rad	99999	Unknown	
hypoglycemia_rad	hypoglycemia_rad	2	No	
hypoglycemia_rad	hypoglycemia_rad	99999	Unknown	
if_yes_preg_rad	if_yes_preg_rad	2	No	
info_source_rad	info_source_rad	1	Participant	
info_source_rad	info_source_rad	2	Other	
intubation	intubation	2	No	
intubation	intubation	99999	Unknown	
jaundice_rad	jaundice_rad	1	Yes	
jaundice_rad	jaundice_rad	2	No	
jaundice_rad	jaundice_rad	99999	Unknown	
kidney_injury_rad	kidney_injury_rad	2	No	
kidney_injury_rad	kidney_injury_rad	99999	Unknown	
lack_of_appetite	lack_of_appetite	1	Yes	
lack_of_appetite	lack_of_appetite	2	No	
lepto_eos_chk	lepto_eos_chk	2	Negative	
lepto_eos_chk	lepto_eos_chk	4	Not done	
lepto_eos_chk	lepto_eos_chk	88888	Missing	
lower_back_pain	lower_back_pain	1	Yes	
lower_back_pain	lower_back_pain	2	No	
malaria_test_mx_rad	malaria_test_mx_rad	1	Plasmodium falciparum	
malaria_test_mx_rad	malaria_test_mx_rad	2	Plasmodium vivax	
malaria_test_mx_rad	malaria_test_mx_rad	3	Plasmodium falciparum and Plasmodium vivax	
malaria_test_mx_rad	malaria_test_mx_rad	4	Other	
malaria_test_mx_rad	malaria_test_mx_rad	5	No Plasmodium detected	
malaria_test_type_chk___1	malaria_test_type_chk___1	0	No	
malaria_test_type_chk___1	malaria_test_type_chk___1	1	Yes	
malaria_test_type_chk___2	malaria_test_type_chk___2	0	No	
malaria_test_type_chk___2	malaria_test_type_chk___2	1	Yes	
malaria_test_type_chk___3	malaria_test_type_chk___3	0	No	
meningitis_eos_chk	meningitis_eos_chk	2	Negative	
meningitis_eos_chk	meningitis_eos_chk	4	Not done	
meningitis_eos_chk	meningitis_eos_chk	88888	Missing	
MP	MP	Negative	Negative	
MP	MP	Not seen	Negative	
MP	MP	Not Seen	Negative	
MP	MP	Not seen (Negative)	Negative	
MP	MP	Positive	Positive	
nasogastric	nasogastric	1	Yes	
nasogastric	nasogastric	2	No	
nasogastric	nasogastric	99999	Unknown	
notes	notes	Treatment 1) PCM 3 CC T.DS 2) Lactulose 30 CC T.DS * Patient was asymptomatic before 5 days than he developed fever with chills & vomiting for which medical advice at local hospital at naranpura. Then patient was diagnosed yello discloration at sclera and urine. Then he reffered to civil hospital today patient further shifted to ICU for Bi pup at ventilation. * Due to death of patient follow up and end of study not done	Treatment 1) PCM 3 CC T.DS 2) Lactulose 30 CC T.DS * Patient was asymptomatic before 5 days then he developed fever with chills & vomiting. Then patient was diagnosed yello discloration at sclera and urine. Then he referred to hospital today patient further shifted to ICU for Bi pup at ventilation. * Due to death of patient follow up and end of study not done	
notes_eos	notes_eos	When patient admitted in ward he suffered with fever and not diagnosed as malaria patient after 15 june he diagnosed with malaria P.vivax & treated with CQ & Primaquine then after discharge	When patient admitted in ward he suffered with fever and not diagnosed as malaria patient. Later he was diagnosed with malaria P.vivax & treated with CQ & Primaquine then after discharge	
o2_saturation_fu	o2_saturation_fu	Not Done	:::UNDEF:::	
o2_saturation_fu_v2	o2_saturation_fu_v2	89%	89	
o2_saturation_fu_v2	o2_saturation_fu_v2	92%	92	
o2_saturation_fu_v2	o2_saturation_fu_v2	Not Done	:::UNDEF:::	
occupation_rad	occupation_rad	1	Daily wage/labor	
occupation_rad	occupation_rad	2	Service (salaried)	
occupation_rad	occupation_rad	3	Trade (self-employed)	
occupation_rad	occupation_rad	4	Housewife	
occupation_rad	occupation_rad	5	Student	
occupation_rad	occupation_rad	6	None	
other_disease	other_disease	Breathing Problem	Breathing problem	
other_disease	other_disease	"HIV (7 year) , TB (before two year)"	TB	
other1_eos_chk	other1_eos_chk	1	Positive	
other1_eos_chk	other1_eos_chk	3	Not clear	
other1_eos_chk	other1_eos_chk	4	Not done	
other1_eos_chk	other1_eos_chk	88888	Missing	
other1_spec_eos	other1_spec_eos	HEV	HEV	
other1_spec_eos	other1_spec_eos	T.B	Tuberculosis	
oxygen	oxygen	99%	99	
oxygen	oxygen	Not Done	:::UNDEF:::	
oxygen	oxygen	Not done	:::UNDEF:::	
paleness	paleness	2	No	
Peripheral_smear	Peripheral_smear	P.vivax seen	Positive	
Peripheral_smear	Peripheral_smear	 P.vivax seen	Positive	
Peripheral_smear	Peripheral_smear	P. Vivax seen	Positive	
Peripheral_smear	Peripheral_smear	Trophozoites of P.vivax seen	Positive	
Peripheral_smear	Peripheral_smear	Not seen	Negative	
Peripheral_smear	Peripheral_smear	Not Seen	Negative	
pneumonia_eos_chk	pneumonia_eos_chk	2	Negative	
pneumonia_eos_chk	pneumonia_eos_chk	4	Not done	
pneumonia_eos_chk	pneumonia_eos_chk	88888	Missing	
pregnant_rad	pregnant_rad	1	Yes	
pregnant_rad	pregnant_rad	2	No	
pregnant_rad	pregnant_rad	3	Not applicable	
prostration_rad	prostration_rad	1	Yes	
prostration_rad	prostration_rad	2	No	
pulmonary_edema_rad	pulmonary_edema_rad	2	No	
pulmonary_edema_rad	pulmonary_edema_rad	99999	Unknown	
rash	rash	2	No	
redcap_event_name	redcap_event_name	end_of_study_arm_1	End of study	5
redcap_event_name	redcap_event_name	enrollment_arm_1	Enrollment	1
redcap_event_name	redcap_event_name	followup_1_arm_1	Follow up 1	2
redcap_event_name	redcap_event_name	followup_2_arm_1	Follow up 2	3
redcap_event_name	redcap_event_name	followup_3_arm_1	Follow up 3	4
renal_impairment_rad	renal_impairment_rad	2	No	
renal_impairment_rad	renal_impairment_rad	99999	Unknown	
repellent_chk___1	repellent_chk___1	0	No	
repellent_chk___1	repellent_chk___1	1	Yes	
repellent_chk___2	repellent_chk___2	0	No	
repellent_chk___3	repellent_chk___3	0	No	
repellent_chk___3	repellent_chk___3	1	Yes	
repellent_chk___4	repellent_chk___4	0	No	
repellent_chk___5	repellent_chk___5	0	No	
repellent_chk___5	repellent_chk___5	1	Yes	
repellent_chk___6	repellent_chk___6	0	No	
repellent_chk___88888	repellent_chk___88888	0	No	
respiratory_distress_rad	respiratory_distress_rad	1	Yes	
respiratory_distress_rad	respiratory_distress_rad	2	No	
respiratory_distress_rad	respiratory_distress_rad	99999	Unknown	
scrubty_eos_chk	scrubty_eos_chk	2	Negative	
scrubty_eos_chk	scrubty_eos_chk	4	Not done	
scrubty_eos_chk	scrubty_eos_chk	88888	Missing	
septicemia_eso_chk	septicemia_eso_chk	2	Negative	
septicemia_eso_chk	septicemia_eso_chk	4	Not done	
septicemia_eso_chk	septicemia_eso_chk	88888	Missing	
ses_rad	ses_rad	1	Above	
ses_rad	ses_rad	2	Below	
severe_malaria	severe_malaria	1	Yes	
severe_malaria	severe_malaria	2	No	
sex_rad	sex_rad	1	Female	
sex_rad	sex_rad	2	Male	
shock_rad	shock_rad	1	Yes	
shock_rad	shock_rad	2	No	
shock_rad	shock_rad	99999	Unknown	
splenomegaly	splenomegaly	2	No	
sprayed_chk___1	sprayed_chk___1	0	No	
sprayed_chk___1	sprayed_chk___1	1	Yes	
sprayed_chk___2	sprayed_chk___2	0	No	
sprayed_chk___3	sprayed_chk___3	0	No	
sprayed_chk___3	sprayed_chk___3	1	Yes	
sprayed_chk___4	sprayed_chk___4	0	No	
sprayed_chk___88888	sprayed_chk___88888	0	No	
sweating	sweating	1	Yes	
sweating	sweating	2	No	
symptoms_chk	symptoms_chk	1	Yes	
symptoms_chk	symptoms_chk	2	No	
systolic_blood_pressure_fu	systolic_blood_pressure_fu	Not done	:::UNDEF:::	
systolic_blood_pressure_fu_v2	systolic_blood_pressure_fu_v2	Not done	:::UNDEF:::	
systolic_bp	systolic_bp	Not done	:::UNDEF:::	
transfusion	transfusion	1	Yes	
transfusion	transfusion	2	No	
transfusion	transfusion	99999	Unknown	
travel_14d_rad	travel_14d_rad	1	Yes	
travel_14d_rad	travel_14d_rad	2	No	
treat_finish_eos_rad	treat_finish_eos_rad	1	Yes	
treat_finish_eos_rad	treat_finish_eos_rad	2	No	
treat_finish_eos_rad	treat_finish_eos_rad	3	Unknown	
trtmnt_analgesic	trtmnt_analgesic	Unknown	Unknown	
trtmnt_antibiotic	trtmnt_antibiotic	DK	Unknown	
trtmnt_antibiotic	trtmnt_antibiotic	Data Not Available	Unknown	
trtmnt_antibiotic	trtmnt_antibiotic	Data not available	Unknown	
trtmnt_antibiotic	trtmnt_antibiotic	Data not available/unknown	Unknown	
trtmnt_antibiotic	trtmnt_antibiotic	Unknown	Unknown	
trtmnt_antimalarial	trtmnt_antimalarial	"Artisunate (1 mg), Febrinil (2e,)"	"Artesunate (1 mg), Febrinil (2e)"	
trtmnt_antimalarial	trtmnt_antimalarial	Data Not Available	Unknown	
trtmnt_antimalarial	trtmnt_antimalarial	Data not available	Unknown	
trtmnt_antimalarial	trtmnt_antimalarial	No data available	Unknown	
trtmnt_antimalarial	trtmnt_antimalarial	Not remember	Unknown	
trtmnt_antimalarial	trtmnt_antimalarial	Unknown	Unknown	
trtmnt_date_antimal	trtmnt_date_antimal	unknown	:::UNDEF:::	
trtmnt_date_antimal	trtmnt_date_antimal	19-06-2017	6/19/17	
trtmnt_sought_rad	trtmnt_sought_rad	1	Yes	
trtmnt_sought_rad	trtmnt_sought_rad	2	No	
trtmnt_sought_treat_rad	trtmnt_sought_treat_rad	1	Yes	
trtmnt_sought_treat_y_chk___1	trtmnt_sought_treat_y_chk___1	0	No	
trtmnt_sought_treat_y_chk___1	trtmnt_sought_treat_y_chk___1	1	Yes	
trtmnt_sought_treat_y_chk___2	trtmnt_sought_treat_y_chk___2	0	No	
trtmnt_sought_treat_y_chk___2	trtmnt_sought_treat_y_chk___2	1	Yes	
trtmnt_sought_treat_y_chk___3	trtmnt_sought_treat_y_chk___3	0	No	
trtmnt_sought_treat_y_chk___3	trtmnt_sought_treat_y_chk___3	1	Yes	
trtmnt_sought_treat_y_chk___4	trtmnt_sought_treat_y_chk___4	0	No	
trtmnt_sought_treat_y_chk___4	trtmnt_sought_treat_y_chk___4	1	Yes	
trtmnt_sought_treat_y_chk___5	trtmnt_sought_treat_y_chk___5	0	No	
trtmnt_sought_treat_y_chk___88888	trtmnt_sought_treat_y_chk___88888	0	No	
trtmnt_soughtwhere_rad	trtmnt_soughtwhere_rad	1	Public hospital/physician	
trtmnt_soughtwhere_rad	trtmnt_soughtwhere_rad	2	Private hospital/physician	
typhoid_eos_chk	typhoid_eos_chk	1	Positive	
typhoid_eos_chk	typhoid_eos_chk	2	Negative	
typhoid_eos_chk	typhoid_eos_chk	4	Not done	
typhoid_eos_chk	typhoid_eos_chk	88888	Missing	
unconsciousness_rad	unconsciousness_rad	1	Yes	
unconsciousness_rad	unconsciousness_rad	2	No	
vhep_eos_chk	vhep_eos_chk	2	Negative	
vhep_eos_chk	vhep_eos_chk	4	Not done	
vhep_eos_chk	vhep_eos_chk	88888	Missing	
village	village	"Dudeshwar, Pushparaj"	Dudeshwar	
village	village	"Kalol, Nazim Park"	Kalol	
village	village	Kathvada Housing	Kathvada	
village	village	Lambhagam (Indira Nagri)	Lambhagam	
village	village	"Naranpura, Ahmedabad"	Naranpura	
village	village	Naroda (Bansi chali)	Naroda	
village	village	Sahibaug (Shriji khaman house)	Sahibaug	
village	village	"Sahibaug, Meghaninagar"	Sahibaug	
village	village	"Sarkhej, Dwarkesh Nagar"	Sarkhej	
vomiting	vomiting	1	Yes	
vomiting	vomiting	2	No	
water_rad	water_rad	2	Bore well	
water_rad	water_rad	5	Public tank/pump	
water_rad	water_rad	6	Other	
water_rad_other	water_rad_other	Muncipal Water	Municipal water	
xray_rad	xray_rad	1	Yes	
xray_rad	xray_rad	2	No	
xray_result	xray_result	DK	Not reported	
xray_result	xray_result	Normal	Normal	
xray_result	xray_result	Not Known	Not reported	
xray_result	xray_result	Not Reported	Not reported	
xray_result	xray_result	Result not noted	Not reported	
xray_result	xray_result	Result not reported	Not reported	
xray_result	xray_result	Result unknown	Not reported	
xray_result	xray_result	Unknown	Not reported	
