gems1a_ken,gems1a_6sites,variable,Label,Source ID,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1a_huas label
status,STATUS,status,Interview status,EUPATH_0015469,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,,,,11,12,,,7. Status of interview
status2,,status2,,,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,1,,,,,NA,82,,variable not in HUAS codebook (CRF01 HUAS),
trt_homefluid,TRT_HOMEFLUID,trt_homefluid,Homemade fluid,EUPATH_0015670,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,69,68,,variable not in HUAS codebook (CRF01 HUAS),
trt_iv,TRT_IV,trt_iv,Intravenous fluids,EUPATH_0015671,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,67,66,,variable not in HUAS codebook (CRF01 HUAS),
trt_none,TRT_NONE,trt_none,None prescribed or taken,EUPATH_0015672,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,68,67,,variable not in HUAS codebook (CRF01 HUAS),
trt_ors,TRT_ORS,trt_ors,ORALITE or ORS,EUPATH_0015673,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,70,69,,variable not in HUAS codebook (CRF01 HUAS),
visitdate,VISIT_DATE,visitdate,Interview date,EUPATH_0015683,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,date,2. Date of intervew.,,,,,,3,8,variables 'visitdate' & 'visit_date' should map to the same display label & IRI,,Calculated Visit Date
vomit,VOMIT,vomit,Vomiting 3 or more times per day,EUPATH_0015690,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,30,29,,variable not in HUAS codebook (CRF01 HUAS),
vomit_days,VOMIT_DAYS,vomit_days,Days vomiting during diarrheal illness,EUPATH_0015674,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,32,31,,variable not in HUAS codebook (CRF01 HUAS),
vomit_times,VOMIT_TIMES,vomit_times,Worst day vomiting frequency during diarrheal illness,EUPATH_0015675,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,31,30,,variable not in HUAS codebook (CRF01 HUAS),
