variable	variable	values	mappedTerm
f4a_ms_water	EUPATH_0010099	6	Pond or lake
f4a_ms_water	EUPATH_0010099	7	Deep tube well
f4a_ms_water	EUPATH_0010099	8	Shallow tube well
f4a_ms_water	EUPATH_0010099	9	Covered well in house or yard
f4a_ms_water	EUPATH_0010099	10	Covered public well
f4a_ms_water	EUPATH_0010099	11	Protected spring
f4a_ms_water	EUPATH_0010099	12	Unprotected spring
f4a_ms_water	EUPATH_0010099	13	River
f4a_ms_water	EUPATH_0010099	14	Dam or earth
f4a_ms_water	EUPATH_0010099	15	Rainwater
f4a_ms_water	EUPATH_0010099	16	"Bought (tank, bottles, etc)"
f4a_ms_water	EUPATH_0010099	17	Bore hole
f4a_ms_water	EUPATH_0010099	18	Other
f4a_ms_water	EUPATH_0010099	19	Stream
f4a_natfl	EUPATH_0031044	1	Earth/sand
f4a_natfl	EUPATH_0031044	2	Dung
f4a_offr_drink	EUPATH_0010241	1	More than usual
f4a_offr_drink	EUPATH_0010241	2	Usual
f4a_offr_drink	EUPATH_0010241	3	Somewhat less than usual
f4a_offr_drink	EUPATH_0010241	4	Much less than usual
f4a_offr_drink	EUPATH_0010241	5	Nothing to drink
f4a_offr_eat	EUPATH_0010177	1	More than usual
f4a_offr_eat	EUPATH_0010177	2	Usual
f4a_offr_eat	EUPATH_0010177	3	Somewhat less than usual
f4a_offr_eat	EUPATH_0010177	4	Much less than usual
f4a_offr_eat	EUPATH_0010177	5	Nothing to eat
f4a_opv1	EUPATH_0031247	0	No
f4a_opv1	EUPATH_0031247	1	Yes
f4a_opv1	EUPATH_0031247	9	Don't know
f4a_opv2	EUPATH_0031248	0	No
f4a_opv2	EUPATH_0031248	1	Yes
f4a_opv2	EUPATH_0031248	9	Don't know
f4a_opv3	EUPATH_0031249	0	No
f4a_opv3	EUPATH_0031249	1	Yes
f4a_opv3	EUPATH_0031249	9	Don't know
f4a_othfl	EUPATH_0031263	1	Yes
f4a_pri_bmilk	EUPATH_0031308	0	No
f4a_pri_bmilk	EUPATH_0031308	1	Yes
f4a_pri_fdrk	EUPATH_0031310	0	No
f4a_pri_fdrk	EUPATH_0031310	1	Yes
f4a_pri_fdrk	EUPATH_0031310	9	Don't know
f4a_pri_h2o	EUPATH_0031309	0	No
f4a_pri_h2o	EUPATH_0031309	1	Yes
f4a_pri_h2o	EUPATH_0031309	9	Don't know
f4a_prim_schl	EUPATH_0010129	1	No formal schooling
f4a_prim_schl	EUPATH_0010129	2	Less than primary
f4a_prim_schl	EUPATH_0010129	3	Completed primary
f4a_prim_schl	EUPATH_0010129	4	Completed secondary
f4a_prim_schl	EUPATH_0010129	5	Post-secondary
f4a_prim_schl	EUPATH_0010129	6	Religious education only
f4a_prim_schl	EUPATH_0010129	7	Don't know
f4a_rec_vax	EUPATH_0031003	0	No
f4a_rec_vax	EUPATH_0031003	1	Yes
f4a_relationship	EUPATH_0010123	1	Mother
f4a_relationship	EUPATH_0010123	2	Father
f4a_relationship	EUPATH_0010123	3	Sister
f4a_relationship	EUPATH_0010123	5	Grandmother
f4a_relationship	EUPATH_0010123	6	Grandfather
f4a_relationship	EUPATH_0010123	7	Aunt
f4a_relationship	EUPATH_0010123	8	Uncle
f4a_relationship	EUPATH_0010123	9	No relation
f4a_relationship	EUPATH_0010123	10	Other
f4a_rot1	EUPATH_0031266	0	No
f4a_rot1	EUPATH_0031266	1	Yes
f4a_rot1	EUPATH_0031266	9	Don't know
f4a_rot2	EUPATH_0031270	0	No
f4a_rot2	EUPATH_0031270	1	Yes
f4a_rot2	EUPATH_0031270	9	Don't know
f4a_rot2_dk	EUPATH_0031271	1	Yes
f4a_rot3	EUPATH_0031274	0	No
f4a_rot3	EUPATH_0031274	1	Yes
f4a_rot3	EUPATH_0031274	9	Don't know
f4a_rot3_dk	EUPATH_0031275	1	Yes
f4a_seek_ctr1	EUPATH_0010159	0	No
f4a_seek_ctr1	EUPATH_0010159	1	Yes
f4a_seek_ctr2	EUPATH_0010161	0	No
f4a_seek_ctr2	EUPATH_0010161	1	Yes
f4a_seek_ctr2_code	EUPATH_0010163	13	
f4a_seek_ctr2_code	EUPATH_0010163	109	
f4a_seek_ctr2_code	EUPATH_0010163	201	
f4a_seek_ctr3	EUPATH_0010167	0	No
f4a_seek_ctr3	EUPATH_0010167	1	Yes
f4a_seek_ctr3_code	EUPATH_0010169	302	
f4a_seek_doc	EUPATH_0015096	0	No
f4a_seek_doc	EUPATH_0015096	1	Yes
f4a_seek_friend	EUPATH_0015094	0	No
f4a_seek_friend	EUPATH_0015094	1	Yes
f4a_seek_healer	EUPATH_0015095	0	No
f4a_seek_healer	EUPATH_0015095	1	Yes
f4a_seek_other	EUPATH_0010173	0	No
f4a_seek_other	EUPATH_0010173	1	Yes
f4a_seek_outside	EUPATH_0015092	0	No
f4a_seek_outside	EUPATH_0015092	1	Yes
f4a_seek_pharm	EUPATH_0015093	0	No
f4a_seek_pharm	EUPATH_0015093	1	Yes
f4a_seek_privdoc	EUPATH_0015097	0	No
f4a_seek_privdoc	EUPATH_0015097	1	Yes
f4a_seek_remdy	EUPATH_0015098	0	No
f4a_seek_remdy	EUPATH_0015098	1	Yes
f4a_store_water	EUPATH_0010141	0	No
f4a_store_water	EUPATH_0010141	0	No
f4a_store_water	EUPATH_0010141	1	Yes
f4a_time_water	EUPATH_0000726	1	Less than 15 minutes
f4a_time_water	EUPATH_0000726	2	15-29 minutes
f4a_time_water	EUPATH_0000726	3	30-59 minutes
f4a_time_water	EUPATH_0000726	4	1-3 hours
f4a_time_water	EUPATH_0000726	5	More than 3 hours
f4a_vax_card	EUPATH_0031004	0	No
f4a_vax_card	EUPATH_0031004	1	Yes
f4a_vax_source	EUPATH_0031005	0	No
f4a_vax_source	EUPATH_0031005	1	"Yes, DSS"
f4a_vax_source	EUPATH_0031005	2	"Yes, RVS"
f4a_vax_source	EUPATH_0031005	3	"Yes, other specify"
f4a_water_avail	EUPATH_0000730	1	All the time
f4a_water_avail	EUPATH_0000730	2	Several hours every day
f4a_water_avail	EUPATH_0000730	3	A few times per week
f4a_water_avail	EUPATH_0000730	4	Less frequent than a few times per week
f4a_water_bore	EUPATH_0015050	0	No
f4a_water_bore	EUPATH_0015050	1	Yes
f4a_water_bought	EUPATH_0015048	0	No
f4a_water_bought	EUPATH_0015048	1	Yes
f4a_water_covpwell	EUPATH_0015036	0	No
f4a_water_covpwell	EUPATH_0015036	1	Yes
f4a_water_covwell	EUPATH_0015034	0	No
f4a_water_covwell	EUPATH_0015034	1	Yes
f4a_water_dam	EUPATH_0015044	0	No
f4a_water_dam	EUPATH_0015044	1	Yes
f4a_water_deepwell	EUPATH_0015045	0	No
f4a_water_deepwell	EUPATH_0015045	1	Yes
f4a_water_house	EUPATH_0015033	0	No
f4a_water_house	EUPATH_0015033	1	Yes
f4a_water_othr	EUPATH_0015049	0	No
f4a_water_othr	EUPATH_0015049	1	Yes
f4a_water_pond	EUPATH_0015043	0	No
f4a_water_pond	EUPATH_0015043	1	Yes
f4a_water_prospring	EUPATH_0015038	0	No
f4a_water_prospring	EUPATH_0015038	1	Yes
f4a_water_pubtap	EUPATH_0015037	0	No
f4a_water_pubtap	EUPATH_0015037	1	Yes
f4a_water_pubwell	EUPATH_0015041	0	No
f4a_water_pubwell	EUPATH_0015041	1	Yes
f4a_water_rain	EUPATH_0015046	0	No
f4a_water_rain	EUPATH_0015046	1	Yes
f4a_water_riv	EUPATH_0031311	0	No
f4a_water_riv	EUPATH_0031311	1	Yes
f4a_water_shallwell	EUPATH_0015047	0	No
f4a_water_shallwell	EUPATH_0015047	1	Yes
f4a_water_str	EUPATH_0031312	0	No
f4a_water_str	EUPATH_0031312	1	Yes
f4a_water_unspring	EUPATH_0015040	0	No
f4a_water_unspring	EUPATH_0015040	1	Yes
f4a_water_well	EUPATH_0015039	0	No
f4a_water_well	EUPATH_0015039	1	Yes
f4a_water_yard	EUPATH_0015035	0	No
f4a_water_yard	EUPATH_0015035	1	Yes
f4b_a23_wtna	f4b_a23_wtna	1	Yes
f4b_a59_wtna	EUPATH_0031021	1	Yes
f4b_abn_hair	EUPATH_0015118	0	No
f4b_abn_hair	EUPATH_0015118	1	Yes
f4b_adm_adv	EUPATH_0015553	0	No
f4b_adm_adv	EUPATH_0015553	1	Yes
f4b_adm_advsp	EUPATH_0031322	1	Parent refused
f4b_adm_advsp	EUPATH_0031322	2	Referred to another hospital
f4b_adm_advsp	EUPATH_0031322	3	Child died before admission
f4b_admit	EUPATH_0010345	0	No
f4b_admit	EUPATH_0010345	1	Yes
f4b_bipedal	EUPATH_0015117	0	No
f4b_bipedal	EUPATH_0015117	1	Yes
f4b_capil	EUPATH_0031078	1	Normal (<2 sec)
f4b_capil	EUPATH_0031078	2	Slow (2-3 sec)
f4b_capil	EUPATH_0031078	3	Very slow (>3 sec)
f4b_chest_indrw	EUPATH_0015115	0	No
f4b_chest_indrw	EUPATH_0015115	1	Yes
f4b_child_comp_rehyd	EUPATH_0015412	0	No
f4b_child_comp_rehyd	EUPATH_0015412	1	Yes
f4b_child_eval	EUPATH_0010299	0	No
f4b_child_eval	EUPATH_0010299	1	Yes
f4b_child_iv	EUPATH_0010317	0	No
f4b_child_iv	EUPATH_0010317	1	Yes
f4b_child_output	EUPATH_0010315	0	No
f4b_child_purge	EUPATH_0010314	0	No
f4b_child_purge	EUPATH_0010314	1	Yes
f4b_eyes	EUPATH_0010291	0	No
f4b_eyes	EUPATH_0010291	1	Yes
f4b_find_mouth	EUPATH_0010292	0	Normal
f4b_find_mouth	EUPATH_0010292	1	Somewhat dry
f4b_find_mouth	EUPATH_0010292	2	Very dry
f4b_find_skin_pinch	EUPATH_0010293	0	Normal
f4b_find_skin_pinch	EUPATH_0010293	1	Slow return
f4b_find_skin_pinch	EUPATH_0010293	2	Very slow return
f4b_hosp	EUPATH_0010347	0	No
f4b_hosp	EUPATH_0010347	1	Yes
f4b_mental	EUPATH_0010294	0	Normal
f4b_mental	EUPATH_0010294	1	Restless/irritable
f4b_mental	EUPATH_0010294	2	Lethargic/unconscious
f4b_mouth	EUPATH_0010292	0	Normal
f4b_mouth	EUPATH_0010292	1	Somewhat dry
f4b_mouth	EUPATH_0010292	2	Very dry
f4b_mrehyd_wtna	f4b_mrehyd_wtna	1	Yes
f4b_nature_stool	EUPATH_0010296	0	Normal stool
f4b_nature_stool	EUPATH_0010296	1	Looze/liquid stool without blood
f4b_nature_stool	EUPATH_0010296	2	Loose/liquid stool with blood
f4b_observe_stool	EUPATH_0010295	0	No
f4b_observe_stool	EUPATH_0010295	1	Yes
f4b_out_muac_na	EUPATH_0031158	1	Yes
f4b_outcome	EUPATH_0010353	1	Resolved or healthy
f4b_outcome	EUPATH_0010353	2	Improved
f4b_outcome	EUPATH_0010353	3	No better
f4b_outcome	EUPATH_0010353	4	Worse
f4b_outcome	EUPATH_0010353	5	Died in hospital/health center
f4b_outcome	EUPATH_0010353	6	Unknown/lost to follow-up
f4b_outcome_bact	EUPATH_0015134	0	No
f4b_outcome_bact	EUPATH_0015134	1	Yes
f4b_outcome_drh	EUPATH_0015130	0	No
f4b_outcome_drh	EUPATH_0015130	1	Yes
f4b_outcome_dys	EUPATH_0015131	0	No
f4b_outcome_dys	EUPATH_0015131	1	Yes
f4b_outcome_mala	EUPATH_0015135	0	No
f4b_outcome_mala	EUPATH_0015135	1	Yes
f4b_outcome_mlnt	EUPATH_0015136	0	No
f4b_outcome_mlnt	EUPATH_0015136	1	Yes
f4b_outcome_mngts	EUPATH_0015133	0	No
f4b_outcome_mngts	EUPATH_0015133	1	Yes
f4b_outcome_othr	EUPATH_0015138	0	No
f4b_outcome_othr	EUPATH_0015138	1	Yes
f4b_outcome_pneu	EUPATH_0015132	0	No
f4b_outcome_pneu	EUPATH_0015132	1	Yes
f4b_outcome_typhoid	EUPATH_0015137	0	No
f4b_receiv_req	EUPATH_0010298	0	No
f4b_receiv_req	EUPATH_0010298	1	Yes
f4b_rectal	EUPATH_0015116	0	No
f4b_rectal	EUPATH_0015116	1	Yes
f4b_rehyd_hosp	EUPATH_0010318	0	No
f4b_rehyd_hosp	EUPATH_0010318	1	Yes
f4b_rehyd_rec	EUPATH_0031101	1	Received IV rehydration at this center
f4b_rehyd_rec	EUPATH_0031101	2	Received oral rehydration at this center
f4b_rehyd_rec	EUPATH_0031101	3	Received both oral and IV rehydration at this center
f4b_rehyd_ref	EUPATH_0031102	1	Referred to another center
f4b_rehyd_ref	EUPATH_0031102	2	Patient refused
f4b_rehyd_ref	EUPATH_0031102	3	Prescribed ORS for use at home
f4b_rehyd_wtna	f4b_rehyd_wtna	1	Yes
f4b_req_rehyd	EUPATH_0010297	0	No
f4b_req_rehyd	EUPATH_0010297	1	"Yes, oral rehydration"
f4b_req_rehyd	EUPATH_0010297	2	"Yes, IV rehydration"
f4b_req_rehyd	EUPATH_0010297	3	Yes both IV and oral rehydration
f4b_skin	EUPATH_0010293	0	Normal
f4b_skin	EUPATH_0010293	1	Slow return
f4b_skin	EUPATH_0010293	2	Very slow return
f4b_skin_flaky	EUPATH_0015120	0	No
f4b_skin_flaky	EUPATH_0015120	1	Yes
f4b_trt_give_amox	EUPATH_0015149	0	No
f4b_trt_give_amox	EUPATH_0015149	1	Yes
f4b_trt_give_ampi	EUPATH_0015150	0	No
f4b_trt_give_ampi	EUPATH_0015150	1	Yes
f4b_trt_give_anti	EUPATH_0015157	0	No
f4b_trt_give_anti	EUPATH_0015157	1	Yes
f4b_trt_give_azi	EUPATH_0015146	0	No
f4b_trt_give_azi	EUPATH_0015146	1	Yes
f4b_trt_give_cef	EUPATH_0031296	0	No
f4b_trt_give_cef	EUPATH_0031296	1	Yes
f4b_trt_give_chlor	EUPATH_0015144	0	No
f4b_trt_give_chlor	EUPATH_0015144	1	Yes
f4b_trt_give_cip	EUPATH_0031298	0	No
f4b_trt_give_cip	EUPATH_0031298	1	Yes
f4b_trt_give_cpnr	EUPATH_0015152	0	No
f4b_trt_give_cpnr	EUPATH_0015152	1	Yes
f4b_trt_give_cxl	EUPATH_0015141	0	No
f4b_trt_give_cxl	EUPATH_0015141	1	Yes
f4b_trt_give_ery	EUPATH_0015145	0	No
f4b_trt_give_ery	EUPATH_0015145	1	Yes
f4b_trt_give_flag	EUPATH_0031303	0	No
f4b_trt_give_flag	EUPATH_0031303	1	Yes
f4b_trt_give_gent	EUPATH_0015143	0	No
f4b_trt_give_gent	EUPATH_0015143	1	Yes
f4b_trt_give_home	EUPATH_0015156	0	No
f4b_trt_give_iv	EUPATH_0015140	0	No
f4b_trt_give_iv	EUPATH_0015140	1	Yes
f4b_trt_give_macr	EUPATH_0015147	0	No
f4b_trt_give_nalid	EUPATH_0015151	0	No
f4b_trt_give_nalid	EUPATH_0015151	1	Yes
f4b_trt_give_ors	EUPATH_0015139	0	No
f4b_trt_give_ors	EUPATH_0015139	1	Yes
f4b_trt_give_othr	EUPATH_0015154	0	No
f4b_trt_give_othr	EUPATH_0015154	1	Yes
f4b_trt_give_othr1	EUPATH_0015158	0	No
f4b_trt_give_othr1	EUPATH_0015158	1	Yes
f4b_trt_give_othr2	EUPATH_0015158	0	No
f4b_trt_give_othr2	EUPATH_0015158	1	Yes
f4b_trt_give_othr3	EUPATH_0015158	0	No
f4b_trt_give_othr3	EUPATH_0015158	1	Yes
f4b_trt_give_pen	EUPATH_0015148	0	No
f4b_trt_give_pen	EUPATH_0015148	1	Yes
f4b_trt_give_slpy	EUPATH_0015153	0	No
f4b_trt_give_slpy	EUPATH_0015153	1	Yes
f4b_trt_give_zinc	EUPATH_0015155	0	No
f4b_trt_give_zinc	EUPATH_0015155	1	Yes
f4b_trt_none	EUPATH_0015183	0	No
f4b_trt_pres_amox	EUPATH_0015171	0	No
f4b_trt_pres_amox	EUPATH_0015171	1	Yes
f4b_trt_pres_ampi	EUPATH_0015172	0	No
f4b_trt_pres_ampi	EUPATH_0015172	1	Yes
f4b_trt_pres_anti	EUPATH_0015179	0	No
f4b_trt_pres_anti	EUPATH_0015179	1	Yes
f4b_trt_pres_azi	EUPATH_0015168	0	No
f4b_trt_pres_azi	EUPATH_0015168	1	Yes
f4b_trt_pres_cef	EUPATH_0031198	0	No
f4b_trt_pres_cef	EUPATH_0031198	1	Yes
f4b_trt_pres_chlor	EUPATH_0015166	0	No
f4b_trt_pres_chlor	EUPATH_0015166	1	Yes
f4b_trt_pres_cip	EUPATH_0031297	0	No
f4b_trt_pres_cip	EUPATH_0031297	1	Yes
f4b_trt_pres_cpnr	EUPATH_0015174	0	No
f4b_trt_pres_cpnr	EUPATH_0015174	1	Yes
f4b_trt_pres_cxl	EUPATH_0015163	0	No
f4b_trt_pres_cxl	EUPATH_0015163	1	Yes
f4b_trt_pres_ery	EUPATH_0015167	0	No
f4b_trt_pres_ery	EUPATH_0015167	1	Yes
f4b_trt_pres_flag	EUPATH_0031302	0	No
f4b_trt_pres_flag	EUPATH_0031302	1	Yes
f4b_trt_pres_gent	EUPATH_0015165	0	No
f4b_trt_pres_gent	EUPATH_0015165	1	Yes
f4b_trt_pres_home	EUPATH_0015178	0	No
f4b_trt_pres_home	EUPATH_0015178	1	Yes
f4b_trt_pres_iv	EUPATH_0015162	0	No
f4b_trt_pres_iv	EUPATH_0015162	1	Yes
f4b_trt_pres_macr	EUPATH_0015169	0	No
f4b_trt_pres_macr	EUPATH_0015169	1	Yes
f4b_trt_pres_nalid	EUPATH_0015173	0	No
f4b_trt_pres_nalid	EUPATH_0015173	1	Yes
f4b_trt_pres_ors	EUPATH_0015161	0	No
f4b_trt_pres_ors	EUPATH_0015161	1	Yes
f4b_trt_pres_othr	EUPATH_0015176	0	No
f4b_trt_pres_othr	EUPATH_0015176	1	Yes
f4b_trt_pres_othr1	EUPATH_0015180	0	No
f4b_trt_pres_othr1	EUPATH_0015180	1	Yes
f4b_trt_pres_othr2	EUPATH_0015180	0	No
f4b_trt_pres_othr2	EUPATH_0015180	1	Yes
f4b_trt_pres_othr3	EUPATH_0015180	0	No
f4b_trt_pres_othr3	EUPATH_0015180	1	Yes
f4b_trt_pres_pen	EUPATH_0015170	0	No
f4b_trt_pres_pen	EUPATH_0015170	1	Yes
f4b_trt_pres_slpy	EUPATH_0015175	0	No
f4b_trt_pres_slpy	EUPATH_0015175	1	Yes
f4b_trt_pres_zinc	EUPATH_0015177	0	No
f4b_trt_pres_zinc	EUPATH_0015177	1	Yes
f4b_under_nutr	EUPATH_0015119	0	No
f4b_under_nutr	EUPATH_0015119	1	Yes
f4b_wtna	f4b_wtna	1	Yes
f5_abn_hair	EUPATH_0015118	0	No
f5_abn_hair	EUPATH_0015118	1	Yes
f5_agecat	EUPATH_0010367	1	0-23 months
f5_agecat	EUPATH_0010367	2	24-59 months
f5_bipedal	EUPATH_0015117	0	No
f5_bipedal	EUPATH_0015117	1	Yes
f5_bwt_avail	EUPATH_0031287	0	No
f5_bwt_avail	EUPATH_0031287	1	Yes
f5_bwt_source	EUPATH_0031205	0	No
f5_bwt_source	EUPATH_0031205	1	Yes
f5_child_health	EUPATH_0010066	1	Appears healthy
f5_child_health	EUPATH_0010066	2	Health improved but not back to normal
f5_child_health	EUPATH_0010066	3	No better/unchanged
f5_child_health	EUPATH_0010066	4	Health has deteriorated
f5_child_health	EUPATH_0010066	5	Died
f5_diag_mal	EUPATH_0015234	0	No
f5_diag_mal	EUPATH_0015234	1	Yes
f5_diag_meng	EUPATH_0015236	0	No
f5_diag_meng	EUPATH_0015236	1	Yes
f5_diag_othr	EUPATH_0015237	0	No
f5_diag_othr	EUPATH_0015237	1	Yes
f5_diag_pne	EUPATH_0015235	0	No
f5_diag_pne	EUPATH_0015235	1	Yes
f5_diag_typ	EUPATH_0015233	0	No
f5_diag_typ	EUPATH_0015233	1	Yes
f5_died_facility	EUPATH_0010068	1	Yes
f5_died_facility	EUPATH_0010068	4	
f5_died_facility	EUPATH_0010068	90	
f5_died_facility	EUPATH_0010068	101	
f5_died_facility	EUPATH_0010068	107	
f5_died_facility	EUPATH_0010068	201	
f5_died_facility	EUPATH_0010068	206	
f5_died_facility	EUPATH_0010068	301	
f5_edd_avail	EUPATH_0031223	0	No
f5_edd_avail	EUPATH_0031223	1	Yes
f5_edd_na	EUPATH_0031224	1	Yes
f5_exp_arthritis	EUPATH_0015246	0	No
f5_exp_arthritis	EUPATH_0015246	1	Yes
f5_exp_convul	EUPATH_0015245	0	No
f5_exp_convul	EUPATH_0015245	1	Yes
f5_exp_cou	EUPATH_0015240	0	No
f5_exp_cou	EUPATH_0015240	1	Yes
f5_exp_cou_visit	EUPATH_0015249	0	No
f5_exp_cou_visit	EUPATH_0015249	1	Yes
f5_exp_drh	EUPATH_0015238	0	No
f5_exp_drh	EUPATH_0015238	1	Yes
f5_exp_drh_visit	EUPATH_0015247	0	No
f5_exp_drh_visit	EUPATH_0015247	1	Yes
f5_exp_dys	EUPATH_0015239	0	No
f5_exp_dys	EUPATH_0015239	1	Yes
f5_exp_dys_visit	EUPATH_0015248	0	No
f5_exp_dys_visit	EUPATH_0015248	1	Yes
f5_exp_fever	HP_0001945	0	No
f5_exp_fever	HP_0001945	1	Yes
f5_exp_fever_visit	EUPATH_0015250	0	No
f5_exp_fever_visit	EUPATH_0015250	1	Yes
f5_exp_othr	EUPATH_0015242	0	No
f5_exp_othr	EUPATH_0015242	1	Yes
f5_exp_othr_visit	EUPATH_0015251	0	No
f5_exp_othr_visit	EUPATH_0015251	1	Yes
f5_exp_othr2	EUPATH_0015242	0	No
f5_exp_othr2	EUPATH_0015242	1	Yes
f5_exp_othr2_visit	EUPATH_0015251	0	No
f5_exp_othr2_visit	EUPATH_0015251	1	Yes
f5_exp_rectal	EUPATH_0015244	0	No
f5_exp_rectal	EUPATH_0015244	1	Yes
f5_lmp_avail	EUPATH_0031242	0	No
f5_lmp_avail	EUPATH_0031242	1	Yes
f5_lmp_na	EUPATH_0031242	1	Yes
f5_not_conduct	EUPATH_0010062	1	Child cannot be found
f5_not_conduct	EUPATH_0010062	2	Caretaker not available after 3 visits
f5_not_conduct	EUPATH_0010062	3	Caretaker refused
f5_not_conduct	EUPATH_0010062	4	Other
f5_place_death	EUPATH_0010067	1	Health facility
f5_place_death	EUPATH_0010067	2	Home or elsewhere
f5_rectal	EUPATH_0015116	0	No
f5_rectal	EUPATH_0015116	1	Yes
f5_relation	EUPATH_0010064	1	Mother
f5_relation	EUPATH_0010064	2	Father
f5_relation	EUPATH_0010064	3	Sister
f5_relation	EUPATH_0010064	4	Brother
f5_relation	EUPATH_0010064	5	Grandmother
f5_relation	EUPATH_0010064	6	Grandfather
f5_relation	EUPATH_0010064	7	Aunt
f5_relation	EUPATH_0010064	8	Uncle
f5_relation	EUPATH_0010064	9	No relation
f5_relation	EUPATH_0010064	10	Other relation by blood or marriage
f5_skin_flaky	EUPATH_0015120	0	No
f5_skin_flaky	EUPATH_0015120	1	Yes
f5_status	EUPATH_0010061	0	Not conducted
f5_status	EUPATH_0010061	1	Conducted
f5_under_nutr	EUPATH_0015119	0	No
f5_under_nutr	EUPATH_0015119	1	Yes
f5_wt_after	EUPATH_0031288	0	No
f5_wt_after	EUPATH_0031288	1	Yes
f6_age_match	EUPATH_0031295	1	Yes
f6_consent	EUPATH_0010420	1	Yes
f6_drh_free7	EUPATH_0031038	1	Yes
f6_elig_enroll	EUPATH_0010418	1	Yes
f6_elig_saliva	EUPATH_0031009	0	No
f6_elig_saliva	EUPATH_0031009	1	Yes
f6_enroll_7	EUPATH_0031033	1	Yes
f6_enrolled	EUPATH_0010424	1	Yes
f6_id_child	EUPATH_0031006	1	Yes
f6_same_gen	EUPATH_0031070	1	Yes
f6_same_villa	EUPATH_0031069	1	Yes
f6_stool_smpl	EUPATH_0031294	0	No
f6_stool_smpl	EUPATH_0031294	1	Yes
f7_abn_hair	EUPATH_0015118	0	No
f7_abn_hair	EUPATH_0015118	1	Yes
f7_ani_cat	EUPATH_0015027	0	No
f7_ani_cat	EUPATH_0015027	1	Yes
f7_ani_cow	EUPATH_0015028	0	No
f7_ani_cow	EUPATH_0015028	1	Yes
f7_ani_dog	EUPATH_0015026	0	No
f7_ani_dog	EUPATH_0015026	1	Yes
f7_ani_donk	EUPATH_0031148	0	No
f7_ani_donk	EUPATH_0031148	1	Yes
f7_ani_fowl	EUPATH_0015030	0	No
f7_ani_fowl	EUPATH_0015030	1	Yes
f7_ani_goat	EUPATH_0015024	0	No
f7_ani_goat	EUPATH_0015024	1	Yes
f7_ani_hors	EUPATH_0031149	0	No
f7_ani_hors	EUPATH_0031149	1	Yes
f7_ani_no	EUPATH_0015032	0	No
f7_ani_no	EUPATH_0015032	1	Yes
f7_ani_other	EUPATH_0015031	0	No
f7_ani_other	EUPATH_0015031	1	Yes
f7_ani_pig	EUPATH_0031151	0	No
f7_ani_pig	EUPATH_0031151	1	Yes
f7_ani_rodents	EUPATH_0015029	0	No
f7_ani_rodents	EUPATH_0015029	1	Yes
f7_ani_sheep	EUPATH_0015025	0	No
f7_ani_sheep	EUPATH_0015025	1	Yes
f7_bipedal	EUPATH_0015117	0	No
f7_bipedal	EUPATH_0015117	1	Yes
f7_blood	EUPATH_0015184	0	No
f7_blood	EUPATH_0015184	1	Yes
f7_cur_bmilk	EUPATH_0031068	0	No
f7_cur_bmilk	EUPATH_0031068	1	Yes
f7_cur_fdrk	EUPATH_0031304	0	No
f7_cur_fdrk	EUPATH_0031304	1	Yes
f7_cur_h2o	EUPATH_0011671	0	No
f7_cur_h2o	EUPATH_0011671	1	Yes
f7_cur_h2o	EUPATH_0011671	9	Don't know
f7_cur_med	EUPATH_0010153	0	No
f7_cur_med	EUPATH_0010153	1	Yes
f7_dad_live	EUPATH_0000676	1	Living in household
f7_dad_live	EUPATH_0000676	2	Living outside of household
f7_dad_live	EUPATH_0000676	3	Abroad
f7_dad_live	EUPATH_0000676	4	Whereabouts unknown
f7_dad_live	EUPATH_0000676	5	Died
f7_dpt_type	EUPATH_0031321	1	DPT
f7_dpt_type	EUPATH_0031321	2	Pentavalent
f7_dpt_type	EUPATH_0031321	3	Don't know
f7_dpt1	EUPATH_0031211	0	No
f7_dpt1	EUPATH_0031211	1	Yes
f7_dpt1	EUPATH_0031211	9	Don't know
f7_dpt1_dk	EUPATH_0031219	1	Yes
f7_dpt2	EUPATH_0031212	0	No
f7_dpt2	EUPATH_0031212	1	Yes
f7_dpt2	EUPATH_0031212	9	Don't know
f7_dpt2_dk	EUPATH_0031219	1	Yes
f7_dpt3	EUPATH_0031211	0	No
f7_dpt3	EUPATH_0031211	1	Yes
f7_dpt3	EUPATH_0031211	9	Don't know
f7_dpt3_dk	EUPATH_0031219	1	Yes
f7_fetch_water	EUPATH_0010234	0	No
f7_fetch_water	EUPATH_0010234	1	Yes
f7_fever	EUPATH_0015185	0	No
f7_fever	EUPATH_0015185	1	Yes
f7_finfl	EUPATH_0031049	2	Vinyl or asphalt strips
f7_finfl	EUPATH_0031049	3	Ceramic tile
f7_finfl	EUPATH_0031049	4	Cement
f7_finfl	EUPATH_0031049	5	Carpet
f7_fuel_biogas	EUPATH_0015013	0	No
f7_fuel_biogas	EUPATH_0015013	1	Yes
f7_fuel_but	EUPATH_0031196	0	No
f7_fuel_but	EUPATH_0031196	1	Yes
f7_fuel_charcoal	EUPATH_0015019	0	No
f7_fuel_charcoal	EUPATH_0015019	1	Yes
f7_fuel_coal	EUPATH_0015016	0	No
f7_fuel_coal	EUPATH_0015016	1	Yes
f7_fuel_crop	EUPATH_0015020	0	No
f7_fuel_crop	EUPATH_0015020	1	Yes
f7_fuel_dung	EUPATH_0015017	0	No
f7_fuel_elec	EUPATH_0015012	0	No
f7_fuel_elec	EUPATH_0015012	1	Yes
f7_fuel_grass	EUPATH_0015014	0	No
