variable	variable2	values	mappedTerm	ordinalValue
form01::ballardneuromuscularmaturityscore	form01::ballardneuromuscularmaturityscore	na	:::UNDEF:::
form03b::n651specify	form03b::n651specify	ANC 3300	ANC 3300
form03b::n651specify	form03b::n651specify	ANC 3600	ANC 3600
form03b::n651specify	form03b::n651specify	ANC 3700	ANC 3700
form03b::n651specify	form03b::n651specify	ANC 3800	ANC 3800
form03b::n651specify	form03b::n651specify	ANC 4300, platlet 33000	ANC 4300, PLT 33000
form03b::n651specify	form03b::n651specify	ANC 6300 (ANC <7500)	ANC 6300 (ANC <7500)
form03b::n651specify	form03b::n651specify	ANC 65.2%	ANC 65.2%
form03b::n651specify	form03b::n651specify	ANC 8000	ANC 8000
form03b::n651specify	form03b::n651specify	ANC 9200	ANC 9200
form03b::n651specify	form03b::n651specify	ANC HCT 28.3	HCT 28.3%
form03b::n651specify	form03b::n651specify	ANC-11542	ANC 11542
form03b::n651specify	form03b::n651specify	ANC-1307,Hct-71%,HGB -23.5,plt-91000	ANC 1307,HCT 71%,HGB 23.5,PLT 91000
form03b::n651specify	form03b::n651specify	ANC-19900	ANC 19900
form03b::n651specify	form03b::n651specify	ANC-4712	ANC 4712
form03b::n651specify	form03b::n651specify	Anc-8803	Anc 8803
form03b::n651specify	form03b::n651specify	ANC-9900 (Nenutrophihia)	ANC 9900 (Nenutrophihia)
form03b::n651specify	form03b::n651specify	ANC, 11000 , HCT 37.2%	ANC, 11000 , HCT 37.2%
form03b::n651specify	form03b::n651specify	ANC= 14200 / Gleuoted /	ANC 14200 / Gleuoted /
form03b::n651specify	form03b::n651specify	ANC= 8700	ANC 8700
form03b::n651specify	form03b::n651specify	ANC=10,400,PT=49,000	ANC 10,400,PT 49,000
form03b::n651specify	form03b::n651specify	ANC=10089,PH72000,HCT=69.3	ANC 10089,PH72000,HCT 69.3
form03b::n651specify	form03b::n651specify	ANC=10300	ANC 10300
form03b::n651specify	form03b::n651specify	ANC=11.354	ANC 11.354
form03b::n651specify	form03b::n651specify	ANC=11.865	ANC 11.865
form03b::n651specify	form03b::n651specify	ANC=1224	ANC 1224
form03b::n651specify	form03b::n651specify	ANC=12280	ANC 12280
form03b::n651specify	form03b::n651specify	ANC=12932	ANC 12932
form03b::n651specify	form03b::n651specify	ANC=1400	ANC 1400
form03b::n651specify	form03b::n651specify	ANC=1500	ANC 1500
form03b::n651specify	form03b::n651specify	Anc=16977,WBC=21,600,New=78.6,y=12%	Anc 16977,WBC 21,600,New 78.6,y 12%
form03b::n651specify	form03b::n651specify	ANC=17.33	ANC 17.33
form03b::n651specify	form03b::n651specify	ANC=1705	ANC 1705
form03b::n651specify	form03b::n651specify	ANC=260,Pit=19*10^3,hgb=3.9	ANC 260,Pit 19*10^3,hgb 3.9
form03b::n651specify	form03b::n651specify	ANC=270,PH=104*10^3	ANC 270,PH 104*10^3
form03b::n651specify	form03b::n651specify	ANC=3000, HCT= 30%	ANC 3000, HCT 30%
form03b::n651specify	form03b::n651specify	ANC=840(low)	ANC 840(low)
form03b::n651specify	form03b::n651specify	ANC=8812	ANC 8812
form03b::n651specify	form03b::n651specify	ANC=9099	ANC 9099
form03b::n651specify	form03b::n651specify	Anemi + THROMBOCYTSPEMIA	Anemia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Anemia	Anemia
form03b::n651specify	form03b::n651specify	Anemia , Thrombocytopemia	Anemia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Anemia, Neutrophil preaonimia	Anemia, Neutrophil preaonimia
form03b::n651specify	form03b::n651specify	Anemia,Leucocytosis	Anemia, leukocytosis
form03b::n651specify	form03b::n651specify	anemia,mild	Anemia
form03b::n651specify	form03b::n651specify	Anemia,thnombocntopes	Anemia,thnombocntopes
form03b::n651specify	form03b::n651specify	Anemia,Thrpmbocytopena	Anemia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Anemie	Anemia
form03b::n651specify	form03b::n651specify	Anemion	Anemia
form03b::n651specify	form03b::n651specify	Anlie	Anlie
form03b::n651specify	form03b::n651specify	AWC	AWC
form03b::n651specify	form03b::n651specify	AWC (64 %)	AWC (64%)
form03b::n651specify	form03b::n651specify	AWC (70%)	AWC (70%)
form03b::n651specify	form03b::n651specify	AWC 53%, WBC 69000	AWC 53%, WBC 69000
form03b::n651specify	form03b::n651specify	Ayc=20,424 Pet=83,000	Ayc 20,424 Pet 83,000
form03b::n651specify	form03b::n651specify	Blood clut NIA	Blood clut NIA
form03b::n651specify	form03b::n651specify	But manual HCT is 70%	But manual HCT is 70%
form03b::n651specify	form03b::n651specify	ceukopenia	ceukopenia
form03b::n651specify	form03b::n651specify	closted	closted
form03b::n651specify	form03b::n651specify	Decrease	Decreased
form03b::n651specify	form03b::n651specify	decrease HCT,Decrease Platlet	HCT PLT decreased
form03b::n651specify	form03b::n651specify	decrease Hgb-10,HCT-26.9	decrease Hgb 10,HCT 26.9
form03b::n651specify	form03b::n651specify	decrease platelate 72*10/3	decrease platelate 72*10/3
form03b::n651specify	form03b::n651specify	decrease Platelete	PLT decreased
form03b::n651specify	form03b::n651specify	decrease WBC-1.78, HCT-26	decrease WBC 1.78, HCT 26
form03b::n651specify	form03b::n651specify	Decreased Platlet(6.400)	
form03b::n651specify	form03b::n651specify	hb-12	hb 12
form03b::n651specify	form03b::n651specify	HB-26.1,HCT-68.3,RBC-682,PLT-614	HB 26.1,HCT 68.3,RBC 682,PLT 614
form03b::n651specify	form03b::n651specify	Hb=13.4, HCT=35.6	Hb 13.4, HCT 35.6
form03b::n651specify	form03b::n651specify	Hb=6.1 Hct=21.6% plt=99x10^3	Hb 6.1 HCT 21.6% PLT 99x10^3
form03b::n651specify	form03b::n651specify	HCB-21.1,HCT-57	HCB 21.1,HCT 57
form03b::n651specify	form03b::n651specify	Hcb=decrease	Hcb decreased
form03b::n651specify	form03b::n651specify	HCT - 139 % PLT 64x10000	HCT 139% PLT 64x10000
form03b::n651specify	form03b::n651specify	Hct - 36%	HCT 36%
form03b::n651specify	form03b::n651specify	HCT - 70%	HCT 70%
form03b::n651specify	form03b::n651specify	HCT -37%	HCT 37%
form03b::n651specify	form03b::n651specify	HCT -68 % PLT=65000	HCT 68% PLT 65000
form03b::n651specify	form03b::n651specify	HCT (36.7%)	HCT 36.7%
form03b::n651specify	form03b::n651specify	HCT (65%) WBC 5800	HCT 65% WBC 5800
form03b::n651specify	form03b::n651specify	HCT = 65.5	HCT 65.5%
form03b::n651specify	form03b::n651specify	HCT = 67%	HCT 67%
form03b::n651specify	form03b::n651specify	HCT = 70	HCT 70%
form03b::n651specify	form03b::n651specify	HCT 21.5%, WBC 34500, ANC	HCT 21.5%, WBC 34500, ANC
form03b::n651specify	form03b::n651specify	HCT 24.8%, plat 33000	HCT 24.8%, plat 33000
form03b::n651specify	form03b::n651specify	HCT 27	HCT 27%
form03b::n651specify	form03b::n651specify	Hct 33.5%	HCT 33.5%
form03b::n651specify	form03b::n651specify	HCT 34.8%, Plet 83,000	HCT 34.8%, Plet 83,000
form03b::n651specify	form03b::n651specify	HCT 35.1%, wbc 27000hl, awc 63.5%	HCT 35.1%, wbc 27000hl, awc 63.5%
form03b::n651specify	form03b::n651specify	HCT 36.3%	HCT 36.3%
form03b::n651specify	form03b::n651specify	HCT 37.2	HCT 37.2%
form03b::n651specify	form03b::n651specify	HCT 37.2%, Hgn?? 13.3g/dl	HCT 37.2%, Hgn?? 13.3g/dl
form03b::n651specify	form03b::n651specify	HCT 39.9 Plat 55000	HCT 39.9% Plat 55000
form03b::n651specify	form03b::n651specify	HCT 39%	HCT 39%
form03b::n651specify	form03b::n651specify	Hct 41.2 low	HCT 41.2%
form03b::n651specify	form03b::n651specify	HCT 41%	HCT 41%
form03b::n651specify	form03b::n651specify	HCT 41% 10 w	HCT 41% 10 w
form03b::n651specify	form03b::n651specify	HCT 42 PLT 24000	HCT 42 PLT 24000
form03b::n651specify	form03b::n651specify	HCT 42%	HCT 42%
form03b::n651specify	form03b::n651specify	HCT 43 % WBC 7600000	HCT 43% WBC 7600000
form03b::n651specify	form03b::n651specify	HCT 43.3 pt 50,000, rgn 15.1	HCT 43.3% pt 50,000, rgn 15.1
form03b::n651specify	form03b::n651specify	HCT 44.7 %, WBC 6800	HCT 44.7%, WBC 6800
form03b::n651specify	form03b::n651specify	HCT 44%	HCT 44%
form03b::n651specify	form03b::n651specify	HCT 44%, manual 35%	HCT 44%, manual 35%
form03b::n651specify	form03b::n651specify	HCT 53.7	HCT 53.7%
form03b::n651specify	form03b::n651specify	Hct 64.9%	HCT 64.9%
form03b::n651specify	form03b::n651specify	HCT 65.3% Manual 73%	HCT 65.3% Manual 73%
form03b::n651specify	form03b::n651specify	HCT 65.6%	HCT 65.6%
form03b::n651specify	form03b::n651specify	HCT 66%	HCT 66%
form03b::n651specify	form03b::n651specify	HCT 67.3 %	HCT 67.3%
form03b::n651specify	form03b::n651specify	Hct 68	HCT 68%
form03b::n651specify	form03b::n651specify	HCT 69.5%	HCT 69.5%
form03b::n651specify	form03b::n651specify	HCT 69.9%,79%, WBC 13700 (N=68.7%)	HCT 69.9%,79%, WBC 13700 (N 68.7%)
form03b::n651specify	form03b::n651specify	HCT 69%	HCT 69%
form03b::n651specify	form03b::n651specify	HCT 70%	HCT 70%
form03b::n651specify	form03b::n651specify	HCT 71.9 but mamct?? is 53%	HCT 71.9 but mamct?? is 53%
form03b::n651specify	form03b::n651specify	HCt 71%, WBC 4400	HCT 71%, WBC 4400
form03b::n651specify	form03b::n651specify	HCT 73	HCT 73%
form03b::n651specify	form03b::n651specify	HCT 73%	HCT 73%
form03b::n651specify	form03b::n651specify	HCT 75 %	HCT 75%
form03b::n651specify	form03b::n651specify	HCT 75%	HCT 75%
form03b::n651specify	form03b::n651specify	HCT 78	HCT 78%
form03b::n651specify	form03b::n651specify	HCT 78.3 %, WBC 7.3x 1000(7300	HCT 78.3%, WBC 7.3x 1000(7300
form03b::n651specify	form03b::n651specify	HCT 86 (polycythermia	HCT 86%, polycythemia
form03b::n651specify	form03b::n651specify	HCT decrease, platlet decreas3	HCT decrease, PLT decreas3
form03b::n651specify	form03b::n651specify	Hct pletelet 29.3%	HCT pletelet 29.3%
form03b::n651specify	form03b::n651specify	HCT- 27.4 %	HCT 27.4%
form03b::n651specify	form03b::n651specify	HCT- 38 R % PLT 2300	HCT 38 R% PLT 2300
form03b::n651specify	form03b::n651specify	HCT- 38.9	HCT 38.9%
form03b::n651specify	form03b::n651specify	HCT- 43 % anemia	HCT 43% anemia
form03b::n651specify	form03b::n651specify	HCT- 52.7	HCT 52.7%
form03b::n651specify	form03b::n651specify	HCT- 66 % (polothermia), ANC= 9800(neutrophylia), PLT = 37000 (Throboytopemia)	HCT 66% (polothermia), ANC 9800(neutrophylia), PLT 37000 (Throboytopemia)
form03b::n651specify	form03b::n651specify	HCT-19.5	HCT 19.5%
form03b::n651specify	form03b::n651specify	Hct-27.3,Mgh-8.7	HCT 27.3%, Mgh 8.7
form03b::n651specify	form03b::n651specify	HCT-28.5,PLT-53	HCT 28.5%, PLT 53
form03b::n651specify	form03b::n651specify	HCT-28%	HCT 28%
form03b::n651specify	form03b::n651specify	HCT-33.7	HCT 33.7%
form03b::n651specify	form03b::n651specify	HCT-36.5	HCT 36.5%
form03b::n651specify	form03b::n651specify	HCT-39.9 %, PLT- 36x10000	HCT 39.9%, PLT 36x10000
form03b::n651specify	form03b::n651specify	HCT-40%	HCT 40%
form03b::n651specify	form03b::n651specify	HCT-41%	HCT 41%
form03b::n651specify	form03b::n651specify	HCT-42% (anemia)	HCT 42%
form03b::n651specify	form03b::n651specify	HCT-47.9	HCT 47.9%
form03b::n651specify	form03b::n651specify	HCT-51.5	HCT 51.5%
form03b::n651specify	form03b::n651specify	HCT-60	HCT 60%
form03b::n651specify	form03b::n651specify	HCT-65%	HCT 65%
form03b::n651specify	form03b::n651specify	HCT-66.3,HGS-22g/d	HCT 66.3%, HGS 22g/d
form03b::n651specify	form03b::n651specify	Hct-66%	HCT 66%
form03b::n651specify	form03b::n651specify	HCT-67, HGB-25, PIT-64	HCT 67, HGB 25, PIT 64
form03b::n651specify	form03b::n651specify	HCT-67.1%	HCT 67.1%
form03b::n651specify	form03b::n651specify	HCT-67.9%	HCT 67.9%
form03b::n651specify	form03b::n651specify	HCT-67%	HCT 67%
form03b::n651specify	form03b::n651specify	HCT-69%	HCT 69%
form03b::n651specify	form03b::n651specify	HCT-72%	HCT 72%
form03b::n651specify	form03b::n651specify	HCT-74%	HCT 74%
form03b::n651specify	form03b::n651specify	HCT-75%	HCT 75%
form03b::n651specify	form03b::n651specify	HCT, 37.4 %, Plt 27000	HCT 37.4%, PLT 27000
form03b::n651specify	form03b::n651specify	Hct= 68.9 % ANC = 8600	HCT 68.9% ANC 8600
form03b::n651specify	form03b::n651specify	HCT= 72%	HCT 72%
form03b::n651specify	form03b::n651specify	Hct=16.8 plt=1x103	HCT 16.8 PLT 1x103
form03b::n651specify	form03b::n651specify	Hct=18%	HCT 18%
form03b::n651specify	form03b::n651specify	HCT=20.9%	HCT 20.9%
form03b::n651specify	form03b::n651specify	Hct=21.3,Hgb=10.3,Pet=127*10^3,Wbc=8900,N=60%,L=32%	HCT 21.3,Hgb 10.3,Pet 127*10^3,Wbc 8900,N 60%,L 32%
form03b::n651specify	form03b::n651specify	Hct=22.3%	HCT 22.3%
form03b::n651specify	form03b::n651specify	Hct=25.2%, Hgb=8.0,Wbc=3500	HCT 25.2%, Hgb 8.0,Wbc 3500
form03b::n651specify	form03b::n651specify	Hct=26.6%	HCT 26.6%
form03b::n651specify	form03b::n651specify	HCT=26.9,Hgb=8.5	HCT 26.9%, Hgb 8.5
form03b::n651specify	form03b::n651specify	Hct=28.2%	HCT 28.2%
form03b::n651specify	form03b::n651specify	Hct=28.5, Hgb=9.3mg/dl,WBC=15600,Nev=19%,Hyp=74%	HCT 28.5%, Hgb 9.3mg/dl,WBC 15600,Nev 19%,Hyp 74%
form03b::n651specify	form03b::n651specify	hct=28.9%, hgb=11.1	HCT 28.9%, hgb 11.1
form03b::n651specify	form03b::n651specify	HCT=30.4 RBC 2.97x 10000000	HCT 30.4% RBC 2.97x 10000000
form03b::n651specify	form03b::n651specify	HCT=31.2	HCT 31.2%
form03b::n651specify	form03b::n651specify	Hct=32.7g/dl	HCT 32.7g/dl
form03b::n651specify	form03b::n651specify	hct=33.4,plt=52*10^3	HCT 33.4%, PLT 52*10^3
form03b::n651specify	form03b::n651specify	HCT=33.7.anemiac	HCT 33.7% anemiac
form03b::n651specify	form03b::n651specify	HCT=335 (anemia)	HCT 335 (anemia)
form03b::n651specify	form03b::n651specify	HCT=34.9%	HCT 34.9%
form03b::n651specify	form03b::n651specify	HCT=34% PLT 37000ml	HCT 34% PLT 37000ml
form03b::n651specify	form03b::n651specify	HCT=35.2 HGB= 11.3 RCT=166*10	HCT 35.2% HGB 11.3 RCT 166*10
form03b::n651specify	form03b::n651specify	Hct=37.7%	HCT 37.7%
form03b::n651specify	form03b::n651specify	HCT=38.8,Hgb=13.2	HCT 38.8%, Hgb 13.2
form03b::n651specify	form03b::n651specify	hcT=42.1 hgb=14.92	HCT 42.1% hgb 14.92
form03b::n651specify	form03b::n651specify	Hct=42.6,hg=14.5	HCT 42.6%, hg 14.5
form03b::n651specify	form03b::n651specify	Hct=43.0,Hg=15.1	HCT 43.0%, Hg 15.1
form03b::n651specify	form03b::n651specify	hct=44.6%	HCT 44.6%
form03b::n651specify	form03b::n651specify	HCT=44.7	HCT 44.7%
form03b::n651specify	form03b::n651specify	HCT=65,HGB=21%,WBC=11*10^3,New-72	HCT 65,HGB 21%,WBC 11*10^3,New 72
form03b::n651specify	form03b::n651specify	HCT=65.4%	HCT 65.4%
form03b::n651specify	form03b::n651specify	HCT=65.6 HGB=21.2	HCT 65.6% HGB 21.2
form03b::n651specify	form03b::n651specify	HCT=652,HGB=22.1	HCT 652,HGB 22.1
form03b::n651specify	form03b::n651specify	Hct=66.1%	HCT 66.1%
form03b::n651specify	form03b::n651specify	Hct=66.2	HCT 66.2%
form03b::n651specify	form03b::n651specify	HCT=66.3	HCT 66.3%
form03b::n651specify	form03b::n651specify	Hct=66.6 polyeytemr	HCT 66.6% polyeytemr
form03b::n651specify	form03b::n651specify	hct=67	HCT 67%
form03b::n651specify	form03b::n651specify	HCT=67 %	HCT 67%
form03b::n651specify	form03b::n651specify	Hct=67, hg=63.7	HCT 67%, hg 63.7
form03b::n651specify	form03b::n651specify	Hct=67.3,WBC=20*10^3	HCT 67.3%, WBC 20*10^3
form03b::n651specify	form03b::n651specify	HCT=67.5,HGB=22.7	HCT 67.5,HGB 22.7
form03b::n651specify	form03b::n651specify	HCT=67.6 hgb= 23.7	HCT 67.6% hgb 23.7
form03b::n651specify	form03b::n651specify	HCT=68.2 %	HCT 68.2%
form03b::n651specify	form03b::n651specify	HCT=69.2	HCT 69.2%
form03b::n651specify	form03b::n651specify	HCT=69.6 Hgb=23.3 Pet=144 WBC=7700 Lyup=38 New52.7%	HCT 69.6 Hgb 23.3 Pet 144 WBC 7700 Lyup 38 New52.7%
form03b::n651specify	form03b::n651specify	HCT=69.7	HCT 69.7%
form03b::n651specify	form03b::n651specify	HCT=69%	HCT 69%
form03b::n651specify	form03b::n651specify	Hct=71.5 polycy theing	HCT 71.5%, polycythemia
form03b::n651specify	form03b::n651specify	Hct=72.3, WBC=76.7	HCT 72.3%, WBC 76.7
form03b::n651specify	form03b::n651specify	HCT=72.4,PLT=9000	HCT 72.4%, PLT 9000
form03b::n651specify	form03b::n651specify	Hct=72%,ANS=1648(low)	HCT 72%,ANS 1648(low)
form03b::n651specify	form03b::n651specify	Hct=73.5	HCT 73.5%
form03b::n651specify	form03b::n651specify	HCT33.5	HCT 33.5%
form03b::n651specify	form03b::n651specify	HCY 67.2%, platlet 61000	HCY 67.2%, PLT 61000
form03b::n651specify	form03b::n651specify	Heb=12.7 anemia	Heb 12.7 anemia
form03b::n651specify	form03b::n651specify	henkocytosis 41,000 Neutrophil predonimia	henkocytosis 41,000 Neutrophil predonimia
form03b::n651specify	form03b::n651specify	Het-65.2 polycturic	Het 65.2 polycturic
form03b::n651specify	form03b::n651specify	Het=29.1% Plt=37*10^3	Het 29.1% PLT 37*10^3
form03b::n651specify	form03b::n651specify	Het=37.7 hp=13.6 ph=79*10	Het 37.7 hp 13.6 ph 79*10
form03b::n651specify	form03b::n651specify	het=40.7%	het 40.7%
form03b::n651specify	form03b::n651specify	HET=43.0 HP=14.9	HET 43.0 HP 14.9
form03b::n651specify	form03b::n651specify	Het=73.7 hg=23.6	Het 73.7 hg 23.6
form03b::n651specify	form03b::n651specify	heuckopemia (6700), Neutropenic (2700), polycythemia (69%)	heuckopemia (6700), Neutropenic (2700), polycythemia (69%)
form03b::n651specify	form03b::n651specify	heukopemia	heukopemia
form03b::n651specify	form03b::n651specify	heukopemia (7600)	heukopemia (7600)
form03b::n651specify	form03b::n651specify	hevkopemia(4500), Neutropemia(1500)	hevkopemia(4500), Neutropemia(1500)
form03b::n651specify	form03b::n651specify	HGB & HCT increase	HGB & HCT increased
form03b::n651specify	form03b::n651specify	Hgb and HCT decrease	Hgb and HCT decrease
form03b::n651specify	form03b::n651specify	Hgb increases	Hgb increased
form03b::n651specify	form03b::n651specify	HGB- decrease 8.8	HGB decreased 8.8
form03b::n651specify	form03b::n651specify	Hgb-10.9,Plt-91	Hgb 10.9,PLT 91
form03b::n651specify	form03b::n651specify	Hgb-19.4, HCT-58.8	Hgb 19.4, HCT 58.8%
form03b::n651specify	form03b::n651specify	Hgb-19.8,Hct-50.3	Hgb 19.8,HCT 50.3%
form03b::n651specify	form03b::n651specify	HGB-21.8	HGB 21.8
form03b::n651specify	form03b::n651specify	HGB-8, HCT-23	HGB 8, HCT 23
form03b::n651specify	form03b::n651specify	HGB-9.0, HCT-25, WBC3.10	HGB 9.0, HCT 25, WBC3.10
form03b::n651specify	form03b::n651specify	Hgb&Hct Plt hgb-10.7mg/ch hct-29.4 plt 47	Hgb&HCT PLT hgb 10.7mg/ch HCT 29.4 PLT 47
form03b::n651specify	form03b::n651specify	Hgb=10	Hgb 10
form03b::n651specify	form03b::n651specify	Hgb=23.3(high)	Hgb 23.3(high)
form03b::n651specify	form03b::n651specify	HGB=4.6,HCT-15.6	HGB 4.6,HCT 15.6
form03b::n651specify	form03b::n651specify	High ,WBC-30.2,LOWPLT-52	High ,WBC 30.2,LOWPLT 52
form03b::n651specify	form03b::n651specify	HMG & HCT decrease	HMG & HCT decrease
form03b::n651specify	form03b::n651specify	Hmg-12.9	Hmg 12.9
form03b::n651specify	form03b::n651specify	Hmg-19,HCT-51.5	Hmg 19,HCT 51.5
form03b::n651specify	form03b::n651specify	HMG-19.7 HCT-52	HMG 19.7 HCT 52%
form03b::n651specify	form03b::n651specify	Hmg-20, PLT-110	Hmg 20, PLT 110
form03b::n651specify	form03b::n651specify	HMG-20.4(increase)HCT-49.6,PLT-76 decrease	HMG 20.4(increase)HCT 49.6,PLT 76 decrease
form03b::n651specify	form03b::n651specify	Hmg-21.1,Hct58.9	Hmg 21.1,HCT58.9%
form03b::n651specify	form03b::n651specify	Hmg-21.5, Hct-57.8	Hmg 21.5, HCT 57.8
form03b::n651specify	form03b::n651specify	Hu=34.6	Hu 34.6
form03b::n651specify	form03b::n651specify	Hyrphopenlo=17%, threpocylopeno=31*10^3	Hyrphopenlo 17%, threpocylopeno 31*10^3
form03b::n651specify	form03b::n651specify	Increase HCT WBC	HCT WBC increased
form03b::n651specify	form03b::n651specify	Increase Hmgdltct	Increase Hmgdltct
form03b::n651specify	form03b::n651specify	increase WBC	WBC increased
form03b::n651specify	form03b::n651specify	Increased WBC Count	Increased WBC
form03b::n651specify	form03b::n651specify	lantopemie (WBC 3000)	lantopemie (WBC 3000)
form03b::n651specify	form03b::n651specify	Leakepenia with nutropene	Leakepenia with nutropene
form03b::n651specify	form03b::n651specify	leckeen tosis	leckeen tosis
form03b::n651specify	form03b::n651specify	lenkocytosid (xlantuphnl , WBC - 20600 / hr (50%	lenkocytosid (xlantuphnl , WBC 20600 / hr (50%
form03b::n651specify	form03b::n651specify	Leokoey to SB WBC 35*10^3	Leokoey to SB WBC 35*10^3
form03b::n651specify	form03b::n651specify	leucocytasis(33,8000)	leucocytasis(33,8000)
form03b::n651specify	form03b::n651specify	Leucocytosis(high white blood cell count 84/6)	
form03b::n651specify	form03b::n651specify	leugocytosil = 56800	leugocytosil 56800
form03b::n651specify	form03b::n651specify	leukocybsis, Thrombcy topeine	leukocybsis, Thrombcy topeine
form03b::n651specify	form03b::n651specify	Leukocytopsis	Leukocytosis
form03b::n651specify	form03b::n651specify	leukocytosis	Leukocytosis
form03b::n651specify	form03b::n651specify	Leukopema (6100)	Leukopema (6100)
form03b::n651specify	form03b::n651specify	Leukopemia (4200), Neutropemia (2100)	Leukopemia (4200), Neutropemia (2100)
form03b::n651specify	form03b::n651specify	Leukopenia	Leukopenia
form03b::n651specify	form03b::n651specify	Leukopenia=3130,trombocytopenia=56000	Leukopenia 3130,trombocytopenia 56000
form03b::n651specify	form03b::n651specify	Leukoprine	Leukoprine
form03b::n651specify	form03b::n651specify	leurocytopsis with neutrophol 82.4%	leurocytopsis with neutrophol 82.4%
form03b::n651specify	form03b::n651specify	Low ANC	Low ANC
form03b::n651specify	form03b::n651specify	low ANC count	Low ANC
form03b::n651specify	form03b::n651specify	low mgb/hct	low mgb/HCT
form03b::n651specify	form03b::n651specify	low plafletes	Low PLT
form03b::n651specify	form03b::n651specify	Low Plate let	Low PLT
form03b::n651specify	form03b::n651specify	Low Platelet	Low PLT
form03b::n651specify	form03b::n651specify	low platelole	Low PLT
form03b::n651specify	form03b::n651specify	low platetate 17*10^3	low PLT 17*10^3
form03b::n651specify	form03b::n651specify	Low Platlet	Low PLT
form03b::n651specify	form03b::n651specify	Low Platlet count	Low PLT
form03b::n651specify	form03b::n651specify	Low PLT	Low PLT
form03b::n651specify	form03b::n651specify	LOW WBC (7600)	Low WBC (7600)
form03b::n651specify	form03b::n651specify	Low WBC 6500 HCT 29%	Low WBC 6500 HCT 29%
form03b::n651specify	form03b::n651specify	Lymphopere 16% tmombcybope56*10^3	Lymphopere 16% tmombcybope56*10^3
form03b::n651specify	form03b::n651specify	MBC-48.7*10^3	MBC 48.7*10^3
form03b::n651specify	form03b::n651specify	MBC-5600	MBC 5600
form03b::n651specify	form03b::n651specify	milo thno boly topa(127x10)	milo thno boly topa(127x10)
form03b::n651specify	form03b::n651specify	MLd thonyocy to pein	MLd thonyocy to pein
form03b::n651specify	form03b::n651specify	NBC-52.7x10^3 HCT 35.41	NBC 52.7x10^3 HCT 35.41
form03b::n651specify	form03b::n651specify	neotropnea thrombcy topnia	Neutropenia, thrombocytopenia
form03b::n651specify	form03b::n651specify	net 44.9%	net 44.9%
form03b::n651specify	form03b::n651specify	Neutophmi 52.7%, WBC 11600 /hr	Neutophmi 52.7%, WBC 11600 /hr
form03b::n651specify	form03b::n651specify	Neutropemia	Neutropemia
form03b::n651specify	form03b::n651specify	Neutropenia	Neutropenia
form03b::n651specify	form03b::n651specify	neutrophil	
form03b::n651specify	form03b::n651specify	Neutrophil predominant + thrombocy to peure	Neutrophil predominant + thrombocy to peure
form03b::n651specify	form03b::n651specify	Neutrophil predonimia 64 %	Neutrophil predonimia 64%
form03b::n651specify	form03b::n651specify	Neutrophil(24hr) 3700	Neutrophil(24hr) 3700
form03b::n651specify	form03b::n651specify	Neutrophila	Neutrophila
form03b::n651specify	form03b::n651specify	Neutrophilia	Neutrophilia
form03b::n651specify	form03b::n651specify	Neutrophilia , Polycythmia	Neutrophilia , Polycythmia
form03b::n651specify	form03b::n651specify	Neutrophilia (11,000)	Neutrophilia (11,000)
form03b::n651specify	form03b::n651specify	Neutrophilia, Thrombocytopimia	Neutrophilia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Neutrophilnd, Thronbocytopemia	Neutropenia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Neutroprnia Thronbocytopemia	Neutropenia, thrombocytopenia
form03b::n651specify	form03b::n651specify	Normal	Normal
form03b::n651specify	form03b::n651specify	oremia	oremia
form03b::n651specify	form03b::n651specify	Panchtrpenic	Panchtrpenic
form03b::n651specify	form03b::n651specify	pancytopemia	pancytopemia
form03b::n651specify	form03b::n651specify	Pending	Pending
form03b::n651specify	form03b::n651specify	Pet-47,00 HCT=39.1HGB=13.4	Pet 47,00 HCT 39.1HGB 13.4
form03b::n651specify	form03b::n651specify	pet=81*10^3	pet 81*10^3
form03b::n651specify	form03b::n651specify	Peuolg	Peuolg
form03b::n651specify	form03b::n651specify	PGT=29*10^3,WBC=27.3*10^3,HCT=32%,HGB=10.6	PGT 29*10^3,WBC 27.3*10^3,HCT 32%,HGB 10.6
form03b::n651specify	form03b::n651specify	PH 21000	PH 21000
form03b::n651specify	form03b::n651specify	PH 82*10^3	PH 82*10^3
form03b::n651specify	form03b::n651specify	PH 94000 Nentrophil 58%, (WBC= 7000)	PH 94000 Nentrophil 58%, (WBC 7000)
form03b::n651specify	form03b::n651specify	PH=23x10/3	PH 23x10/3
form03b::n651specify	form03b::n651specify	PH=41x13+3	PH 41x13+3
form03b::n651specify	form03b::n651specify	Pl-36000	Pl 36000
form03b::n651specify	form03b::n651specify	platelet = 79000/hr	PLT 79000/hr
form03b::n651specify	form03b::n651specify	Platelet 2000	PLT 2000
form03b::n651specify	form03b::n651specify	Platelet 37000	PLT 37000
form03b::n651specify	form03b::n651specify	platelet 39000	PLT 39000
form03b::n651specify	form03b::n651specify	platelet 48000	PLT 48000
form03b::n651specify	form03b::n651specify	platelet 51000, WBC 13800 (59.6 %, Nat	PLT 51000, WBC 13800 (59.6%, Nat
