variable,dataFile,label,IRI,displayOrder,definition,category,parentLabel,parentIRI,termType,codebookDescription,codebookValues
,,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,7,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
vax_and_titer_wdates::age_measles,vax_and_titer_wdates,Age at suspected measles infection (days),http://purl.obolibrary.org/obo/EUPATH_0011204,9,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,variable,age at (suspected) measles infection (captured from text fields on REF).units = days.REF,>10 unique values
vax_and_titer_wdates::age_pertussis,vax_and_titer_wdates,Age at suspected pertussis infection (days),http://purl.obolibrary.org/obo/EUPATH_0011205,10,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,variable,age at (suspected) pertussis infection (captured from text fields on REF).units = days.REF,"122, 525, 60, 69, NA"
,,Breastfeeding,http://purl.obolibrary.org/obo/EUPATH_0011730,13,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,Diet diversity,http://purl.obolibrary.org/obo/EUPATH_0011732,14,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,ALRI episodes,http://purl.obolibrary.org/obo/EUPATH_0011756,6,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,10,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,9,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,12,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
,,24hr food recall,http://www.enpadasi.eu/ontology/release/v1/ons/ONS_0000106,15,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,category,NA,NA
micro_x::diar,micro_x,Study-defined diarrhea,http://purl.obolibrary.org/obo/EUPATH_0000665,1,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Binary variable that indicates whether or not child had study-defined diarrhea. From illness dataset. Days when the study definition is met, but there was an LM test that day or the previous day, were set to 0 (not 'diarrhea' since LM has been found to cause loose stools).. Source=illnessfull.csv. diar=1 if numls>2 or if [safblood==1 and the child had 1 to 2 loose stools]..",", 0, 1"
illnessfull::diar,illnessfull,Study-defined diarrhea,http://purl.obolibrary.org/obo/EUPATH_0000665,1,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Binary variable that indicates whether or not child had study-defined diarrhea. Diar=1 if numls>2 or if [safblood==1 and the child had 1 to 2 loose stools]. Days when the study definition is met, but there was an LM test that day or the previous day, were",", 0, 1"
micro_x::dur,micro_x,Diarrheal episode duration (days),http://purl.obolibrary.org/obo/EUPATH_0010238,5,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,Duration of episode. From illness dataset. Source=illnessfull.csv. ##,
illnessfull::dur,illnessfull,Diarrheal episode duration (days),http://purl.obolibrary.org/obo/EUPATH_0010238,5,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Duration of episode, calculated. General diarrhea data (removes LM induced diarrhea).",
illnessfull::depi3,illnessfull,Diarrheal episode status,http://purl.obolibrary.org/obo/EUPATH_0010471,6,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"2 at beginning of episode, 1 within episode. Diarrhea episodes are separated by two diarrhea-free days. In this dataset, days when data are missing are thought to be diarrhea-free (so if there are two missing days before a day with diarrhea, the episode s",0 to 2
micro_x::dnum3,micro_x,Diarrheal episode #,http://purl.obolibrary.org/obo/EUPATH_0010472,3,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,All days in episode coded with number of episode. From illness dataset. Source=CAF. ##,
illnessfull::dnum3,illnessfull,Diarrheal episode #,http://purl.obolibrary.org/obo/EUPATH_0010472,3,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"All days in episode coded with number of episode, calculated. General diarrhea data (removes LM induced diarrhea).",
illnessfull::dint3,illnessfull,1st day of diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010473,7,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"1 if first day of episode, 0 if not, calculated. General diarrhea data (removes LM induced diarrhea).",0 to 1
mpo_neo_ala::dprev3,mpo_neo_ala,Day in diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010474,2,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,Was study-defined diarrhea reported on this day?. 1 for all days in episode (all days with ''diarrhea''). From illness dataset. Source=illnessfull.csv. 1=yes;0=no,
illnessfull::dprev3,illnessfull,Day in diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010474,2,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"1 for all days in episode (all days with ""diarrhea""), calculated. General diarrhea data (removes LM induced diarrhea).",
micro_x::dayep,micro_x,Cumulative days in this diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010475,4,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,Day of diarrhea episode. From illness dataset. Source=illnessfull.csv. ##,>10 unique values
illnessfull::dayep,illnessfull,Cumulative days in this diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010475,4,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Day of diarrheal episode, calculated. General diarrhea data (removes LM induced diarrhea).",>10 unique values
illnessfull::csumep,illnessfull,Cumulative diarrheal episode count,http://purl.obolibrary.org/obo/EUPATH_0010478,8,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Cumulative sum of diarrhea episodes (dint3) since beginning of follow up, calculated. General diarrhea data (removes LM induced diarrhea).",0 to 45
illnessfull::csumdiar,illnessfull,Cumulative days within diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010480,9,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Cumulative sum of diarrhea days (dprev3) since beginning of follow up, calculated. General diarrhea data (removes LM induced diarrhea).",0 to 494
mpo_neo_ala::lastdiar,mpo_neo_ala,Days since last diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010482,11,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,Days since last diarrhea episode ended (missing indicates time from birth until first episode). From illness dataset. Source=illnessfull.csv. ###,>10 unique values
micro_x::lastdiar,micro_x,Days since last diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010482,11,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,Days since last diarrhea episode ended (missing indicates time from birth until first episode). From illness dataset. Source=illnessfull.csv. ###,>10 unique values
illnessfull::lastdiar,illnessfull,Days since last diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010482,11,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Days since last diarrhea episode ended (missing indicates time from birth until first episode), calculated. General diarrhea data (removes LM induced diarrhea).",>10 unique values
illnessfull::untildiar,illnessfull,Days between diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010483,10,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Days until next diarrhea starts (missing indicates time from last episode to end of follow up (or from birth if no diarrhea)), calculated. General diarrhea data (removes LM induced diarrhea).",>10 unique values
illnessfull::safsamp,illnessfull,Diarrheal sample collected at visit,http://purl.obolibrary.org/obo/EUPATH_0010537,12,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,variable,"Sample collected, 1=yes, 0=no, original SAF data",", 0, 1"
,,Diarrheal episode severity,http://purl.obolibrary.org/obo/EUPATH_0011750,9,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,category,NA,NA
micro_x::flag_ncf_filed,micro_x,Incomplete follow-up,http://purl.obolibrary.org/obo/EUPATH_0010556,2,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,variable,Was a NCF completed for this child?. Used to flag children with incomplete follow-up. Source=Calculated. 1=yes;0=no,0 to 1
micro_x::flag_nrvtesting,micro_x,Norovirus cohort participant,http://purl.obolibrary.org/obo/EUPATH_0010562,1,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,variable,Was this PID randomly chosen to have monthly stools tested for norovirus? Used to identify PIDs in Norovirus cohort.. 10% of all children followed for at least 6 months at each site were selected to have monthly stools tested for norovirus. Source=Calculated. 1=yes;0=no,0 to 1
mpo_neo_ala::srfstmucus,mpo_neo_ala,Mucus in stool,http://purl.obolibrary.org/obo/EUPATH_0000711,3,,Sample,Stool characteristics,http://purl.obolibrary.org/obo/EUPATH_0010038,variable,Did stool specimen have mucus?. Source=SRF. yes =01; no =00,"0, 1, NA"
micro_x::srfconsist,micro_x,Stool consistency,http://purl.obolibrary.org/obo/EUPATH_0010217,1,,Sample,Stool characteristics,http://purl.obolibrary.org/obo/EUPATH_0010038,variable,Consistency of stool reported on SRF. From initial stool sample (SRF form). Source=SRF. watery =01; liquid =02; soft =03; formed =04,
micro_x::srfstblood,micro_x,Blood in stool,http://purl.obolibrary.org/obo/EUPATH_0015217,2,,Sample,Stool characteristics,http://purl.obolibrary.org/obo/EUPATH_0010038,variable,"Was stool specimen bloody as reported on SRF. From initial stool sample (SRF form). For most analyses, use maternal-report of blood in stool.. Source=SRF. 1=yes;0=no",
micro_x::flag_ltf_14,micro_x,Lost to follow-up within 14 days of stool collection,http://purl.obolibrary.org/obo/EUPATH_0010552,6,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,"Is length of time with surveillance data before or after stool collection less than 14 days? . Is there sufficient follow-up to create alternate stool type definitions? , e.g. stooltype14. Source=Calculated. 1=yes;0=no",0 to 1
micro_x::flag_ltf_28,micro_x,Lost to follow-up within 28 days of stool collection,http://purl.obolibrary.org/obo/EUPATH_0010553,7,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,"Is length of time with surveilllance data before or after stool collection less than 28 days? . Is there sufficient follow-up to create alternate stool type definitions?, e.g. stooltype28. Source=Calculated. 1=yes;0=no",0 to 1
micro_x::flag_ltf_7,micro_x,Lost to follow-up within 7 days of stool collection,http://purl.obolibrary.org/obo/EUPATH_0010554,5,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,"Is length of time with surveillance before or after stool collection less than 7 days? . Is there sufficient follow-up to create alternate stool type definitions?, e.g. stooltype7. Source=Calculated. 1=yes;0=no",0 to 1
micro_x::flag_safend,micro_x,Stool collected 1 day after surveillance ended,http://purl.obolibrary.org/obo/EUPATH_0010559,3,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,Was the stool sample collected one day after surveillance ended?. Please see dataset notes for more discussion. Stool sample collected one day after information from SAF ended.. Source=Calculated. 1=yes;0=no,0 to 1
micro_x::flag_timezerost,micro_x,Time zero stool sample,http://purl.obolibrary.org/obo/EUPATH_0010561,2,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,.,", 0, 1"
micro_x::stoolwindow,micro_x,Stool sample collected in target window,http://purl.obolibrary.org/obo/EUPATH_0010873,1,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,Was the monthly stool collected within desired window of collection (-2/+7 days from DOB anniversary). . Source=Calculated. 1=yes;0=no,", 0, 1"
mpo_neo_ala::lmday,mpo_neo_ala,Lactulose-to-mannitol excretion test 1 day before stool collection,http://purl.obolibrary.org/obo/EUPATH_0011363,4,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,indicator if lactulose:mannitol test given the day of or the day before the date of stool collection. Source=UCF. 1= lm test done day of or day before; na=no proximate lm test,"1, NA"
mpo_neo_ala::srfrecolreq,mpo_neo_ala,Recollection requested,http://purl.obolibrary.org/obo/EUPATH_0011550,4,,Sample,Stool sample collection process,http://purl.obolibrary.org/obo/EUPATH_0010039,variable,"Was recollection requested?. Source=SRF. yes, monthly specimen <4g = 01, yes, diarrheal specimen <2g = 02, no =00","0, 1, 2, NA"
rearrangedVax::bcg_dosenum,rearrangedVax,Bacille Calmette-Guerin (BCG) vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011933,1,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::cho_dosenum,rearrangedVax,Cholera vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011934,2,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::deworm_dosenum,rearrangedVax,Deworming treatment #,http://purl.obolibrary.org/obo/EUPATH_0011935,23,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::dpt_dosenum,rearrangedVax,"Diphtheria, pertussis, and tetanus (DPT) vaccine dose #",http://purl.obolibrary.org/obo/EUPATH_0011936,3,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::hib_dosenum,rearrangedVax,Haemophilus influenzae type B vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011937,4,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::hepb_dosenum,rearrangedVax,Hepatitis B vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011938,5,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::ipv_dosenum,rearrangedVax,Inactivated poliovirus (IPV) vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011939,6,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::flu_dosenum,rearrangedVax,Influenza vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011940,7,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::je_dosenum,rearrangedVax,Japanese encephalitis vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011941,8,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::mea_dosenum,rearrangedVax,Measles vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011942,9,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::mmr_dosenum,rearrangedVax,"Measles, mumps, and rubella (MMR) vaccine dose #",http://purl.obolibrary.org/obo/EUPATH_0011943,10,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::men_dosenum,rearrangedVax,Meningitis vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011944,11,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::mum_dosenum,rearrangedVax,Mumps vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011945,12,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::opv_dosenum,rearrangedVax,Oral poliovirus (OPV) vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011946,13,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::pcv_dosenum,rearrangedVax,Pneumococcal conjugate (PCV) vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011947,14,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::rab_dosenum,rearrangedVax,Rabies vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011948,15,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::rota_dosenum,rearrangedVax,Rotavirus vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011949,16,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::rub_dosenum,rearrangedVax,Rubella vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011950,17,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::teta_dosenum,rearrangedVax,Tetanus vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011951,18,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::typ_dosenum,rearrangedVax,Typhoid vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011953,19,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::cpox_dosenum,rearrangedVax,Varicella vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011954,20,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::vita_dosenum,rearrangedVax,Vitamin A supplementation #,http://purl.obolibrary.org/obo/EUPATH_0011955,22,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
rearrangedVax::yf_dosenum,rearrangedVax,Yellow fever vaccine dose #,http://purl.obolibrary.org/obo/EUPATH_0011956,21,,Observation,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,"variable, derived",,
zscores_all::gender,zscores_all,Sex,http://purl.obolibrary.org/obo/PATO_0000047,2,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable,"M=1, F=2. CAF",1 to 2
zscores_all::dob,zscores_all,Birth date,http://www.ebi.ac.uk/efo/EFO_0004950,1,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,variable,Date of birth. CAF,2009-10-19 to 2012-02-28
micro_x::pathscore,micro_x,Mean pathogen species count in stool samples,http://purl.obolibrary.org/obo/EUPATH_0010891,1,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens. Information from the first monthly stool collected for each month and the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::pathscore_d,micro_x,Mean pathogen species count in 1st diarrheal stools,http://purl.obolibrary.org/obo/EUPATH_0010892,5,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens in diarrhea samples. Information from the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::pathscore_d_nonrv,micro_x,Mean pathogen species count in 1st diarrheal stools (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010893,6,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens in diarrhea samples excluding information from NRV. Information from the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. Information from NRV testing not included . Source=Calculated. continuous numeric,>10 unique values
micro_x::pathscore_m,micro_x,Mean pathogen species count in 1st monthly stools,http://purl.obolibrary.org/obo/EUPATH_0010894,3,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens in monthly samples. Information from the first monthly stool collected for each month. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::pathscore_m_nonrv,micro_x,Mean pathogen species count in 1st monthly stools (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010895,4,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens in monthly samples without nrv. Information from the first monthly stool collected for each month. Complete testing required of stool samples. No consideration given to nrv testing(nrv excluded).. Source=Calculated. continuous numeric,>10 unique values
micro_x::pathscore_nonrv,micro_x,Mean pathogen species count in stool samples (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010896,2,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,Average number of pathogens to date excluding information from NRV. Information from the first monthly stool collected for each month and the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpath_u_cum,micro_x,Cumulative sum unique pathogen species in stool samples,http://purl.obolibrary.org/obo/EUPATH_0010906,13,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,number of UNIQUE pathogens identified in a specific child. Includes first monthly stools and all protocol-compliant diarrhea stool samples. Therefore includes information from additional diarrhea samples collected after 14 study-defined diarrhea days.. Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpath_u_cum_d,micro_x,Cumulative sum unique pathogen species in all protocol compliant diarrheal stools,http://purl.obolibrary.org/obo/EUPATH_0010907,17,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,number of UNIQUE pathogens identified in a specific child using information from diarrhea stools only. Information from all protocol-compliant diarrhea stools. Therefore includes information from additional diarrhea samples collected after 14 study-defined diarrhea days. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpath_u_cum_m,micro_x,Cumulative sum unique pathogen species in 1st monthly stools,http://purl.obolibrary.org/obo/EUPATH_0010908,15,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,number of UNIQUE pathogens identified in a specific child using information from monthly stools only. Information from the first monthly stool collected for each month. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpath_u_nonrv_cum,micro_x,Cumulative sum unique pathogen species in stool samples (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010912,14,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,number of UNIQUE pathogens identified in a specific child excluding information from NRV. Includes first monthly stools and all protocol-compliant diarrhea stool samples. Therefore includes information from additional diarrhea samples collected after 14 study-defined diarrhea days.. Source=. continuous numeric,>10 unique values
micro_x::sumpath_u_nonrv_d,micro_x,Cumulative sum unique pathogen species in 1st monthly stools (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010914,16,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,number of UNIQUE pathogens identified in this diarrhea stool sample excluding information from NRV. Requires complete testing of stool sample. Source=Calculated. continuous numeric,", 0"
micro_x::sumpathg_cum,micro_x,Cumulative sum pathogen species in stool samples,http://purl.obolibrary.org/obo/EUPATH_0010916,7,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,the number of pathogens cumulatively for a specific child using only the first monthly stool collected and the first diarrhea stool collected. Information from the first monthly stool collected for each month and the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpathg_cum_d,micro_x,Cumulative sum pathogen species in 1st diarrheal stools,http://purl.obolibrary.org/obo/EUPATH_0010917,11,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,the number of pathogens  identified in a specific child looking only at diarrhea stool samples . Uses all first diarrhea stool samples collected in a specific episode. Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpathg_cum_m,micro_x,Cumulative sum pathogen species in 1st monthly stools,http://purl.obolibrary.org/obo/EUPATH_0010918,9,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,the number of pathogens  identified in a specific child looking only at monthly stool samples . Information from the first monthly stool collected for each month. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpathg_nonrv_cum,micro_x,Cumulative sum pathogen species in stool samples (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010920,8,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,"the number of pathogens cumulatively for a specific child using only the first monthly stool collected and the first diarrhea stool collected, excluding norovirus information . Information from the first monthly stool collected for each month and the first diarrhea stool collected for each diarrhea episode. Complete testing required of stool samples. . Source=Calculated. continuous numeric",>10 unique values
micro_x::sumpathg_nonrv_cum_d,micro_x,Cumulative sum pathogen species in 1st diarrheal stools (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010921,12,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,the number of pathogens  identified in a specific child looking only at diarrhea stool samples and excluding NRV results. Uses all first diarrhea stool samples collected in a specific episode. Source=Calculated. continuous numeric,>10 unique values
micro_x::sumpathg_nonrv_cum_m,micro_x,Cumulative sum pathogen species in 1st monthly stools (ex NRV),http://purl.obolibrary.org/obo/EUPATH_0010922,10,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,variable,the number of pathogens  identified in a specific child looking only at monthly stool samples excluding NRV results. Information from the first monthly stool collected for each month. Complete testing required of stool samples. . Source=Calculated. continuous numeric,>10 unique values
,,Aggregate data for bacteria detection in stool,http://purl.obolibrary.org/obo/EUPATH_0011760,19,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,category,NA,NA
,,Aggregate data for eukaryote detection in stool,http://purl.obolibrary.org/obo/EUPATH_0011810,21,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,category,NA,NA
,,Aggregate data for virus detection in stool,http://purl.obolibrary.org/obo/EUPATH_0011832,20,,Sample,Aggregate data for organism detection in stool,http://purl.obolibrary.org/obo/EUPATH_0010983,category,NA,NA
,,Raw bacteria data for stool,http://purl.obolibrary.org/obo/EUPATH_0011843,1,,Sample,Raw test result for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,category,NA,NA
,,Raw virus data for stool,http://purl.obolibrary.org/obo/EUPATH_0011844,2,,Sample,Raw test result for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,category,NA,NA
,,Raw eukaryota data for stool,http://purl.obolibrary.org/obo/EUPATH_0011845,3,,Sample,Raw test result for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,category,NA,NA
bf2::minamilka,bf2,Age 1st animal milk or formula given (days),http://purl.obolibrary.org/obo/EUPATH_0011030,1,,Participant,Weaning summary,http://purl.obolibrary.org/obo/EUPATH_0011191,variable,Age at which first milk is given. New predominant and partial variables considering animal milk to be ingested with tea in Pakistan (even if animal milk is not indicated on the SAF). Source=calculated.,>10 unique values
bf2::minanobf,bf2,Age at complete weaning (days),http://purl.obolibrary.org/obo/EUPATH_0011031,5,,Participant,Weaning summary,http://purl.obolibrary.org/obo/EUPATH_0011191,variable,Age at which breastfeeding ceases (complete weaning: if observed in data set at all). These calculations change feeding definitions starting with the first occasion.  They do not allow for back and forth.. Source=calculated.,>10 unique values
bf2::minaparta,bf2,Age 1st animal milk or solids given (days),http://purl.obolibrary.org/obo/EUPATH_0011033,2,,Participant,Weaning summary,http://purl.obolibrary.org/obo/EUPATH_0011191,variable,Age at which first milk OR solids is given. New predominant and partial variables considering animal milk to be ingested with tea in Pakistan (even if animal milk is not indicated on the SAF). Source=calculated.,>10 unique values
