"colOrder","variable","dataFile","label","IRI","definition","displayOrder","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
108,"mixed.present_pfmdr1 184f","wwarn_act_wide","pfmdr1 184F count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 184F alleles",29,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
117,"mixed.present_pfmdr1 184y/f","wwarn_act_wide","pfmdr1 184Y/F count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 184Y/F alleles",30,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
115,"mixed.present_pfmdr1 86n/y","wwarn_act_wide","pfmdr1 86N/Y count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 86N/Y alleles",31,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
107,"mixed.present_pfmdr1 86y","wwarn_act_wide","pfmdr1 86Y count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 86Y alleles",32,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
120,"mixed.present_pfmdr1 d1246","wwarn_act_wide","pfmdr1 D1246 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 D1246 alleles",33,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
119,"mixed.present_pfmdr1 n1042","wwarn_act_wide","pfmdr1 N1042 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 N1042 alleles",34,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
114,"mixed.present_pfmdr1 n86","wwarn_act_wide","pfmdr1 N86 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 N86 alleles",35,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
149,"mixed.present_pfmdr1 nfcdd","wwarn_act_wide","pfmdr1 NFCDD count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 NFCDD alleles",36,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
150,"mixed.present_pfmdr1 nfcnd","wwarn_act_wide","pfmdr1 NFCND count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 NFCND alleles",37,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
146,"mixed.present_pfmdr1 nfd","wwarn_act_wide","pfmdr1 NFD count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 NFD alleles",38,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
112,"mixed.present_pfmdr1 nfsnd","wwarn_act_wide","pfmdr1 NFSND count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 NFSND alleles",39,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
118,"mixed.present_pfmdr1 s1034","wwarn_act_wide","pfmdr1 S1034 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 S1034 alleles",40,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
116,"mixed.present_pfmdr1 y184","wwarn_act_wide","pfmdr1 Y184 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 Y184 alleles",41,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
128,"mixed.present_pfmdr1 yysny","wwarn_act_wide","pfmdr1 YYSNY count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 YYSNY alleles",42,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
145,"mixed.present_pfmdr1 yyy","wwarn_act_wide","pfmdr1 YYY count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 YYY alleles",43,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
131,"mixed.present_pfpm2 copy number=1","wwarn_act_wide","pfpm2 copy number =1 count, including mixed infections",,"number of samples with the pure and/or mixed pfpm2 copy number=1",44,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
132,"mixed.present_pfpm2 copy number >1","wwarn_act_wide","pfpm2 copy number >1 count, including mixed infections",,"number of samples with the pure and/or mixed pfpm2 copy number>1",45,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
186,"marker.group_pfcrt 343i","wwarn_act_wide","pfcrt 343I marker group",,,1,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
187,"marker.group_pfcrt 353v","wwarn_act_wide","pfcrt 353V marker group",,,2,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
158,"marker.group_pfcrt 76k/t","wwarn_act_wide","pfcrt 76K/T marker group",,,3,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
154,"marker.group_pfcrt 76t","wwarn_act_wide","pfcrt 76T marker group",,,4,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
183,"marker.group_pfcrt 93s","wwarn_act_wide","pfcrt 93S marker group",,,5,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
184,"marker.group_pfcrt 97y","wwarn_act_wide","pfcrt 97Y marker group",,,6,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
181,"marker.group_pfcrt cidt","wwarn_act_wide","pfcrt CIDT marker group",,,7,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
189,"marker.group_pfcrt ciek","wwarn_act_wide","pfcrt CIEK marker group",,,8,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
168,"marker.group_pfcrt ciet","wwarn_act_wide","pfcrt CIET marker group",,,9,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
171,"marker.group_pfcrt cint","wwarn_act_wide","pfcrt CINT marker group",,,10,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
170,"marker.group_pfcrt cmdt","wwarn_act_wide","pfcrt CMDT marker group",,,11,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
174,"marker.group_pfcrt cmet","wwarn_act_wide","pfcrt CMET marker group",,,12,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
167,"marker.group_pfcrt cmnk","wwarn_act_wide","pfcrt CMNK marker group",,,13,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
169,"marker.group_pfcrt cmnt","wwarn_act_wide","pfcrt CMNT marker group",,,14,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
185,"marker.group_pfcrt f145i","wwarn_act_wide","pfcrt F145I marker group",,,15,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
193,"marker.group_pfcrt i218f","wwarn_act_wide","pfcrt I218F marker group",,,16,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
166,"marker.group_pfcrt k76","wwarn_act_wide","pfcrt K76 marker group",,,17,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
188,"marker.group_pfcrt smet","wwarn_act_wide","pfcrt SMET marker group",,,18,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
151,"marker.group_pfcrt smnt","wwarn_act_wide","pfcrt SMNT marker group",,,19,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
156,"marker.group_pfmdr1 copy number >1","wwarn_act_wide","pfmdr1 copy number >1 marker group",,,20,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
175,"marker.group_pfmdr1 copy number = 2","wwarn_act_wide","pfmdr1 copy number =2 marker group",,,21,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
179,"marker.group_pfmdr1 copy number = 3","wwarn_act_wide","pfmdr1 copy number =3 marker group",,,22,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
180,"marker.group_pfmdr1 copy number = 4","wwarn_act_wide","pfmdr1 copy number =4 marker group",,,23,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
178,"marker.group_pfmdr1 copy number = 4 or higher","wwarn_act_wide","pfmdr1 copy number >=4 marker group",,,24,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
182,"marker.group_pfmdr1 copy number = 5 or higher","wwarn_act_wide","pfmdr1 copy number >=5 marker group",,,25,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
192,"marker.group_pfmdr1 1034s/c","wwarn_act_wide","pfmdr1 1034S/C marker group",,,26,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
172,"marker.group_pfmdr1 1246d/y","wwarn_act_wide","pfmdr1 1246D/Y marker group",,,27,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
155,"marker.group_pfmdr1 1246y","wwarn_act_wide","pfmdr1 1246Y marker group",,,28,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
153,"marker.group_pfmdr1 184f","wwarn_act_wide","pfmdr1 184F marker group",,,29,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
162,"marker.group_pfmdr1 184y/f","wwarn_act_wide","pfmdr1 184Y/F marker group",,,30,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
160,"marker.group_pfmdr1 86n/y","wwarn_act_wide","pfmdr1 86N/Y marker group",,,31,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
152,"marker.group_pfmdr1 86y","wwarn_act_wide","pfmdr1 86Y marker group",,,32,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
165,"marker.group_pfmdr1 d1246","wwarn_act_wide","pfmdr1 D1246 marker group",,,33,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
164,"marker.group_pfmdr1 n1042","wwarn_act_wide","pfmdr1 N1042 marker group",,,34,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
159,"marker.group_pfmdr1 n86","wwarn_act_wide","pfmdr1 N86 marker group",,,35,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
194,"marker.group_pfmdr1 nfcdd","wwarn_act_wide","pfmdr1 NFCDD marker group",,,36,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
195,"marker.group_pfmdr1 nfcnd","wwarn_act_wide","pfmdr1 NFCND marker group",,,37,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
191,"marker.group_pfmdr1 nfd","wwarn_act_wide","pfmdr1 NFD marker group",,,38,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
157,"marker.group_pfmdr1 nfsnd","wwarn_act_wide","pfmdr1 NFSND marker group",,,39,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
163,"marker.group_pfmdr1 s1034","wwarn_act_wide","pfmdr1 S1034 marker group",,,40,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
161,"marker.group_pfmdr1 y184","wwarn_act_wide","pfmdr1 Y184 marker group",,,41,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
173,"marker.group_pfmdr1 yysny","wwarn_act_wide","pfmdr1 YYSNY marker group",,,42,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
190,"marker.group_pfmdr1 yyy","wwarn_act_wide","pfmdr1 YYY marker group",,,43,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
176,"marker.group_pfpm2 copy number=1","wwarn_act_wide","pfpm2 copy number =1 marker group",,,44,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
177,"marker.group_pfpm2 copy number >1","wwarn_act_wide","pfpm2 copy number >1 marker group",,,45,"Sample summary","Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
276,"included.or.excluded_pfcrt 343i","wwarn_act_wide","pfcrt 343I mixed infections",,,1,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
277,"included.or.excluded_pfcrt 353v","wwarn_act_wide","pfcrt 353V mixed infections",,,2,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
248,"included.or.excluded_pfcrt 76k/t","wwarn_act_wide","pfcrt 76K/T mixed infections",,,3,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
244,"included.or.excluded_pfcrt 76t","wwarn_act_wide","pfcrt 76T mixed infections",,,4,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
273,"included.or.excluded_pfcrt 93s","wwarn_act_wide","pfcrt 93S mixed infections",,,5,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
274,"included.or.excluded_pfcrt 97y","wwarn_act_wide","pfcrt 97Y mixed infections",,,6,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
271,"included.or.excluded_pfcrt cidt","wwarn_act_wide","pfcrt CIDT mixed infections",,,7,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
279,"included.or.excluded_pfcrt ciek","wwarn_act_wide","pfcrt CIEK mixed infections",,,8,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
258,"included.or.excluded_pfcrt ciet","wwarn_act_wide","pfcrt CIET mixed infections",,,9,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
261,"included.or.excluded_pfcrt cint","wwarn_act_wide","pfcrt CINT mixed infections",,,10,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
260,"included.or.excluded_pfcrt cmdt","wwarn_act_wide","pfcrt CMDT mixed infections",,,11,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
264,"included.or.excluded_pfcrt cmet","wwarn_act_wide","pfcrt CMET mixed infections",,,12,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
257,"included.or.excluded_pfcrt cmnk","wwarn_act_wide","pfcrt CMNK mixed infections",,,13,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
259,"included.or.excluded_pfcrt cmnt","wwarn_act_wide","pfcrt CMNT mixed infections",,,14,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
275,"included.or.excluded_pfcrt f145i","wwarn_act_wide","pfcrt F145I mixed infections",,,15,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
283,"included.or.excluded_pfcrt i218f","wwarn_act_wide","pfcrt I218F mixed infections",,,16,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
256,"included.or.excluded_pfcrt k76","wwarn_act_wide","pfcrt K76 mixed infections",,,17,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
278,"included.or.excluded_pfcrt smet","wwarn_act_wide","pfcrt SMET mixed infections",,,18,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
241,"included.or.excluded_pfcrt smnt","wwarn_act_wide","pfcrt SMNT mixed infections",,,19,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
246,"included.or.excluded_pfmdr1 copy number >1","wwarn_act_wide","pfmdr1 copy number >1 mixed infections",,,20,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
265,"included.or.excluded_pfmdr1 copy number = 2","wwarn_act_wide","pfmdr1 copy number =2 mixed infections",,,21,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
269,"included.or.excluded_pfmdr1 copy number = 3","wwarn_act_wide","pfmdr1 copy number =3 mixed infections",,,22,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
270,"included.or.excluded_pfmdr1 copy number = 4","wwarn_act_wide","pfmdr1 copy number =4 mixed infections",,,23,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
268,"included.or.excluded_pfmdr1 copy number = 4 or higher","wwarn_act_wide","pfmdr1 copy number >=4 mixed infections",,,24,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
272,"included.or.excluded_pfmdr1 copy number = 5 or higher","wwarn_act_wide","pfmdr1 copy number >=5 mixed infections",,,25,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
282,"included.or.excluded_pfmdr1 1034s/c","wwarn_act_wide","pfmdr1 1034S/C mixed infections",,,26,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
262,"included.or.excluded_pfmdr1 1246d/y","wwarn_act_wide","pfmdr1 1246D/Y mixed infections",,,27,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
245,"included.or.excluded_pfmdr1 1246y","wwarn_act_wide","pfmdr1 1246Y mixed infections",,,28,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
243,"included.or.excluded_pfmdr1 184f","wwarn_act_wide","pfmdr1 184F mixed infections",,,29,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
252,"included.or.excluded_pfmdr1 184y/f","wwarn_act_wide","pfmdr1 184Y/F mixed infections",,,30,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
250,"included.or.excluded_pfmdr1 86n/y","wwarn_act_wide","pfmdr1 86N/Y mixed infections",,,31,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
242,"included.or.excluded_pfmdr1 86y","wwarn_act_wide","pfmdr1 86Y mixed infections",,,32,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
255,"included.or.excluded_pfmdr1 d1246","wwarn_act_wide","pfmdr1 D1246 mixed infections",,,33,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
254,"included.or.excluded_pfmdr1 n1042","wwarn_act_wide","pfmdr1 N1042 mixed infections",,,34,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
249,"included.or.excluded_pfmdr1 n86","wwarn_act_wide","pfmdr1 N86 mixed infections",,,35,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
284,"included.or.excluded_pfmdr1 nfcdd","wwarn_act_wide","pfmdr1 NFCDD mixed infections",,,36,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
285,"included.or.excluded_pfmdr1 nfcnd","wwarn_act_wide","pfmdr1 NFCND mixed infections",,,37,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
281,"included.or.excluded_pfmdr1 nfd","wwarn_act_wide","pfmdr1 NFD mixed infections",,,38,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
247,"included.or.excluded_pfmdr1 nfsnd","wwarn_act_wide","pfmdr1 NFSND mixed infections",,,39,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
253,"included.or.excluded_pfmdr1 s1034","wwarn_act_wide","pfmdr1 S1034 mixed infections",,,40,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
251,"included.or.excluded_pfmdr1 y184","wwarn_act_wide","pfmdr1 Y184 mixed infections",,,41,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
263,"included.or.excluded_pfmdr1 yysny","wwarn_act_wide","pfmdr1 YYSNY mixed infections",,,42,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
280,"included.or.excluded_pfmdr1 yyy","wwarn_act_wide","pfmdr1 YYY mixed infections",,,43,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
