BSdich	BSdich	NA	:::UNDEF:::
observed	observed	na	:::UNDEF:::
osantimalarial	osantimalarial	NA	:::UNDEF:::
other	other	NA	:::UNDEF:::
othersigns	othersigns	-9	:::UNDEF:::
othersigns	othersigns	na	:::UNDEF:::
ovale	ovale	NA	:::UNDEF:::
parasitedensity	parasitedensity	na	:::UNDEF:::
parous1	parous1	na	:::UNDEF:::
parous2	parous2	na	:::UNDEF:::
parous3	parous3	na	:::UNDEF:::
pregnant	pregnant	NA	:::UNDEF:::
propinfected	propinfected	na	:::UNDEF:::
qpcr	qpcr	na	:::UNDEF:::
qpcrcat	qpcrcat	0	Negative	1
qpcrcat	qpcrcat	1	[0.001-0.01] per uL	2
qpcrcat	qpcrcat	2	(0.01-0.05] per uL	3
qpcrcat	qpcrcat	3	(0.05-0.1] per uL	4
qpcrcat	qpcrcat	4	(0.1-1] per uL	5
qpcrcat	qpcrcat	5	(1-10] per uL	6
qpcrcat	qpcrcat	6	(10-100] per uL	7
qpcrcat	qpcrcat	7	(100-1000] per uL	8
qpcrcat	qpcrcat	8	>1000 per uL	9
qpcrcat	qpcrcat	NA	:::UNDEF:::
qpcrdich	qpcrdich	0	No
qpcrdich	qpcrdich	0	No
qpcrdich	qpcrdich	1	Yes
qpcrdich	qpcrdich	1	Yes
qpcrdich	qpcrdich	9	Can't assess
qpcrdich	qpcrdich	9	Can't assess
qpcrdich	qpcrdich	NA	:::UNDEF:::
reenrolldate	reenrolldate	na	:::UNDEF:::
resprate	resprate	-9	:::UNDEF:::
resprate	resprate	na	:::UNDEF:::
roomnumi	roomnumi	NA	:::UNDEF:::
roomnumm1	roomnumm1	na	:::UNDEF:::
roomnumm2	roomnumm2	na	:::UNDEF:::
roomnumm3	roomnumm3	na	:::UNDEF:::
roomtrapset1	roomtrapset1	na	:::UNDEF:::
roomtrapset2	roomtrapset2	na	:::UNDEF:::
roomtrapset3	roomtrapset3	na	:::UNDEF:::
sbp	sbp	-9	:::UNDEF:::
sbp	sbp	na	:::UNDEF:::
screening	screening	0	After initial screening
screening	screening	1	During initial screening
sduration	sduration	-9	:::UNDEF:::
sduration	sduration	na	:::UNDEF:::
seizure	seizure	NA	:::UNDEF:::
seizure	seizure	cannot assess	Cannot assess
severeanemia	severeanemia	NA	:::UNDEF:::
slept	slept	NA	:::UNDEF:::
slept	slept	0	No
slept	slept	1	Yes
source	source	NA	:::UNDEF:::
speciespcr	speciespcr	1	P. falciparum
speciespcr	speciespcr	2	P. vivax
speciespcr	speciespcr	3	P. ovale
speciespcr	speciespcr	4	P. malariae
speciespcr	speciespcr	5	P. falciparum+P. ovale+P. malariae
speciespcr	speciespcr	NA	:::UNDEF:::
sporozoitepositive	sporozoitepositive	na	:::UNDEF:::
sporozoitetested	sporozoitetested	na	:::UNDEF:::
spraycat	spraycat	-9	Skipped
spraycat	spraycat	0	None
spraycat	spraycat	1	0-3 months
spraycat	spraycat	2	4-6 months
temperature	temperature	na	:::UNDEF:::
timeoutofbed	timeoutofbed	-9	:::UNDEF:::
timeoutofbed	timeoutofbed	na	:::UNDEF:::
timetobed	timetobed	-9	:::UNDEF:::
timetobed	timetobed	na	:::UNDEF:::
totalanopheles	totalanopheles	na	:::UNDEF:::
totalanopheles1	totalanopheles1	na	:::UNDEF:::
totalanopheles2	totalanopheles2	na	:::UNDEF:::
totalanopheles3	totalanopheles3	na	:::UNDEF:::
totalfunestus1	totalfunestus1	na	:::UNDEF:::
totalfunestus2	totalfunestus2	na	:::UNDEF:::
totalfunestus3	totalfunestus3	na	:::UNDEF:::
totalgambiae1	totalgambiae1	na	:::UNDEF:::
totalgambiae2	totalgambiae2	na	:::UNDEF:::
totalgambiae3	totalgambiae3	na	:::UNDEF:::
totaloocysts	totaloocysts	na	:::UNDEF:::
totalother1	totalother1	na	:::UNDEF:::
totalother2	totalother2	na	:::UNDEF:::
totalother3	totalother3	na	:::UNDEF:::
trapworking1	trapworking1	na	:::UNDEF:::
trapworking2	trapworking2	na	:::UNDEF:::
trapworking3	trapworking3	na	:::UNDEF:::
travelout	travelout	NA	:::UNDEF:::
trimister	trimister	NA	:::UNDEF:::
tspray	tspray	na	:::UNDEF:::
uanbletodrink	uanbletodrink	NA	:::UNDEF:::
unableassess1	unableassess1	na	:::UNDEF:::
unableassess2	unableassess2	na	:::UNDEF:::
unableassess3	unableassess3	na	:::UNDEF:::
unableassessanoph1	unableassessanoph1	na	:::UNDEF:::
unableassessanoph2	unableassessanoph2	na	:::UNDEF:::
unableassessanoph3	unableassessanoph3	na	:::UNDEF:::
unabletosit	unabletosit	NA	:::UNDEF:::
unabletodrink	unabletodrink	NA	:::UNDEF:::
unfedanoph1	unfedanoph1	na	:::UNDEF:::
unfedanoph2	unfedanoph2	na	:::UNDEF:::
unfedanoph3	unfedanoph3	na	:::UNDEF:::
unfedfunes1	unfedfunes1	na	:::UNDEF:::
unfedfunes2	unfedfunes2	na	:::UNDEF:::
unfedfunes3	unfedfunes3	na	:::UNDEF:::
unfedgamb1	unfedgamb1	na	:::UNDEF:::
unfedgamb2	unfedgamb2	na	:::UNDEF:::
unfedgamb3	unfedgamb3	na	:::UNDEF:::
unknown	unknown	NA	:::UNDEF:::
vduration	vduration	-9	:::UNDEF:::
vduration	vduration	na	:::UNDEF:::
visittype	visittype	0	Enrollment
visittype	visittype	1	Routine
visittype	visittype	2	Non-routine
visittype	visittype	NA	Entomology
vivax	vivax	NA	:::UNDEF:::
vomiting	vomiting	NA	:::UNDEF:::
vomitingc	vomitingc	NA	:::UNDEF:::
wcaregiven1	wcaregiven1	-9	:::UNDEF:::
wcaregiven1	wcaregiven1	clinic	Clinic
wcaregiven1	wcaregiven1	goria m. centre	Goria M. Centre
wcaregiven1	wcaregiven1	home	Home
wcaregiven1	wcaregiven1	HOME	Home
wcaregiven1	wcaregiven1	hospital	Hospital
wcaregiven1	wcaregiven1	kirewa	Kirewa
wcaregiven1	wcaregiven1	Maternity Nagongera HC IV	Maternity Nagongera Health Centre IV
wcaregiven1	wcaregiven1	outreach	Outreach
wcaregiven1	wcaregiven1	POKONGO HC II	Pokongo Health Centre II
wcaregiven1	wcaregiven1	tororo hospital	Tororo hospital
wcaregiven2	wcaregiven2	-9	:::UNDEF:::
weight	weight	-9	:::UNDEF:::
weight	weight	na	:::UNDEF:::
withdrawnreason2nd	withdrawnreason2nd	2	Moved out of area
withdrawnreason	withdrawnreason	moved out of nagongera sub-county	Moved out of Nagongera sub-county
withdrawnreason	withdrawnreason	unable to be located for > 4 month	Unable to be located for > 4 month
withdrawnreason	withdrawnreason	inability to comply with study schedules and procedures	Inability to comply with study schedules and procedures
withdrawnreason	withdrawnreason	withdrawal of informed consent	Withdrawal of informed consent
withdrawnreason	withdrawnreason	death	Death
hhpsf	hhpsf	never	Never	1
hhpsf	hhpsf	seldom	Seldom	2
hhpsf	hhpsf	sometimes	Sometimes	3
hhpsf	hhpsf	often	Often	4
hhpsf	hhpsf	always	Always	5
wealthcat	wealthcat	1	Poorest
wealthcat	wealthcat	2	Middle
wealthcat	wealthcat	3	Least poor
housetype	housetype	0	Traditional
housetype	housetype	1	Modern
anemia11	anemia11	0	No
anemia11	anemia11	1	Yes
anemia11	anemia11	na	:::UNDEF:::
datespray	datespray	1899-01-01	:::UNDEF:::
gametocyte_prevalence	gametocyte_prevalence	0	No
gametocyte_prevalence	gametocyte_prevalence	1	Yes
