variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,NA,14,15,,variable not in HUAS codebook (CRF01 HUAS),
diarrhea_new,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,NA,74,,variable not in HUAS codebook (CRF01 HUAS),
died_blood,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, NA=NA",,,,,319,NA,NA,,,54. Died from illness/Bloody diarrhea
died_loose,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, NA=NA",,,,,317,NA,NA,,,54. Died from illness/Simple loose
died_rice,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, NA=NA",,,,,318,NA,NA,,,54. Died from illness/Rice watery
diff_chldcare,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of childcare for other children. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,93,NA,NA,,,23. Difficulty/Lack of childcare
diff_cost,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Costs too much money. Select all that apply.,"0=No, 1=Yes",,,,,89,NA,NA,,,23. Difficulty/Costs too much money
diff_flood,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Flood. Select all that apply.,"0=No, 1=Yes",,,,,87,NA,NA,,,23. Difficulty/Flood
diff_noprob,gems1_huas_data.sas7bdat,,,num,C23.2: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Never a problem. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,95,NA,NA,,,23. Difficulty/Never a problem
diff_othr,gems1_huas_data.sas7bdat,,,num,"C23.1: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Other, specify. Select all that apply.","0=No, 1=Yes",,,,,90,NA,NA,,,23. Difficulty/Other
diff_politic,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Political unrest. Select all that apply.,"0=No, 1=Yes",,,,,92,NA,NA,,,23. Difficulty/Political unrest
diff_rain,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Heavy rain. Select all that apply.,"0=No, 1=Yes",,,,,94,NA,NA,,,23. Difficulty/Heavy rain
diff_reloc,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Temporary relocation. Select all that apply.,"0=No, 1=Yes",,,,,88,NA,NA,,,23. Difficulty/Temporary relocation
diff_spec,gems1_huas_data.sas7bdat,,,chr,"C23.3: Parents perception of illness and use of health care facility. Specify if diff_othr=1 (other, specify). Select all that apply.",,,,,,96,NA,NA,,,23. Difficulty/Specify
diff_trnsprt,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of transport. Select all that apply.,"0=No, 1=Yes",,,,,91,NA,NA,,,23. Difficulty/Lack of transport
doc_consult,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,212,NA,NA,,,42c. Expenses: Unlicensed/Consultation
doc_diag,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,214,NA,NA,,,42c. Expenses: Unlicensed/Diagnostics
doc_drug,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,213,NA,NA,,,42c. Expenses: Unlicensed/Drugs
doc_othr,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,216,NA,NA,,,42c. Expenses: Unlicensed/Other
doc_total,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,217,NA,NA,,,42c. Expenses: Unlicensed/Total
doc_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,215,NA,NA,,,42c. Expenses: Unlicensed/Transport
drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,104,23,22,,response values 0 & 9 not in codebook,27. Symptom during illness-Blood
drh_coma,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,115,NA,NA,,response value 0 not in codebook,27. Symptom during illness-Coma
drh_cont,gems1_huas_data.sas7bdat,,,num,D28.1: Diarrhea history. Is the child still having diarrhea. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,117,NA,NA,,response value 0 not in codebook,28a. Is child still having diarrhea
drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,,,,,,116,18,17,,,28. How many days child had diarrhea
drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,NA,19,18,,,
drh_daysago,gems1_huas_data.sas7bdat,,,num,"D28.2: Diarrhea history. If no, how many days ago did the child have diarrhea (3 or more abnormally loose or watery stools) for the last time. Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,118,NA,NA,,,28b. How long ago child had diarrhea
drh_decurin,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Decreased urination. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,107,NA,NA,,response value 0 not in codebook,27. Symptom during illness-Urination
drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,NA,22,21,,,
drh_dry,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,109,NA,NA,,response value 0 not in codebook,27. Symptom during illness-Dry mouth
drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,112,21,20,,response values 0 & 9 not in codebook,27. Symptom during illness-Fever
drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,NA,25,24,,,
drh_lethrgy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,114,26,25,,response values 0 & 9 not in codebook,27. Symptom during illness-Lethargy
drh_mucus,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Mucus / pus in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,105,NA,NA,,response value 0 not in codebook,27. Symptom during illness-Mucus/pus
drh_rice,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,106,24,23,,response values 0 & 9 not in codebook,27. Symptom during illness-Rice watery
drh_sunkeyes,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Sunken eyes. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,110,28,27,,response values 0 & 9 not in codebook,27. Symptom during illness-Sunken eyes
drh_thirst,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA, 9=NOT IN CODEBOOK",,,,,108,27,26,variables 'drh_thirst' & 'drh_thirsty' should map to the same display label & IRI,response values 0 & 9 not in codebook,27. Symptom during illness-Thirsty
drh_vomit,gems1_huas_data.sas7bdat,,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,113,NA,NA,,response value 0 not in codebook,27. Symptom during illness/Vomiting
drh_wrnkskin,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Wrinkled skin. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,111,29,28,,response values 0 & 9 not in codebook,27. Symptom during illness-Wrinkled skin
drh2wks,gems1_huas_data.sas7bdat,,,num,"D25: Diarrhea history. Hs the child had an illness with diarrhea (3 or more loose or watery stools during a 24-hr period) in the last 2 weeks. If ""No"" go to part G, if ""Yes"" continue","1=No, 2=Yes",,,,,99,NA,NA,,,25. Had illness w/diarrhea last 2 wks
drink_less,gems1_huas_data.sas7bdat,,,num,"E39.1: Health care utilization. Did you offer much less than usual to drink, or somewhat less, or nothing (if offr_drink=3). Only complete for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Nothing to drink, NA=NA",,,,,185,NA,NA,,response value 0 not in codebook,39. Offered less than usual to drink
drinkoffr,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,425,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
drugstore,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,408,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
duration,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,424,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
dwb_ctr1,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,296,NA,NA,,,51. Diarrhea with blood/Center 1
dwb_ctr2,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,298,NA,NA,,,51. Diarrhea with blood/Center 2
dwb_ctr3,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,300,NA,NA,,,51. Diarrhea with blood/Center 3
dwb_ctr4,gems1_huas_data.sas7bdat,,,num,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,302,NA,NA,,,51. Diarrhea with blood/Center 4
dwb_spec,gems1_huas_data.sas7bdat,Discard,,chr,"G51.1: Health care attitudes. Specify other facility not coded (090), for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks",,,,,,304,NA,NA,,,51. Specify center/Diarrhea with blood
dwob_ctr1,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,297,NA,NA,,,51. Diarrhea without blood/Center 1
dwob_ctr2,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,299,NA,NA,,,51. Diarrhea without blood/Center 2
dwob_ctr3,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,301,NA,NA,,,51. Diarrhea without blood/Center 3
dwob_ctr4,gems1_huas_data.sas7bdat,,,num,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,,,,,303,NA,NA,,,51. Diarrhea without blood/Center 4
dwob_spec,gems1_huas_data.sas7bdat,Discard,,chr,G51.3: Health care attitudes. Specify other facility not coded (090) for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks,,,,,,305,NA,NA,,,51. Specify center/Diarrhea w/out blood
eat_less,gems1_huas_data.sas7bdat,,,num,"E40.1: Health care utilization. Did you offer much less than usual to eat, or somewhat less, or nothing (if offr_eat=3). Only complete for children who had diarrhea in the last 2 weeks.","0=NOT IN CODEBOOK, 1=Much less, 2=Somewhat less, 3=Stopped food, NA=NA",,,,,187,NA,NA,,response value 0 not in codebook,40. Offered less than usual to eat
eatoffr,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,426,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
edu,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1, 2",,,,,423,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
facility_spec1,gems1_huas_data.sas7bdat,Discard,,chr,"C20: Parents perception of illness and use of health care facility. If the facility of 1st choice was not coded, (hlthctr1=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec1",,,,,,81,NA,NA,,,20. Specify 1st facility not coded
facility_spec2,gems1_huas_data.sas7bdat,Discard,,chr,"C20.2: Parents perception of illness and use of health care facility. If the facility of 2nd choice was not coded, (hlthctr2=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec2",,,,,,82,NA,NA,,,20. Specify 2nd facility not coded
facility_spec3,gems1_huas_data.sas7bdat,Discard,,chr,"C20.4: Parents perception of illness and use of health care facility. If the facility of 3rd choice was not coded, (hlthctr3=090), specify facility name. Use codes from Health Facility Coding list. You can report a maximum of 3 centers. Enter 999 for unknown. If facility was not coded, use code 090 and specify facility_spec3",,,,,,83,NA,NA,,,20. Specify 3rd facility not coded
famsize,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,418,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
floor,gems1_huas_data.sas7bdat,,,num,B16: Household information. What is the predominant floor inside the house.,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",,,,,42,NA,NA,,,16. Predominant floor inside house
floor_spec,gems1_huas_data.sas7bdat,Discard,,chr,"B16.1: Household information. If floor=3 (other, specify), specify floor type.",#NAME?,,,,,43,NA,NA,,,16. Specify other flooring
friend,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,404,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
gems_shf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,chr,,,,,,,NA,NA,80,,variable not in HUAS codebook (CRF01 HUAS),
gemsshf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,NA,79,,variable not in HUAS codebook (CRF01 HUAS),
gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",,,,,15,8,9,,response value 0 not in codebook,5. Child's gender
hchldrn,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,420,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
healer,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,405,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
healer_consult,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,206,NA,NA,,,42b. Expenses: Healer/Consultation
healer_diag,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,208,NA,NA,,,42b. Expenses: Healer/Diagnostics
healer_drug,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,207,NA,NA,,,42b. Expenses: Healer/Drugs
healer_othr,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,210,NA,NA,,,42b. Expenses: Healer/Other
healer_total,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,211,NA,NA,,,42b. Expense: Healer/Total
healer_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,209,NA,NA,,,42b. Expenses: Healer/Transport
highcost,gems1_huas_data.sas7bdat,,,num,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1","0=NOT IN CODEBOOK, 1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,,,,345,NA,NA,,response value 0 not in codebook,62. Pay for medical care/highest cost
hlth_dec,gems1_huas_data.sas7bdat,Discard,,num,,"0, 2",,,,,422,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
hlthctr1,gems1_huas_data.sas7bdat,,,num,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",,,,,,76,NA,NA,,,20. Health center 1st choice
hlthctr2,gems1_huas_data.sas7bdat,,,num,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",,,,,,77,NA,NA,,,20. Health center 2nd choice
hlthctr3,gems1_huas_data.sas7bdat,,,num,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",,,,,,78,NA,NA,,,20. Health center 3rd choice
homeab_spec,gems1_huas_data.sas7bdat,Discard,,chr,E38.2: Health care utilization. Specify antibiotics (if hometrt_ab=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,176,NA,NA,,,38. Specify antibiotics
homeliq_spec,gems1_huas_data.sas7bdat,Discard,,chr,E38.4: Health care utilization. Specify other liquids (if hometrt_othrliq=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,174,NA,NA,,,38. Specify any other liquids
homeothr_spec1,gems1_huas_data.sas7bdat,Discard,,chr,E38.6: Health care utilization. Specify other home remedy #1 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,178,NA,NA,,,38. Specify other treatment 1
homeothr_spec2,gems1_huas_data.sas7bdat,Discard,,chr,E38.8: Health care utilization. Specify other home remedy #2 (if hometrt_othr1=1). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks,,,,,,180,NA,NA,,,38. Specify other treatment 2
hometrt_ab,gems1_huas_data.sas7bdat,,,num,"E38.1: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Antibiotics. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,175,NA,NA,,,38. Home treatment/Antibiotics
hometrt_herbal,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,170,NA,NA,,,38. Home treatment/Herbal medication
hometrt_maize,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,168,NA,NA,,,38. Home treatment/Homemade fluid
